,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-epiforecasts-ensemble1
Georgia,13246,11869.3,11883.1,12711.4,12000.8,12169.0,11901.4,12299.0,11433.0,12561.8,14652.0,12180.8,12253.0,12112.6,12284.6,12607.7,,13656.2,12540.0,12563.9,13525.4,12676.0,12470.4,12670.4,11652.0,12024.5,12196.0,12856.4,12299.2,12441.2,11397.0,,11837.5,11498.6,12390.0,13977.1,11405.0,11919.1,,12305.7,12669.0,12488.0,12005.8,12237.0,11870.1,-1376.7,-1362.9,-534.6,-1245.2,-1077.0,-1344.6,-947.0,-1813.0,-684.2,1406.0,-1065.2,-993.0,-1133.4,-961.4,-638.3,,410.2,-706.0,-682.1,279.4,-570.0,-775.6,-575.6,-1594.0,-1221.5,-1050.0,-389.6,-946.8,-804.8,-1849.0,,-1408.5,-1747.4,-856.0,731.1,-1841.0,-1326.9,,-940.3,-577.0,-758.0,-1240.2,-1009.0,-1375.9,True,True,True,True,True,True,False,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,False,True,True,True,True,True,False,,False,False,True,True,False,True,,True,True,True,True,True,True
Hawaii,335,296.6,334.8,310.6,304.6,316.0,302.3,324.0,325.0,330.8,360.0,355.5,313.0,299.0,,329.8,,359.3,,346.6,331.6,345.0,504.8,327.6,316.0,291.0,384.0,335.9,325.1,304.8,322.0,,,315.2,349.0,340.9,327.0,311.7,,331.9,285.0,318.0,286.6,305.0,343.4,-38.4,-0.2,-24.4,-30.4,-19.0,-32.7,-11.0,-10.0,-4.2,25.0,20.5,-22.0,-36.0,,-5.2,,24.3,,11.6,-3.4,10.0,169.8,-7.4,-19.0,-44.0,49.0,0.9,-9.9,-30.2,-13.0,,,-19.8,14.0,5.9,-8.0,-23.3,,-3.1,-50.0,-17.0,-48.4,-30.0,8.4,True,True,True,True,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,False,True,True,False,False,True,True,True,True,,,True,True,True,True,True,,True,False,True,False,True,True
Idaho,1668,1639.4,1581.9,1547.4,1693.5,1628.0,1670.0,1675.0,1681.0,1679.3,1624.0,1843.7,1631.0,1587.1,1644.7,1783.4,,2013.7,1742.0,1799.1,1547.0,1794.0,1794.0,1755.8,1654.0,1553.9,1734.0,1735.9,1748.2,1557.6,1970.0,,,1520.5,1710.0,1576.3,1498.0,1600.6,,1797.4,1580.0,1553.0,1684.9,1591.0,1685.6,-28.6,-86.1,-120.6,25.5,-40.0,2.0,7.0,13.0,11.3,-44.0,175.7,-37.0,-80.9,-23.3,115.4,,345.7,74.0,131.1,-121.0,126.0,126.0,87.8,-14.0,-114.1,66.0,67.9,80.2,-110.4,302.0,,,-147.5,42.0,-91.7,-170.0,-67.4,,129.4,-88.0,-115.0,16.9,-77.0,17.6,False,False,True,False,True,True,True,True,False,False,False,False,True,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,False,False,False,False,False,,False,False,False,True,False,True
Illinois,20645,20919.3,21222.5,20309.6,20847.1,21261.0,20815.5,20423.0,20106.0,20209.0,20761.0,20990.8,19378.0,23203.1,20616.7,20358.4,,22611.6,20978.0,21608.5,18007.7,20373.0,20131.0,20500.5,20229.0,19991.2,20465.0,20976.4,20884.0,20037.6,21529.5,,19793.8,19501.9,19289.0,19228.7,19241.0,19668.2,,20160.1,20962.3,19810.0,20817.7,20171.0,20492.1,274.3,577.5,-335.4,202.1,616.0,170.5,-222.0,-539.0,-436.0,116.0,345.8,-1267.0,2558.1,-28.3,-286.6,,1966.6,333.0,963.5,-2637.3,-272.0,-514.0,-144.5,-416.0,-653.8,-180.0,331.4,239.0,-607.4,884.5,,-851.2,-1143.1,-1356.0,-1416.3,-1404.0,-976.8,,-484.9,317.3,-835.0,172.7,-474.0,-152.9,False,False,True,False,True,True,False,False,True,False,False,False,True,False,,False,False,False,False,True,False,True,False,False,True,False,True,False,False,,False,False,False,False,False,False,,False,False,False,True,False,True
Indiana,10950,9536.3,9558.4,9839.2,9555.2,9892.0,9652.4,9718.0,8777.0,9654.5,9737.0,10067.5,8945.0,9884.9,9742.8,9612.8,,10242.9,10126.0,9948.3,8509.0,9748.0,9443.3,9816.0,9296.0,9307.0,9607.0,9859.9,9792.5,9345.2,10731.0,,9093.0,8781.3,9254.0,10149.8,8741.0,9155.3,,9826.5,9763.6,9196.0,9878.9,9676.0,9310.8,-260.7,-238.6,42.2,-241.8,95.0,-144.6,-79.0,-1020.0,-142.5,-60.0,270.5,-852.0,87.9,-54.2,-184.2,,445.9,329.0,151.3,-1288.0,-49.0,-353.7,19.0,-501.0,-490.0,-190.0,62.9,-4.5,-451.8,934.0,,-704.0,-1015.7,-543.0,352.8,-1056.0,-641.7,,29.5,-33.4,-601.0,81.9,-121.0,-486.2,True,True,True,True,True,True,False,True,True,False,False,True,True,True,,False,False,True,False,True,False,True,False,False,True,True,True,False,False,,False,False,False,False,False,False,,True,True,False,True,True,False
Iowa,4486,4345.7,4983.4,4345.0,4491.2,4446.0,4587.1,4548.0,4132.0,4468.6,5187.0,4948.6,4663.0,4667.0,4436.6,4497.1,,3654.5,4946.0,4502.7,4153.0,4631.0,4578.1,4585.1,5583.5,4100.6,4609.0,4585.2,4602.0,4531.0,5120.0,,5568.5,4174.4,4317.0,3030.2,4106.0,4407.3,,4747.9,4443.9,4157.0,4570.9,4515.0,5247.6,-140.3,497.4,-141.0,5.2,-40.0,101.1,62.0,-354.0,-17.4,701.0,462.6,177.0,181.0,-49.4,11.1,,-831.5,460.0,16.7,-333.0,145.0,92.1,99.1,1097.5,-385.4,123.0,99.2,116.0,45.0,634.0,,1082.5,-311.6,-169.0,-1455.8,-380.0,-78.7,,261.9,-42.1,-329.0,84.9,29.0,761.6,False,False,True,True,True,True,False,True,False,False,False,False,True,True,,False,False,True,False,False,True,True,False,False,True,True,True,True,False,,False,False,False,False,False,True,,False,True,False,True,True,False
Kansas,3587,3127.9,3621.8,3120.2,3065.4,3076.0,3151.1,3275.0,3096.0,2979.7,3519.0,3617.0,3668.0,3326.8,3233.3,3579.9,,4053.8,3744.0,3698.4,3196.8,3408.0,3276.9,3292.1,3589.5,2869.0,3539.0,3441.0,3256.2,3434.3,3452.5,,,2787.7,3189.0,3334.9,2651.0,3274.7,,3536.7,3322.8,3028.0,3215.7,3117.0,3566.0,-459.1,34.8,-466.8,-521.6,-511.0,-435.9,-312.0,-491.0,-607.3,-68.0,30.0,81.0,-260.2,-353.7,-7.1,,466.8,157.0,111.4,-390.2,-179.0,-310.1,-294.9,2.5,-718.0,-48.0,-146.0,-330.8,-152.7,-134.5,,,-799.3,-398.0,-252.1,-936.0,-312.3,,-50.3,-264.2,-559.0,-371.3,-470.0,-21.0,True,False,False,False,True,True,False,False,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,False,True,True,True,True,True,,,False,True,True,False,True,,True,True,False,True,False,True
Kentucky,3386,3164.4,3161.1,3466.1,3147.8,3064.0,3185.9,3134.0,2828.0,3402.8,2981.0,3137.4,2903.0,3012.1,3054.6,3303.2,,3092.1,3323.0,3180.2,3120.5,3470.0,3698.9,3106.0,3111.0,3050.2,3405.0,3192.5,3359.8,3236.4,3106.0,,,3088.7,2877.0,3672.3,2947.0,3178.7,,3268.3,3062.8,3134.0,3167.0,3014.0,3223.2,-221.6,-224.9,80.1,-238.2,-322.0,-200.1,-252.0,-558.0,16.8,-405.0,-248.6,-483.0,-373.9,-331.4,-82.8,,-293.9,-63.0,-205.8,-265.5,84.0,312.9,-280.0,-275.0,-335.8,19.0,-193.5,-26.2,-149.6,-280.0,,,-297.3,-509.0,286.3,-439.0,-207.3,,-117.7,-323.2,-252.0,-219.0,-372.0,-162.8,False,True,False,False,True,False,False,True,False,False,False,False,False,True,,False,True,True,False,True,False,False,False,False,True,True,True,True,False,,,False,False,False,False,True,,True,False,False,True,False,True
Louisiana,8483,8251.4,7772.3,8683.2,8410.3,8602.0,8384.7,8289.0,7712.0,8239.0,8080.0,8345.6,8483.0,8572.4,8401.0,8447.7,,8553.4,8794.0,8293.8,7595.4,8376.0,8208.2,8292.7,8930.0,7994.1,8148.0,8503.8,8479.1,8262.0,7958.0,,7914.9,7951.0,8159.0,10201.4,7913.0,8362.6,,8215.5,8340.3,8050.0,8017.0,8241.0,8235.9,-231.6,-710.7,200.2,-72.7,119.0,-98.3,-194.0,-771.0,-244.0,-403.0,-137.4,0.0,89.4,-82.0,-35.3,,70.4,311.0,-189.2,-887.6,-107.0,-274.8,-190.3,447.0,-488.9,-335.0,20.8,-3.9,-221.0,-525.0,,-568.1,-532.0,-324.0,1718.4,-570.0,-120.4,,-267.5,-142.7,-433.0,-466.0,-242.0,-247.1,False,True,True,True,True,True,False,False,False,True,True,True,True,True,,True,False,True,False,True,False,True,False,False,False,True,True,True,False,,False,False,False,False,False,True,,False,True,False,False,False,False
Maine,544,442.6,410.3,526.0,432.5,443.0,427.0,478.0,450.0,523.6,774.0,632.1,484.0,441.4,418.6,487.8,,473.9,530.0,585.3,516.2,556.0,816.1,492.5,519.0,427.6,586.0,449.9,497.5,471.2,474.0,,,421.5,472.0,530.3,400.0,360.4,,494.1,319.0,460.0,423.3,518.0,531.9,-101.4,-133.7,-18.0,-111.5,-101.0,-117.0,-66.0,-94.0,-20.4,230.0,88.1,-60.0,-102.6,-125.4,-56.2,,-70.1,-14.0,41.3,-27.8,12.0,272.1,-51.5,-25.0,-116.4,42.0,-94.1,-46.5,-72.8,-70.0,,,-122.5,-72.0,-13.7,-144.0,-183.6,,-49.9,-225.0,-84.0,-120.7,-26.0,-12.1,False,True,False,True,False,True,True,True,False,True,True,False,False,True,,True,True,True,True,True,False,True,True,False,True,True,True,True,True,,,False,True,True,False,False,,True,False,True,False,True,True
