,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
North Carolina,8586,8525.3,8400.0,8292.8,8607.2,8642.0,8607.0,8603.0,8594.0,8480.4,8656.0,8047.2,8730.0,8706.7,8533.6,8695.1,8637.3,,8543.4,8634.0,8756.0,8760.4,8612.8,8580.0,8621.9,8689.0,8666.5,8650.8,8644.7,8599.9,8550.0,,8556.5,8604.9,,8630.0,8961.7,8598.0,8472.0,,9109.3,8660.0,8641.2,8584.0,8582.9,8790.0,,8306.2,8446.0,-60.7,-186.0,-293.2,21.2,56.0,21.0,17.0,8.0,-105.6,70.0,-538.8,144.0,120.7,-52.4,109.1,51.3,,-42.6,48.0,170.0,174.4,26.8,-6.0,35.9,103.0,80.5,64.8,58.7,13.9,-36.0,,-29.5,18.9,,44.0,375.7,12.0,-114.0,,523.3,74.0,55.2,-2.0,-3.1,204.0,,-279.8,-140.0,False,False,True,True,True,True,True,False,False,False,False,False,True,False,True,,True,True,False,False,True,True,True,False,False,False,True,True,True,,True,True,,True,False,True,False,,False,False,True,True,True,False,,False,False
North Dakota,1436,1445.4,1438.5,1392.9,1445.1,1438.0,1446.0,1434.0,1378.0,1424.3,1428.0,1401.8,1458.0,1447.3,1432.6,1452.6,1428.5,,1328.3,1421.0,1437.0,1415.4,1428.8,1434.0,1437.7,1447.0,1422.8,1431.5,1441.6,1439.9,1424.0,,,1440.1,,1437.0,1221.6,1438.0,1406.8,,1414.9,1442.5,1429.1,1432.0,1461.6,1431.0,,1419.4,1439.0,9.4,2.5,-43.1,9.1,2.0,10.0,-2.0,-58.0,-11.7,-8.0,-34.2,22.0,11.3,-3.4,16.6,-7.5,,-107.7,-15.0,1.0,-20.6,-7.2,-2.0,1.7,11.0,-13.2,-4.5,5.6,3.9,-12.0,,,4.1,,1.0,-214.4,2.0,-29.2,,-21.1,6.5,-6.9,-4.0,25.6,-5.0,,-16.6,3.0,True,False,True,True,False,True,False,False,True,False,False,False,True,False,True,,False,False,True,False,True,True,True,False,False,True,True,True,False,,,True,,True,False,True,False,,False,True,True,True,False,True,,False,True
Ohio,16360,10691.1,10712.6,10342.6,10663.2,10667.0,10671.0,10682.0,10499.0,10567.9,10588.0,10213.4,10947.0,11059.2,10522.3,10686.9,10685.4,,10824.8,10663.0,10689.0,10933.6,10605.7,10704.0,10717.2,10836.0,10598.4,10711.4,10738.4,10693.0,10592.0,,10729.8,10591.7,,10669.0,11472.9,10570.0,10702.7,,11118.5,10716.7,10734.1,10650.0,10700.7,10704.0,,10497.7,10682.0,-136.9,-115.4,-485.4,-164.8,-161.0,-157.0,-146.0,-329.0,-260.1,-240.0,-614.6,119.0,231.2,-305.7,-141.1,-142.6,,-3.2,-165.0,-139.0,105.6,-222.3,-124.0,-110.8,8.0,-229.6,-116.6,-89.6,-135.0,-236.0,,-98.2,-236.3,,-159.0,644.9,-258.0,-125.3,,290.5,-111.3,-93.9,-178.0,-127.3,-124.0,,-330.3,-146.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,True,False,False,True,False,True,True,True,False,True,True,True,False,,True,False,,False,False,False,True,,False,True,True,False,True,True,,False,False
Oklahoma,3231,3180.7,3196.0,3041.7,3166.2,3185.0,3166.0,3176.0,3078.0,3174.9,3191.0,2989.5,3299.0,3228.7,3141.5,3165.7,3181.4,,3158.3,3202.0,3199.0,3267.0,3152.7,3159.0,3200.5,3234.0,3172.3,3171.9,3197.5,3181.0,3161.0,,,3163.0,,3179.0,3014.1,3183.0,3182.7,,3443.2,3182.4,3240.1,3176.0,3157.6,3177.0,,3085.8,3170.0,-50.3,-35.0,-189.3,-64.8,-46.0,-65.0,-55.0,-153.0,-56.1,-40.0,-241.5,68.0,-2.3,-89.5,-65.3,-49.6,,-72.7,-29.0,-32.0,36.0,-78.3,-72.0,-30.5,3.0,-58.7,-59.1,-33.5,-50.0,-70.0,,,-68.0,,-52.0,-216.9,-48.0,-48.3,,212.2,-48.6,9.1,-55.0,-73.4,-54.0,,-145.2,-61.0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,,False,True,True,True,False,False,True,True,False,False,True,True,False,,,False,,False,False,True,True,,False,True,True,False,False,False,,False,False
Oregon,1877,1968.0,2046.2,1810.1,1979.4,1978.0,1995.0,1944.0,1828.0,1909.4,1895.0,1740.9,1941.0,1943.3,1957.2,2050.7,1932.0,,1767.9,1969.0,1922.0,1976.6,1917.6,1936.0,1935.2,1934.0,,1914.3,1933.8,1996.3,1986.0,,,1974.2,,1914.0,1891.2,1953.0,1984.5,,1982.1,1924.5,1955.7,1908.0,1960.4,1979.0,,1871.5,1988.0,91.0,169.2,-66.9,102.4,101.0,118.0,67.0,-49.0,32.4,18.0,-136.1,64.0,66.3,80.2,173.7,55.0,,-109.1,92.0,45.0,99.6,40.6,59.0,58.2,57.0,,37.3,56.8,119.3,109.0,,,97.2,,37.0,14.2,76.0,107.5,,105.1,47.5,78.7,31.0,83.4,102.0,,-5.5,111.0,False,True,False,False,False,True,True,True,True,False,True,True,True,False,True,,False,False,True,False,True,True,True,True,,True,True,False,False,,,False,,True,True,True,False,,False,True,True,True,True,False,,True,False
Pennsylvania,20454,20573.3,20730.2,19686.8,20718.5,20670.0,20660.0,20483.0,20009.0,20259.3,20377.0,19348.9,21131.0,21092.7,20438.0,20515.1,20356.9,,20191.8,20768.0,20544.0,20081.8,20368.0,20711.0,20606.1,20530.0,20722.7,20693.0,20630.6,20616.0,20087.0,,20853.8,20502.5,,20450.0,19802.9,20333.0,20524.7,,20643.7,20707.8,20344.0,20278.0,20713.2,20692.0,,19792.3,20421.0,119.3,276.2,-767.2,264.5,216.0,206.0,29.0,-445.0,-194.7,-77.0,-1105.1,677.0,638.7,-16.0,61.1,-97.1,,-262.2,314.0,90.0,-372.2,-86.0,257.0,152.1,76.0,268.7,239.0,176.6,162.0,-367.0,,399.8,48.5,,-4.0,-651.1,-121.0,70.7,,189.7,253.8,-110.0,-176.0,259.2,238.0,,-661.7,-33.0,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,,False,False,True,False,True,False,False,True,False,False,False,False,False,,False,True,,True,False,False,True,,False,False,True,False,False,False,,False,True
Rhode Island,2256,2081.3,2127.4,2070.1,2094.8,2083.0,2094.0,2095.0,2095.0,2058.6,2113.0,2066.9,2147.0,2316.1,2098.5,2107.0,2127.0,,2198.2,2158.0,2108.0,2005.8,2096.1,2124.0,2083.1,2116.0,2030.9,2116.9,2121.0,2088.7,2075.0,,,2058.1,,2082.0,2055.8,2036.0,2067.5,,2187.0,2125.6,2093.3,2086.0,2082.5,2094.0,,1956.6,2098.0,-10.7,35.4,-21.9,2.8,-9.0,2.0,3.0,3.0,-33.4,21.0,-25.1,55.0,224.1,6.5,15.0,35.0,,106.2,66.0,16.0,-86.2,4.1,32.0,-8.9,24.0,-61.1,24.9,29.0,-3.3,-17.0,,,-33.9,,-10.0,-36.2,-56.0,-24.5,,95.0,33.6,1.3,-6.0,-9.5,2.0,,-135.4,6.0,False,False,True,True,True,True,True,False,False,False,False,False,True,False,False,,False,False,False,False,True,False,True,False,False,False,False,True,False,,,False,,True,False,False,False,,False,False,True,True,True,True,,False,True
South Carolina,6479,6602.1,6525.3,6300.2,6461.9,6460.0,6458.0,6531.0,6465.0,6416.0,6533.0,6226.1,6914.0,6618.0,6476.1,6526.3,6577.3,,6650.7,6418.0,6480.0,6523.9,6547.2,6553.0,6652.0,6523.0,6460.3,6473.1,6591.1,6593.4,6423.0,,6679.8,6583.5,,6550.0,7269.2,6672.0,6603.7,,6752.4,6485.0,6506.4,6637.0,6389.5,6537.0,,6370.7,6532.0,123.1,46.3,-178.8,-17.1,-19.0,-21.0,52.0,-14.0,-63.0,54.0,-252.9,435.0,139.0,-2.9,47.3,98.3,,171.7,-61.0,1.0,44.9,68.2,74.0,173.0,44.0,-18.7,-5.9,112.1,114.4,-56.0,,200.8,104.5,,71.0,790.2,193.0,124.7,,273.4,6.0,27.4,158.0,-89.5,58.0,,-108.3,53.0,True,False,True,True,True,True,True,True,True,False,False,False,True,True,True,,False,True,True,True,True,True,False,True,True,True,True,True,True,,False,True,,True,False,False,False,,False,True,True,False,True,True,,True,True
South Dakota,1696,1716.9,1707.4,1634.2,1702.1,1704.0,1696.0,1696.0,1658.0,1676.0,1684.0,1618.7,1762.0,1735.7,1677.2,1675.3,1703.8,,1688.6,1692.0,1699.0,1680.6,1684.4,1693.0,1701.7,1698.0,,1695.3,1703.7,1702.3,1683.0,,,1710.4,,1692.0,1350.8,1723.0,1709.8,,1694.6,1706.1,1689.0,1708.0,1718.6,1704.0,,1705.4,1684.0,20.9,11.4,-61.8,6.1,8.0,0.0,0.0,-38.0,-20.0,-12.0,-77.3,66.0,39.7,-18.8,-20.7,7.8,,-7.4,-4.0,3.0,-15.4,-11.6,-3.0,5.7,2.0,,-0.7,7.7,6.3,-13.0,,,14.4,,-4.0,-345.2,27.0,13.8,,-1.4,10.1,-7.0,12.0,22.6,8.0,,9.4,-12.0,True,False,True,True,True,True,False,True,True,False,False,False,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,,,True,,True,False,False,True,,True,True,True,True,False,True,,True,True
Tennessee,8819,8910.4,8960.0,8736.6,9009.1,9043.0,9006.0,8927.0,8737.0,8878.8,8925.0,8470.7,9139.0,9079.8,8870.8,8882.4,8939.5,,9097.1,9122.0,9182.0,8735.7,8938.2,8913.0,8910.1,8996.0,9055.5,8999.0,9024.3,8853.1,8912.0,,9101.6,8859.5,,8982.0,8978.6,8827.0,8866.0,,9409.0,9008.3,8919.3,8850.0,9019.9,8867.0,,8484.2,8956.0,91.4,141.0,-82.4,190.1,224.0,187.0,108.0,-82.0,59.8,106.0,-348.3,320.0,260.8,51.8,63.4,120.5,,278.1,303.0,363.0,-83.3,119.2,94.0,91.1,177.0,236.5,180.0,205.3,34.1,93.0,,282.6,40.5,,163.0,159.6,8.0,47.0,,590.0,189.3,100.3,31.0,200.9,48.0,,-334.8,137.0,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,,False,False,False,True,False,False,True,False,False,False,False,True,False,,False,True,,False,False,True,True,,False,False,False,True,False,True,,False,False
Texas,34725,34418.0,34708.8,33141.9,34505.4,34442.0,34543.0,34473.0,33960.0,33959.8,34759.0,32110.8,35188.0,35042.5,34538.7,34835.8,34514.9,,33160.5,34814.0,34465.0,34292.3,34433.1,34776.5,34753.6,34555.0,34257.3,34555.5,34679.7,34734.9,34095.5,,34588.7,34429.2,,34890.0,33316.5,34299.0,34341.3,,34395.4,34584.0,34540.3,34359.0,34449.7,34640.0,,33436.7,34267.0,-307.0,-16.2,-1583.1,-219.6,-283.0,-182.0,-252.0,-765.0,-765.2,34.0,-2614.2,463.0,317.5,-186.3,110.8,-210.1,,-1564.5,89.0,-260.0,-432.7,-291.9,51.5,28.6,-170.0,-467.7,-169.5,-45.3,9.9,-629.5,,-136.3,-295.8,,165.0,-1408.5,-426.0,-383.7,,-329.6,-141.0,-184.7,-366.0,-275.3,-85.0,,-1288.3,-458.0,True,False,True,True,True,True,False,False,True,False,False,False,True,True,True,,False,True,True,False,True,True,True,True,False,True,True,True,False,,True,True,,True,False,False,False,,False,True,True,False,True,True,,False,False
Utah,1582,1579.6,1597.4,1677.7,1576.4,1588.0,1580.0,1584.0,1492.0,1588.9,1593.0,1483.7,1643.0,1571.7,1560.7,1620.5,1582.8,,1602.2,1606.0,1600.0,1169.7,1570.4,1562.0,1598.4,1620.0,,1587.0,1592.4,1585.7,1565.0,,,1569.2,,1595.0,1408.8,1573.0,1580.2,,1882.8,1597.3,1574.7,1567.0,1582.5,1593.0,,1084.6,1583.0,-2.4,15.4,95.7,-5.6,6.0,-2.0,2.0,-90.0,6.9,11.0,-98.3,61.0,-10.3,-21.3,38.5,0.8,,20.2,24.0,18.0,-412.3,-11.6,-20.0,16.4,38.0,,5.0,10.4,3.7,-17.0,,,-12.8,,13.0,-173.2,-9.0,-1.8,,300.8,15.3,-7.3,-15.0,0.5,11.0,,-497.4,1.0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,,False,False,False,False,,,False,,False,False,False,True,,False,False,False,False,True,False,,False,True
Vermont,170,169.0,173.8,169.4,168.5,171.0,170.0,175.0,169.0,179.9,180.0,185.4,198.0,172.1,175.0,170.5,173.9,,200.6,186.0,174.0,198.3,186.1,174.0,168.3,194.0,165.3,173.0,178.6,171.3,178.0,,,166.2,,175.0,159.8,179.0,167.4,,177.5,184.1,176.6,172.0,173.5,168.0,,167.8,176.0,-1.0,3.8,-0.6,-1.5,1.0,0.0,5.0,-1.0,9.9,10.0,15.4,28.0,2.1,5.0,0.5,3.9,,30.6,16.0,4.0,28.3,16.1,4.0,-1.7,24.0,-4.7,3.0,8.6,1.3,8.0,,,-3.8,,5.0,-10.2,9.0,-2.6,,7.5,14.1,6.6,2.0,3.5,-2.0,,-2.2,6.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,,False,False,False,False,,False,False,False,False,False,False,,False,False
Virginia,6079,6025.6,6051.0,5819.6,6014.1,6064.0,6031.0,6038.0,5880.0,6030.2,6031.0,5772.7,6130.0,6192.4,6065.1,6133.8,5966.2,,5947.2,6121.0,6049.0,6216.0,6082.5,6135.0,6103.7,6098.0,6012.9,6056.2,6073.1,6072.9,6033.0,,5973.2,6023.2,,6112.0,6042.4,6021.0,6020.4,,6444.6,6061.5,6093.6,6040.0,6016.1,6048.0,,5854.7,6050.0,-53.4,-28.0,-259.4,-64.9,-15.0,-48.0,-41.0,-199.0,-48.8,-48.0,-306.3,51.0,113.4,-13.9,54.8,-112.8,,-131.8,42.0,-30.0,137.0,3.5,56.0,24.7,19.0,-66.1,-22.8,-5.9,-6.1,-46.0,,-105.8,-55.8,,33.0,-36.6,-58.0,-58.6,,365.6,-17.5,14.6,-39.0,-62.9,-31.0,,-224.3,-29.0,True,False,False,True,True,True,False,True,True,False,True,False,True,False,False,,False,True,True,False,True,False,True,True,False,True,True,True,True,,False,False,,True,True,False,False,,False,True,True,True,False,True,,False,True
Washington,4114,4078.7,4144.1,4025.4,4100.3,4104.0,4108.0,4113.0,4058.0,4106.5,4174.0,3975.2,4127.0,4050.0,4039.4,4308.6,4077.2,,4778.4,4186.0,4147.0,4154.6,4067.8,4106.0,4102.0,4252.0,4037.8,4182.5,4138.2,4081.6,4151.0,,4084.3,4033.7,,4143.0,4235.0,4004.0,4067.2,,4340.9,4184.3,4112.7,4100.0,4133.6,4113.0,,3988.4,3922.0,-35.3,30.1,-88.6,-13.7,-10.0,-6.0,-1.0,-56.0,-7.5,60.0,-138.8,13.0,-64.0,-74.6,194.6,-36.8,,664.4,72.0,33.0,40.6,-46.2,-8.0,-12.0,138.0,-76.2,68.5,24.2,-32.4,37.0,,-29.7,-80.3,,29.0,121.0,-110.0,-46.8,,226.9,70.3,-1.3,-14.0,19.6,-1.0,,-125.6,-192.0,True,False,True,True,True,True,False,True,False,False,True,False,False,False,False,,False,False,True,False,False,True,True,False,False,False,True,True,False,,True,False,,True,False,False,False,,False,False,True,True,True,True,,False,False
West Virginia,1872,1942.3,1953.9,1841.8,1950.0,1940.0,1952.0,1948.0,1876.0,1920.9,1954.0,1784.3,2040.0,2029.6,1927.0,1946.1,1909.3,,1969.6,1921.0,1938.0,1966.0,1937.1,2001.0,1939.0,1952.0,,1953.9,1957.4,1943.3,1967.0,,,1943.6,,1950.0,1988.7,1895.0,1933.5,,2005.7,1964.1,1928.8,1913.0,1954.4,1958.0,,1865.4,1946.0,70.3,81.9,-30.2,78.0,68.0,80.0,76.0,4.0,48.9,82.0,-87.7,168.0,157.6,55.0,74.1,37.3,,97.6,49.0,66.0,94.0,65.1,129.0,67.0,80.0,,81.9,85.4,71.3,95.0,,,71.6,,78.0,116.7,23.0,61.5,,133.7,92.1,56.8,41.0,82.4,86.0,,-6.6,74.0,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,,False,True,True,False,True,False,True,False,,False,False,False,False,,,False,,False,False,True,True,,False,False,True,True,False,False,,True,False
Wisconsin,6184,6194.0,6160.4,5878.2,6231.4,6155.0,6243.0,6185.0,6009.0,6131.3,6148.0,5889.5,6195.0,6116.1,6188.1,6198.5,6132.7,,5991.6,6071.0,6194.0,6213.4,6116.0,6133.0,6180.7,6186.0,6128.2,6226.4,6162.1,6225.4,6126.0,,6108.6,6191.1,,6209.0,5236.0,6110.0,6192.8,,6466.4,6245.5,6203.8,6114.0,6267.4,6186.0,,6097.4,5887.0,10.0,-23.6,-305.8,47.4,-29.0,59.0,1.0,-175.0,-52.7,-36.0,-294.5,11.0,-67.9,4.1,14.5,-51.3,,-192.4,-113.0,10.0,29.4,-68.0,-51.0,-3.3,2.0,-55.8,42.4,-21.9,41.4,-58.0,,-75.4,7.1,,25.0,-948.0,-74.0,8.8,,282.4,61.5,19.8,-70.0,83.4,2.0,,-86.6,-297.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,True,True,False,False,False,False,False,,False,True,,False,False,False,True,,False,False,False,False,False,True,,False,False
Wyoming,571,550.3,557.5,550.5,554.6,549.0,555.0,555.0,528.0,554.7,587.0,528.8,572.0,595.6,544.8,592.9,542.2,,622.9,563.0,565.0,552.4,547.5,555.0,543.8,562.0,,559.7,562.2,561.2,568.0,,,537.6,,570.0,485.2,537.0,532.9,,576.3,570.3,561.6,547.0,568.3,534.0,,546.1,549.0,-20.7,-13.5,-20.5,-16.4,-22.0,-16.0,-16.0,-43.0,-16.3,16.0,-42.2,1.0,24.6,-26.2,21.9,-28.8,,51.9,-8.0,-6.0,-18.6,-23.5,-16.0,-27.2,-9.0,,-11.3,-8.8,-9.8,-3.0,,,-33.4,,-1.0,-85.8,-34.0,-38.1,,5.3,-0.7,-9.4,-24.0,-2.7,-37.0,,-24.9,-22.0,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,,False,True,True,True,False,True,False,True,,True,True,True,True,,,False,,True,False,False,False,,True,True,True,False,True,False,,False,False
US,424834,417539.7,420213.9,405409.5,418559.6,,419186.0,418381.0,411806.0,414580.0,419413.0,397064.2,431139.0,424176.6,418504.7,418638.7,,427587.0,416130.8,418617.0,,414481.2,416840.4,418814.0,420231.4,420844.0,417442.0,419033.0,419976.7,419395.2,416491.0,416694.9,420666.6,416431.8,415261.0,419818.0,415649.0,415080.0,415741.1,416026.0,,419627.3,417960.3,412772.0,419335.5,420368.0,415995.3,407308.6,413515.0,-64.3,2609.9,-12194.5,955.6,,1582.0,777.0,-5798.0,-3024.0,1809.0,-20539.8,13535.0,6572.6,900.7,1034.7,,9983.0,-1473.2,1013.0,,-3122.8,-763.6,1210.0,2627.4,3240.0,-162.0,1429.0,2372.7,1791.2,-1113.0,-909.1,3062.6,-1172.2,-2343.0,2214.0,-1955.0,-2524.0,-1862.9,-1578.0,,2023.3,356.3,-4832.0,1731.5,2764.0,-1608.7,-10295.4,-4089.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False
