,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,QJHong-Encounter,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-QJHong-Encounter,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR
New Jersey,20934,18488.1,21438.8,20443.1,18738.0,,20998.0,-2445.9,504.8,-490.9,-2196.0,,64.0,True,True,True,,True
New Mexico,3115,2871.0,4085.1,2902.5,2926.0,,2277.7,-244.0,970.1,-212.5,-189.0,,-837.3,False,True,True,,False
New York,42134,36861.0,39494.8,41455.8,36854.0,,42659.0,-5273.0,-2639.2,-678.2,-5280.0,,525.0,True,True,False,,True
North Carolina,8586,7053.4,7880.2,10400.3,7307.0,,7421.9,-1532.6,-705.8,1814.3,-1279.0,,-1164.1,True,False,True,,True
North Dakota,1436,1820.3,2271.7,1435.7,2110.0,,1172.0,384.3,835.7,-0.3,674.0,,-264.0,False,True,False,,True
Ohio,16360,8422.9,12111.5,11937.3,9644.0,,10624.2,-7007.1,-3318.5,-3492.7,-5786.0,,-4805.8,True,True,True,,True
Oklahoma,3231,2572.9,3403.4,3273.7,2958.0,,2997.4,-658.1,172.4,42.7,-273.0,,-233.6,True,True,True,,True
Oregon,1877,1342.6,1882.8,1448.1,1452.0,,1678.6,-534.4,5.8,-428.9,-425.0,,-198.4,True,True,True,,True
Pennsylvania,20454,14474.9,16792.7,17077.7,16480.0,,14297.3,-5979.1,-3661.3,-3376.3,-3974.0,,-6156.7,True,True,True,,False
Rhode Island,2256,1648.3,1987.1,1831.2,1613.0,,1631.8,-558.7,-219.9,-375.8,-594.0,,-575.2,True,True,False,,False
South Carolina,6479,5797.6,5617.9,5052.7,5329.0,,5821.2,-681.4,-861.1,-1426.3,-1150.0,,-657.8,False,False,False,,True
South Dakota,1696,2369.0,2066.1,1291.9,2605.0,,1274.7,673.0,370.1,-404.1,909.0,,-421.3,True,True,False,,True
Tennessee,8819,7569.7,8424.6,7945.7,7831.0,,7783.9,-1249.3,-394.4,-873.3,-988.0,,-1035.1,True,True,True,,True
Texas,34725,30029.6,32301.7,33664.8,32642.0,,28420.9,-4368.4,-2096.3,-733.2,-1756.0,,-5977.1,True,True,True,,False
Utah,1582,1457.3,2259.9,1915.0,1779.0,,1610.8,-124.7,677.9,333.0,197.0,,28.8,False,False,False,,True
Vermont,170,98.4,57.9,70.4,91.0,,97.3,-71.6,-112.1,-99.6,-79.0,,-72.7,False,False,False,,False
Virginia,6079,5160.3,5076.5,5734.0,5294.0,,5067.7,-918.7,-1002.5,-345.0,-785.0,,-1011.3,False,True,True,,False
Washington,4114,3504.7,7371.8,4099.0,3692.0,,3809.9,-616.3,3250.8,-22.0,-429.0,,-311.1,False,True,True,,True
West Virginia,1872,1370.6,2184.8,1719.8,1643.0,,1547.5,-501.4,312.8,-152.2,-229.0,,-324.5,True,True,True,,True
Wisconsin,6184,6684.0,6252.7,6619.0,6369.0,,7390.0,500.0,68.7,435.0,185.0,,1206.0,True,True,True,,False
Wyoming,571,459.4,912.3,407.0,704.0,,402.5,-111.6,341.3,-164.0,133.0,,-168.5,False,False,False,,False
US,424834,350446.3,431898.7,394730.5,366388.0,430744.1,366866.5,-72465.7,8986.7,-28181.5,-56524.0,7832.1,-56045.5,True,True,True,True,True
