,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Maine,702,973.7,1032.2,957.0,1006.0,754.7,876.0,,755.2,922.0,1296.0,1250.5,1180.5,,786.7,641.8,271.7,330.2,255.0,304.0,52.7,174.0,,53.2,220.0,594.0,548.5,478.5,,84.7,-60.2,False,True,False,True,True,,True,True,False,False,False,,True,True
Maryland,7856,8294.9,7994.6,8311.3,8862.0,8365.9,19286.0,,8194.1,8189.0,8359.0,8427.5,7647.0,,8036.4,7026.6,438.9,138.6,455.3,1006.0,509.9,11430.0,,338.1,333.0,503.0,571.5,-209.0,,180.4,-829.4,True,False,False,False,False,,True,True,False,False,True,,True,False
Massachusetts,16067,16586.4,16645.5,16638.2,17425.0,16816.7,17275.0,,16760.1,16788.0,16327.4,16202.0,15682.0,,15133.0,14753.7,519.4,578.5,571.2,1358.0,749.7,1208.0,,693.1,721.0,260.4,135.0,-385.0,,-934.0,-1313.3,False,False,False,False,False,,False,False,True,True,True,,False,False
Michigan,16508,17738.1,17614.2,17813.0,18421.0,16914.1,17389.0,,18735.0,19052.0,17560.4,16822.0,17099.0,,16033.7,16162.9,1230.1,1106.2,1305.0,1913.0,406.1,881.0,,2227.0,2544.0,1052.4,314.0,591.0,,-474.3,-345.1,True,False,False,True,True,,False,False,True,True,True,,True,True
Minnesota,6543,7283.6,6717.8,7299.5,6904.0,6988.3,6587.0,,7310.7,7823.0,7098.2,6924.0,7376.5,,7243.8,6756.2,740.6,174.8,756.5,361.0,445.3,44.0,,767.7,1280.0,555.2,381.0,833.5,,700.8,213.2,True,False,True,True,True,,False,False,True,True,False,,True,True
Mississippi,6669,7594.4,8765.4,7491.4,7085.0,6949.8,6736.0,,7058.4,7406.0,6618.5,8181.5,7033.0,,7327.6,6197.0,925.4,2096.4,822.4,416.0,280.8,67.0,,389.4,737.0,-50.5,1512.5,364.0,,658.6,-472.0,False,True,True,True,True,,True,True,True,False,True,,True,True
Missouri,8282,8430.1,8534.9,8494.4,9044.0,8258.9,7470.0,,8582.3,8938.0,8004.8,7863.0,8077.0,,7113.6,7049.5,206.1,310.9,270.4,820.0,34.9,-754.0,,358.3,714.0,-219.2,-361.0,-147.0,,-1110.4,-1174.5,False,False,False,True,False,,False,False,False,False,True,,False,False
Montana,1356,1302.9,1280.6,1291.9,1455.0,1291.1,1170.0,,1498.7,1472.0,1413.6,1304.0,1290.0,,1362.3,1242.7,-53.1,-75.4,-64.1,99.0,-64.9,-186.0,,142.7,116.0,57.6,-52.0,-66.0,,6.3,-113.3,False,False,False,False,False,,False,False,False,True,False,,True,False
Nebraska,2082,2288.0,2100.5,2437.3,2331.0,2217.1,2009.0,,2248.9,2363.0,2438.1,2283.0,2117.0,,2110.1,2088.7,206.0,18.5,355.3,249.0,135.1,-73.0,,166.9,281.0,356.1,201.0,35.0,,28.1,6.7,True,False,False,True,True,,True,False,False,True,True,,True,True
Nevada,4957,5606.4,5483.6,5626.9,5060.0,4811.9,5033.0,,5404.1,5505.0,4733.1,6154.0,5632.0,,5336.2,4393.1,649.4,526.6,669.9,103.0,-145.1,76.0,,447.1,548.0,-223.9,1197.0,675.0,,379.2,-563.9,True,False,True,True,True,,True,True,True,False,False,,True,True
New Hampshire,1170,1307.9,1232.2,1317.4,1308.0,1360.9,1389.0,,1517.0,1469.0,1565.1,1261.0,1868.0,,1066.1,1042.0,137.9,62.2,147.4,138.0,190.9,219.0,,347.0,299.0,395.1,91.0,698.0,,-103.9,-128.0,True,False,False,False,False,,False,False,False,True,False,,True,True
New Jersey,23238,23865.4,25926.9,23780.0,25079.0,23544.6,24344.0,,24193.7,23792.0,23686.5,28101.0,22195.0,,23475.0,21220.8,627.4,2688.9,542.0,1841.0,306.6,1106.0,,955.7,554.0,448.5,4863.0,-1043.0,,237.0,-2017.2,False,True,False,True,False,,False,True,True,False,False,,True,False
New Mexico,3700,4003.9,3719.9,3978.1,3969.0,3734.5,3659.0,,3950.8,4000.0,3579.5,3990.0,3683.0,,3522.2,3442.7,303.9,19.9,278.1,269.0,34.5,-41.0,,250.8,300.0,-120.5,290.0,-17.0,,-177.8,-257.3,True,True,True,True,True,,True,True,True,True,True,,True,True
New York,47498,48964.6,50930.1,48828.4,53453.0,48792.5,54252.0,,47177.7,48122.0,50871.9,50541.0,46554.5,,49462.9,42039.9,1466.6,3432.1,1330.4,5955.0,1294.5,6754.0,,-320.3,624.0,3373.9,3043.0,-943.5,,1964.9,-5458.1,False,True,False,True,False,,True,True,False,False,True,,False,False
North Carolina,11212,11105.3,10593.8,11563.3,12644.0,10994.3,9934.0,,11818.6,11867.0,12616.4,11657.0,10569.0,,10316.0,9246.0,-106.7,-618.2,351.3,1432.0,-217.7,-1278.0,,606.6,655.0,1404.4,445.0,-643.0,,-896.0,-1966.0,False,False,False,False,False,,False,False,False,False,False,,False,False
North Dakota,1475,1675.4,1552.9,1661.4,1524.0,1520.8,1533.0,,1345.9,1631.0,1535.4,1584.0,1469.0,,1416.2,1537.4,200.4,77.9,186.4,49.0,45.8,58.0,,-129.1,156.0,60.4,109.0,-6.0,,-58.8,62.4,True,True,True,True,True,,True,True,True,True,True,,True,True
Ohio,18179,13556.1,13891.4,13351.6,12378.0,12270.7,12307.0,,13515.9,13302.0,14608.8,13795.0,12455.0,,14001.7,11686.5,909.1,1244.4,704.6,-269.0,-376.3,-340.0,,868.9,655.0,1961.8,1148.0,-192.0,,1354.7,-960.5,False,True,True,True,True,,True,True,False,False,True,,False,False
Oklahoma,4379,4310.7,4872.5,4235.8,5031.0,4108.3,4076.0,,4048.0,4514.0,4701.3,4042.0,4270.0,,4387.5,3486.7,-68.3,493.5,-143.2,652.0,-270.7,-303.0,,-331.0,135.0,322.3,-337.0,-109.0,,8.5,-892.3,False,False,False,False,False,,False,False,False,False,False,,True,False
Oregon,2208,2948.0,8633.8,2975.1,2332.0,2208.3,2207.0,,2291.6,2745.0,2933.8,2884.0,3178.0,,3003.9,2145.0,740.0,6425.8,767.1,124.0,0.3,-1.0,,83.6,537.0,725.8,676.0,970.0,,795.9,-63.0,False,False,True,True,True,,True,True,True,True,False,,False,True
Pennsylvania,23895,28263.3,30414.6,28244.4,24633.0,24495.8,23994.0,,25468.5,28649.0,24928.7,28990.5,23093.5,,26341.9,22011.0,4368.3,6519.6,4349.4,738.0,600.8,99.0,,1573.5,4754.0,1033.7,5095.5,-801.5,,2446.9,-1884.0,False,True,True,True,True,,True,False,True,False,True,,True,True
Rhode Island,2502,2526.3,3040.8,2539.2,2717.0,2628.0,2410.0,,2707.8,2686.5,2465.2,2905.0,2287.0,,2220.1,2094.0,188.3,702.8,201.2,379.0,290.0,72.0,,369.8,348.5,127.2,567.0,-51.0,,-117.9,-244.0,False,False,False,False,True,,False,False,True,False,True,,True,False
South Carolina,8498,8732.1,9961.0,8208.0,9622.0,8556.7,10129.0,,8708.8,8170.0,8512.2,8665.0,7476.0,,8480.4,6959.9,234.1,1463.0,-290.0,1124.0,58.7,1631.0,,210.8,-328.0,14.2,167.0,-1022.0,,-17.6,-1538.1,False,False,False,True,False,,True,False,True,True,False,,True,False
South Dakota,1886,2071.9,2131.5,2011.1,1913.0,1807.5,1965.0,,1854.6,2008.0,1861.8,1870.0,1849.0,,1832.2,1860.1,185.9,245.5,125.1,27.0,-78.5,79.0,,-31.4,122.0,-24.2,-16.0,-37.0,,-53.8,-25.9,False,True,True,True,True,,True,True,True,True,True,,True,True
Tennessee,11393,11940.4,12706.5,12262.5,10630.0,10541.6,10238.0,,11874.6,12762.0,11117.2,11068.0,11795.5,,11460.9,9660.2,547.4,1313.5,869.5,-763.0,-851.4,-1155.0,,481.6,1369.0,-275.8,-325.0,402.5,,67.9,-1732.8,False,False,False,False,False,,True,False,True,True,True,,True,False
Texas,43519,45023.0,51038.1,45122.4,55130.0,41673.9,41541.0,,40000.7,46956.0,43987.4,51093.5,42123.0,,41543.6,36950.7,1504.0,7519.1,1603.4,11611.0,-1845.1,-1978.0,,-3518.3,3437.0,468.4,7574.5,-1396.0,,-1975.4,-6568.3,False,False,False,False,False,,False,False,True,False,True,,False,False
Utah,1929,2084.6,2517.1,2054.5,2513.0,1937.1,2222.0,,2243.6,2226.0,1735.3,1861.0,1926.0,,2048.0,1208.1,155.6,588.1,125.5,584.0,8.1,293.0,,314.6,297.0,-193.7,-68.0,-3.0,,119.0,-720.9,False,True,False,True,False,,False,False,False,True,True,,True,False
Vermont,204,204.0,215.7,205.0,366.0,321.9,318.0,,284.8,284.0,388.5,234.0,273.0,,170.7,187.0,0.0,11.7,1.0,162.0,117.9,114.0,,80.8,80.0,184.5,30.0,69.0,,-33.3,-17.0,False,False,False,False,False,,False,False,False,False,False,,False,False
Virginia,8382,7755.6,8544.9,7654.7,7935.0,7631.2,6817.0,,7595.5,7808.0,8966.9,9205.5,7637.5,,7103.5,6383.5,-626.4,162.9,-727.3,-447.0,-750.8,-1565.0,,-786.5,-574.0,584.9,823.5,-744.5,,-1278.5,-1998.5,True,False,True,False,False,,False,True,True,False,False,,False,False
Washington,4956,5103.7,5824.4,5132.1,6082.0,5547.6,4648.0,,6786.2,5220.5,5559.9,5434.0,5702.5,,4987.0,4379.4,147.7,868.4,176.1,1126.0,591.6,-308.0,,1830.2,264.5,603.9,478.0,746.5,,31.0,-576.6,False,False,False,False,False,,False,False,False,False,False,,True,False
West Virginia,2297,2912.3,3328.7,2906.8,3005.0,2629.4,2665.0,,2837.2,2752.0,2842.5,3579.0,3051.5,,2720.0,2194.2,615.3,1031.7,609.8,708.0,332.4,368.0,,540.2,455.0,545.5,1282.0,754.5,,423.0,-102.8,False,True,False,True,True,,True,True,True,False,False,,True,True
Wisconsin,7014,7874.0,7219.9,7932.3,7751.0,7019.7,6597.0,,6891.0,7370.0,7503.7,7226.0,6918.5,,7568.3,6788.9,860.0,205.9,918.3,737.0,5.7,-417.0,,-123.0,356.0,489.7,212.0,-95.5,,554.3,-225.1,True,False,True,True,True,,True,True,True,True,True,,True,True
Wyoming,671,715.3,700.3,720.0,1166.0,688.8,663.0,,815.5,734.0,692.4,771.0,756.0,,588.8,617.8,44.3,29.3,49.0,495.0,17.8,-8.0,,144.5,63.0,21.4,100.0,85.0,,-82.2,-53.2,True,False,False,True,True,,False,False,True,False,False,,False,False
US,512938,533854.7,603459.7,535888.7,546707.0,492183.4,535714.0,547330.0,518444.2,534726.0,525544.7,561313.0,509028.5,525579.2,471684.0,449021.2,28146.7,97751.7,30180.7,40999.0,-13524.6,30006.0,41622.0,12736.2,29018.0,19836.7,55605.0,3320.5,19871.2,-34024.0,-56686.8,False,False,False,True,False,False,True,False,True,False,True,True,False,False
