,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,TTU-squider,UA-EpiCovDA,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UA-EpiCovDA,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,17294,17317.7,17545.6,17263.0,17369.9,17229.0,17370.0,17020.0,17774.0,16935.0,17185.0,16914.6,16884.0,,16858.8,15993.7,17020.1,,16880.4,17034.0,15964.6,17266.0,16309.9,17034.6,16847.0,17046.3,17431.0,17440.4,17162.2,17346.1,17377.7,16408.0,,17625.3,17006.4,16941.0,17447.3,16810.0,,17162.3,16943.0,17104.9,17011.0,,16096.9,17023.0,23.7,251.6,-31.0,75.9,-65.0,76.0,-274.0,480.0,-359.0,-109.0,-379.4,-410.0,,-435.2,-1300.3,-273.9,,-413.6,-260.0,-1329.4,-28.0,-984.1,-259.4,-447.0,-247.7,137.0,146.4,-131.8,52.1,83.7,-886.0,,331.3,-287.6,-353.0,153.3,-484.0,,-131.7,-351.0,-189.1,-283.0,,-1197.1,-271.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,,False,False
Hawaii,438,439.9,445.4,443.3,448.2,441.0,442.0,445.0,603.0,443.0,457.0,455.7,445.0,,,,441.1,,432.3,,594.7,440.0,491.6,436.3,430.0,433.8,477.0,,444.6,446.7,446.7,472.0,,,441.8,447.0,423.8,476.0,,453.6,438.0,447.4,439.0,,443.1,449.0,1.9,7.4,5.3,10.2,3.0,4.0,7.0,165.0,5.0,19.0,17.7,7.0,,,,3.1,,-5.7,,156.7,2.0,53.6,-1.7,-8.0,-4.2,39.0,,6.6,8.7,8.7,34.0,,,3.8,9.0,-14.2,38.0,,15.6,0.0,9.4,1.0,,5.1,11.0,False,False,False,False,False,False,False,False,False,False,False,,,,False,,False,,False,False,False,True,False,False,False,,False,False,False,False,,,False,False,False,False,,False,True,False,True,,False,False
Idaho,1860,1869.9,1876.9,1854.9,1875.3,1876.0,1875.0,1870.0,2020.0,1862.0,1852.0,1856.4,1845.0,,1835.2,,1911.2,,1854.6,1922.0,1950.1,1879.0,1917.7,1848.2,1849.0,1852.4,1945.0,1849.8,1866.3,1875.7,1858.3,1870.0,,,1855.9,1871.0,1719.8,1908.0,,1890.4,1848.0,1876.7,1852.0,,1883.9,1871.0,9.9,16.9,-5.1,15.3,16.0,15.0,10.0,160.0,2.0,-8.0,-3.6,-15.0,,-24.8,,51.2,,-5.4,62.0,90.1,19.0,57.7,-11.8,-11.0,-7.6,85.0,-10.2,6.3,15.7,-1.7,10.0,,,-4.1,11.0,-140.2,48.0,,30.4,-12.0,16.7,-8.0,,23.9,11.0,False,True,False,False,False,False,False,True,True,True,False,,False,,False,,True,False,False,False,False,False,False,True,False,False,True,False,True,False,,,True,False,False,False,,False,False,False,True,,False,False
Illinois,22710,22832.3,22914.4,22718.6,22890.7,22838.0,22909.0,22753.0,23272.0,22589.0,22704.0,22507.6,22828.0,,22721.7,,22752.5,,22993.8,23308.0,23627.3,22891.0,20880.8,22780.2,22669.0,22731.8,22975.0,22824.4,22939.2,22836.3,22698.1,22719.0,,22853.6,22728.8,23015.0,22688.2,22671.0,,22951.5,22714.0,22789.7,22809.0,,20731.9,22724.0,122.3,204.4,8.6,180.7,128.0,199.0,43.0,562.0,-121.0,-6.0,-202.4,118.0,,11.7,,42.5,,283.8,598.0,917.3,181.0,-1829.2,70.2,-41.0,21.8,265.0,114.4,229.2,126.3,-11.9,9.0,,143.6,18.8,305.0,-21.8,-39.0,,241.5,4.0,79.7,99.0,,-1978.1,14.0,False,True,False,False,False,True,False,True,True,False,True,,True,,True,,False,False,False,False,False,True,True,True,False,True,False,False,True,True,,False,True,False,True,True,,False,True,True,True,,False,True
Indiana,12556,12834.1,12779.8,12937.6,12945.5,12823.0,12943.0,12728.0,13160.0,12504.0,12804.0,12604.4,12602.0,,12740.1,,12855.8,,12475.5,13063.0,12335.2,12976.0,12236.4,12532.1,12653.0,12730.4,13441.0,12729.2,12712.4,12813.0,12747.0,12599.0,,12922.3,12460.3,12710.0,12066.2,12605.0,,12737.0,12598.0,12590.6,12783.0,,12472.7,12892.0,278.1,223.8,381.6,389.5,267.0,387.0,172.0,604.0,-52.0,248.0,48.4,46.0,,184.1,,299.8,,-80.5,507.0,-220.8,420.0,-319.6,-23.9,97.0,174.4,885.0,173.2,156.4,257.0,191.0,43.0,,366.3,-95.7,154.0,-489.8,49.0,,181.0,42.0,34.6,227.0,,-83.3,336.0,True,False,False,True,False,True,False,True,True,True,True,,True,,False,,True,False,True,False,False,True,True,True,False,True,True,True,True,True,,False,True,True,False,True,,True,True,True,True,,True,False
Iowa,5470,5473.7,5572.8,5764.3,5408.8,5467.0,5492.0,5512.0,6099.0,5444.0,5748.0,5752.7,5515.0,,5548.7,,5471.9,,5532.8,5546.0,5589.7,5629.0,5488.3,5532.6,5514.5,5468.2,5640.0,5738.3,5477.0,5542.3,5489.5,5476.0,,5879.5,5440.1,5438.0,4867.2,5540.0,,5498.2,5433.0,5504.5,5466.0,,5510.3,5682.0,3.7,102.8,294.3,-61.2,-3.0,22.0,42.0,629.0,-26.0,278.0,282.7,45.0,,78.7,,1.9,,62.8,76.0,119.7,159.0,18.3,62.6,44.5,-1.8,170.0,268.3,7.0,72.3,19.5,6.0,,409.5,-29.9,-32.0,-602.8,70.0,,28.2,-37.0,34.5,-4.0,,40.3,212.0,False,False,False,True,False,False,False,False,False,False,False,,False,,True,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,,False,False,False,False,,False,False
Kansas,4692,4800.7,4781.9,4918.1,4743.8,4788.0,4837.0,4707.0,5236.0,4562.0,4778.0,4525.5,4579.0,,4526.0,,4883.7,,5083.8,4783.0,4398.4,4832.0,4594.7,4578.0,4704.0,4613.2,4715.0,4759.0,4723.9,4737.6,4709.7,4668.0,,,4604.9,4566.0,5097.2,4611.0,,4740.9,4639.0,4650.4,4674.0,,4626.6,5069.0,108.7,89.9,226.1,51.8,96.0,145.0,15.0,544.0,-130.0,86.0,-166.5,-113.0,,-166.0,,191.7,,391.8,91.0,-293.6,140.0,-97.3,-114.0,12.0,-78.8,23.0,67.0,31.9,45.6,17.7,-24.0,,,-87.1,-126.0,405.2,-81.0,,48.9,-53.0,-41.6,-18.0,,-65.4,377.0,True,False,True,True,False,True,False,False,True,False,False,,False,,False,,False,True,False,False,True,False,True,True,True,True,True,True,True,True,,,True,False,False,True,,True,True,True,True,,True,False
Kentucky,4625,4711.0,4790.2,4823.8,4775.4,4754.0,4775.9,4742.0,5125.0,4673.0,4614.0,4765.9,4644.0,,4632.9,,4796.1,,4717.9,5041.0,5682.3,4788.0,4798.8,4668.6,4606.0,4662.1,4948.0,4977.7,4773.7,4758.9,4642.9,4873.0,,,4672.4,4609.0,4350.3,4657.0,,4795.7,4616.0,4802.7,4699.0,,4564.4,4775.0,86.0,165.2,198.8,150.4,129.0,150.9,117.0,500.0,48.0,-11.0,140.9,19.0,,7.9,,171.1,,92.9,416.0,1057.3,163.0,173.8,43.6,-19.0,37.1,323.0,352.7,148.7,133.9,17.9,248.0,,,47.4,-16.0,-274.7,32.0,,170.7,-9.0,177.7,74.0,,-60.6,150.0,False,False,False,False,False,False,False,True,True,False,True,,True,,False,,False,False,False,False,False,True,True,True,False,False,False,False,True,False,,,True,True,False,True,,False,True,False,True,,True,False
Louisiana,9587,9613.3,9626.5,9595.0,9702.1,9634.0,9676.0,9635.0,10008.0,9635.0,9585.0,9673.6,9705.0,,9594.6,,9593.6,,9538.9,9845.0,9884.8,9690.0,9673.8,9611.2,9509.0,9517.0,9883.0,9715.5,9650.1,9689.8,9530.4,9594.0,,9673.9,9518.0,9767.0,10379.3,9570.0,,9667.2,9587.0,9706.6,9574.0,,9600.9,9604.0,26.3,39.5,8.0,115.1,47.0,89.0,48.0,421.0,48.0,-2.0,86.6,118.0,,7.6,,6.6,,-48.1,258.0,297.8,103.0,86.8,24.2,-78.0,-70.0,296.0,128.5,63.1,102.8,-56.6,7.0,,86.9,-69.0,180.0,792.3,-17.0,,80.2,0.0,119.6,-13.0,,13.9,17.0,False,True,False,False,False,False,False,False,True,False,False,,True,,True,,False,False,False,False,False,True,False,False,False,False,False,False,False,True,,False,False,False,False,True,,False,True,False,True,,True,True
Maine,702,675.0,688.9,680.1,674.4,674.0,673.0,687.0,802.0,689.0,667.0,705.1,683.0,,671.8,,748.1,,685.0,766.0,663.5,689.0,800.3,695.6,674.0,674.2,744.0,,724.2,703.1,683.2,698.0,,,664.0,,783.3,680.0,,748.6,684.0,700.8,666.0,,696.6,685.0,-27.0,-13.1,-21.9,-27.6,-28.0,-29.0,-15.0,100.0,-13.0,-35.0,3.1,-19.0,,-30.2,,46.1,,-17.0,64.0,-38.5,-13.0,98.3,-6.4,-28.0,-27.8,42.0,,22.2,1.1,-18.8,-4.0,,,-38.0,,81.3,-22.0,,46.6,-18.0,-1.2,-36.0,,-5.4,-17.0,True,True,False,False,False,True,False,True,False,True,True,,False,,False,,True,False,False,True,False,True,False,False,False,,True,True,True,True,,,False,,False,True,,False,True,True,False,,True,True
Maryland,7856,7934.7,7959.2,7870.9,7947.5,7910.0,7950.0,7896.0,8192.0,7896.0,7843.0,7799.6,7852.0,,8051.7,,7924.3,,7912.4,8025.0,7879.7,7935.0,7900.7,7824.9,7817.0,7844.8,7979.0,7845.0,7980.1,7897.3,7935.4,8015.0,,7894.9,7863.5,7945.0,7781.0,7881.0,,8002.4,7827.0,7801.1,7841.0,,7812.7,7900.0,78.7,103.2,14.9,91.5,54.0,94.0,40.0,336.0,40.0,-13.0,-56.4,-4.0,,195.7,,68.3,,56.4,169.0,23.7,79.0,44.7,-31.1,-39.0,-11.2,123.0,-11.0,124.1,41.3,79.4,159.0,,38.9,7.5,89.0,-75.0,25.0,,146.4,-29.0,-54.9,-15.0,,-43.3,44.0,False,True,False,True,False,True,False,True,True,True,True,,False,,True,,True,False,True,False,True,True,True,True,False,True,False,True,False,False,,True,True,False,True,True,,False,True,True,True,,True,True
