,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Kansas,4692,3059.0,4747.1,3445.0,4265.5,-1633.0,55.1,-1247.0,-426.5,True,True,True
Kentucky,4625,3297.4,4598.1,3860.0,3783.4,-1327.6,-26.9,-765.0,-841.6,True,True,True
Louisiana,9587,8297.0,12077.9,8088.0,8887.4,-1290.0,2490.9,-1499.0,-699.6,False,False,True
Maine,702,383.9,800.2,566.0,285.9,-318.1,98.2,-136.0,-416.1,True,True,False
Maryland,7856,7080.7,8184.6,6616.0,6714.9,-775.3,328.6,-1240.0,-1141.1,True,False,False
Massachusetts,16067,13422.0,16321.6,13498.0,12235.5,-2645.0,254.6,-2569.0,-3831.5,True,True,False
Michigan,16508,17078.4,24669.9,17886.0,12019.2,570.4,8161.9,1378.0,-4488.8,False,False,False
Minnesota,6543,8008.4,12205.7,9711.0,9392.2,1465.4,5662.7,3168.0,2849.2,False,False,False
Mississippi,6669,5477.4,5836.5,5254.0,5716.6,-1191.6,-832.5,-1415.0,-952.4,True,False,True
Missouri,8282,7347.1,8847.0,7438.0,6233.6,-905.9,594.0,-815.0,-2019.4,True,True,False
Montana,1356,1545.3,1975.1,1947.0,1437.1,189.3,619.1,591.0,81.1,False,False,True
Nebraska,2082,2017.6,3303.0,2835.0,1412.0,-64.4,1221.0,753.0,-670.0,False,False,False
Nevada,4957,3666.0,4595.1,3263.0,3300.9,-1291.0,-361.9,-1694.0,-1656.1,True,False,False
New Hampshire,1170,706.0,1091.7,887.0,673.2,-464.0,-78.3,-283.0,-496.8,True,True,False
New Jersey,23238,19768.0,23215.0,20105.0,23121.0,-3470.0,-23.0,-3133.0,-117.0,True,True,True
New Mexico,3700,3558.6,6166.3,3641.0,3021.9,-141.4,2466.3,-59.0,-678.1,False,True,False
New York,47498,37672.4,45465.6,38941.0,40737.0,-9813.6,-2020.4,-8545.0,-6749.0,True,True,True
North Carolina,11212,7888.6,9104.7,8691.0,7581.2,-3323.4,-2107.3,-2521.0,-3630.8,True,True,False
North Dakota,1475,1954.6,2375.7,2240.0,1128.6,479.6,900.7,765.0,-346.4,False,False,True
Ohio,18179,11580.4,17676.2,13442.0,15790.8,-5154.6,941.2,-3293.0,-944.2,True,True,True
Oklahoma,4379,3047.4,4686.6,3702.0,4134.6,-1331.6,307.6,-677.0,-244.4,True,True,True
Oregon,2208,1997.9,5205.4,1794.0,2381.2,-210.1,2997.4,-414.0,173.2,False,False,True
Pennsylvania,23895,16481.3,24532.2,19336.0,13664.0,-7413.7,637.2,-4559.0,-10231.0,True,True,False
Rhode Island,2502,2014.6,2385.1,1737.0,1882.0,-425.4,-54.9,-703.0,-558.0,True,False,False
South Carolina,8498,5253.0,6198.9,5933.0,5796.2,-3245.0,-2299.1,-2565.0,-2701.8,True,True,True
South Dakota,1886,2537.3,2416.5,3411.0,1406.7,651.3,530.5,1525.0,-479.3,True,False,True
Tennessee,11393,8256.9,12015.0,9688.0,10416.5,-3136.1,622.0,-1705.0,-976.5,True,True,True
Texas,43519,32514.4,38997.9,38569.0,29784.6,-10648.6,-4165.1,-4594.0,-13378.4,True,True,False
Utah,1929,1832.3,3151.5,2485.0,1576.4,-96.7,1222.5,556.0,-352.6,False,False,False
Vermont,204,118.4,57.9,121.0,84.1,-85.6,-146.1,-83.0,-119.9,False,True,False
Virginia,8382,5600.9,6284.1,5835.5,5226.5,-2781.1,-2097.9,-2546.5,-3155.5,True,True,False
Washington,4956,3783.0,14869.3,4240.0,5289.9,-1145.0,9941.3,-688.0,361.9,False,True,True
West Virginia,2297,1590.4,3002.9,2138.0,2585.8,-706.6,705.9,-159.0,288.8,True,True,True
Wisconsin,7014,7819.9,7463.2,8698.0,6289.7,805.9,449.2,1684.0,-724.3,True,False,True
Wyoming,671,716.4,1270.8,860.0,484.5,45.4,599.8,189.0,-186.5,False,False,False
US,512938,395534.4,513343.0,419214.0,380781.6,-114758.6,3050.0,-91079.0,-129511.4,True,True,False
