,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,FDANIHASU-Sweight,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-FDANIHASU-Sweight,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-FDANIHASU-Sweight,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Michigan,16508,17667.9,17439.0,17741.2,17479.0,17308.9,17122.0,,,17147.9,17633.0,16164.3,17180.5,16673.9,16414.0,19422.0,,15663.4,,17144.0,16487.6,1159.9,931.0,1233.2,971.0,800.9,614.0,,,639.9,1125.0,-343.7,672.5,165.9,-94.0,2914.0,,-844.6,,636.0,-20.4,True,False,True,True,True,,,True,True,True,True,True,True,False,,True,,True,True
Minnesota,6543,6979.0,6720.3,7011.1,6864.0,7052.9,6570.0,,,6774.6,7350.0,6608.3,6987.8,6615.7,6674.0,7317.0,,7282.7,,6757.0,6772.5,436.0,177.3,468.1,321.0,509.9,27.0,,,231.6,807.0,65.3,444.8,72.7,131.0,774.0,,739.7,,214.0,229.5,True,False,True,False,True,,,True,False,True,False,True,True,False,,False,,True,True
Mississippi,6669,6991.1,6393.5,7106.7,7011.0,7211.5,6555.0,,,6835.0,7256.0,6855.3,6623.5,6619.1,6661.0,7008.0,,6751.2,,6989.0,6401.6,322.1,-275.5,437.7,342.0,542.5,-114.0,,,166.0,587.0,186.3,-45.5,-49.9,-8.0,339.0,,82.2,,320.0,-267.4,True,False,False,False,True,,,True,False,True,True,True,True,False,,True,,True,True
Missouri,8282,8301.3,8283.3,8308.6,8142.0,8120.4,7826.0,,,6937.4,8508.0,7019.3,7725.6,7905.0,7597.0,7913.0,,7313.9,,7472.0,7173.4,86.3,68.3,93.6,-73.0,-94.6,-389.0,,,-1277.6,293.0,-1195.7,-489.4,-310.0,-618.0,-302.0,,-901.1,,-743.0,-1041.6,True,False,True,False,False,,,False,False,False,False,False,False,False,,False,,False,False
Montana,1356,1437.6,1288.9,1406.0,1332.0,1370.5,1227.0,,,1264.0,1311.0,1204.0,1393.2,1274.3,1218.0,1303.0,,1511.2,,1257.0,1289.4,81.6,-67.1,50.0,-24.0,14.5,-129.0,,,-92.0,-45.0,-152.0,37.2,-81.7,-138.0,-53.0,,155.2,,-99.0,-66.6,True,True,True,True,False,,,False,True,False,True,False,False,True,,False,,False,True
Nebraska,2082,2083.0,2037.4,2089.6,2210.0,2102.5,1976.0,,,2184.7,2257.5,2085.6,2351.1,2088.7,1979.0,2116.0,,2032.4,,2112.0,2085.2,1.0,-44.6,7.6,128.0,20.5,-106.0,,,102.7,175.5,3.6,269.1,6.7,-103.0,34.0,,-49.6,,30.0,3.2,False,False,False,False,False,,,False,False,False,False,False,False,False,,False,,False,False
Nevada,4957,5225.7,5364.9,5261.0,4922.0,5085.0,5045.0,,,5285.5,5452.0,4692.0,4733.0,4871.5,5100.5,5503.0,,4963.8,,4894.0,4595.7,268.7,407.9,304.0,-35.0,128.0,88.0,,,328.5,495.0,-265.0,-224.0,-85.5,143.5,546.0,,6.8,,-63.0,-361.3,False,False,True,True,True,,,False,False,True,True,True,True,False,,True,,True,False
New Hampshire,1170,1249.3,1189.4,1250.8,1292.0,1424.6,1270.0,,,1299.7,1348.0,1229.5,1472.6,1310.0,1148.0,1694.0,,1137.2,,1277.0,1088.4,79.3,19.4,80.8,122.0,254.6,100.0,,,129.7,178.0,59.5,302.6,140.0,-22.0,524.0,,-32.8,,107.0,-81.6,True,False,False,False,False,,,False,False,True,False,False,True,False,,True,,False,False
New Jersey,23238,23437.9,24658.1,23534.2,24639.0,24110.1,24055.0,,,23450.7,23800.0,23417.9,23317.8,23689.2,23460.5,22295.0,,23455.6,,23465.0,21641.6,199.9,1420.1,296.2,1401.0,872.1,817.0,,,212.7,562.0,179.9,79.8,451.2,222.5,-943.0,,217.6,,227.0,-1596.4,False,False,False,False,False,,,False,False,True,True,False,False,False,,False,,False,False
New Mexico,3700,4179.6,3851.4,4139.4,3920.0,3794.3,3797.0,,,3871.2,3910.0,3514.6,3644.2,3713.5,3911.0,3765.0,,3785.8,,3889.0,3604.7,479.6,151.4,439.4,220.0,94.3,97.0,,,171.2,210.0,-185.4,-55.8,13.5,211.0,65.0,,85.8,,189.0,-95.3,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,,True,True
New York,47498,48794.7,50831.4,48782.6,50799.0,49334.7,52366.0,,,48446.9,48063.0,48891.6,49501.8,50236.9,48048.0,47678.5,,49114.0,,49282.0,43599.2,1296.7,3333.4,1284.6,3301.0,1836.7,4868.0,,,948.9,565.0,1393.6,2003.8,2738.9,550.0,180.5,,1616.0,,1784.0,-3898.8,False,True,False,False,False,,,True,True,False,False,False,True,True,,False,,False,False
North Carolina,11212,11667.6,11003.6,11435.7,11423.0,11896.4,10529.0,,,11146.0,11561.0,10622.2,12047.3,10876.4,13265.0,11350.5,,10942.8,,11751.0,9809.3,455.6,-208.4,223.7,211.0,684.4,-683.0,,,-66.0,349.0,-589.8,835.3,-335.6,2053.0,138.5,,-269.2,,539.0,-1402.7,True,True,True,False,False,,,True,True,False,False,True,False,True,,True,,False,False
North Dakota,1475,1581.7,1557.9,1601.4,1571.0,1516.1,1516.0,,,1585.0,1639.0,1537.7,1527.5,1496.1,1515.0,1587.0,,1497.3,,1560.0,1538.6,106.7,82.9,126.4,96.0,41.1,41.0,,,110.0,164.0,62.7,52.5,21.1,40.0,112.0,,22.3,,85.0,63.6,True,False,True,True,True,,,False,False,True,True,True,True,False,,True,,True,True
Ohio,18179,13193.0,13545.6,13405.3,12467.0,12663.1,12204.0,,,12864.0,13810.0,12067.4,13950.7,12588.7,12301.0,14758.0,,13763.0,,12895.0,12046.0,767.0,1119.6,979.3,41.0,237.1,-222.0,,,438.0,1384.0,-358.6,1524.7,162.7,-125.0,2332.0,,1337.0,,469.0,-380.0,False,False,True,True,True,,,True,False,True,False,True,True,False,,False,,True,True
Oklahoma,4379,4697.3,4932.1,4626.2,4515.0,4294.8,4139.0,,,4059.9,4504.0,3837.4,4580.8,3983.4,4322.0,4371.0,,4702.4,,4485.0,3773.3,318.3,553.1,247.2,136.0,-84.2,-240.0,,,-319.1,125.0,-541.6,201.8,-395.6,-57.0,-8.0,,323.4,,106.0,-605.7,False,True,True,True,True,,,False,True,False,True,False,True,True,,False,,True,False
Oregon,2208,2268.6,3010.2,2267.0,2343.0,2271.9,2262.0,,,2717.8,2574.0,2324.6,2692.7,2295.6,2305.0,3436.0,,2277.5,,2240.0,2163.5,60.6,802.2,59.0,135.0,63.9,54.0,,,509.8,366.0,116.6,484.7,87.6,97.0,1228.0,,69.5,,32.0,-44.5,False,True,False,False,True,,,False,False,False,False,False,False,False,,False,,True,True
Pennsylvania,23895,26734.6,28517.8,27008.0,24758.0,25402.1,24425.0,,,25474.0,27743.0,23732.4,24877.1,25041.0,25510.5,24444.5,,25525.2,,25316.0,23209.5,2839.6,4622.8,3113.0,863.0,1507.1,530.0,,,1579.0,3848.0,-162.6,982.1,1146.0,1615.5,549.5,,1630.2,,1421.0,-685.5,False,False,True,True,True,,,True,False,True,True,True,True,True,,True,,True,True
Rhode Island,2502,2461.9,2285.5,2473.0,2480.0,2660.3,2336.0,,,2439.4,2574.0,2337.2,2375.3,2459.1,2398.0,2380.0,,2212.7,,2255.0,2166.6,148.9,-27.5,160.0,167.0,347.3,23.0,,,126.4,261.0,24.2,62.3,146.1,85.0,67.0,,-100.3,,-58.0,-146.4,True,False,False,False,True,,,True,False,True,True,True,True,True,,True,,True,True
South Carolina,8498,8052.7,9746.8,8334.5,9211.0,9070.6,9477.0,,,8803.0,8406.0,8909.7,8469.0,7966.1,7375.0,8650.0,,8146.9,,8778.0,7224.7,-445.3,1248.8,-163.5,713.0,572.6,979.0,,,305.0,-92.0,411.7,-29.0,-531.9,-1123.0,152.0,,-351.1,,280.0,-1273.3,False,True,False,False,False,,,True,True,True,True,False,False,True,,True,,True,False
South Dakota,1886,1943.0,1989.2,2011.0,1928.0,1828.5,1900.0,,,1976.1,1943.0,1865.0,1875.7,1836.1,1828.0,1880.0,,1844.3,,1904.0,1884.0,57.0,103.2,125.0,42.0,-57.5,14.0,,,90.1,57.0,-21.0,-10.3,-49.9,-58.0,-6.0,,-41.7,,18.0,-2.0,False,False,True,False,True,,,False,False,True,True,True,False,True,,True,,True,True
Tennessee,11393,11132.1,11016.5,11139.1,10239.0,11032.5,10051.0,,,11132.4,11598.0,9734.0,10785.9,10451.1,10108.0,11576.5,,10817.1,,10448.0,9913.4,-260.9,-376.5,-253.9,-1154.0,-360.5,-1342.0,,,-260.6,205.0,-1659.0,-607.1,-941.9,-1285.0,183.5,,-575.9,,-945.0,-1479.6,False,True,False,False,False,,,True,True,False,False,False,False,True,,False,,False,False
Texas,43519,46135.9,50727.7,46207.9,51938.0,45132.7,44429.0,,,43586.8,45968.0,45731.0,43648.1,46012.2,44571.0,44918.5,,43296.8,,46283.0,39072.3,2616.9,7208.7,2688.9,8419.0,1613.7,910.0,,,67.8,2449.0,2212.0,129.1,2493.2,1052.0,1399.5,,-222.2,,2764.0,-4446.7,False,False,False,True,True,,,True,True,True,True,True,True,True,,True,,False,False
Utah,1929,2090.4,2261.1,2066.8,2122.0,1981.2,2196.0,,,2023.2,2018.0,1845.7,1637.9,1944.0,1889.0,1982.0,,2031.3,,1860.0,1263.6,161.4,332.1,137.8,193.0,52.2,267.0,,,94.2,89.0,-83.3,-291.1,15.0,-40.0,53.0,,102.3,,-69.0,-665.4,False,True,False,True,False,,,True,True,True,False,True,True,True,,True,,True,False
Vermont,204,204.0,194.2,205.0,253.0,290.6,272.0,,,282.3,253.0,188.7,342.7,259.0,182.0,227.0,,192.6,,204.0,192.0,0.0,-9.8,1.0,49.0,86.6,68.0,,,78.3,49.0,-15.3,138.7,55.0,-22.0,23.0,,-11.4,,0.0,-12.0,False,False,False,False,False,,,False,False,False,False,False,False,False,,False,,True,False
Virginia,8382,7773.1,8493.8,7944.1,8372.0,7896.7,7587.0,,,8162.4,7698.0,7968.3,8763.5,7615.2,7875.0,8404.5,,7234.3,,8031.0,6718.1,-608.9,111.8,-437.9,-10.0,-485.3,-795.0,,,-219.6,-684.0,-413.7,381.5,-766.8,-507.0,22.5,,-1147.7,,-351.0,-1663.9,True,True,True,True,False,,,True,False,True,True,False,True,True,,False,,True,False
Washington,4956,5138.9,4893.2,5169.0,5195.0,5430.5,4774.0,,,5232.6,5061.5,4701.5,5425.4,4967.4,4659.0,5722.0,,5089.6,,4591.0,4559.2,182.9,-62.8,213.0,239.0,474.5,-182.0,,,276.6,105.5,-254.5,469.4,11.4,-297.0,766.0,,133.6,,-365.0,-396.8,True,False,False,False,True,,,False,True,False,False,True,False,False,,True,,False,False
West Virginia,2297,2473.0,2433.0,2427.1,2546.0,2672.7,2500.0,,,2654.2,2619.0,2430.9,2664.5,2437.5,2376.5,2674.0,,2432.4,,2522.0,2243.3,176.0,136.0,130.1,249.0,375.7,203.0,,,357.2,322.0,133.9,367.5,140.5,79.5,377.0,,135.4,,225.0,-53.7,True,True,False,False,False,,,False,False,True,False,True,True,False,,True,,False,True
Wisconsin,7014,7569.4,7402.3,7580.0,7756.0,7054.0,6930.0,,,6982.8,7710.0,6863.8,7462.6,6953.0,7163.5,8320.0,,7107.3,,7239.0,6965.7,555.4,388.3,566.0,742.0,40.0,-84.0,,,-31.2,696.0,-150.2,448.6,-61.0,149.5,1306.0,,93.3,,225.0,-48.3,True,False,False,True,True,,,True,False,True,True,True,True,False,,True,,True,True
Wyoming,671,809.0,739.8,816.0,950.0,791.1,748.0,,,703.8,685.0,660.4,690.9,659.9,810.0,736.0,,614.0,,726.0,664.9,138.0,68.8,145.0,279.0,120.1,77.0,,,32.8,14.0,-10.6,19.9,-11.1,139.0,65.0,,-57.0,,55.0,-6.1,True,False,False,True,True,,,True,True,True,True,True,False,True,,True,,True,True
US,512938,524196.3,557703.4,525390.6,517978.0,543993.3,528186.0,511206.1,535435.0,513717.3,521311.0,490458.0,513819.1,504908.9,510045.0,539205.0,511082.2,474360.6,532488.0,511388.0,467166.8,18773.3,52280.4,19967.6,12555.0,38570.3,22763.0,5783.1,30012.0,8294.3,15888.0,-14965.0,8396.1,-514.1,4622.0,33782.0,5659.2,-31062.4,27065.0,5965.0,-38256.2,False,False,True,False,False,True,False,True,True,True,True,True,True,False,True,False,False,True,False
