,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
New Mexico,3700,4106.7,3671.2,4117.8,,3607.0,,3862.0,3569.8,4197.0,3393.0,3353.2,406.7,-28.8,417.8,,-93.0,,162.0,-130.2,497.0,-307.0,-346.8,True,False,,True,,True,True,False,True,True
New York,47498,47977.1,49625.4,47879.1,,49597.8,,46495.0,46163.9,53314.9,50994.4,40339.3,479.1,2127.4,381.1,,2099.8,,-1003.0,-1334.1,5816.9,3496.4,-7158.7,False,True,,False,,False,False,False,False,False
North Carolina,11212,12072.1,10257.4,11156.7,,10076.3,,10764.0,10365.0,9748.9,11142.4,8749.9,860.1,-954.6,-55.3,,-1135.7,,-448.0,-847.0,-1463.1,-69.6,-2462.1,False,True,,False,,True,True,False,True,False
North Dakota,1475,1640.0,1523.0,1646.6,,1553.8,,1763.0,1496.1,1504.0,1472.2,1533.4,173.0,56.0,179.6,,86.8,,296.0,29.1,37.0,5.2,66.4,True,False,,True,,False,True,True,True,True
Ohio,18179,13405.3,14837.7,13671.9,,11937.8,,13674.0,11736.9,12299.7,14092.3,11199.2,426.3,1858.7,692.9,,-1041.2,,695.0,-1242.1,-679.3,1113.3,-1779.8,False,False,,False,,False,False,False,False,False
Oklahoma,4379,4228.4,4197.4,4214.5,,3934.0,,4313.0,4116.7,3383.4,4460.7,3273.8,-150.6,-181.6,-164.5,,-445.0,,-66.0,-262.3,-995.6,81.7,-1105.2,False,False,,False,,True,False,False,True,False
Oregon,2208,2317.1,1880.3,2379.8,,2281.2,,2301.0,2565.7,2337.0,2398.6,1929.6,109.1,-327.7,171.8,,73.2,,93.0,357.7,129.0,190.6,-278.4,False,False,,True,,True,False,False,False,False
Pennsylvania,23895,27913.6,28760.8,27756.5,,24470.0,,27176.0,20348.4,29337.2,26429.8,20311.6,4018.6,4865.8,3861.5,,575.0,,3281.0,-3546.6,5442.2,2534.8,-3583.4,False,True,,True,,True,True,False,True,True
Rhode Island,2502,2869.1,3183.1,2889.3,,2399.6,,2800.0,2320.8,2692.7,2114.8,2030.3,525.1,839.1,545.3,,55.6,,456.0,-23.2,348.7,-229.2,-313.7,False,False,,True,,True,True,True,True,True
South Carolina,8498,8156.1,10065.9,8369.9,,7877.2,,8041.0,7632.6,6871.1,8242.8,6535.5,-341.9,1567.9,-128.1,,-620.8,,-457.0,-865.4,-1626.9,-255.2,-1962.5,False,True,,False,,False,False,False,True,False
South Dakota,1886,2078.7,1807.8,2052.9,,1833.5,,2016.0,1841.2,1928.9,1755.8,1813.8,192.7,-78.2,166.9,,-52.5,,130.0,-44.8,42.9,-130.2,-72.2,True,True,,True,,True,True,True,True,True
Tennessee,11393,12996.4,12403.1,12841.4,,11048.9,,12220.0,9013.4,10490.3,13288.6,9140.2,1603.4,1010.1,1448.4,,-344.1,,827.0,-2379.6,-902.7,1895.6,-2252.8,True,True,,True,,True,False,True,False,False
Texas,43519,44076.7,50465.7,43413.1,,40135.1,,41294.0,40538.3,35981.5,41134.1,34842.1,557.7,6946.7,-105.9,,-3383.9,,-2225.0,-2980.7,-7537.5,-2384.9,-8676.9,False,True,,False,,False,False,False,False,False
Utah,1929,2016.0,1963.2,2062.0,,1860.8,,2173.0,2396.4,1743.3,2044.5,1168.6,87.0,34.2,133.0,,-68.2,,244.0,467.4,-185.7,115.5,-760.4,True,False,,True,,False,False,False,False,False
Vermont,204,265.7,260.6,275.0,,291.3,,285.5,365.7,185.0,243.7,181.5,61.7,56.6,71.0,,87.3,,81.5,161.7,-19.0,39.7,-22.5,True,False,,False,,False,False,True,True,True
Virginia,8382,7159.0,8425.3,7227.9,,7392.1,,7299.0,7013.8,6696.7,6235.9,6054.5,-1223.0,43.3,-1154.1,,-989.9,,-1083.0,-1368.2,-1685.3,-2146.1,-2327.5,True,True,,True,,True,False,False,False,False
Washington,4956,5336.9,6720.7,5356.4,,4988.3,,4820.0,5879.4,4300.2,5035.8,4193.1,380.9,1764.7,400.4,,32.3,,-136.0,923.4,-655.8,79.8,-762.9,False,False,,True,,True,False,False,True,False
West Virginia,2297,2994.6,3279.6,2949.1,,2591.2,,2560.0,2317.5,2696.2,3235.6,2002.3,697.6,982.6,652.1,,294.2,,263.0,20.5,399.2,938.6,-294.7,False,True,,True,,True,True,True,False,True
Wisconsin,7014,7688.9,7074.7,7743.8,,7113.1,,7310.0,7889.4,6733.4,7766.9,6499.2,674.9,60.7,729.8,,99.1,,296.0,875.4,-280.6,752.9,-514.8,True,False,,True,,True,False,True,False,True
Wyoming,671,838.7,737.3,846.0,,596.2,,843.0,615.1,666.8,588.4,599.7,167.7,66.3,175.0,,-74.8,,172.0,-55.9,-4.2,-82.6,-71.3,True,False,,True,,False,True,True,True,True
US,512938,529869.6,586141.8,528082.2,531312.0,499762.1,546786.0,502872.0,468461.4,,465571.8,427146.0,23671.6,79943.8,21884.2,25114.0,-6435.9,40588.0,-3326.0,-37736.6,,-40626.2,-79052.0,False,True,False,True,False,True,False,,False,False
