,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IUPUI-HkPrMobiDyR,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,NotreDame-FRED,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IUPUI-HkPrMobiDyR,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-NotreDame-FRED,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IUPUI-HkPrMobiDyR,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-NotreDame-FRED,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,17294,17492.3,17601.0,17483.1,17654.8,17638.0,17634.0,17364.0,17322.0,17286.0,17271.4,17321.0,16644.6,17225.0,17530.0,,17407.0,16293.7,17591.9,17319.8,,17174.1,16987.3,17229.0,16713.1,17437.0,16595.6,17288.0,17441.0,17364.0,17302.0,17331.5,17615.9,17383.0,,17675.6,16655.0,,17367.7,17365.9,17234.0,17506.0,17372.8,17242.0,17611.9,,17625.1,17319.3,17248.0,17451.4,17533.0,,16631.4,17305.0,198.3,307.0,189.1,360.8,344.0,340.0,70.0,28.0,-8.0,-22.6,27.0,-649.4,-69.0,236.0,,113.0,-1000.3,297.9,25.8,,-119.9,-306.7,-65.0,-580.9,143.0,-698.4,-6.0,147.0,70.0,8.0,37.5,321.9,89.0,,381.6,-639.0,,73.7,71.9,-60.0,212.0,78.8,-52.0,317.9,,331.1,25.3,-46.0,157.4,239.0,,-662.6,11.0,False,True,False,False,False,True,True,True,True,True,False,True,False,,True,False,False,True,,True,False,True,False,True,False,True,True,True,True,True,False,True,,False,False,,True,True,True,False,True,True,False,,False,True,True,True,False,,False,True
Hawaii,438,434.3,438.9,431.3,433.9,434.0,434.0,436.0,435.0,439.0,437.0,435.0,424.6,438.0,442.4,,,,436.3,437.5,,435.8,435.1,,429.7,434.0,453.3,434.0,433.0,433.0,443.0,,432.9,433.9,,435.8,445.0,,,436.2,439.0,435.0,423.9,450.0,433.8,,429.0,437.4,434.0,443.2,433.0,,437.3,438.0,-3.7,0.9,-6.7,-4.1,-4.0,-4.0,-2.0,-3.0,1.0,-1.0,-3.0,-13.4,0.0,4.4,,,,-1.7,-0.5,,-2.2,-2.9,,-8.3,-4.0,15.3,-4.0,-5.0,-5.0,5.0,,-5.1,-4.1,,-2.2,7.0,,,-1.8,1.0,-3.0,-14.1,12.0,-4.2,,-9.0,-0.6,-4.0,5.2,-5.0,,-0.7,0.0,True,False,False,False,False,True,True,True,True,True,False,True,False,,,,True,True,,True,True,,False,False,False,False,False,False,False,,False,False,,True,False,,,True,True,True,False,False,False,,False,True,False,False,False,,True,True
Idaho,1860,1845.7,1859.5,1846.7,1848.7,1855.0,1849.0,1849.0,1848.0,1856.0,1851.0,1843.0,1848.0,1843.0,1865.1,,1847.8,,1856.2,1863.3,,1840.3,1856.5,1870.0,1881.2,1850.0,1869.1,1847.6,1844.0,1841.2,1882.0,1845.9,1850.0,1845.2,,1846.6,1856.0,,,1846.0,1855.0,1847.0,1719.8,1867.0,1903.4,,1850.0,1848.9,1843.0,1852.7,1850.0,,1863.7,1849.0,-14.3,-0.5,-13.3,-11.3,-5.0,-11.0,-11.0,-12.0,-4.0,-9.0,-17.0,-12.0,-17.0,5.1,,-12.2,,-3.8,3.3,,-19.7,-3.5,10.0,21.2,-10.0,9.1,-12.4,-16.0,-18.8,22.0,-14.1,-10.0,-14.8,,-13.4,-4.0,,,-14.0,-5.0,-13.0,-140.2,7.0,43.4,,-10.0,-11.1,-17.0,-7.3,-10.0,,3.7,-11.0,True,True,True,True,True,True,True,True,True,False,True,False,True,,True,,True,True,,False,True,True,False,True,True,True,False,False,False,True,True,False,,True,True,,,True,True,True,False,True,False,,True,True,False,True,True,,True,True
Illinois,22710,22761.7,22786.8,22712.2,22767.1,22765.0,22765.0,22714.0,22630.0,22662.0,22671.9,22660.0,22492.0,22767.0,22771.9,,22694.2,,22705.0,22712.8,,22783.3,22840.6,22771.0,22765.2,22772.0,20609.4,22698.4,22712.0,22726.7,22706.0,22666.4,22792.3,22707.0,22494.0,22694.9,22716.0,,22796.8,22679.3,22858.0,22747.0,22738.1,22702.0,22715.0,,22788.8,22716.4,22713.0,22731.5,22740.0,,20627.5,22694.0,51.7,76.8,2.2,57.1,55.0,55.0,4.0,-80.0,-48.0,-38.1,-50.0,-218.0,57.0,61.9,,-15.8,,-5.0,2.8,,73.3,130.6,61.0,55.2,62.0,-2100.6,-11.6,2.0,16.7,-4.0,-43.6,82.3,-3.0,-216.0,-15.1,6.0,,86.8,-30.7,148.0,37.0,28.1,-8.0,5.0,,78.8,6.4,3.0,21.5,30.0,,-2082.5,-16.0,False,True,False,False,False,True,False,True,True,True,False,False,False,,True,,True,True,,False,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,,False,True,False,True,True,True,True,,False,True,True,True,True,,False,True
Indiana,12556,12542.6,12605.5,12581.7,12734.7,12535.0,12523.0,12557.0,12510.0,12504.0,12566.1,12585.0,12572.3,12553.0,12581.6,,12528.3,,12387.1,12569.8,,12649.4,12616.2,12615.0,12726.4,12583.0,12139.9,12496.4,12522.0,12522.3,12711.0,12582.7,12535.9,12546.7,12354.0,12500.8,12560.5,,12625.6,12480.8,12593.0,12525.0,12066.2,12554.0,12583.3,,12534.3,12499.9,12523.0,12497.7,12517.0,,12281.1,12540.0,-13.4,49.5,25.7,178.7,-21.0,-33.0,1.0,-46.0,-52.0,10.1,29.0,16.3,-3.0,25.6,,-27.7,,-168.9,13.8,,93.4,60.2,59.0,170.4,27.0,-416.1,-59.6,-34.0,-33.7,155.0,26.7,-20.1,-9.3,-202.0,-55.2,4.5,,69.6,-75.2,37.0,-31.0,-489.8,-2.0,27.3,,-21.7,-56.1,-33.0,-58.3,-39.0,,-274.9,-16.0,False,False,False,False,False,True,False,False,True,False,False,True,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,,False,False,False,False,False,True,False,,False,False,False,False,False,,False,False
Iowa,5470,5421.7,5469.5,5441.8,5426.8,5455.0,5436.0,5445.0,5538.0,5447.0,5431.0,5524.0,5364.2,5468.0,5446.3,,5429.4,,5558.0,5443.1,,5420.3,5451.6,5472.0,5660.5,5542.0,5493.5,5432.7,5403.0,5408.2,5471.0,5476.9,5434.6,5433.2,,5761.4,5460.0,,5454.3,5409.9,,5463.0,4869.2,5421.0,5447.2,,5435.2,5583.3,5410.0,5497.2,5450.0,,5460.8,5433.0,-48.3,-0.5,-28.2,-43.2,-15.0,-34.0,-25.0,68.0,-23.0,-39.0,54.0,-105.8,-2.0,-23.7,,-40.6,,88.0,-26.9,,-49.7,-18.4,2.0,190.5,72.0,23.5,-37.3,-67.0,-61.8,1.0,6.9,-35.4,-36.8,,291.4,-10.0,,-15.7,-60.1,,-7.0,-600.8,-49.0,-22.8,,-34.8,113.3,-60.0,27.2,-20.0,,-9.2,-37.0,True,True,True,True,True,True,False,True,True,False,False,True,True,,True,,False,True,,False,True,True,False,False,True,True,False,False,True,True,True,True,,False,True,,True,False,,True,False,False,True,,True,False,False,True,True,,True,True
Kansas,4692,4782.1,4778.3,4764.7,4814.9,4804.0,4817.0,4744.0,4746.0,4721.0,4662.2,4753.0,4617.8,4697.0,4881.4,,4781.3,,4893.4,4794.6,,4603.9,4783.8,4738.0,4573.4,4770.0,4689.1,4710.5,4770.0,4682.8,4692.0,4780.9,4774.0,4756.8,,4804.0,4739.0,,4822.0,4710.8,4686.0,4749.0,5089.1,4733.0,4776.5,,4782.9,4717.4,4720.0,,4764.0,,4726.4,4701.0,90.1,86.3,72.7,122.9,112.0,125.0,52.0,54.0,29.0,-29.8,61.0,-74.2,5.0,189.4,,89.3,,201.4,102.6,,-88.1,91.8,46.0,-118.6,78.0,-2.9,18.5,78.0,-9.2,0.0,88.9,82.0,64.8,,112.0,47.0,,130.0,18.8,-6.0,57.0,397.1,41.0,84.5,,90.9,25.4,28.0,,72.0,,34.4,9.0,True,True,False,False,False,True,True,True,True,True,True,True,False,,True,,False,False,,True,False,True,False,True,True,True,True,True,True,True,True,True,,False,True,,False,True,True,True,False,True,True,,False,True,True,,True,,True,True
Kentucky,4625,4588.4,4587.8,4598.5,4579.2,4574.0,4580.0,4598.0,4589.0,4609.0,4578.4,4539.0,4547.8,4606.0,4625.7,,4578.2,,4502.6,4631.1,,4733.9,4604.5,4622.0,5609.7,4601.0,4656.9,4603.2,4563.0,4568.5,4643.0,4571.8,4608.5,4569.5,4537.0,4561.4,4632.0,,,4556.7,4587.0,4615.0,4357.1,4578.0,4577.2,,4604.7,4557.7,4576.0,4621.3,4571.0,,4583.6,4588.0,-36.6,-37.2,-26.5,-45.8,-51.0,-45.0,-27.0,-36.0,-16.0,-46.6,-86.0,-77.2,-19.0,0.7,,-46.8,,-122.4,6.1,,108.9,-20.5,-3.0,984.7,-24.0,31.9,-21.8,-62.0,-56.5,18.0,-53.2,-16.5,-55.5,-88.0,-63.6,7.0,,,-68.3,-38.0,-10.0,-267.9,-47.0,-47.8,,-20.3,-67.3,-49.0,-3.7,-54.0,,-41.4,-37.0,False,True,False,False,False,True,True,True,False,False,False,True,True,,False,,False,True,,False,True,True,False,True,True,True,False,False,True,False,True,False,False,False,True,,,False,False,True,False,False,False,,True,False,False,True,False,,False,False
Louisiana,9587,9615.1,9593.7,9565.6,9605.1,9598.0,9604.0,9582.0,9586.0,9587.0,9598.4,9531.0,9567.8,9599.0,9800.4,,9607.1,,9529.0,9578.1,,9568.3,9647.4,9626.0,9549.2,9597.0,9608.7,9576.8,9569.0,9555.5,9628.0,9617.4,9601.0,9588.7,,9572.9,9653.5,,9556.4,9551.0,9666.0,9579.0,10379.3,9615.0,9688.8,,9598.2,9556.0,9582.0,9613.1,9566.0,,9613.3,9574.0,28.1,6.7,-21.4,18.1,11.0,17.0,-5.0,-1.0,0.0,11.4,-56.0,-19.2,12.0,213.4,,20.1,,-58.0,-8.9,,-18.7,60.4,39.0,-37.8,10.0,21.7,-10.2,-18.0,-31.5,41.0,30.4,14.0,1.7,,-14.1,66.5,,-30.6,-36.0,79.0,-8.0,792.3,28.0,101.8,,11.2,-31.0,-5.0,26.1,-21.0,,26.3,-13.0,True,True,True,True,True,True,True,True,True,False,True,True,False,,True,,False,True,,True,False,False,False,True,True,True,True,False,False,False,True,True,,True,False,,False,False,False,True,False,True,False,,True,False,True,True,True,,True,True
Maine,702,665.7,668.5,665.8,672.0,672.0,669.0,671.0,669.0,676.0,674.6,665.0,677.4,668.0,674.3,,663.4,,668.9,685.0,,666.0,669.3,681.0,668.0,673.0,,673.5,664.0,664.8,676.0,,671.0,666.7,,664.8,676.0,,,664.3,685.0,672.0,783.3,681.0,668.6,,672.1,672.0,669.0,680.3,669.0,,678.5,670.0,-36.3,-33.5,-36.2,-30.0,-30.0,-33.0,-31.0,-33.0,-26.0,-27.4,-37.0,-24.6,-34.0,-27.7,,-38.6,,-33.1,-17.0,,-36.0,-32.7,-21.0,-34.0,-29.0,,-28.5,-38.0,-37.2,-26.0,,-31.0,-35.3,,-37.2,-26.0,,,-37.7,-17.0,-30.0,81.3,-21.0,-33.4,,-29.9,-30.0,-33.0,-21.7,-33.0,,-23.5,-32.0,True,True,True,True,True,True,True,True,True,False,True,True,True,,False,,True,True,,True,True,True,True,True,,True,False,False,True,,True,True,,False,True,,,False,True,True,False,True,True,,True,True,True,True,True,,True,True
Maryland,7856,7853.0,7894.0,7848.6,7857.1,7868.0,7858.0,7836.0,7828.0,7893.0,7853.3,7831.0,7780.9,7836.0,7859.4,,7843.9,,7804.4,7860.2,,7892.3,7875.6,7891.0,7818.2,7867.0,7813.1,7824.7,7832.0,7835.0,7845.0,7840.8,7879.3,7833.5,,7830.8,7819.0,,7869.2,7818.2,7878.0,7836.0,7781.0,7843.0,7846.1,,7877.4,7816.4,7826.0,7797.8,7848.0,,7796.3,7824.0,-3.0,38.0,-7.4,1.1,12.0,2.0,-20.0,-28.0,37.0,-2.7,-25.0,-75.1,-20.0,3.4,,-12.1,,-51.6,4.2,,36.3,19.6,35.0,-37.8,11.0,-42.9,-31.3,-24.0,-21.0,-11.0,-15.2,23.3,-22.5,,-25.2,-37.0,,13.2,-37.8,22.0,-20.0,-75.0,-13.0,-9.9,,21.4,-39.6,-30.0,-58.2,-8.0,,-59.7,-32.0,False,False,True,False,True,False,False,False,True,False,False,False,False,,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False,,False,False,False,False,False,,False,False
Massachusetts,16067,16119.1,16185.2,16134.3,16132.9,16143.0,16134.0,16104.0,16055.0,16096.0,16053.2,16081.0,15888.0,16088.0,16146.7,,16192.6,,16026.9,16091.6,,16114.3,16196.3,16104.0,16166.2,16147.0,16026.5,16014.1,16108.0,16097.0,16085.0,16206.4,16091.0,16108.3,,16067.1,15990.0,,16152.2,16053.2,16195.0,16118.0,18170.0,16107.0,16083.5,,16092.0,16017.0,16087.0,16111.3,16118.0,,16006.2,16051.0,52.1,118.2,67.3,65.9,76.0,67.0,37.0,-12.0,29.0,-13.8,14.0,-179.0,21.0,79.7,,125.6,,-40.1,24.6,,47.3,129.3,37.0,99.2,80.0,-40.5,-52.9,41.0,30.0,18.0,139.4,24.0,41.3,,0.1,-77.0,,85.2,-13.8,128.0,51.0,2103.0,40.0,16.5,,25.0,-50.0,20.0,44.3,51.0,,-60.8,-16.0,False,False,False,False,False,True,True,True,True,True,False,True,False,,False,,True,True,,True,False,True,False,False,True,False,True,True,True,False,True,True,,True,False,,False,True,False,True,False,True,True,,True,True,True,True,True,,False,True
Michigan,16508,16533.1,16581.9,16498.5,16574.9,16587.0,16565.0,16518.0,16515.0,16541.0,16544.0,16496.0,16409.3,16555.0,16729.7,,16579.6,,16485.5,16504.8,,16484.2,16592.4,16520.0,16505.0,16549.0,16478.9,16546.1,16517.0,16496.9,16501.0,16471.2,16548.8,16533.7,16354.0,16527.4,16449.0,,16517.1,16509.0,16654.0,16541.0,16390.8,16507.0,16386.0,,16554.3,16528.9,16503.0,16540.4,16578.0,,16489.5,16518.0,25.1,73.9,-9.5,66.9,79.0,57.0,10.0,7.0,33.0,36.0,-12.0,-98.7,47.0,221.7,,71.6,,-22.5,-3.2,,-23.8,84.4,12.0,-3.0,41.0,-29.1,38.1,9.0,-11.1,-7.0,-36.8,40.8,25.7,-154.0,19.4,-59.0,,9.1,1.0,146.0,33.0,-117.2,-1.0,-122.0,,46.3,20.9,-5.0,32.4,70.0,,-18.5,10.0,False,True,False,False,False,True,True,False,False,True,False,False,False,,False,,True,True,,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,,True,True,False,False,False,True,False,,False,True,True,False,False,,True,True
Minnesota,6543,6548.0,6551.7,6538.9,6547.4,6543.0,6545.0,6551.0,6549.0,6590.0,6557.3,6537.0,6535.3,6545.0,6558.8,,6555.6,,6520.0,6554.0,,6571.8,6580.2,6543.0,6867.9,6553.0,,6552.0,6553.0,6551.9,6551.0,6515.4,6544.1,6542.9,6509.0,6539.4,6552.0,,6565.4,6530.0,6599.0,6546.0,5950.1,6579.0,6558.7,,6545.1,6554.0,6552.0,6568.9,6550.0,,6536.5,6550.0,5.0,8.7,-4.1,4.4,0.0,2.0,8.0,6.0,47.0,14.3,-6.0,-7.7,2.0,15.8,,12.6,,-23.0,11.0,,28.8,37.2,0.0,324.9,10.0,,9.0,10.0,8.9,8.0,-27.6,1.1,-0.1,-34.0,-3.6,9.0,,22.4,-13.0,56.0,3.0,-592.9,36.0,15.7,,2.1,11.0,9.0,25.9,7.0,,-6.5,7.0,False,True,True,True,True,False,False,False,False,False,False,True,False,,False,,False,False,,False,False,True,False,False,,False,False,False,False,False,True,True,False,True,False,,False,False,False,True,False,False,False,,True,False,False,False,False,,False,False
Mississippi,6669,6631.0,6698.4,6656.9,6645.3,6658.0,6645.0,6656.0,6643.0,6682.0,6688.9,6660.0,6636.8,6668.0,6729.1,,6630.2,,6571.1,6650.3,,6688.7,6672.9,6674.0,6614.1,6745.0,6651.2,6664.0,6614.0,6613.2,6687.0,6688.8,6651.9,6652.1,,6620.7,6632.0,,6714.0,6640.9,6702.0,6675.0,6610.0,6613.0,6757.3,,6646.6,6651.2,6655.0,6680.2,6654.0,,6693.2,6644.0,-38.0,29.4,-12.1,-23.7,-11.0,-24.0,-13.0,-26.0,13.0,19.9,-9.0,-32.2,-1.0,60.1,,-38.8,,-97.9,-18.7,,19.7,3.9,5.0,-54.9,76.0,-17.8,-5.0,-55.0,-55.8,18.0,19.8,-17.1,-16.9,,-48.3,-37.0,,45.0,-28.1,33.0,6.0,-59.0,-56.0,88.3,,-22.4,-17.8,-14.0,11.2,-15.0,,24.2,-25.0,True,True,True,True,True,True,True,True,True,True,True,True,False,,False,,False,True,,True,True,True,False,False,True,True,False,False,True,True,True,True,,False,True,,False,True,True,True,False,False,False,,True,True,True,True,True,,True,True
Missouri,8282,8305.9,8363.3,8221.3,8344.1,8358.0,8352.0,8271.0,8244.0,8318.0,8212.7,8272.0,8086.4,8223.0,8280.2,,8276.5,,8379.6,8271.3,,7466.3,8333.3,8366.0,7420.8,8317.0,7737.8,8229.3,8216.0,8220.0,8270.0,8339.0,8300.7,8297.3,,8297.0,8287.0,,8246.3,8276.2,8207.0,8209.0,7800.6,8234.0,8150.6,,8310.2,8245.0,8214.0,8295.3,8204.0,,7755.9,8220.0,23.9,81.3,-60.7,62.1,76.0,70.0,-11.0,-38.0,36.0,-69.3,-10.0,-195.6,-59.0,-1.8,,-5.5,,97.6,-10.7,,-815.7,51.3,84.0,-861.2,35.0,-544.2,-52.7,-66.0,-62.0,-12.0,57.0,18.7,15.3,,15.0,5.0,,-35.7,-5.8,-75.0,-73.0,-481.4,-48.0,-131.4,,28.2,-37.0,-68.0,13.3,-78.0,,-526.1,-62.0,False,False,False,False,False,True,False,False,False,True,False,False,True,,True,,False,True,,False,False,False,False,False,False,False,False,False,True,False,True,True,,True,True,,False,True,False,False,False,False,False,,False,False,False,True,False,,False,False
Montana,1356,1354.9,1370.4,1352.0,1351.3,1357.0,1355.0,1366.0,1365.0,1372.0,1358.8,1362.0,1371.2,1366.0,1368.7,,1356.7,,1351.7,1354.3,,1349.5,1362.2,1367.0,1543.6,1360.0,1376.5,1369.0,1349.0,1353.7,1362.0,1356.3,1356.3,1358.5,,1360.0,1374.0,,,1356.6,1369.0,1366.0,1166.0,1373.0,1362.3,,1355.5,1364.6,1361.0,1382.7,1355.0,,1373.1,1372.0,-1.1,14.4,-4.0,-4.7,1.0,-1.0,10.0,9.0,16.0,2.8,6.0,15.2,10.0,12.7,,0.7,,-4.3,-1.7,,-6.5,6.2,11.0,187.6,4.0,20.5,13.0,-7.0,-2.3,6.0,0.3,0.3,2.5,,4.0,18.0,,,0.6,13.0,10.0,-190.0,17.0,6.3,,-0.5,8.6,5.0,26.7,-1.0,,17.1,16.0,False,False,False,True,True,False,False,False,False,False,False,False,False,,True,,False,False,,False,False,False,False,False,False,False,False,False,False,True,True,False,,False,False,,,True,False,False,False,False,False,,True,False,False,False,True,,False,False
Nebraska,2082,2085.6,2074.5,2073.2,2093.5,2087.0,2092.0,2083.0,2079.0,2101.0,2074.6,2071.0,2044.5,2070.0,2078.1,,2084.3,,2113.4,2083.0,,2028.5,2095.0,2083.0,2123.0,2084.0,2103.0,2073.1,2082.0,2073.5,2090.0,2056.4,2083.8,2077.7,,2090.4,2069.0,,,2078.8,2079.0,2074.0,1872.5,2098.0,2078.1,,2087.8,2080.9,2071.0,,2075.0,,2085.7,2075.0,3.6,-7.5,-8.8,11.5,5.0,10.0,1.0,-3.0,19.0,-7.4,-11.0,-37.5,-12.0,-3.9,,2.3,,31.4,1.0,,-53.5,13.0,1.0,41.0,2.0,21.0,-8.9,0.0,-8.5,8.0,-25.6,1.8,-4.3,,8.4,-13.0,,,-3.2,-3.0,-8.0,-209.5,16.0,-3.9,,5.8,-1.1,-11.0,,-7.0,,3.7,-7.0,False,False,False,False,False,True,True,False,False,False,False,False,False,,True,,False,True,,False,False,True,False,True,False,False,True,False,False,False,True,False,,False,False,,,True,True,False,False,False,False,,False,True,False,,False,,False,False
Nevada,4957,5011.7,5050.5,5019.8,5043.2,5024.0,5042.0,5007.0,5011.0,5002.0,4993.8,4995.0,4917.6,5023.0,5051.2,,4993.1,,5009.5,4986.1,,4987.9,5007.1,5030.0,4820.5,5014.0,4952.1,5021.2,4998.0,4978.9,5014.0,5070.8,5027.2,4996.2,,5016.1,5100.0,,5009.7,4992.3,4973.0,4985.0,4711.9,5001.0,5033.6,,5026.6,4986.7,4974.0,5011.9,5027.0,,5008.5,4976.0,54.7,93.5,62.8,86.2,67.0,85.0,50.0,54.0,45.0,36.8,38.0,-39.4,66.0,94.2,,36.1,,52.5,29.1,,30.9,50.1,73.0,-136.5,57.0,-4.9,64.2,41.0,21.9,57.0,113.8,70.2,39.2,,59.1,143.0,,52.7,35.3,16.0,28.0,-245.1,44.0,76.6,,69.6,29.7,17.0,54.9,70.0,,51.5,19.0,False,False,False,False,False,True,True,True,True,True,True,False,False,,True,,True,True,,True,True,False,False,False,True,False,True,True,False,False,False,True,,False,False,,True,True,True,True,False,True,False,,False,True,True,False,False,,True,True
New Hampshire,1170,1172.0,1180.5,1173.9,1177.9,1178.0,1176.0,1179.0,1178.0,1181.0,1183.0,1183.0,1188.9,1180.0,1175.7,,1176.0,,1169.5,1173.1,,1168.6,1174.9,1183.0,1243.1,1179.0,1206.9,1176.3,1164.0,1169.6,1180.0,,1179.7,1171.4,,1173.7,1190.0,,,1163.1,1189.0,1186.0,1271.1,1191.0,1178.6,,1181.0,1180.2,1178.0,1184.9,1176.0,,1176.5,1177.0,2.0,10.5,3.9,7.9,8.0,6.0,9.0,8.0,11.0,13.0,13.0,18.9,10.0,5.7,,6.0,,-0.5,3.1,,-1.4,4.9,13.0,73.1,9.0,36.9,6.3,-6.0,-0.4,10.0,,9.7,1.4,,3.7,20.0,,,-6.9,19.0,16.0,101.1,21.0,8.6,,11.0,10.2,8.0,14.9,6.0,,6.5,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,,True,False,,True,False,False,False,False,False,False,False,True,False,,False,True,,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,,False,False
New Jersey,23238,23204.3,23253.9,23176.2,23228.3,23228.0,23228.0,23191.0,23155.0,23381.0,23157.4,23111.0,23031.9,23250.0,23209.2,,23248.6,,23205.3,23182.7,,23211.9,23215.3,23258.0,23485.5,23253.0,23202.0,23184.0,23193.0,23192.7,23189.0,23187.3,23222.7,23207.0,,23186.1,23000.0,,23144.8,23179.2,23445.0,23241.0,22281.0,23160.0,23213.5,,23224.3,23177.3,23135.0,23238.3,23174.0,,23166.5,23189.0,-33.7,15.9,-61.8,-9.7,-10.0,-10.0,-47.0,-83.0,143.0,-80.6,-127.0,-206.1,12.0,-28.8,,10.6,,-32.7,-55.3,,-26.1,-22.7,20.0,247.5,15.0,-36.0,-54.0,-45.0,-45.3,-49.0,-50.7,-15.3,-31.0,,-51.9,-238.0,,-93.2,-58.8,207.0,3.0,-957.0,-78.0,-24.5,,-13.7,-60.7,-103.0,0.3,-64.0,,-71.5,-49.0,True,False,True,True,True,False,False,False,False,False,False,True,True,,True,,True,False,,True,True,True,False,True,False,False,False,False,False,False,True,True,,False,False,,False,False,False,True,False,False,True,,True,False,False,True,False,,False,False
