,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,17294,17646.3,17860.7,17682.5,17810.9,17454.0,17771.2,17267.0,17055.0,16405.0,17086.3,17065.0,17248.4,16498.0,17381.2,,16588.4,15993.7,17082.0,,16919.8,18030.0,15796.2,17633.0,16122.8,17045.6,16622.0,17300.1,17676.0,,17246.3,17523.4,17344.2,18786.5,,18327.6,17301.2,16873.0,17113.0,17906.9,16512.0,17067.4,,17285.3,16948.0,17294.4,17347.0,,15579.9,18055.0,352.3,566.7,388.5,516.9,160.0,477.2,-27.0,-239.0,-889.0,-207.7,-229.0,-45.6,-796.0,87.2,,-705.6,-1300.3,-212.0,,-374.2,736.0,-1497.8,339.0,-1171.2,-248.4,-672.0,6.1,382.0,,-47.7,229.4,50.2,1492.5,,1033.6,7.2,-421.0,-181.0,612.9,-782.0,-226.6,,-8.7,-346.0,0.4,53.0,,-1714.1,761.0,False,False,False,True,False,True,True,False,True,True,True,False,True,,False,False,True,,False,False,False,True,False,True,False,True,False,,True,True,True,False,,False,True,False,True,False,False,True,,True,True,True,True,,False,False
Hawaii,438,439.9,461.0,529.1,460.0,460.0,442.0,453.0,448.0,441.0,465.5,476.0,496.2,447.0,463.9,,,,519.0,,433.3,,561.8,455.0,520.6,436.1,437.0,449.6,540.0,,443.4,466.0,446.0,452.5,,,451.1,450.0,451.0,424.1,455.0,435.4,,453.3,444.0,455.3,441.0,,445.8,495.0,1.9,23.0,91.1,22.0,22.0,4.0,15.0,10.0,3.0,27.5,38.0,58.2,9.0,25.9,,,,81.0,,-4.7,,123.8,17.0,82.6,-1.9,-1.0,11.6,102.0,,5.4,28.0,8.0,14.5,,,13.1,12.0,13.0,-13.9,17.0,-2.6,,15.3,6.0,17.3,3.0,,7.8,57.0,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,False,,False,,False,False,False,False,True,False,False,,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,,False,False
Idaho,1860,1887.0,1900.2,1858.9,1895.6,1890.0,1893.0,1882.0,1855.0,1843.0,1893.2,1879.0,1840.4,1846.0,1918.2,,1827.4,,1933.8,,1876.1,1956.0,1834.1,1905.0,1950.1,1854.3,1841.0,1848.3,1969.0,1844.1,1878.6,1906.2,1855.8,1882.0,,,1869.9,1880.0,1881.0,1719.8,1840.0,1908.2,,1916.4,1846.0,1897.8,1855.0,,1890.6,1926.0,27.0,40.2,-1.1,35.6,30.0,33.0,22.0,-5.0,-17.0,33.2,19.0,-19.6,-14.0,58.2,,-32.6,,73.8,,16.1,96.0,-25.9,45.0,90.1,-5.7,-19.0,-11.7,109.0,-15.9,18.6,46.2,-4.2,22.0,,,9.9,20.0,21.0,-140.2,-20.0,48.2,,56.4,-14.0,37.8,-5.0,,30.6,66.0,False,True,False,False,False,True,True,True,False,True,True,True,False,,False,,False,,True,False,True,False,False,True,True,True,False,True,True,False,True,True,,,True,True,True,False,True,False,,False,True,False,True,,False,False
Illinois,22710,23123.7,23080.8,22677.0,23032.9,22927.0,23064.6,22868.0,22804.0,22679.0,22989.8,22840.0,22517.2,22868.0,23817.6,,22809.1,,22770.3,,22979.7,23365.0,24566.7,22806.0,21013.4,22900.3,22628.0,22863.7,23498.0,22368.6,23063.8,23190.6,22765.7,22846.0,,23059.4,22767.6,23210.0,22901.0,22681.3,22682.0,22533.9,,23078.3,22824.0,22988.7,22726.0,,20825.7,22901.0,413.7,370.8,-33.0,322.9,217.0,354.6,158.0,94.0,-31.0,279.8,130.0,-192.8,158.0,1107.6,,99.1,,60.3,,269.7,655.0,1856.7,96.0,-1696.6,190.3,-82.0,153.7,788.0,-341.4,353.8,480.6,55.7,136.0,,349.4,57.6,500.0,191.0,-28.7,-28.0,-176.1,,368.3,114.0,278.7,16.0,,-1884.3,191.0,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,,True,,True,False,False,True,False,True,True,True,False,True,True,False,True,True,,True,True,False,True,True,True,True,,True,True,True,True,,False,True
Indiana,12556,17082.7,12593.2,13575.1,16972.1,12392.0,17107.5,12659.0,12441.0,12114.0,12791.1,13552.0,10761.2,12732.0,13163.0,,13289.9,,13313.7,,10734.3,12958.0,11699.4,12435.0,12219.6,12259.1,12551.0,14152.2,13408.0,19697.3,12396.7,13627.9,12568.1,12566.0,,12371.8,12641.1,12673.0,13067.0,10776.9,12408.0,12435.3,,12514.4,12586.0,12380.8,12362.0,,12508.8,33052.0,4526.7,37.2,1019.1,4416.1,-164.0,4551.5,103.0,-115.0,-442.0,235.1,996.0,-1794.8,176.0,607.0,,733.9,,757.7,,-1821.7,402.0,-856.6,-121.0,-336.4,-296.9,-5.0,1596.2,852.0,7141.3,-159.3,1071.9,12.1,10.0,,-184.2,85.1,117.0,511.0,-1779.1,-148.0,-120.7,,-41.6,30.0,-175.2,-194.0,,-47.2,20496.0,True,True,True,True,False,True,True,True,True,True,True,True,True,,True,,True,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,True,False
Iowa,5470,5699.4,5587.8,5750.4,6564.0,5464.0,6478.8,5688.0,5539.0,5416.0,5626.2,5733.0,4843.8,5607.0,5548.8,,5914.1,,5632.0,,5415.9,5899.0,5451.6,,5511.1,5405.8,5758.0,5690.8,5698.0,5834.5,5572.7,5763.4,5572.5,5426.0,,5999.8,5542.9,5437.0,5685.0,4637.1,5820.0,5800.3,,5700.0,5432.0,,5790.0,,5533.4,6198.0,229.4,117.8,280.4,1094.0,-6.0,1008.8,218.0,69.0,-54.0,156.2,263.0,-626.2,137.0,78.8,,444.1,,162.0,,-54.1,429.0,-18.4,,41.1,-64.2,288.0,220.8,228.0,364.5,102.7,293.4,102.5,-44.0,,529.8,72.9,-33.0,215.0,-832.9,350.0,330.3,,230.0,-38.0,,320.0,,63.4,728.0,True,False,False,True,False,True,True,True,True,False,False,True,True,,False,,True,,True,False,True,,True,True,False,True,True,False,True,False,True,True,,False,True,True,True,False,False,False,,False,True,,False,,True,False
Kansas,4692,4955.0,4485.9,4504.1,5076.6,4457.0,4999.0,4590.0,4601.0,4419.0,4436.0,4745.0,4280.7,4452.0,5661.1,,4683.5,,4688.1,,4255.7,4477.0,4633.3,4602.0,4498.9,4505.5,4726.0,4462.1,4537.0,4546.7,4624.3,4604.3,4966.8,4531.0,,,4589.2,4467.0,4590.0,5167.4,4544.0,4769.8,,4701.4,4427.0,4630.4,4387.0,,4496.5,4846.0,263.0,-206.1,-187.9,384.6,-235.0,307.0,-102.0,-91.0,-273.0,-256.0,53.0,-411.3,-240.0,969.1,,-8.5,,-3.9,,-436.3,-215.0,-58.7,-90.0,-193.1,-186.5,34.0,-229.9,-155.0,-145.3,-67.7,-87.7,274.8,-161.0,,,-102.8,-225.0,-102.0,475.4,-148.0,77.8,,9.4,-265.0,-61.6,-305.0,,-195.5,154.0,True,True,False,True,False,True,True,False,True,True,False,True,False,,True,,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,,,True,True,True,False,True,True,,True,False,True,False,,True,True
Kentucky,4625,4925.3,4846.3,4863.7,4947.9,4716.0,4938.0,4838.0,4778.0,4358.0,4717.0,4994.0,4439.0,4550.0,4729.3,,4780.3,,4899.3,,4814.9,5184.0,5333.9,4861.0,4827.8,4680.6,4920.0,4731.0,4944.0,4902.2,4851.9,4801.5,4945.6,4940.0,,,4758.6,4557.0,4767.0,4295.9,4626.0,4853.7,,4890.1,4673.0,4919.9,4733.0,,4415.9,5025.0,300.3,221.3,238.7,322.9,91.0,313.0,213.0,153.0,-267.0,92.0,369.0,-186.0,-75.0,104.3,,155.3,,274.3,,189.9,559.0,708.9,236.0,202.8,55.6,295.0,106.0,319.0,277.2,226.9,176.5,320.6,315.0,,,133.6,-68.0,142.0,-329.1,1.0,228.7,,265.1,48.0,294.9,108.0,,-209.1,400.0,True,True,False,True,False,True,True,True,True,False,True,True,True,,True,,True,,True,False,False,True,True,True,True,True,False,True,True,True,False,False,,,True,True,True,False,True,True,,True,True,True,True,,True,False
Louisiana,9587,9861.9,10077.3,9816.5,9900.8,9903.0,9901.4,9768.0,9723.0,9634.0,9845.8,9847.0,9687.5,9971.0,10318.7,,9729.5,,9745.4,,9822.0,10346.0,10381.2,9830.0,9714.1,9684.7,9617.0,9732.4,10092.0,9943.3,9712.5,9927.9,9654.0,9942.0,,9800.8,9616.6,9825.0,9798.0,10379.3,9647.0,9852.6,,9735.1,9727.0,9871.2,9680.0,,9564.9,9752.0,274.9,490.3,229.5,313.8,316.0,314.4,181.0,136.0,47.0,258.8,260.0,100.5,384.0,731.7,,142.5,,158.4,,235.0,759.0,794.2,243.0,127.1,97.7,30.0,145.4,505.0,356.3,125.5,340.9,67.0,355.0,,213.8,29.6,238.0,211.0,792.3,60.0,265.6,,148.1,140.0,284.2,93.0,,-22.1,165.0,False,True,False,False,False,True,True,True,True,True,True,False,False,,True,,True,,True,False,False,True,True,True,True,True,False,False,True,False,True,False,,True,True,True,True,False,True,True,,True,True,False,True,,True,True
Maine,702,763.6,791.7,759.2,755.9,741.0,766.0,746.0,740.0,723.0,772.0,709.0,788.6,713.0,749.5,,710.0,,784.8,,748.1,840.0,666.6,787.0,884.9,743.8,691.0,710.2,797.0,,757.2,775.6,730.7,780.0,,,699.8,757.0,737.0,840.7,699.0,689.4,,794.2,712.0,738.1,728.0,,715.3,755.0,61.6,89.7,57.2,53.9,39.0,64.0,44.0,38.0,21.0,70.0,7.0,86.6,11.0,47.5,,8.0,,82.8,,46.1,138.0,-35.4,85.0,182.9,41.8,-11.0,8.2,95.0,,55.2,73.6,28.7,78.0,,,-2.2,55.0,35.0,138.7,-3.0,-12.6,,92.2,10.0,36.1,26.0,,13.3,53.0,False,True,True,True,False,True,True,True,False,True,False,True,True,,True,,False,,True,False,True,False,False,True,True,True,False,,True,False,True,False,,,True,True,True,False,True,True,,False,True,True,True,,True,True
Maryland,7856,7983.3,8072.5,7927.4,8006.9,7975.0,7995.1,7924.0,7894.0,7884.0,7942.1,7871.0,7751.2,7963.0,8140.2,,7902.6,,7966.5,,7989.4,7893.0,8136.4,7924.0,7971.3,7956.4,7769.0,7853.3,8033.0,7815.8,8010.0,8045.3,7835.3,7987.0,,7951.8,7975.1,7991.0,7842.0,7781.0,7762.0,7876.9,,8045.2,7812.0,7839.6,7826.0,,7665.8,7938.0,127.3,216.5,71.4,150.9,119.0,139.1,68.0,38.0,28.0,86.1,15.0,-104.8,107.0,284.2,,46.6,,110.5,,133.4,37.0,280.4,68.0,115.3,100.4,-87.0,-2.7,177.0,-40.2,154.0,189.3,-20.7,131.0,,95.8,119.1,135.0,-14.0,-75.0,-94.0,20.9,,189.2,-44.0,-16.4,-30.0,,-190.2,82.0,False,True,False,True,False,True,True,True,True,True,True,True,False,,True,,True,,False,True,False,True,True,True,True,True,False,True,False,False,True,False,,True,True,False,True,True,True,True,,False,True,True,True,,False,True
Massachusetts,16067,16204.7,16126.7,15981.5,16070.7,16043.0,16090.9,15976.0,15835.0,15976.0,15974.2,15892.0,15803.3,16039.0,16404.6,,15900.8,,15753.9,,15947.8,16098.0,16595.8,15893.0,15838.2,15705.6,15833.0,16014.4,15978.0,16637.9,16078.9,16348.1,15933.4,16390.5,,15946.6,15996.5,16366.0,15999.0,18235.5,15879.0,15736.7,,16104.8,16052.0,16129.0,15878.0,,15509.5,16000.0,137.7,59.7,-85.5,3.7,-24.0,23.9,-91.0,-232.0,-91.0,-92.8,-175.0,-263.7,-28.0,337.6,,-166.2,,-313.1,,-119.2,31.0,528.8,-174.0,-228.8,-361.4,-234.0,-52.6,-89.0,570.9,11.9,281.1,-133.6,323.5,,-120.4,-70.5,299.0,-68.0,2168.5,-188.0,-330.3,,37.8,-15.0,62.0,-189.0,,-557.5,-67.0,True,True,True,True,True,True,False,True,True,False,False,True,False,,False,,False,,True,True,False,False,False,False,False,True,True,False,True,False,True,False,,True,True,False,True,False,False,False,,True,True,True,False,,False,True
Michigan,16508,16794.0,16791.4,16589.2,16940.3,16544.0,16840.1,16655.0,16614.0,16759.0,16800.4,17034.0,16410.7,16766.0,17615.1,,16630.7,,16572.3,,16353.2,17019.0,18413.7,16583.0,16776.3,16591.7,16508.0,16499.9,16794.0,17053.8,16693.1,16760.1,16669.7,16633.0,,16640.3,16479.9,,16531.0,16498.9,16396.0,16517.9,,16708.2,16542.0,17035.3,16547.0,,16691.5,17130.0,286.0,283.4,81.2,432.3,36.0,332.1,147.0,106.0,251.0,292.4,526.0,-97.3,258.0,1107.1,,122.7,,64.3,,-154.8,511.0,1905.7,75.0,268.3,83.7,0.0,-8.1,286.0,545.8,185.1,252.1,161.7,125.0,,132.3,-28.1,,23.0,-9.1,-112.0,9.9,,200.2,34.0,527.3,39.0,,183.5,622.0,True,True,False,True,False,True,True,True,False,False,True,True,False,,True,,True,,True,False,False,True,True,True,True,True,False,False,True,True,True,True,,True,True,,True,True,True,True,,True,True,False,True,,True,False
Minnesota,6543,6649.9,6599.7,6522.8,6669.2,6632.0,6662.6,6641.0,6597.0,6641.0,6702.7,6693.0,6542.2,6620.0,6792.7,,6630.2,,6581.2,,6570.9,6721.0,7977.1,6678.0,6771.3,6589.0,6499.0,6620.8,6646.0,6468.2,6606.5,6688.4,6595.4,6641.0,,6700.3,6564.0,6714.0,6629.0,5751.1,6618.0,6917.8,,6642.3,6608.0,6650.7,6621.0,,6681.0,6659.0,106.9,56.7,-20.2,126.2,89.0,119.6,98.0,54.0,98.0,159.7,150.0,-0.8,77.0,249.7,,87.2,,38.2,,27.9,178.0,1434.1,135.0,228.3,46.0,-44.0,77.8,103.0,-74.8,63.5,145.4,52.4,98.0,,157.3,21.0,171.0,86.0,-791.9,75.0,374.8,,99.3,65.0,107.7,78.0,,138.0,116.0,True,True,False,True,False,True,True,True,False,False,True,True,False,,True,,True,,True,False,False,False,False,True,True,True,True,True,True,False,True,True,,False,True,False,True,False,True,False,,True,True,False,True,,False,False
Mississippi,6669,6909.0,6812.3,6909.5,6988.5,6954.0,7009.8,6859.0,6795.0,6587.0,6894.3,6892.0,6844.8,6822.0,7081.2,,6791.7,,6795.3,,6809.4,6888.0,6960.7,6948.0,6676.4,6805.6,6633.0,6735.9,7071.0,6885.0,6953.9,6987.5,6801.4,6994.0,,7016.3,6800.9,6878.0,6859.0,6610.0,6615.0,6934.7,,6984.5,6816.0,6871.2,6835.0,,6708.7,6989.0,240.0,143.3,240.5,319.5,285.0,340.8,190.0,126.0,-82.0,225.3,223.0,175.8,153.0,412.2,,122.7,,126.3,,140.4,219.0,291.7,279.0,7.4,136.6,-36.0,66.9,402.0,216.0,284.9,318.5,132.4,325.0,,347.3,131.9,209.0,190.0,-59.0,-54.0,265.7,,315.5,147.0,202.2,166.0,,39.7,320.0,True,False,False,False,False,True,True,True,True,True,True,True,False,,True,,True,,True,True,False,False,True,True,True,True,False,True,False,False,True,False,,False,True,True,True,True,True,False,,False,True,True,True,,True,False
Missouri,8282,8614.7,8457.0,8188.5,8636.3,7953.0,8655.6,8173.0,8127.0,7853.0,8026.9,8167.0,7645.8,8024.0,8312.7,,8334.0,,8053.9,,7386.5,8546.0,7292.2,8262.0,7716.5,8025.1,7920.5,8057.7,8136.0,8374.0,8201.5,8243.0,8421.7,8198.0,,7958.1,8172.9,7954.0,8095.0,7658.1,7904.0,7771.7,,8328.7,8022.0,8185.6,7828.0,,7542.2,8289.0,357.7,200.0,-68.5,379.3,-304.0,398.6,-84.0,-130.0,-404.0,-230.1,-90.0,-611.2,-233.0,55.7,,77.0,,-203.1,,-870.5,289.0,-964.8,5.0,-540.5,-231.9,-336.5,-199.3,-121.0,117.0,-55.5,-14.0,164.7,-59.0,,-298.9,-84.1,-303.0,-162.0,-598.9,-353.0,-485.3,,71.7,-235.0,-71.4,-429.0,,-714.8,32.0,True,True,False,True,False,True,True,False,True,True,False,True,True,,True,,True,,False,True,False,True,False,True,True,True,True,True,True,True,True,True,,True,True,True,True,False,True,False,,True,True,True,False,,False,True
Montana,1356,1545.4,1488.7,1527.8,1544.0,1501.0,1552.0,1453.0,1446.0,1403.0,1419.0,1581.0,1369.6,1388.0,1455.2,,1562.9,,1455.2,,1473.2,1442.0,1526.3,1501.0,1436.5,1402.4,1399.0,1447.8,1457.0,1494.6,1486.6,1496.0,1492.0,1527.0,,,1408.3,,1442.0,1080.6,1428.0,1530.8,,1522.3,1413.0,1453.0,1427.0,,1426.0,1524.0,189.4,132.7,171.8,188.0,145.0,196.0,97.0,90.0,47.0,63.0,225.0,13.6,32.0,99.2,,206.9,,99.2,,117.2,86.0,170.3,145.0,80.5,46.4,43.0,91.8,101.0,138.6,130.6,140.0,136.0,171.0,,,52.3,,86.0,-275.4,72.0,174.8,,166.3,57.0,97.0,71.0,,70.0,168.0,True,True,True,True,False,True,True,True,True,False,True,True,True,,False,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,True,False,True,True,,True,True,True,True,,True,True
Nebraska,2082,2105.1,2048.1,2018.7,2129.7,2093.0,2112.0,2091.0,2075.0,2069.0,2120.8,2063.0,2039.4,2051.0,2148.9,,2091.1,,2107.9,,2093.1,2138.0,2107.2,2110.0,2183.6,2066.4,2055.0,2049.0,2154.0,1998.2,2086.1,2113.1,2079.7,2089.0,,,2055.7,2103.0,2083.0,1803.4,2050.0,2105.5,,2124.8,2064.0,2099.0,2057.0,,2084.2,2129.0,23.1,-33.9,-63.3,47.7,11.0,30.0,9.0,-7.0,-13.0,38.8,-19.0,-42.6,-31.0,66.9,,9.1,,25.9,,11.1,56.0,25.2,28.0,101.6,-15.6,-27.0,-33.0,72.0,-83.8,4.1,31.1,-2.3,7.0,,,-26.3,21.0,1.0,-278.6,-32.0,23.5,,42.8,-18.0,17.0,-25.0,,2.2,47.0,False,False,False,True,False,True,True,True,False,True,False,False,False,,True,,False,,True,False,False,False,False,True,False,False,False,False,True,False,True,True,,,False,True,True,False,False,False,,False,True,True,False,,True,False
Nevada,4957,5234.3,5232.9,5102.7,5178.6,4987.0,5191.8,5066.0,4977.0,4972.0,5037.5,5053.0,4843.1,5086.0,5244.2,,5064.0,,4935.0,,4937.6,5212.0,4589.8,5097.0,4823.4,4885.2,5042.0,5005.6,5169.0,5092.1,5085.4,5110.9,5079.2,5167.0,,5180.8,4988.6,4876.0,4930.0,4712.1,4903.0,5098.7,,5111.9,4928.0,5025.6,4933.0,,4933.4,5107.0,277.3,275.9,145.7,221.6,30.0,234.8,109.0,20.0,15.0,80.5,96.0,-113.9,129.0,287.2,,107.0,,-22.0,,-19.4,255.0,-367.2,140.0,-133.6,-71.8,85.0,48.6,212.0,135.1,128.4,153.9,122.2,210.0,,223.8,31.6,-81.0,-27.0,-244.9,-54.0,141.7,,154.9,-29.0,68.6,-24.0,,-23.6,150.0,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,,True,,True,True,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,True,True
New Hampshire,1170,1238.3,1241.1,1250.2,1257.1,1245.0,1266.0,1246.0,1218.0,1212.0,1245.8,1229.0,1234.4,1236.0,1301.2,,1227.1,,1240.2,,1256.0,1231.0,1297.9,1261.0,1329.3,1200.8,1211.0,1207.0,1263.0,,1263.6,1293.6,1223.3,1260.0,,,1232.6,1259.0,1260.0,1330.6,1193.0,1226.8,,1303.3,1223.0,1249.4,1240.0,,1176.6,1246.0,68.3,71.1,80.2,87.1,75.0,96.0,76.0,48.0,42.0,75.8,59.0,64.4,66.0,131.2,,57.1,,70.2,,86.0,61.0,127.9,91.0,159.3,30.8,41.0,37.0,93.0,,93.6,123.6,53.3,90.0,,,62.6,89.0,90.0,160.6,23.0,56.8,,133.3,53.0,79.4,70.0,,6.6,76.0,False,False,False,False,False,False,True,True,False,True,True,True,False,,True,,False,,False,True,False,False,False,True,True,True,False,,False,False,True,False,,,True,False,False,False,True,True,,False,True,False,False,,True,False
New Jersey,23238,23431.9,23367.8,23199.7,23453.3,23427.0,23491.0,23273.0,23183.0,23600.0,23238.7,23144.0,23145.4,23535.0,23630.5,,23140.0,,23374.0,,23201.0,23258.0,24536.9,23375.0,23264.0,23221.9,23088.0,23295.2,23370.0,23137.0,23330.0,23584.2,23189.6,22686.5,,23092.9,23172.0,24174.0,23386.0,21863.8,23041.0,23459.8,,23346.4,22937.0,23405.9,23250.0,,22540.0,23569.0,193.9,129.8,-38.3,215.3,189.0,253.0,35.0,-55.0,362.0,0.7,-94.0,-92.6,297.0,392.5,,-98.0,,136.0,,-37.0,20.0,1298.9,137.0,26.0,-16.1,-150.0,57.2,132.0,-101.0,92.0,346.2,-48.4,-551.5,,-145.1,-66.0,936.0,148.0,-1374.2,-197.0,221.8,,108.4,-301.0,167.9,12.0,,-698.0,331.0,True,True,False,True,False,True,True,False,True,True,True,False,False,,True,,True,,True,True,False,True,True,True,True,True,True,True,True,False,True,False,,True,True,False,True,False,False,False,,True,False,True,True,,False,False
New Mexico,3700,3730.4,3752.9,3711.8,3725.9,3680.0,3749.0,3688.0,3672.0,3662.0,3730.0,3706.0,3645.9,3752.0,3772.7,,3665.3,,3705.2,,3714.5,3815.0,4092.1,3846.0,3639.7,3691.5,3582.0,3623.2,3771.0,3827.0,3681.0,3767.0,3647.6,3756.0,,,3685.3,,3684.0,3460.9,3617.0,3621.3,,3717.8,3671.0,3723.0,3624.0,,3680.7,3677.0,30.4,52.9,11.8,25.9,-20.0,49.0,-12.0,-28.0,-38.0,30.0,6.0,-54.1,52.0,72.7,,-34.7,,5.2,,14.5,115.0,392.1,146.0,-60.3,-8.5,-118.0,-76.8,71.0,127.0,-19.0,67.0,-52.4,56.0,,,-14.7,,-16.0,-239.1,-83.0,-78.7,,17.8,-29.0,23.0,-76.0,,-19.3,-23.0,False,True,True,True,False,True,True,False,True,True,False,False,False,,False,,True,,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,,True,,True,False,False,False,,True,True,True,False,,True,True
New York,47498,48281.9,48011.7,47851.2,48238.7,48167.0,48298.5,47924.0,47642.0,47703.0,48064.7,46800.0,47282.4,48066.0,48870.3,,47547.0,,48063.6,,48415.5,47403.0,47603.7,48569.0,48212.9,47536.7,47084.0,48063.5,48269.0,45791.4,47862.7,48340.5,48052.6,49473.0,,47259.2,47956.4,50032.0,48070.0,45769.2,47138.0,48334.3,,47892.0,47308.0,47862.8,47592.0,,45325.9,47672.0,783.9,513.7,353.2,740.7,669.0,800.5,426.0,144.0,205.0,566.7,-698.0,-215.6,568.0,1372.3,,49.0,,565.6,,917.5,-95.0,105.7,1071.0,714.9,38.7,-414.0,565.5,771.0,-1706.6,364.7,842.5,554.6,1975.0,,-238.8,458.4,2534.0,572.0,-1728.8,-360.0,836.3,,394.0,-190.0,364.8,94.0,,-2172.1,174.0,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,,True,,False,True,True,False,True,True,True,True,True,False,True,False,True,False,,True,True,False,True,False,True,False,,True,True,True,True,,False,True
