,actual_deaths,Baseline,AIpert-pwllnod,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SigSci-TS,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UpstateSU-GRU,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-AIpert-pwllnod,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SigSci-TS,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UpstateSU-GRU,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-AIpert-pwllnod,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UpstateSU-GRU,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,17294,17854.6,18116.2,18059.9,18137.0,17501.0,17994.6,17338.0,17414.0,15895.0,17068.2,,16960.1,15809.0,16945.4,,16685.8,17243.5,,17305.3,18174.0,14884.8,18211.0,16066.1,17029.3,18797.5,17751.4,17678.0,22207.3,17447.6,17928.1,18607.3,18692.5,,18741.2,17315.3,16853.0,17139.0,15968.2,16307.0,17016.9,,17505.6,16650.0,17702.3,17433.0,,14884.6,17840.0,560.6,822.2,765.9,843.0,207.0,700.6,44.0,120.0,-1399.0,-225.8,,-333.9,-1485.0,-348.6,,-608.2,-50.5,,11.3,880.0,-2409.2,917.0,-1227.9,-264.7,1503.5,457.4,384.0,4913.3,153.6,634.1,1313.3,1398.5,,1447.2,21.3,-441.0,-155.0,-1325.8,-987.0,-277.1,,211.6,-644.0,408.3,139.0,,-2409.4,546.0,False,False,False,True,False,True,True,False,True,,True,False,True,,False,True,,True,False,False,False,False,True,False,True,True,False,True,False,False,False,,False,True,True,True,False,False,True,,True,False,True,True,,False,True
Hawaii,438,671.3,487.0,572.7,666.6,591.0,690.0,502.0,460.0,437.0,512.9,,450.6,521.0,511.4,,,506.9,,426.9,,367.7,550.0,577.8,464.8,449.0,505.0,561.0,,535.2,527.7,442.5,510.0,,,454.0,463.0,466.0,424.1,460.0,440.6,,571.6,444.0,466.5,465.0,,447.9,521.0,233.3,49.0,134.7,228.6,153.0,252.0,64.0,22.0,-1.0,74.9,,12.6,83.0,73.4,,,68.9,,-11.1,,-70.3,112.0,139.8,26.8,11.0,67.0,123.0,,97.2,89.7,4.5,72.0,,,16.0,25.0,28.0,-13.9,22.0,2.6,,133.6,6.0,28.5,27.0,,9.9,83.0,True,True,True,True,False,True,True,True,True,,True,True,True,,,True,,True,,True,True,True,True,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,,True,True
Idaho,1860,1941.0,1920.2,1914.1,1944.4,1957.0,1953.0,1913.0,1877.0,1821.0,1949.0,,1875.8,1846.0,1940.3,,1892.6,1969.9,,1848.7,2060.0,1862.4,1954.0,2007.6,1883.5,1765.0,1867.2,1972.0,1849.4,1927.4,1924.1,1879.7,2099.0,,,1889.2,1913.0,1933.0,1719.8,1840.0,1978.0,,1978.0,1862.0,2003.6,1865.0,,1891.3,1923.0,81.0,60.2,54.1,84.4,97.0,93.0,53.0,17.0,-39.0,89.0,,15.8,-14.0,80.3,,32.6,109.9,,-11.3,200.0,2.4,94.0,147.6,23.5,-95.0,7.2,112.0,-10.6,67.4,64.1,19.7,239.0,,,29.2,53.0,73.0,-140.2,-20.0,118.0,,118.0,2.0,143.6,5.0,,31.3,63.0,True,True,False,False,False,True,True,True,False,,True,True,True,,True,False,,True,False,True,False,False,True,False,True,False,True,True,True,True,False,,,True,True,True,False,True,False,,False,True,False,True,,True,True
Illinois,22710,23463.1,23253.6,22987.0,23447.0,23307.0,23484.3,23061.0,22911.0,23044.0,23377.3,,23128.2,22933.0,22976.4,,23034.1,23059.9,,23366.5,23872.0,25684.3,23676.0,21321.5,23082.3,22355.0,22937.7,23436.0,22280.8,23078.1,23317.5,22553.2,22947.0,,23481.4,22842.0,23451.0,23161.0,22581.9,22393.0,22615.6,,23083.9,22848.0,23292.2,22912.0,,23113.7,23498.0,753.1,543.6,277.0,737.0,597.0,774.3,351.0,201.0,334.0,667.3,,418.2,223.0,266.4,,324.1,349.9,,656.5,1162.0,2974.3,966.0,-1388.5,372.3,-355.0,227.7,726.0,-429.2,368.1,607.5,-156.8,237.0,,771.4,132.0,741.0,451.0,-128.1,-317.0,-94.4,,373.9,138.0,582.2,202.0,,403.7,788.0,True,True,True,True,False,True,True,True,True,,True,True,True,,True,True,,True,False,False,False,False,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,,True,True,True,True,,True,False
Indiana,12556,10969.1,11229.6,10991.1,11204.6,11013.0,11061.8,10985.0,10830.0,10664.0,11031.9,,11036.6,11116.0,10835.2,,10985.8,11136.3,,11263.4,11003.0,11231.3,11245.0,10873.6,10805.4,10488.0,10742.3,11259.0,10739.3,10860.7,11169.4,10695.0,11007.0,,11000.1,10704.9,11139.0,11016.0,10453.6,10527.0,11143.5,,10881.0,10771.0,10776.7,10722.0,,10514.1,10961.0,-264.9,-4.4,-242.9,-29.4,-221.0,-172.2,-249.0,-404.0,-570.0,-202.1,,-197.4,-118.0,-398.8,,-248.2,-97.7,,29.4,-231.0,-2.7,11.0,-360.4,-428.6,-746.0,-491.7,25.0,-494.7,-373.3,-64.6,-539.0,-227.0,,-233.9,-529.1,-95.0,-218.0,-780.4,-707.0,-90.5,,-353.0,-463.0,-457.3,-512.0,,-719.9,-273.0,True,True,True,True,True,True,False,False,True,,True,True,False,,True,True,,True,True,True,True,False,False,False,False,True,False,False,True,False,True,,True,False,True,True,False,False,True,,False,False,False,False,,False,False
Iowa,5470,6497.9,5246.7,4967.1,5295.4,5123.0,5311.0,5287.0,5175.0,4956.0,5116.1,,4862.7,5638.0,5309.2,,5076.8,5320.5,,5194.2,5227.0,5587.5,5116.0,5243.3,5094.3,5225.0,5877.1,5136.0,4886.3,5125.1,5519.2,5438.2,4914.0,,5294.3,5202.6,5087.0,5209.0,4636.4,6073.0,5451.7,,5170.8,5312.0,5407.0,5124.0,,5372.4,5413.0,1027.9,-223.3,-502.9,-174.6,-347.0,-159.0,-183.0,-295.0,-514.0,-353.9,,-607.3,168.0,-160.8,,-393.2,-149.5,,-275.8,-243.0,117.5,-354.0,-226.7,-375.7,-245.0,407.1,-334.0,-583.7,-344.9,49.2,-31.8,-556.0,,-175.7,-267.4,-383.0,-261.0,-833.6,603.0,-18.3,,-299.2,-158.0,-63.0,-346.0,,-97.6,-57.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,,True,True
Kansas,4692,4461.3,4318.9,4348.1,4331.0,4387.0,4487.1,4363.0,4305.0,4289.0,4307.8,,4537.1,4468.0,5079.1,,4450.0,4411.5,,4063.3,4576.0,8091.6,4238.0,4416.2,4319.2,4110.0,4118.4,4493.0,4346.8,4379.7,4374.9,4252.5,4181.0,,,4159.7,4363.0,4286.0,5166.6,4179.0,4541.5,,4391.8,4304.0,4850.7,4248.0,,4267.8,4634.0,-230.7,-373.1,-343.9,-361.0,-305.0,-204.9,-329.0,-387.0,-403.0,-384.2,,-154.9,-224.0,387.1,,-242.0,-280.5,,-628.7,-116.0,3399.6,-454.0,-275.8,-372.8,-582.0,-573.6,-199.0,-345.2,-312.3,-317.1,-439.5,-511.0,,,-532.3,-329.0,-406.0,474.6,-513.0,-150.5,,-300.2,-388.0,158.7,-444.0,,-424.2,-58.0,False,False,False,False,True,False,False,False,False,,True,True,False,,False,False,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,,,False,False,False,False,False,True,,False,False,True,False,,False,True
Kentucky,4625,4994.7,5791.2,4847.3,5039.7,4908.0,5026.1,4769.0,4689.0,4177.0,4725.3,,4472.8,4342.0,4574.8,,,4911.5,,4637.9,5206.0,5788.5,4938.0,4896.2,4460.5,5057.0,4892.9,4807.0,5076.1,4893.0,4802.8,4982.1,4765.0,,,4747.7,4498.0,4669.0,4295.9,4532.0,4976.6,,4942.5,4594.0,5030.9,4753.0,,4214.3,4769.0,369.7,1166.2,222.3,414.7,283.0,401.1,144.0,64.0,-448.0,100.3,,-152.2,-283.0,-50.2,,,286.5,,12.9,581.0,1163.5,313.0,271.2,-164.5,432.0,267.9,182.0,451.1,268.0,177.8,357.1,140.0,,,122.7,-127.0,44.0,-329.1,-93.0,351.6,,317.5,-31.0,405.9,128.0,,-410.7,144.0,False,True,False,True,False,True,True,False,True,,True,True,True,,,True,,True,False,False,True,True,True,False,True,True,False,True,True,True,True,,,True,True,True,True,True,True,,True,True,False,True,,False,True
Louisiana,9587,9993.0,10165.0,10019.1,9935.7,9915.0,10071.9,9871.0,9755.0,9728.0,10060.0,,9857.5,9935.0,10517.0,,9961.6,9804.7,,9849.5,10318.0,9528.5,9936.0,9721.5,9617.9,9742.0,9850.6,10262.0,10121.6,9816.6,10176.2,9736.3,10087.0,,9871.4,9646.6,9915.0,9927.0,10379.3,10075.0,9855.4,,9840.2,9856.0,9761.5,9624.0,,9419.9,10092.0,406.0,578.0,432.1,348.7,328.0,484.9,284.0,168.0,141.0,473.0,,270.5,348.0,930.0,,374.6,217.7,,262.5,731.0,-58.5,349.0,134.5,30.9,155.0,263.6,675.0,534.6,229.6,589.2,149.3,500.0,,284.4,59.6,328.0,340.0,792.3,488.0,268.4,,253.2,269.0,174.5,37.0,,-167.1,505.0,False,False,True,True,False,True,True,True,False,,True,True,False,,True,True,,True,False,True,True,True,True,True,True,False,False,True,False,True,False,,True,True,True,True,False,False,True,,True,True,True,True,,True,False
Maine,702,767.4,773.5,797.4,774.1,742.0,774.0,769.0,753.0,724.0,791.4,,861.3,768.0,698.0,,736.6,776.9,,734.2,859.0,794.0,801.0,965.7,760.0,692.0,697.0,884.0,,797.7,771.5,774.6,739.0,,,710.4,798.0,770.0,840.7,672.0,660.6,,849.8,708.0,827.0,742.0,,691.2,832.0,65.4,71.5,95.4,72.1,40.0,72.0,67.0,51.0,22.0,89.4,,159.3,66.0,-4.0,,34.6,74.9,,32.2,157.0,92.0,99.0,263.7,58.0,-10.0,-5.0,182.0,,95.7,69.5,72.6,37.0,,,8.4,96.0,68.0,138.7,-30.0,-41.4,,147.8,6.0,125.0,40.0,,-10.8,130.0,False,False,False,True,False,False,True,True,False,,False,False,True,,True,False,,True,False,False,False,False,True,True,True,False,,False,False,False,True,,,True,False,False,False,True,True,,False,True,False,True,,True,False
Maryland,7856,8137.6,8166.9,8174.1,8173.4,8146.0,8186.9,8044.0,7954.0,8085.0,8128.1,,7938.6,11081.0,7843.8,,8015.3,8268.3,,8236.4,8217.0,8206.1,8198.0,8078.3,7920.1,7830.0,8020.2,8264.0,7835.1,8125.5,8131.6,7941.8,8077.0,,8114.2,8011.1,8159.0,7919.0,7882.2,7788.0,8007.2,,8172.0,7823.0,7828.5,7992.0,,7697.2,7969.0,281.6,310.9,318.1,317.4,290.0,330.9,188.0,98.0,229.0,272.1,,82.6,3225.0,-12.2,,159.3,412.3,,380.4,361.0,350.1,342.0,222.3,64.1,-26.0,164.2,408.0,-20.9,269.5,275.6,85.8,221.0,,258.2,155.1,303.0,63.0,26.2,-68.0,151.2,,316.0,-33.0,-27.5,136.0,,-158.8,113.0,False,False,False,False,False,True,True,True,True,,True,False,True,,True,False,,False,False,False,False,True,True,True,True,False,True,True,True,True,True,,True,True,False,True,True,True,True,,False,True,True,True,,True,True
Massachusetts,16067,16289.6,16262.9,16288.0,16405.7,16217.0,16398.3,16223.0,15959.0,16215.0,16216.0,,16347.0,16492.0,15959.9,,16233.4,16178.4,,16416.9,16347.0,16671.2,16365.0,15832.2,15750.0,15425.0,15956.8,16284.0,17190.1,16356.9,16560.9,16077.9,15356.0,,16045.3,16200.6,16764.0,16183.0,18235.5,15644.0,15844.4,,16385.9,16090.0,16519.1,15941.0,,15307.9,16476.0,222.6,195.9,221.0,338.7,150.0,331.3,156.0,-108.0,148.0,149.0,,280.0,425.0,-107.1,,166.4,111.4,,349.9,280.0,604.2,298.0,-234.8,-317.0,-642.0,-110.2,217.0,1123.1,289.9,493.9,10.9,-711.0,,-21.7,133.6,697.0,116.0,2168.5,-423.0,-222.6,,318.9,23.0,452.1,-126.0,,-759.1,409.0,True,True,False,True,False,True,True,True,True,,False,False,True,,True,True,,False,False,False,False,False,False,False,True,True,False,False,False,True,False,,True,True,False,True,False,False,False,,False,True,False,True,,False,False
Michigan,16508,16851.9,17178.5,16867.2,16638.3,16954.0,16900.0,16681.0,16627.0,16995.0,17008.5,,16679.4,16970.0,17061.6,,16623.0,16700.8,,17272.5,18002.0,17453.0,16932.0,16877.8,16637.3,16218.0,16455.9,17039.0,16330.3,16534.5,16783.4,16568.3,16779.0,,16641.9,16558.7,17039.0,16682.0,16589.7,16150.0,16341.2,,16539.6,16539.0,17616.6,16530.0,,16604.3,17439.0,343.9,670.5,359.2,130.3,446.0,392.0,173.0,119.0,487.0,500.5,,171.4,462.0,553.6,,115.0,192.8,,764.5,1494.0,945.0,424.0,369.8,129.3,-290.0,-52.1,531.0,-177.7,26.5,275.4,60.3,271.0,,133.9,50.7,531.0,174.0,81.7,-358.0,-166.8,,31.6,31.0,1108.6,22.0,,96.3,931.0,False,False,True,False,False,True,True,False,False,,True,False,False,,True,True,,False,False,False,False,False,True,True,True,False,True,True,True,True,True,,True,True,False,True,True,False,True,,True,True,False,True,,True,False
Minnesota,6543,6673.0,6650.6,6649.0,6738.1,6777.0,6750.8,6713.0,6643.0,6684.0,6773.7,,6720.0,6674.0,6650.3,,6752.1,6634.8,,6837.9,6903.0,7894.9,6719.0,6922.7,6594.2,6441.0,6630.7,6814.0,6442.0,6639.1,6734.5,6610.1,7007.0,,6943.1,6600.6,6760.0,6713.0,5718.2,6598.0,7028.6,,6683.8,6610.0,6835.6,6599.0,,6725.5,6776.0,130.0,107.6,106.0,195.1,234.0,207.8,170.0,100.0,141.0,230.7,,177.0,131.0,107.3,,209.1,91.8,,294.9,360.0,1351.9,176.0,379.7,51.2,-102.0,87.7,271.0,-101.0,96.1,191.5,67.1,464.0,,400.1,57.6,217.0,170.0,-824.8,55.0,485.6,,140.8,67.0,292.6,56.0,,182.5,233.0,True,True,False,False,False,False,True,False,False,,False,False,True,,False,True,,False,False,False,False,False,True,True,True,False,True,True,False,True,False,,False,True,False,False,False,True,False,,False,True,False,True,,False,False
Mississippi,6669,7098.0,6779.9,7082.7,7083.7,6965.0,7081.5,6978.0,6746.0,6545.0,7000.3,,7008.5,6621.0,7260.0,,6794.8,6760.0,,6608.8,7404.0,6890.0,7052.0,6675.1,6615.9,6554.0,6879.3,7156.0,7126.8,7016.9,7071.1,6896.8,7019.0,,7160.8,6941.8,6974.0,6978.0,6610.0,6743.0,6970.2,,7050.9,6928.0,7138.6,7022.0,,6597.1,7026.0,429.0,110.9,413.7,414.7,296.0,412.5,309.0,77.0,-124.0,331.3,,339.5,-48.0,591.0,,125.8,91.0,,-60.2,735.0,221.0,383.0,6.1,-53.1,-115.0,210.3,487.0,457.8,347.9,402.1,227.8,350.0,,491.8,272.8,305.0,309.0,-59.0,74.0,301.2,,381.9,259.0,469.6,353.0,,-71.9,357.0,True,True,True,True,True,True,True,True,True,,True,True,False,,True,True,,True,False,True,True,True,True,True,True,False,False,True,True,True,True,,False,True,True,True,True,True,True,,True,True,False,True,,True,True
Missouri,8282,7901.1,8254.9,7998.5,7887.2,7856.0,7956.1,7830.0,7720.0,7669.0,7851.8,,7772.2,7861.0,8067.9,,7634.2,7843.5,,7304.8,8425.0,6992.1,8026.0,7672.8,7796.0,7470.0,7662.5,8030.0,8052.5,7897.5,7957.2,7738.5,8394.0,,7920.1,7910.5,7808.0,7817.0,7581.6,7500.0,7458.4,,7938.9,7782.0,7816.6,7599.0,,7265.2,8074.0,-350.9,2.9,-253.5,-364.8,-396.0,-295.9,-422.0,-532.0,-583.0,-400.2,,-479.8,-391.0,-184.1,,-617.8,-408.5,,-947.2,173.0,-1259.9,-226.0,-579.2,-456.0,-782.0,-589.5,-222.0,-199.5,-354.5,-294.8,-513.5,142.0,,-331.9,-341.5,-444.0,-435.0,-670.4,-752.0,-793.6,,-313.1,-470.0,-435.4,-653.0,,-986.8,-178.0,True,True,False,False,True,False,False,False,False,,False,False,True,,False,False,,False,True,False,True,False,False,False,False,True,True,False,True,False,True,,True,True,False,False,False,False,False,,True,False,False,False,,False,True
Montana,1356,1549.3,1400.0,1432.0,1587.2,1592.0,1596.0,1428.0,1420.0,1336.0,1403.9,,1349.8,1305.0,1429.1,,1662.9,1350.7,,1382.8,1511.0,1855.6,1623.0,1412.3,1350.0,1354.0,1414.9,1410.0,1345.8,1437.5,1445.6,1433.5,1430.5,,,1343.6,1368.0,1379.0,1080.6,1428.0,1643.8,,1486.4,1374.0,1493.2,1477.0,,1366.4,1463.0,193.3,44.0,76.0,231.2,236.0,240.0,72.0,64.0,-20.0,47.9,,-6.2,-51.0,73.1,,306.9,-5.3,,26.8,155.0,499.6,267.0,56.3,-6.0,-2.0,58.9,54.0,-10.2,81.5,89.6,77.5,74.5,,,-12.4,12.0,23.0,-275.4,72.0,287.8,,130.4,18.0,137.2,121.0,,10.4,107.0,True,True,False,False,False,True,True,True,True,,True,True,True,,False,True,,True,True,False,False,True,True,True,True,True,True,True,True,True,True,,,True,True,True,False,True,False,,True,True,True,True,,True,True
Nebraska,2082,2078.1,2039.2,2023.4,2071.7,2131.0,2084.7,2073.0,2062.0,2068.0,2160.7,,2056.9,2016.0,2093.7,,2136.5,2115.1,,2046.7,2142.0,2463.5,2152.0,2238.5,2054.4,1971.0,2045.4,2204.0,1970.0,2056.0,2117.0,2046.7,2074.0,,,2051.1,2125.0,2099.0,1803.4,1996.0,2072.1,,2105.9,2056.0,2075.3,2031.0,,2075.4,2145.0,-3.9,-42.8,-58.6,-10.3,49.0,2.7,-9.0,-20.0,-14.0,78.7,,-25.1,-66.0,11.7,,54.5,33.1,,-35.3,60.0,381.5,70.0,156.5,-27.6,-111.0,-36.6,122.0,-112.0,-26.0,35.0,-35.3,-8.0,,,-30.9,43.0,17.0,-278.6,-86.0,-9.9,,23.9,-26.0,-6.7,-51.0,,-6.6,63.0,False,False,False,False,True,False,False,False,False,,False,False,False,,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,,False,False
Nevada,4957,5211.1,5285.7,5187.5,5256.3,5218.0,5275.9,5048.0,4981.0,4938.0,5039.7,,4935.3,5049.0,5127.9,,,4910.3,,5036.5,5457.0,4377.7,5157.0,4780.9,4817.3,4967.0,4870.8,5219.0,5110.8,5183.2,5094.1,5252.3,5409.0,,5261.2,4955.8,4867.0,4907.0,4711.0,4738.0,5200.3,,5217.2,4845.0,5588.5,4954.0,,4787.9,5052.0,254.1,328.7,230.5,299.3,261.0,318.9,91.0,24.0,-19.0,82.7,,-21.7,92.0,170.9,,,-46.7,,79.5,500.0,-579.3,200.0,-176.1,-139.7,10.0,-86.2,262.0,153.8,226.2,137.1,295.3,452.0,,304.2,-1.2,-90.0,-50.0,-246.0,-219.0,243.3,,260.2,-112.0,631.5,-3.0,,-169.1,95.0,False,True,False,False,False,True,True,True,True,,True,True,True,,,True,,True,False,False,True,True,True,True,True,False,True,True,True,False,False,,False,True,True,True,True,True,True,,False,True,False,True,,True,True
New Hampshire,1170,1327.0,1217.5,1277.5,1312.8,1289.0,1286.0,1274.0,1237.0,1216.0,1275.8,,1314.4,1250.0,1246.3,,1248.4,1236.8,,1251.0,1300.0,1773.9,1287.0,1402.6,1215.3,1183.0,1222.3,1321.0,,1277.4,1319.8,1257.9,1355.0,,,1283.4,1272.0,1299.0,1330.6,1313.0,1232.4,,1330.3,1231.0,1295.8,1245.0,,1147.0,1284.0,157.0,47.5,107.5,142.8,119.0,116.0,104.0,67.0,46.0,105.8,,144.4,80.0,76.3,,78.4,66.8,,81.0,130.0,603.9,117.0,232.6,45.3,13.0,52.3,151.0,,107.4,149.8,87.9,185.0,,,113.4,102.0,129.0,160.6,143.0,62.4,,160.3,61.0,125.8,75.0,,-23.0,114.0,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,False,True,False,True,True,True,True,,True,True,True,False,,,True,True,True,False,True,True,,False,True,True,True,,True,True
New Jersey,23238,23539.9,23981.9,23424.6,23566.7,23452.0,23538.3,23415.0,23233.0,24053.0,23574.6,,23651.9,23696.0,22743.9,,23110.7,23236.2,,23278.5,23968.0,23954.7,23631.0,23304.3,23342.5,22780.0,23283.9,23554.0,23071.1,23517.4,23725.6,23338.3,22147.0,,23051.9,23143.0,24914.0,23512.0,21863.7,23029.0,23479.6,,23522.1,22860.0,23646.2,23380.0,,22245.3,23772.0,301.9,743.9,186.6,328.7,214.0,300.3,177.0,-5.0,815.0,336.6,,413.9,458.0,-494.1,,-127.3,-1.8,,40.5,730.0,716.7,393.0,66.3,104.5,-458.0,45.9,316.0,-166.9,279.4,487.6,100.3,-1091.0,,-186.1,-95.0,1676.0,274.0,-1374.3,-209.0,241.6,,284.1,-378.0,408.2,142.0,,-992.7,534.0,False,True,False,True,True,True,True,False,False,,False,False,False,,True,True,,True,False,False,False,True,True,False,True,False,True,True,False,True,False,,True,True,False,True,False,True,True,,True,False,False,True,,False,False
New Mexico,3700,3815.3,3841.8,3867.5,3856.0,3895.0,3864.9,3771.0,3731.0,3697.0,3794.6,,3709.6,3780.0,3647.6,,3884.5,3844.4,,3903.2,4057.0,3731.4,3903.0,3651.1,3669.2,3665.0,3714.2,3833.0,3673.5,3791.7,3857.8,3680.6,3891.0,,,3772.9,3698.0,3770.0,3654.7,3666.0,3545.2,,3843.7,3726.0,3965.3,3654.0,,3658.3,3778.0,115.3,141.8,167.5,156.0,195.0,164.9,71.0,31.0,-3.0,94.6,,9.6,80.0,-52.4,,184.5,144.4,,203.2,357.0,31.4,203.0,-48.9,-30.8,-35.0,14.2,133.0,-26.5,91.7,157.8,-19.4,191.0,,,72.9,-2.0,70.0,-45.3,-34.0,-154.8,,143.7,26.0,265.3,-46.0,,-41.7,78.0,False,False,False,False,False,True,True,True,True,,True,True,True,,False,False,,False,False,True,False,True,True,True,True,False,True,True,False,True,False,,,True,True,True,True,True,False,,False,True,False,True,,True,True
New York,47498,48683.0,48167.7,48554.3,48619.5,48511.0,48729.6,48153.0,47761.0,48385.0,48734.8,,48388.1,50001.0,46917.4,,47558.0,48715.7,,48134.7,48380.0,48468.3,49454.0,48863.4,47749.8,47353.5,48376.9,49029.0,47538.9,48173.0,48945.5,47886.2,46095.0,,46904.6,48073.6,52191.0,48512.0,45769.2,46857.0,49129.8,,48208.2,47443.0,46575.6,47865.0,,44264.4,47728.0,1185.0,669.7,1056.3,1121.5,1013.0,1231.6,655.0,263.0,887.0,1236.8,,890.1,2503.0,-580.6,,60.0,1217.7,,636.7,882.0,970.3,1956.0,1365.4,251.8,-144.5,878.9,1531.0,40.9,675.0,1447.5,388.2,-1403.0,,-593.4,575.6,4693.0,1014.0,-1728.8,-641.0,1631.8,,710.2,-55.0,-922.4,367.0,,-3233.6,230.0,True,True,True,True,False,True,True,True,False,,True,False,True,,True,False,,True,True,True,False,False,True,True,True,False,True,True,False,True,False,,True,True,False,True,False,True,False,,True,True,True,True,,False,True
North Carolina,11212,11803.6,11361.2,11720.7,12135.6,11959.0,12091.8,11615.0,11420.0,10592.0,11413.9,,11391.2,10860.0,11525.1,,11679.1,10848.4,,11299.4,11992.0,11096.8,11779.0,11622.1,11124.0,11036.5,11653.2,11825.0,11790.1,12096.3,11931.8,11813.9,12221.0,,11521.1,11588.9,11454.0,11495.0,11909.2,11187.0,11847.4,,12121.6,11460.0,12481.7,11737.0,,10326.6,11968.0,591.6,149.2,508.7,923.6,747.0,879.8,403.0,208.0,-620.0,201.9,,179.2,-352.0,313.1,,467.1,-363.6,,87.4,780.0,-115.2,567.0,410.1,-88.0,-175.5,441.2,613.0,578.1,884.3,719.8,601.9,1009.0,,309.1,376.9,242.0,283.0,697.2,-25.0,635.4,,909.6,248.0,1269.7,525.0,,-885.4,756.0,True,True,False,False,False,True,True,False,True,,True,True,True,,True,True,,True,False,True,True,True,True,True,True,False,True,False,False,False,False,,True,True,True,True,False,True,False,,False,True,False,True,,False,False
