,actual_deaths,Baseline,AIpert-pwllnod,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,MITCovAlliance-SIR,UCLA-SuEIR,WalmartLabsML-LogForecasting,error-Baseline,error-AIpert-pwllnod,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-UCLA-SuEIR,error-WalmartLabsML-LogForecasting,beat_baseline-AIpert-pwllnod,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCLA-SuEIR,beat_baseline-WalmartLabsML-LogForecasting
Michigan,16508,18146.0,18432.1,18235.6,14659.0,16373.8,,17845.0,15372.8,16634.9,14800.6,14860.8,1638.0,1924.1,1727.6,-1849.0,-134.2,,1337.0,-1135.2,126.9,-1707.4,-1647.2,False,False,False,True,,True,True,True,False,False
Minnesota,6543,7712.6,7935.6,7597.8,6034.0,7255.0,,8005.0,6001.4,6618.8,7552.4,6560.9,1169.6,1392.6,1054.8,-509.0,712.0,,1462.0,-541.6,75.8,1009.4,17.9,False,True,True,True,,False,True,True,True,True
Mississippi,6669,6953.1,9073.8,7039.7,5552.0,6933.3,,6632.0,6191.8,5689.6,6985.3,5518.5,284.1,2404.8,370.7,-1117.0,264.3,,-37.0,-477.2,-979.4,316.3,-1150.5,False,False,False,True,,True,False,False,False,False
Missouri,8282,7818.1,7786.8,7692.9,7968.0,8827.3,,8754.0,6743.9,6580.1,6693.2,6449.7,-429.9,-461.2,-555.1,-280.0,579.3,,506.0,-1504.1,-1667.9,-1554.8,-1798.3,False,False,True,False,,False,False,False,False,False
Montana,1356,1349.1,1235.2,1386.7,1087.0,1178.3,,1477.0,1139.8,1278.6,1471.3,1134.2,-6.9,-120.8,30.7,-269.0,-177.7,,121.0,-216.2,-77.4,115.3,-221.8,False,False,False,False,,False,False,False,False,False
Nebraska,2082,2559.9,2902.3,2549.5,1954.0,2370.7,,2299.5,2006.5,2107.1,2296.9,2043.2,477.9,820.3,467.5,-128.0,288.7,,217.5,-75.5,25.1,214.9,-38.8,False,True,True,True,,True,True,True,True,True
Nevada,4957,4987.1,4276.8,4795.6,3794.0,4917.7,,4682.0,3690.4,4690.2,4710.7,3732.2,30.1,-680.2,-161.4,-1163.0,-39.3,,-275.0,-1266.6,-266.8,-246.3,-1224.8,False,False,False,False,,False,False,False,False,False
New Hampshire,1170,1345.7,3870.7,1313.0,1034.0,1374.7,,1410.0,1157.6,1022.0,1078.0,873.0,175.7,2700.7,143.0,-136.0,204.7,,240.0,-12.4,-148.0,-92.0,-297.0,False,True,True,False,,False,True,True,True,False
New Jersey,23238,23749.4,24567.5,23777.3,21747.0,23534.9,,22476.0,20951.1,26342.8,23660.7,20134.1,511.4,1329.5,539.3,-1491.0,296.9,,-762.0,-2286.9,3104.8,422.7,-3103.9,False,False,False,True,,False,False,False,True,False
New Mexico,3700,4161.7,3464.9,4277.3,3261.0,3632.3,,3711.0,3259.6,4168.8,3596.6,3156.5,461.7,-235.1,577.3,-439.0,-67.7,,11.0,-440.4,468.8,-103.4,-543.5,True,False,True,True,,True,True,False,True,False
New York,47498,46303.6,46806.3,46266.3,46253.0,52522.5,,45101.0,44938.2,45122.2,49463.6,39491.2,-1194.4,-691.7,-1231.7,-1245.0,5024.5,,-2397.0,-2559.8,-2375.8,1965.6,-8006.8,True,False,False,False,,False,False,False,False,False
North Carolina,11212,9746.4,9900.6,9821.5,8235.0,10328.6,,10230.0,9696.0,9347.1,9543.4,8009.1,-1465.6,-1311.4,-1390.5,-2977.0,-883.4,,-982.0,-1516.0,-1864.9,-1668.6,-3202.9,True,True,False,True,,True,False,False,False,False
North Dakota,1475,1655.7,1479.1,1678.6,1418.0,1605.3,,1695.0,1435.9,1510.8,1454.0,1515.2,187.7,11.1,210.6,-50.0,137.3,,227.0,-32.1,42.8,-14.0,47.2,True,False,True,True,,False,True,True,True,True
Ohio,18179,13531.0,16070.4,13345.9,10390.0,13021.1,,14119.0,10867.6,11249.9,13758.4,10506.0,131.0,2670.4,-54.1,-3010.0,-378.9,,719.0,-2532.4,-2150.1,358.4,-2894.0,False,True,False,False,,False,False,False,False,False
Oklahoma,4379,3937.7,4052.1,3886.8,3575.0,3827.5,,4157.0,3414.1,3189.7,4096.1,3042.1,-441.3,-326.9,-492.2,-804.0,-551.5,,-222.0,-964.9,-1189.3,-282.9,-1336.9,True,False,False,False,,True,False,False,True,False
Oregon,2208,2073.6,1607.4,2051.6,1819.0,2515.2,,2169.0,2190.7,2271.8,2162.5,1832.9,-134.4,-600.6,-156.4,-389.0,307.2,,-39.0,-17.3,63.8,-45.5,-375.1,False,False,False,False,,True,True,True,True,False
Pennsylvania,23895,26137.9,30130.2,26744.5,20040.0,28032.1,,27090.0,19484.6,23689.3,25930.1,18614.2,2242.9,6235.2,2849.5,-3855.0,4137.1,,3195.0,-4410.4,-205.7,2035.1,-5280.8,False,False,False,False,,False,False,True,True,False
Rhode Island,2502,2350.6,3138.8,2361.9,1918.0,2453.7,,2523.0,2164.1,2522.3,1975.0,1897.6,45.6,833.8,56.9,-387.0,148.7,,218.0,-140.9,217.3,-330.0,-407.4,False,False,False,False,,False,False,False,False,False
South Carolina,8498,7936.1,9422.2,7474.2,7196.0,7994.1,,7232.0,7308.3,6511.0,7372.3,6161.9,-561.9,924.2,-1023.8,-1302.0,-503.9,,-1266.0,-1189.7,-1987.0,-1125.7,-2336.1,False,False,False,True,,False,False,False,False,False
South Dakota,1886,2039.4,1821.4,1941.2,1720.0,1979.5,,2102.0,1775.7,1941.8,1622.9,1770.1,153.4,-64.6,55.2,-166.0,93.5,,216.0,-110.3,55.8,-263.1,-115.9,True,True,False,True,,False,True,True,False,True
Tennessee,11393,11055.7,11837.0,11186.5,8022.0,13706.4,,11568.0,8624.6,9293.2,11847.2,8295.7,-337.3,444.0,-206.5,-3371.0,2313.4,,175.0,-2768.4,-2099.8,454.2,-3097.3,False,True,False,False,,True,False,False,False,False
Texas,43519,39932.9,50757.4,39708.9,39749.0,39777.8,,40102.0,41798.6,35056.2,37552.2,32654.7,-3520.1,7304.4,-3744.1,-3704.0,-3675.2,,-3351.0,-1654.4,-8396.8,-5900.8,-10798.3,False,False,False,False,,True,True,False,False,False
Utah,1929,1984.6,1720.7,1949.6,1745.0,2295.5,,1916.0,1959.7,1672.5,1980.4,1114.4,55.6,-208.3,20.6,-184.0,366.5,,-13.0,30.7,-256.5,51.4,-814.6,False,True,False,False,,True,True,False,True,False
Vermont,204,242.1,232.7,283.0,216.0,296.5,,268.0,291.4,139.0,243.0,161.3,38.1,28.7,79.0,12.0,92.5,,64.0,87.4,-65.0,39.0,-42.7,True,False,True,False,,False,False,False,False,False
Virginia,8382,7245.4,8900.9,7336.2,6552.0,7753.0,,6830.0,6669.6,6299.1,6726.8,5801.6,-1136.6,518.9,-1045.8,-1830.0,-629.0,,-1552.0,-1712.4,-2082.9,-1655.2,-2580.4,True,True,False,True,,False,False,False,False,False
Washington,4956,5619.7,7919.8,5676.1,4002.0,4283.8,,4785.0,4206.0,3973.1,4788.8,3929.0,663.7,2963.8,720.1,-954.0,-672.2,,-171.0,-750.0,-982.9,-167.2,-1027.0,False,False,False,False,,True,False,False,True,False
West Virginia,2297,2334.6,3151.2,2332.8,2444.0,2712.5,,2262.0,2096.7,2418.4,2534.1,1763.0,37.6,854.2,35.8,147.0,415.5,,-35.0,-200.3,121.4,237.1,-534.0,False,True,False,False,,True,False,False,False,False
Wisconsin,7014,7005.3,6680.5,7073.3,6458.0,7372.8,,7175.0,6636.1,6613.9,7190.2,6267.5,-8.7,-333.5,59.3,-556.0,358.8,,161.0,-377.9,-400.1,176.2,-746.5,False,False,False,False,,False,False,False,False,False
Wyoming,671,948.7,634.1,958.2,618.0,572.0,,696.0,572.7,643.4,541.7,546.0,277.7,-36.9,287.2,-53.0,-99.0,,25.0,-98.3,-27.6,-129.3,-125.0,True,False,True,True,,True,True,True,True,True
US,512938,496638.6,460236.2,496346.6,476532.0,523123.4,517882.0,472567.0,439329.7,,430011.9,402168.9,-9916.4,-46318.8,-10208.4,-30023.0,16568.4,11327.0,-33988.0,-67225.3,,-76543.1,-104386.1,False,False,False,False,False,False,False,,False,False
