,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidActNow-SEIR_CAN,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidActNow-SEIR_CAN,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidActNow-SEIR_CAN,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,3494,3094.3,3283.0,3099.9,3411.3,4293.0,,3642.7,5915.1,4015.0,,4300.3,3175.9,3337.0,3472.2,3176.3,3357.5,3458.8,,3005.2,3292.8,3139.5,,3034.2,,3210.0,3365.5,3446.0,,3896.5,4198.1,3076.0,3390.3,3192.3,-399.7,-211.0,-394.1,-82.7,799.0,,148.7,2421.1,521.0,,806.3,-318.1,-157.0,-21.8,-317.7,-136.5,-35.2,,-488.8,-201.2,-354.5,,-459.8,,-284.0,-128.5,-48.0,,402.5,704.1,-418.0,-103.7,-301.7,True,True,True,False,,True,False,False,,False,True,True,True,True,True,True,,False,True,True,,False,,True,True,True,,False,False,False,True,True
Hawaii,26,21.9,23.0,22.0,20.9,19.0,,22.5,40.2,21.0,,,17.9,,22.7,22.1,18.5,19.7,,24.9,23.1,19.0,,19.0,,23.0,19.4,24.0,,19.6,25.5,20.0,19.7,,-4.1,-3.0,-4.0,-5.1,-7.0,,-3.5,14.2,-5.0,,,-8.1,,-3.3,-3.9,-7.5,-6.3,,-1.1,-2.9,-7.0,,-7.0,,-3.0,-6.6,-2.0,,-6.4,-0.5,-6.0,-6.3,,True,True,False,False,,True,False,False,,,False,,True,True,False,False,,True,True,False,,False,,True,False,True,,False,True,False,False,
Idaho,146,98.7,128.0,99.7,111.8,220.0,,161.6,174.9,152.0,109.5,,103.0,135.0,150.9,126.3,118.3,99.2,,106.0,116.5,93.0,,94.8,,105.0,101.0,121.0,,175.5,129.7,97.0,101.7,,-47.3,-18.0,-46.3,-34.2,74.0,,15.6,28.9,6.0,-36.5,,-43.0,-11.0,4.9,-19.7,-27.7,-46.8,,-40.0,-29.5,-53.0,,-51.2,,-41.0,-45.0,-25.0,,29.5,-16.3,-49.0,-44.3,,True,True,True,False,,True,True,True,True,,True,True,True,True,True,True,,True,True,False,,False,,True,True,True,,True,True,False,True,
Illinois,7589,7397.1,7635.0,7437.1,7693.1,7785.0,,7281.9,7812.0,7187.0,7052.5,,7595.9,7735.0,7900.2,7534.5,7103.3,7635.9,8278.5,7574.8,7521.6,9502.5,,7402.2,,7409.0,7602.8,7398.0,,7310.3,7554.3,7336.0,7409.7,7353.3,-191.9,46.0,-151.9,104.1,196.0,,-307.1,223.0,-402.0,-536.5,,6.9,146.0,311.2,-54.5,-485.7,46.9,689.5,-14.2,-67.4,1913.5,,-186.8,,-180.0,13.8,-191.0,,-278.7,-34.7,-253.0,-179.3,-235.7,True,True,True,False,,False,False,False,False,,True,True,False,True,False,True,False,True,True,False,,True,,True,True,True,,False,True,False,True,False
Indiana,2895,2904.4,2894.0,2900.5,2916.0,2879.0,,2838.3,2999.1,2911.0,2838.9,,2708.8,2776.0,2892.9,3007.2,2963.5,2877.1,2916.0,2829.3,2947.7,2812.0,,2589.5,,2929.0,2863.3,3013.0,,2990.4,2955.3,2969.0,2911.8,2972.0,9.4,-1.0,5.5,21.0,-16.0,,-56.7,104.1,16.0,-56.1,,-186.2,-119.0,-2.1,112.2,68.5,-17.9,21.0,-65.7,52.7,-83.0,,-305.5,,34.0,-31.7,118.0,,95.4,60.3,74.0,16.8,77.0,True,True,False,False,,False,False,False,False,,False,False,True,False,False,False,False,False,False,False,,False,,False,False,False,,False,False,False,False,False
Iowa,826,763.9,858.0,772.0,796.1,891.0,,873.8,804.9,814.0,728.6,,771.6,771.0,881.8,800.0,954.0,804.5,,742.3,791.2,906.0,,770.1,,756.0,775.9,766.0,,834.9,833.0,747.0,776.1,,-62.1,32.0,-54.0,-29.9,65.0,,47.8,-21.1,-12.0,-97.4,,-54.4,-55.0,55.8,-26.0,128.0,-21.5,,-83.7,-34.8,80.0,,-55.9,,-70.0,-50.1,-60.0,,8.9,7.0,-79.0,-49.9,,True,True,True,False,,True,True,True,False,,True,True,True,True,False,True,,False,True,False,,True,,False,True,True,,True,True,False,True,
Kansas,329,326.9,355.0,328.0,334.2,342.0,,348.9,426.4,318.0,350.2,,339.3,308.0,421.9,330.7,320.1,311.0,,324.7,369.5,328.0,,305.3,,299.0,308.2,342.0,,319.9,388.4,360.0,318.5,,-2.1,26.0,-1.0,5.2,13.0,,19.9,97.4,-11.0,21.2,,10.3,-21.0,92.9,1.7,-8.9,-18.0,,-4.3,40.5,-1.0,,-23.7,,-30.0,-20.8,13.0,,-9.1,59.4,31.0,-10.5,,False,True,False,False,,False,False,False,False,,False,False,False,True,False,False,,False,False,True,,False,,False,False,False,,False,False,False,False,
Kentucky,696,662.1,672.0,678.1,673.8,643.0,,643.3,878.1,684.0,733.5,,671.7,695.0,835.1,623.7,988.4,648.9,775.5,670.8,667.0,644.0,,641.9,,610.0,649.3,639.0,,702.8,679.0,667.0,666.3,,-33.9,-24.0,-17.9,-22.2,-53.0,,-52.7,182.1,-12.0,37.5,,-24.3,-1.0,139.1,-72.3,292.4,-47.1,79.5,-25.2,-29.0,-52.0,,-54.1,,-86.0,-46.7,-57.0,,6.8,-17.0,-29.0,-29.7,,True,True,True,False,,False,False,True,False,,True,True,False,False,False,False,False,True,True,False,,False,,False,False,False,,True,True,True,True,
Louisiana,3715,3542.3,3567.0,3542.6,3616.1,3999.0,,3533.4,3437.1,3922.0,3603.7,,3600.2,3819.0,3725.4,3635.1,3450.8,3811.2,,3419.5,3718.5,3391.0,,3353.8,,3822.0,3489.2,3710.0,,3742.8,3822.1,3513.0,3556.9,3608.7,-172.7,-148.0,-172.4,-98.9,284.0,,-181.6,-277.9,207.0,-111.3,,-114.8,104.0,10.4,-79.9,-264.2,96.2,,-295.5,3.5,-324.0,,-361.2,,107.0,-225.8,-5.0,,27.8,107.1,-202.0,-158.1,-106.3,True,True,True,False,,False,False,False,True,,True,True,True,True,False,True,,False,True,False,,False,,True,False,True,,True,True,False,True,True
Maine,119,123.3,123.0,116.0,116.6,148.0,,114.8,127.6,120.0,109.9,,115.3,114.0,140.0,116.5,160.2,112.0,,121.3,120.8,110.0,,117.7,,123.0,111.6,121.0,,126.5,116.0,115.0,117.8,,4.3,4.0,-3.0,-2.4,29.0,,-4.2,8.6,1.0,-9.1,,-3.7,-5.0,21.0,-2.5,41.2,-7.0,,2.3,1.8,-9.0,,-1.3,,4.0,-7.4,2.0,,7.5,-3.0,-4.0,-1.2,,True,True,True,False,,True,False,True,False,,True,False,False,True,False,False,,True,True,False,,True,,True,False,True,,False,True,True,True,
Maryland,3433,3457.3,3534.0,3474.3,3467.5,3621.0,,3383.4,3462.8,3349.0,3190.9,,3410.3,3596.0,3733.8,3461.3,4012.0,3473.6,,3413.1,3494.3,3437.5,,3386.1,,3441.0,3433.9,3424.0,,3509.7,3499.9,3567.0,3471.8,3507.0,24.3,101.0,41.3,34.5,188.0,,-49.6,29.8,-84.0,-242.1,,-22.7,163.0,300.8,28.3,579.0,40.6,,-19.9,61.3,4.5,,-46.9,,8.0,0.9,-9.0,,76.7,66.9,134.0,38.8,74.0,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,,True,False,True,,False,,True,True,True,,False,False,False,False,False
Massachusetts,8510,8534.4,8626.0,8583.7,8548.7,8486.0,,8269.5,8460.9,8337.0,8332.0,,8880.5,8690.0,8524.0,8552.2,8389.1,8590.7,,8491.9,8587.2,8363.0,,8518.0,,8488.0,8512.8,8421.0,,8312.3,8651.0,8735.0,8477.1,8757.0,24.4,116.0,73.7,38.7,-24.0,,-240.5,-49.1,-173.0,-178.0,,370.5,180.0,14.0,42.2,-120.9,80.7,,-18.1,77.2,-147.0,,8.0,,-22.0,2.8,-89.0,,-197.7,141.0,225.0,-32.9,247.0,False,False,False,True,,False,False,False,False,,False,False,True,False,False,False,,True,False,False,,True,,True,True,False,,False,False,False,False,False
Michigan,6400,6392.3,6511.0,6427.9,6401.5,6554.0,,6317.7,6514.6,6592.0,6428.5,,6380.9,6450.0,6694.3,6463.8,7107.5,6310.2,6482.0,6364.1,6434.4,6335.0,,6123.0,,6279.0,6350.7,6390.0,,6488.2,6573.7,6287.0,6400.1,6433.3,-7.7,111.0,27.9,1.5,154.0,,-82.3,114.6,192.0,28.5,,-19.1,50.0,294.3,63.8,707.5,-89.8,82.0,-35.9,34.4,-65.0,,-277.0,,-121.0,-49.3,-10.0,,88.2,173.7,-113.0,0.1,33.3,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,,False,False,False,,False,False,False,True,False
Minnesota,1611,1645.1,1670.0,1655.9,1653.9,1701.0,,1695.2,1669.3,1654.0,1502.3,,1667.2,1609.0,1865.3,1632.2,1985.9,1717.2,1742.0,1572.8,1615.8,1608.0,,1616.0,,1591.0,1631.6,1601.0,,1648.3,1685.5,1612.0,1670.7,1654.3,34.1,59.0,44.9,42.9,90.0,,84.2,58.3,43.0,-108.7,,56.2,-2.0,254.3,21.2,374.9,106.2,131.0,-38.2,4.8,-3.0,,5.0,,-20.0,20.6,-10.0,,37.3,74.5,1.0,59.7,43.3,False,False,False,False,,False,False,False,False,,False,True,False,True,False,False,False,False,True,True,,True,,True,True,True,,False,False,True,False,False
Mississippi,1478,1316.7,1261.0,1323.0,1361.5,1460.0,,1434.8,1442.7,1540.0,1059.0,,1409.9,1370.0,1346.6,1276.2,1639.1,1353.2,,1277.5,1502.8,1255.0,,1349.6,,1289.0,1349.0,1326.0,,1481.7,1557.8,1318.0,1362.1,1402.7,-161.3,-217.0,-155.0,-116.5,-18.0,,-43.2,-35.3,62.0,-419.0,,-68.1,-108.0,-131.4,-201.8,161.1,-124.8,,-200.5,24.8,-223.0,,-128.4,,-189.0,-129.0,-152.0,,3.7,79.8,-160.0,-115.9,-75.3,False,True,True,True,,True,True,True,False,,True,True,True,False,True,True,,False,True,False,,True,,False,True,True,,True,True,True,True,True
Missouri,1200,1156.7,1161.0,1158.0,1192.7,1239.0,,1242.9,2149.8,1310.0,1145.4,,1247.5,1177.0,1255.3,1207.5,1452.1,1160.4,,1132.0,1212.6,1134.0,,1044.3,,1087.0,1204.5,1152.0,,1322.2,1347.1,1200.0,1161.9,,-43.3,-39.0,-42.0,-7.3,39.0,,42.9,949.8,110.0,-54.6,,47.5,-23.0,55.3,7.5,252.1,-39.6,,-68.0,12.6,-66.0,,-155.7,,-113.0,4.5,-48.0,,122.2,147.1,0.0,-38.1,,True,True,True,True,,True,False,False,False,,False,True,False,True,False,True,,False,True,False,,False,,False,True,False,,False,False,True,True,
Montana,46,25.9,28.0,26.0,31.6,23.0,,31.0,59.0,32.0,29.7,,21.8,25.0,45.3,36.6,25.6,27.3,,45.8,28.2,23.0,,44.0,,27.0,27.5,39.0,,47.3,41.3,27.0,26.5,,-20.1,-18.0,-20.0,-14.4,-23.0,,-15.0,13.0,-14.0,-16.3,,-24.2,-21.0,-0.7,-9.4,-20.4,-18.7,,-0.2,-17.8,-23.0,,-2.0,,-19.0,-18.5,-7.0,,1.3,-4.7,-19.0,-19.5,,True,True,True,False,,True,True,True,True,,False,False,True,True,False,True,,True,True,False,,True,,True,True,True,,True,True,True,True,
Nebraska,316,332.6,370.0,335.0,345.2,328.0,,317.7,347.3,305.0,292.3,,361.2,330.0,407.7,327.1,403.1,348.8,,349.4,340.7,416.0,,348.1,,334.0,319.8,321.0,,306.8,334.3,349.0,340.3,,16.6,54.0,19.0,29.2,12.0,,1.7,31.3,-11.0,-23.7,,45.2,14.0,91.7,11.1,87.1,32.8,,33.4,24.7,100.0,,32.1,,18.0,3.8,5.0,,-9.2,18.3,33.0,24.3,,False,False,False,True,,True,False,True,False,,False,True,False,True,False,False,,False,False,False,,False,,False,True,True,,True,False,False,False,
Nevada,732,631.1,635.0,620.0,658.6,877.0,,709.3,1088.5,881.0,,,648.0,582.0,797.7,645.8,626.2,654.4,,570.7,695.1,565.0,,582.6,,654.0,610.5,714.0,,871.1,762.6,631.0,634.0,,-100.9,-97.0,-112.0,-73.4,145.0,,-22.7,356.5,149.0,,,-84.0,-150.0,65.7,-86.2,-105.8,-77.6,,-161.3,-36.9,-167.0,,-149.4,,-78.0,-121.5,-18.0,,139.1,30.6,-101.0,-98.0,,True,False,True,False,,True,False,False,,,True,False,True,True,False,True,,False,True,False,,False,,True,False,True,,False,True,False,True,
New Hampshire,409,421.0,432.0,415.2,424.7,390.0,,422.9,398.3,421.0,382.0,,443.2,383.0,441.6,411.8,568.7,446.0,,407.7,415.0,429.0,,432.4,,395.0,432.4,409.0,,421.9,413.6,446.0,429.0,,12.0,23.0,6.2,15.7,-19.0,,13.9,-10.7,12.0,-27.0,,34.2,-26.0,32.6,2.8,159.7,37.0,,-1.3,6.0,20.0,,23.4,,-14.0,23.4,0.0,,12.9,4.6,37.0,20.0,,False,True,False,False,,False,True,False,False,,False,False,False,True,False,False,,True,True,False,,False,,False,False,True,,False,True,False,False,
New Jersey,15776,15885.3,18122.0,15974.1,15787.3,15646.0,,13397.7,15594.2,15556.0,,,15709.9,17060.0,15902.2,15787.8,13468.9,16598.7,,15644.2,15893.1,15931.5,,13719.5,,15854.0,15798.8,15570.0,,15347.6,17299.3,15930.5,15576.0,14091.7,109.3,2346.0,198.1,11.3,-130.0,,-2378.3,-181.8,-220.0,,,-66.1,1284.0,126.2,11.8,-2307.1,822.7,,-131.8,117.1,155.5,,-2056.5,,78.0,22.8,-206.0,,-428.4,1523.3,154.5,-200.0,-1684.3,False,False,True,False,,False,False,False,,,True,False,False,True,False,False,,False,False,False,,False,,True,True,False,,False,False,False,False,False
New Mexico,607,573.0,577.0,579.2,593.7,568.0,,625.3,611.0,621.0,548.5,,613.0,549.0,656.3,598.1,625.1,583.4,,559.3,616.4,590.0,,572.2,,606.0,590.8,580.0,,627.9,665.1,583.0,579.6,,-34.0,-30.0,-27.8,-13.3,-39.0,,18.3,4.0,14.0,-58.5,,6.0,-58.0,49.3,-8.9,18.1,-23.6,,-47.7,9.4,-17.0,,-34.8,,-1.0,-16.2,-27.0,,20.9,58.1,-24.0,-27.4,,True,True,True,False,,True,True,True,False,,True,False,False,True,True,True,,False,True,True,,False,,True,True,True,,True,False,True,True,
New York,32608,32957.4,33796.0,33005.1,32667.0,32833.0,,32269.5,32324.1,32684.0,32935.0,,31645.7,33652.0,32823.1,32824.7,27288.0,32344.7,,32219.8,32945.0,32367.5,,25447.1,,32395.0,32466.6,32996.0,,32320.0,32897.1,32755.5,32597.2,32822.7,349.4,1188.0,397.1,59.0,225.0,,-338.5,-283.9,76.0,327.0,,-962.3,1044.0,215.1,216.7,-5320.0,-263.3,,-388.2,337.0,-240.5,,-7160.9,,-213.0,-141.4,388.0,,-288.0,289.1,147.5,-10.8,214.7,False,False,True,True,,True,True,True,True,,False,False,True,True,False,True,,False,True,True,,False,,True,True,False,,True,True,True,True,True
North Carolina,1811,1625.9,1747.0,1629.0,1755.1,2229.0,,1890.1,2180.3,2231.0,1464.5,2135.7,1612.3,1583.0,2188.6,1624.0,1609.8,1786.2,,1592.8,1650.8,1660.0,,1577.3,,1573.0,1789.3,1608.0,,1949.6,1837.4,1745.0,1659.7,1735.7,-185.1,-64.0,-182.0,-55.9,418.0,,79.1,369.3,420.0,-346.5,324.7,-198.7,-228.0,377.6,-187.0,-201.2,-24.8,,-218.2,-160.2,-151.0,,-233.7,,-238.0,-21.7,-203.0,,138.6,26.4,-66.0,-151.3,-75.3,True,True,True,False,,True,False,False,False,False,False,False,False,False,False,True,,False,True,True,,False,,False,True,False,,True,True,True,True,True
