,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Indiana,2895,4146.3,2390.7,2426.5,2552.5,2920.3,6030.0,1251.3,-504.3,-468.5,-342.5,25.3,3135.0,True,True,True,True,False
Iowa,826,1198.7,1027.5,586.0,961.8,420.2,2426.8,372.7,201.5,-240.0,135.8,-405.8,1600.8,True,True,True,False,False
Kansas,329,402.0,324.6,282.0,296.3,459.5,354.9,73.0,-4.4,-47.0,-32.7,130.5,25.9,True,True,True,False,True
Kentucky,696,629.7,505.5,470.0,447.0,822.8,599.1,-66.3,-190.5,-226.0,-249.0,126.8,-96.9,False,False,False,False,False
Louisiana,3715,4511.7,3139.3,3231.0,3118.3,2724.2,3718.1,796.7,-575.7,-484.0,-596.7,-990.8,3.1,True,True,True,False,True
Maine,119,129.1,79.5,1001.0,126.4,147.2,111.9,10.1,-39.5,882.0,7.4,28.2,-7.1,False,False,True,False,True
Maryland,3433,5422.3,4266.7,3066.0,3725.0,2975.0,5171.0,1989.3,833.7,-367.0,292.0,-458.0,1738.0,True,True,True,True,True
Massachusetts,8510,13860.1,8932.1,8325.0,10129.8,6517.4,10281.5,5350.1,422.1,-185.0,1619.8,-1992.6,1771.5,True,True,True,True,True
Michigan,6400,8203.0,6039.0,5874.0,6211.1,4944.1,6620.7,2036.0,-128.0,-293.0,44.1,-1222.9,453.7,True,True,True,True,True
Minnesota,1611,2239.1,1793.7,2745.0,1894.3,2576.7,3012.8,628.1,182.7,1134.0,283.3,965.7,1401.8,True,False,True,False,False
Mississippi,1478,1418.0,978.0,937.0,1020.4,885.9,2515.3,-60.0,-500.0,-541.0,-457.6,-592.1,1037.3,False,False,False,False,False
Missouri,1200,1556.1,1477.8,1016.0,1020.8,879.6,2267.0,454.1,375.8,-86.0,-81.2,-222.4,1165.0,True,True,True,True,False
Montana,46,16.0,12.0,16.0,21.7,17.8,22.1,-30.0,-34.0,-30.0,-24.3,-28.2,-23.9,False,False,True,True,True
Nebraska,316,448.3,241.6,358.0,459.4,141.3,559.0,132.3,-74.4,42.0,143.4,-174.7,243.0,True,True,False,False,False
Nevada,732,744.3,605.6,514.0,555.7,520.1,766.1,12.3,-126.4,-218.0,-176.3,-211.9,34.1,False,False,False,False,False
New Hampshire,409,556.4,314.8,345.0,507.1,350.3,968.0,147.4,-94.2,-64.0,98.1,-58.7,559.0,True,True,True,True,False
New Jersey,15776,21274.9,14055.0,13134.0,13637.4,10968.9,16152.2,7253.9,34.0,-887.0,-383.6,-3052.1,2131.2,True,True,True,True,True
New Mexico,607,905.7,518.5,329.0,965.3,546.1,1251.8,298.7,-88.5,-278.0,358.3,-60.9,644.8,True,True,False,True,False
New York,32608,43914.7,32130.2,32768.5,32158.7,29117.6,33313.4,12057.7,273.2,911.5,301.7,-2739.4,1456.4,True,True,True,True,True
North Carolina,1811,1888.6,2376.4,753.0,1464.7,1920.2,1978.8,77.6,565.4,-1058.0,-346.3,109.2,167.8,False,False,False,False,False
North Dakota,99,121.9,131.3,88.0,83.1,116.1,193.8,22.9,32.3,-11.0,-15.9,17.1,94.8,False,True,True,True,False
Ohio,3297,4424.4,2949.3,2143.0,2924.4,3409.4,5936.9,1127.4,-347.7,-1154.0,-372.6,112.4,2639.9,True,False,True,True,False
Oklahoma,496,445.7,367.7,294.0,438.5,509.5,473.0,-50.3,-128.3,-202.0,-57.5,13.5,-23.0,False,False,False,True,True
Oregon,285,235.6,230.2,159.0,240.8,267.2,210.6,-49.4,-54.8,-126.0,-44.2,-17.8,-74.4,False,False,True,True,False
Pennsylvania,7124,11286.6,9518.7,6367.0,7485.3,5430.6,11194.5,4162.6,2394.7,-757.0,361.3,-1693.4,4070.5,True,True,True,True,True
Rhode Island,1002,1258.0,774.8,1300.0,899.2,547.2,1205.7,256.0,-227.2,298.0,-102.8,-454.8,203.7,True,False,True,False,True
South Carolina,1465,917.3,484.9,422.0,680.9,659.3,1521.4,-547.7,-980.1,-1043.0,-784.1,-805.7,56.4,False,False,False,False,True
South Dakota,122,142.6,125.6,209.0,76.5,57.0,211.2,20.6,3.6,87.0,-45.5,-65.0,89.2,True,False,False,False,False
Tennessee,964,840.1,488.3,771.0,616.1,514.9,555.0,-123.9,-475.7,-193.0,-347.9,-449.1,-409.0,False,False,False,False,False
Texas,4990,3797.4,3588.7,2273.5,2851.7,3389.5,6279.6,-1192.6,-1401.3,-2716.5,-2138.3,-1600.5,1289.6,False,False,False,False,False
Utah,274,208.1,149.2,88.0,139.7,176.9,287.2,-65.9,-124.8,-186.0,-134.3,-97.1,13.2,False,False,False,False,True
Vermont,56,63.9,49.0,53.0,76.4,64.2,71.2,7.9,-7.0,-3.0,20.4,8.2,15.2,True,True,False,False,False
Virginia,2075,2695.6,1966.5,1451.0,1862.1,2129.5,3044.9,620.6,-108.5,-624.0,-212.9,54.5,969.9,True,False,True,True,False
Washington,1494,1691.0,1260.9,1255.0,1301.1,1252.3,1394.0,197.0,-233.1,-239.0,-192.9,-241.7,-100.0,False,False,True,False,True
West Virginia,103,195.1,106.7,64.0,115.5,114.7,135.6,92.1,3.7,-39.0,12.5,11.7,32.6,True,True,True,True,True
Wisconsin,891,975.4,731.4,1145.0,737.0,1156.7,861.3,84.4,-159.6,254.0,-154.0,265.7,-29.7,False,False,False,False,True
Wyoming,25,17.9,4.0,7.0,13.7,10.9,15.4,-7.1,-21.0,-18.0,-11.3,-14.1,-9.6,False,False,False,False,False
US,146465,188488.3,141635.2,122067.0,135230.5,117663.7,182361.9,44860.3,-1992.8,-21561.0,-8397.5,-25964.3,38733.9,True,True,True,True,True
