,actual_deaths,Baseline,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
New Jersey,15776,30790.9,16024.4,11834.0,12776.8,16599.9,1833.4,-2357.0,-1414.2,True,True,True
New Mexico,607,767.6,428.5,405.0,288.8,160.6,-178.5,-202.0,-318.2,False,False,False
New York,32608,53627.6,32130.6,25803.0,31326.6,21806.6,309.6,-6018.0,-494.4,True,True,True
North Carolina,1811,1738.3,1165.1,770.0,891.0,-72.7,-645.9,-1041.0,-920.0,False,False,False
North Dakota,99,119.9,37.7,292.0,53.8,20.9,-61.3,193.0,-45.2,False,False,False
Ohio,3297,4726.6,2545.6,1631.0,1887.7,1429.6,-751.4,-1666.0,-1409.3,True,False,True
Oklahoma,496,747.9,493.6,579.0,435.7,251.9,-2.4,83.0,-60.3,True,True,True
Oregon,285,310.6,193.0,153.0,188.6,25.6,-92.0,-132.0,-96.4,False,False,False
Pennsylvania,7124,13438.9,8552.9,4590.0,4706.1,6314.9,1428.9,-2534.0,-2417.9,True,True,True
Rhode Island,1002,1434.6,485.4,889.0,795.8,432.6,-516.6,-113.0,-206.2,False,True,True
South Carolina,1465,1472.6,1103.7,290.0,422.5,7.6,-361.3,-1175.0,-1042.5,False,False,False
South Dakota,122,139.6,259.9,1170.0,38.9,17.6,137.9,1048.0,-83.1,False,False,False
Tennessee,964,553.9,559.6,1039.0,540.6,-410.1,-404.4,75.0,-423.4,True,True,False
Texas,5705,3569.6,3532.4,5450.0,1708.1,-2065.4,-2102.6,-185.0,-3926.9,False,True,False
Utah,274,156.7,85.8,186.0,102.9,-117.3,-188.2,-88.0,-171.1,False,True,False
Vermont,56,136.0,53.6,59.0,73.4,80.0,-2.4,3.0,17.4,True,True,True
Virginia,2075,3161.9,1197.8,1256.0,1485.0,1086.9,-877.2,-819.0,-590.0,True,True,True
Washington,1494,1841.9,1159.3,1287.0,1331.1,347.9,-334.7,-207.0,-162.9,True,True,True
West Virginia,103,214.0,118.6,57.0,78.1,111.0,15.6,-46.0,-24.9,True,True,True
Wisconsin,891,1133.4,713.5,736.0,712.0,242.4,-177.5,-155.0,-179.0,True,True,True
Wyoming,25,7.0,6.0,7.0,12.5,-18.0,-19.0,-18.0,-12.5,False,False,True
US,147180,219465.3,133559.8,107975.0,114530.8,75149.3,-10756.2,-36341.0,-29785.2,True,True,True
