,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Georgia,3494,3050.9,2634.3,3833.5,2613.0,2910.7,2797.8,2577.0,3430.4,-443.1,-859.7,339.5,-881.0,-583.3,-696.2,-917.0,-63.6,False,True,False,False,False,False,True
Hawaii,26,17.0,17.7,18.3,,23.1,18.3,17.7,19.3,-9.0,-8.3,-7.7,,-2.9,-7.7,-8.3,-6.7,True,True,,True,True,True,True
Idaho,146,89.9,109.9,132.4,83.0,105.2,91.6,84.0,95.1,-56.1,-36.1,-13.6,-63.0,-40.8,-54.4,-62.0,-50.9,True,True,False,True,True,False,True
Illinois,7589,9428.6,6762.4,7255.0,7653.0,7280.5,8412.6,6636.4,8502.6,1839.6,-826.6,-334.0,64.0,-308.5,823.6,-952.6,913.6,True,True,True,True,True,True,True
Indiana,2895,3461.9,2585.5,2857.7,2425.0,2953.0,2998.1,2783.0,3719.2,566.9,-309.5,-37.3,-470.0,58.0,103.1,-112.0,824.2,True,True,True,True,True,True,False
Iowa,826,1085.0,771.8,1290.9,735.0,868.7,860.7,668.3,1189.8,259.0,-54.2,464.9,-91.0,42.7,34.7,-157.7,363.8,True,False,True,True,True,True,False
Kansas,329,356.4,288.3,405.9,326.0,262.7,294.1,231.3,329.7,27.4,-40.7,76.9,-3.0,-66.3,-34.9,-97.7,0.7,False,False,True,False,False,False,True
Kentucky,696,737.4,549.3,853.4,557.0,653.3,834.7,722.5,810.4,41.4,-146.7,157.4,-139.0,-42.7,138.7,26.5,114.4,False,False,False,False,False,True,False
Louisiana,3715,3930.3,3164.8,3200.9,3218.0,3550.5,3285.2,2894.1,3792.4,215.3,-550.2,-514.1,-497.0,-164.5,-429.8,-820.9,77.4,False,False,False,True,False,False,True
Maine,119,167.6,123.8,229.3,121.0,134.3,110.2,160.3,131.6,48.6,4.8,110.3,2.0,15.3,-8.8,41.3,12.6,True,False,True,True,True,True,True
Maryland,3433,4237.0,3400.0,3556.5,3698.0,3363.2,4016.3,3581.0,4648.1,804.0,-33.0,123.5,265.0,-69.8,583.3,148.0,1215.1,True,True,True,True,True,True,False
Massachusetts,8510,10538.9,8066.5,8049.8,8783.0,8382.2,8822.7,7356.1,8686.0,2028.9,-443.5,-460.2,273.0,-127.8,312.7,-1153.9,176.0,True,True,True,True,True,True,True
Michigan,6400,8665.3,5964.6,6376.0,7086.0,7438.3,6684.6,5696.6,6656.8,2297.3,-403.4,8.0,718.0,1070.3,316.6,-671.4,288.8,True,True,True,True,True,True,True
Minnesota,1611,2205.0,1571.2,2037.6,1804.0,1771.6,1774.6,1412.4,2609.7,594.0,-39.8,426.6,193.0,160.6,163.6,-198.6,998.7,True,True,True,True,True,True,False
Mississippi,1478,1386.1,991.1,1330.6,924.0,1093.0,1109.9,1173.4,1566.1,-91.9,-486.9,-147.4,-554.0,-385.0,-368.1,-304.6,88.1,False,False,False,False,False,False,True
Missouri,1200,1082.4,931.6,1187.7,1025.0,1124.5,1474.9,1082.2,1534.5,-82.6,-233.4,22.7,-140.0,-40.5,309.9,-82.8,369.5,False,True,False,True,False,False,False
Montana,46,24.9,19.5,18.7,18.0,27.2,20.8,16.3,20.8,-21.1,-26.5,-27.3,-28.0,-18.8,-25.2,-29.7,-25.2,False,False,False,True,False,False,False
Nebraska,316,303.6,331.3,477.4,267.0,240.3,306.8,209.6,375.0,-12.4,15.3,161.4,-49.0,-75.7,-9.2,-106.4,59.0,False,False,False,False,True,False,False
Nevada,732,582.0,505.7,618.4,560.0,603.0,571.1,564.1,656.5,-150.0,-226.3,-113.6,-172.0,-129.0,-160.9,-167.9,-75.5,False,True,False,True,False,False,True
New Hampshire,409,567.1,295.0,461.4,310.0,390.3,476.8,363.4,564.7,158.1,-114.0,52.4,-99.0,-18.7,67.8,-45.6,155.7,True,True,True,True,True,True,True
New Jersey,15776,15453.7,12649.2,13219.1,13599.0,13340.9,13889.8,11879.5,13948.0,1517.7,-1286.8,-716.9,-337.0,-595.1,-46.2,-2056.5,12.0,True,True,True,True,True,False,True
New Mexico,607,670.3,451.8,647.7,492.0,651.7,669.5,444.2,718.4,63.3,-155.2,40.7,-115.0,44.7,62.5,-162.8,111.4,False,True,False,True,True,False,False
New York,32612,34419.7,31684.3,31749.6,32451.0,32050.8,31367.6,29580.7,32278.3,2659.7,-75.7,-10.4,691.0,290.8,-392.4,-2179.3,518.3,True,True,True,True,True,True,True
North Carolina,1811,1683.4,1662.2,2617.9,1490.0,1732.5,1792.6,2551.2,2081.6,-127.6,-148.8,806.9,-321.0,-78.5,-18.4,740.2,270.6,False,False,False,True,True,False,False
North Dakota,99,147.4,91.8,139.9,108.0,105.9,97.6,79.5,143.2,48.4,-7.2,40.9,9.0,6.9,-1.4,-19.5,44.2,True,True,True,True,True,True,True
Ohio,3297,3915.0,2738.5,3591.0,3041.0,3147.3,3239.3,3029.6,4378.0,618.0,-558.5,294.0,-256.0,-149.7,-57.7,-267.4,1081.0,True,True,True,True,True,True,False
Oklahoma,496,444.0,395.7,445.4,371.0,425.4,402.2,447.3,463.8,-52.0,-100.3,-50.6,-125.0,-70.6,-93.8,-48.7,-32.2,False,True,False,False,False,True,True
Oregon,285,231.6,178.7,210.5,188.0,213.1,214.3,217.3,205.3,-53.4,-106.3,-74.5,-97.0,-71.9,-70.7,-67.7,-79.7,False,False,False,False,False,False,False
Pennsylvania,7124,8603.6,6362.1,7324.0,6511.0,7258.9,7847.7,6334.0,7911.3,1479.6,-761.9,200.0,-613.0,134.9,723.7,-790.0,787.3,True,True,True,True,True,True,True
Rhode Island,1002,1142.3,836.3,981.9,935.0,892.6,963.4,637.2,1291.8,240.3,-65.7,79.9,33.0,-9.4,61.4,-264.8,389.8,True,True,True,True,True,False,False
South Carolina,1465,902.6,699.5,813.1,640.0,1032.0,829.2,953.9,1157.5,-562.4,-765.5,-651.9,-825.0,-433.0,-635.8,-511.1,-307.5,False,False,False,True,False,True,True
South Dakota,122,85.6,104.4,96.2,81.0,98.4,86.9,74.5,128.8,-36.4,-17.6,-25.8,-41.0,-23.6,-35.1,-47.5,6.8,True,True,False,True,True,False,True
Tennessee,964,788.3,665.7,752.3,711.0,571.3,621.4,657.9,822.0,-175.7,-298.3,-211.7,-253.0,-392.7,-342.6,-306.1,-142.0,False,False,False,False,False,False,True
Texas,5705,2979.3,2678.7,3127.3,2372.0,2448.3,2669.1,3380.0,3531.4,-2600.7,-2901.3,-2452.7,-3208.0,-3131.7,-2910.9,-2200.0,-2048.6,False,True,False,False,False,True,True
Utah,274,175.9,276.2,278.6,233.0,235.4,237.9,230.3,256.2,-98.1,2.2,4.6,-41.0,-38.6,-36.1,-43.7,-17.8,True,True,True,True,True,True,True
Vermont,56,55.0,57.6,61.7,56.0,98.1,63.3,51.6,60.0,-1.0,1.6,5.7,0.0,42.1,7.3,-4.4,4.0,False,False,True,False,False,False,False
Virginia,2075,2050.7,1999.1,2155.5,1970.0,1682.1,2122.6,2107.4,2432.8,-13.3,-64.9,91.5,-94.0,-381.9,58.6,43.4,368.8,False,False,False,False,False,False,False
Washington,1494,1424.4,1344.1,1227.1,1353.0,1425.4,1289.8,1382.1,1480.2,-69.6,-149.9,-266.9,-141.0,-68.6,-204.2,-111.9,-13.8,False,False,False,True,False,False,True
West Virginia,103,145.7,106.9,125.4,85.0,96.7,120.9,116.8,122.4,42.7,3.9,22.4,-18.0,-6.3,17.9,13.8,19.4,True,True,True,True,True,True,True
Wisconsin,891,1024.1,921.7,1528.8,931.0,847.2,829.0,995.2,1204.0,133.1,30.7,637.8,40.0,-43.8,-62.0,104.2,313.0,True,False,True,True,True,True,False
Wyoming,25,23.9,22.9,24.5,17.0,21.1,18.2,23.8,27.8,-1.1,-2.1,-0.5,-8.0,-3.9,-6.8,-1.2,2.8,False,True,False,False,False,False,False
US,147184,152568.9,124705.5,140250.2,130349.0,137129.0,130791.3,126633.3,149650.9,8362.9,-19500.5,-3955.8,-13857.0,-7077.0,-13414.7,-17572.7,5444.9,False,True,False,True,False,False,True
