,actual_deaths,Baseline,Auquan-SEIR,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,STH-3PU,SWC-TerminusCM,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-STH-3PU,error-SWC-TerminusCM,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-SWC-TerminusCM,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Hawaii,26,21.9,22.0,22.2,20.1,18.0,23.2,18.0,,,19.4,,23.1,22.3,18.5,18.4,,24.7,19.3,18.0,,19.0,21.0,18.6,26.0,22.7,24.2,19.0,18.9,,-4.1,-4.0,-3.8,-5.9,-8.0,-2.8,-8.0,,,-6.6,,-2.9,-3.7,-7.5,-7.6,,-1.3,-6.7,-8.0,,-7.0,-5.0,-7.4,0.0,-3.3,-1.8,-7.0,-7.1,,True,True,False,False,True,False,,,False,,True,True,False,False,,True,False,False,,False,False,False,True,True,True,False,False,
Idaho,146,98.7,118.0,100.4,113.3,117.0,138.8,130.0,115.4,,102.2,97.0,161.6,117.0,119.3,93.0,,124.2,121.7,96.0,,,104.0,97.5,137.0,170.6,145.9,96.0,101.8,,-47.3,-28.0,-45.6,-32.7,-29.0,-7.2,-16.0,-30.6,,-43.8,-49.0,15.6,-29.0,-26.7,-53.0,,-21.8,-24.3,-50.0,,,-42.0,-48.5,-9.0,24.6,-0.1,-50.0,-44.2,,True,True,True,True,True,True,True,,True,False,True,True,True,False,,True,True,False,,,True,False,True,True,True,False,True,
Illinois,7589,7817.6,7672.0,7864.6,7913.0,7459.0,7233.5,7106.0,7659.2,,7715.5,8166.0,8597.3,7848.4,7440.9,7884.9,8465.5,7684.1,8043.1,11123.5,,7701.0,7549.0,7394.1,7616.0,7142.8,7343.1,7732.0,7785.0,7753.3,228.6,83.0,275.6,324.0,-130.0,-355.5,-483.0,70.2,,126.5,577.0,1008.3,259.4,-148.1,295.9,876.5,95.1,454.1,3534.5,,112.0,-40.0,-194.9,27.0,-446.2,-245.9,143.0,196.0,164.3,True,False,False,True,False,False,True,,True,False,False,False,True,False,False,True,False,False,,True,True,True,True,False,False,True,True,True
Indiana,2895,2923.7,2893.0,2938.0,2901.5,2893.0,2839.9,2828.0,,,2689.9,2728.0,2964.1,2964.2,2962.4,2901.5,2987.0,2828.1,2985.6,2846.5,,2874.0,2875.0,2776.5,2960.0,3116.4,2925.1,2969.0,2960.3,,28.7,-2.0,43.0,6.5,-2.0,-55.1,-67.0,,,-205.1,-167.0,69.1,69.2,67.4,6.5,92.0,-66.9,90.6,-48.5,,-21.0,-20.0,-118.5,65.0,221.4,30.1,74.0,65.3,,True,False,True,True,False,False,,,False,False,False,False,False,True,False,False,False,False,,True,True,False,False,False,False,False,False,
Iowa,826,783.1,845.0,796.0,843.5,1086.0,881.0,774.0,773.8,,777.8,785.0,962.5,829.3,957.3,844.2,,739.4,798.4,1010.5,,860.0,804.0,812.0,815.0,844.5,839.3,850.0,822.8,,-42.9,19.0,-30.0,17.5,260.0,55.0,-52.0,-52.2,,-48.2,-41.0,136.5,3.3,131.3,18.2,,-86.6,-27.6,184.5,,34.0,-22.0,-14.0,-11.0,18.5,13.3,24.0,-3.2,,True,True,True,False,False,False,False,,False,True,False,True,False,True,,False,True,False,,True,True,True,True,True,True,True,True,
Kansas,329,315.3,337.0,316.1,339.7,527.0,319.8,282.0,329.9,,324.6,286.0,484.2,332.0,329.7,286.7,,325.1,386.1,327.0,,282.0,282.0,289.7,370.0,259.1,354.8,386.0,321.8,,-13.7,8.0,-12.9,10.7,198.0,-9.2,-47.0,0.9,,-4.4,-43.0,155.2,3.0,0.7,-42.3,,-3.9,57.1,-2.0,,-47.0,-47.0,-39.3,41.0,-69.9,25.8,57.0,-7.2,,True,True,True,False,True,False,True,,True,False,False,True,True,False,,True,False,True,,False,False,False,False,False,False,False,True,
Kentucky,696,681.4,643.0,674.0,695.2,811.0,640.7,712.0,673.7,,642.9,711.0,921.9,637.5,1105.0,629.8,767.5,666.0,753.4,620.0,,633.0,673.0,696.4,674.0,667.3,682.6,709.0,682.4,,-14.6,-53.0,-22.0,-0.8,115.0,-55.3,16.0,-22.3,,-53.1,15.0,225.9,-58.5,409.0,-66.2,71.5,-30.0,57.4,-76.0,,-63.0,-23.0,0.4,-22.0,-28.7,-13.4,13.0,-13.6,,False,False,True,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,True,True,True,
Louisiana,3715,3561.6,3477.0,3537.4,3540.8,4125.0,3491.8,3491.0,3819.2,,3668.6,3315.0,3708.6,3630.0,3441.7,3331.4,,3352.9,3841.0,3360.0,,3367.0,3729.0,3318.5,3756.0,3179.8,3886.8,3341.0,3530.9,,-153.4,-238.0,-177.6,-174.2,410.0,-223.2,-224.0,104.2,,-46.4,-400.0,-6.4,-85.0,-273.3,-383.6,,-362.1,126.0,-355.0,,-348.0,14.0,-396.5,41.0,-535.2,171.8,-374.0,-184.1,,False,False,False,False,False,False,True,,True,False,True,True,False,False,,False,True,False,,False,True,False,True,False,False,False,False,
Maine,119,111.7,119.0,113.0,114.5,108.0,113.7,122.0,111.6,,112.7,108.0,149.4,118.8,161.2,110.9,,122.8,115.9,109.0,,,112.0,107.8,117.0,118.3,122.8,110.0,113.4,,-7.3,0.0,-6.0,-4.5,-11.0,-5.3,3.0,-7.4,,-6.3,-11.0,30.4,-0.2,42.2,-8.1,,3.8,-3.1,-10.0,,,-7.0,-11.2,-2.0,-0.7,3.8,-9.0,-5.6,,True,True,True,False,True,True,False,,True,False,False,True,False,False,,True,True,False,,,True,False,True,True,True,False,True,
Maryland,3433,3561.4,3481.0,3578.0,3455.4,3366.0,3399.4,3365.0,3330.3,,3349.4,3441.0,3902.6,3456.1,4050.0,3519.6,,3366.4,3393.8,3478.0,,3451.0,3455.0,3386.2,3409.0,3451.7,3402.5,3683.0,3561.1,3386.0,128.4,48.0,145.0,22.4,-67.0,-33.6,-68.0,-102.7,,-83.6,8.0,469.6,23.1,617.0,86.6,,-66.6,-39.2,45.0,,18.0,22.0,-46.8,-24.0,18.7,-30.5,250.0,128.1,-47.0,True,False,True,True,True,True,True,,True,True,False,True,False,True,,True,True,True,,True,True,True,True,True,True,False,True,True
Massachusetts,8510,8838.1,8573.0,8906.2,8505.1,8276.0,8241.5,8220.0,,,8658.7,8287.0,8681.6,8537.9,8421.7,8690.5,,8372.7,8739.8,8352.5,,8587.0,8806.0,8351.3,8513.0,8557.1,8619.9,8664.0,8589.6,8606.7,329.1,64.0,397.2,-3.9,-233.0,-267.5,-289.0,,,149.7,-222.0,172.6,28.9,-87.3,181.5,,-136.3,230.8,-156.5,,78.0,297.0,-157.7,4.0,48.1,110.9,155.0,80.6,97.7,True,False,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,True
Michigan,6400,6415.4,6470.0,6467.1,6489.8,6452.0,6282.8,6227.0,7080.8,,6352.0,6439.0,6889.9,6728.1,7373.7,6296.3,7072.5,6346.7,6625.6,6266.0,,6316.0,6328.0,6388.8,6486.0,6319.7,6451.3,6291.0,6426.7,,15.4,70.0,67.1,89.8,52.0,-117.2,-173.0,680.8,,-48.0,39.0,489.9,328.1,973.7,-103.7,672.5,-53.3,225.6,-134.0,,-84.0,-72.0,-11.2,86.0,-80.3,51.3,-109.0,26.7,,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,,False,False,True,False,False,False,False,False,
Minnesota,1611,1645.1,1648.0,1644.2,1722.1,1901.0,1728.5,1590.0,1533.7,,1664.8,1477.0,2064.4,1748.3,1996.3,1807.6,2048.5,1567.1,1619.1,1646.0,,1713.0,1666.0,1670.5,1613.0,1481.1,1720.0,1644.0,1701.3,,34.1,37.0,33.2,111.1,290.0,117.5,-21.0,-77.3,,53.8,-134.0,453.4,137.3,385.3,196.6,437.5,-43.9,8.1,35.0,,102.0,55.0,59.5,2.0,-129.9,109.0,33.0,90.3,,False,True,False,False,False,True,False,,False,False,False,False,False,False,False,False,True,False,,False,False,False,True,False,False,True,False,
Mississippi,1478,1428.6,1246.0,1422.8,1407.1,2424.0,1384.8,1386.0,1388.3,,1380.3,1285.0,1352.6,1282.3,1655.2,1314.7,,1268.2,1829.0,1236.0,,1285.0,1162.0,1182.2,1410.0,1215.5,1551.9,1258.0,1437.4,,-49.4,-232.0,-55.2,-70.9,946.0,-93.2,-92.0,-89.7,,-97.7,-193.0,-125.4,-195.7,177.2,-163.3,,-209.8,351.0,-242.0,,-193.0,-316.0,-295.8,-68.0,-262.5,73.9,-220.0,-40.6,,False,False,False,False,False,False,False,,False,False,False,False,False,False,,False,False,False,,False,False,False,False,False,False,False,True,
Missouri,1200,1154.4,1207.0,1160.4,1247.6,1850.0,1219.4,1257.0,1227.3,,1285.0,1223.0,1375.9,1189.1,1776.6,1075.4,,1148.7,1452.2,1072.0,,1099.0,1251.0,1276.5,1174.0,1302.2,1291.6,1220.0,1184.2,,-35.6,17.0,-29.6,57.6,660.0,29.4,67.0,37.3,,95.0,33.0,185.9,-0.9,586.6,-114.6,,-41.3,262.2,-118.0,,-91.0,61.0,86.5,-16.0,112.2,101.6,30.0,-5.8,,True,True,False,False,True,False,False,,False,True,False,True,False,False,,False,False,False,,False,False,False,True,False,False,True,True,
Montana,46,29.7,28.0,30.0,31.8,27.0,28.1,24.0,32.6,,26.0,25.0,56.1,33.5,25.7,22.8,,81.7,50.9,22.0,,22.0,29.0,24.1,36.0,32.3,35.3,28.0,27.0,,-16.3,-18.0,-16.0,-14.2,-19.0,-17.9,-22.0,-13.4,,-20.0,-21.0,10.1,-12.5,-20.3,-23.2,,35.7,4.9,-24.0,,-24.0,-17.0,-21.9,-10.0,-13.7,-10.7,-18.0,-19.0,,False,True,True,False,False,False,True,,False,False,True,True,False,False,,False,True,False,,False,False,False,True,True,True,False,False,
Nebraska,316,355.7,359.0,359.0,362.6,355.0,309.4,286.0,,,356.3,310.0,479.6,330.2,392.5,365.3,,382.6,370.9,498.0,,340.0,354.0,315.1,323.0,274.7,321.6,406.0,381.4,,39.7,43.0,43.0,46.6,39.0,-6.6,-30.0,,,40.3,-6.0,163.6,14.2,76.5,49.3,,66.6,54.9,182.0,,24.0,38.0,-0.9,7.0,-41.3,5.6,90.0,65.4,,False,False,False,True,True,True,,,False,True,False,True,False,False,,False,False,False,,True,True,True,True,False,True,False,False,
Nevada,732,550.1,586.0,556.6,660.5,1470.0,697.6,734.0,584.3,,642.3,544.0,758.7,743.6,628.9,540.3,,522.9,725.3,535.0,,541.0,605.0,589.8,642.0,623.4,790.2,575.0,610.0,,-181.9,-146.0,-175.4,-71.5,738.0,-34.4,2.0,-147.7,,-89.7,-188.0,26.7,11.6,-103.1,-191.7,,-209.1,-6.7,-197.0,,-191.0,-127.0,-142.2,-90.0,-108.6,58.2,-157.0,-122.0,,True,True,True,False,True,True,True,,True,False,True,True,True,False,,False,True,False,,False,True,True,True,True,True,True,True,
New Hampshire,409,475.0,440.0,479.0,450.5,400.0,427.1,431.0,495.6,,481.8,374.0,504.2,430.5,576.8,485.4,,437.2,437.4,425.0,,488.0,474.0,442.3,421.0,429.0,419.5,492.0,442.9,,66.0,31.0,70.0,41.5,-9.0,18.1,22.0,86.6,,72.8,-35.0,95.2,21.5,167.8,76.4,,28.2,28.4,16.0,,79.0,65.0,33.3,12.0,20.0,10.5,83.0,33.9,,True,False,True,True,True,True,False,,False,True,False,True,False,False,,True,True,True,,False,True,True,True,True,True,False,True,
New Jersey,15776,22828.1,16908.0,23043.2,15762.9,15305.0,13379.0,15216.0,,,15584.1,16152.0,16161.2,15569.8,13507.9,16638.8,,27775.9,15590.0,15630.5,,15472.0,20081.0,15205.5,15672.0,13620.3,15955.6,16009.0,15533.8,24116.7,7052.1,1132.0,7267.2,-13.1,-471.0,-2397.0,-560.0,,,-191.9,376.0,385.2,-206.2,-2268.1,862.8,,11999.9,-186.0,-145.5,,-304.0,4305.0,-570.5,-104.0,-2155.7,179.6,233.0,-242.2,8340.7,True,False,True,True,True,True,,,True,True,True,True,True,True,,False,True,True,,True,True,True,True,True,True,True,True,False
New Mexico,607,580.7,575.0,591.1,607.3,646.0,618.6,580.0,641.5,,623.4,642.0,700.0,625.9,628.8,599.1,,554.6,698.0,600.0,,584.0,631.0,567.4,579.0,568.9,597.7,598.0,593.3,,-26.3,-32.0,-15.9,0.3,39.0,11.6,-27.0,34.5,,16.4,35.0,93.0,18.9,21.8,-7.9,,-52.4,91.0,-7.0,,-23.0,24.0,-39.6,-28.0,-38.1,-9.3,-9.0,-13.7,,False,True,True,False,True,False,False,,True,False,False,True,True,True,,False,False,True,,True,True,False,False,False,True,True,True,
New York,32612,32446.1,33163.0,32933.6,32003.0,31843.0,31580.9,31458.0,,,32322.6,31915.0,32526.5,32220.3,31126.4,31569.7,,31739.7,32374.2,31679.0,,31640.0,31672.0,31712.0,32045.0,32672.3,31901.3,32098.0,32063.8,32040.3,515.1,1232.0,1002.6,72.0,-88.0,-350.1,-473.0,,,391.6,-16.0,595.5,289.3,-804.6,-361.3,,-191.3,443.2,-252.0,,-291.0,-259.0,-219.0,114.0,741.3,-29.7,167.0,132.8,109.3,False,False,True,True,True,True,,,True,True,False,True,False,True,,True,True,True,,True,True,True,True,False,True,True,True,True
North Carolina,1811,1849.6,1682.0,1904.9,1901.1,3237.0,1929.1,2706.0,1695.8,2135.7,1688.3,1678.0,2520.2,1757.4,1659.4,1713.7,,1589.2,1885.4,1737.0,,1644.0,1810.0,1732.0,1753.0,1625.7,1838.3,2097.5,1883.5,1926.7,38.6,-129.0,93.9,90.1,1426.0,118.1,895.0,-115.2,324.7,-122.7,-133.0,709.2,-53.6,-151.6,-97.3,,-221.8,74.4,-74.0,,-167.0,-1.0,-79.0,-58.0,-185.3,27.3,286.5,72.5,115.7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,True,False,False,False,True,False,False,False
North Dakota,99,86.7,95.0,86.9,97.0,82.0,89.0,85.0,90.9,,84.8,95.0,133.8,91.0,109.7,90.6,,115.0,88.2,123.0,,86.0,92.0,89.2,89.0,87.5,93.3,141.0,94.6,,-12.3,-4.0,-12.1,-2.0,-17.0,-10.0,-14.0,-8.1,,-14.2,-4.0,34.8,-8.0,10.7,-8.4,,16.0,-10.8,24.0,,-13.0,-7.0,-9.8,-10.0,-11.5,-5.7,42.0,-4.4,,True,True,True,False,True,False,True,,False,True,False,True,True,True,,False,True,False,,False,True,True,True,True,True,False,True,
Ohio,3297,3219.7,3132.0,3232.4,3419.4,4135.0,3249.0,3219.0,,,3341.0,3179.0,4374.8,3356.6,3957.0,3269.8,3819.0,3017.3,3863.5,3175.0,,3229.0,3381.0,3264.9,3502.0,3503.9,3667.8,3179.0,3290.7,3524.3,-77.3,-165.0,-64.6,122.4,838.0,-48.0,-78.0,,,44.0,-118.0,1077.8,59.6,660.0,-27.2,522.0,-279.7,566.5,-122.0,,-68.0,84.0,-32.1,205.0,206.9,370.8,-118.0,-6.3,227.3,False,True,False,False,True,False,,,True,False,False,True,False,True,False,False,False,False,,True,False,True,False,False,False,False,True,False
Oklahoma,496,446.7,450.0,448.0,485.4,796.0,521.0,578.0,543.4,,433.4,404.0,556.3,441.3,535.4,395.9,,435.3,480.7,399.0,,398.0,461.0,424.7,543.0,466.1,553.3,448.0,463.9,,-49.3,-46.0,-48.0,-10.6,300.0,25.0,82.0,47.4,,-62.6,-92.0,60.3,-54.7,39.4,-100.1,,-60.7,-15.3,-97.0,,-98.0,-35.0,-71.3,47.0,-29.9,57.3,-48.0,-32.1,,True,True,True,False,True,False,True,,False,False,False,False,True,False,,False,True,False,,False,True,False,True,True,False,True,True,
Oregon,285,248.3,244.0,254.0,285.9,475.0,267.9,300.0,285.4,,274.3,304.0,421.4,266.9,253.3,227.7,,295.9,331.7,217.0,,279.0,257.0,240.8,280.0,265.3,297.7,253.0,256.4,,-36.7,-41.0,-31.0,0.9,190.0,-17.1,15.0,0.4,,-10.7,19.0,136.4,-18.1,-31.7,-57.3,,10.9,46.7,-68.0,,-6.0,-28.0,-44.2,-5.0,-19.7,12.7,-32.0,-28.6,,False,True,True,False,True,True,True,,True,True,False,True,True,False,,True,False,False,,True,True,False,True,True,True,True,True,
