,actual_deaths,Baseline,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Georgia,3494,3575.6,3297.8,3473.0,4021.8,3130.0,4180.1,,3083.0,3490.5,,3360.3,3186.4,3774.7,81.6,-196.2,-21.0,527.8,-364.0,686.1,,-411.0,-3.5,,-133.7,-307.6,280.7,False,True,False,False,False,,False,True,,False,False,False
Hawaii,26,17.0,20.5,18.0,19.7,,23.1,,23.2,17.0,,17.9,23.7,17.9,-9.0,-5.5,-8.0,-6.3,,-2.9,,-2.8,-9.0,,-8.1,-2.3,-8.1,True,True,True,,True,,True,False,,True,True,True
Idaho,146,98.7,119.4,117.0,107.0,101.0,134.9,,175.0,89.0,,94.9,115.8,100.5,-47.3,-26.6,-29.0,-39.0,-45.0,-11.1,,29.0,-57.0,,-51.1,-30.2,-45.5,True,True,True,True,True,,True,False,,False,True,True
Illinois,7589,8293.6,7224.9,7075.0,7677.1,7950.0,7719.8,11774.0,7489.5,12545.0,,7421.9,7115.9,7856.0,704.6,-364.1,-514.0,88.1,361.0,130.8,4185.0,-99.5,4956.0,,-167.1,-473.1,267.0,True,True,True,True,True,False,True,False,,True,True,True
Indiana,2895,3113.1,2899.6,2820.0,2813.0,2637.0,2870.8,4006.0,2852.1,2858.5,,2777.2,3154.4,3150.0,218.1,4.6,-75.0,-82.0,-258.0,-24.2,1111.0,-42.9,-36.5,,-117.8,259.4,255.0,True,True,True,False,True,False,True,True,,True,False,False
Iowa,826,851.1,921.9,785.0,803.4,762.0,832.7,,818.9,983.0,,832.6,844.6,858.4,25.1,95.9,-41.0,-22.6,-64.0,6.7,,-7.1,157.0,,6.6,18.6,32.4,False,False,True,False,True,,True,False,,True,True,False
Kansas,329,315.3,300.1,269.0,325.0,317.0,308.3,,308.8,311.0,,286.1,216.1,317.9,-13.7,-28.9,-60.0,-4.0,-12.0,-20.7,,-20.2,-18.0,,-42.9,-112.9,-11.1,False,False,True,True,False,,False,False,,False,False,True
Kentucky,696,657.1,635.5,700.0,661.3,634.0,647.5,905.5,585.0,613.0,,715.2,641.2,666.5,-38.9,-60.5,4.0,-34.7,-62.0,-48.5,209.5,-111.0,-83.0,,19.2,-54.8,-29.5,False,True,True,False,False,False,False,False,,True,False,True
Louisiana,3715,3547.0,3473.0,3292.0,3667.5,3502.0,3380.1,,3441.5,3306.0,,3289.2,3191.5,3496.6,-168.0,-242.0,-423.0,-47.5,-213.0,-334.9,,-273.5,-409.0,,-425.8,-523.5,-218.4,False,False,True,False,False,,False,False,,False,False,False
Maine,119,111.7,114.5,137.0,111.6,109.0,115.3,,116.9,117.0,,108.1,124.0,113.6,-7.3,-4.5,18.0,-7.4,-10.0,-3.7,,-2.1,-2.0,,-10.9,5.0,-5.4,True,False,False,False,True,,True,True,,False,True,True
Maryland,3433,3682.9,3483.8,3390.0,3407.4,3644.0,3406.4,,3426.8,3552.5,,3438.3,3514.6,3581.2,249.9,50.8,-43.0,-25.6,211.0,-26.6,,-6.2,119.5,,5.3,81.6,148.2,True,True,True,True,True,,True,True,,True,True,True
Massachusetts,8510,8988.7,8252.6,8130.0,8430.2,8618.0,8390.5,,8407.9,8594.0,,8408.5,8223.0,8494.2,479.7,-256.4,-379.0,-78.8,109.0,-118.5,,-101.1,85.0,,-100.5,-286.0,-14.8,True,True,True,True,True,,True,True,,True,True,True
Michigan,6400,6449.4,6311.4,6174.0,6316.8,6759.0,6817.5,7694.5,6189.6,6347.0,,6510.1,6223.1,6339.6,49.4,-88.6,-226.0,-83.2,359.0,417.5,1294.5,-210.4,-53.0,,110.1,-176.9,-60.4,False,False,False,False,False,False,False,False,,False,False,False
Minnesota,1611,1815.1,1784.4,1627.0,1704.4,1797.0,1817.9,2695.0,1552.6,1847.0,,1747.1,1481.7,1888.7,204.1,173.4,16.0,93.4,186.0,206.9,1084.0,-58.4,236.0,,136.1,-129.3,277.7,True,True,True,True,False,False,True,False,,True,True,False
Mississippi,1478,1166.3,1377.8,1282.0,1134.3,1061.0,1040.2,,1185.1,1235.0,,1127.2,1135.6,1291.3,-311.7,-100.2,-196.0,-343.7,-417.0,-437.8,,-292.9,-243.0,,-350.8,-342.4,-186.7,True,True,False,False,False,,True,True,,False,False,True
Missouri,1200,1353.6,1193.4,1182.0,1495.2,1171.0,1325.6,,1192.0,1026.0,,1381.1,1284.1,1182.9,163.6,3.4,-8.0,305.2,-19.0,135.6,,2.0,-164.0,,191.1,94.1,-7.1,True,True,False,True,True,,True,False,,False,True,True
Montana,46,24.9,23.7,21.0,25.6,23.0,38.0,,39.2,20.0,,22.5,20.4,24.9,-21.1,-22.3,-25.0,-20.4,-23.0,-8.0,,-6.8,-26.0,,-23.5,-25.6,-21.1,False,False,True,False,True,,True,False,,False,False,True
Nebraska,316,384.9,312.3,264.0,360.2,289.0,302.1,,289.2,525.0,,313.6,259.3,398.7,68.9,-3.7,-52.0,44.2,-27.0,-13.9,,-26.8,209.0,,-2.4,-56.7,82.7,True,True,True,True,True,,True,False,,True,True,False
Nevada,732,603.6,631.5,703.0,638.7,625.0,685.5,,712.9,536.0,,592.4,677.1,613.7,-128.4,-100.5,-29.0,-93.3,-107.0,-46.5,,-19.1,-196.0,,-139.6,-54.9,-118.3,True,True,True,True,True,,True,False,,False,True,True
New Hampshire,409,431.3,436.1,439.0,498.8,339.0,407.8,,393.8,454.0,,445.6,416.6,446.9,22.3,27.1,30.0,89.8,-70.0,-1.2,,-15.2,45.0,,36.6,7.6,37.9,False,False,False,False,True,,True,False,,False,True,False
New Jersey,15776,14299.0,13352.8,13233.0,13519.2,13879.0,13763.5,,13012.8,13821.0,,13824.6,12980.1,13502.4,386.0,-560.2,-680.0,-393.8,-34.0,-149.5,,-900.2,-92.0,,-88.4,-932.9,-410.6,False,False,False,True,True,,False,True,,True,False,False
New Mexico,607,634.1,621.0,576.0,647.4,524.0,582.2,,614.5,554.5,,568.9,538.3,609.2,27.1,14.0,-31.0,40.4,-83.0,-24.8,,7.5,-52.5,,-38.1,-68.7,2.2,True,False,False,False,True,,True,False,,False,False,True
New York,32612,32582.1,31546.7,31237.0,31677.1,32173.0,32027.4,,25097.9,31545.0,,31811.3,32691.2,31683.0,699.1,-336.3,-646.0,-205.9,290.0,144.4,,-6785.1,-338.0,,-71.7,808.2,-200.0,True,True,True,True,True,,False,True,,True,False,True
North Carolina,1811,1618.1,1990.2,2943.0,1597.1,1648.0,1666.6,,1770.0,1559.5,,1776.1,1858.7,1698.5,-162.9,209.2,1162.0,-183.9,-133.0,-114.4,,-11.0,-221.5,,-4.9,77.7,-82.5,False,False,False,True,True,,True,False,,True,True,True
North Dakota,99,91.6,85.9,87.0,86.6,90.0,91.2,,110.0,151.0,,92.2,85.8,105.1,-7.4,-13.1,-12.0,-12.4,-9.0,-7.8,,11.0,52.0,,-6.8,-13.2,6.1,False,False,False,False,False,,False,False,,True,False,True
Ohio,3297,3384.9,3193.7,3124.0,3225.1,3156.0,3428.9,3846.5,3088.9,3348.5,,3199.9,3293.8,3422.7,87.9,-103.3,-173.0,-71.9,-141.0,131.9,549.5,-208.1,51.5,,-97.1,-3.2,125.7,False,False,True,False,False,False,False,True,,False,True,False
Oklahoma,496,417.6,448.8,536.0,446.8,494.0,516.7,,413.9,393.0,,411.1,542.3,455.7,-78.4,-47.2,40.0,-49.2,-2.0,20.7,,-82.1,-103.0,,-84.9,46.3,-40.3,True,True,True,True,True,,False,False,,False,True,True
Oregon,285,246.3,236.0,269.0,315.2,233.0,239.3,,248.7,198.0,,226.0,303.3,241.7,-36.7,-47.0,-14.0,32.2,-50.0,-43.7,,-34.3,-85.0,,-57.0,20.3,-41.3,False,True,True,False,False,,True,False,,False,True,False
Pennsylvania,7124,7433.3,7469.6,6978.0,7078.7,6735.0,7243.0,,7163.3,7260.5,,7150.3,7166.8,7122.9,309.3,345.6,-146.0,-45.3,-389.0,119.0,,39.3,136.5,,26.3,42.8,-1.1,False,True,True,False,True,,True,True,,True,True,True
Rhode Island,1002,1190.3,1018.9,992.0,1065.2,1001.0,982.0,,994.5,1124.5,,1042.5,783.9,1082.3,188.3,16.9,-10.0,63.2,-1.0,-20.0,,-7.5,122.5,,40.5,-218.1,80.3,True,True,True,True,True,,True,True,,True,False,True
South Carolina,1465,910.4,1354.0,869.0,899.7,888.0,1019.1,,1132.5,824.0,,969.8,1334.7,1031.5,-554.6,-111.0,-596.0,-565.3,-577.0,-445.9,,-332.5,-641.0,,-495.2,-130.3,-433.5,True,False,False,False,True,,True,False,,True,True,True
South Dakota,122,110.1,104.1,106.0,128.3,90.0,102.9,,97.1,168.0,,95.1,99.9,121.7,-11.9,-17.9,-16.0,6.3,-32.0,-19.1,,-24.9,46.0,,-26.9,-22.1,-0.3,False,False,True,False,False,,False,False,,False,False,True
Tennessee,964,778.6,752.6,829.0,796.0,895.0,735.4,,689.3,720.5,,672.8,741.3,811.2,-185.4,-211.4,-135.0,-168.0,-69.0,-228.6,,-274.7,-243.5,,-291.2,-222.7,-152.8,False,True,True,True,False,,False,False,,False,False,True
Texas,5705,3196.4,3328.6,3954.0,4204.4,3442.0,3608.4,,3185.0,2858.5,2705.0,3061.2,3727.6,3505.9,-2331.6,-2199.4,-1574.0,-1323.6,-2086.0,-1919.6,,-2343.0,-2669.5,-2823.0,-2466.8,-1800.4,-2022.1,True,True,True,True,True,,False,False,False,False,True,True
Utah,274,250.3,373.1,311.0,257.6,236.0,272.9,,287.3,285.0,,198.0,278.1,261.3,-23.7,99.1,37.0,-16.4,-38.0,-1.1,,13.3,11.0,,-76.0,4.1,-12.7,False,False,True,False,True,,True,True,,False,True,True
Vermont,56,60.9,60.6,57.0,60.6,57.0,60.2,,58.4,56.0,,61.6,52.2,58.9,4.9,4.6,1.0,4.6,1.0,4.2,,2.4,0.0,,5.6,-3.8,2.9,True,True,True,True,True,,True,True,,False,True,True
Virginia,2075,1926.7,1993.6,1908.0,1731.3,1860.0,1818.4,,1824.9,1906.0,,1809.3,1761.7,1888.9,-148.3,-81.4,-167.0,-343.7,-215.0,-256.6,,-250.1,-169.0,,-265.7,-313.3,-186.1,True,False,False,False,False,,False,False,,False,False,False
Washington,1494,1527.4,1424.5,1433.0,1485.1,1447.0,1534.2,,1493.6,1379.0,,1352.8,1559.4,1513.7,33.4,-69.5,-61.0,-8.9,-47.0,40.2,,-0.4,-115.0,,-141.2,65.4,19.7,False,False,True,False,False,,True,False,,False,False,True
West Virginia,103,93.9,97.1,115.0,103.0,89.0,110.6,,109.5,93.0,,113.9,119.9,106.5,-9.1,-5.9,12.0,-0.0,-14.0,7.6,,6.5,-10.0,,10.9,16.9,3.5,True,False,True,False,True,,True,False,,False,False,True
Wisconsin,891,996.6,901.8,969.0,904.8,876.0,949.6,1222.5,840.9,979.0,,844.1,844.7,988.7,105.6,10.8,78.0,13.8,-15.0,58.6,331.5,-50.1,88.0,,-46.9,-46.3,97.7,True,True,True,True,True,False,True,True,,True,True,True
Wyoming,25,29.7,26.0,31.0,19.5,18.0,31.4,,26.2,20.0,,21.2,31.5,32.1,4.7,1.0,6.0,-5.5,-7.0,6.4,,1.2,-5.0,,-3.8,6.5,7.1,True,False,False,False,False,,True,False,,True,False,False
US,147184,140534.1,139152.0,139960.0,140079.3,136444.0,141852.5,,128149.7,139209.0,121273.0,131569.2,139256.7,139181.5,-3837.9,-5220.0,-4412.0,-4292.7,-7928.0,-2519.5,,-16222.3,-5163.0,-23099.0,-12802.8,-5115.3,-5190.5,False,False,False,False,True,,False,False,False,False,False,False
