,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Indiana,2895,3375.4,2488.3,2345.2,2848.0,2694.5,2524.8,3713.6,480.4,-406.7,-549.8,-47.0,-200.5,-370.2,818.6,True,False,True,True,True,False
Iowa,826,1155.7,729.2,1024.0,736.0,835.5,608.3,1498.5,329.7,-96.8,198.0,-90.0,9.5,-217.7,672.5,True,True,True,True,True,False
Kansas,329,293.6,284.2,226.7,319.0,299.5,230.3,311.0,-35.4,-44.8,-102.3,-10.0,-29.5,-98.7,-18.0,False,False,True,True,False,True
Kentucky,696,745.3,507.4,537.5,507.0,790.3,613.2,768.5,49.3,-188.6,-158.5,-189.0,94.3,-82.8,72.5,False,False,False,False,False,False
Louisiana,3715,3576.7,3129.0,2945.6,3162.0,3256.4,1911.4,3695.0,-138.3,-586.0,-769.4,-553.0,-458.6,-1803.6,-20.0,False,False,False,False,False,True
Maine,119,175.4,120.8,162.5,231.0,102.3,171.5,118.7,56.4,1.8,43.5,112.0,-16.7,52.5,-0.3,True,True,False,True,True,True
Maryland,3433,4535.6,3418.6,2879.6,3744.0,4257.0,3411.7,4730.7,1102.6,-14.4,-553.4,311.0,824.0,-21.3,1297.7,True,True,True,True,True,False
Massachusetts,8510,10570.3,7708.4,8938.5,8684.0,8736.4,7273.5,8673.8,2060.3,-801.6,428.5,174.0,226.4,-1236.5,163.8,True,True,True,True,True,True
Michigan,6400,7557.4,5928.1,5976.5,6093.0,6349.3,5267.1,6482.3,1397.4,-231.9,-183.5,-67.0,189.3,-892.9,322.3,True,True,True,True,True,True
Minnesota,1611,2401.4,1745.3,1690.3,4203.0,1807.0,1380.7,2742.2,790.4,134.3,79.3,2592.0,196.0,-230.3,1131.2,True,True,False,True,True,False
Mississippi,1478,1590.4,927.1,945.7,907.0,1102.7,1263.2,1957.7,112.4,-550.9,-532.3,-571.0,-375.3,-214.8,479.7,False,False,False,False,False,False
Missouri,1200,1483.1,839.8,988.1,1066.0,1417.2,1008.8,1781.0,321.1,-322.2,-173.9,-96.0,255.2,-153.2,619.0,False,True,True,True,True,False
Montana,46,24.9,18.2,16.0,17.0,20.5,15.2,20.2,-21.1,-27.8,-30.0,-29.0,-25.5,-30.8,-25.8,False,False,False,False,False,False
Nebraska,316,350.7,339.7,448.8,373.0,323.3,190.4,490.5,34.7,23.7,132.8,57.0,7.3,-125.6,174.5,True,False,False,True,False,False
Nevada,732,707.7,490.8,682.9,623.0,593.3,543.3,685.1,-24.3,-241.2,-49.1,-109.0,-138.7,-188.7,-46.9,False,False,False,False,False,False
New Hampshire,409,527.9,272.6,348.3,281.0,441.1,365.7,672.0,118.9,-136.4,-60.7,-128.0,32.1,-43.3,263.0,False,True,False,True,True,False
New Jersey,15776,16098.0,12528.5,12574.0,13395.0,13926.1,11617.8,13989.8,2142.0,-1427.5,-1382.0,-561.0,-29.9,-2338.2,33.8,True,True,True,True,False,True
New Mexico,607,662.4,428.8,550.7,458.0,593.1,433.7,725.9,55.4,-178.2,-56.3,-149.0,-13.9,-173.3,118.9,False,False,False,True,False,False
New York,32612,34836.1,31784.9,31289.9,32951.0,31260.5,28811.2,32153.4,3139.1,87.9,-407.1,1254.0,-436.5,-2885.8,456.4,True,True,True,True,True,True
North Carolina,1811,2139.1,1527.3,1479.9,1356.0,1769.4,2443.5,2233.4,328.1,-283.7,-331.1,-455.0,-41.6,632.5,422.4,True,False,False,True,False,False
North Dakota,99,123.9,97.4,93.5,265.0,87.8,88.5,163.8,24.9,-1.6,-5.5,166.0,-11.2,-10.5,64.8,True,True,False,True,True,False
Ohio,3297,3616.4,2656.0,3192.4,2842.0,3176.0,2629.0,4413.9,319.4,-641.0,-104.6,-455.0,-121.0,-668.0,1116.9,False,True,False,True,False,False
Oklahoma,496,514.7,388.1,361.0,376.0,389.1,473.8,509.5,18.7,-107.9,-135.0,-120.0,-106.9,-22.2,13.5,False,False,False,False,False,True
Oregon,285,192.3,172.2,175.4,176.0,206.6,223.1,196.6,-92.7,-112.8,-109.6,-109.0,-78.4,-61.9,-88.4,False,False,False,True,True,True
Pennsylvania,7124,8847.1,6195.0,6407.2,5939.0,7730.2,6102.5,7875.6,1723.1,-929.0,-716.8,-1185.0,606.2,-1021.5,751.6,True,True,True,True,True,True
Rhode Island,1002,1582.3,781.3,1150.8,968.0,965.6,635.0,1370.1,687.3,-113.7,255.8,73.0,70.6,-260.0,475.1,True,True,True,True,True,True
South Carolina,1465,957.6,633.7,715.2,623.0,818.1,888.7,1233.8,-507.4,-831.3,-749.8,-842.0,-646.9,-576.3,-231.2,False,False,False,False,False,True
South Dakota,122,156.3,109.0,77.9,116.0,89.1,75.7,182.4,34.3,-13.0,-44.1,-6.0,-32.9,-46.3,60.4,True,False,True,True,False,False
Tennessee,964,584.0,584.0,704.3,629.0,471.4,481.4,712.1,-380.0,-380.0,-259.7,-335.0,-492.6,-482.6,-251.9,False,True,True,False,False,True
Texas,5844,2830.0,2587.3,2013.8,2673.0,2799.2,3010.9,3849.5,-2859.0,-3101.7,-3675.2,-3016.0,-2889.8,-2678.1,-1839.5,False,False,False,False,True,True
Utah,274,238.7,264.5,214.4,182.0,232.0,169.5,328.9,-35.3,-9.5,-59.6,-92.0,-42.0,-104.5,54.9,True,False,False,False,False,False
Vermont,56,62.9,56.9,56.5,55.0,67.0,54.3,61.5,6.9,0.9,0.5,-1.0,11.0,-1.7,5.5,True,True,True,False,True,True
Virginia,2075,2977.9,1940.4,2526.2,2122.0,2514.6,2639.7,2946.4,902.9,-134.6,451.2,47.0,439.6,564.7,871.4,True,True,True,True,True,True
Washington,1522,1565.9,1303.0,1196.4,1307.0,1284.0,1305.6,1435.4,48.9,-214.0,-320.6,-210.0,-233.0,-211.4,-81.6,False,False,False,False,False,False
West Virginia,103,98.6,106.0,106.2,78.0,132.8,124.4,107.7,-4.4,3.0,3.2,-25.0,29.8,21.4,4.7,True,True,False,False,False,False
Wisconsin,933,1236.3,894.5,791.5,1009.0,864.0,1657.1,1170.3,361.3,19.5,-83.5,134.0,-11.0,782.1,295.3,True,True,True,True,False,True
Wyoming,25,47.4,22.3,37.6,17.0,18.0,18.3,46.1,22.4,-2.7,12.6,-8.0,-7.0,-6.7,21.1,True,True,True,True,True,True
US,147393,156725.3,122280.4,132858.7,132354.0,127401.6,122975.1,153520.7,12670.3,-21774.6,-11196.3,-11701.0,-16653.4,-21079.9,9465.7,False,True,True,False,False,True
