,actual_deaths,Baseline,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,GT-DeepCOVID,GT_CHHS-COVID19,IowaStateLW-STEM,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,3494,3268.6,3273.9,3344.1,3511.0,,3567.2,3768.0,3223.6,3567.0,3364.0,3390.4,3178.3,3358.0,3380.7,,3103.3,3374.2,3293.0,,3159.3,,3216.0,3310.5,3385.0,,3687.1,3660.7,3170.0,3334.1,3204.0,-225.4,-220.1,-149.9,17.0,,73.2,274.0,-270.4,73.0,-130.0,-103.6,-315.7,-136.0,-113.3,,-390.7,-119.8,-201.0,,-334.7,,-278.0,-183.5,-109.0,,193.1,166.7,-324.0,-159.9,-290.0,True,True,True,,True,False,False,True,True,True,False,True,True,,False,True,True,,False,,False,True,True,,True,True,False,True,False
Hawaii,26,19.0,19.0,20.3,19.0,,22.8,21.0,,,,24.2,21.3,18.5,19.5,,21.9,20.3,19.0,,19.0,,21.0,19.1,21.0,,22.2,22.1,20.0,19.5,,-7.0,-7.0,-5.7,-7.0,,-3.2,-5.0,,,,-1.8,-4.7,-7.5,-6.5,,-4.1,-5.7,-7.0,,-7.0,,-5.0,-6.9,-5.0,,-3.8,-3.9,-6.0,-6.5,,False,True,False,,True,True,,,,True,True,False,True,,True,True,False,,False,,True,True,True,,True,True,True,True,
Idaho,146,118.7,120.0,127.6,134.0,,165.3,147.0,127.1,,124.0,142.4,127.5,118.3,114.0,,118.6,129.0,103.0,,97.0,,119.0,117.0,128.0,,131.9,132.1,139.0,120.0,,-27.3,-26.0,-18.4,-12.0,,19.3,1.0,-18.9,,-22.0,-3.6,-18.5,-27.7,-32.0,,-27.4,-17.0,-43.0,,-49.0,,-27.0,-29.0,-18.0,,-14.1,-13.9,-7.0,-26.0,,True,True,True,,True,True,True,,True,True,True,False,False,,False,True,False,,False,,True,False,True,,True,True,True,True,
Illinois,7589,8071.4,8079.4,7759.9,7669.0,,7341.0,7468.0,8017.5,,7797.0,7621.3,7659.6,7103.7,7791.2,8164.0,7579.5,7768.1,7808.0,,7491.0,,7609.0,7975.2,7727.0,,7579.4,8089.3,7726.0,7597.0,7198.0,482.4,490.4,170.9,80.0,,-248.0,-121.0,428.5,,208.0,32.3,70.6,-485.3,202.2,575.0,-9.5,179.1,219.0,,-98.0,,20.0,386.2,138.0,,-9.6,500.3,137.0,8.0,-391.0,False,True,True,,True,True,True,,True,True,True,False,True,False,True,True,True,,True,,True,True,True,,True,False,True,True,True
Indiana,2895,2884.4,2894.0,2903.7,2859.0,,2850.2,2900.0,2883.7,,2842.0,2765.4,2930.9,2966.0,2870.9,3019.0,2866.1,2927.2,2975.0,,2696.4,,2914.0,2878.3,2923.0,,2994.7,2937.5,2950.0,2885.8,2936.0,-10.6,-1.0,8.7,-36.0,,-44.8,5.0,-11.3,,-53.0,-129.6,35.9,71.0,-24.1,124.0,-28.9,32.2,80.0,,-198.6,,19.0,-16.7,28.0,,99.7,42.5,55.0,-9.2,41.0,True,True,False,,False,True,False,,False,False,False,False,False,False,False,False,False,,False,,False,False,False,,False,False,False,True,False
Iowa,826,809.6,801.9,807.4,828.0,,858.3,813.0,831.2,,790.0,857.3,813.8,955.6,798.6,,772.8,819.3,761.0,,781.5,,794.0,804.1,819.0,,848.5,813.4,777.0,806.1,,-16.4,-24.1,-18.6,2.0,,32.3,-13.0,5.2,,-36.0,31.3,-12.2,129.6,-27.4,,-53.2,-6.7,-65.0,,-44.5,,-32.0,-21.9,-7.0,,22.5,-12.6,-49.0,-19.9,,False,False,True,,False,True,True,,False,False,True,False,False,,False,True,False,,False,,False,False,True,,False,True,False,False,
Kansas,329,321.1,319.0,331.2,366.0,,357.9,321.0,331.8,,373.0,372.6,326.2,320.1,315.0,,308.7,329.1,312.0,,305.5,,307.0,320.3,332.0,,334.1,348.0,335.0,324.8,,-7.9,-10.0,2.2,37.0,,28.9,-8.0,2.8,,44.0,43.6,-2.8,-8.9,-14.0,,-20.3,0.1,-17.0,,-23.5,,-22.0,-8.7,3.0,,5.1,19.0,6.0,-4.2,,False,True,False,,False,False,True,,False,False,True,False,False,,False,True,False,,False,,False,False,True,,True,False,True,True,
Kentucky,696,699.3,696.0,700.5,654.0,,657.3,702.0,719.8,,716.0,747.1,692.1,988.4,667.7,706.5,717.3,736.2,694.0,,684.0,,677.0,691.8,698.0,,716.2,728.2,720.0,694.6,,3.3,0.0,4.5,-42.0,,-38.7,6.0,23.8,,20.0,51.1,-3.9,292.4,-28.3,10.5,21.3,40.2,-2.0,,-12.0,,-19.0,-4.2,2.0,,20.2,32.2,24.0,-1.4,,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,True,,False,,False,False,True,,False,False,False,True,
Louisiana,3715,3653.7,3653.1,3679.1,3652.0,,3594.6,3890.0,3811.1,,3697.0,3613.4,3595.3,3451.7,3691.0,,3554.7,3775.3,3517.0,,3486.4,,3609.0,3634.7,3798.0,,4226.7,3879.1,3746.0,3657.9,3586.0,-61.3,-61.9,-35.9,-63.0,,-120.4,175.0,96.1,,-18.0,-101.6,-119.7,-263.3,-24.0,,-160.3,60.3,-198.0,,-228.6,,-106.0,-80.3,83.0,,511.7,164.1,31.0,-57.1,-129.0,False,True,False,,False,False,False,,True,False,False,False,True,,False,True,False,,False,,False,False,False,,False,False,True,True,False
Maine,119,123.3,122.0,119.1,112.0,,115.0,119.0,120.8,,113.0,128.3,116.5,160.2,115.5,,121.0,118.0,112.0,,118.0,,127.0,121.3,120.0,,123.8,115.9,127.0,119.1,,4.3,3.0,0.1,-7.0,,-4.0,0.0,1.8,,-6.0,9.3,-2.5,41.2,-3.5,,2.0,-1.0,-7.0,,-1.0,,8.0,2.3,1.0,,4.8,-3.1,8.0,0.1,,True,True,False,,True,True,True,,False,False,True,False,True,,True,True,False,,True,,False,True,True,,False,True,False,True,
Maryland,3433,3460.1,3458.1,3464.7,3451.0,,3391.9,3379.0,3519.5,,3531.0,3485.5,3496.3,4013.1,3450.5,,3424.2,3483.0,3406.0,,3348.9,,3471.0,3450.1,3468.0,,3484.7,3498.6,3539.5,3446.3,3476.0,27.1,25.1,31.7,18.0,,-41.1,-54.0,86.5,,98.0,52.5,63.3,580.1,17.5,,-8.8,50.0,-27.0,,-84.1,,38.0,17.1,35.0,,51.7,65.6,106.5,13.3,43.0,True,False,True,,False,False,False,,False,False,False,False,True,,True,False,True,,False,,False,True,False,,False,False,False,True,False
Massachusetts,8510,8588.7,8586.8,8553.5,8474.0,,8319.8,8423.0,8584.4,,8673.0,8473.2,8606.9,8389.0,8559.2,,8499.1,8590.4,8719.0,,8529.0,,8596.0,8552.2,8510.0,,8401.4,8653.7,8664.0,8500.2,8486.0,78.7,76.8,43.5,-36.0,,-190.2,-87.0,74.4,,163.0,-36.8,96.9,-121.0,49.2,,-10.9,80.4,209.0,,19.0,,86.0,42.2,0.0,,-108.6,143.7,154.0,-9.8,-24.0,True,True,True,,False,False,True,,False,True,False,False,True,,True,False,False,,True,,False,True,True,,False,False,False,True,True
Michigan,6400,6492.3,6504.5,6518.5,6445.0,,6351.7,6551.0,6603.8,,6388.0,6502.5,6472.3,7106.9,6369.3,7114.0,6455.1,6555.2,6491.0,,6202.0,,6444.0,6467.2,6511.0,,6508.6,6600.2,6520.0,6457.2,6453.0,92.3,104.5,118.5,45.0,,-48.3,151.0,203.8,,-12.0,102.5,72.3,706.9,-30.7,714.0,55.1,155.2,91.0,,-198.0,,44.0,67.2,111.0,,108.6,200.2,120.0,57.2,53.0,False,False,True,,True,False,False,,True,False,True,False,True,False,True,False,True,,False,,True,True,False,,False,False,False,True,True
Minnesota,1611,1599.4,1605.1,1629.2,1663.0,,1664.0,1623.0,1693.7,,1597.0,1662.8,1653.1,1985.1,1652.4,1734.5,1585.1,1606.2,1569.0,,1631.7,,1616.0,1599.0,1612.0,,1651.9,1645.6,1589.0,1610.9,,-11.6,-5.9,18.2,52.0,,53.0,12.0,82.7,,-14.0,51.8,42.1,374.1,41.4,123.5,-25.9,-4.8,-42.0,,20.7,,5.0,-12.0,1.0,,40.9,34.6,-22.0,-0.1,,True,False,False,,False,False,False,,False,False,False,False,False,False,False,True,False,,False,,True,False,True,,False,False,False,True,
Mississippi,1478,1505.3,1476.0,1451.9,1317.0,,1453.7,1467.0,1507.1,,1367.0,1430.8,1416.7,1649.7,1416.4,,1418.9,1532.0,1398.0,,1290.9,,1512.0,1482.0,1514.0,,1532.0,1566.9,1522.0,1495.6,1401.0,27.3,-2.0,-26.1,-161.0,,-24.3,-11.0,29.1,,-111.0,-47.2,-61.3,171.7,-61.6,,-59.1,54.0,-80.0,,-187.1,,34.0,4.0,36.0,,54.0,88.9,44.0,17.6,-77.0,True,True,False,,True,True,False,,False,False,False,False,False,,False,False,False,,False,,False,True,False,,False,False,False,True,False
Missouri,1200,1168.1,1173.0,1186.5,1192.0,,1213.0,1259.0,1182.0,,1230.0,1196.0,1163.5,1451.9,1161.5,,1166.3,1197.1,1187.0,,1210.5,,1153.0,1184.4,1184.0,,1298.7,1270.0,1187.5,1178.2,,-31.9,-27.0,-13.5,-8.0,,13.0,59.0,-18.0,,30.0,-4.0,-36.5,251.9,-38.5,,-33.7,-2.9,-13.0,,10.5,,-47.0,-15.6,-16.0,,98.7,70.0,-12.5,-21.8,,True,True,True,,True,False,True,,True,True,False,False,False,,False,True,True,,True,,False,True,True,,False,False,True,True,
Montana,46,40.1,41.0,42.9,46.0,,33.2,37.0,38.4,,31.0,43.2,41.4,25.6,40.7,,50.1,48.5,34.0,,34.1,,48.0,38.1,49.0,,52.3,53.9,56.0,37.8,,-5.9,-5.0,-3.1,0.0,,-12.8,-9.0,-7.6,,-15.0,-2.8,-4.6,-20.4,-5.3,,4.1,2.5,-12.0,,-11.9,,2.0,-7.9,3.0,,6.3,7.9,10.0,-8.2,,True,True,True,,False,False,False,,False,True,True,False,True,,True,True,False,,False,,True,False,True,,False,False,False,False,
Nebraska,316,286.9,289.2,311.5,312.0,,318.8,296.0,311.2,,321.0,340.7,313.4,403.2,315.1,,322.2,308.8,349.0,,329.8,,291.0,289.7,304.0,,299.2,314.4,316.0,311.0,,-29.1,-26.8,-4.5,-4.0,,2.8,-20.0,-4.8,,5.0,24.7,-2.6,87.2,-0.9,,6.2,-7.2,33.0,,13.8,,-25.0,-26.3,-12.0,,-16.8,-1.6,0.0,-5.0,,True,True,True,,True,True,True,,True,True,True,False,True,,True,True,False,,True,,True,True,True,,True,True,True,True,
Nevada,732,702.6,716.0,707.9,710.0,,698.1,777.0,738.2,,746.0,744.5,671.0,626.0,716.1,,682.8,737.2,612.0,,584.7,,703.0,691.9,726.0,,783.0,737.6,736.0,700.9,711.0,-29.4,-16.0,-24.1,-22.0,,-33.9,45.0,6.2,,14.0,12.5,-61.0,-106.0,-15.9,,-49.2,5.2,-120.0,,-147.3,,-29.0,-40.1,-6.0,,51.0,5.6,4.0,-31.1,-21.0,True,True,True,,False,False,True,,True,True,False,False,True,,False,True,False,,False,,True,False,True,,False,True,True,False,True
New Hampshire,409,409.6,415.0,411.6,399.0,,419.6,413.0,406.4,,404.0,409.5,418.7,568.4,428.0,,408.1,411.4,425.0,,416.2,,410.0,411.6,406.0,,412.6,409.6,421.0,407.4,,0.6,6.0,2.6,-10.0,,10.6,4.0,-2.6,,-5.0,0.5,9.7,159.4,19.0,,-0.9,2.4,16.0,,7.2,,1.0,2.6,-3.0,,3.6,0.6,12.0,-1.6,,False,False,False,,False,False,False,,False,True,False,False,False,,False,False,False,,False,,False,False,False,,False,False,False,False,
New Jersey,15776,16108.1,16200.7,16087.3,15833.0,,15596.2,15766.0,17214.4,,16180.0,15746.1,15871.9,13469.8,16325.9,,15886.0,16010.3,17026.0,,20343.0,,16029.0,15991.9,15913.0,,15598.0,16709.1,16073.0,15716.3,14204.0,332.1,424.7,311.3,57.0,,-179.8,-10.0,1438.4,,404.0,-29.9,95.9,-2306.2,549.9,,110.0,234.3,1250.0,,4567.0,,253.0,215.9,137.0,,-178.0,933.1,297.0,-59.7,-1572.0,False,True,True,,True,True,False,,False,True,True,False,False,,True,True,False,,False,,True,True,True,,True,False,True,True,False
New Mexico,607,604.4,603.0,605.2,574.0,,606.5,616.0,636.6,,655.0,632.1,595.4,624.9,590.2,,580.4,615.1,613.0,,585.0,,597.0,603.9,606.0,,625.4,633.7,605.0,596.6,,-2.6,-4.0,-1.8,-33.0,,-0.5,9.0,29.6,,48.0,25.1,-11.6,17.9,-16.8,,-26.6,8.1,6.0,,-22.0,,-10.0,-3.1,-1.0,,18.4,26.7,-2.0,-10.4,,False,True,False,,True,False,False,,False,False,False,False,False,,False,False,False,,False,,False,False,True,,False,False,True,False,
New York,32612,32617.4,32747.2,32635.6,32739.0,,32312.3,32553.0,32922.7,,32927.0,32365.4,32694.5,27286.1,32471.9,,32213.9,32668.6,32769.0,,25294.5,,32476.0,32563.3,32617.0,,32406.8,32744.8,32651.0,32562.5,32690.0,50.4,180.2,68.6,172.0,,-254.7,-14.0,355.7,,360.0,-201.6,127.5,-5280.9,-95.1,,-353.1,101.6,202.0,,-7272.5,,-91.0,-3.7,50.0,,-160.2,177.8,84.0,-4.5,123.0,False,False,False,,False,True,False,,False,False,False,False,False,,False,False,False,,False,,False,True,True,,False,False,False,True,False
North Carolina,1811,1705.9,1695.0,1777.3,1846.0,,1798.1,2072.0,1651.4,2135.7,1762.0,1963.6,1685.6,1605.2,1737.9,,1694.0,1715.4,1783.0,,1704.2,,1690.0,1726.5,1718.0,,1854.2,1772.2,1748.0,1725.4,1670.0,-105.1,-116.0,-33.7,35.0,,-12.9,261.0,-159.6,324.7,-49.0,152.6,-125.4,-205.8,-73.1,,-117.0,-95.6,-28.0,,-106.8,,-121.0,-84.5,-93.0,,43.2,-38.8,-63.0,-85.6,-141.0,False,True,True,,True,False,False,False,True,False,False,False,True,,False,True,True,,False,,False,True,True,,True,True,True,True,False
North Dakota,99,100.0,101.0,97.8,101.0,,91.6,93.0,106.6,,101.0,107.4,100.9,105.6,92.9,,99.6,110.6,87.0,,96.9,,90.0,93.6,101.0,,98.1,107.3,95.0,98.2,,1.0,2.0,-1.2,2.0,,-7.4,-6.0,7.6,,2.0,8.4,1.9,6.6,-6.1,,0.6,11.6,-12.0,,-2.1,,-9.0,-5.4,2.0,,-0.9,8.3,-4.0,-0.8,,False,False,False,,False,False,False,,False,False,False,False,False,,True,False,False,,False,,False,False,False,,True,False,False,True,
Ohio,3297,3331.0,3293.8,3379.0,3333.0,,3404.2,4093.0,,,3219.0,3456.8,3311.4,3935.0,3523.0,3427.0,3202.3,3380.2,3290.0,,3259.7,,3272.0,3337.1,3386.0,,3568.8,3476.3,3312.5,3316.9,3237.0,34.0,-3.2,82.0,36.0,,107.2,796.0,,,-78.0,159.8,14.4,638.0,226.0,130.0,-94.7,83.2,-7.0,,-37.3,,-25.0,40.1,89.0,,271.8,179.3,15.5,19.9,-60.0,True,False,False,,False,False,,,False,False,True,False,False,False,False,False,True,,False,,True,False,False,,False,False,True,True,False
Oklahoma,496,466.6,467.0,482.0,487.0,,512.3,525.0,494.5,,518.0,553.8,456.1,538.2,465.4,,474.8,483.0,429.0,,474.0,,461.0,464.0,480.0,,530.3,485.3,486.0,465.8,,-29.4,-29.0,-14.0,-9.0,,16.3,29.0,-1.5,,22.0,57.8,-39.9,42.2,-30.6,,-21.2,-13.0,-67.0,,-22.0,,-35.0,-32.0,-16.0,,34.3,-10.7,-10.0,-30.2,,True,True,True,,True,True,True,,True,False,False,False,False,,True,True,False,,True,,False,False,True,,False,True,True,False,
Oregon,285,269.3,270.0,274.5,252.0,,267.5,285.0,272.3,,286.0,323.6,266.1,250.4,273.8,,279.7,280.4,263.0,,251.3,,271.0,266.3,277.0,,296.7,276.9,277.0,273.7,,-15.7,-15.0,-10.5,-33.0,,-17.5,0.0,-12.7,,1.0,38.6,-18.9,-34.6,-11.2,,-5.3,-4.6,-22.0,,-33.7,,-14.0,-18.7,-8.0,,11.7,-8.1,-8.0,-11.3,,True,True,False,,False,True,True,,True,False,False,False,True,,True,True,False,,False,,True,False,True,,True,True,True,True,
Pennsylvania,7124,7184.4,7193.8,7193.3,7124.0,,7159.9,7285.0,7245.2,,7272.0,7196.2,7145.9,7020.1,7120.8,,7131.8,7253.4,7260.0,,7223.4,,7130.0,7180.7,7182.0,,7223.3,7323.8,7239.5,7170.2,7132.0,60.4,69.8,69.3,0.0,,35.9,161.0,121.2,,148.0,72.2,21.9,-103.9,-3.2,,7.8,129.4,136.0,,99.4,,6.0,56.7,58.0,,99.3,199.8,115.5,46.2,8.0,False,False,True,,True,False,False,,False,False,True,False,True,,True,False,False,,False,,True,True,True,,False,False,False,True,True
