,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Oklahoma,2042,1573.6,1604.4,1983.0,,1454.4,-468.4,-437.6,-59.0,,-587.6,True,True,,False
Oregon,1150,869.0,742.6,886.0,,787.7,-281.0,-407.4,-264.0,,-362.3,False,True,,False
Pennsylvania,12371,8844.7,9245.0,8926.0,,8316.8,-3526.3,-3126.0,-3445.0,,-4054.2,True,True,,False
Rhode Island,1509,1276.7,1194.6,1147.0,,1155.3,-232.3,-314.4,-362.0,,-353.7,False,False,,False
South Carolina,4685,5339.7,5041.1,4647.0,,4473.8,654.7,356.1,-38.0,,-211.2,True,True,,True
South Dakota,1243,325.4,403.5,499.0,,239.2,-917.6,-839.5,-744.0,,-1003.8,True,True,,False
Tennessee,5400,4816.6,3574.8,4358.0,,3995.0,-583.4,-1825.2,-1042.0,,-1405.0,False,False,,False
Texas,24542,24060.7,18333.5,23194.0,25011.0,20436.7,-177.3,-5904.5,-1044.0,773.0,-3801.3,False,False,False,False
Utah,1038,574.4,919.8,931.0,,639.1,-463.6,-118.2,-107.0,,-398.9,True,True,,True
Vermont,95,58.0,63.8,93.0,,60.7,-37.0,-31.2,-2.0,,-34.3,True,True,,True
Virginia,4409,3315.4,3898.5,4191.0,,3094.5,-1093.6,-510.5,-218.0,,-1314.5,True,True,,False
Washington,2941,2479.6,2434.0,2350.0,,2647.6,-469.4,-515.0,-599.0,,-301.4,False,False,,True
West Virginia,966,498.4,1263.2,854.0,,449.5,-467.6,297.2,-112.0,,-516.5,True,True,,False
Wisconsin,4324,1750.0,2479.6,1986.0,,1628.0,-2516.0,-1786.4,-2280.0,,-2638.0,True,True,,False
Wyoming,321,42.0,72.5,205.0,,49.1,-279.0,-248.5,-116.0,,-271.9,True,True,,True
US,298158,260028.1,232176.1,260283.0,253934.0,233484.0,-37773.9,-65625.9,-37519.0,-43868.0,-64318.0,False,True,False,False
