,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,LANL-GrowthRate,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-LANL-GrowthRate,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10075,8981.6,9379.8,9211.1,11553.0,9392.6,8718.0,,9885.5,9050.0,9130.4,9367.3,8716.5,,,9067.2,9253.3,9705.0,8580.4,-1093.4,-695.2,-863.9,1478.0,-682.4,-1357.0,,-189.5,-1025.0,-944.6,-707.7,-1358.5,,,-1007.8,-821.7,-370.0,-1494.6,True,True,False,True,False,,True,True,True,True,False,,,True,True,True,False
Hawaii,271,383.4,661.4,394.1,361.0,338.9,288.0,,329.0,,355.6,295.8,279.1,,,257.8,252.4,327.0,263.2,112.4,390.4,123.1,90.0,67.9,17.0,,58.0,,84.6,24.8,8.1,,,-13.2,-18.6,56.0,-7.8,False,False,True,True,True,,True,,True,True,True,,,True,True,True,True
Idaho,1169,881.6,1655.5,873.4,924.0,865.1,711.0,,712.8,801.0,974.5,934.2,701.6,,,780.6,980.9,970.0,663.8,-287.4,486.5,-295.6,-245.0,-303.9,-458.0,,-456.2,-368.0,-194.5,-234.8,-467.4,,,-388.4,-188.1,-199.0,-505.2,False,False,True,False,False,,False,False,True,True,False,,,False,True,True,False
Illinois,15232,11839.0,13986.8,11845.7,28424.0,13031.9,12109.0,,13057.1,11282.0,13050.6,13503.2,10961.0,,,10949.5,17022.7,12872.0,10291.2,-3393.0,-1245.2,-3386.3,13192.0,-2200.1,-3123.0,,-2174.9,-3950.0,-2181.4,-1728.8,-4271.0,,,-4282.5,1790.7,-2360.0,-4940.8,True,True,False,True,True,,True,False,True,True,False,,,False,True,True,False
Indiana,7600,5453.4,6618.0,5517.5,10910.0,6287.7,5351.0,,6433.6,5245.0,6394.0,6056.2,4965.5,,,4840.0,8192.1,6732.0,4281.1,-2012.6,-848.0,-1948.5,3444.0,-1178.3,-2115.0,,-1032.4,-2221.0,-1072.0,-1409.8,-2500.5,,,-2626.0,726.1,-734.0,-3184.9,True,True,False,True,False,,True,False,True,True,False,,,False,True,True,False
Iowa,3208,2341.3,2895.9,2375.8,2957.0,2409.0,2096.0,,2512.4,2129.5,2534.7,2536.4,2065.0,,,2132.3,2654.4,2462.0,1868.7,-866.7,-312.1,-832.2,-251.0,-799.0,-1112.0,,-695.6,-1078.5,-673.3,-671.6,-1143.0,,,-1075.7,-553.6,-746.0,-1339.3,True,True,True,True,False,,True,False,True,True,False,,,False,True,True,False
Kansas,2072,1621.1,2070.5,1635.1,3142.0,1689.5,1375.0,,2196.9,1402.0,1874.8,2190.9,1235.7,,,1350.2,1272.5,1624.0,1175.6,-431.9,17.5,-417.9,1089.0,-363.5,-678.0,,143.9,-651.0,-178.2,137.9,-817.3,,,-702.8,-780.5,-429.0,-877.4,True,True,False,True,False,,True,False,True,True,False,,,False,False,True,False
Kentucky,2192,2017.3,2662.9,2047.9,2140.0,2055.8,1959.0,,2079.8,1967.0,2172.4,2145.8,1788.8,,,1944.0,2862.0,2355.0,1615.5,-174.7,470.9,-144.1,-52.0,-136.2,-233.0,,-112.2,-225.0,-19.6,-46.2,-403.2,,,-248.0,670.0,163.0,-576.5,False,True,True,True,False,,True,False,True,True,False,,,False,False,True,False
Louisiana,6767,6433.6,6404.8,6477.6,6800.0,6477.4,6066.0,,6771.0,6387.0,6393.2,6507.0,6223.0,,,6650.2,6685.0,6324.0,6122.7,-333.4,-362.2,-289.4,33.0,-289.6,-701.0,,4.0,-380.0,-373.8,-260.0,-544.0,,,-116.8,-82.0,-443.0,-644.3,False,True,True,True,False,,True,False,False,True,False,,,True,True,False,False
Maine,257,146.0,149.6,152.4,159.0,157.7,159.0,,161.0,168.0,154.4,229.0,158.5,,,148.2,233.7,160.0,155.5,-111.0,-107.4,-104.6,-98.0,-99.3,-98.0,,-96.0,-89.0,-102.6,-28.0,-98.5,,,-108.8,-23.3,-97.0,-101.5,True,True,True,True,True,,True,True,True,True,True,,,True,True,True,True
Maryland,5100,4500.6,4511.2,4485.4,4467.0,4412.8,4217.0,,4696.0,4304.0,4448.9,4514.4,4277.7,,19039.0,4295.0,5322.1,4492.0,4234.3,-599.4,-588.8,-614.6,-633.0,-687.2,-883.0,,-404.0,-796.0,-651.1,-585.6,-822.3,,13939.0,-805.0,222.1,-608.0,-865.7,True,False,False,False,False,,True,False,False,True,False,,False,False,True,False,False
Massachusetts,11307,10734.9,10919.4,10711.1,10758.0,11192.5,10785.0,,11080.6,10564.0,11011.5,10992.8,10438.7,,,10214.8,13549.3,11244.0,10144.4,-572.1,-387.6,-595.9,-549.0,-114.5,-522.0,,-226.4,-743.0,-295.5,-314.2,-868.3,,,-1092.2,2242.3,-63.0,-1162.6,True,False,True,True,True,,True,False,True,True,False,,,False,False,True,False
Michigan,11195,8770.0,10689.5,8805.5,13974.0,9346.4,8718.0,,9812.8,8812.0,9724.5,10308.8,7906.1,,,8095.8,12471.6,10449.0,7750.0,-2425.0,-505.5,-2389.5,2779.0,-1848.6,-2477.0,,-1382.2,-2383.0,-1470.5,-886.2,-3288.9,,,-3099.2,1276.6,-746.0,-3445.0,True,True,False,True,False,,True,True,True,True,False,,,False,True,True,False
Minnesota,4418,3190.6,3693.1,3158.0,3899.0,3501.7,3346.0,,3889.8,3280.0,3529.8,3375.2,2858.3,,,2947.0,4361.5,3355.0,2601.2,-1227.4,-724.9,-1260.0,-519.0,-916.3,-1072.0,,-528.2,-1138.0,-888.2,-1042.8,-1559.7,,,-1471.0,-56.5,-1063.0,-1816.8,True,False,True,True,True,,True,True,True,True,False,,,False,True,True,False
Mississippi,4180,3831.0,3919.7,3843.4,4468.0,3981.9,3571.0,,4247.8,3743.0,4065.3,4054.0,3469.1,,,3790.6,4083.8,3894.0,3626.6,-349.0,-260.3,-336.6,288.0,-198.1,-609.0,,67.8,-437.0,-114.7,-126.0,-710.9,,,-389.4,-96.2,-286.0,-553.4,True,True,True,True,False,,True,False,True,True,False,,,False,True,True,False
Missouri,4631,4383.4,4299.7,4396.7,5740.0,4842.0,3796.0,,3846.4,3773.0,5202.1,4682.8,3574.8,,,3164.2,4344.9,4039.0,3095.8,-228.6,-312.3,-215.3,1128.0,230.0,-816.0,,-765.6,-839.0,590.1,70.8,-1037.2,,,-1447.8,-267.1,-573.0,-1516.2,False,True,False,False,False,,False,False,False,True,False,,,False,False,False,False
Montana,816,681.0,843.3,679.3,798.0,776.7,588.0,,784.3,536.0,949.3,1315.6,511.6,,,434.5,709.9,718.0,386.2,-135.0,27.3,-136.7,-18.0,-39.3,-228.0,,-31.7,-280.0,133.3,499.6,-304.4,,,-381.5,-106.1,-98.0,-429.8,True,False,True,True,False,,True,False,True,False,False,,,False,True,True,False
Nebraska,1365,925.1,1722.5,931.0,1251.0,978.0,987.0,,846.5,889.0,1026.5,1029.0,726.9,,,750.6,947.0,919.0,689.0,-439.9,357.5,-434.0,-114.0,-387.0,-378.0,,-518.5,-476.0,-338.5,-336.0,-638.1,,,-614.4,-418.0,-446.0,-676.0,True,True,True,True,True,,False,False,True,True,False,,,False,True,False,False
Nevada,2520,1977.1,1904.4,1963.5,2234.0,2208.1,1912.0,,2679.3,2031.0,2136.5,2216.5,1964.7,,,2142.1,2556.7,2034.0,1943.8,-538.9,-611.6,-552.5,-282.0,-307.9,-604.0,,163.3,-485.0,-379.5,-299.5,-551.3,,,-373.9,40.7,-482.0,-572.2,False,False,True,True,False,,True,True,True,True,False,,,True,True,True,False
New Hampshire,600,521.0,486.0,526.3,611.0,694.2,570.0,,823.7,534.0,607.2,658.1,512.1,,,506.5,834.5,583.0,488.2,-79.0,-114.0,-73.7,11.0,94.2,-30.0,,223.7,-66.0,7.2,58.1,-87.9,,,-93.5,234.5,-17.0,-111.8,False,True,True,False,True,,False,True,True,True,False,,,False,False,True,False
New Jersey,17732,16792.4,17293.8,17092.7,16848.0,17149.1,17576.0,,16458.3,16592.0,16783.6,17248.2,16502.7,,,16561.4,21739.1,17076.0,16451.4,-939.6,-438.2,-639.3,-884.0,-582.9,-156.0,,-1273.7,-1140.0,-948.4,-483.8,-1229.3,,,-1170.6,4007.1,-656.0,-1280.6,True,True,True,True,True,,False,False,False,True,False,,,False,False,True,False
New Mexico,1913,1193.3,1462.4,1217.0,2208.0,1478.0,1129.0,,1500.3,1120.0,1535.6,1548.0,1149.8,,,1097.5,2112.4,1675.0,1073.8,-719.7,-450.6,-696.0,295.0,-435.0,-784.0,,-412.7,-793.0,-377.4,-365.0,-763.2,,,-815.5,199.4,-238.0,-839.2,True,True,True,True,False,,True,False,True,True,False,,,False,True,True,False
New York,35504,33867.7,33735.9,34676.2,33999.0,34860.5,34293.0,,34272.9,33847.0,34229.4,35076.6,33658.8,,,33723.6,40461.4,34013.0,33406.8,-1416.3,-1548.1,-607.8,-1285.0,-423.5,-991.0,,-1011.1,-1437.0,-1054.6,-207.4,-1625.2,,,-1560.4,5177.4,-1271.0,-1877.2,False,True,True,True,True,,True,False,True,True,False,,,False,False,True,False
North Carolina,5796,5686.1,7110.1,5649.3,7315.0,5708.1,5154.0,,5601.5,5446.0,6002.9,5319.7,4867.5,,,5108.2,5829.6,5701.0,4765.6,-109.9,1314.1,-146.7,1519.0,-87.9,-642.0,,-194.5,-350.0,206.9,-476.3,-928.5,,,-687.8,33.6,-95.0,-1030.4,False,False,False,True,False,,False,False,False,False,False,,,False,True,True,False
North Dakota,1152,812.6,715.5,790.9,2728.0,1270.1,807.0,,961.7,861.0,1124.9,1652.1,753.2,,,709.1,808.3,1195.0,607.8,-339.4,-436.5,-361.1,1576.0,118.1,-345.0,,-190.3,-291.0,-27.1,500.1,-398.8,,,-442.9,-343.7,43.0,-544.2,False,False,False,True,False,,True,True,True,False,False,,,False,False,True,False
Ohio,10094,6159.1,11869.4,6183.1,8551.0,6468.3,6157.0,,6689.9,6319.0,6177.5,6735.6,5613.0,,,5965.1,9689.9,7272.0,5790.7,-4099.9,1610.4,-4075.9,-1708.0,-3790.7,-4102.0,,-3569.1,-3940.0,-4081.5,-3523.4,-4646.0,,,-4293.9,-569.1,-2987.0,-4468.3,True,True,True,True,False,,True,True,True,True,False,,,False,True,True,False
Oklahoma,2042,1783.9,2276.6,1825.8,1784.0,1698.3,1798.0,,2209.4,1741.0,1850.0,1791.5,1542.8,,,1695.3,2105.1,1855.0,1452.3,-258.1,234.6,-216.2,-258.0,-343.7,-244.0,,167.4,-301.0,-192.0,-250.5,-499.2,,,-346.7,63.1,-187.0,-589.7,True,True,True,False,True,,True,False,True,True,False,,,False,True,True,False
Oregon,1150,879.3,1036.7,891.0,775.0,903.8,797.0,,883.0,799.0,859.5,879.4,769.7,,,846.8,1039.6,906.0,743.8,-270.7,-113.3,-259.0,-375.0,-246.2,-353.0,,-267.0,-351.0,-290.5,-270.6,-380.3,,,-303.2,-110.4,-244.0,-406.2,True,True,False,True,False,,True,False,False,True,False,,,False,True,True,False
Pennsylvania,12371,9895.0,10566.7,10001.1,11723.0,10490.4,9833.0,,11432.4,9710.0,10405.6,10707.1,9241.4,,,9261.2,13546.2,10206.0,9196.1,-2476.0,-1804.3,-2369.9,-648.0,-1880.6,-2538.0,,-938.6,-2661.0,-1965.4,-1663.9,-3129.6,,,-3109.8,1175.2,-2165.0,-3174.9,True,True,True,True,False,,True,False,True,True,False,,,False,True,True,False
Rhode Island,1622,1348.4,1469.2,1368.0,2816.0,1542.2,1387.0,,1365.1,1324.0,1438.0,1539.0,1253.9,,,1256.6,1561.1,1453.0,1189.5,-257.6,-136.8,-238.0,1210.0,-63.8,-219.0,,-240.9,-282.0,-168.0,-67.0,-352.1,,,-349.4,-44.9,-153.0,-416.5,True,True,False,True,True,,True,False,True,True,False,,,False,True,True,False
South Carolina,4685,4844.3,6443.0,4886.2,4654.0,4384.8,4244.0,,4853.6,4318.0,4469.4,4396.1,4324.0,,,4596.7,4844.4,4717.0,4266.8,159.3,1758.0,201.2,-31.0,-300.2,-441.0,,168.6,-367.0,-215.6,-288.9,-361.0,,,-88.3,159.4,32.0,-418.2,False,False,True,False,False,,False,False,False,False,False,,,True,False,True,False
South Dakota,1243,731.6,877.8,723.0,1373.0,902.2,759.0,,678.8,638.0,886.3,1019.6,674.0,,,585.4,843.6,756.0,469.6,-511.4,-365.2,-520.0,130.0,-340.8,-484.0,,-564.2,-605.0,-356.7,-223.4,-569.0,,,-657.6,-399.4,-487.0,-773.4,True,False,True,True,True,,False,False,True,True,False,,,False,True,True,False
Tennessee,5400,4653.3,5510.1,4479.7,7166.0,5109.3,4074.0,,4999.1,4372.0,5151.5,5039.1,4133.6,,,4314.9,4844.4,4433.0,3623.9,-746.7,110.1,-920.3,1766.0,-290.7,-1326.0,,-400.9,-1028.0,-248.5,-360.9,-1266.4,,,-1085.1,-555.6,-967.0,-1776.1,True,False,False,True,False,,True,False,True,True,False,,,False,True,False,False
Texas,24542,21315.0,21402.9,21241.0,20338.0,21082.8,20019.0,,21655.7,21101.0,21544.4,22361.2,19537.8,,34705.0,20817.5,23890.2,21869.0,20135.6,-2921.0,-2833.1,-2995.0,-3898.0,-3153.2,-4217.0,,-2580.3,-3135.0,-2691.6,-1874.8,-4698.2,,10469.0,-3418.5,-345.8,-2367.0,-4100.4,True,False,False,False,False,,True,False,True,True,False,,False,False,True,True,False
Utah,1038,770.9,817.4,764.3,800.0,1093.8,729.0,,1038.8,843.0,910.3,702.5,776.4,,,767.7,1051.3,799.0,519.9,-267.1,-220.6,-273.7,-238.0,55.8,-309.0,,0.8,-195.0,-127.7,-335.5,-261.6,,,-270.3,13.3,-239.0,-518.1,True,False,True,True,False,,True,True,True,False,True,,,False,True,True,False
Vermont,95,58.0,58.5,61.9,58.0,59.5,63.0,,60.7,58.0,58.0,60.9,65.8,,,58.0,198.8,58.0,57.9,-37.0,-36.5,-33.1,-37.0,-35.5,-32.0,,-34.3,-37.0,-37.0,-34.1,-29.2,,,-37.0,103.8,-37.0,-37.1,True,True,False,True,True,,True,False,False,True,True,,,False,False,False,False
Virginia,4409,4569.3,6403.2,4658.5,4542.0,4261.4,3756.0,,3991.1,4335.0,4248.3,4388.1,3965.4,,,4088.6,4620.1,4449.0,4002.5,164.3,1998.2,253.5,137.0,-143.6,-649.0,,-413.9,-70.0,-156.7,-16.9,-439.6,,,-316.4,215.1,44.0,-402.5,False,False,True,True,False,,False,True,True,True,False,,,False,False,True,False
Washington,2941,2686.9,3171.0,2695.5,2774.0,2744.9,2538.0,,2693.2,2696.0,2910.5,2831.3,2516.7,,,2667.5,3289.2,2770.0,2511.9,-265.1,219.0,-256.5,-178.0,-207.1,-414.0,,-258.8,-256.0,-41.5,-120.7,-435.3,,,-284.5,337.2,-182.0,-440.1,True,True,True,True,False,,True,True,True,True,False,,,False,False,True,False
West Virginia,966,582.7,996.5,585.0,877.0,598.1,612.0,,603.0,655.0,597.7,1045.0,508.9,,,563.3,669.1,598.0,495.9,-383.3,30.5,-381.0,-89.0,-367.9,-354.0,,-363.0,-311.0,-368.3,79.0,-457.1,,,-402.7,-296.9,-368.0,-470.1,True,True,True,True,True,,True,True,True,True,False,,,False,True,True,False
Wisconsin,4324,3176.9,5145.4,3142.6,2966.0,3098.0,2595.0,,3540.4,2971.0,3453.7,3447.1,2520.1,,,2606.8,3911.1,2913.0,2064.2,-844.1,1124.4,-878.4,-1055.0,-923.0,-1426.0,,-480.6,-1050.0,-567.3,-573.9,-1500.9,,,-1414.2,-109.9,-1108.0,-1956.8,False,False,False,False,False,,True,False,True,True,False,,,False,True,False,False
Wyoming,321,143.4,519.9,145.0,156.0,160.3,119.0,,82.5,100.0,135.7,168.3,111.2,,,85.6,197.2,159.0,79.1,-177.6,198.9,-176.0,-165.0,-160.7,-202.0,,-238.5,-221.0,-185.3,-152.7,-209.8,,,-235.4,-123.8,-162.0,-241.9,False,True,True,True,False,,False,False,False,True,False,,,False,True,True,False
US,301831,263320.4,285017.1,264142.2,290940.0,286001.3,255783.0,273967.0,280466.0,259914.0,276287.3,279970.3,244294.6,277245.3,255224.0,255075.5,313811.9,279447.0,247228.5,-37624.6,-15927.9,-36802.8,-10005.0,-14943.7,-45162.0,-26978.0,-20479.0,-41031.0,-24657.7,-20974.7,-56650.4,-23699.7,-45721.0,-45869.5,12866.9,-21498.0,-53716.5,True,True,True,True,False,True,True,False,True,True,False,True,False,False,True,True,False
