,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10075,8988.4,9271.0,9004.5,10673.0,9545.3,8734.0,,9244.0,9169.3,9104.1,8693.3,8652.0,,8735.5,9579.0,,,8913.8,9423.0,8607.3,-1086.6,-804.0,-1070.5,598.0,-529.7,-1341.0,,-831.0,-905.7,-970.9,-1381.7,-1423.0,,-1339.5,-496.0,,,-1161.2,-652.0,-1467.7,True,True,True,True,False,,True,True,True,False,False,,False,True,,,False,True,False
Hawaii,271,260.0,576.9,262.1,,343.6,284.0,,,363.3,314.0,373.8,268.0,,703.7,325.5,,,238.5,244.0,258.7,-11.0,305.9,-8.9,,72.6,13.0,,,92.3,43.0,102.8,-3.0,,432.7,54.5,,,-32.5,-27.0,-12.3,False,True,,False,False,,,False,False,False,True,,False,False,,,False,False,False
Idaho,1169,963.9,1563.2,970.8,1028.0,978.1,802.0,,923.0,1045.5,914.3,788.8,1214.0,,1028.2,1118.0,,,905.8,885.0,730.2,-205.1,394.2,-198.2,-141.0,-190.9,-367.0,,-246.0,-123.5,-254.7,-380.2,45.0,,-140.8,-51.0,,,-263.2,-284.0,-438.8,False,True,True,True,False,,False,True,False,False,True,,True,True,,,False,False,False
Illinois,15231,11832.1,13663.2,11451.1,20356.0,14377.2,12104.0,,11676.0,12680.2,12808.4,11429.5,12969.5,13193.5,11472.9,11189.5,,,10894.6,12326.0,10518.1,-3398.9,-1567.8,-3779.9,5125.0,-853.8,-3127.0,,-3555.0,-2550.8,-2422.6,-3801.5,-2261.5,-2037.5,-3758.1,-4041.5,,,-4336.4,-2905.0,-4712.9,True,False,False,True,True,,False,True,True,False,True,True,False,False,,,False,True,False
Indiana,6758,5734.6,6385.7,5616.4,7934.0,6769.1,8207.0,,5511.0,6337.2,6209.4,5163.0,6424.0,5625.0,6243.7,5184.5,,,5166.1,6731.0,4498.2,-1023.4,-372.3,-1141.6,1176.0,11.1,1449.0,,-1247.0,-420.8,-548.6,-1595.0,-334.0,-1133.0,-514.3,-1573.5,,,-1591.9,-27.0,-2259.8,True,False,False,True,False,,False,True,True,False,True,False,True,False,,,False,True,False
Iowa,3208,2307.0,2748.7,2208.2,3442.0,2672.1,2265.0,,2298.0,2534.6,2573.4,2052.2,2844.0,,2320.6,2234.0,,,2028.9,2867.0,1954.9,-901.0,-459.3,-999.8,234.0,-535.9,-943.0,,-910.0,-673.4,-634.6,-1155.8,-364.0,,-887.4,-974.0,,,-1179.1,-341.0,-1253.1,True,False,True,True,False,,False,True,True,False,True,,True,False,,,False,True,False
Kansas,2072,1429.1,1879.4,1438.8,2151.0,2011.0,1440.0,,1539.0,1784.1,1875.1,1307.1,1816.5,,1298.9,1921.0,,,1266.4,1484.0,1228.0,-638.9,-188.6,-629.2,83.0,-57.0,-628.0,,-529.0,-283.9,-192.9,-760.9,-251.5,,-769.1,-147.0,,,-801.6,-584.0,-840.0,True,True,True,True,True,,True,True,True,False,True,,False,True,,,False,True,False
Kentucky,2192,1969.3,2495.5,1970.8,2607.0,2269.6,2042.0,,2088.0,2221.3,2306.9,1930.2,2424.0,2740.0,1714.9,1922.0,,,1933.3,2444.0,1688.9,-222.7,303.5,-221.2,415.0,77.6,-150.0,,-104.0,29.3,114.9,-261.8,232.0,548.0,-477.1,-270.0,,,-258.7,252.0,-503.1,False,True,False,True,True,,True,True,True,False,False,False,False,False,,,False,False,False
Louisiana,6767,6447.3,6432.5,6515.6,6961.0,6531.0,6121.0,,6412.0,6548.2,6267.1,6252.1,6518.0,,6340.7,6146.0,,,6666.6,6329.0,6139.2,-319.7,-334.5,-251.4,194.0,-236.0,-646.0,,-355.0,-218.8,-499.9,-514.9,-249.0,,-426.3,-621.0,,,-100.4,-438.0,-627.8,False,True,True,True,False,,False,True,False,False,True,,False,False,,,True,False,False
Maine,257,152.9,149.1,155.8,179.0,161.3,161.0,,195.0,153.5,245.3,179.1,154.0,,153.3,158.0,,,152.1,161.0,155.0,-104.1,-107.9,-101.2,-78.0,-95.7,-96.0,,-62.0,-103.5,-11.7,-77.9,-103.0,,-103.7,-99.0,,,-104.9,-96.0,-102.0,False,True,True,True,True,,True,True,True,True,True,,True,True,,,False,True,True
Maryland,5100,4480.0,4554.5,4488.0,4816.0,4504.1,4240.0,,4363.0,4525.2,4454.4,4603.6,4667.0,,4563.8,4349.0,,17301.0,4429.7,4654.0,4347.9,-620.0,-545.5,-612.0,-284.0,-595.9,-860.0,,-737.0,-574.8,-645.6,-496.4,-433.0,,-536.2,-751.0,,12201.0,-670.3,-446.0,-752.1,True,True,True,True,False,,False,True,False,True,True,,True,False,,False,False,True,False
Massachusetts,11307,10885.7,10965.4,10927.0,12565.0,11320.4,10997.0,,10678.0,11247.6,11140.6,10467.3,11110.0,,10994.8,10507.5,,,10605.5,11727.0,10260.1,-421.3,-341.6,-380.0,1258.0,13.4,-310.0,,-629.0,-59.4,-166.4,-839.7,-197.0,,-312.2,-799.5,,,-701.5,420.0,-1046.9,True,True,False,True,True,,False,True,True,False,True,,True,False,,,False,True,False
Michigan,11195,8735.7,10246.8,8765.9,15860.0,10444.1,9159.0,,8938.0,9683.8,9947.5,8794.2,10159.5,9727.5,7904.2,8340.0,,,8281.9,10212.0,7955.7,-2459.3,-948.2,-2429.1,4665.0,-750.9,-2036.0,,-2257.0,-1511.2,-1247.5,-2400.8,-1035.5,-1467.5,-3290.8,-2855.0,,,-2913.1,-983.0,-3239.3,True,True,False,True,True,,True,True,True,True,True,True,False,False,,,False,True,False
Minnesota,4418,3272.9,3656.5,3291.2,4048.0,3694.4,3906.0,,3442.0,3613.0,3264.4,2993.6,3921.0,3251.0,3850.0,3121.0,,,3139.0,3548.0,2727.4,-1145.1,-761.5,-1126.8,-370.0,-723.6,-512.0,,-976.0,-805.0,-1153.6,-1424.4,-497.0,-1167.0,-568.0,-1297.0,,,-1279.0,-870.0,-1690.6,True,True,True,True,True,,True,True,False,False,True,False,True,False,,,False,True,False
Mississippi,4180,3892.7,3888.1,3807.6,3951.0,3945.6,3629.0,,3763.0,3819.5,3807.0,3576.5,3774.0,,3903.0,3874.0,,,3861.1,3844.0,3675.8,-287.3,-291.9,-372.4,-229.0,-234.4,-551.0,,-417.0,-360.5,-373.0,-603.5,-406.0,,-277.0,-306.0,,,-318.9,-336.0,-504.2,False,False,True,True,False,,False,False,False,False,False,,True,False,,,False,False,False
Missouri,4602,4314.9,4579.7,4410.3,5336.0,4883.8,3978.0,,4056.0,5009.1,4100.6,3623.0,4606.0,,5684.2,4821.0,,,3838.7,4732.0,3295.3,-287.1,-22.3,-191.7,734.0,281.8,-624.0,,-546.0,407.1,-501.4,-979.0,4.0,,1082.2,219.0,,,-763.3,130.0,-1306.7,True,True,False,True,False,,False,False,False,False,True,,False,True,,,False,True,False
Montana,816,838.7,839.9,861.0,810.0,951.6,729.0,,878.0,1009.1,978.3,465.3,1015.0,,583.2,1179.0,,,752.2,898.0,499.0,22.7,23.9,45.0,-6.0,135.6,-87.0,,62.0,193.1,162.3,-350.7,199.0,,-232.8,363.0,,,-63.8,82.0,-317.0,False,False,True,False,False,,False,False,False,False,False,,False,False,,,False,False,False
Nebraska,1365,993.7,1502.8,993.9,1159.0,1117.4,1028.0,,990.0,1143.5,1023.1,886.8,1904.0,,1043.5,968.0,,,867.0,1038.0,751.7,-371.3,137.8,-371.1,-206.0,-247.6,-337.0,,-375.0,-221.5,-341.9,-478.2,539.0,,-321.5,-397.0,,,-498.0,-327.0,-613.3,True,True,True,True,True,,False,True,True,False,False,,True,False,,,False,True,False
Nevada,2520,1970.3,1906.5,1976.6,2081.0,2159.8,1932.0,,1974.0,2060.5,2032.1,2030.4,1935.0,,2103.4,2023.0,,,2123.0,2044.0,1948.6,-545.7,-609.5,-539.4,-435.0,-356.2,-584.0,,-542.0,-455.5,-483.9,-485.6,-581.0,,-412.6,-493.0,,,-393.0,-472.0,-567.4,False,True,True,True,False,,True,True,True,True,False,,True,True,,,True,True,False
New Hampshire,600,541.6,493.8,544.1,587.0,634.6,580.0,,575.0,583.3,566.3,538.8,517.0,,516.1,574.0,,,530.9,587.0,501.8,-58.4,-106.2,-55.9,-13.0,34.6,-20.0,,-25.0,-16.7,-33.7,-61.2,-83.0,,-83.9,-26.0,,,-69.1,-13.0,-98.2,False,True,True,True,True,,True,True,True,False,False,,False,True,,,False,True,False
New Jersey,17732,16758.1,17219.8,16954.1,17645.0,16988.4,17485.0,,16736.0,16902.4,17507.5,16986.2,17148.0,,16974.2,16378.0,,,16606.9,17159.0,16510.9,-973.9,-512.2,-777.9,-87.0,-743.6,-247.0,,-996.0,-829.6,-224.5,-745.8,-584.0,,-757.8,-1354.0,,,-1125.1,-573.0,-1221.1,True,True,True,True,True,,False,True,True,True,True,,True,False,,,False,True,False
New Mexico,1913,1371.6,1434.3,1336.0,1541.0,1572.5,1182.0,,1288.0,1474.8,1419.9,1204.4,1514.0,,1447.6,1591.0,,,1270.0,1368.0,1124.1,-541.4,-478.7,-577.0,-372.0,-340.5,-731.0,,-625.0,-438.2,-493.1,-708.6,-399.0,,-465.4,-322.0,,,-643.0,-545.0,-788.9,True,False,True,True,False,,False,True,True,False,True,,True,True,,,False,False,False
New York,35504,34196.9,33835.6,34502.3,33965.0,34523.4,34338.0,,34136.0,34067.7,34849.0,34449.9,34053.0,,33965.2,33815.0,,,33717.6,34282.0,33561.2,-1090.1,-1451.4,-784.7,-1322.0,-763.6,-949.0,,-1151.0,-1219.3,-438.0,-837.1,-1234.0,,-1321.8,-1472.0,,,-1569.4,-1005.0,-1725.8,False,True,False,True,True,,False,False,True,True,False,,False,False,,,False,True,False
North Carolina,5796,5706.7,6796.5,5782.2,6068.0,5927.1,5292.0,,5603.0,6001.4,5449.1,5415.8,6489.0,,5114.3,5571.0,,,5575.0,6077.0,4966.1,-89.3,1000.5,-13.8,272.0,131.1,-504.0,,-193.0,205.4,-346.9,-380.2,693.0,,-681.7,-225.0,,,-221.0,281.0,-829.9,False,True,False,False,False,,False,False,False,False,False,,False,False,,,False,False,False
North Dakota,1152,970.3,773.3,980.1,1603.0,1295.2,772.0,,986.0,1357.6,1119.5,605.2,996.0,,1379.7,856.0,,,734.0,1193.0,690.7,-181.7,-378.7,-171.9,451.0,143.2,-380.0,,-166.0,205.6,-32.5,-546.8,-156.0,,227.7,-296.0,,,-418.0,41.0,-461.3,False,True,False,True,False,,True,False,True,False,True,,False,False,,,False,True,False
Ohio,7477,5871.1,10507.4,5878.0,7434.0,6264.9,6145.0,,6466.0,5961.5,6490.5,6542.1,6570.5,8620.0,5774.2,6057.0,,,5772.7,6186.0,5770.0,-1605.9,3030.4,-1599.0,-43.0,-1212.1,-1332.0,,-1011.0,-1515.5,-986.5,-934.9,-906.5,1143.0,-1702.8,-1420.0,,,-1704.3,-1291.0,-1707.0,False,True,True,True,True,,True,True,True,True,True,True,False,True,,,False,True,False
Oklahoma,2042,1907.3,2164.6,1889.0,1956.0,1881.3,1828.0,,1934.0,1894.2,1749.6,1651.3,2172.0,,1692.8,1941.0,,,1780.1,1796.0,1544.8,-134.7,122.6,-153.0,-86.0,-160.7,-214.0,,-108.0,-147.8,-292.4,-390.7,130.0,,-349.2,-101.0,,,-261.9,-246.0,-497.2,True,False,True,False,False,,True,False,False,False,True,,False,True,,,False,False,False
Oregon,1150,913.6,1006.2,905.0,887.0,922.5,830.0,,868.0,885.7,902.1,960.3,1187.0,,741.1,859.0,,,832.5,1008.0,777.9,-236.4,-143.8,-245.0,-263.0,-227.5,-320.0,,-282.0,-264.3,-247.9,-189.7,37.0,,-408.9,-291.0,,,-317.5,-142.0,-372.1,True,False,False,True,False,,False,False,False,True,True,,False,False,,,False,True,False
Pennsylvania,12371,9716.7,10447.2,9790.6,11768.0,10657.9,9856.0,,9960.0,10414.0,10422.2,9981.6,10151.0,,10658.8,9848.0,,,9443.5,10404.0,9294.3,-2654.3,-1923.8,-2580.4,-603.0,-1713.1,-2515.0,,-2411.0,-1957.0,-1948.8,-2389.4,-2220.0,,-1712.2,-2523.0,,,-2927.5,-1967.0,-3076.7,True,True,True,True,True,,True,True,True,True,True,,True,True,,,False,True,False
Rhode Island,1509,1341.6,1418.3,1356.1,2189.0,1688.3,1433.0,,1359.0,1484.1,1465.2,1317.5,1829.0,,1486.6,1323.0,,,1275.5,1363.0,1213.7,-167.4,-90.7,-152.9,680.0,179.3,-76.0,,-150.0,-24.9,-43.8,-191.5,320.0,,-22.4,-186.0,,,-233.5,-146.0,-295.3,True,True,False,False,True,,True,True,True,False,False,,True,False,,,False,True,False
South Carolina,4685,4720.9,6126.3,4786.7,5941.0,4770.3,4350.0,,4693.0,4553.3,4645.2,4301.3,5579.0,,4284.6,4354.0,,,4575.9,4873.0,4364.1,35.9,1441.3,101.7,1256.0,85.3,-335.0,,8.0,-131.7,-39.8,-383.7,894.0,,-400.4,-331.0,,,-109.1,188.0,-320.9,False,False,False,False,False,,True,False,False,False,False,,False,False,,,False,False,False
South Dakota,1243,800.1,936.2,778.9,1275.0,989.3,787.0,,782.0,989.0,939.2,474.1,995.0,,1291.3,1094.5,,,587.9,801.0,543.0,-442.9,-306.8,-464.1,32.0,-253.7,-456.0,,-461.0,-254.0,-303.8,-768.9,-248.0,,48.3,-148.5,,,-655.1,-442.0,-700.0,True,False,True,True,False,,False,True,True,False,True,,True,True,,,False,True,False
Tennessee,5400,4653.3,5699.4,4871.1,6848.0,5296.3,4255.0,,4475.0,5231.3,4646.5,4173.2,4662.0,,4112.0,4726.0,,,4933.7,4740.0,3844.9,-746.7,299.4,-528.9,1448.0,-103.7,-1145.0,,-925.0,-168.7,-753.5,-1226.8,-738.0,,-1288.0,-674.0,,,-466.3,-660.0,-1555.1,True,True,False,True,False,,False,True,False,False,True,,False,True,,,True,True,False
Texas,24308,21705.9,21869.1,21763.0,25766.0,21978.0,20287.0,,21900.0,22274.0,22543.1,20776.6,22012.5,,22524.9,25034.5,,32123.0,21685.7,23625.0,20452.9,-2502.1,-2338.9,-2445.0,1558.0,-2230.0,-3921.0,,-2308.0,-1934.0,-1664.9,-3431.4,-2195.5,,-1683.1,826.5,,7915.0,-2522.3,-583.0,-3755.1,True,True,True,True,False,,True,True,True,False,True,,True,True,,False,False,True,False
Utah,1038,860.0,824.3,820.0,765.0,1119.4,731.0,,889.0,915.4,627.6,804.3,790.0,,898.2,953.0,,,838.9,828.0,538.5,-178.0,-213.7,-218.0,-273.0,81.4,-307.0,,-149.0,-122.6,-410.4,-233.7,-248.0,,-139.8,-85.0,,,-199.1,-210.0,-499.5,False,False,False,True,False,,True,True,False,False,False,,True,True,,,False,False,False
Vermont,95,58.0,58.4,60.6,58.0,58.8,61.0,,59.0,58.0,60.4,73.4,59.0,,64.8,58.0,,,58.8,58.0,57.9,-37.0,-36.6,-34.4,-37.0,-36.2,-34.0,,-36.0,-37.0,-34.6,-21.6,-36.0,,-30.2,-37.0,,,-36.2,-37.0,-37.1,True,True,False,True,True,,True,False,True,True,True,,True,False,,,True,False,False
Virginia,4409,4100.1,5875.9,4116.6,4554.0,4245.0,3830.0,,4365.0,4166.9,4485.4,4349.2,4325.5,,4070.0,4466.0,,,3876.3,4498.0,4032.6,-308.9,1466.9,-292.4,145.0,-164.0,-579.0,,-44.0,-242.1,76.4,-59.8,-83.5,,-339.0,57.0,,,-532.7,89.0,-376.4,False,True,True,True,False,,True,True,True,True,True,,False,True,,,False,True,False
Washington,2941,2776.0,2973.8,2786.2,2857.0,2839.5,2607.0,,2781.0,2899.7,2741.3,2832.2,2897.0,,2613.6,2991.0,,,2811.6,2833.0,2562.6,-178.0,19.8,-167.8,-97.0,-114.5,-347.0,,-173.0,-54.3,-212.7,-121.8,-57.0,,-340.4,37.0,,,-142.4,-121.0,-391.4,True,True,True,True,False,,True,True,False,True,True,,False,True,,,True,True,False
West Virginia,966,665.0,889.5,668.9,1017.0,610.2,674.0,,664.0,673.2,837.1,643.0,781.0,,634.4,586.0,,,659.2,781.0,533.1,-301.0,-76.5,-297.1,51.0,-355.8,-292.0,,-302.0,-292.8,-128.9,-323.0,-185.0,,-331.6,-380.0,,,-306.8,-185.0,-432.9,True,True,True,False,True,,False,True,True,False,True,,False,False,,,False,True,False
Wisconsin,4324,3622.6,4854.3,3597.5,5325.0,3734.1,2892.0,,3282.0,4128.0,3811.4,2846.3,5833.5,3034.0,3054.4,3745.0,,,3384.9,3876.0,2377.8,-385.4,846.3,-410.5,1317.0,-273.9,-1116.0,,-726.0,120.0,-196.6,-1161.7,1825.5,-974.0,-953.6,-263.0,,,-623.1,-132.0,-1630.2,False,False,False,True,False,,False,True,True,False,False,False,False,True,,,False,True,False
Wyoming,321,198.3,435.4,201.0,432.0,212.4,153.0,,201.0,238.1,291.7,133.4,136.0,,109.1,265.0,,,129.3,252.0,92.3,-122.7,114.4,-120.0,111.0,-108.6,-168.0,,-120.0,-82.9,-29.3,-187.6,-185.0,,-211.9,-56.0,,,-191.7,-69.0,-228.7,True,True,True,True,False,,True,True,True,False,False,,False,True,,,False,True,False
US,297904,264743.9,281643.7,264431.7,288589.0,286737.3,265080.0,275278.0,264598.0,277051.7,274118.7,257588.0,272333.5,,263935.3,269116.0,280936.3,261083.0,262787.6,280692.0,250700.3,-32532.1,-15632.3,-32844.3,-8687.0,-10538.7,-32196.0,-21998.0,-32678.0,-20224.3,-23157.3,-39688.0,-24942.5,,-33340.7,-28160.0,-16339.7,-36193.0,-34488.4,-16584.0,-46575.7,True,False,True,True,True,True,False,True,True,False,True,,False,True,True,False,False,True,False
