,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,10075,9228.6,10092.0,9262.8,9761.0,9379.8,8816.0,,9303.0,9286.5,9238.4,8747.4,9608.1,9232.0,,9024.4,8924.0,,9267.7,,9369.0,8697.6,-392.4,471.0,-358.2,140.0,-241.2,-805.0,,-318.0,-334.5,-382.6,-873.6,-12.9,-389.0,,-596.6,-697.0,,-353.3,,-252.0,-923.4,False,True,True,True,False,,True,True,True,False,True,True,,False,False,,True,,True,False
Hawaii,271,230.7,221.6,230.9,244.0,308.0,272.0,,,277.3,275.9,279.2,252.3,229.0,,604.0,330.0,,241.3,,242.0,248.2,-40.3,-49.4,-40.1,-27.0,37.0,1.0,,,6.3,4.9,8.2,-18.7,-42.0,,333.0,59.0,,-29.7,,-29.0,-22.8,False,True,True,True,True,,,True,True,True,True,False,,False,False,,True,,True,True
Idaho,1169,958.0,927.9,953.0,1058.0,1141.9,837.0,,986.0,1025.8,1044.0,824.0,1225.5,1183.0,,1053.2,1010.0,,871.2,,1007.0,785.1,-211.0,-241.1,-216.0,-111.0,-27.1,-332.0,,-183.0,-143.2,-125.0,-345.0,56.5,14.0,,-115.8,-159.0,,-297.8,,-162.0,-383.9,False,False,True,True,False,,True,True,True,False,True,True,,True,True,,False,,True,False
Illinois,15232,12786.9,14959.7,12726.4,16997.0,14930.5,13073.0,,12068.0,13507.4,13349.0,11497.3,16226.8,14200.5,13705.0,11377.5,11794.0,,12423.4,,13741.0,11280.6,-2445.1,-272.3,-2505.6,1765.0,-301.5,-2159.0,,-3164.0,-1724.6,-1883.0,-3734.7,994.8,-1031.5,-1527.0,-3854.5,-3438.0,,-2808.6,,-1491.0,-3951.4,True,False,True,True,True,,False,True,True,False,True,True,True,False,False,,False,,True,False
Indiana,7600,5916.1,6601.6,5893.2,7731.0,7027.6,8765.0,,5678.0,6744.0,6581.4,5323.3,7699.9,7051.5,5887.5,6507.4,5407.0,,5578.0,,6999.0,4752.5,-1424.9,-739.4,-1447.8,390.0,-313.4,1424.0,,-1663.0,-597.0,-759.6,-2017.7,358.9,-289.5,-1453.5,-833.6,-1934.0,,-1763.0,,-342.0,-2588.5,True,False,True,True,True,,False,True,True,False,True,True,False,True,False,,False,,True,False
Iowa,3208,2389.0,3127.8,2471.9,5241.0,2954.0,2524.0,,2445.0,2757.8,3306.3,2123.4,3790.9,3039.0,,1859.1,2248.0,,2443.7,,3489.0,2052.4,-819.0,-80.2,-736.1,2033.0,-254.0,-684.0,,-763.0,-450.2,98.3,-1084.6,582.9,-169.0,,-1348.9,-960.0,,-764.3,,281.0,-1155.6,True,True,False,True,True,,True,True,True,False,True,True,,False,False,,True,,True,False
Kansas,2072,1458.4,1696.9,1463.0,2548.0,1998.9,1499.0,,1606.0,1714.6,1831.7,1335.0,2117.2,1541.0,,1295.6,1512.0,,1411.6,,1677.0,1281.7,-546.6,-308.1,-542.0,543.0,-6.1,-506.0,,-399.0,-290.4,-173.3,-670.0,112.2,-464.0,,-709.4,-493.0,,-593.4,,-328.0,-723.3,True,True,True,True,True,,True,True,True,False,True,True,,False,True,,False,,True,False
Kentucky,2192,1934.1,1978.2,1941.2,2409.0,2298.1,2019.0,,2013.0,2202.9,2192.8,1917.6,2282.1,1929.0,2693.0,1818.5,1946.0,,1997.0,,2131.0,1746.7,-257.9,-213.8,-250.8,217.0,106.1,-173.0,,-179.0,10.9,0.8,-274.4,90.1,-263.0,501.0,-373.5,-246.0,,-195.0,,-61.0,-445.3,True,True,True,True,True,,True,True,True,False,True,False,False,False,True,,True,,True,False
Louisiana,6767,6570.3,6533.1,6503.1,6666.0,6554.1,6211.0,,6352.0,6597.4,6348.3,6281.5,6523.4,6587.0,,6422.5,6152.5,,6595.1,,6433.0,6160.6,-196.7,-233.9,-263.9,-101.0,-212.9,-556.0,,-415.0,-169.6,-418.7,-485.5,-243.6,-180.0,,-344.5,-614.5,,-171.9,,-334.0,-606.4,False,False,True,False,False,,False,True,False,False,False,True,,False,False,,True,,False,False
Maine,257,176.3,664.2,171.0,663.0,171.2,188.0,,194.5,161.2,192.4,181.2,284.8,163.0,,172.6,159.0,,155.6,,222.0,159.3,-80.7,407.2,-86.0,406.0,-85.8,-69.0,,-62.5,-95.8,-64.6,-75.8,27.8,-94.0,,-84.4,-98.0,,-101.4,,-35.0,-97.7,False,False,False,False,True,,True,False,True,True,True,False,,False,False,,False,,True,False
Maryland,5100,4503.4,4566.9,4473.9,5284.0,4625.2,4433.0,,4496.0,4581.7,4571.3,4552.0,4675.4,4615.0,,4685.9,4636.0,,4422.8,,4633.0,4398.0,-596.6,-533.1,-626.1,184.0,-474.8,-667.0,,-604.0,-518.3,-528.7,-548.0,-424.6,-485.0,,-414.1,-464.0,,-677.2,,-467.0,-702.0,True,False,True,True,False,,False,True,True,True,True,True,,True,True,,False,,True,False
Massachusetts,11307,10809.6,10825.0,10834.0,12337.0,11664.6,10933.0,,10763.0,11256.6,11176.7,10543.9,10961.4,10935.0,,10502.3,10609.5,,10502.9,,11304.0,10453.5,-497.4,-482.0,-473.0,1030.0,357.6,-374.0,,-544.0,-50.4,-130.3,-763.1,-345.6,-372.0,,-804.7,-697.5,,-804.1,,-3.0,-853.5,True,True,False,True,True,,False,True,True,False,True,True,,False,False,,False,,True,False
Michigan,11195,9139.9,9843.9,9176.6,13470.0,11111.9,10816.0,,9079.0,9910.8,10626.2,8778.1,11827.0,9734.5,11626.0,8553.7,8830.0,,8876.2,,10363.0,8162.3,-2055.1,-1351.1,-2018.4,2275.0,-83.1,-379.0,,-2116.0,-1284.2,-568.8,-2416.9,632.0,-1460.5,431.0,-2641.3,-2365.0,,-2318.8,,-832.0,-3032.7,True,True,False,True,True,,False,True,True,False,True,True,True,False,False,,False,,True,False
Minnesota,4418,3589.1,4687.3,3518.7,5860.0,4055.7,3946.0,,3898.0,3975.7,4186.1,3075.6,4667.0,4960.0,4019.5,4117.8,3430.0,,3385.8,,4219.0,2912.2,-828.9,269.3,-899.3,1442.0,-362.3,-472.0,,-520.0,-442.3,-231.9,-1342.4,249.0,542.0,-398.5,-300.2,-988.0,,-1032.2,,-199.0,-1505.8,True,False,False,True,True,,True,True,True,False,True,True,True,True,False,,False,,True,False
Mississippi,4180,3904.4,3966.8,3927.6,3826.0,3873.8,3692.0,,3792.0,3888.8,3763.3,3611.3,4042.6,3876.0,,3875.3,4421.0,,3984.3,,3915.0,3730.9,-275.6,-213.2,-252.4,-354.0,-306.2,-488.0,,-388.0,-291.2,-416.7,-568.7,-137.4,-304.0,,-304.7,241.0,,-195.7,,-265.0,-449.1,True,True,False,False,False,,False,False,False,False,True,False,,False,True,,True,,True,False
Missouri,4631,3781.9,3858.6,3788.3,5980.0,4757.7,3974.0,,4200.0,4927.3,4532.5,3604.9,4933.0,3860.5,,4030.8,4039.0,,3480.3,,4197.0,3341.5,-829.1,-752.4,-822.7,1369.0,146.7,-637.0,,-411.0,316.3,-78.5,-1006.1,322.0,-750.5,,-580.2,-572.0,,-1130.7,,-414.0,-1269.5,True,True,False,True,True,,True,True,True,False,True,True,,True,True,,False,,True,False
Montana,816,844.6,751.5,795.0,839.0,1072.4,805.0,,894.0,1093.5,1032.9,519.9,1082.0,1196.5,,812.9,799.0,,647.8,,892.0,588.9,28.6,-64.5,-21.0,23.0,256.4,-11.0,,78.0,277.5,216.9,-296.1,266.0,380.5,,-3.1,-17.0,,-168.2,,76.0,-227.1,False,True,True,False,True,,False,False,False,False,False,False,,True,True,,False,,False,False
Nebraska,1365,941.0,1051.8,958.0,1435.0,1234.4,1100.0,,994.0,1154.2,1209.3,879.5,1474.2,1314.0,,936.9,943.0,,777.2,,1052.0,787.8,-424.0,-313.2,-407.0,70.0,-130.6,-265.0,,-371.0,-210.8,-155.7,-485.5,109.2,-51.0,,-428.1,-422.0,,-587.8,,-313.0,-577.2,True,True,True,True,True,,True,True,True,False,True,True,,False,True,,False,,True,False
Nevada,2520,2191.0,3013.4,2215.0,2165.0,2160.6,1996.0,,2065.0,2164.1,2069.9,2057.5,2329.3,2317.0,,2247.5,1999.0,,2235.1,,2444.0,2009.8,-329.0,493.4,-305.0,-355.0,-359.4,-524.0,,-455.0,-355.9,-450.1,-462.5,-190.7,-203.0,,-272.5,-521.0,,-284.9,,-76.0,-510.2,False,True,False,False,False,,False,False,False,False,True,True,,True,False,,True,,True,False
New Hampshire,600,518.1,524.3,521.1,570.0,591.3,564.0,,570.0,566.7,728.6,526.5,589.6,547.0,,562.3,539.0,,508.1,,551.0,504.9,-81.9,-75.7,-78.9,-30.0,-8.7,-36.0,,-30.0,-33.3,128.6,-73.5,-10.4,-53.0,,-37.7,-61.0,,-91.9,,-49.0,-95.1,True,True,True,True,True,,True,True,False,True,True,True,,True,True,,False,,True,False
New Jersey,17732,16793.3,16764.3,16906.9,17525.0,17190.8,17668.0,,16969.0,17018.5,17579.1,16975.5,17400.2,17113.0,,17002.0,16795.0,,16727.0,,17044.0,16551.9,-938.7,-967.7,-825.1,-207.0,-541.2,-64.0,,-763.0,-713.5,-152.9,-756.5,-331.8,-619.0,,-730.0,-937.0,,-1005.0,,-688.0,-1180.1,False,True,True,True,True,,True,True,True,True,True,True,,True,True,,False,,True,False
New Mexico,1913,1564.9,1773.1,1534.1,1616.0,1677.5,1265.0,,1476.0,1625.8,1493.2,1294.6,2037.6,2105.5,,1459.2,1281.0,,1453.9,,1698.0,1219.3,-348.1,-139.9,-378.9,-297.0,-235.5,-648.0,,-437.0,-287.2,-419.8,-618.4,124.6,192.5,,-453.8,-632.0,,-459.1,,-215.0,-693.7,True,False,True,True,False,,False,True,False,False,True,True,,False,False,,False,,True,False
New York,35504,34636.4,36099.2,34709.1,34725.0,34620.4,34557.0,,34549.0,34242.6,35016.1,34464.2,34784.6,34322.5,,34087.1,33688.0,,33839.5,,35004.0,33690.3,-867.6,595.2,-794.9,-779.0,-883.6,-947.0,,-955.0,-1261.4,-487.9,-1039.8,-719.4,-1181.5,,-1416.9,-1816.0,,-1664.5,,-500.0,-1813.7,True,True,True,False,False,,False,False,True,False,True,False,,False,False,,False,,True,False
North Carolina,5796,5695.0,6105.0,5739.8,5939.0,5949.6,5401.0,,5602.0,5980.9,5637.0,5535.8,6317.7,6003.5,,5245.6,6254.0,,5525.0,,5943.0,5139.7,-101.0,309.0,-56.2,143.0,153.6,-395.0,,-194.0,184.9,-159.0,-260.2,521.7,207.5,,-550.4,458.0,,-271.0,,147.0,-656.3,False,True,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False
North Dakota,1152,1163.6,1576.6,1148.1,1714.0,1256.3,1126.0,,1110.0,1268.5,1215.7,695.7,1540.1,1391.0,,1405.9,994.0,,921.6,,1328.0,813.5,11.6,424.6,-3.9,562.0,104.3,-26.0,,-42.0,116.5,63.7,-456.3,388.1,239.0,,253.9,-158.0,,-230.4,,176.0,-338.5,False,True,False,False,False,,False,False,False,False,False,False,,False,False,,False,,False,False
Ohio,10094,6556.4,7940.9,6530.8,7640.0,6590.2,6273.0,,6686.0,6671.6,6886.0,6521.0,7956.8,8635.5,7684.0,6046.4,7841.5,,6606.1,,7450.0,5942.9,-3342.6,-1958.1,-3368.2,-2259.0,-3308.8,-3626.0,,-3213.0,-3227.4,-3013.0,-3378.0,-1942.2,-1263.5,-2215.0,-3852.6,-2057.5,,-3292.9,,-2449.0,-3956.1,True,False,True,True,False,,True,True,True,False,True,True,True,False,True,,True,,True,False
Oklahoma,2042,1889.7,2099.0,1888.8,2080.0,1950.3,1852.0,,2058.0,2017.7,1884.7,1685.7,1961.9,1992.0,,1745.6,1833.0,,1787.3,,1883.0,1625.1,-152.3,57.0,-153.2,38.0,-91.7,-190.0,,16.0,-24.3,-157.3,-356.3,-80.1,-50.0,,-296.4,-209.0,,-254.7,,-159.0,-416.9,True,False,True,True,False,,True,True,False,False,True,True,,False,False,,False,,False,False
Oregon,1150,919.4,1085.6,928.9,1138.0,974.0,856.0,,936.0,980.0,993.6,954.1,1030.7,1079.0,,793.1,1047.0,,897.8,,1095.0,810.7,-230.6,-64.4,-221.1,-12.0,-176.0,-294.0,,-214.0,-170.0,-156.4,-195.9,-119.3,-71.0,,-356.9,-103.0,,-252.2,,-55.0,-339.3,True,True,True,True,False,,True,True,True,True,True,True,,False,True,,False,,True,False
Pennsylvania,12371,9986.1,10644.7,10007.0,11089.0,10652.6,10017.0,,10017.0,10491.8,10476.2,9998.6,11092.9,10176.0,,10519.1,9656.0,,9856.0,,10580.0,9438.5,-2384.9,-1726.3,-2364.0,-1282.0,-1718.4,-2354.0,,-2354.0,-1879.2,-1894.8,-2372.4,-1278.1,-2195.0,,-1851.9,-2715.0,,-2515.0,,-1791.0,-2932.5,True,True,True,True,True,,True,True,True,True,True,True,,True,False,,False,,True,False
Rhode Island,1622,1335.7,1343.3,1346.3,1523.0,1629.6,1437.0,,1372.0,1442.3,1457.9,1301.7,1468.2,1400.0,,1507.0,1293.0,,1251.8,,1362.0,1248.9,-263.3,-255.7,-252.7,-76.0,30.6,-162.0,,-227.0,-156.7,-141.1,-297.3,-130.8,-199.0,,-92.0,-306.0,,-347.2,,-237.0,-350.1,True,True,True,True,True,,True,True,True,False,True,True,,True,False,,False,,True,False
South Carolina,4685,4521.7,4271.9,4415.0,5170.0,4944.6,4370.0,,4603.0,4542.1,4588.1,4326.3,4658.1,4637.5,,4397.0,4510.0,,4345.8,,4720.0,4393.0,-163.3,-413.1,-270.0,485.0,259.6,-315.0,,-82.0,-142.9,-96.9,-358.7,-26.9,-47.5,,-288.0,-175.0,,-339.2,,35.0,-292.0,False,False,False,False,False,,True,True,True,False,True,True,,False,False,,False,,True,False
South Dakota,1243,1016.9,1398.9,1013.0,1255.0,1059.3,881.0,,943.0,1111.6,1006.8,565.1,1305.1,1021.0,,903.2,906.0,,882.4,,946.0,663.3,-226.1,155.9,-230.0,12.0,-183.7,-362.0,,-300.0,-131.4,-236.2,-677.9,62.1,-222.0,,-339.8,-337.0,,-360.6,,-297.0,-579.7,True,False,True,True,False,,False,True,False,False,True,True,,False,False,,False,,False,False
Tennessee,5400,4770.4,4477.7,4774.8,4692.0,5118.2,4392.0,,4560.0,5181.5,4642.0,4240.7,5449.7,5019.5,,4339.2,5412.0,,4676.7,,4849.0,4047.5,-629.6,-922.3,-625.2,-708.0,-281.8,-1008.0,,-840.0,-218.5,-758.0,-1159.3,49.7,-380.5,,-1060.8,12.0,,-723.3,,-551.0,-1352.5,False,True,False,True,False,,False,True,False,False,True,True,,False,True,,False,,True,False
Texas,24542,22496.6,24799.7,22547.1,25526.0,22820.0,20761.0,,22230.0,22834.6,23337.5,20983.8,23928.3,23106.5,,22241.1,21348.0,,22360.8,,23820.0,20922.5,-1694.4,608.7,-1643.9,1335.0,-1371.0,-3430.0,,-1961.0,-1356.4,-853.5,-3207.2,-262.7,-1084.5,,-1949.9,-2843.0,,-1830.2,,-371.0,-3268.5,True,True,True,True,False,,False,True,True,False,True,True,,False,False,,False,,True,False
Utah,1038,877.6,1260.5,928.1,1044.0,1152.4,758.0,,961.0,905.3,682.6,870.0,1072.9,999.0,,752.0,986.0,,969.6,,921.0,576.8,-160.4,222.5,-109.9,6.0,114.4,-280.0,,-77.0,-132.7,-355.4,-168.0,34.9,-39.0,,-286.0,-52.0,,-68.4,,-117.0,-461.2,False,True,True,True,False,,True,True,False,False,True,True,,False,True,,True,,True,False
Vermont,95,63.9,199.7,64.2,59.0,58.4,66.0,,63.0,59.0,60.3,69.7,63.7,60.0,,63.5,59.0,,59.9,,61.0,59.5,-31.1,104.7,-30.8,-36.0,-36.6,-29.0,,-32.0,-36.0,-34.7,-25.3,-31.3,-35.0,,-31.5,-36.0,,-35.1,,-34.0,-35.5,False,True,False,False,True,,False,False,False,True,False,False,,False,False,,False,,False,False
Virginia,4409,3959.6,3793.0,3967.6,4311.0,4357.3,3995.0,,4202.0,4068.5,4286.5,4235.7,4233.4,4092.0,,4075.6,4282.0,,3859.7,,4065.0,4013.9,-449.4,-616.0,-441.4,-98.0,-51.7,-414.0,,-207.0,-340.5,-122.5,-173.3,-175.6,-317.0,,-333.4,-127.0,,-549.3,,-344.0,-395.1,False,True,True,True,True,,True,True,True,True,True,True,,True,True,,False,,True,True
Washington,2941,2793.6,3083.0,2804.0,3133.0,3006.1,2626.0,,2836.0,2902.9,2897.3,2844.8,2984.4,3090.0,,2692.5,2917.0,,2802.1,,3023.0,2610.8,-164.4,125.0,-154.0,175.0,48.1,-332.0,,-122.0,-55.1,-60.7,-113.2,26.4,132.0,,-265.5,-41.0,,-155.9,,65.0,-347.2,True,True,False,True,False,,True,True,True,True,True,True,,False,True,,True,,True,False
West Virginia,966,717.7,916.1,723.0,1214.0,701.6,690.0,,808.0,775.2,851.3,675.4,869.2,839.0,,666.8,663.0,,688.5,,772.0,578.9,-248.3,-49.9,-243.0,248.0,-264.4,-276.0,,-158.0,-190.8,-114.7,-290.6,-96.8,-127.0,,-299.2,-303.0,,-277.5,,-194.0,-387.1,True,True,True,False,False,,True,True,True,False,True,True,,False,False,,False,,True,False
Wisconsin,4324,3599.1,4028.1,3651.5,5813.0,4528.4,3156.0,,3574.0,4572.5,4567.1,2939.6,4437.6,3888.0,3299.0,3609.9,3718.5,,3329.8,,3726.0,2665.0,-466.9,-37.9,-414.5,1747.0,462.4,-910.0,,-492.0,506.5,501.1,-1126.4,371.6,-178.0,-767.0,-456.1,-347.5,,-736.2,,-340.0,-1401.0,True,True,False,True,False,,False,False,False,False,True,True,False,True,True,,False,,True,False
Wyoming,321,245.1,227.3,249.0,473.0,344.9,203.0,,235.0,256.3,359.0,161.5,384.1,191.0,,126.0,240.0,,151.5,,281.0,142.6,-75.9,-93.7,-72.0,152.0,23.9,-118.0,,-86.0,-64.7,38.0,-159.5,63.1,-130.0,,-195.0,-81.0,,-169.5,,-40.0,-178.4,False,True,False,True,False,,False,True,True,False,True,False,,False,False,,False,,True,False
US,301831,269656.4,288147.2,269673.4,299994.0,291502.1,272649.0,281473.0,267612.0,281255.3,280861.0,258956.5,296827.7,286509.5,,266189.1,267476.5,284805.0,271514.9,270152.0,284962.0,254604.9,-30524.6,-12033.8,-30507.6,-187.0,-8678.9,-27532.0,-18708.0,-32569.0,-18925.7,-19320.0,-41224.5,-3353.3,-13671.5,,-33991.9,-32704.5,-15376.0,-28666.1,-30029.0,-15219.0,-45576.1,True,True,True,True,True,True,False,True,True,False,True,True,,False,False,True,True,True,True,False
