,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,MITCovAlliance-SIR,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Kentucky,2192,1836.6,2542.9,1815.7,2234.8,1812.5,,2402.9,1706.0,1874.8,1848.9,1797.3,,,1832.9,2133.0,1519.4,-355.4,350.9,-376.3,42.8,-379.5,,210.9,-486.0,-317.2,-343.1,-394.7,,,-359.1,-59.0,-672.6,True,False,True,False,,True,False,True,True,False,,,False,True,False
Louisiana,6767,6496.4,6233.3,6473.3,6193.8,6231.4,,6798.2,6226.0,6255.1,6245.7,6374.8,,,6693.2,6158.0,6115.7,-270.6,-533.7,-293.7,-573.2,-535.6,,31.2,-541.0,-511.9,-521.3,-392.2,,,-73.8,-609.0,-651.3,False,False,False,False,,True,False,False,False,False,,,True,False,False
Maine,257,169.6,344.2,171.2,151.0,155.5,,155.5,171.0,155.6,163.8,179.2,,,151.1,167.0,157.4,-87.4,87.2,-85.8,-106.0,-101.5,,-101.5,-86.0,-101.4,-93.2,-77.8,,,-105.9,-90.0,-99.6,True,True,False,False,,False,True,False,False,True,,,False,False,False
Maryland,5100,4335.6,4684.2,4385.9,4350.8,4265.8,,4347.1,4213.0,4387.7,4376.3,4346.4,,11138.0,4220.7,4472.0,4198.1,-764.4,-415.8,-714.1,-749.2,-834.2,,-752.9,-887.0,-712.3,-723.7,-753.6,,6038.0,-879.3,-628.0,-901.9,True,True,True,False,,True,False,True,True,True,,False,False,True,False
Massachusetts,11307,10782.0,11290.6,10882.4,10655.0,10826.7,,11062.6,10384.0,10883.1,10627.0,10834.9,,,10176.0,11085.0,10050.2,-525.0,-16.4,-424.6,-652.0,-480.3,,-244.4,-923.0,-423.9,-680.0,-472.1,,,-1131.0,-222.0,-1256.8,True,True,False,True,,True,False,True,False,True,,,False,True,False
Michigan,11195,8290.7,10286.4,8344.5,11098.4,8310.7,,8833.9,7922.0,8571.9,8932.1,8238.6,,,7784.7,9584.0,7455.1,-2904.3,-908.6,-2850.5,-96.6,-2884.3,,-2361.1,-3273.0,-2623.1,-2262.9,-2956.4,,,-3410.3,-1611.0,-3739.9,True,True,True,True,,True,False,True,True,False,,,False,True,False
Minnesota,4418,3017.7,4024.6,2957.6,3820.9,3018.2,,3458.0,2997.0,2974.9,3118.6,2710.1,,,2848.9,3158.0,2489.1,-1400.3,-393.4,-1460.4,-597.1,-1399.8,,-960.0,-1421.0,-1443.1,-1299.4,-1707.9,,,-1569.1,-1260.0,-1928.9,True,False,True,True,,True,False,False,True,False,,,False,True,False
Mississippi,4180,3721.0,4051.8,3772.0,5771.5,3835.9,,3771.7,3750.0,3969.7,3935.3,3575.3,,,3754.2,3930.0,3581.2,-459.0,-128.2,-408.0,1591.5,-344.1,,-408.3,-430.0,-210.3,-244.7,-604.7,,,-425.8,-250.0,-598.8,True,True,False,True,,True,True,True,True,False,,,True,True,False
Missouri,4602,3912.0,4575.0,3836.3,5460.4,4116.8,,3468.1,3915.0,4027.7,4502.5,4179.2,,,2967.1,3930.0,2906.4,-690.0,-27.0,-765.7,858.4,-485.2,,-1133.9,-687.0,-574.3,-99.5,-422.8,,,-1634.9,-672.0,-1695.6,True,False,False,True,,False,True,True,True,True,,,False,True,False
Montana,816,484.6,812.1,479.2,1796.8,600.1,,501.1,484.0,520.0,1364.6,346.4,,,399.4,579.0,305.1,-331.4,-3.9,-336.8,980.8,-215.9,,-314.9,-332.0,-296.0,548.6,-469.6,,,-416.6,-237.0,-510.9,True,False,False,True,,True,False,True,False,False,,,False,True,False
Nebraska,1365,775.9,1327.9,771.4,1250.2,852.0,,1154.3,721.0,748.4,1103.0,696.7,,,605.5,865.0,629.7,-589.1,-37.1,-593.6,-114.8,-513.0,,-210.7,-644.0,-616.6,-262.0,-668.3,,,-759.5,-500.0,-735.3,True,False,True,True,,True,False,False,True,False,,,False,True,False
Nevada,2520,2095.0,2433.7,2091.2,2775.5,2146.7,,2084.9,1963.0,2104.3,2089.1,2003.0,,,2229.1,2257.0,1935.7,-425.0,-86.3,-428.8,255.5,-373.3,,-435.1,-557.0,-415.7,-430.9,-517.0,,,-290.9,-263.0,-584.3,True,False,True,True,,False,False,True,False,False,,,True,True,False
New Hampshire,600,544.6,528.0,556.2,888.0,569.2,,746.0,528.0,557.6,634.9,549.8,,,500.2,627.0,481.4,-55.4,-72.0,-43.8,288.0,-30.8,,146.0,-72.0,-42.4,34.9,-50.2,,,-99.8,27.0,-118.6,False,True,False,True,,False,False,True,True,True,,,False,True,False
New Jersey,17732,16501.7,16476.2,16942.6,16630.3,16727.4,,16322.4,16395.0,16671.2,16982.8,17350.6,,,16386.1,16591.0,16417.9,-1230.3,-1255.8,-789.4,-1101.7,-1004.6,,-1409.6,-1337.0,-1060.8,-749.2,-381.4,,,-1345.9,-1141.0,-1314.1,False,True,True,True,,False,False,True,True,True,,,False,True,False
New Mexico,1913,1114.7,1320.8,1105.4,4133.4,1393.8,,1179.0,1053.0,1323.5,1436.1,1154.0,,,1029.4,1467.0,1037.1,-798.3,-592.2,-807.6,2220.4,-519.2,,-734.0,-860.0,-589.5,-476.9,-759.0,,,-883.6,-446.0,-875.9,True,False,False,True,,True,False,True,True,True,,,False,True,False
New York,35504,33852.0,33533.6,34998.7,35270.0,34022.4,,34801.6,33681.0,34368.5,35237.0,36403.0,,,33645.2,34209.0,33377.3,-1450.0,-1768.4,-303.3,-32.0,-1279.6,,-500.4,-1621.0,-933.5,-65.0,1101.0,,,-1656.8,-1093.0,-1924.7,False,True,True,True,,True,False,True,True,True,,,False,True,False
North Carolina,5796,5222.6,7952.1,5239.6,10526.6,5335.8,,5472.9,4890.0,5838.7,5249.9,4960.4,,,4873.9,5550.0,4553.1,-573.4,2156.1,-556.4,4730.6,-460.2,,-323.1,-906.0,42.7,-546.1,-835.6,,,-922.1,-246.0,-1242.9,False,True,False,True,,True,False,True,True,False,,,False,True,False
North Dakota,1152,930.4,1057.3,903.0,2269.7,996.9,,894.3,811.0,855.6,1073.2,616.1,,,614.9,1403.0,557.0,-221.6,-94.7,-249.0,1117.7,-155.1,,-257.7,-341.0,-296.4,-78.8,-535.9,,,-537.1,251.0,-595.0,True,False,False,True,,False,False,False,True,False,,,False,False,False
Ohio,7477,5601.3,5477.6,5672.3,8495.0,6407.6,,6689.9,6149.0,6104.6,7098.5,6237.8,,,5779.4,5952.0,5653.6,-1875.7,-1999.4,-1804.7,1018.0,-1069.4,,-787.1,-1328.0,-1372.4,-378.5,-1239.2,,,-1697.6,-1525.0,-1823.4,False,True,True,True,,True,True,True,True,True,,,True,True,True
Oklahoma,2042,1744.6,2768.3,1698.0,1482.5,1560.5,,1627.1,1671.0,1646.9,1574.1,1503.7,,,1619.9,1573.0,1374.9,-297.4,726.3,-344.0,-559.5,-481.5,,-414.9,-371.0,-395.1,-467.9,-538.3,,,-422.1,-469.0,-667.1,False,False,False,False,,False,False,False,False,False,,,False,False,False
Oregon,1150,785.0,761.3,779.0,1025.7,905.7,,961.9,730.0,885.4,1003.8,744.1,,,800.0,836.0,712.6,-365.0,-388.7,-371.0,-124.3,-244.3,,-188.1,-420.0,-264.6,-146.2,-405.9,,,-350.0,-314.0,-437.4,False,False,True,True,,True,False,True,True,False,,,True,True,False
Pennsylvania,12371,9525.7,9672.1,9434.4,11841.1,9788.4,,10719.6,9289.0,10028.8,10503.7,10086.4,,,8898.0,10199.0,8813.4,-2845.3,-2698.9,-2936.6,-529.9,-2582.6,,-1651.4,-3082.0,-2342.2,-1867.3,-2284.6,,,-3473.0,-2172.0,-3557.6,True,False,True,True,,True,False,True,True,True,,,False,True,False
Rhode Island,1509,1324.9,1824.8,1355.2,1995.1,1262.1,,1220.3,1227.0,1299.3,1344.4,1292.5,,,1180.1,1439.0,1160.6,-184.1,315.8,-153.8,486.1,-246.9,,-288.7,-282.0,-209.7,-164.6,-216.5,,,-328.9,-70.0,-348.4,False,True,False,False,,False,False,False,True,False,,,False,True,False
South Carolina,4685,4420.0,4428.6,4325.5,4027.0,4201.0,,4807.6,4054.0,4419.2,4267.3,4055.8,,,4355.6,4289.0,4112.3,-265.0,-256.4,-359.5,-658.0,-484.0,,122.6,-631.0,-265.8,-417.7,-629.2,,,-329.4,-396.0,-572.7,True,False,False,False,,True,False,False,False,False,,,False,False,False
South Dakota,1243,613.7,589.5,546.7,2615.0,818.2,,731.9,491.0,618.0,1105.1,460.3,,,377.9,628.0,404.4,-629.3,-653.5,-696.3,1372.0,-424.8,,-511.1,-752.0,-625.0,-137.9,-782.7,,,-865.1,-615.0,-838.6,False,False,False,True,,True,False,True,True,False,,,False,True,False
Tennessee,5400,4024.7,4110.3,4063.4,6838.9,4588.4,,5736.5,4059.0,4607.1,5230.9,3593.0,,,4131.8,4047.0,3404.6,-1375.3,-1289.7,-1336.6,1438.9,-811.6,,336.5,-1341.0,-792.9,-169.1,-1807.0,,,-1268.2,-1353.0,-1995.4,True,True,False,True,,True,True,True,True,False,,,True,True,False
Texas,24308,21346.4,21882.0,21418.8,19577.0,20571.2,,21998.3,21485.0,21812.7,20362.2,19749.6,,34542.0,20734.1,21104.0,19860.5,-2888.6,-2353.0,-2816.2,-4658.0,-3663.8,,-2236.7,-2750.0,-2422.3,-3872.8,-4485.4,,10307.0,-3500.9,-3131.0,-4374.5,True,True,False,False,,True,True,True,False,False,,False,False,False,False
Utah,1038,747.3,667.6,779.9,806.7,1001.6,,1772.5,764.0,806.0,721.1,641.1,,,746.1,727.0,505.0,-290.7,-370.4,-258.1,-231.3,-36.4,,734.5,-274.0,-232.0,-316.9,-396.9,,,-291.9,-311.0,-533.0,False,True,True,True,,False,True,True,False,False,,,False,False,False
Vermont,95,58.0,58.6,63.0,62.8,60.8,,60.3,58.0,58.0,60.0,68.9,,,59.1,58.0,57.9,-37.0,-36.4,-32.0,-32.2,-34.2,,-34.7,-37.0,-37.0,-35.0,-26.1,,,-35.9,-37.0,-37.1,True,True,True,True,,True,False,False,True,True,,,True,False,False
Virginia,4409,4019.3,4336.5,3979.1,4663.3,4058.1,,4302.2,4028.0,4527.7,4569.7,4182.6,,,3720.4,4178.0,3878.1,-386.7,-69.5,-426.9,257.3,-347.9,,-103.8,-378.0,121.7,163.7,-223.4,,,-685.6,-228.0,-527.9,True,False,True,True,,True,True,True,True,True,,,False,True,False
Washington,2941,2624.0,3169.2,2633.6,2726.2,2624.8,,2690.4,2557.0,2785.6,2755.6,2462.2,,,2652.6,2678.0,2474.1,-335.0,210.2,-325.4,-232.8,-334.2,,-268.6,-402.0,-173.4,-203.4,-496.8,,,-306.4,-281.0,-484.9,True,True,True,True,,True,False,True,True,False,,,True,True,False
West Virginia,966,535.6,644.9,514.6,589.2,558.2,,652.6,600.0,616.9,904.7,665.7,,,547.4,581.0,487.0,-430.4,-321.1,-451.4,-376.8,-407.8,,-313.4,-366.0,-349.1,-61.3,-300.3,,,-418.6,-385.0,-479.0,True,False,True,True,,True,True,True,True,True,,,True,True,False
Wisconsin,4324,2430.4,2946.7,2502.6,2461.6,2735.0,,3738.4,2403.0,2487.2,2988.6,1982.4,,,2226.6,2332.0,1824.1,-1668.6,-1152.3,-1596.4,-1637.4,-1364.0,,-360.6,-1696.0,-1611.8,-1110.4,-2116.6,,,-1872.4,-1767.0,-2274.9,True,True,True,True,,True,False,True,True,False,,,False,False,False
Wyoming,321,80.6,125.5,83.2,82.4,121.3,,81.7,89.0,72.1,130.2,57.0,,,71.3,80.0,59.9,-240.4,-195.5,-237.8,-238.6,-199.7,,-239.3,-232.0,-248.9,-190.8,-264.0,,,-249.7,-241.0,-261.1,True,True,True,True,,True,True,False,True,False,,,False,False,False
US,297904,258221.1,282252.4,258603.1,283641.7,254007.8,268319.0,278009.8,250747.0,264757.6,267227.0,,272566.3,255658.0,253500.8,266539.0,243701.9,-39194.9,-15163.6,-38812.9,-13774.3,-43408.2,-29097.0,-19406.2,-46669.0,-32658.4,-30189.0,,-24849.7,-41758.0,-43915.2,-30877.0,-53714.1,True,True,True,False,True,True,False,True,True,,True,False,False,True,False
