,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10075,10148.9,9458.2,10065.7,10017.0,10191.9,10421.0,9795.0,9962.1,14806.0,9689.0,9940.3,10034.9,12516.1,,10124.0,10835.6,11223.0,10672.0,9622.5,10748.5,10557.5,10156.1,10102.0,10485.1,11230.6,,9860.4,9983.5,11957.0,,11455.0,11096.1,10421.0,8210.1,10692.0,9688.2,,11207.9,10529.8,10148.0,10317.5,10638.5,10674.0,10134.0,9441.7,9861.0,73.9,-616.8,-9.3,-58.0,116.9,346.0,-280.0,-112.9,4731.0,-386.0,-134.7,-40.1,2441.1,,49.0,760.6,1148.0,597.0,-452.5,673.5,482.5,81.1,27.0,410.1,1155.6,,-214.6,-91.5,1882.0,,1380.0,1021.1,346.0,-1864.9,617.0,-386.8,,1132.9,454.8,73.0,242.5,563.5,599.0,59.0,-633.3,-214.0,False,True,True,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,,False,False,False,False,False,False,,False,False,True,False,False,False,True,False,False
Hawaii,271,225.9,225.0,239.8,234.0,232.6,243.0,247.0,246.9,,255.0,232.6,,249.4,,,243.5,235.9,267.0,314.4,233.8,256.0,224.2,272.0,228.2,296.2,,538.7,231.8,348.0,,,224.0,249.0,307.0,289.0,242.7,,228.0,241.0,251.0,272.9,239.1,233.0,234.0,241.1,,-45.1,-46.0,-31.2,-37.0,-38.4,-28.0,-24.0,-24.1,,-16.0,-38.4,,-21.6,,,-27.5,-35.1,-4.0,43.4,-37.2,-15.0,-46.8,1.0,-42.8,25.2,,267.7,-39.2,77.0,,,-47.0,-22.0,36.0,18.0,-28.3,,-43.0,-30.0,-20.0,1.9,-31.9,-38.0,-37.0,-29.9,,False,True,True,True,True,True,True,,True,True,,True,,,True,True,True,True,True,True,False,True,True,True,,False,True,False,,,False,True,True,True,True,,True,True,True,True,True,True,True,True,
Idaho,1169,1040.6,1171.9,1063.8,1091.0,1063.0,1100.0,1041.0,1092.0,1249.0,897.0,901.6,1124.0,1173.5,,1118.0,1214.0,1024.7,1203.0,1042.9,1218.6,1013.0,1133.0,1124.0,1183.4,1104.0,,992.5,1140.5,1248.0,,,1062.8,1200.0,1122.1,1141.0,1024.7,,1077.9,1204.0,1060.0,999.0,1099.2,1100.0,929.0,857.5,1101.0,-128.4,2.9,-105.2,-78.0,-106.0,-69.0,-128.0,-77.0,80.0,-272.0,-267.4,-45.0,4.5,,-51.0,45.0,-144.3,34.0,-126.1,49.6,-156.0,-36.0,-45.0,14.4,-65.0,,-176.5,-28.5,79.0,,,-106.2,31.0,-46.9,-28.0,-144.3,,-91.1,35.0,-109.0,-170.0,-69.8,-69.0,-240.0,-311.5,-68.0,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,False,True,True,True,False,True,True,True,True,,False,True,True,,,True,True,True,True,False,,True,True,True,False,True,True,False,False,True
Illinois,15231,13568.9,15776.8,13523.1,13944.0,13488.0,14281.0,14833.0,14642.7,17974.0,14766.0,13736.3,14472.9,16438.7,,13636.0,14331.2,16232.0,14295.0,13725.9,16395.1,14986.0,14766.4,12906.0,13915.6,14257.9,13466.0,12974.1,14213.1,12893.0,,13117.5,14668.5,13748.0,11480.7,14363.0,11758.3,,13452.5,14068.0,15682.0,13511.5,21174.2,15461.0,15140.5,11886.2,14992.0,-1662.1,545.8,-1707.9,-1287.0,-1743.0,-950.0,-398.0,-588.3,2743.0,-465.0,-1494.7,-758.1,1207.7,,-1595.0,-899.8,1001.0,-936.0,-1505.1,1164.1,-245.0,-464.6,-2325.0,-1315.4,-973.1,-1765.0,-2256.9,-1017.9,-2338.0,,-2113.5,-562.5,-1483.0,-3750.3,-868.0,-3472.7,,-1778.5,-1163.0,451.0,-1719.5,5943.2,230.0,-90.5,-3344.8,-239.0,True,False,True,False,True,True,True,False,True,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,False,False,True,False,,False,True,True,False,True,False,,False,True,True,False,False,True,True,False,True
Indiana,6758,5993.9,6731.7,6082.6,6394.0,6072.1,6604.0,6935.0,6540.0,8175.0,8376.0,6411.0,6910.5,7192.1,,6245.0,7117.4,7405.0,6431.0,6341.0,7177.1,6839.0,6855.6,5932.0,6629.0,6331.4,6155.5,6599.6,6656.4,6237.5,,6154.0,6203.2,6309.0,5172.3,7434.0,5796.3,,6243.8,6649.8,7358.0,6478.8,10049.5,7356.0,5979.5,5001.9,6286.0,-764.1,-26.3,-675.4,-364.0,-685.9,-154.0,177.0,-218.0,1417.0,1618.0,-347.0,152.5,434.1,,-513.0,359.4,647.0,-327.0,-417.0,419.1,81.0,97.6,-826.0,-129.0,-426.6,-602.5,-158.4,-101.6,-520.5,,-604.0,-554.8,-449.0,-1585.7,676.0,-961.7,,-514.2,-108.2,600.0,-279.2,3291.5,598.0,-778.5,-1756.1,-472.0,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,True,False,True,False,,True,True,True,True,False,True,False,False,True
Iowa,3208,2544.4,3211.7,2539.1,3040.0,2557.0,2825.0,3274.0,2903.2,6498.0,3266.0,2606.6,2842.3,3700.5,,2638.0,2930.4,4073.3,3207.0,2874.9,3773.3,3022.5,2811.3,2772.0,2622.6,2693.0,,3443.9,2789.5,2469.0,,2537.9,2675.1,3149.0,2587.6,2746.0,2493.9,,2804.2,2640.9,3492.0,2574.7,3599.5,3267.0,2469.0,2180.8,2676.0,-663.6,3.7,-668.9,-168.0,-651.0,-383.0,66.0,-304.8,3290.0,58.0,-601.4,-365.7,492.5,,-570.0,-277.6,865.3,-1.0,-333.1,565.3,-185.5,-396.7,-436.0,-585.4,-515.0,,235.9,-418.5,-739.0,,-670.1,-532.9,-59.0,-620.4,-462.0,-714.1,,-403.8,-567.1,284.0,-633.3,391.5,59.0,-739.0,-1027.2,-532.0,True,False,True,True,True,True,True,False,True,True,True,True,,True,True,False,True,True,True,True,True,True,True,True,,True,True,False,,False,True,True,True,True,False,,True,True,True,True,True,True,False,False,True
Kansas,2072,1511.9,1755.9,1521.9,1744.0,1528.0,1644.0,1908.0,1667.7,2328.0,1533.0,1433.3,1817.1,1724.1,,1622.0,1710.0,1919.5,1891.0,1777.6,2044.6,1520.0,1504.2,1761.0,1594.7,1504.2,,1704.2,1630.9,1542.0,,,1610.0,1904.0,1696.7,1644.0,1516.1,,1688.1,1614.0,2232.0,1473.9,1709.8,1698.0,1378.0,1345.4,1521.0,-488.1,-244.1,-478.1,-256.0,-472.0,-356.0,-92.0,-332.3,328.0,-467.0,-566.7,-182.9,-275.9,,-378.0,-290.0,-80.5,-109.0,-222.4,44.6,-480.0,-495.8,-239.0,-405.3,-495.8,,-295.8,-369.1,-458.0,,,-390.0,-96.0,-303.3,-356.0,-483.9,,-311.9,-386.0,232.0,-526.1,-290.2,-302.0,-622.0,-654.6,-479.0,True,True,True,True,True,True,True,True,True,False,True,True,,True,True,True,True,True,True,True,False,True,True,False,,True,True,True,,,True,True,True,True,True,,True,True,True,False,True,True,False,False,True
Kentucky,2192,2031.3,2291.3,2054.1,2179.0,2046.1,2168.0,2305.0,2251.7,2254.0,2042.0,1975.1,,2254.4,,2063.0,2201.8,2026.0,2450.0,2466.7,2213.1,1974.0,2185.3,2341.0,2199.5,2077.0,2378.5,1879.8,2222.3,2154.0,,,2258.3,2185.0,2461.1,2168.0,2100.5,,2173.9,2221.2,2212.0,2086.0,2821.5,2234.0,1975.0,1824.7,2026.0,-160.7,99.3,-137.9,-13.0,-145.9,-24.0,113.0,59.7,62.0,-150.0,-216.9,,62.4,,-129.0,9.8,-166.0,258.0,274.7,21.1,-218.0,-6.7,149.0,7.5,-115.0,186.5,-312.2,30.3,-38.0,,,66.3,-7.0,269.1,-24.0,-91.5,,-18.1,29.2,20.0,-106.0,629.5,42.0,-217.0,-367.3,-166.0,True,True,True,True,True,True,True,True,True,False,,True,,True,True,False,False,False,True,False,True,True,True,True,False,False,True,True,,,True,True,False,True,True,,True,True,True,True,False,True,False,False,False
Louisiana,6767,6448.9,6749.0,6539.8,6541.0,6541.5,6584.0,6468.0,6669.3,6864.0,6268.0,6365.4,6721.2,6761.7,,6450.0,6622.3,7050.9,6456.0,6437.3,6610.9,6596.0,6426.1,6492.0,6658.1,6519.9,,6450.3,6556.9,6329.0,,6538.3,6478.0,6675.0,5715.0,6839.0,6679.3,,6502.0,6674.8,6573.0,6811.4,6881.3,6833.0,6338.0,6169.4,6433.0,-307.1,-7.0,-216.2,-215.0,-214.5,-172.0,-288.0,-86.7,108.0,-488.0,-390.6,-34.8,5.7,,-306.0,-133.7,294.9,-300.0,-318.7,-145.1,-160.0,-329.9,-264.0,-97.9,-236.1,,-305.7,-199.1,-427.0,,-217.7,-278.0,-81.0,-1041.0,83.0,-76.7,,-254.0,-81.2,-183.0,55.4,125.3,77.0,-418.0,-586.6,-323.0,True,True,True,True,True,True,True,True,False,False,True,True,,True,True,True,True,False,True,True,False,True,True,True,,True,True,False,,True,True,True,False,True,True,,True,True,True,True,True,True,False,False,False
Maine,257,215.1,256.9,207.4,217.0,211.0,235.0,211.0,215.1,485.0,283.0,188.8,226.1,292.6,,201.0,192.8,305.2,251.0,340.5,347.8,183.0,212.9,243.0,228.1,236.2,,171.3,235.2,171.0,,,261.6,221.0,191.6,246.0,209.2,,186.4,252.0,229.0,175.1,284.5,266.0,358.5,172.4,879.0,-41.9,-0.1,-49.6,-40.0,-46.0,-22.0,-46.0,-41.9,228.0,26.0,-68.2,-30.9,35.6,,-56.0,-64.2,48.2,-6.0,83.5,90.8,-74.0,-44.1,-14.0,-28.9,-20.8,,-85.7,-21.8,-86.0,,,4.6,-36.0,-65.4,-11.0,-47.8,,-70.6,-5.0,-28.0,-81.9,27.5,9.0,101.5,-84.6,622.0,True,False,True,False,True,False,False,False,True,False,True,True,,False,False,False,True,False,False,False,False,True,True,True,,False,True,False,,,True,True,False,True,False,,False,True,True,False,True,True,False,False,False
