,actual_deaths,Baseline,BPagano-RtDriven,Covid19Sim-Simulator,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,error-Baseline,error-BPagano-RtDriven,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,beat_baseline-BPagano-RtDriven,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR
Idaho,1169,698.9,1026.8,819.5,692.0,,675.4,-470.1,-142.2,-349.5,-477.0,,-493.6,True,True,False,,False
Illinois,15232,10962.1,11894.5,10384.9,10252.0,,10219.9,-4269.9,-3337.5,-4847.1,-4980.0,,-5012.1,True,False,False,,False
Indiana,7600,4600.6,4739.2,4696.3,4499.0,,4213.8,-2953.4,-2814.8,-2857.7,-3055.0,,-3340.2,True,True,False,,False
Iowa,3208,2086.9,2481.5,2034.1,1893.0,,1949.0,-1121.1,-726.5,-1173.9,-1315.0,,-1259.0,True,False,False,,False
Kansas,2072,1232.1,1498.2,1196.5,997.0,,1067.0,-831.9,-565.8,-867.5,-1067.0,,-997.0,True,False,False,,False
Kentucky,2192,1721.6,2131.7,1741.5,1707.0,,1813.8,-470.4,-60.3,-450.5,-485.0,,-378.2,True,True,False,,True
Louisiana,6767,6681.0,6587.8,6243.5,6315.0,,6892.4,-86.0,-179.2,-523.5,-452.0,,125.4,False,False,False,,False
Maine,257,161.7,152.4,165.4,173.0,,149.4,-95.3,-104.6,-91.6,-84.0,,-107.6,False,True,True,,False
Maryland,5100,4184.7,3996.8,4351.6,4195.0,,4155.5,-915.3,-1103.2,-748.4,-905.0,,-944.5,False,True,True,,False
Massachusetts,11307,10554.9,10460.7,12522.8,10052.0,,9954.9,-752.1,-846.3,1215.8,-1255.0,,-1352.1,False,False,False,,False
Michigan,11195,7912.6,8565.6,7884.0,7672.0,,7526.8,-3282.4,-2629.4,-3311.0,-3523.0,,-3668.2,True,False,False,,False
Minnesota,4418,2852.6,3835.2,2760.1,2750.0,,2814.1,-1565.4,-582.8,-1657.9,-1668.0,,-1603.9,True,False,False,,False
Mississippi,4180,3939.6,3357.0,3944.3,3986.0,,3820.7,-240.4,-823.0,-235.7,-194.0,,-359.3,False,True,True,,False
Missouri,4631,3497.0,3067.5,3997.2,3317.0,,2633.0,-1118.0,-1547.5,-617.8,-1298.0,,-1982.0,False,True,False,,False
Montana,816,325.0,290.2,763.3,340.0,,301.4,-491.0,-525.8,-52.7,-476.0,,-514.6,False,True,True,,False
Nebraska,1365,806.6,1057.9,849.7,676.0,,563.2,-558.4,-307.1,-515.3,-689.0,,-801.8,True,True,False,,False
Nevada,2520,1997.6,1714.5,2347.0,1902.0,,2281.0,-522.4,-805.5,-173.0,-618.0,,-239.0,False,True,False,,True
New Hampshire,600,482.4,1189.5,469.9,483.0,,484.0,-117.6,589.5,-130.1,-117.0,,-116.0,False,False,True,,True
New Jersey,17732,16431.7,16278.6,16940.0,16431.5,,16338.3,-1300.3,-1453.4,-792.0,-1300.5,,-1393.7,False,True,False,,False
New Mexico,1913,1108.9,1097.0,1387.7,1059.0,,1004.9,-804.1,-816.0,-525.3,-854.0,,-908.1,False,True,False,,False
New York,35504,33934.4,34626.9,35158.9,33555.0,,33504.1,-1385.6,-693.1,-161.1,-1765.0,,-1815.9,True,True,False,,False
North Carolina,5796,5536.4,5048.6,5549.4,5148.0,,4846.2,-259.6,-747.4,-246.6,-648.0,,-949.8,False,True,False,,False
North Dakota,1152,697.9,652.1,859.9,584.0,,410.7,-454.1,-499.9,-292.1,-568.0,,-741.3,False,True,False,,False
Ohio,10094,6738.7,8721.6,6226.2,5680.5,,6089.3,-3799.3,-1816.4,-4311.8,-4857.5,,-4448.7,True,False,False,,False
Oklahoma,2042,1494.6,1389.4,1749.9,1593.0,,1552.4,-547.4,-652.6,-292.1,-449.0,,-489.6,False,True,True,,True
Oregon,1150,857.9,1185.8,788.6,736.0,,820.2,-292.1,35.8,-361.4,-414.0,,-329.8,True,False,False,,False
Pennsylvania,12371,9269.4,8807.2,9749.8,9049.0,,8680.3,-3101.6,-3563.8,-2621.2,-3322.0,,-3690.7,False,True,False,,False
Rhode Island,1622,1226.4,1133.7,1349.5,1214.0,,1173.3,-380.6,-473.3,-257.5,-393.0,,-433.7,False,True,False,,False
South Carolina,4685,4704.9,4425.2,4370.8,4270.0,,4484.8,19.9,-259.8,-314.2,-415.0,,-200.2,False,False,False,,False
South Dakota,1243,543.7,712.3,616.7,388.0,,328.0,-699.3,-530.7,-626.3,-855.0,,-915.0,True,True,False,,False
Tennessee,5400,4548.4,6422.6,4150.1,3737.0,,4170.4,-851.6,1022.6,-1249.9,-1663.0,,-1229.6,False,False,False,,False
Texas,24542,21987.9,21643.2,24100.5,21428.0,25011.0,20813.9,-2273.1,-2617.8,-160.5,-2833.0,750.0,-3447.1,False,True,False,True,False
Utah,1038,724.4,1459.7,865.0,593.0,,690.5,-313.6,421.7,-173.0,-445.0,,-347.5,False,True,False,,False
Vermont,95,58.0,60.3,62.0,58.0,,59.5,-37.0,-34.7,-33.0,-37.0,,-35.5,True,True,False,,True
Virginia,4409,4383.9,3409.0,4615.1,4006.0,,3791.7,-22.1,-997.0,209.1,-400.0,,-614.3,False,False,False,,False
Washington,2941,2556.0,2519.9,3529.4,2423.0,,2764.5,-400.0,-436.1,573.4,-533.0,,-191.5,False,False,False,,True
West Virginia,966,610.4,452.0,636.3,615.0,,541.0,-355.6,-514.0,-329.7,-351.0,,-425.0,False,True,True,,False
Wisconsin,4324,2323.3,3735.6,2643.5,1990.0,,2105.4,-1924.7,-512.4,-1604.5,-2258.0,,-2142.6,True,True,False,,False
Wyoming,321,82.6,105.1,224.6,79.0,,67.3,-238.4,-215.9,-96.4,-242.0,,-253.7,True,True,False,,False
US,301831,258661.7,250623.0,268472.7,252649.0,252469.0,248617.7,-42981.3,-51020.0,-33170.3,-48994.0,-49174.0,-53025.3,False,True,False,False,False
