,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,10075,9895.1,9935.3,9936.3,9923.0,9914.1,9995.0,9733.0,9950.3,9297.0,10595.8,10405.0,10135.7,10197.8,9976.6,,9920.0,10091.0,10091.4,9530.7,10108.0,9528.6,10196.7,9794.0,9849.0,9960.0,10022.1,9958.4,9913.5,9987.2,9719.0,,10250.0,9757.5,10404.0,9884.9,9838.0,9942.4,,10298.5,10026.5,9831.1,9998.0,,10252.4,10016.0,9780.0,9554.9,9452.0,-179.9,-139.7,-138.7,-152.0,-160.9,-80.0,-342.0,-124.7,-778.0,520.8,330.0,60.7,122.8,-98.4,,-155.0,16.0,16.4,-544.3,33.0,-546.4,121.7,-281.0,-226.0,-115.0,-52.9,-116.6,-161.5,-87.8,-356.0,,175.0,-317.5,329.0,-190.1,-237.0,-132.6,,223.5,-48.5,-243.9,-77.0,,177.4,-59.0,-295.0,-520.1,-623.0,True,True,True,True,True,False,True,False,False,False,True,True,True,,True,True,True,False,True,False,True,False,False,True,True,True,True,True,False,,True,False,False,False,False,True,,False,True,False,True,,True,True,False,False,False
Hawaii,271,264.4,289.2,257.1,271.0,258.0,258.0,256.0,256.4,238.0,256.6,260.0,259.3,,270.8,,,,240.7,241.6,261.0,274.2,253.9,255.0,255.8,257.0,261.4,260.9,358.6,261.8,249.0,,,232.4,255.0,279.8,273.0,256.4,,246.7,268.4,254.5,260.0,,249.4,265.0,257.0,253.3,265.0,-6.6,18.2,-13.9,0.0,-13.0,-13.0,-15.0,-14.6,-33.0,-14.4,-11.0,-11.7,,-0.2,,,,-30.3,-29.4,-10.0,3.2,-17.1,-16.0,-15.2,-14.0,-9.6,-10.1,87.6,-9.2,-22.0,,,-38.6,-16.0,8.8,2.0,-14.6,,-24.3,-2.6,-16.5,-11.0,,-21.6,-6.0,-14.0,-17.7,-6.0,False,False,True,False,False,False,False,False,False,False,False,,True,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,,,False,False,False,True,False,,False,True,False,False,,False,True,False,False,True
Idaho,1169,1051.9,1067.7,1041.3,1064.0,1045.0,1085.0,1026.0,1095.1,1063.0,1230.3,1085.0,1055.3,1083.0,1113.9,,1022.0,1116.0,1139.7,1120.8,1107.0,1065.0,1098.6,1079.0,1057.3,1112.0,1123.4,1108.5,1095.9,1148.5,1157.0,,,1145.3,1170.0,1121.4,1064.0,1017.8,,1187.2,1133.7,1058.8,1050.0,,1120.9,1051.0,1007.0,987.2,1079.0,-117.1,-101.3,-127.7,-105.0,-124.0,-84.0,-143.0,-73.9,-106.0,61.3,-84.0,-113.7,-86.0,-55.1,,-147.0,-53.0,-29.3,-48.2,-62.0,-104.0,-70.4,-90.0,-111.7,-57.0,-45.6,-60.5,-73.1,-20.5,-12.0,,,-23.7,1.0,-47.6,-105.0,-151.2,,18.2,-35.3,-110.2,-119.0,,-48.1,-118.0,-162.0,-181.8,-90.0,True,False,True,False,True,False,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,False,,True,True,True,False,,True,False,False,False,True
Illinois,15232,14427.1,15098.6,14624.4,14659.0,14611.4,14637.0,14386.0,14667.2,13847.0,16103.0,14515.0,14353.2,14992.0,14819.8,,14539.0,14650.0,15129.8,14913.5,14631.0,14079.9,14815.5,14421.0,14437.0,14807.0,14980.7,14816.5,13878.1,14933.4,14323.5,,14816.2,17179.5,15218.0,14779.5,14052.0,14478.6,,15275.4,15021.4,14153.3,14378.0,14448.8,18861.1,14820.0,14591.5,13320.2,14478.0,-804.9,-133.4,-607.6,-573.0,-620.6,-595.0,-846.0,-564.8,-1385.0,871.0,-717.0,-878.8,-240.0,-412.2,,-693.0,-582.0,-102.2,-318.5,-601.0,-1152.1,-416.5,-811.0,-795.0,-425.0,-251.3,-415.5,-1353.9,-298.6,-908.5,,-415.8,1947.5,-14.0,-452.5,-1180.0,-753.4,,43.4,-210.6,-1078.7,-854.0,-783.2,3629.1,-412.0,-640.5,-1911.8,-754.0,True,True,True,True,True,False,True,False,False,True,False,True,True,,True,True,True,True,True,False,True,False,True,True,True,True,False,True,False,,True,False,True,True,False,True,,True,True,False,False,True,False,True,True,False,True
Indiana,7600,6390.7,6719.7,6500.2,6479.0,6497.0,6597.0,6497.0,6607.6,6268.0,7211.0,6752.0,6409.3,6651.7,6638.1,,6398.0,6546.0,6776.2,6660.8,6610.0,6076.7,6645.7,6235.0,6405.4,6561.0,6764.2,6649.7,6597.1,6689.1,6461.0,,6525.1,6687.0,6951.0,7115.2,6274.0,6490.2,,6837.3,6776.2,6354.2,6512.0,6482.9,8751.5,6637.0,6370.0,5646.3,6536.0,-543.3,-214.3,-433.8,-455.0,-437.0,-337.0,-437.0,-326.4,-666.0,277.0,-182.0,-524.7,-282.3,-295.9,,-536.0,-388.0,-157.8,-273.2,-324.0,-857.3,-288.3,-699.0,-528.6,-373.0,-169.8,-284.3,-336.9,-244.9,-473.0,,-408.9,-247.0,17.0,181.2,-660.0,-443.8,,-96.7,-157.8,-579.8,-422.0,-451.1,1817.5,-297.0,-564.0,-1287.7,-398.0,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,,True,True,True,True,False,True,,True,True,False,True,True,False,True,False,False,True
Iowa,3208,2764.9,2804.5,2744.5,2813.0,2743.0,2802.0,2766.0,2865.4,2572.0,3089.7,2875.0,2820.3,2755.6,2804.1,,2699.0,2853.0,2856.0,2790.4,2889.0,2765.6,2716.9,2704.0,2733.6,2909.0,2794.6,2862.2,2917.3,2888.5,2751.0,,2964.9,3130.2,2824.0,3438.0,2624.0,2712.0,,3059.3,2801.7,2691.3,2705.0,,3387.0,2744.0,2826.0,2537.3,2710.0,-443.1,-403.5,-463.5,-395.0,-465.0,-406.0,-442.0,-342.6,-636.0,-118.3,-333.0,-387.7,-452.4,-403.9,,-509.0,-355.0,-352.0,-417.6,-319.0,-442.4,-491.1,-504.0,-474.4,-299.0,-413.4,-345.8,-290.7,-319.5,-457.0,,-243.1,-77.8,-384.0,230.0,-584.0,-496.0,,-148.7,-406.3,-516.7,-503.0,,179.0,-464.0,-382.0,-670.7,-498.0,True,False,True,False,True,True,True,False,True,True,True,False,True,,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,,True,True,True,True,False,False,,True,True,False,False,,True,False,True,False,False
Kansas,2072,1750.0,1892.0,1786.9,1825.0,1767.0,1852.0,1716.0,1841.5,1803.0,2040.2,2007.0,1653.9,1944.0,1856.8,,1754.0,1906.0,1874.2,1879.5,1930.0,1723.9,1872.8,1757.0,1706.3,1943.0,1840.0,1812.9,1831.0,1905.8,1820.0,,,2466.5,1982.0,1791.4,1741.0,1821.1,,2012.8,1846.1,1792.3,1871.0,,1944.6,1847.0,1698.0,1530.7,1791.0,-322.0,-180.0,-285.1,-247.0,-305.0,-220.0,-356.0,-230.5,-269.0,-31.8,-65.0,-418.1,-128.0,-215.2,,-318.0,-166.0,-197.8,-192.5,-142.0,-348.1,-199.2,-315.0,-365.7,-129.0,-232.0,-259.1,-241.0,-166.2,-252.0,,,394.5,-90.0,-280.6,-331.0,-250.9,,-59.2,-225.9,-279.7,-201.0,,-127.4,-225.0,-374.0,-541.3,-281.0,True,True,True,True,True,False,True,True,True,True,False,True,True,,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,,,False,True,True,False,True,,True,True,True,True,,True,True,False,False,True
Kentucky,2192,2098.4,2228.7,2099.4,2133.0,2089.0,2150.0,2135.0,2260.5,2090.0,2223.8,2161.0,2099.6,2068.3,2199.1,,2058.0,2248.0,2169.9,2085.5,2230.0,2290.6,2163.7,2191.0,2142.5,2313.0,2128.6,2215.6,2058.9,2280.0,2135.0,,,2517.9,2188.0,2516.6,2140.0,2087.9,,2331.9,2137.2,2149.2,2174.0,,2599.0,2163.0,2079.5,2000.9,2107.0,-93.6,36.7,-92.6,-59.0,-103.0,-42.0,-57.0,68.5,-102.0,31.8,-31.0,-92.4,-123.7,7.1,,-134.0,56.0,-22.1,-106.5,38.0,98.6,-28.3,-1.0,-49.5,121.0,-63.4,23.6,-133.1,88.0,-57.0,,,325.9,-4.0,324.6,-52.0,-104.1,,139.9,-54.8,-42.8,-18.0,,407.0,-29.0,-112.5,-191.1,-85.0,True,True,True,False,True,True,True,False,True,True,True,False,True,,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,,,False,True,False,True,False,,False,True,True,True,,False,True,False,False,True
Louisiana,6767,6680.0,6820.6,6706.9,6719.0,6707.0,6747.0,6654.0,6784.5,6932.0,7037.6,6617.0,6650.2,6793.7,6758.3,,6626.0,6665.0,6804.2,7173.8,6849.0,6677.8,6783.5,6637.0,6647.2,6930.0,6789.1,6766.2,6698.7,6738.7,6739.0,,6701.1,6649.6,6862.0,6657.9,6661.0,6747.2,,6795.5,6798.5,6656.1,6711.0,,7490.6,6965.0,6588.0,6578.5,6693.0,-87.0,53.6,-60.1,-48.0,-60.0,-20.0,-113.0,17.5,165.0,270.6,-150.0,-116.8,26.7,-8.7,,-141.0,-102.0,37.2,406.8,82.0,-89.2,16.5,-130.0,-119.8,163.0,22.1,-0.8,-68.3,-28.3,-28.0,,-65.9,-117.4,95.0,-109.1,-106.0,-19.8,,28.5,31.5,-110.9,-56.0,,723.6,198.0,-179.0,-188.5,-74.0,True,True,True,True,True,False,True,False,False,False,False,True,True,,False,False,True,False,True,False,True,False,False,False,True,True,True,True,True,,True,False,False,False,False,True,,True,True,False,True,,False,False,False,False,True
Maine,257,218.9,230.4,224.6,228.0,225.0,228.0,188.0,222.7,207.0,263.4,226.0,215.7,225.8,240.2,,204.0,243.0,233.1,230.0,230.0,275.0,239.0,205.0,209.6,249.0,232.2,228.6,202.9,228.0,219.0,,,188.1,258.0,261.4,234.0,197.1,,228.8,245.5,219.0,219.0,,270.8,222.0,227.0,196.5,222.0,-38.1,-26.6,-32.4,-29.0,-32.0,-29.0,-69.0,-34.3,-50.0,6.4,-31.0,-41.3,-31.2,-16.8,,-53.0,-14.0,-23.9,-27.0,-27.0,18.0,-18.0,-52.0,-47.4,-8.0,-24.8,-28.4,-54.1,-29.0,-38.0,,,-68.9,1.0,4.4,-23.0,-59.9,,-28.2,-11.5,-38.0,-38.0,,13.8,-35.0,-30.0,-60.5,-35.0,True,True,True,True,True,False,True,False,True,True,False,True,True,,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,,,False,True,True,True,False,,True,True,True,True,,True,True,True,False,True
Maryland,5100,4979.7,5192.7,4982.5,4965.0,4976.0,4988.0,4941.0,4964.7,4956.0,5118.8,5069.0,4944.0,5234.1,5054.1,,4886.0,4945.0,5011.8,4985.2,4996.0,4883.9,4973.5,5033.0,5010.2,4958.0,4989.9,5036.7,4919.3,5012.8,4988.0,,5007.8,4754.9,4948.0,4992.2,4940.0,4977.2,,4968.9,5003.0,4849.1,4985.0,,5575.4,5087.0,5223.5,4668.0,5196.0,-120.3,92.7,-117.5,-135.0,-124.0,-112.0,-159.0,-135.3,-144.0,18.8,-31.0,-156.0,134.1,-45.9,,-214.0,-155.0,-88.2,-114.8,-104.0,-216.1,-126.5,-67.0,-89.8,-142.0,-110.1,-63.3,-180.7,-87.2,-112.0,,-92.2,-345.1,-152.0,-107.8,-160.0,-122.8,,-131.1,-97.0,-250.9,-115.0,,475.4,-13.0,123.5,-432.0,96.0,True,True,False,False,True,False,False,False,True,True,False,False,True,,False,False,True,True,True,False,False,True,True,False,True,True,False,True,True,,True,False,False,True,False,False,,False,True,False,True,,False,True,False,False,True
Massachusetts,11307,11112.0,11133.0,11055.5,11044.0,11052.0,11164.0,11131.0,11146.0,10951.0,11426.6,11346.0,11222.7,11285.8,11242.2,,10945.0,11099.0,11229.9,11137.0,11083.0,11089.7,11244.3,11146.0,11134.8,11108.0,11205.5,11230.3,11306.4,11164.7,10872.5,,11198.8,11009.1,11105.0,12275.0,11346.0,11002.4,,11232.6,11211.4,10980.2,11198.0,,12962.3,11122.0,11171.5,10871.5,10918.0,-195.0,-174.0,-251.5,-263.0,-255.0,-143.0,-176.0,-161.0,-356.0,119.6,39.0,-84.3,-21.2,-64.8,,-362.0,-208.0,-77.1,-170.0,-224.0,-217.3,-62.7,-161.0,-172.2,-199.0,-101.5,-76.7,-0.6,-142.3,-434.5,,-108.2,-297.9,-202.0,968.0,39.0,-304.6,,-74.4,-95.6,-326.8,-109.0,,1655.3,-185.0,-135.5,-435.5,-389.0,True,False,False,False,True,True,True,False,True,True,True,True,True,,False,False,True,True,False,False,True,True,True,False,True,True,True,True,False,,True,False,False,False,True,False,,True,True,False,True,,False,True,True,False,False
Michigan,11195,10566.4,11039.9,10644.0,10648.0,10651.0,10840.0,10416.0,10755.0,10082.0,11787.6,11021.0,10394.3,11032.2,10678.0,,10367.0,10815.0,11038.7,10856.5,10723.0,10426.4,11342.5,10908.0,10532.0,10787.0,10998.1,10852.9,9960.8,10921.1,10310.5,,10603.3,12075.4,11188.0,12463.2,10252.0,10530.0,,11226.3,11033.5,10427.6,10794.0,10854.0,15307.3,10920.0,10583.0,9596.8,10663.0,-628.6,-155.1,-551.0,-547.0,-544.0,-355.0,-779.0,-440.0,-1113.0,592.6,-174.0,-800.7,-162.8,-517.0,,-828.0,-380.0,-156.3,-338.5,-472.0,-768.6,147.5,-287.0,-663.0,-408.0,-196.9,-342.1,-1234.2,-273.9,-884.5,,-591.7,880.4,-7.0,1268.2,-943.0,-665.0,,31.3,-161.5,-767.4,-401.0,-341.0,4112.3,-275.0,-612.0,-1598.2,-532.0,True,True,True,True,True,False,True,False,True,True,False,True,True,,False,True,True,True,True,False,True,True,False,True,True,True,False,True,False,,True,False,True,False,False,False,,True,True,False,True,True,False,True,True,False,True
Minnesota,4418,4268.4,4418.2,4218.5,4262.0,4226.0,4428.0,4403.0,4493.5,4089.0,5261.6,4919.0,4250.1,4212.6,4312.4,,4153.0,4415.0,4609.6,4512.0,4426.0,4168.0,4471.4,4320.5,4358.8,4527.0,4494.8,4606.4,4250.4,4523.2,4282.0,,4645.1,5268.4,4756.0,5385.7,4440.0,4208.1,,4831.0,4513.1,4152.8,4392.0,,5867.2,4406.0,4472.0,3751.0,4547.0,-149.6,0.2,-199.5,-156.0,-192.0,10.0,-15.0,75.5,-329.0,843.6,501.0,-167.9,-205.4,-105.6,,-265.0,-3.0,191.6,94.0,8.0,-250.0,53.4,-97.5,-59.2,109.0,76.8,188.4,-167.6,105.2,-136.0,,227.1,850.4,338.0,967.7,22.0,-209.9,,413.0,95.1,-265.2,-26.0,,1449.2,-12.0,54.0,-667.0,129.0,True,False,False,False,True,True,True,False,False,False,False,False,True,,False,True,False,True,True,False,True,True,True,True,True,False,False,True,True,,False,False,False,False,True,False,,False,True,False,True,,False,True,True,False,True
Mississippi,4180,4047.4,4090.4,4023.8,4035.0,4023.0,4055.0,3849.0,4024.7,4019.0,4161.8,3970.0,4061.9,4065.9,4111.1,,4014.0,4010.0,4055.8,4066.1,4084.0,3960.2,4095.4,4075.0,4038.5,4052.0,4018.0,4066.1,4044.7,4068.4,4058.0,,4025.3,4158.6,4078.0,4274.5,4109.0,4029.6,,4075.1,4031.7,3958.7,4032.0,,4245.1,4098.0,4055.0,3938.6,4059.0,-132.6,-89.6,-156.2,-145.0,-157.0,-125.0,-331.0,-155.3,-161.0,-18.2,-210.0,-118.1,-114.1,-68.9,,-166.0,-170.0,-124.2,-113.9,-96.0,-219.8,-84.6,-105.0,-141.5,-128.0,-162.0,-113.9,-135.3,-111.6,-122.0,,-154.7,-21.4,-102.0,94.5,-71.0,-150.4,,-104.9,-148.3,-221.3,-148.0,,65.1,-82.0,-125.0,-241.4,-121.0,True,False,False,False,True,False,False,False,True,False,True,True,True,,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,,False,True,True,True,True,False,,True,False,False,False,,True,True,True,False,True
Missouri,4631,4355.1,4548.1,4362.8,4442.0,4384.0,4406.0,4378.0,4354.2,4085.0,4570.3,4659.0,4198.3,4445.8,4096.0,,4349.0,4575.0,4457.1,4017.6,4505.0,4082.2,4416.6,4111.0,4280.6,4432.0,4385.2,4335.6,4528.1,4463.9,4272.0,,4054.7,4235.1,4342.0,4947.1,4248.0,4160.3,,4714.1,4451.2,4281.4,4350.0,,4953.6,4390.0,4175.0,3796.8,3972.0,-246.9,-53.9,-239.2,-160.0,-218.0,-196.0,-224.0,-247.8,-517.0,-31.7,57.0,-403.7,-156.2,-506.0,,-253.0,-27.0,-144.9,-584.4,-97.0,-519.8,-185.4,-491.0,-321.4,-170.0,-216.8,-266.4,-73.9,-138.1,-330.0,,-547.3,-366.9,-260.0,345.1,-354.0,-441.7,,112.1,-150.8,-320.6,-252.0,,351.6,-212.0,-427.0,-805.2,-630.0,True,True,True,True,True,True,False,False,True,True,False,True,False,,False,True,True,False,True,False,True,False,False,True,True,False,True,True,False,,False,False,False,False,False,False,,True,True,False,False,,False,True,False,False,False
Montana,816,797.3,855.0,812.2,860.0,807.0,834.0,843.0,805.6,822.0,930.8,822.0,756.7,810.8,834.5,,855.0,865.0,894.4,823.1,870.0,789.3,855.0,752.0,777.1,866.0,839.5,847.8,691.4,911.1,854.0,,,1153.3,881.0,905.9,800.0,798.2,,949.3,849.0,799.7,836.0,,896.1,886.0,753.0,751.3,821.0,-18.7,39.0,-3.8,44.0,-9.0,18.0,27.0,-10.4,6.0,114.8,6.0,-59.3,-5.2,18.5,,39.0,49.0,78.4,7.1,54.0,-26.7,39.0,-64.0,-38.9,50.0,23.5,31.8,-124.6,95.1,38.0,,,337.3,65.0,89.9,-16.0,-17.8,,133.3,33.0,-16.3,20.0,,80.1,70.0,-63.0,-64.7,5.0,False,True,False,True,True,False,True,True,False,True,False,True,True,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,True,True,,False,False,True,False,,False,False,False,False,True
Nebraska,1365,1137.6,1238.2,1170.3,1204.0,1157.0,1228.0,1221.0,1229.4,1160.0,1419.7,1230.0,1171.3,1206.7,1264.5,,1113.0,1304.0,1274.1,1237.4,1268.0,1166.2,1227.0,1193.0,1160.0,1305.0,1255.6,1232.8,1235.8,1358.8,1245.0,,,1716.9,1344.0,1233.2,1171.0,1059.0,,1331.6,1265.0,1172.8,1171.0,,1343.3,1203.0,1154.5,1055.9,1196.0,-227.4,-126.8,-194.7,-161.0,-208.0,-137.0,-144.0,-135.6,-205.0,54.7,-135.0,-193.7,-158.3,-100.5,,-252.0,-61.0,-90.9,-127.6,-97.0,-198.8,-138.0,-172.0,-205.0,-60.0,-109.4,-132.2,-129.2,-6.2,-120.0,,,351.9,-21.0,-131.8,-194.0,-306.0,,-33.4,-100.0,-192.2,-194.0,,-21.7,-162.0,-210.5,-309.1,-169.0,True,True,True,True,True,True,True,True,True,True,True,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,False,True,True,True,False,,True,True,True,True,,True,True,True,False,True
Nevada,2520,2357.0,2511.2,2320.4,2354.0,2335.0,2415.0,2417.0,2392.2,2438.0,2469.3,2382.0,2324.0,2302.1,2415.6,,2345.0,2324.0,2400.9,2441.5,2375.0,2414.8,2425.8,2475.0,2384.1,2483.0,2396.8,2439.0,2375.0,2432.5,2275.0,,2414.1,2957.4,2416.0,2687.5,2348.0,2325.4,,2419.0,2408.0,2334.0,2415.0,,2582.4,2452.0,2464.5,2220.6,2483.0,-163.0,-8.8,-199.6,-166.0,-185.0,-105.0,-103.0,-127.8,-82.0,-50.7,-138.0,-196.0,-217.9,-104.4,,-175.0,-196.0,-119.1,-78.5,-145.0,-105.2,-94.2,-45.0,-135.9,-37.0,-123.2,-81.0,-145.0,-87.5,-245.0,,-105.9,437.4,-104.0,167.5,-172.0,-194.6,,-101.0,-112.0,-186.0,-105.0,,62.4,-68.0,-55.5,-299.4,-37.0,True,False,False,False,True,True,True,True,True,True,False,False,True,,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,,True,False,True,False,False,False,,True,True,False,True,,True,True,True,False,True
New Hampshire,600,552.0,565.8,553.8,548.0,553.0,565.0,563.0,571.8,539.0,559.0,597.0,562.2,594.9,584.9,,553.0,571.0,557.2,568.7,574.0,593.3,565.7,563.0,556.8,584.0,560.0,579.5,565.3,563.1,555.0,,,532.9,585.0,646.3,573.0,539.5,,575.3,574.2,560.2,567.0,,802.3,562.0,558.0,531.5,556.0,-48.0,-34.2,-46.2,-52.0,-47.0,-35.0,-37.0,-28.2,-61.0,-41.0,-3.0,-37.8,-5.1,-15.1,,-47.0,-29.0,-42.8,-31.3,-26.0,-6.7,-34.3,-37.0,-43.2,-16.0,-40.0,-20.5,-34.7,-36.9,-45.0,,,-67.1,-15.0,46.3,-27.0,-60.5,,-24.7,-25.8,-39.8,-33.0,,202.3,-38.0,-42.0,-68.5,-44.0,True,True,False,True,True,True,True,False,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,False,True,True,True,False,,True,True,True,True,,False,True,True,False,True
New Jersey,17732,17381.0,17674.8,17409.8,17477.0,17403.5,17530.0,17621.0,17522.1,17353.0,17796.7,17488.0,17365.3,18081.2,17734.0,,17361.0,17551.0,17557.6,17647.2,17479.0,17536.2,17580.9,17492.0,17460.4,17537.0,17519.7,17527.9,17364.1,17535.9,16978.0,,17419.7,17224.1,17456.0,17736.3,17372.0,17460.6,,17575.9,17536.5,17321.8,17371.0,,21223.5,17622.0,17751.0,17067.8,17698.0,-351.0,-57.2,-322.2,-255.0,-328.5,-202.0,-111.0,-209.9,-379.0,64.7,-244.0,-366.7,349.2,2.0,,-371.0,-181.0,-174.4,-84.8,-253.0,-195.8,-151.1,-240.0,-271.6,-195.0,-212.3,-204.1,-367.9,-196.1,-754.0,,-312.3,-507.9,-276.0,4.3,-360.0,-271.4,,-156.1,-195.5,-410.2,-361.0,,3491.5,-110.0,19.0,-664.2,-34.0,True,True,True,True,True,True,True,False,True,True,False,True,True,,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,,True,False,True,True,False,True,,True,True,False,False,,False,True,True,False,True
New Mexico,1913,1831.6,2003.3,1879.6,1909.0,1881.0,1925.0,1865.0,1932.8,2060.0,2286.5,1946.0,1814.8,1910.5,2020.4,,1777.0,1869.0,2026.1,1971.8,1898.0,1782.0,2007.4,1943.5,1851.9,1889.0,1926.8,1908.0,1650.7,1953.8,1951.0,,,1943.2,2087.0,2089.1,1755.0,1853.8,,1902.0,1940.2,1818.1,1889.0,,2335.3,2041.0,1883.0,1622.4,1949.0,-81.4,90.3,-33.4,-4.0,-32.0,12.0,-48.0,19.8,147.0,373.5,33.0,-98.2,-2.5,107.4,,-136.0,-44.0,113.1,58.8,-15.0,-131.0,94.4,30.5,-61.1,-24.0,13.8,-5.0,-262.3,40.8,38.0,,,30.2,174.0,176.1,-158.0,-59.2,,-11.0,27.2,-94.9,-24.0,,422.3,128.0,-30.0,-290.6,36.0,False,True,True,True,True,True,True,False,False,True,False,True,False,,False,True,False,True,True,False,False,True,True,True,True,True,False,True,True,,,True,False,False,False,True,,True,True,False,True,,False,False,True,False,True
