,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Google_Harvard-CPF,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
New York,34010,33607.7,33584.4,33633.6,33756.0,33676.8,33683.0,33813.0,33655.0,34018.3,33888.0,33616.2,33512.8,33636.6,,33728.4,33662.0,33712.3,33989.5,33804.0,33752.3,33656.5,33709.0,33560.7,33644.7,33806.0,33675.1,33699.3,,33637.2,33683.4,33422.0,,33639.7,33690.4,,33694.0,34158.2,33666.0,33583.1,,33641.5,33686.8,33732.0,33811.6,35711.6,33647.0,33618.0,33366.1,33539.0,-182.3,-205.6,-156.4,-34.0,-113.2,-107.0,23.0,-135.0,228.3,98.0,-173.8,-277.2,-153.4,,-61.6,-128.0,-77.7,199.5,14.0,-37.7,-133.5,-81.0,-229.3,-145.3,16.0,-114.9,-90.7,,-152.8,-106.6,-368.0,,-150.3,-99.6,,-96.0,368.2,-124.0,-206.9,,-148.5,-103.2,-58.0,21.6,1921.6,-143.0,-172.0,-423.9,-251.0,False,True,True,True,True,True,True,False,True,True,False,True,,True,True,True,False,True,True,True,True,False,True,True,True,True,,True,True,False,,True,True,,True,False,True,False,,True,True,True,True,False,True,True,False,False
North Carolina,4756,4794.1,5120.2,4806.7,4769.0,4789.4,4728.0,4879.0,4909.0,4777.7,4602.0,4734.8,4702.2,4784.2,,4584.1,4707.0,4815.1,4606.5,4895.0,4559.9,4645.5,4854.6,4570.3,4795.0,4666.0,4821.6,4724.0,,4549.1,4911.4,4679.0,,4570.4,4384.2,,4810.0,4033.3,4764.0,4658.1,,4469.4,4827.6,4736.0,4655.8,4829.2,4860.0,4712.5,4479.3,4841.0,38.1,364.2,50.7,13.0,33.4,-28.0,123.0,153.0,21.7,-154.0,-21.2,-53.8,28.2,,-171.9,-49.0,59.1,-149.5,139.0,-196.1,-110.5,98.6,-185.7,39.0,-90.0,65.6,-32.0,,-206.9,155.4,-77.0,,-185.6,-371.8,,54.0,-722.7,8.0,-97.9,,-286.6,71.6,-20.0,-100.2,73.2,104.0,-43.5,-276.7,85.0,False,False,True,True,True,False,False,True,False,True,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,False,False,,False,False,True,False,,False,False,True,False,False,False,False,False,False
North Dakota,726,604.6,585.8,590.4,658.0,595.0,652.0,570.0,853.0,811.1,641.0,697.6,680.1,758.6,,752.1,619.0,703.5,821.3,656.0,490.1,664.5,752.9,613.4,619.3,619.0,641.2,660.0,,732.7,690.7,640.0,,,546.5,,673.0,443.6,680.0,593.6,,708.5,655.3,662.0,651.7,630.1,714.0,652.0,531.2,598.0,-121.4,-140.2,-135.6,-68.0,-131.0,-74.0,-156.0,127.0,85.1,-85.0,-28.4,-45.9,32.6,,26.1,-107.0,-22.5,95.3,-70.0,-235.9,-61.5,26.9,-112.6,-106.7,-107.0,-84.8,-66.0,,6.7,-35.3,-86.0,,,-179.5,,-53.0,-282.4,-46.0,-132.4,,-17.5,-70.7,-64.0,-74.3,-95.9,-12.0,-74.0,-194.8,-128.0,False,False,True,False,True,False,False,True,True,True,True,True,,True,True,True,True,True,False,True,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,True,True,True,True,True,True,True,False,False
Ohio,5714,5603.1,6458.3,5579.0,5548.0,5622.7,5665.0,6240.0,5660.0,5663.2,5619.0,5568.5,5658.8,5890.1,,5742.6,5680.0,5505.5,5766.3,5749.0,5747.9,5504.0,5607.5,5434.1,5659.6,5629.0,5765.2,5684.4,6181.5,5504.8,5798.5,5531.0,,5388.6,5234.2,,5667.0,6439.5,5605.0,5555.8,,5206.0,5785.8,5808.0,5608.2,6542.6,5886.0,5508.0,5478.3,,-110.9,744.3,-135.0,-166.0,-91.3,-49.0,526.0,-54.0,-50.8,-95.0,-145.5,-55.2,176.1,,28.6,-34.0,-208.5,52.3,35.0,33.9,-210.0,-106.5,-279.9,-54.4,-85.0,51.2,-29.6,467.5,-209.2,84.5,-183.0,,-325.4,-479.8,,-47.0,725.5,-109.0,-158.2,,-508.0,71.8,94.0,-105.8,828.6,172.0,-206.0,-235.7,,False,False,False,True,True,False,True,True,True,False,True,False,,True,True,False,True,True,True,False,True,False,True,True,True,True,False,False,True,False,,False,False,,True,False,True,False,,False,True,True,True,False,False,False,False,
Oklahoma,1516,1471.9,1595.7,1498.0,1479.0,1494.0,1475.0,1384.0,1471.0,1425.8,1475.0,1457.6,1469.8,1459.3,,1534.2,1452.0,1472.0,1444.2,1589.0,1425.1,1462.5,1480.3,1413.3,1525.6,1529.0,1508.7,1498.0,,1415.7,1551.9,1539.0,,,1349.7,,1493.0,1490.2,1504.0,1462.5,,1409.2,1528.8,1471.0,1458.5,1597.5,1513.0,1508.0,1352.7,1482.0,-44.1,79.7,-18.0,-37.0,-22.0,-41.0,-132.0,-45.0,-90.2,-41.0,-58.4,-46.2,-56.7,,18.2,-64.0,-44.0,-71.8,73.0,-90.9,-53.5,-35.7,-102.7,9.6,13.0,-7.3,-18.0,,-100.3,35.9,23.0,,,-166.3,,-23.0,-25.8,-12.0,-53.5,,-106.8,12.8,-45.0,-57.5,81.5,-3.0,-8.0,-163.3,-34.0,False,True,True,True,True,False,False,False,True,False,False,False,,True,False,True,False,False,False,False,True,False,True,True,True,True,,False,True,True,,,False,,True,True,True,False,,False,True,False,False,False,True,True,False,True
Oregon,759,747.3,772.4,753.4,758.0,755.0,744.0,740.0,717.0,762.3,717.0,728.8,744.7,749.4,,714.9,732.0,730.1,729.2,803.0,800.7,741.0,744.4,719.3,725.9,786.0,829.2,753.0,,735.7,743.9,737.0,,,705.0,,757.0,817.8,746.0,744.7,,718.0,846.4,747.0,729.7,778.0,760.0,717.0,699.7,,-11.7,13.4,-5.6,-1.0,-4.0,-15.0,-19.0,-42.0,3.3,-42.0,-30.2,-14.3,-9.6,,-44.1,-27.0,-28.9,-29.8,44.0,41.7,-18.0,-14.6,-39.7,-33.1,27.0,70.2,-6.0,,-23.3,-15.1,-22.0,,,-54.0,,-2.0,58.8,-13.0,-14.3,,-41.0,87.4,-12.0,-29.3,19.0,1.0,-42.0,-59.3,,False,True,True,True,False,False,False,True,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,,,False,,True,False,False,False,,False,False,False,False,False,True,False,False,
Pennsylvania,9252,9167.0,9352.4,9214.2,9110.0,9218.8,9218.0,9324.0,9426.0,9310.5,9150.0,9295.1,9137.2,9368.6,,9370.7,9118.0,9252.8,9387.7,9257.0,9177.2,9095.0,9411.8,8987.8,9250.0,9054.0,9323.5,9171.3,,9336.9,9327.7,8954.0,,9071.3,8839.5,,9250.0,9232.7,9260.0,9035.6,,9048.5,9348.4,9192.0,9185.0,10362.4,9302.0,9217.5,8905.5,9139.0,-85.0,100.4,-37.8,-142.0,-33.2,-34.0,72.0,174.0,58.5,-102.0,43.1,-114.8,116.6,,118.7,-134.0,0.8,135.7,5.0,-74.8,-157.0,159.8,-264.2,-2.0,-198.0,71.5,-80.7,,84.9,75.7,-298.0,,-180.7,-412.5,,-2.0,-19.3,8.0,-216.4,,-203.5,96.4,-60.0,-67.0,1110.4,50.0,-34.5,-346.5,-113.0,False,True,False,True,True,True,False,True,False,True,False,False,,False,False,True,False,True,True,False,False,False,True,False,True,True,,True,True,False,,False,False,,True,True,True,False,,False,False,True,True,False,True,True,False,False
Rhode Island,1254,1248.4,1292.8,1250.6,1242.0,1253.6,1264.0,1238.0,1363.0,1292.0,1258.0,1340.0,1260.8,1243.5,,1234.3,1251.0,1264.5,1344.4,1206.0,1236.9,1227.0,1295.2,1219.6,1245.4,1216.0,1259.9,1277.8,,1276.6,1281.2,1269.0,,,1182.2,,1272.0,1403.1,1309.0,1228.2,,1233.7,1280.8,1314.0,1252.0,1340.9,1294.0,1245.0,1170.8,1238.0,-5.6,38.8,-3.4,-12.0,-0.4,10.0,-16.0,109.0,38.0,4.0,86.0,6.8,-10.5,,-19.7,-3.0,10.5,90.4,-48.0,-17.1,-27.0,41.2,-34.4,-8.6,-38.0,5.9,23.8,,22.6,27.2,15.0,,,-71.8,,18.0,149.1,55.0,-25.8,,-20.3,26.8,60.0,-2.0,86.9,40.0,-9.0,-83.2,-16.0,False,True,False,True,False,False,False,False,True,False,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,False,False,,False,False,False,True,False,False,False,False,False
South Carolina,4110,4236.3,4607.5,4288.6,4190.0,4260.9,4137.0,4135.0,4139.0,4008.6,4029.0,4127.2,4087.6,4138.8,,4159.7,4070.0,4071.1,4033.3,4264.0,3958.9,4136.5,4203.0,4101.3,4219.6,4052.0,4175.6,4136.7,,4041.1,4118.1,3977.0,,4060.2,3933.1,,4201.0,4926.0,4239.0,4195.8,,3972.1,4204.5,4156.0,4251.0,4231.5,4242.0,4185.0,4049.2,4298.0,126.3,497.5,178.6,80.0,150.9,27.0,25.0,29.0,-101.4,-81.0,17.2,-22.4,28.8,,49.7,-40.0,-38.9,-76.7,154.0,-151.1,26.5,93.0,-8.7,109.6,-58.0,65.6,26.7,,-68.9,8.1,-133.0,,-49.8,-176.9,,91.0,816.0,129.0,85.8,,-137.9,94.5,46.0,141.0,121.5,132.0,75.0,-60.8,188.0,False,False,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,False,False,True,True,True,True,True,True,True,,True,True,False,,True,False,,True,False,False,True,,False,True,True,False,True,False,True,True,False
South Dakota,621,523.6,563.5,527.1,508.0,519.0,551.0,463.0,599.0,576.2,534.0,558.7,525.7,568.8,,492.3,478.0,550.0,561.7,575.0,395.2,504.0,567.9,530.1,532.8,559.0,581.7,552.2,,541.4,564.3,616.0,,,431.5,,557.0,460.5,605.0,503.0,,504.7,602.0,562.0,541.2,564.0,572.0,655.5,421.6,542.0,-97.4,-57.5,-93.9,-113.0,-102.0,-70.0,-158.0,-22.0,-44.8,-87.0,-62.3,-95.3,-52.2,,-128.7,-143.0,-71.0,-59.3,-46.0,-225.8,-117.0,-53.1,-90.9,-88.2,-62.0,-39.3,-68.8,,-79.6,-56.7,-5.0,,,-189.5,,-64.0,-160.5,-16.0,-118.0,,-116.3,-19.0,-59.0,-79.8,-57.0,-49.0,34.5,-199.4,-79.0,True,True,False,False,True,False,True,True,True,True,True,True,,False,False,True,True,True,False,False,True,True,True,True,True,True,,True,True,True,,,False,,True,False,True,False,,False,True,True,True,True,True,True,False,True
Tennessee,3877,3765.3,3884.8,3704.9,3620.0,3691.0,3703.0,3866.0,4015.0,3910.6,3559.0,3639.8,3660.0,3964.4,,3780.7,3640.0,3806.3,3864.5,3838.0,3445.7,3622.5,3916.3,3690.8,3772.3,3564.0,3790.9,3820.1,,3418.4,3817.1,3498.0,,3627.5,3099.4,,3792.0,3544.3,3856.0,3652.1,,3593.7,3805.9,3894.0,3662.4,3609.2,3810.0,3709.0,3385.8,3701.0,-111.7,7.8,-172.1,-257.0,-186.0,-174.0,-11.0,138.0,33.6,-318.0,-237.2,-217.0,87.4,,-96.3,-237.0,-70.7,-12.5,-39.0,-431.3,-254.5,39.3,-186.2,-104.7,-313.0,-86.1,-56.9,,-458.6,-59.9,-379.0,,-249.5,-777.6,,-85.0,-332.7,-21.0,-224.9,,-283.3,-71.1,17.0,-214.6,-267.8,-67.0,-168.0,-491.2,-176.0,True,False,False,False,False,True,False,True,False,False,False,True,,True,False,True,True,True,False,False,True,False,True,False,True,True,,False,True,False,,False,False,,True,False,True,False,,False,True,True,False,False,True,False,False,False
Texas,20049,19355.0,19224.6,19393.6,19410.0,19341.0,19364.0,20195.0,19090.0,19318.5,19027.0,19102.7,19470.6,20408.8,,18941.6,19266.0,19448.4,19728.8,19444.0,19053.2,18141.5,19917.8,18884.4,19471.4,19145.0,19877.6,19457.6,,19237.1,19806.1,18769.5,,20021.8,18667.2,24163.0,19474.0,20325.1,19788.0,19287.4,,19080.7,19905.2,19702.0,19664.5,19949.1,19598.0,19092.0,19107.5,18734.0,-607.0,-737.4,-568.4,-552.0,-621.0,-598.0,233.0,-872.0,-643.5,-935.0,-859.3,-491.4,446.8,,-1020.4,-696.0,-513.6,-233.2,-518.0,-908.8,-1820.5,-44.2,-1077.6,-490.6,-817.0,-84.4,-504.4,,-724.9,-155.9,-1192.5,,59.8,-1294.8,4201.0,-488.0,363.1,-174.0,-674.6,,-881.3,-56.8,-260.0,-297.5,-12.9,-364.0,-870.0,-854.5,-1228.0,False,True,True,False,True,True,False,False,False,False,True,True,,False,False,True,True,True,False,False,True,False,True,False,True,True,,False,True,False,,True,False,False,True,True,True,False,,False,True,True,True,True,True,False,False,False
Utah,710,654.9,662.9,646.6,665.0,652.0,680.0,685.0,682.0,804.7,642.0,665.8,662.8,572.3,,683.2,682.0,698.5,570.9,588.0,661.5,671.0,694.0,683.5,718.4,696.0,696.2,728.6,,679.7,675.2,656.5,,,576.7,,684.0,680.5,690.0,654.7,,694.3,712.8,694.0,633.8,744.3,669.0,661.0,489.7,656.0,-55.1,-47.1,-63.4,-45.0,-58.0,-30.0,-25.0,-28.0,94.7,-68.0,-44.2,-47.2,-137.7,,-26.8,-28.0,-11.5,-139.1,-122.0,-48.5,-39.0,-16.0,-26.5,8.4,-14.0,-13.8,18.6,,-30.3,-34.8,-53.5,,,-133.3,,-26.0,-29.5,-20.0,-55.3,,-15.7,2.8,-16.0,-76.2,34.3,-41.0,-49.0,-220.3,-54.0,True,False,True,False,True,True,True,False,False,True,True,False,,True,True,True,False,False,True,True,True,True,True,True,True,True,,True,True,True,,,False,,True,True,True,False,,True,True,True,False,True,True,True,False,True
Vermont,59,58.0,58.1,58.0,58.0,58.0,59.0,59.0,58.0,58.4,61.0,59.8,59.8,60.0,,59.2,58.0,58.0,58.6,63.0,64.1,58.0,59.1,62.3,58.0,81.0,58.0,73.6,,60.2,58.0,58.0,,,58.0,,60.0,60.3,72.0,58.0,,58.1,77.6,60.0,59.7,68.2,58.0,59.0,57.9,,-1.0,-0.9,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-0.6,2.0,0.8,0.8,1.0,,0.2,-1.0,-1.0,-0.4,4.0,5.1,-1.0,0.1,3.3,-1.0,22.0,-1.0,14.6,,1.2,-1.0,-1.0,,,-1.0,,1.0,1.3,13.0,-1.0,,-0.9,18.6,1.0,0.7,9.2,-1.0,0.0,-1.1,,True,False,False,False,True,True,False,True,False,True,True,True,,True,False,False,True,False,False,False,True,False,True,False,True,False,,False,False,False,,,False,,False,False,False,False,,True,False,False,True,False,False,True,False,
Virginia,3799,3989.3,4358.6,3980.2,3957.0,4038.9,3905.0,4027.0,3849.0,3826.9,3705.0,4023.9,3864.5,3884.2,,3646.7,3955.0,3833.1,3860.4,4014.0,3906.6,3887.0,3898.9,3800.7,3929.5,3950.0,3997.0,3906.8,,3775.0,3889.9,4006.0,,3918.5,3766.4,,3975.0,3818.4,3929.0,3895.6,,3611.5,4021.9,3896.0,3926.3,4037.9,3990.0,3831.5,3784.3,4024.0,194.3,563.6,185.2,162.0,243.9,110.0,232.0,54.0,31.9,-90.0,228.9,69.5,89.2,,-148.3,160.0,38.1,65.4,219.0,111.6,92.0,103.9,5.7,134.5,155.0,202.0,111.8,,-20.0,94.9,211.0,,123.5,-28.6,,180.0,23.4,134.0,100.6,,-183.5,226.9,101.0,131.3,242.9,195.0,36.5,-10.7,229.0,False,True,True,False,True,False,True,True,True,False,True,True,,True,True,True,True,False,True,True,True,True,True,True,False,True,,True,True,False,,True,True,,True,True,True,True,,True,False,True,True,False,False,True,True,False
Washington,2493,2458.9,2564.2,2464.4,2484.0,2467.0,2472.0,2517.0,2482.0,2468.4,2408.0,2397.7,2453.9,2473.8,,2397.3,2512.0,2524.7,2515.0,2496.0,2488.0,2446.5,2499.1,2421.7,2441.2,2486.0,2478.4,2482.2,,2363.7,2496.7,2497.0,,2471.5,2415.7,,2502.0,2502.4,2496.0,2460.5,,2450.1,2470.1,2475.0,2468.9,2643.1,2480.0,2425.0,2400.2,2490.0,-45.1,60.2,-39.6,-20.0,-37.0,-32.0,13.0,-22.0,-35.6,-96.0,-106.3,-50.1,-30.2,,-106.7,8.0,20.7,11.0,-8.0,-16.0,-57.5,-4.9,-82.3,-62.8,-18.0,-25.6,-21.8,,-140.3,-7.3,-7.0,,-32.5,-88.3,,-2.0,-1.6,-8.0,-43.5,,-53.9,-33.9,-29.0,-35.1,139.1,-24.0,-79.0,-103.8,-14.0,False,True,True,True,True,True,True,True,False,False,False,True,,False,True,True,True,True,True,False,True,False,False,True,True,True,,False,True,True,,True,False,,True,True,True,True,,False,True,True,True,False,True,False,False,True
West Virginia,574,490.7,567.3,489.9,503.0,493.0,503.0,505.0,517.0,488.2,504.0,538.0,477.6,502.3,,489.6,528.0,484.9,540.3,532.0,513.1,487.0,512.0,473.2,476.8,548.0,502.2,,,477.4,510.6,486.0,,,435.2,,510.0,605.7,491.0,487.9,,441.4,520.5,477.0,482.4,532.0,510.0,463.0,465.5,,-83.3,-6.7,-84.1,-71.0,-81.0,-71.0,-69.0,-57.0,-85.8,-70.0,-36.0,-96.4,-71.7,,-84.4,-46.0,-89.1,-33.7,-42.0,-60.9,-87.0,-62.0,-100.8,-97.2,-26.0,-71.8,,,-96.6,-63.4,-88.0,,,-138.8,,-64.0,31.7,-83.0,-86.1,,-132.6,-53.5,-97.0,-91.6,-42.0,-64.0,-111.0,-108.5,,True,False,True,True,True,True,True,False,True,True,False,True,,False,True,False,True,True,True,False,True,False,False,True,True,,,False,True,False,,,False,,True,True,True,False,,False,True,False,False,True,True,False,False,
Wisconsin,2739,2360.9,2773.9,2367.5,2064.0,2358.0,2367.0,2531.0,2285.0,2315.4,2108.0,2182.9,,2378.1,,2199.7,2266.0,2397.5,2345.8,2533.0,2166.8,2342.0,2591.6,2179.5,2452.5,2235.0,2510.3,,2197.5,2156.5,2556.1,2589.0,,2070.6,1975.5,,2406.0,2158.2,2429.0,2213.7,,2221.9,2534.9,2301.0,2506.0,2773.8,2398.0,2487.0,1915.5,2449.0,-75.1,337.9,-68.5,-372.0,-78.0,-69.0,95.0,-151.0,-120.6,-328.0,-253.1,,-57.9,,-236.3,-170.0,-38.5,-90.2,97.0,-269.2,-94.0,155.6,-256.5,16.5,-201.0,74.3,,-238.5,-279.5,120.1,153.0,,-365.4,-460.5,,-30.0,-277.8,-7.0,-222.3,,-214.1,98.9,-135.0,70.0,337.8,-38.0,51.0,-520.5,13.0,False,True,False,False,True,False,False,False,False,False,,True,,False,False,True,False,False,False,False,False,False,True,False,True,,False,False,False,False,,False,False,,True,False,True,False,,False,False,False,True,False,True,True,False,True
Wyoming,144,99.4,179.8,101.9,90.0,101.0,96.0,108.0,95.0,93.8,87.0,93.1,88.3,102.3,,68.3,82.0,87.5,87.4,147.0,92.0,85.0,99.1,90.2,90.1,133.0,121.3,,,90.3,116.8,84.0,,,61.6,,97.0,99.8,114.0,74.6,,70.3,140.9,98.0,74.9,113.6,107.0,79.0,75.5,94.0,-44.6,35.8,-42.1,-54.0,-43.0,-48.0,-36.0,-49.0,-50.2,-57.0,-50.9,-55.7,-41.7,,-75.7,-62.0,-56.5,-56.6,3.0,-52.0,-59.0,-44.9,-53.8,-53.9,-11.0,-22.7,,,-53.7,-27.2,-60.0,,,-82.4,,-47.0,-44.2,-30.0,-69.4,,-73.7,-3.1,-46.0,-69.1,-30.4,-37.0,-65.0,-68.5,-50.0,True,True,False,True,False,True,False,False,False,False,False,True,,False,False,False,False,True,False,False,False,False,False,True,True,,,False,True,False,,,False,,False,True,True,False,,False,True,False,False,True,True,False,False,False
US,245776,241100.4,246285.3,241432.6,,241706.2,242440.0,244477.0,246515.0,244075.0,238624.0,240786.6,242914.6,,247753.0,241559.6,240860.0,243644.4,245419.1,241889.0,237539.2,,246428.9,236291.8,244638.4,240052.0,243998.1,242214.4,,238233.3,245054.0,237938.5,243646.3,241062.4,239851.1,238397.0,245760.6,249997.8,245193.0,239536.8,244515.0,,244934.5,245051.0,242991.9,255847.4,246120.5,241451.5,235889.0,240863.0,-4047.6,1137.3,-3715.4,,-3441.8,-2708.0,-671.0,1367.0,-1073.0,-6524.0,-4361.4,-2233.4,,2605.0,-3588.4,-4288.0,-1503.6,271.1,-3259.0,-7608.8,,1280.9,-8856.2,-509.6,-5096.0,-1149.9,-2933.6,,-6914.7,-94.0,-7209.5,-1501.7,-4085.6,-5296.9,-6751.0,612.6,4849.8,45.0,-5611.2,-633.0,,-213.5,-97.0,-2156.1,10699.4,972.5,-3696.5,-9259.0,-4285.0,True,True,,True,True,True,True,True,False,False,True,,True,True,False,True,True,True,False,,True,False,True,False,True,True,,False,True,False,True,False,False,False,True,False,True,False,True,,True,True,True,False,True,True,False,False
