,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,8956,8427.1,7862.6,8447.4,7998.0,8286.3,8345.0,8238.0,8039.5,8136.8,8088.7,8039.5,,8399.0,8045.0,,7955.3,,8402.9,7961.0,7964.4,-528.9,-1093.4,-508.6,-958.0,-669.7,-611.0,-718.0,-916.5,-819.2,-867.3,-916.5,,-557.0,-911.0,,-1000.7,,-553.1,-995.0,-991.6,False,True,False,False,False,False,False,False,False,False,,False,False,,False,,False,False,False
Hawaii,222,296.6,546.1,285.0,218.0,186.7,184.0,,203.5,189.6,293.0,218.0,,202.7,214.0,,175.8,,192.7,260.0,203.5,74.6,324.1,63.0,-4.0,-35.3,-38.0,,-18.5,-32.4,71.0,-4.0,,-19.3,-8.0,,-46.2,,-29.3,38.0,-18.5,False,True,True,True,True,,True,True,True,True,,True,True,,True,,True,True,True
Idaho,759,610.9,740.1,600.0,1274.0,650.3,617.0,615.0,691.2,710.2,687.8,559.0,,677.6,558.0,,493.1,,602.2,646.0,558.1,-148.1,-18.9,-159.0,515.0,-108.7,-142.0,-144.0,-67.8,-48.8,-71.2,-200.0,,-81.4,-201.0,,-265.9,,-156.8,-113.0,-200.9,True,False,False,True,True,True,True,True,True,False,,True,False,,False,,False,True,False
Illinois,11088,10182.1,10625.1,10172.5,9989.0,9826.9,9668.0,9831.0,10217.8,10190.1,10033.0,9591.4,10184.0,9754.9,9929.0,,9791.2,,9850.0,10316.0,9167.1,-905.9,-462.9,-915.5,-1099.0,-1261.1,-1420.0,-1257.0,-870.2,-897.9,-1055.0,-1496.6,-904.0,-1333.1,-1159.0,,-1296.8,,-1238.0,-772.0,-1920.9,True,False,False,False,False,False,True,True,False,False,True,False,False,,False,,False,True,False
Indiana,4888,4224.6,4240.8,4224.2,4239.0,4182.4,4141.0,4186.0,4174.2,4289.5,4232.9,4031.3,3788.0,4123.1,4115.0,,3855.0,,4052.7,4347.0,3754.2,-663.4,-647.2,-663.8,-649.0,-705.6,-747.0,-702.0,-713.8,-598.5,-655.1,-856.7,-1100.0,-764.9,-773.0,,-1033.0,,-835.3,-541.0,-1133.8,True,False,True,False,False,False,False,True,True,False,False,False,False,,False,,False,True,False
Iowa,1985,1802.9,1966.5,1783.1,1714.0,1726.4,1766.0,1696.0,1854.2,1766.6,1820.0,1535.0,,1578.8,1607.0,,1532.3,,1735.6,1864.0,1554.8,-182.1,-18.5,-201.9,-271.0,-258.6,-219.0,-289.0,-130.8,-218.4,-165.0,-450.0,,-406.2,-378.0,,-452.7,,-249.4,-121.0,-430.2,True,False,False,False,False,False,True,False,True,False,,False,False,,False,,False,True,False
Kansas,1256,1012.1,1069.2,1020.2,1171.0,977.7,911.0,886.0,1005.0,998.5,981.6,821.2,,926.1,1022.0,,742.0,,937.0,927.0,807.9,-235.9,-178.8,-227.8,-77.0,-270.3,-337.0,-362.0,-243.0,-249.5,-266.4,-426.8,,-321.9,-226.0,,-506.0,,-311.0,-321.0,-440.1,True,True,True,False,False,False,False,False,False,False,,False,True,,False,,False,False,False
Kentucky,1658,1513.6,1638.8,1510.5,1577.0,1497.3,1580.0,1530.0,1613.8,1546.3,1739.9,1417.0,2067.0,1310.9,1641.0,,1392.3,,1562.7,1664.0,1368.3,-144.4,-19.2,-147.5,-81.0,-160.7,-78.0,-128.0,-44.2,-111.7,81.9,-241.0,409.0,-347.1,-17.0,,-265.7,,-95.3,6.0,-289.7,True,False,True,False,True,True,True,True,True,False,False,False,True,,False,,True,True,False
Louisiana,6121,6233.0,6242.9,6153.9,5824.0,5982.9,5902.0,6014.0,6018.6,5967.8,5977.6,5940.1,,6002.8,5863.0,,5899.4,,6342.1,5903.0,5867.5,112.0,121.9,32.9,-297.0,-138.1,-219.0,-107.0,-102.4,-153.2,-143.4,-180.9,,-118.2,-258.0,,-221.6,,221.1,-218.0,-253.5,False,True,False,False,False,True,True,False,False,False,,False,False,,False,,False,False,False
Maine,163,153.7,147.5,155.3,151.0,155.4,153.0,158.0,157.4,156.7,186.5,151.1,,147.2,151.0,,146.7,,146.9,157.0,151.2,-9.3,-15.5,-7.7,-12.0,-7.6,-10.0,-5.0,-5.6,-6.3,23.5,-11.9,,-15.8,-12.0,,-16.3,,-16.1,-6.0,-11.8,False,True,False,True,False,True,True,True,False,False,,False,False,,False,,False,True,False
Maryland,4293,4092.7,3989.6,4166.8,4143.0,4186.4,4029.0,4125.0,4161.6,4272.0,4402.8,4077.3,,4335.1,4137.0,,4043.0,,4094.2,4182.0,4075.4,-200.3,-303.4,-126.2,-150.0,-106.6,-264.0,-168.0,-131.4,-21.0,109.8,-215.7,,42.1,-156.0,,-250.0,,-198.8,-111.0,-217.6,False,True,True,True,False,True,True,True,True,False,,True,True,,False,,True,True,False
Massachusetts,10293,10130.9,10147.9,10249.3,11967.0,10804.3,9846.0,9863.0,10626.8,10390.6,9996.2,10003.1,,9946.0,9785.0,,9662.5,,9867.4,10742.0,9790.9,-162.1,-145.1,-43.7,1674.0,511.3,-447.0,-430.0,333.8,97.6,-296.8,-289.9,,-347.0,-508.0,,-630.5,,-425.6,449.0,-502.1,True,True,False,False,False,False,False,True,False,False,,False,False,,False,,False,False,False
Michigan,8376,7592.6,7873.8,7640.1,7590.0,7533.7,7329.0,7467.0,7690.6,8004.5,7897.8,7310.5,9344.5,7307.5,7508.0,,7324.2,,7416.8,7731.0,7211.6,-783.4,-502.2,-735.9,-786.0,-842.3,-1047.0,-909.0,-685.4,-371.5,-478.2,-1065.5,968.5,-1068.5,-868.0,,-1051.8,,-959.2,-645.0,-1164.4,True,True,False,False,False,False,True,True,True,False,False,False,False,,False,,False,True,False
Minnesota,2930,2560.6,2955.6,2545.7,3057.0,2504.6,2320.0,2491.0,2639.4,2620.2,2523.9,2365.7,3660.0,2365.4,2443.0,,2364.2,,2535.2,2741.0,2260.1,-369.4,25.6,-384.3,127.0,-425.4,-610.0,-439.0,-290.6,-309.8,-406.1,-564.3,730.0,-564.6,-487.0,,-565.8,,-394.8,-189.0,-669.9,True,False,True,False,False,False,True,True,False,False,False,False,False,,False,,False,True,False
Mississippi,3540,3563.6,3253.0,3609.9,3654.0,3558.5,3339.0,3597.0,3616.7,3599.5,3306.8,3351.8,,3305.6,3321.0,,3277.4,,3544.5,3595.0,3396.0,23.6,-287.0,69.9,114.0,18.5,-201.0,57.0,76.7,59.5,-233.2,-188.2,,-234.4,-219.0,,-262.6,,4.5,55.0,-144.0,False,False,False,True,False,False,False,False,False,False,,False,False,,False,,True,False,False
Missouri,3387,2965.0,2721.6,2914.8,2948.0,3199.4,2872.0,2897.0,2802.5,2945.5,2825.7,4591.6,,3049.7,3457.0,,2791.8,,2500.9,2926.0,2332.7,-422.0,-665.4,-472.2,-439.0,-187.6,-515.0,-490.0,-584.5,-441.5,-561.3,1204.6,,-337.3,70.0,,-595.2,,-886.1,-461.0,-1054.3,False,False,False,True,False,False,False,False,False,False,,True,True,,False,,False,False,False
Montana,514,269.0,241.4,276.0,1155.0,445.6,292.0,277.0,422.7,536.2,294.7,283.2,,300.4,250.0,,194.6,,261.7,432.0,227.8,-245.0,-272.6,-238.0,641.0,-68.4,-222.0,-237.0,-91.3,22.2,-219.3,-230.8,,-213.6,-264.0,,-319.4,,-252.3,-82.0,-286.2,False,True,False,True,True,True,True,True,True,True,,True,False,,False,,False,True,False
Nebraska,779,682.6,776.2,665.2,790.0,687.9,626.0,608.0,644.6,686.9,703.0,589.8,,697.2,680.0,,549.8,,540.2,703.0,559.6,-96.4,-2.8,-113.8,11.0,-91.1,-153.0,-171.0,-134.4,-92.1,-76.0,-189.2,,-81.8,-99.0,,-229.2,,-238.8,-76.0,-219.4,True,False,True,True,False,False,False,True,True,False,,True,False,,False,,False,True,False
Nevada,1908,1845.6,1682.6,1847.8,2740.0,2008.2,1819.0,1817.0,1980.8,2018.2,1852.2,1839.4,,1809.7,1787.5,,1784.2,,1993.5,1955.0,1832.5,-62.4,-225.4,-60.2,832.0,100.2,-89.0,-91.0,72.8,110.2,-55.8,-68.6,,-98.3,-120.5,,-123.8,,85.5,47.0,-75.5,False,True,False,False,False,False,False,False,True,False,,False,False,,False,,False,True,False
New Hampshire,499,466.4,777.6,467.8,456.0,454.2,457.0,467.0,453.3,466.9,484.6,467.7,,475.4,446.0,,445.0,,470.6,491.0,451.1,-32.6,278.6,-31.2,-43.0,-44.8,-42.0,-32.0,-45.7,-32.1,-14.4,-31.3,,-23.6,-53.0,,-54.0,,-28.4,-8.0,-47.9,False,True,False,False,False,True,False,True,True,True,,True,False,,False,,True,True,False
New Jersey,16548,16311.7,16261.6,16634.1,17230.0,16612.3,16409.0,16372.5,16554.6,16759.0,16521.9,16340.2,,16338.4,16147.0,,16188.7,,16270.6,16529.0,16355.2,-236.3,-286.4,86.1,682.0,64.3,-139.0,-175.5,6.6,211.0,-26.1,-207.8,,-209.6,-401.0,,-359.3,,-277.4,-19.0,-192.8,False,True,False,True,True,True,True,True,True,True,,True,False,,False,,False,True,True
New Mexico,1208,1020.9,1003.7,1010.0,1879.0,1116.1,959.0,1003.0,1162.1,1164.6,1110.2,1024.5,,1032.6,993.0,,999.2,,973.5,1150.0,979.5,-187.1,-204.3,-198.0,671.0,-91.9,-249.0,-205.0,-45.9,-43.4,-97.8,-183.5,,-175.4,-215.0,,-208.8,,-234.5,-58.0,-228.5,False,False,False,True,False,False,True,True,True,True,,True,False,,False,,False,True,False
New York,34010,33638.4,34235.9,34250.3,33658.0,33720.9,33452.0,33461.0,33522.4,33866.1,33939.9,33488.7,,33558.4,33203.0,,33547.6,,33385.8,33944.0,33242.3,-187.6,409.9,424.3,-168.0,-105.1,-374.0,-365.0,-303.6,40.1,113.9,-337.3,,-267.6,-623.0,,-278.4,,-440.2,118.0,-583.7,False,False,True,True,False,False,False,True,True,False,,False,False,,False,,False,True,False
North Carolina,4756,4764.4,4408.4,4762.0,4556.0,4702.9,4335.0,4554.0,4808.4,4575.7,5109.4,4166.6,,4305.0,4127.0,,4122.6,,4462.8,4897.0,4195.6,8.4,-347.6,6.0,-200.0,-53.1,-421.0,-202.0,52.4,-180.3,353.4,-589.4,,-451.0,-629.0,,-633.4,,-293.2,141.0,-560.4,False,True,False,False,False,False,False,False,False,False,,False,False,,False,,False,False,False
North Dakota,726,525.9,521.5,535.0,620.0,614.3,433.0,457.0,575.7,420.8,360.7,440.7,,599.1,841.0,,315.4,,379.5,626.0,342.1,-200.1,-204.5,-191.0,-106.0,-111.7,-293.0,-269.0,-150.3,-305.2,-365.3,-285.3,,-126.9,115.0,,-410.6,,-346.5,-100.0,-383.9,False,True,True,True,False,False,True,False,False,False,,True,True,,False,,False,True,False
Ohio,5714,6002.7,6775.7,6036.6,5656.0,5673.0,5654.0,5354.5,5757.2,5731.5,6131.3,5502.7,7173.0,5311.5,5925.0,,5431.7,,5663.9,6003.0,5463.2,288.7,1061.7,322.6,-58.0,-41.0,-60.0,-359.5,43.2,17.5,417.3,-211.3,1459.0,-402.5,211.0,,-282.3,,-50.1,289.0,-250.8,False,False,True,True,True,False,True,True,False,True,False,False,True,,True,,True,False,True
Oklahoma,1516,1314.6,1234.3,1333.1,1410.0,1453.4,1453.0,1378.0,1471.0,1380.4,1449.7,1147.6,,1231.3,1197.0,,1181.4,,1354.1,1365.0,1210.7,-201.4,-281.7,-182.9,-106.0,-62.6,-63.0,-138.0,-45.0,-135.6,-66.3,-368.4,,-284.7,-319.0,,-334.6,,-161.9,-151.0,-305.3,False,True,True,True,True,True,True,True,True,False,,False,False,,False,,True,True,False
Oregon,759,741.9,837.8,745.1,967.0,691.7,672.0,681.0,737.8,718.9,898.8,654.2,,716.9,615.0,,643.0,,729.8,744.0,648.8,-17.1,78.8,-13.9,208.0,-67.3,-87.0,-78.0,-21.2,-40.1,139.8,-104.8,,-42.1,-144.0,,-116.0,,-29.2,-15.0,-110.2,False,True,False,False,False,False,False,False,False,False,,False,False,,False,,False,True,False
Pennsylvania,9252,8833.4,8559.4,8797.5,9052.0,9046.4,8472.0,8725.0,8945.6,9245.1,9360.7,8684.9,,9214.4,8341.0,,8492.6,,8547.8,8924.0,8499.7,-418.6,-692.6,-454.5,-200.0,-205.6,-780.0,-527.0,-306.4,-6.9,108.7,-567.1,,-37.6,-911.0,,-759.4,,-704.2,-328.0,-752.3,False,False,True,True,False,False,True,True,True,False,,True,False,,False,,False,True,False
Rhode Island,1254,1182.4,1130.8,1194.7,1227.0,1239.0,1153.0,1187.0,1262.6,1251.0,1244.2,1167.9,,1209.0,1184.0,,1119.5,,1159.1,1202.0,0.0,-71.6,-123.2,-59.3,-27.0,-15.0,-101.0,-67.0,8.6,-3.0,-9.8,-86.1,,-45.0,-70.0,,-134.5,,-94.9,-52.0,-1254.0,False,True,True,True,False,True,True,True,True,False,,True,True,,False,,False,True,False
South Carolina,4110,4196.9,4016.9,4155.8,3810.0,4058.9,4039.0,3981.0,4218.7,3852.6,3851.7,3801.7,,3848.4,3689.0,,3763.2,,4115.0,4097.0,3880.6,86.9,-93.1,45.8,-300.0,-51.1,-71.0,-129.0,108.7,-257.4,-258.3,-308.3,,-261.6,-421.0,,-346.8,,5.0,-13.0,-229.4,False,True,False,True,True,False,False,False,False,False,,False,False,,False,,True,True,False
South Dakota,621,423.7,514.5,428.0,594.0,440.7,373.0,328.0,398.3,427.3,292.9,352.0,,397.4,424.0,,259.3,,305.4,514.0,292.1,-197.3,-106.5,-193.0,-27.0,-180.3,-248.0,-293.0,-222.7,-193.7,-328.1,-269.0,,-223.6,-197.0,,-361.7,,-315.6,-107.0,-328.9,True,True,True,True,False,False,False,True,False,False,,False,True,,False,,False,True,False
Tennessee,3877,3748.4,4620.3,3675.1,3436.0,3465.8,3285.0,3257.0,3456.3,3214.4,3331.5,3231.6,,3180.2,3472.0,,2898.6,,3568.7,3534.0,2978.8,-128.6,743.3,-201.9,-441.0,-411.2,-592.0,-620.0,-420.7,-662.6,-545.5,-645.4,,-696.8,-405.0,,-978.4,,-308.3,-343.0,-898.2,False,False,False,False,False,False,False,False,False,False,,False,False,,False,,False,False,False
Texas,19911,19687.9,19460.3,19821.4,24775.0,21027.1,18610.0,19475.0,20007.6,20166.5,19339.2,17989.4,,18724.7,18297.0,,18092.8,20348.0,19365.3,20144.0,18313.9,-209.1,-436.7,-75.6,4878.0,1130.1,-1287.0,-422.0,110.6,269.5,-557.8,-1907.6,,-1172.3,-1600.0,,-1804.2,451.0,-531.7,247.0,-1583.1,False,True,False,False,False,False,True,False,False,False,,False,False,,False,False,False,False,False
Utah,710,624.4,989.5,644.0,706.0,679.2,602.0,541.0,616.8,517.7,639.3,619.5,,664.4,506.0,,517.6,,616.0,703.0,432.2,-85.6,279.5,-66.0,-4.0,-30.8,-108.0,-169.0,-93.2,-192.3,-70.7,-90.5,,-45.6,-204.0,,-192.4,,-94.0,-7.0,-277.8,False,True,True,True,False,False,False,False,True,False,,True,False,,False,,False,True,False
Vermont,59,58.0,59.5,61.0,58.0,59.8,60.0,58.0,58.0,58.7,71.4,60.6,,64.2,58.0,,58.0,,58.7,58.0,57.9,-1.0,0.5,2.0,-1.0,0.8,1.0,-1.0,-1.0,-0.3,12.4,1.6,,5.2,-1.0,,-1.0,,-0.3,-1.0,-1.1,True,False,False,True,False,False,False,True,False,False,,False,False,,False,,True,False,False
Virginia,3799,3931.9,3372.8,4016.8,3954.0,4146.4,3499.0,3783.0,4063.2,3949.9,4005.7,3834.6,,3682.0,3708.0,,3613.5,,3676.6,3942.0,3652.9,135.9,-423.2,220.8,158.0,350.4,-297.0,-13.0,267.2,153.9,209.7,38.6,,-114.0,-88.0,,-182.5,,-119.4,146.0,-143.1,False,False,False,False,False,True,False,False,False,True,,True,True,,False,,True,False,False
Washington,2519,2388.0,2348.7,2396.2,2979.0,2663.6,2556.0,2347.0,2387.0,2511.6,2624.7,2343.0,,2209.3,2287.0,,2222.8,,2526.8,2512.0,2331.1,-131.0,-170.3,-122.8,460.0,144.6,37.0,-172.0,-132.0,-7.4,105.7,-176.0,,-309.7,-232.0,,-296.2,,7.8,-7.0,-187.9,False,True,False,False,True,False,False,True,True,False,,False,False,,False,,True,True,False
West Virginia,574,510.4,416.4,519.2,475.0,541.6,558.0,521.0,553.3,561.6,597.3,465.2,,458.6,460.0,,384.4,,480.8,511.0,446.1,-63.6,-157.6,-54.8,-99.0,-32.4,-16.0,-53.0,-20.7,-12.4,23.3,-108.8,,-115.4,-114.0,,-189.6,,-93.2,-63.0,-127.9,False,True,False,True,True,True,True,True,True,False,,False,False,,False,,False,True,False
Wisconsin,2739,1939.3,2593.3,1917.8,2432.0,2025.2,1938.0,1742.0,2076.7,1971.4,1904.6,1631.8,2291.0,1899.1,1684.0,,1574.8,,1813.6,2086.0,1535.5,-723.7,-69.7,-745.2,-231.0,-637.8,-725.0,-921.0,-586.3,-691.6,-758.4,-1031.2,-372.0,-763.9,-979.0,,-1088.2,,-849.4,-577.0,-1127.5,True,False,True,True,False,False,True,True,False,False,True,False,False,,False,,False,True,False
Wyoming,144,70.6,73.7,72.2,154.0,113.5,80.0,69.0,75.5,79.7,92.6,76.1,,78.7,80.0,,53.0,,61.6,85.0,58.2,-73.4,-70.3,-71.8,10.0,-30.5,-64.0,-75.0,-68.5,-64.3,-51.4,-67.9,,-65.3,-64.0,,-91.0,,-82.4,-59.0,-85.8,True,True,True,True,True,False,True,True,True,True,,True,True,,False,,False,True,False
US,245663,238801.7,232416.8,238742.3,253296.0,242456.6,229694.0,237394.0,239936.0,238528.1,238395.3,225656.2,,232965.4,228730.5,240875.6,223024.5,234823.0,235373.4,240051.0,229146.7,-6576.3,-12961.2,-6635.7,7918.0,-2921.4,-15684.0,-7984.0,-5442.0,-6849.9,-6982.7,-19721.8,,-12412.6,-16647.5,-4502.4,-22353.5,-10555.0,-10004.6,-5327.0,-16231.3,False,False,False,True,False,False,True,False,False,False,,False,False,True,False,False,False,True,False
