,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,MITCovAlliance-SIR,RobertWalraven-ESG,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Maryland,4293,4201.1,5353.0,4182.6,,4499.9,4192.0,4260.6,4151.4,3995.0,,4089.8,4952.8,4188.0,4035.8,-91.9,1060.0,-110.4,,206.9,-101.0,-32.4,-141.6,-298.0,,-203.2,659.8,-105.0,-257.2,False,False,,False,False,True,False,False,,False,False,False,False
Massachusetts,10293,10095.7,119007.0,9502.4,,10531.1,9582.0,10074.6,9755.8,9684.9,,9656.0,12088.4,10782.0,9566.5,-197.3,108714.0,-790.6,,238.1,-711.0,-218.4,-537.2,-608.1,,-637.0,1795.4,489.0,-726.5,False,False,,False,False,False,False,False,,False,False,False,False
Michigan,8376,7424.7,8062.0,7594.0,,7310.6,7897.0,7651.4,7524.6,7386.6,,7234.8,8796.8,7173.0,7105.3,-951.3,-314.0,-782.0,,-1065.4,-479.0,-724.6,-851.4,-989.4,,-1141.2,420.8,-1203.0,-1270.7,True,True,,False,True,True,True,False,,False,True,False,False
Minnesota,2930,2378.4,2271.0,2352.9,,2581.8,2662.0,2436.0,2265.7,2212.4,,2488.2,4374.9,2575.0,2114.2,-551.6,-659.0,-577.1,,-348.2,-268.0,-494.0,-664.3,-717.6,,-441.8,1444.9,-355.0,-815.8,False,False,,True,True,True,False,False,,True,False,True,False
Mississippi,3540,3697.9,3421.0,3224.4,,3117.0,4060.0,3511.6,3725.3,3037.0,,3562.5,3487.2,3322.0,3300.2,157.9,-119.0,-315.6,,-423.0,520.0,-28.4,185.3,-503.0,,22.5,-52.8,-218.0,-239.8,True,False,,False,False,True,False,False,,True,True,False,False
Missouri,3387,2572.4,4030.0,2610.6,,2364.9,2708.0,2704.8,2970.8,2049.3,,2318.2,3180.3,2305.0,1989.7,-814.6,643.0,-776.4,,-1022.1,-679.0,-682.2,-416.2,-1337.7,,-1068.8,-206.7,-1082.0,-1397.3,True,True,,False,True,True,True,False,,False,True,False,False
Montana,514,329.9,363.0,336.9,,232.1,253.0,304.5,427.6,188.6,,260.7,399.1,377.0,204.5,-184.1,-151.0,-177.1,,-281.9,-261.0,-209.5,-86.4,-325.4,,-253.3,-114.9,-137.0,-309.5,True,True,,False,False,False,True,False,,False,True,True,False
Nebraska,779,504.9,1070.0,697.2,,933.8,584.0,663.2,707.4,492.7,,487.6,699.2,572.0,503.4,-274.1,291.0,-81.8,,154.8,-195.0,-115.8,-71.6,-286.3,,-291.4,-79.8,-207.0,-275.6,False,True,,True,True,True,True,False,,False,True,True,False
Nevada,1908,2151.7,1751.0,1788.6,,1924.8,1974.0,1820.5,2404.9,1655.2,,2161.2,1849.0,1944.0,1838.9,243.7,-157.0,-119.4,,16.8,66.0,-87.5,496.9,-252.8,,253.2,-59.0,36.0,-69.1,True,True,,True,True,True,False,False,,False,True,True,True
New Hampshire,499,453.7,1415.0,468.9,,454.7,462.0,469.1,505.4,450.9,,468.8,633.4,471.0,450.8,-45.3,916.0,-30.1,,-44.3,-37.0,-29.9,6.4,-48.1,,-30.2,134.4,-28.0,-48.2,False,True,,True,True,True,True,False,,True,False,True,False
New Jersey,16548,16349.9,18428.0,16461.7,,18196.1,16708.0,16446.9,16776.8,16168.8,,16274.1,18724.4,16529.0,16385.4,-198.1,1880.0,-86.3,,1648.1,160.0,-101.1,228.8,-379.2,,-273.9,2176.4,-19.0,-162.6,False,True,,False,True,True,False,False,,False,False,True,True
New Mexico,1208,1053.3,1054.0,957.0,,1073.1,1144.0,994.6,1584.2,892.8,,961.7,1058.5,1034.0,960.1,-154.7,-154.0,-251.0,,-134.9,-64.0,-213.4,376.2,-315.2,,-246.3,-149.5,-174.0,-247.9,True,False,,True,True,False,False,False,,False,True,False,False
New York,34010,33589.9,33885.0,33415.0,,34599.5,33858.0,33711.1,35895.7,34607.4,,33363.8,36135.0,33616.0,33252.2,-420.1,-125.0,-595.0,,589.5,-152.0,-298.9,1885.7,597.4,,-646.2,2125.0,-394.0,-757.8,True,False,,False,True,True,False,False,,False,False,True,False
North Carolina,4756,4743.7,4146.0,4258.4,,5116.1,5033.0,4417.7,4531.4,3869.3,,4288.7,4405.0,4227.0,3840.8,-12.3,-610.0,-497.6,,360.1,277.0,-338.3,-224.6,-886.7,,-467.3,-351.0,-529.0,-915.2,False,False,,False,False,False,False,False,,False,False,False,False
North Dakota,726,380.6,403.0,382.7,,326.8,322.0,368.4,305.0,260.5,,199.6,426.5,333.0,236.5,-345.4,-323.0,-343.3,,-399.2,-404.0,-357.6,-421.0,-465.5,,-526.4,-299.5,-393.0,-489.5,True,True,,False,False,False,False,False,,False,True,False,False
Ohio,5714,6186.4,6157.0,5604.4,,6046.1,5827.0,5805.3,6274.1,4920.6,,5732.8,6280.0,5712.0,5259.3,472.4,443.0,-109.6,,332.1,113.0,91.3,560.1,-793.4,,18.8,566.0,-2.0,-454.7,True,True,,True,True,True,False,False,,True,False,True,True
Oklahoma,1516,1268.1,2593.0,1338.3,,1207.9,1618.0,1607.4,1740.6,1065.9,,1306.4,1831.0,1315.0,1133.4,-247.9,1077.0,-177.7,,-308.1,102.0,91.4,224.6,-450.1,,-209.6,315.0,-201.0,-382.6,False,True,,False,True,True,True,False,,True,False,True,False
Oregon,759,659.6,680.0,680.6,,680.0,674.0,687.4,933.3,590.9,,682.1,816.4,694.0,620.3,-99.4,-79.0,-78.4,,-79.0,-85.0,-71.6,174.3,-168.1,,-76.9,57.4,-65.0,-138.7,True,True,,True,True,True,False,False,,True,True,True,False
Pennsylvania,9252,8989.3,9645.0,8722.2,,9246.2,8592.0,8900.8,8591.2,8812.3,,8402.9,10275.0,8817.0,8341.4,-262.7,393.0,-529.8,,-5.8,-660.0,-351.2,-660.8,-439.7,,-849.1,1023.0,-435.0,-910.6,False,False,,True,False,False,False,False,,False,False,False,False
