,actual_deaths,Baseline,BPagano-RtDriven,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,UCM_MESALab-FoGSEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-BPagano-RtDriven,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-BPagano-RtDriven,beat_baseline-COVIDhub-baseline,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,8956,8649.7,8424.5,8692.7,8162.1,8175.3,8389.0,,8228.0,8251.2,8091.9,8121.6,8283.4,8242.4,,8016.4,7629.0,,,8533.7,,8128.4,8319.0,8071.9,-306.3,-531.5,-263.3,-793.9,-780.7,-567.0,,-728.0,-704.8,-864.1,-834.4,-672.6,-713.6,,-939.6,-1327.0,,,-422.3,,-827.6,-637.0,-884.1,False,True,False,False,False,,False,False,False,False,False,False,,False,False,,,False,,False,False,False
Hawaii,222,232.1,298.6,243.0,584.0,211.0,221.0,,,238.0,238.8,288.7,225.0,232.6,,199.6,219.0,,,216.4,,193.0,227.0,208.2,10.1,76.6,21.0,362.0,-11.0,-1.0,,,16.0,16.8,66.7,3.0,10.6,,-22.4,-3.0,,,-5.6,,-29.0,5.0,-13.8,False,False,False,False,True,,,False,False,False,True,False,,False,True,,,True,,False,True,False
Idaho,759,628.4,860.2,642.0,819.6,639.5,604.0,,618.0,672.5,665.1,658.7,666.7,579.6,,742.4,555.0,,,630.2,,706.3,655.0,571.5,-130.6,101.2,-117.0,60.6,-119.5,-155.0,,-141.0,-86.5,-93.9,-100.3,-92.3,-179.4,,-16.6,-204.0,,,-128.8,,-52.7,-104.0,-187.5,True,True,True,True,False,,False,True,True,True,True,False,,True,False,,,True,,True,True,False
Illinois,11088,10152.9,10626.4,10212.5,10470.2,10006.7,9872.0,,10041.0,10473.9,10485.4,10022.4,10181.5,9991.5,11632.0,9896.7,10317.0,,,9981.7,,12533.8,10462.0,9473.1,-935.1,-461.6,-875.5,-617.8,-1081.3,-1216.0,,-1047.0,-614.1,-602.6,-1065.6,-906.5,-1096.5,544.0,-1191.3,-771.0,,,-1106.3,,1445.8,-626.0,-1614.9,True,True,True,False,False,,False,True,True,False,True,False,True,False,True,,,False,,False,True,False
Indiana,4888,4347.6,4629.9,4348.1,4739.9,4220.5,4215.0,,4159.0,4489.8,4506.9,4254.6,4455.5,4233.4,4234.5,4453.9,4178.0,,,4165.9,,5819.4,4623.0,3805.9,-540.4,-258.1,-539.9,-148.1,-667.5,-673.0,,-729.0,-398.2,-381.1,-633.4,-432.5,-654.6,-653.5,-434.1,-710.0,,,-722.1,,931.4,-265.0,-1082.1,True,True,True,False,False,,False,True,True,False,True,False,False,True,False,,,False,,False,True,False
Iowa,1985,1826.3,2049.6,1849.2,1858.0,1761.6,1776.0,,1710.0,1805.8,1800.9,1752.8,1918.6,1707.8,,1731.4,1840.0,,,1778.1,,2075.7,1881.0,1619.9,-158.7,64.6,-135.8,-127.0,-223.4,-209.0,,-275.0,-179.2,-184.1,-232.2,-66.4,-277.2,,-253.6,-145.0,,,-206.9,,90.7,-104.0,-365.1,True,True,True,False,False,,False,False,False,False,True,False,,False,True,,,False,,True,True,False
Kansas,1256,1182.0,2132.8,1188.0,1157.1,971.1,990.0,,1066.0,1016.3,1109.7,1020.9,1118.2,946.5,,868.9,1325.0,,,936.1,,993.5,1150.0,897.2,-74.0,876.8,-68.0,-98.9,-284.9,-266.0,,-190.0,-239.7,-146.3,-235.1,-137.8,-309.5,,-387.1,69.0,,,-319.9,,-262.5,-106.0,-358.8,False,True,False,False,False,,False,False,False,False,False,False,,False,True,,,False,,False,False,False
Kentucky,1658,1460.9,1510.4,1469.1,1837.6,1509.7,1582.0,,1550.0,1572.9,1675.2,1635.1,1654.0,1415.7,1987.5,1406.9,1341.0,,,1566.4,,1929.9,1618.0,1388.8,-197.1,-147.6,-188.9,179.6,-148.3,-76.0,,-108.0,-85.1,17.2,-22.9,-4.0,-242.3,329.5,-251.1,-317.0,,,-91.6,,271.9,-40.0,-269.2,True,True,True,True,True,,True,True,True,True,True,False,False,False,False,,,True,,False,True,False
Louisiana,6121,6033.9,5969.7,6088.3,5862.4,5961.9,5901.0,,5985.0,5894.0,6046.3,5960.0,5972.2,5992.2,,5984.5,5828.0,,,6453.4,,6183.3,5987.0,5866.6,-87.1,-151.3,-32.7,-258.6,-159.1,-220.0,,-136.0,-227.0,-74.7,-161.0,-148.8,-128.8,,-136.5,-293.0,,,332.4,,62.3,-134.0,-254.4,False,True,False,False,False,,False,False,True,False,False,False,,False,False,,,False,,True,False,False
Maine,163,147.9,158.9,150.0,148.6,150.7,153.0,,158.0,145.9,153.8,177.6,152.1,149.4,,147.0,146.0,,,147.0,,174.0,151.0,150.6,-15.1,-4.1,-13.0,-14.4,-12.3,-10.0,,-5.0,-17.1,-9.2,14.6,-10.9,-13.6,,-16.0,-17.0,,,-16.0,,11.0,-12.0,-12.4,True,True,True,True,True,,True,False,True,True,True,True,,False,False,,,False,,True,True,True
Maryland,4293,4198.1,4144.0,4192.6,4088.7,4146.6,4055.0,,4122.0,4222.5,4244.1,4361.9,4191.9,4115.7,,4137.2,4173.0,,5258.0,4130.0,,4701.6,4200.0,4119.1,-94.9,-149.0,-100.4,-204.3,-146.4,-238.0,,-171.0,-70.5,-48.9,68.9,-101.1,-177.3,,-155.8,-120.0,,965.0,-163.0,,408.6,-93.0,-173.9,False,False,False,False,False,,False,True,True,True,False,False,,False,False,,False,False,,False,True,False
Massachusetts,10293,10060.6,9872.6,10031.3,10957.2,10481.6,10216.0,,9909.0,10320.2,10288.8,10045.5,10431.3,9964.2,,10031.4,9979.0,,,9826.4,,11041.4,10167.0,9835.5,-232.4,-420.4,-261.7,664.2,188.6,-77.0,,-384.0,27.2,-4.2,-247.5,138.3,-328.8,,-261.6,-314.0,,,-466.6,,748.4,-126.0,-457.5,False,False,False,True,True,,False,True,True,False,True,False,,False,False,,,False,,False,True,False
Michigan,8376,7680.4,7971.0,7708.1,7776.9,7564.2,7548.0,,7550.0,7939.3,8090.0,7856.9,7806.5,7417.8,9298.0,7405.1,7476.0,,,7508.2,,9306.1,7893.0,7280.3,-695.6,-405.0,-667.9,-599.1,-811.8,-828.0,,-826.0,-436.7,-286.0,-519.1,-569.5,-958.2,922.0,-970.9,-900.0,,,-867.8,,930.1,-483.0,-1095.7,True,True,True,False,False,,False,True,True,True,True,False,False,False,False,,,False,,False,True,False
Minnesota,2930,2490.3,2631.0,2474.3,2771.1,2592.0,2752.0,,2540.0,2573.2,2653.8,2502.6,2619.4,2460.6,2848.0,3401.2,2376.0,,,2498.3,,3367.8,2624.0,2303.5,-439.7,-299.0,-455.7,-158.9,-338.0,-178.0,,-390.0,-356.8,-276.2,-427.4,-310.6,-469.4,-82.0,471.2,-554.0,,,-431.7,,437.8,-306.0,-626.5,True,False,True,True,True,,True,True,True,True,True,False,True,False,False,,,True,,True,True,False
Mississippi,3540,3528.4,3526.5,3521.0,3729.1,3537.0,3355.0,,3615.0,3765.4,3569.6,3327.3,3632.4,3401.9,,3323.9,3317.0,,,3521.6,,3690.8,3677.0,3416.1,-11.6,-13.5,-19.0,189.1,-3.0,-185.0,,75.0,225.4,29.6,-212.7,92.4,-138.1,,-216.1,-223.0,,,-18.4,,150.8,137.0,-123.9,False,False,False,True,False,,False,False,False,False,False,False,,False,False,,,False,,False,False,False
Missouri,3387,3580.0,4511.3,3659.3,3192.0,3089.1,3026.0,,2916.0,3378.6,2863.9,3004.6,3500.1,3008.6,,3146.8,3594.0,,,2716.2,,3566.2,3919.0,2556.5,193.0,1124.3,272.3,-195.0,-297.9,-361.0,,-471.0,-8.4,-523.1,-382.4,113.1,-378.4,,-240.2,207.0,,,-670.8,,179.2,532.0,-830.5,False,False,False,False,False,,False,True,False,False,True,False,,False,False,,,False,,True,False,False
Montana,514,321.7,450.5,324.0,638.1,413.1,323.0,,308.0,404.2,459.4,299.1,440.9,326.9,,320.6,331.0,,,302.4,,497.3,385.0,251.2,-192.3,-63.5,-190.0,124.1,-100.9,-191.0,,-206.0,-109.8,-54.6,-214.9,-73.1,-187.1,,-193.4,-183.0,,,-211.6,,-16.7,-129.0,-262.8,True,True,True,True,True,,False,True,True,False,True,True,,False,True,,,False,,True,True,False
Nebraska,779,606.4,604.1,628.9,676.9,678.3,695.0,,653.0,647.1,651.2,693.0,742.4,627.3,,648.2,664.0,,,589.5,,801.6,695.0,572.3,-172.6,-174.9,-150.1,-102.1,-100.7,-84.0,,-126.0,-131.9,-127.8,-86.0,-36.6,-151.7,,-130.8,-115.0,,,-189.5,,22.6,-84.0,-206.7,False,True,True,True,True,,True,True,True,True,True,True,,True,True,,,False,,True,True,False
Nevada,1908,1845.6,1911.6,1853.9,2264.4,1957.8,1824.0,,1796.0,1954.4,1899.3,1844.9,2096.3,1820.4,,1881.2,1769.0,,,1960.9,,2010.7,1971.0,1835.2,-62.4,3.6,-54.1,356.4,49.8,-84.0,,-112.0,46.4,-8.7,-63.1,188.3,-87.6,,-26.8,-139.0,,,52.9,,102.7,63.0,-72.8,True,True,False,True,False,,False,True,True,False,False,False,,True,False,,,True,,False,False,False
New Hampshire,499,519.1,591.9,520.2,529.7,460.6,502.0,,472.0,483.9,510.7,494.3,523.0,479.8,,508.4,471.0,,,496.7,,640.3,550.0,466.8,20.1,92.9,21.2,30.7,-38.4,3.0,,-27.0,-15.1,11.7,-4.7,24.0,-19.2,,9.4,-28.0,,,-2.3,,141.3,51.0,-32.2,False,False,False,False,True,,False,True,True,True,False,True,,True,False,,,True,,False,False,False
New Jersey,16548,16358.6,16402.3,16544.9,16484.7,16545.0,16418.0,,16361.5,16518.6,16753.3,16506.7,16516.0,16361.4,,16432.3,16183.0,,,16312.5,,18205.8,16425.0,16352.7,-189.4,-145.7,-3.1,-63.3,-3.0,-130.0,,-186.5,-29.4,205.3,-41.3,-32.0,-186.6,,-115.7,-365.0,,,-235.5,,1657.8,-123.0,-195.3,True,True,True,True,True,,True,True,False,True,True,True,,True,False,,,False,,False,True,False
New Mexico,1208,1003.3,972.0,992.2,1421.3,1118.8,983.0,,1004.0,1197.0,1163.8,1061.8,1112.6,1036.0,,1025.7,1021.0,,,973.3,,1295.1,1131.0,984.3,-204.7,-236.0,-215.8,213.3,-89.2,-225.0,,-204.0,-11.0,-44.2,-146.2,-95.4,-172.0,,-182.3,-187.0,,,-234.7,,87.1,-77.0,-223.7,False,False,False,True,False,,True,True,True,True,True,True,,True,True,,,False,,True,True,False
New York,34010,33726.3,34303.5,34075.4,34328.8,33821.9,33655.0,,33577.0,34042.8,34318.6,33887.9,34193.5,33475.4,,33606.7,33307.0,,,33470.7,,36966.2,34134.0,33310.5,-108.7,468.5,240.4,493.8,-13.1,-180.0,,-258.0,207.8,483.6,52.9,358.5,-359.6,,-228.3,-528.0,,,-364.3,,3131.2,299.0,-524.5,False,False,False,True,False,,False,False,False,True,False,False,,False,False,,,False,,False,False,False
North Carolina,4756,4430.6,4249.5,4444.6,5489.3,4668.5,4401.0,,4610.0,5119.8,4885.1,4696.9,4933.9,4328.5,,4235.1,4591.0,,,4396.3,,4865.6,4906.0,4229.5,-325.4,-506.5,-311.4,733.3,-87.5,-355.0,,-146.0,363.8,129.1,-59.1,177.9,-427.5,,-520.9,-165.0,,,-359.7,,109.6,150.0,-526.5,False,True,False,True,False,,True,False,True,True,True,False,,False,True,,,False,,True,True,False
North Dakota,726,643.0,836.5,661.0,693.1,621.9,494.0,,520.0,655.9,522.7,442.0,772.6,594.5,,649.6,672.0,,,416.7,,572.7,742.0,420.4,-83.0,110.5,-65.0,-32.9,-104.1,-232.0,,-206.0,-70.1,-203.3,-284.0,46.6,-131.5,,-76.4,-54.0,,,-309.3,,-153.3,16.0,-305.6,False,True,True,False,False,,False,True,False,False,True,False,,True,True,,,False,,False,True,False
Ohio,5714,5358.4,5338.4,5371.4,6069.6,5714.6,5615.0,,5642.0,5598.7,5995.9,5943.8,6006.8,5457.8,6470.5,5371.9,5775.0,,,5449.6,,6675.2,5554.0,5441.2,-355.6,-375.6,-342.6,355.6,0.6,-99.0,,-72.0,-115.3,281.9,229.8,292.8,-256.2,756.5,-342.1,61.0,,,-264.4,,961.2,-160.0,-272.8,False,True,True,True,True,,True,True,True,True,True,True,False,True,True,,,True,,False,True,True
Oklahoma,1516,1326.3,1309.6,1315.0,1283.4,1384.6,1435.0,,1427.0,1405.5,1350.1,1421.1,1434.9,1252.7,,1327.8,1282.0,,,1349.0,,1669.9,1327.0,1236.1,-189.7,-206.4,-201.0,-232.6,-131.4,-81.0,,-89.0,-110.5,-165.9,-94.9,-81.1,-263.3,,-188.2,-234.0,,,-167.0,,153.9,-189.0,-279.9,False,False,False,True,True,,True,True,True,True,True,False,,True,False,,,True,,True,True,False
Oregon,759,730.1,904.8,739.0,857.6,720.3,691.0,,704.0,758.4,762.3,865.3,767.4,695.3,,739.6,645.0,,,735.1,,822.2,798.0,667.9,-28.9,145.8,-20.0,98.6,-38.7,-68.0,,-55.0,-0.6,3.3,106.3,8.4,-63.7,,-19.4,-114.0,,,-23.9,,63.2,39.0,-91.1,False,True,False,False,False,,False,True,True,False,True,False,,True,False,,,True,,False,False,False
Pennsylvania,9252,8985.7,9370.2,9054.7,9224.6,8971.1,8692.0,,8819.0,9235.6,9245.2,9182.2,9611.1,8763.1,,9274.6,8552.0,,,8775.1,,10694.5,9204.0,8594.1,-266.3,118.2,-197.3,-27.4,-280.9,-560.0,,-433.0,-16.4,-6.8,-69.8,359.1,-488.9,,22.6,-700.0,,,-476.9,,1442.5,-48.0,-657.9,True,True,True,False,False,,False,True,True,True,False,False,,True,False,,,False,,False,True,False
Rhode Island,1254,1188.3,1154.9,1195.5,1284.7,1205.1,1173.0,,1184.0,1205.4,1257.5,1235.9,1217.3,1180.1,,1201.2,1217.0,,,1153.4,,1295.1,1222.0,0.0,-65.7,-99.1,-58.5,30.7,-48.9,-81.0,,-70.0,-48.6,3.5,-18.1,-36.7,-73.9,,-52.8,-37.0,,,-100.6,,41.1,-32.0,-1254.0,False,True,True,True,False,,False,True,True,True,True,False,,True,True,,,False,,True,True,False
South Carolina,4110,4032.9,4224.1,4096.7,3890.5,3951.6,3974.0,,4060.0,4188.7,3955.3,3873.1,4232.1,3873.0,,3897.0,3877.0,,,4087.2,,4225.2,4037.0,3922.0,-77.1,114.1,-13.3,-219.5,-158.4,-136.0,,-50.0,78.7,-154.7,-236.9,122.1,-237.0,,-213.0,-233.0,,,-22.8,,115.2,-73.0,-188.0,False,True,False,False,False,,True,False,False,False,False,False,,False,False,,,True,,False,True,False
South Dakota,621,470.6,709.1,476.0,714.2,478.4,425.0,,404.0,528.7,510.7,391.7,538.0,456.3,,438.6,526.5,,,295.0,,558.0,579.0,335.6,-150.4,88.1,-145.0,93.2,-142.6,-196.0,,-217.0,-92.3,-110.3,-229.3,-83.0,-164.7,,-182.4,-94.5,,,-326.0,,-63.0,-42.0,-285.4,True,True,True,True,False,,False,True,True,False,True,False,,False,True,,,False,,True,True,False
Tennessee,3877,3689.9,4334.6,3747.7,3794.8,3498.2,3391.0,,3600.0,3657.0,3716.2,3389.4,3458.8,3475.8,,3229.9,3554.0,,,3653.6,,3418.5,3967.0,3148.7,-187.1,457.6,-129.3,-82.2,-378.8,-486.0,,-277.0,-220.0,-160.8,-487.6,-418.2,-401.2,,-647.1,-323.0,,,-223.4,,-458.5,90.0,-728.3,False,True,True,False,False,,False,False,True,False,False,False,,False,False,,,False,,False,True,False
Texas,20049,20133.0,21075.5,20181.0,19804.1,20225.6,18701.0,,19542.0,19796.2,19013.4,19362.8,20361.9,18430.3,,18737.6,18952.0,,18937.0,19663.9,,19822.1,19868.0,18794.1,146.0,1088.5,194.0,-182.9,238.6,-1286.0,,-445.0,-190.8,-973.6,-624.2,374.9,-1556.7,,-1249.4,-1035.0,,-1050.0,-323.1,,-164.9,-119.0,-1192.9,False,False,False,False,False,,False,False,False,False,False,False,,False,False,,False,False,,False,True,False
Utah,710,706.4,776.0,680.0,706.6,737.6,607.0,,651.0,636.1,577.5,688.3,737.7,639.7,,643.1,561.0,,,651.0,,790.6,727.0,465.7,-3.6,66.0,-30.0,-3.4,27.6,-103.0,,-59.0,-73.9,-132.5,-21.7,27.7,-70.3,,-66.9,-149.0,,,-59.0,,80.6,17.0,-244.3,False,False,True,False,False,,False,False,False,False,False,False,,False,False,,,False,,False,False,False
Vermont,59,58.0,59.4,60.0,63.1,59.5,59.0,,58.0,58.0,58.6,68.5,58.6,61.8,,63.8,58.0,,,58.4,,70.3,58.0,57.9,-1.0,0.4,1.0,4.1,0.5,0.0,,-1.0,-1.0,-0.4,9.5,-0.4,2.8,,4.8,-1.0,,,-0.6,,11.3,-1.0,-1.1,True,False,False,True,True,,False,False,True,False,True,False,,False,False,,,True,,False,False,False
Virginia,3799,3767.9,3554.3,3773.3,3810.8,3917.6,3598.0,,3728.0,3987.0,3891.1,3906.9,3892.9,3756.4,,3596.5,4051.0,,,3625.6,,4174.9,4023.0,3677.6,-28.1,-241.7,-22.7,14.8,121.6,-198.0,,-68.0,191.0,95.1,110.9,96.9,-39.6,,-199.5,255.0,,,-170.4,,378.9,227.0,-118.4,False,True,True,False,False,,False,False,False,False,False,False,,False,False,,,False,,False,False,False
Washington,2493,2423.1,2408.5,2430.0,2651.3,2520.1,2527.0,,2421.0,2572.3,2514.7,2566.7,2470.8,2286.1,,2206.1,2240.0,,,2452.5,,2558.5,2461.0,2351.6,-88.9,-103.5,-82.0,139.3,8.1,15.0,,-91.0,60.3,2.7,54.7,-41.2,-225.9,,-305.9,-272.0,,,-59.5,,46.5,-51.0,-160.4,False,True,False,True,True,,False,True,True,True,True,False,,False,False,,,True,,True,True,False
West Virginia,574,487.0,486.1,506.9,433.5,506.5,548.0,,512.0,518.9,515.3,578.1,542.2,487.5,,456.0,435.0,,,488.4,,552.2,505.0,454.6,-87.0,-87.9,-67.1,-140.5,-67.5,-26.0,,-62.0,-55.1,-58.7,4.1,-31.8,-86.5,,-118.0,-139.0,,,-85.6,,-21.8,-69.0,-119.4,False,True,False,True,True,,True,True,True,True,True,True,,False,False,,,True,,True,True,False
Wisconsin,2739,1892.4,2107.7,1888.0,2014.8,2055.3,1885.0,,1847.0,2076.6,1997.2,1943.0,2130.2,1780.5,2302.0,2177.1,1629.0,,,1800.8,,2774.9,1939.0,1617.3,-715.6,-500.3,-720.0,-593.2,-552.7,-723.0,,-761.0,-531.4,-610.8,-665.0,-477.8,-827.5,-306.0,-430.9,-979.0,,,-807.2,,166.9,-669.0,-990.7,True,False,True,True,False,,False,True,True,True,True,False,True,True,False,,,False,,True,True,False
Wyoming,144,58.9,62.4,62.0,72.8,83.7,78.0,,69.0,67.7,80.2,88.4,85.6,74.4,,76.1,68.0,,,62.1,,108.6,60.0,54.8,-85.1,-81.6,-82.0,-71.2,-60.3,-66.0,,-75.0,-76.3,-63.8,-55.6,-58.4,-69.6,,-67.9,-76.0,,,-81.9,,-35.4,-84.0,-89.2,True,True,True,True,True,,True,True,True,True,True,True,,True,True,,,True,,True,True,False
US,245776,239282.0,237917.9,239331.0,244653.2,239786.4,233096.0,245933.0,237821.0,242543.7,239374.5,237295.6,243775.5,229614.5,,232581.7,231701.5,242456.3,237148.0,237172.4,248430.0,257224.9,242360.0,231517.3,-6140.0,-7504.1,-6091.0,-768.8,-5635.6,-12326.0,511.0,-7601.0,-2878.3,-6047.5,-8126.4,-1646.5,-15807.5,,-12840.3,-13720.5,-2965.7,-8274.0,-8249.6,3008.0,11802.9,-3062.0,-13904.7,False,True,True,True,False,True,False,True,True,False,True,False,,False,False,True,False,False,True,False,True,False
