,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,WalmartLabsML-LogForecasting,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-WalmartLabsML-LogForecasting,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-WalmartLabsML-LogForecasting
Georgia,8956,9304.9,8472.0,7947.4,8397.0,,8523.0,8211.0,8216.1,7673.5,8777.1,,7802.3,8670.9,8098.5,8495.0,7919.9,348.9,-484.0,-1008.6,-559.0,,-433.0,-745.0,-739.9,-1282.5,-178.9,,-1153.7,-285.1,-857.5,-461.0,-1036.1,False,False,False,,False,False,False,False,True,,False,True,False,False,False
Hawaii,222,214.3,169.0,171.2,166.0,,162.8,,168.3,196.7,358.5,,154.1,188.7,168.7,171.0,178.7,-7.7,-53.0,-50.8,-56.0,,-59.2,,-53.7,-25.3,136.5,,-67.9,-33.3,-53.3,-51.0,-43.3,False,False,False,,False,,False,False,False,,False,False,False,False,False
Idaho,759,576.6,1782.0,626.7,585.0,,682.1,601.0,697.9,575.4,641.8,,472.2,596.2,678.8,662.0,547.4,-182.4,1023.0,-132.3,-174.0,,-76.9,-158.0,-61.1,-183.6,-117.2,,-286.8,-162.8,-80.2,-97.0,-211.6,False,True,True,,True,True,True,False,True,,False,True,True,True,False
Illinois,11088,9935.3,9589.0,9662.6,9374.0,,10097.6,9696.0,10016.2,9411.2,10164.9,,9276.3,9750.4,12224.8,9815.0,9015.4,-1152.7,-1499.0,-1425.4,-1714.0,,-990.4,-1392.0,-1071.8,-1676.8,-923.1,,-1811.7,-1337.6,1136.8,-1273.0,-2072.6,False,False,False,,True,False,True,False,True,,False,False,True,False,False
Indiana,5191,4087.4,3945.0,3973.5,4127.0,,4471.1,4039.0,4054.4,3892.1,4604.8,,3819.2,3960.6,5278.3,3997.0,3654.0,-1090.6,-1233.0,-1204.5,-1051.0,,-706.9,-1139.0,-1123.6,-1285.9,-573.2,,-1358.8,-1217.4,100.3,-1181.0,-1524.0,False,False,True,,True,False,False,False,True,,False,False,True,False,False
Iowa,1985,1665.7,1528.0,1582.5,1743.0,,1598.1,1712.0,1783.7,1525.1,1840.8,,1424.2,1668.6,2022.4,1581.0,1494.3,-319.3,-457.0,-402.5,-242.0,,-386.9,-273.0,-201.3,-459.9,-144.2,,-560.8,-316.4,37.4,-404.0,-490.7,False,False,True,,False,True,True,False,True,,False,True,True,False,False
Kansas,1256,909.3,944.0,1035.1,894.0,,2135.5,854.0,910.5,816.6,1104.2,,681.0,877.0,891.0,994.0,754.6,-346.7,-312.0,-220.9,-362.0,,879.5,-402.0,-345.5,-439.4,-151.8,,-575.0,-379.0,-365.0,-262.0,-501.4,True,True,False,,False,False,True,False,True,,False,False,False,True,False
Kentucky,1658,1472.4,1557.0,1454.1,1569.0,,1967.2,1462.0,1578.7,1356.7,1863.4,,1236.1,1570.0,1854.8,1515.0,1330.9,-185.6,-101.0,-203.9,-89.0,,309.2,-196.0,-79.3,-301.3,205.4,,-421.9,-88.0,196.8,-143.0,-327.1,True,False,True,,False,False,True,False,False,,False,True,False,True,False
Louisiana,6121,6130.1,6139.0,6026.3,5882.0,,6577.6,6086.0,5969.9,5851.3,6280.4,,5810.7,6406.3,6166.4,5823.0,5839.7,9.1,18.0,-94.7,-239.0,,456.6,-35.0,-151.1,-269.7,159.4,,-310.3,285.3,45.4,-298.0,-281.3,False,False,False,,False,False,False,False,False,,False,False,False,False,False
Maine,163,146.9,165.0,164.8,145.0,,162.3,200.0,164.5,147.5,214.0,,140.9,145.8,181.6,162.0,150.7,-16.1,2.0,1.8,-18.0,,-0.7,37.0,1.5,-15.5,51.0,,-22.1,-17.2,18.6,-1.0,-12.3,True,True,False,,True,False,True,True,False,,False,False,False,True,True
Maryland,4293,4319.0,4222.0,4146.5,3955.0,,4218.2,4274.0,4180.0,4075.5,4440.7,,4035.2,4133.5,4665.2,4139.0,4068.8,26.0,-71.0,-146.5,-338.0,,-74.8,-19.0,-113.0,-217.5,147.7,,-257.8,-159.5,372.2,-154.0,-224.2,False,False,False,,False,True,False,False,False,,False,False,False,False,False
Massachusetts,10293,10048.6,11343.0,10127.6,9510.0,,10305.5,9707.0,10409.1,9903.5,10234.3,,9654.0,9728.2,11339.8,10615.0,9638.0,-244.4,1050.0,-165.4,-783.0,,12.5,-586.0,116.1,-389.5,-58.7,,-639.0,-564.8,1046.8,322.0,-655.0,False,True,False,,True,False,True,False,True,,False,False,False,False,False
Michigan,8376,7558.3,7522.0,7469.2,7180.0,,7690.8,7636.0,7603.5,7213.6,7897.9,,7217.0,7379.3,9076.2,7548.0,7155.6,-817.7,-854.0,-906.8,-1196.0,,-685.2,-740.0,-772.5,-1162.4,-478.1,,-1159.0,-996.7,700.2,-828.0,-1220.4,False,False,False,,True,True,True,False,True,,False,False,True,False,False
Minnesota,2930,2354.9,2653.0,2389.0,2115.0,,2796.8,2450.0,2426.4,2347.9,2450.0,,2156.5,2441.5,3738.7,2568.0,2199.5,-575.1,-277.0,-541.0,-815.0,,-133.2,-480.0,-503.6,-582.1,-480.0,,-773.5,-488.5,808.7,-362.0,-730.5,True,True,False,,True,True,True,False,True,,False,True,False,True,False
Mississippi,3540,3666.4,3546.0,3383.2,3331.0,,3796.3,3389.0,3460.2,3298.5,3477.4,,3261.0,3538.5,3553.3,3494.0,3354.2,126.4,6.0,-156.8,-209.0,,256.3,-151.0,-79.8,-241.5,-62.6,,-279.0,-1.5,13.3,-46.0,-185.8,True,False,False,,False,False,True,False,True,,False,True,True,True,False
Missouri,3406,3609.6,3279.0,2778.1,2776.0,,2963.4,2357.0,2880.8,2766.0,3349.7,,2569.2,2853.1,3429.5,3355.0,2238.4,232.6,-98.0,-598.9,-601.0,,-413.6,-1020.0,-496.2,-611.0,-27.3,,-807.8,-523.9,52.5,-22.0,-1138.6,True,False,False,,False,False,False,False,True,,False,False,True,True,False
Montana,514,282.7,1404.0,394.6,214.0,,334.1,279.0,349.1,279.6,397.9,,203.8,251.0,421.0,373.0,217.4,-231.3,890.0,-119.4,-300.0,,-179.9,-235.0,-164.9,-234.4,-116.1,,-310.2,-263.0,-93.0,-141.0,-296.6,False,True,False,,True,False,True,False,True,,False,False,True,True,False
Nebraska,779,662.0,800.0,639.7,511.0,,873.1,631.0,651.5,559.3,623.2,,540.8,566.1,720.7,593.0,532.4,-117.0,21.0,-139.3,-268.0,,94.1,-148.0,-127.5,-219.7,-155.8,,-238.2,-212.9,-58.3,-186.0,-246.6,True,False,False,,True,False,False,False,False,,False,False,True,False,False
Nevada,1908,1955.3,2634.0,1912.2,1841.0,,2224.4,1876.0,1904.0,1936.5,1953.6,,1687.8,2070.2,2029.1,2128.0,1842.3,47.3,726.0,4.2,-67.0,,316.4,-32.0,-4.0,28.5,45.6,,-220.2,162.2,121.1,220.0,-65.7,False,True,False,,False,True,True,True,True,,False,False,False,False,False
New Hampshire,499,445.9,459.0,457.8,439.0,,474.1,454.0,455.0,454.5,489.1,,446.9,459.0,555.1,444.0,449.1,-53.1,-40.0,-41.2,-60.0,,-24.9,-45.0,-44.0,-44.5,-9.9,,-52.1,-40.0,56.1,-55.0,-49.9,True,True,False,,True,True,True,True,True,,True,True,False,False,True
New Jersey,16548,16373.4,17798.0,16452.3,16131.0,,17814.4,16345.0,16513.8,16330.8,17057.2,,16347.9,16286.2,18876.4,16496.0,16371.4,-174.6,1250.0,-95.7,-417.0,,1266.4,-203.0,-34.2,-217.2,509.2,,-200.1,-261.8,2328.4,-52.0,-176.6,False,True,False,,False,False,True,False,False,,False,False,False,True,False
New Mexico,1208,1014.0,1396.0,1003.9,934.0,,1040.4,1008.0,1064.2,1018.5,1109.3,,912.8,966.7,1300.4,1188.0,970.1,-194.0,188.0,-204.1,-274.0,,-167.6,-200.0,-143.8,-189.5,-98.7,,-295.2,-241.3,92.4,-20.0,-237.9,True,False,False,,True,False,True,True,True,,False,False,True,True,False
New York,34010,33432.7,33493.0,33425.9,33133.0,,33855.6,33383.0,33544.3,33334.4,35550.6,,33367.1,33344.5,36571.3,33492.0,33206.7,-415.3,-355.0,-422.1,-715.0,,7.6,-465.0,-303.7,-513.6,1702.6,,-480.9,-503.5,2723.3,-356.0,-641.3,True,False,False,,True,False,True,False,False,,False,False,False,True,False
North Carolina,4756,4798.7,4712.0,4454.3,4236.0,,5192.9,4514.0,4627.1,4382.5,4609.2,,3940.3,4441.3,6029.5,5091.0,4028.3,42.7,-44.0,-301.7,-520.0,,436.9,-242.0,-128.9,-373.5,-146.8,,-815.7,-314.7,1273.5,335.0,-727.7,False,False,False,,False,False,False,False,False,,False,False,False,False,False
North Dakota,726,498.4,521.0,464.0,232.0,,483.8,324.0,506.1,369.6,393.1,,391.4,298.6,442.9,460.0,288.1,-227.6,-205.0,-262.0,-494.0,,-242.2,-402.0,-219.9,-356.4,-332.9,,-334.6,-427.4,-283.1,-266.0,-437.9,True,False,False,,False,False,True,False,False,,False,False,False,False,False
Ohio,6132,5605.0,5458.0,5663.6,5570.0,,6043.6,5363.0,5669.1,5330.7,6390.0,,4980.0,5524.1,6271.7,5483.0,5321.6,-903.0,-1050.0,-844.4,-938.0,,-464.4,-1145.0,-838.9,-1177.3,-118.0,,-1528.0,-983.9,-236.3,-1025.0,-1186.4,False,True,False,,True,False,True,False,True,,False,False,True,False,False
Oklahoma,1516,1417.4,1881.0,1395.2,1437.0,,1557.8,1338.0,1589.4,1196.7,1552.1,,1139.0,1382.4,1618.9,1453.0,1185.4,-98.6,365.0,-120.8,-79.0,,41.8,-178.0,73.4,-319.3,36.1,,-377.0,-133.6,102.9,-63.0,-330.6,False,False,True,,True,False,True,False,True,,False,False,False,True,False
Oregon,759,659.6,1011.0,674.9,650.0,,728.7,674.0,703.7,650.1,742.0,,595.7,689.6,852.4,780.0,624.4,-99.4,252.0,-84.1,-109.0,,-30.3,-85.0,-55.3,-108.9,-17.0,,-163.3,-69.4,93.4,21.0,-134.6,False,True,False,,True,True,True,False,True,,False,True,True,True,False
Pennsylvania,9252,8950.0,8953.0,8948.3,8343.0,,9205.9,8799.0,8941.3,8513.9,9468.7,,8321.7,8602.6,10424.0,9019.0,8435.8,-302.0,-299.0,-303.7,-909.0,,-46.1,-453.0,-310.7,-738.1,216.7,,-930.3,-649.4,1172.0,-233.0,-816.2,True,False,False,,True,False,False,False,True,,False,False,False,True,False
Rhode Island,1283,1237.3,1401.0,1247.5,1108.0,,1363.5,1171.0,1249.3,1132.0,1454.1,,1133.4,1174.2,1258.3,1187.0,0.0,-31.7,132.0,-21.5,-161.0,,94.5,-98.0,-19.7,-137.0,185.1,,-135.6,-94.8,-10.7,-82.0,-1269.0,False,True,False,,False,False,True,False,False,,False,False,True,False,False
South Carolina,4110,4196.9,4623.0,4169.1,4010.0,,4486.4,3879.0,4412.6,3768.2,4059.7,,3597.8,4160.3,4316.2,4337.0,3804.4,86.9,513.0,59.1,-100.0,,376.4,-231.0,302.6,-341.8,-50.3,,-512.2,50.3,206.2,227.0,-305.6,False,True,False,,False,False,False,False,True,,False,True,False,False,False
South Dakota,621,327.7,343.0,345.4,225.0,,385.0,299.0,347.0,314.7,344.6,,227.0,268.9,513.7,355.0,256.0,-293.3,-278.0,-275.6,-396.0,,-236.0,-322.0,-274.0,-306.3,-276.4,,-394.0,-352.1,-107.3,-266.0,-365.0,True,True,False,,True,False,True,False,True,,False,False,True,True,False
Tennessee,3877,3467.3,3656.0,3378.6,3164.0,,4864.4,3136.0,3220.4,3174.2,3273.5,,2690.9,3439.2,3103.8,3241.0,2787.0,-409.7,-221.0,-498.4,-713.0,,987.4,-741.0,-656.6,-702.8,-603.5,,-1186.1,-437.8,-773.2,-636.0,-1090.0,True,False,False,,False,False,False,False,False,,False,False,False,False,False
Texas,20283,20250.1,52824.0,20244.3,18526.0,,22224.3,19475.0,19430.9,17802.5,19205.4,,16769.7,19652.0,19845.7,19775.0,17944.0,251.1,32825.0,245.3,-1473.0,,2225.3,-524.0,-568.1,-2196.5,-793.6,,-3229.3,-347.0,-153.3,-224.0,-2055.0,False,True,False,,False,False,False,False,False,,False,False,True,True,False
Utah,710,542.1,1022.0,739.5,564.0,,503.9,542.0,648.0,589.7,547.9,,469.1,554.4,837.5,579.0,414.7,-167.9,312.0,29.5,-146.0,,-206.1,-168.0,-62.0,-120.3,-162.1,,-240.9,-155.6,127.5,-131.0,-295.3,False,True,True,,False,False,True,True,True,,False,True,True,True,False
Vermont,59,58.0,58.0,59.7,59.0,,58.7,58.0,58.0,59.3,69.3,,58.0,58.9,65.0,58.0,58.2,-1.0,-1.0,0.7,0.0,,-0.3,-1.0,-1.0,0.3,10.3,,-1.0,-0.1,6.0,-1.0,-0.8,False,True,True,,True,False,False,True,False,,False,True,False,False,True
Virginia,3799,4144.4,4354.0,4393.3,3291.0,,3320.7,3935.0,3948.3,3709.1,4218.6,,3529.8,3666.3,3956.1,3458.0,3581.6,347.4,557.0,596.3,-506.0,,-476.3,138.0,151.3,-87.9,421.6,,-267.2,-130.7,159.1,-339.0,-215.4,False,False,False,,False,True,True,True,False,,True,True,True,True,True
Washington,2493,2532.0,2801.0,2418.2,2593.0,,2325.3,2314.0,2366.9,2327.6,2425.7,,2216.7,2512.9,3158.5,2683.0,2318.1,20.0,289.0,-93.8,81.0,,-186.7,-198.0,-145.1,-184.4,-86.3,,-295.3,0.9,646.5,171.0,-193.9,False,False,False,,False,False,False,False,False,,False,True,False,False,False
West Virginia,574,510.4,563.0,600.9,539.0,,1026.8,512.0,677.4,464.3,700.0,,386.3,462.5,525.6,518.0,430.3,-63.6,-11.0,26.9,-35.0,,452.8,-62.0,103.4,-109.7,126.0,,-187.7,-111.5,-48.4,-56.0,-143.7,True,True,True,,False,True,False,False,False,,False,False,True,True,False
Wisconsin,2739,1548.4,4363.0,1915.9,1774.0,,1651.1,1674.0,2016.4,1594.6,1717.6,,1362.0,1628.1,3029.4,1795.0,1432.5,-1101.6,1713.0,-734.1,-876.0,,-998.9,-976.0,-633.6,-1055.4,-932.4,,-1288.0,-1021.9,379.4,-855.0,-1217.5,False,True,True,,True,True,True,True,True,,False,True,True,True,False
Wyoming,144,56.9,573.0,134.9,63.0,,60.5,70.0,65.0,82.1,274.2,,50.0,57.5,129.1,59.0,54.1,-87.1,429.0,-9.1,-81.0,,-83.5,-74.0,-79.0,-61.9,130.2,,-94.0,-86.5,-14.9,-85.0,-89.9,False,True,True,,True,True,True,True,False,,False,True,True,True,False
US,246811,240735.4,254413.0,231926.0,226416.0,248419.0,254970.2,225542.0,236235.1,221185.2,,243075.1,,230942.1,255209.4,242993.0,226782.7,-5861.6,7816.0,-14671.0,-20181.0,1822.0,8373.2,-21055.0,-10361.9,-25411.8,,-3521.9,,-15654.9,8612.4,-3604.0,-19814.3,False,False,False,True,False,False,False,False,,True,,False,False,True,False
