,actual_deaths,Baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Caltech-CS156,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_CritData-GBCF,MOBS-GLEAM_COVID,MSRA-DeepST,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,SteveMcConnell-CovidComplete,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UCSB-ACTS,UCSD_NEU-DeepGLEAM,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,USC-SI_kJalpha_RF,UT-Mobility,WalmartLabsML-LogForecasting,epiforecasts-ensemble1,error-Baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Caltech-CS156,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_CritData-GBCF,error-MOBS-GLEAM_COVID,error-MSRA-DeepST,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-SteveMcConnell-CovidComplete,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UCSB-ACTS,error-UCSD_NEU-DeepGLEAM,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-USC-SI_kJalpha_RF,error-UT-Mobility,error-WalmartLabsML-LogForecasting,error-epiforecasts-ensemble1,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Caltech-CS156,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_CritData-GBCF,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-MSRA-DeepST,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-SteveMcConnell-CovidComplete,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UCSB-ACTS,beat_baseline-UCSD_NEU-DeepGLEAM,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-USC-SI_kJalpha_RF,beat_baseline-UT-Mobility,beat_baseline-WalmartLabsML-LogForecasting,beat_baseline-epiforecasts-ensemble1
Georgia,8956,8376.6,8451.5,8405.8,8390.0,8407.0,8396.0,8404.0,8462.5,8406.0,8386.3,8329.0,8371.3,8385.8,8433.8,8405.1,,8424.0,8459.0,8397.2,8410.2,8202.0,8299.6,8550.0,8418.5,8393.0,8385.2,8375.0,8347.0,8377.6,,8352.0,8411.1,8155.0,,8383.2,8446.2,8707.0,7826.3,8630.0,8420.3,,8368.9,8350.3,8367.2,8368.0,8410.2,8418.0,8394.3,8327.5,8157.1,8358.0,-125.4,-50.5,-96.2,-112.0,-95.0,-106.0,-98.0,-39.5,-96.0,-115.7,-173.0,-130.7,-116.2,-68.2,-96.9,,-78.0,-43.0,-104.8,-91.8,-300.0,-202.4,48.0,-83.5,-109.0,-116.8,-127.0,-155.0,-124.4,,-150.0,-90.9,-347.0,,-118.8,-55.8,205.0,-675.7,128.0,-81.7,,-133.1,-151.7,-134.8,-134.0,-91.8,-84.0,-107.7,-174.5,-344.9,-144.0,True,True,True,True,True,True,True,True,True,False,False,True,True,True,,True,True,True,True,False,False,True,True,True,True,False,False,True,,False,True,False,,True,True,False,False,False,True,,False,False,False,False,True,True,True,False,False,False
Hawaii,222,222.7,221.1,220.0,223.0,221.0,227.0,230.0,226.3,226.0,252.0,232.0,229.9,,232.7,226.6,,,,231.9,233.0,224.0,230.6,226.0,227.0,224.0,224.0,233.0,224.6,232.0,,255.9,224.0,235.0,,,219.6,227.0,197.4,240.0,225.1,,243.3,226.2,227.5,229.0,231.8,224.0,224.2,233.0,227.7,,0.7,-0.9,-2.0,1.0,-1.0,5.0,8.0,4.3,4.0,30.0,10.0,7.9,,10.7,4.6,,,,9.9,11.0,2.0,8.6,4.0,5.0,2.0,2.0,11.0,2.6,10.0,,33.9,2.0,13.0,,,-2.4,5.0,-24.6,18.0,3.1,,21.3,4.2,5.5,7.0,9.8,2.0,2.2,11.0,5.7,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,
Idaho,759,734.0,746.4,738.0,737.0,737.0,745.0,754.0,746.8,755.0,781.4,715.0,746.7,739.5,732.6,753.2,,730.0,754.0,740.4,745.2,744.0,714.4,733.5,757.3,758.0,747.2,759.0,750.7,748.6,,745.0,749.1,735.0,,,737.8,745.0,799.9,745.0,732.6,,748.6,754.6,764.7,733.0,735.0,748.0,742.6,742.0,710.0,748.0,-25.0,-12.6,-21.0,-22.0,-22.0,-14.0,-5.0,-12.2,-4.0,22.4,-44.0,-12.3,-19.5,-26.4,-5.8,,-29.0,-5.0,-18.6,-13.8,-15.0,-44.6,-25.5,-1.7,-1.0,-11.8,0.0,-8.3,-10.4,,-14.0,-9.9,-24.0,,,-21.2,-14.0,40.9,-14.0,-26.4,,-10.4,-4.4,5.7,-26.0,-24.0,-11.0,-16.4,-17.0,-49.0,-11.0,True,True,True,True,True,True,True,True,True,False,True,True,False,True,,False,True,True,True,True,False,False,True,True,True,True,True,True,,True,True,True,,,True,True,False,True,False,,True,True,True,False,True,True,True,True,False,True
Illinois,11088,10934.9,11102.5,10942.2,10916.0,10936.0,10942.0,11217.0,11117.9,11045.0,11068.8,10914.0,10947.2,,11043.1,10936.3,,10943.0,10782.0,10958.6,10941.0,11075.0,10689.4,10816.0,11089.9,11020.0,11056.9,10942.0,10917.0,10982.8,11063.0,10704.6,11038.0,10734.0,,10804.6,11105.9,11041.0,10365.2,10988.0,10952.5,,10803.5,10933.6,11217.5,11020.0,10886.0,11065.0,10879.8,10943.0,10707.4,10772.0,-153.1,14.5,-145.8,-172.0,-152.0,-146.0,129.0,29.9,-43.0,-19.2,-174.0,-140.8,,-44.9,-151.7,,-145.0,-306.0,-129.4,-147.0,-13.0,-398.6,-272.0,1.9,-68.0,-31.1,-146.0,-171.0,-105.2,-25.0,-383.4,-50.0,-354.0,,-283.4,17.9,-47.0,-722.8,-100.0,-135.5,,-284.5,-154.4,129.5,-68.0,-202.0,-23.0,-208.2,-145.0,-380.6,-316.0,True,True,False,True,True,True,True,True,True,False,True,,True,True,,True,False,True,True,True,False,False,True,True,True,True,False,True,True,False,True,False,,False,True,True,False,True,True,,False,False,True,True,False,True,False,True,False,False
Indiana,4888,4856.1,4942.7,4851.4,4858.0,4852.0,4895.0,4958.0,4864.2,4958.0,5039.1,4944.0,4927.8,4896.5,4927.5,4858.2,,4831.0,4801.0,4932.9,4894.7,4611.0,4711.3,4811.0,4954.5,4942.0,4908.7,4817.0,4878.2,4878.3,4774.0,4854.2,4923.6,4758.0,,4798.6,4838.1,4934.0,4439.8,4911.0,4843.7,,4833.2,4883.1,4899.0,4911.0,4767.2,4889.0,4841.7,4912.0,4468.3,4912.0,-31.9,54.7,-36.6,-30.0,-36.0,7.0,70.0,-23.8,70.0,151.1,56.0,39.8,8.5,39.5,-29.8,,-57.0,-87.0,44.9,6.7,-277.0,-176.7,-77.0,66.5,54.0,20.7,-71.0,-9.8,-9.7,-114.0,-33.8,35.6,-130.0,,-89.4,-49.9,46.0,-448.2,23.0,-44.3,,-54.8,-4.9,11.0,23.0,-120.8,1.0,-46.3,24.0,-419.7,24.0,False,False,True,False,True,False,True,False,False,False,False,True,False,True,,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,,False,False,False,False,True,False,,False,True,True,True,False,True,False,True,False,True
Iowa,1985,1941.0,1995.8,1965.3,1962.0,1968.0,1972.0,1944.0,1992.0,2033.0,2034.0,1953.0,1962.5,2003.9,1985.1,1991.1,,1943.0,1966.0,1990.4,2080.2,1986.0,1889.0,1940.0,2018.7,1996.0,1981.4,1994.0,1983.1,1979.5,,1847.7,2008.0,1930.0,,1955.5,1952.1,1995.0,2010.8,1952.0,1975.5,,1941.8,1987.5,2055.4,1979.0,1936.4,2005.0,1965.7,1934.0,1891.7,1978.0,-44.0,10.8,-19.7,-23.0,-17.0,-13.0,-41.0,7.0,48.0,49.0,-32.0,-22.5,18.9,0.1,6.1,,-42.0,-19.0,5.4,95.2,1.0,-96.0,-45.0,33.7,11.0,-3.6,9.0,-1.9,-5.5,,-137.3,23.0,-55.0,,-29.5,-32.9,10.0,25.8,-33.0,-9.5,,-43.2,2.5,70.4,-6.0,-48.6,20.0,-19.3,-51.0,-93.3,-7.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,,True,True,True,False,True,False,False,True,True,True,True,True,True,,False,True,False,,True,True,True,True,True,True,,True,True,False,True,False,True,True,False,False,True
Kansas,1256,1162.4,1179.3,1168.3,1176.0,1171.0,1185.0,1205.0,1190.0,1220.0,1293.3,1178.0,1178.7,1197.5,1181.1,1195.9,,1165.0,1217.0,1204.6,1207.3,1180.0,1150.5,1182.0,1200.8,1183.0,1177.7,1234.0,1190.4,1190.6,,1152.7,1190.0,1183.0,,,1154.7,1243.0,990.4,1220.0,1169.2,,1212.8,1193.9,1223.8,1185.0,1185.2,1175.0,1179.5,1157.0,1142.6,1175.0,-26.6,-9.7,-20.7,-13.0,-18.0,-4.0,16.0,1.0,31.0,104.3,-11.0,-10.3,8.5,-7.9,6.9,,-24.0,28.0,15.6,18.3,-9.0,-38.5,-7.0,11.8,-6.0,-11.3,45.0,1.4,1.6,,-36.3,1.0,-6.0,,,-34.3,54.0,-198.6,31.0,-19.8,,23.8,4.9,34.8,-4.0,-3.8,-14.0,-9.5,-32.0,-46.4,-14.0,True,True,True,True,True,True,True,False,False,True,True,True,True,True,,True,False,True,True,True,False,True,True,True,True,False,True,True,,False,True,True,,,False,False,False,False,True,,True,True,False,True,True,True,True,False,False,True
Kentucky,1658,1630.1,1642.4,1638.2,1632.0,1637.0,1645.0,1709.0,1666.1,1674.0,1733.1,1642.0,1646.3,1670.0,1627.4,1662.2,,1623.0,1659.5,1666.8,1657.0,1663.0,1633.2,1652.0,1670.1,1636.0,1649.8,1717.0,1658.5,1656.9,1722.0,1614.2,1648.0,1634.5,,,1638.9,1662.0,1606.0,1633.0,1636.4,,1647.1,1662.7,1693.3,1646.0,1633.3,1651.0,1649.4,1643.0,1607.3,1645.0,-27.9,-15.6,-19.8,-26.0,-21.0,-13.0,51.0,8.1,16.0,75.1,-16.0,-11.7,12.0,-30.6,4.2,,-35.0,1.5,8.8,-1.0,5.0,-24.8,-6.0,12.1,-22.0,-8.2,59.0,0.5,-1.1,64.0,-43.8,-10.0,-23.5,,,-19.1,4.0,-52.0,-25.0,-21.6,,-10.9,4.7,35.3,-12.0,-24.7,-7.0,-8.6,-15.0,-50.7,-13.0,True,True,True,True,True,False,True,True,False,True,True,True,False,True,,False,True,True,True,True,True,True,True,True,True,False,True,True,False,False,True,True,,,True,True,False,True,True,,True,True,False,True,True,True,True,True,False,True
Louisiana,6121,6130.3,6137.1,6112.7,6110.0,6113.0,6113.0,6093.0,6092.3,6121.0,6128.5,6076.0,6120.5,6115.0,6098.5,6108.5,,6107.0,6080.0,6124.3,6083.6,5883.0,6065.9,6106.0,6115.0,6129.0,6115.8,6088.0,6122.9,6115.9,,6112.6,6121.3,6054.0,,6101.6,6098.9,6110.0,5609.1,6144.0,6118.3,,6112.2,6126.0,6092.2,6098.0,6139.8,6107.0,6110.5,6117.0,5874.9,6132.0,9.3,16.1,-8.3,-11.0,-8.0,-8.0,-28.0,-28.7,0.0,7.5,-45.0,-0.5,-6.0,-22.5,-12.5,,-14.0,-41.0,3.3,-37.4,-238.0,-55.1,-15.0,-6.0,8.0,-5.2,-33.0,1.9,-5.1,,-8.4,0.3,-67.0,,-19.4,-22.1,-11.0,-511.9,23.0,-2.7,,-8.8,5.0,-28.8,-23.0,18.8,-14.0,-10.5,-4.0,-246.1,11.0,False,True,False,True,True,False,False,True,True,False,True,True,False,False,,False,False,True,False,False,False,False,True,True,True,False,True,True,,True,True,False,,False,False,False,False,False,True,,True,True,False,False,False,False,False,True,False,False
Maine,163,156.3,163.1,155.3,155.0,155.0,155.0,157.0,156.1,160.0,151.7,157.0,156.0,159.6,153.5,159.7,,155.0,161.0,152.5,153.2,157.0,155.6,151.0,156.2,154.0,153.8,164.0,155.2,158.7,,154.1,157.0,153.0,,,154.7,156.0,165.9,158.0,152.0,,151.7,159.8,163.4,156.0,153.9,157.0,154.0,155.0,153.5,,-6.7,0.1,-7.7,-8.0,-8.0,-8.0,-6.0,-6.9,-3.0,-11.3,-6.0,-7.0,-3.4,-9.5,-3.3,,-8.0,-2.0,-10.5,-9.8,-6.0,-7.4,-12.0,-6.8,-9.0,-9.2,1.0,-7.8,-4.3,,-8.9,-6.0,-10.0,,,-8.3,-7.0,2.9,-5.0,-11.0,,-11.3,-3.2,0.4,-7.0,-9.1,-6.0,-9.0,-8.0,-9.5,,True,False,False,False,False,True,False,True,False,True,False,True,False,True,,False,True,False,False,True,False,False,False,False,False,True,False,True,,False,True,False,,,False,False,True,True,False,,False,True,True,False,False,True,False,False,False,
Maryland,4293,4263.4,4275.0,4255.7,4260.0,4255.0,4269.0,4364.0,4271.4,4301.0,4281.7,4259.0,4274.0,4265.4,4252.8,4283.4,,4252.0,4267.0,4269.9,4266.6,4248.0,4258.2,4255.5,4272.1,4270.0,4276.8,4269.0,4262.4,4272.2,,4287.0,4273.7,4273.0,,4258.9,4246.7,4267.0,4274.8,4279.0,4252.3,,4260.8,4266.9,4277.0,4272.0,4259.8,4269.0,4262.3,4334.0,4230.5,4329.0,-29.6,-18.0,-37.3,-33.0,-38.0,-24.0,71.0,-21.6,8.0,-11.3,-34.0,-19.0,-27.6,-40.2,-9.6,,-41.0,-26.0,-23.1,-26.4,-45.0,-34.8,-37.5,-20.9,-23.0,-16.2,-24.0,-30.6,-20.8,,-6.0,-19.3,-20.0,,-34.1,-46.3,-26.0,-18.2,-14.0,-40.7,,-32.2,-26.1,-16.0,-21.0,-33.2,-24.0,-30.7,41.0,-62.5,36.0,True,False,False,False,True,False,True,True,True,False,True,True,False,True,,False,True,True,True,False,False,False,True,True,True,True,False,True,,True,True,True,,False,False,True,True,True,False,,False,True,True,True,False,True,False,False,False,False
Massachusetts,10293,10265.6,10290.7,10261.1,10259.0,10267.0,10287.0,10348.0,10287.9,10343.0,10399.8,10304.0,10280.6,10295.7,10263.1,10307.7,,10237.0,10258.0,10315.1,10343.7,10251.0,10214.5,10249.5,10279.2,10282.0,10278.9,10234.0,10284.2,10284.7,,10239.9,10292.3,10229.0,,10270.5,10229.7,10333.0,10614.9,10328.0,10248.4,,10289.0,10288.7,10256.5,10301.0,10264.1,10295.0,10270.4,10321.0,10192.4,10165.0,-27.4,-2.3,-31.9,-34.0,-26.0,-6.0,55.0,-5.1,50.0,106.8,11.0,-12.4,2.7,-29.9,14.7,,-56.0,-35.0,22.1,50.7,-42.0,-78.5,-43.5,-13.8,-11.0,-14.1,-59.0,-8.8,-8.3,,-53.1,-0.7,-64.0,,-22.5,-63.3,40.0,321.9,35.0,-44.6,,-4.0,-4.3,-36.5,8.0,-28.9,2.0,-22.6,28.0,-100.6,-128.0,True,False,False,True,True,False,True,False,False,True,True,True,False,True,,False,False,True,False,False,False,False,True,True,True,False,True,True,,False,True,False,,True,False,False,False,False,False,,True,True,False,True,False,True,True,False,False,False
Michigan,8376,8155.9,8221.5,8188.6,8171.0,8191.0,8197.0,8378.0,8217.8,8314.0,8391.8,8239.0,8170.0,,8214.5,8209.9,,8160.0,8141.0,8240.8,8304.3,8123.0,8062.2,8136.0,8316.1,8213.0,8216.5,8152.0,8223.7,8198.9,8602.5,8050.7,8270.4,8099.0,,8025.3,8263.8,8276.0,8085.4,8107.0,8188.5,,8134.9,8228.7,8292.9,8254.0,8123.5,8263.0,8190.8,8142.0,7933.2,8179.0,-220.1,-154.5,-187.4,-205.0,-185.0,-179.0,2.0,-158.2,-62.0,15.8,-137.0,-206.0,,-161.5,-166.1,,-216.0,-235.0,-135.2,-71.7,-253.0,-313.8,-240.0,-59.9,-163.0,-159.5,-224.0,-152.3,-177.1,226.5,-325.3,-105.6,-277.0,,-350.7,-112.2,-100.0,-290.6,-269.0,-187.5,,-241.1,-147.3,-83.1,-122.0,-252.5,-113.0,-185.2,-234.0,-442.8,-197.0,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,False,,False,True,True,False,False,True,,False,True,True,True,False,True,True,False,False,True
Minnesota,2930,2865.1,2930.7,2846.4,2842.0,2847.0,2874.0,2874.0,2863.3,2913.0,2897.1,2870.0,2863.3,,2902.6,2877.0,,2846.0,2890.0,2884.5,2870.8,2809.0,2761.8,2829.0,2903.3,2945.0,2923.8,2848.0,2845.5,2886.0,2914.0,2848.0,2889.0,2807.0,,2815.1,2904.9,2882.0,2715.9,2974.0,2847.6,,2824.2,2850.4,2931.3,2934.0,2830.7,2869.0,2853.8,2948.0,2710.8,2932.0,-64.9,0.7,-83.6,-88.0,-83.0,-56.0,-56.0,-66.7,-17.0,-32.9,-60.0,-66.7,,-27.4,-53.0,,-84.0,-40.0,-45.5,-59.2,-121.0,-168.2,-101.0,-26.7,15.0,-6.2,-82.0,-84.5,-44.0,-16.0,-82.0,-41.0,-123.0,,-114.9,-25.1,-48.0,-214.1,44.0,-82.4,,-105.8,-79.6,1.3,4.0,-99.3,-61.0,-76.2,18.0,-219.2,2.0,True,False,False,False,True,True,False,True,True,True,False,,True,True,,False,True,True,True,False,False,False,True,True,True,False,False,True,True,False,True,False,,False,True,True,False,True,False,,False,False,True,True,False,True,False,True,False,True
Mississippi,3540,3524.4,3545.6,3533.3,3523.0,3532.0,3528.0,3545.0,3524.0,3520.0,3517.0,3497.0,3531.2,3519.8,3547.3,3560.9,,3533.0,3504.0,3514.8,3487.7,3529.0,3470.0,3505.0,3536.4,3530.0,3535.3,3519.0,3534.4,3532.6,,3533.5,3535.5,3582.0,,3515.3,3527.7,3532.0,3582.4,3523.0,3539.6,,3508.6,3538.8,3534.0,3522.0,3533.6,3526.0,3530.4,3516.5,3508.5,3547.0,-15.6,5.6,-6.7,-17.0,-8.0,-12.0,5.0,-16.0,-20.0,-23.0,-43.0,-8.8,-20.2,7.3,20.9,,-7.0,-36.0,-25.2,-52.3,-11.0,-70.0,-35.0,-3.6,-10.0,-4.7,-21.0,-5.6,-7.4,,-6.5,-4.5,42.0,,-24.7,-12.3,-8.0,42.4,-17.0,-0.4,,-31.4,-1.2,-6.0,-18.0,-6.4,-14.0,-9.6,-23.5,-31.5,7.0,True,True,False,True,True,True,False,False,False,False,True,False,True,False,,True,False,False,False,True,False,False,True,True,True,False,True,True,,True,True,False,,False,True,True,False,False,True,,False,True,True,False,True,True,True,False,False,True
Missouri,3387,3273.9,3319.0,3285.5,3367.0,3287.0,3357.0,3538.0,3338.3,3454.0,3480.4,3310.0,3339.3,3371.9,3206.6,3142.9,,3348.0,3417.0,3467.8,3215.5,3125.0,3261.9,3342.0,3417.8,3313.0,3324.4,3366.0,3325.0,3357.7,,3324.5,3412.0,3356.0,,3184.7,3264.7,3394.0,3321.5,3346.0,3263.3,,3412.8,3324.0,3371.1,3359.0,3315.8,3417.0,3343.5,3379.0,3031.1,3414.0,-113.1,-68.0,-101.5,-20.0,-100.0,-30.0,151.0,-48.7,67.0,93.4,-77.0,-47.7,-15.1,-180.4,-244.1,,-39.0,30.0,80.8,-171.5,-262.0,-125.1,-45.0,30.8,-74.0,-62.6,-21.0,-62.0,-29.3,,-62.5,25.0,-31.0,,-202.3,-122.3,7.0,-65.5,-41.0,-123.7,,25.8,-63.0,-15.9,-28.0,-71.2,30.0,-43.5,-8.0,-355.9,27.0,True,True,True,True,True,False,True,True,True,True,True,True,False,False,,True,True,True,False,False,False,True,True,True,True,True,True,True,,True,True,True,,False,False,True,True,True,False,,True,True,True,True,True,True,True,True,False,True
Montana,514,524.6,527.9,516.1,502.0,515.0,527.0,493.0,511.2,530.0,583.3,512.0,540.7,504.3,557.8,532.0,,531.0,521.0,545.7,501.8,520.0,462.2,518.0,540.1,564.0,526.1,538.0,540.4,525.1,,519.5,538.1,516.0,,,523.8,531.0,565.1,537.0,505.5,,542.6,544.7,521.7,527.0,532.7,531.0,531.5,536.0,487.8,530.0,10.6,13.9,2.1,-12.0,1.0,13.0,-21.0,-2.8,16.0,69.3,-2.0,26.7,-9.7,43.8,18.0,,17.0,7.0,31.7,-12.2,6.0,-51.8,4.0,26.1,50.0,12.1,24.0,26.4,11.1,,5.5,24.1,2.0,,,9.8,17.0,51.1,23.0,-8.5,,28.6,30.7,7.7,13.0,18.7,17.0,17.5,22.0,-26.2,16.0,False,True,False,True,False,False,True,False,False,True,False,True,False,False,,False,True,False,False,True,False,True,False,False,False,False,False,False,,True,False,True,,,True,False,False,False,True,,False,False,True,False,False,False,False,False,False,False
Nebraska,779,745.0,757.5,753.1,761.0,754.0,764.0,838.0,770.7,781.0,804.5,757.0,768.2,772.4,710.2,782.5,,729.0,755.0,774.7,763.9,771.0,739.5,758.0,788.9,786.0,777.7,826.0,765.2,767.8,,728.0,771.7,749.0,,,724.8,770.0,786.0,762.0,718.2,,768.0,769.9,801.1,760.0,746.4,758.0,759.7,765.0,720.6,771.0,-34.0,-21.5,-25.9,-18.0,-25.0,-15.0,59.0,-8.3,2.0,25.5,-22.0,-10.8,-6.6,-68.8,3.5,,-50.0,-24.0,-4.3,-15.1,-8.0,-39.5,-21.0,9.9,7.0,-1.3,47.0,-13.8,-11.2,,-51.0,-7.3,-30.0,,,-54.2,-9.0,7.0,-17.0,-60.8,,-11.0,-9.1,22.1,-19.0,-32.6,-21.0,-19.3,-14.0,-58.4,-8.0,True,True,True,True,True,False,True,True,True,True,True,True,False,True,,False,True,True,True,True,False,True,True,True,True,False,True,True,,False,True,True,,,False,True,True,True,False,,True,True,True,True,True,True,True,True,False,True
Nevada,1908,1911.0,1953.1,1922.0,1919.0,1923.0,1916.0,1938.0,1915.2,1900.0,1885.6,1882.0,1903.7,1922.9,1941.5,1916.8,,1920.0,1891.0,1904.2,1876.7,1911.0,1879.9,1899.0,1916.9,1916.0,1921.4,1911.0,1923.9,1923.1,,1927.4,1937.7,1886.0,,1894.0,1945.4,1916.0,1832.7,1908.0,1930.8,,1879.9,1928.0,1927.7,1913.0,1913.0,1938.0,1927.2,1907.0,1888.3,1920.0,3.0,45.1,14.0,11.0,15.0,8.0,30.0,7.2,-8.0,-22.4,-26.0,-4.3,14.9,33.5,8.8,,12.0,-17.0,-3.8,-31.3,3.0,-28.1,-9.0,8.9,8.0,13.4,3.0,15.9,15.1,,19.4,29.7,-22.0,,-14.0,37.4,8.0,-75.3,0.0,22.8,,-28.1,20.0,19.7,5.0,5.0,30.0,19.2,-1.0,-19.7,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,False,False,True,False,,False,False,False,False,False,False,False,True,False,False
New Hampshire,499,494.1,494.9,495.5,495.0,495.0,499.0,500.0,502.0,498.0,512.8,502.0,503.3,504.7,489.9,506.9,,495.0,505.0,501.2,503.0,498.0,496.3,496.0,500.7,499.0,494.5,503.0,493.8,500.1,,499.0,502.0,499.0,,,496.3,499.0,507.4,497.0,494.0,,501.9,498.4,501.6,500.0,498.4,496.0,497.2,496.5,492.5,496.0,-4.9,-4.1,-3.5,-4.0,-4.0,0.0,1.0,3.0,-1.0,13.8,3.0,4.3,5.7,-9.1,7.9,,-4.0,6.0,2.2,4.0,-1.0,-2.7,-3.0,1.7,0.0,-4.5,4.0,-5.2,1.1,,0.0,3.0,0.0,,,-2.7,0.0,8.4,-2.0,-5.0,,2.9,-0.6,2.6,1.0,-0.6,-3.0,-1.8,-2.5,-6.5,-3.0,True,True,True,True,True,True,True,True,False,True,True,False,False,False,,True,False,True,True,True,True,True,True,True,True,True,False,True,,True,True,True,,,True,True,False,True,False,,True,True,True,True,True,True,True,True,False,True
New Jersey,16548,16493.3,16506.8,16498.5,16509.0,16500.0,16520.0,16772.0,16536.9,16540.0,16558.5,16596.0,16514.3,16561.4,16509.0,16618.6,,16502.0,16560.0,16521.5,16558.4,16510.0,16506.8,16481.5,16541.2,16519.0,16516.3,16520.0,16516.3,16525.3,,16517.2,16520.7,16492.0,,16484.9,16452.8,16526.0,20488.7,16512.0,16497.0,,16501.3,16520.5,16540.4,16501.0,16614.5,16511.0,16508.5,16711.0,16433.6,16711.0,-54.7,-41.2,-49.5,-39.0,-48.0,-28.0,224.0,-11.1,-8.0,10.5,48.0,-33.7,13.4,-39.0,70.6,,-46.0,12.0,-26.5,10.4,-38.0,-41.2,-66.5,-6.8,-29.0,-31.7,-28.0,-31.7,-22.7,,-30.8,-27.3,-56.0,,-63.1,-95.2,-22.0,3940.7,-36.0,-51.0,,-46.7,-27.5,-7.6,-47.0,66.5,-37.0,-39.5,163.0,-114.4,163.0,True,True,True,True,True,False,True,True,True,True,True,True,True,False,,True,True,True,True,True,True,False,True,True,True,True,True,True,,True,True,False,,False,False,True,False,True,True,,True,True,True,True,False,True,True,False,False,False
