,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,285,310.0,,313.1,,327.0,140.0,,,,,345.0,250.4,,,,434.0,,517.2,162.7,288.5,,307.0,327.6,337.2,427.0,415.0,360.3,,,,,258.0,246.1,,,,405.1,25.0,,28.1,,42.0,-145.0,,,,,60.0,-34.6,,,,149.0,,232.2,-122.3,3.5,,22.0,42.6,52.2,142.0,130.0,75.3,,,,,-27.0,-38.9,,,,120.1,,False,,False,False,,,,,False,False,,,,False,,False,False,True,,True,False,False,False,False,False,,,,,False,False,,,,False
01023,33,30.0,,29.5,,28.0,14.0,,,,,49.3,72.6,,,,130.0,,22.8,16.3,,,29.0,25.0,43.1,32.0,80.0,57.4,,,,,,40.3,,,,27.3,-3.0,,-3.5,,-5.0,-19.0,,,,,16.3,39.6,,,,97.0,,-10.2,-16.7,,,-4.0,-8.0,10.1,-1.0,47.0,24.4,,,,,,7.3,,,,-5.7,,False,,False,False,,,,,False,False,,,,False,,False,False,,,False,False,False,True,False,False,,,,,,False,,,,False
01025,250,746.0,,739.6,,304.0,261.0,,,,,335.3,1848.5,,,,232.0,,379.4,197.0,,,211.0,404.2,266.2,799.0,473.0,307.9,,,,,,431.0,,,,399.9,496.0,,489.6,,54.0,11.0,,,,,85.3,1598.5,,,,-18.0,,129.4,-53.0,,,-39.0,154.2,16.2,549.0,223.0,57.9,,,,,,181.0,,,,149.9,,True,,True,True,,,,,True,False,,,,True,,True,True,,,True,True,True,False,True,True,,,,,,True,,,,True
01027,105,84.0,,85.0,,86.0,77.0,,,,,119.0,57.9,,,,124.0,,75.7,40.6,,,83.0,94.5,92.6,87.0,119.0,158.2,,,,,,95.7,,,,92.8,-21.0,,-20.0,,-19.0,-28.0,,,,,14.0,-47.1,,,,19.0,,-29.3,-64.4,,,-22.0,-10.5,-12.4,-18.0,14.0,53.2,,,,,,-9.3,,,,-12.2,,True,,True,False,,,,,True,False,,,,True,,False,False,,,False,True,True,True,True,False,,,,,,True,,,,True
01029,115,118.0,,94.9,,104.0,14.0,,,,,119.6,144.9,,,,148.0,,60.0,37.5,,,83.0,116.1,122.4,164.0,149.0,146.1,,,,,,139.4,,,,97.9,3.0,,-20.1,,-11.0,-101.0,,,,,4.6,29.9,,,,33.0,,-55.0,-77.5,,,-32.0,1.1,7.4,49.0,34.0,31.1,,,,,,24.4,,,,-17.1,,False,,False,False,,,,,False,False,,,,False,,False,False,,,False,True,False,False,False,False,,,,,,False,,,,False
01031,508,498.0,,510.4,,486.0,532.0,,,,,481.7,522.0,,,,360.0,,505.4,246.1,381.0,,431.0,527.7,547.3,676.0,577.0,584.9,,,,,443.9,585.1,,,,463.5,-10.0,,2.4,,-22.0,24.0,,,,,-26.3,14.0,,,,-148.0,,-2.6,-261.9,-127.0,,-77.0,19.7,39.3,168.0,69.0,76.9,,,,,-64.1,77.1,,,,-44.5,,True,,False,False,,,,,False,False,,,,False,,True,False,False,,False,False,False,False,False,False,,,,,False,False,,,,False
01033,595,580.0,,620.8,,566.0,517.0,,,,,602.8,880.0,,,,688.0,,525.0,354.5,478.5,,656.0,653.9,682.8,699.0,645.0,678.3,,,,,530.8,630.7,,,,487.4,-15.0,,25.8,,-29.0,-78.0,,,,,7.8,285.0,,,,93.0,,-70.0,-240.5,-116.5,,61.0,58.9,87.8,104.0,50.0,83.3,,,,,-64.2,35.7,,,,-107.6,,False,,False,False,,,,,True,False,,,,False,,False,False,False,,False,False,False,False,False,False,,,,,False,False,,,,False
01035,50,82.0,,86.8,,94.0,113.0,,,,,97.2,53.3,,,,93.0,,133.6,36.0,,,125.0,74.5,85.3,123.0,115.0,108.4,,,,,,104.9,,,,70.3,32.0,,36.8,,44.0,63.0,,,,,47.2,3.3,,,,43.0,,83.6,-14.0,,,75.0,24.5,35.3,73.0,65.0,58.4,,,,,,54.9,,,,20.3,,False,,False,False,,,,,False,True,,,,False,,False,True,,,False,True,False,False,False,False,,,,,,False,,,,True
01037,47,74.0,,70.5,,77.0,85.0,,,,,64.1,78.8,,,,71.0,,70.4,24.9,,,77.0,80.2,91.4,83.0,89.0,109.1,,,,,,72.0,,,,80.0,27.0,,23.5,,30.0,38.0,,,,,17.1,31.8,,,,24.0,,23.4,-22.1,,,30.0,33.2,44.4,36.0,42.0,62.1,,,,,,25.0,,,,33.0,,True,,False,False,,,,,True,False,,,,True,,True,True,,,False,False,False,False,False,False,,,,,,True,,,,False
01039,276,318.0,,344.4,,295.0,134.0,,,,,301.0,363.4,,,,300.0,,375.2,157.1,237.5,,179.0,310.9,328.8,478.0,406.0,446.2,,,,,224.2,300.5,,,,331.1,42.0,,68.4,,19.0,-142.0,,,,,25.0,87.4,,,,24.0,,99.2,-118.9,-38.5,,-97.0,34.9,52.8,202.0,130.0,170.2,,,,,-51.8,24.5,,,,55.1,,False,,True,False,,,,,True,False,,,,True,,False,False,True,,False,True,False,False,False,False,,,,,False,True,,,,False
01041,128,60.0,,70.5,,60.0,30.0,,,,,99.7,68.6,,,,89.0,,58.8,29.4,,,56.0,82.2,86.2,82.0,109.0,93.8,,,,,,70.9,,,,55.8,-68.0,,-57.5,,-68.0,-98.0,,,,,-28.3,-59.4,,,,-39.0,,-69.2,-98.6,,,-72.0,-45.8,-41.8,-46.0,-19.0,-34.2,,,,,,-57.1,,,,-72.2,,True,,False,False,,,,,True,True,,,,True,,False,False,,,False,True,True,True,True,True,,,,,,True,,,,False
01043,1092,1296.0,,1383.6,,1175.0,1136.0,,,,,949.5,1349.1,,,,1188.0,,1665.5,600.3,913.0,,1113.0,1202.7,1247.7,1760.0,1290.0,1156.0,,,,,1138.7,1182.5,,,,1853.6,204.0,,291.6,,83.0,44.0,,,,,-142.5,257.1,,,,96.0,,573.5,-491.7,-179.0,,21.0,110.7,155.7,668.0,198.0,64.0,,,,,46.7,90.5,,,,761.6,,False,,True,True,,,,,True,False,,,,True,,False,False,True,,True,True,True,False,True,True,,,,,True,True,,,,False
01045,414,476.0,,482.8,,426.0,414.0,,,,,437.5,517.0,,,,368.0,,723.7,197.2,329.5,,414.0,482.5,474.2,658.0,548.0,490.8,,,,,400.7,474.5,,,,561.7,62.0,,68.8,,12.0,0.0,,,,,23.5,103.0,,,,-46.0,,309.7,-216.8,-84.5,,0.0,68.5,60.2,244.0,134.0,76.8,,,,,-13.3,60.5,,,,147.7,,False,,True,True,,,,,True,False,,,,True,,False,False,False,,True,False,True,False,False,False,,,,,True,True,,,,False
01047,203,218.0,,216.1,,188.0,121.0,,,,,276.5,189.5,,,,322.0,,171.8,138.5,182.0,,109.5,194.4,236.3,255.0,305.0,217.8,,,,,199.9,245.4,,,,237.6,15.0,,13.1,,-15.0,-82.0,,,,,73.5,-13.5,,,,119.0,,-31.2,-64.5,-21.0,,-93.5,-8.6,33.3,52.0,102.0,14.8,,,,,-3.1,42.4,,,,34.6,,True,,False,False,,,,,False,True,,,,False,,False,False,False,,False,True,False,False,False,True,,,,,True,False,,,,False
01049,925,1006.0,,1031.3,,968.0,1029.0,,,,,837.5,1052.3,,,,1065.0,,909.2,464.7,714.5,,897.5,947.9,1016.6,1377.0,1038.0,879.0,,,,,680.1,768.3,,,,1144.6,81.0,,106.3,,43.0,104.0,,,,,-87.5,127.3,,,,140.0,,-15.8,-460.3,-210.5,,-27.5,22.9,91.6,452.0,113.0,-46.0,,,,,-244.9,-156.7,,,,219.6,,False,,True,False,,,,,False,False,,,,False,,True,False,False,,True,True,False,False,False,True,,,,,False,False,,,,False
01051,1032,926.0,,932.8,,902.0,1033.0,,,,,816.9,841.1,,,,602.0,,1347.8,501.6,708.5,,879.5,943.1,991.2,1257.0,946.0,927.9,,,,,817.8,1070.3,,,,883.9,-106.0,,-99.2,,-130.0,1.0,,,,,-215.1,-190.9,,,,-430.0,,315.8,-530.4,-323.5,,-152.5,-88.9,-40.8,225.0,-86.0,-104.1,,,,,-214.2,38.3,,,,-148.1,,True,,False,True,,,,,False,False,,,,False,,False,False,False,,False,True,True,False,True,True,,,,,False,True,,,,False
01053,261,324.0,,312.7,,299.0,19.0,,,,,253.6,300.8,,,,323.0,,575.8,142.8,216.0,,275.0,280.6,287.3,426.0,388.0,313.8,,,,,245.6,310.1,,,,274.1,63.0,,51.7,,38.0,-242.0,,,,,-7.4,39.8,,,,62.0,,314.8,-118.2,-45.0,,14.0,19.6,26.3,165.0,127.0,52.8,,,,,-15.4,49.1,,,,13.1,,True,,True,False,,,,,True,True,,,,True,,False,False,True,,True,True,True,False,False,True,,,,,True,True,,,,True
01055,1700,1502.0,,1609.7,,1459.0,1567.0,,,,,1348.2,1673.1,,,,1353.0,,1867.8,854.9,1165.0,,1352.5,1474.2,1420.6,2137.0,1533.0,1356.0,,,,,1346.3,1583.7,,,,3229.5,-198.0,,-90.3,,-241.0,-133.0,,,,,-351.8,-26.9,,,,-347.0,,167.8,-845.1,-535.0,,-347.5,-225.8,-279.4,437.0,-167.0,-344.0,,,,,-353.7,-116.3,,,,1529.5,,True,,False,True,,,,,False,True,,,,False,,True,False,False,,False,False,False,False,True,False,,,,,False,True,,,,False
01057,221,230.0,,229.9,,211.0,142.0,,,,,199.0,226.1,,,,189.0,,209.1,97.1,,,211.0,216.6,213.4,330.0,231.0,223.4,,,,,,210.7,,,,292.7,9.0,,8.9,,-10.0,-79.0,,,,,-22.0,5.1,,,,-32.0,,-11.9,-123.9,,,-10.0,-4.4,-7.6,109.0,10.0,2.4,,,,,,-10.3,,,,71.7,,True,,False,False,,,,,False,True,,,,False,,False,False,,,False,True,True,False,False,True,,,,,,False,,,,False
01059,287,326.0,,332.3,,314.0,90.0,,,,,376.7,264.2,,,,454.0,,419.6,200.5,258.0,,348.0,331.5,347.1,476.0,385.0,355.9,,,,,278.3,329.6,,,,320.1,39.0,,45.3,,27.0,-197.0,,,,,89.7,-22.8,,,,167.0,,132.6,-86.5,-29.0,,61.0,44.5,60.1,189.0,98.0,68.9,,,,,-8.7,42.6,,,,33.1,,False,,True,False,,,,,False,True,,,,False,,False,False,True,,False,False,False,False,False,False,,,,,True,False,,,,True
01061,187,186.0,,183.3,,182.0,153.0,,,,,183.3,140.7,,,,216.0,,179.2,93.6,,,163.0,191.6,190.8,237.0,234.0,244.0,,,,,,195.2,,,,156.9,-1.0,,-3.7,,-5.0,-34.0,,,,,-3.7,-46.3,,,,29.0,,-7.8,-93.4,,,-24.0,4.6,3.8,50.0,47.0,57.0,,,,,,8.2,,,,-30.1,,False,,False,False,,,,,False,False,,,,False,,False,False,,,False,False,False,False,False,False,,,,,,False,,,,False
01063,81,156.0,,157.9,,131.0,0.0,,,,,104.8,182.4,,,,70.0,,211.0,36.2,,,182.0,123.1,128.0,179.0,138.0,46.5,,,,,,147.7,,,,152.6,75.0,,76.9,,50.0,-81.0,,,,,23.8,101.4,,,,-11.0,,130.0,-44.8,,,101.0,42.1,47.0,98.0,57.0,-34.5,,,,,,66.7,,,,71.6,,False,,True,False,,,,,True,False,,,,True,,False,True,,,False,True,True,False,True,True,,,,,,True,,,,True
01065,256,196.0,,204.4,,168.0,17.0,,,,,174.6,160.2,,,,149.0,,202.9,75.7,,,179.0,179.6,182.6,242.0,204.0,180.4,,,,,,158.5,,,,192.1,-60.0,,-51.6,,-88.0,-239.0,,,,,-81.4,-95.8,,,,-107.0,,-53.1,-180.3,,,-77.0,-76.4,-73.4,-14.0,-52.0,-75.6,,,,,,-97.5,,,,-63.9,,True,,False,False,,,,,False,False,,,,False,,True,False,,,False,False,False,True,True,False,,,,,,False,,,,False
01067,176,126.0,,122.8,,130.0,3.0,,,,,140.0,210.0,,,,115.0,,173.9,62.1,,,144.0,137.1,139.3,187.0,162.0,183.0,,,,,,149.1,,,,111.7,-50.0,,-53.2,,-46.0,-173.0,,,,,-36.0,34.0,,,,-61.0,,-2.1,-113.9,,,-32.0,-38.9,-36.7,11.0,-14.0,7.0,,,,,,-26.9,,,,-64.3,,False,,True,False,,,,,True,True,,,,False,,True,False,,,True,True,True,True,True,True,,,,,,True,,,,False
01069,847,748.0,,783.0,,757.0,795.0,,,,,882.7,916.9,,,,735.0,,730.7,409.8,680.5,,789.0,833.3,911.3,951.0,992.0,1035.4,,,,,676.9,751.8,,,,533.1,-99.0,,-64.0,,-90.0,-52.0,,,,,35.7,69.9,,,,-112.0,,-116.3,-437.2,-166.5,,-58.0,-13.7,64.3,104.0,145.0,188.4,,,,,-170.1,-95.2,,,,-313.9,,True,,True,True,,,,,True,True,,,,False,,False,False,False,,True,True,True,False,False,False,,,,,False,True,,,,False
01071,578,934.0,,871.2,,908.0,463.0,,,,,832.7,1012.9,,,,773.0,,1703.1,407.6,812.5,,1126.0,893.6,905.2,1429.0,933.0,990.8,,,,,880.9,743.9,,,,1863.5,356.0,,293.2,,330.0,-115.0,,,,,254.7,434.9,,,,195.0,,1125.1,-170.4,234.5,,548.0,315.6,327.2,851.0,355.0,412.8,,,,,302.9,165.9,,,,1285.5,,True,,True,True,,,,,True,False,,,,True,,False,True,True,,False,True,True,False,True,False,,,,,True,True,,,,False
01073,9046,8460.0,,8459.8,8899.5,8604.0,10867.0,,,,,7892.9,11345.0,,11965.2,,7942.0,,9804.4,4505.8,6283.5,,9253.0,8897.7,8930.4,10885.0,8661.0,8144.2,,,,,7252.0,8764.2,11837.0,,,5921.7,-586.0,,-586.2,-146.5,-442.0,1821.0,,,,,-1153.1,2299.0,,2919.2,,-1104.0,,758.4,-4540.2,-2762.5,,207.0,-148.3,-115.6,1839.0,-385.0,-901.8,,,,,-1794.0,-281.8,2791.0,,,-3124.3,,False,True,True,False,,,,,False,False,,False,,False,,False,False,False,,True,True,True,False,True,False,,,,,False,True,False,,,False
01075,168,194.0,,189.8,,183.0,134.0,,,,,160.0,189.8,,,,153.0,,193.2,61.6,,,255.0,184.9,196.3,251.0,184.0,180.5,,,,,,168.9,,,,221.6,26.0,,21.8,,15.0,-34.0,,,,,-8.0,21.8,,,,-15.0,,25.2,-106.4,,,87.0,16.9,28.3,83.0,16.0,12.5,,,,,,0.9,,,,53.6,,True,,True,False,,,,,True,True,,,,True,,True,False,,,False,True,False,False,True,True,,,,,,True,,,,False
01077,1043,824.0,,850.2,,848.0,817.0,,,,,801.3,1037.3,,,,1142.0,,803.0,553.9,816.5,,898.5,922.5,1012.9,831.0,976.0,899.5,,,,,578.8,705.8,,,,923.4,-219.0,,-192.8,,-195.0,-226.0,,,,,-241.7,-5.7,,,,99.0,,-240.0,-489.1,-226.5,,-144.5,-120.5,-30.1,-212.0,-67.0,-143.5,,,,,-464.2,-337.2,,,,-119.6,,True,,True,False,,,,,False,True,,,,True,,False,False,False,,True,True,True,True,True,True,,,,,False,False,,,,True
01079,355,296.0,,296.2,,296.0,298.0,,,,,257.3,357.3,,,,465.0,,257.2,123.3,235.0,,279.0,325.4,324.9,432.0,352.0,323.9,,,,,,267.4,,,,433.9,-59.0,,-58.8,,-59.0,-57.0,,,,,-97.7,2.3,,,,110.0,,-97.8,-231.7,-120.0,,-76.0,-29.6,-30.1,77.0,-3.0,-31.1,,,,,,-87.6,,,,78.9,,True,,False,True,,,,,False,True,,,,False,,False,False,False,,False,True,True,False,True,True,,,,,,False,,,,False
01081,1125,1088.0,,1067.4,,1211.0,1730.0,,,,,1267.0,773.9,,1519.4,,1031.0,,1099.4,755.7,811.0,,1807.0,1322.6,1359.8,1474.0,1430.0,1889.5,,,,,832.3,1219.2,1357.0,,,974.2,-37.0,,-57.6,,86.0,605.0,,,,,142.0,-351.1,,394.4,,-94.0,,-25.6,-369.3,-314.0,,682.0,197.6,234.8,349.0,305.0,764.5,,,,,-292.7,94.2,232.0,,,-150.8,,False,,False,False,,,,,False,False,,False,,False,,True,False,False,,False,False,False,False,False,False,,,,,False,False,False,,,False
01083,1235,1094.0,,1025.5,,1062.0,1034.0,,,,,951.5,1349.6,,,,1061.0,,1170.5,483.0,808.0,,1194.0,1152.0,1219.5,1492.0,1192.0,1075.6,,,,,916.7,1112.2,,,,941.1,-141.0,,-209.5,,-173.0,-201.0,,,,,-283.5,114.6,,,,-174.0,,-64.5,-752.0,-427.0,,-41.0,-83.0,-15.5,257.0,-43.0,-159.4,,,,,-318.3,-122.8,,,,-293.9,,False,,False,False,,,,,False,True,,,,False,,True,False,False,,True,True,True,False,True,False,,,,,False,True,,,,False
