,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Pennsylvania,344545,190374.0,382647.3,301293.0,,209390.0,,197201.0,274650.0,841542.0,297786.0,340179.0,,137794.3,213180.3,128308.0,-154171.0,38102.3,-43252.0,,-135155.0,,-147344.0,-69895.0,496997.0,-46759.0,-4366.0,,-206750.7,-131364.7,-216237.0,True,True,,True,,True,True,False,True,True,,False,True,False
Rhode Island,40537,30894.0,33585.3,21316.0,,27331.0,,29316.0,41342.9,52131.9,19697.3,31654.0,,23985.1,8806.8,9483.0,-9643.0,-6951.7,-19221.0,,-13206.0,,-11221.0,805.9,11594.9,-20839.7,-8883.0,,-16551.9,-31730.2,-31054.0,True,False,,False,,False,True,False,False,True,,False,False,False
South Carolina,94878,55632.0,49595.6,66673.0,,18366.0,,55215.0,70452.4,64243.4,57528.8,64366.0,,24365.2,73351.7,40089.0,-39246.0,-45282.4,-28205.0,,-76512.0,,-39663.0,-24425.6,-30634.6,-37349.2,-30512.0,,-70512.8,-21526.3,-54789.0,False,True,,False,,False,True,True,True,True,,False,True,False
South Dakota,32781,61236.0,53411.4,55931.0,,33929.0,,58467.0,97836.8,60046.9,19997.4,59592.0,,31434.3,21810.9,0.0,28455.0,20630.4,23150.0,,1148.0,,25686.0,65055.8,27265.9,-12783.6,26811.0,,-1346.7,-10970.1,-32781.0,True,True,,True,,True,False,True,True,True,,True,True,False
Tennessee,255772,161430.0,282167.1,211785.0,,56243.0,,166649.0,209039.6,439357.4,110864.0,233602.5,,132391.4,144507.1,66072.0,-94342.0,26395.1,-43987.0,,-199529.0,,-89123.0,-46732.4,183585.4,-144908.0,-22169.5,,-123380.6,-111264.9,-189700.0,True,True,,False,,True,True,False,False,True,,False,False,False
Texas,562899,403008.0,514933.9,498090.0,,92896.0,,485516.0,579342.1,1249495.8,438007.7,526631.5,,171791.1,297623.6,242427.0,-159891.0,-47965.1,-64809.0,,-470003.0,,-77383.0,16443.1,686596.8,-124891.3,-36267.5,,-391107.9,-265275.4,-320472.0,True,True,,False,,True,True,False,True,True,,False,False,False
Utah,112937,125436.0,170881.4,97785.0,,25419.0,,132342.0,181431.7,139717.0,88541.7,161141.0,,100721.5,66950.2,42288.0,12499.0,57944.4,-15152.0,,-87518.0,,19405.0,68494.7,26780.0,-24395.3,48204.0,,-12215.5,-45986.8,-70649.0,False,False,,False,,False,False,False,False,False,,True,False,False
Vermont,4123,2976.0,3606.7,7471.0,,898.0,,3318.0,1837.2,42237.7,3410.0,7897.0,,1425.9,18935.4,3995.0,-1147.0,-516.3,3348.0,,-3225.0,,-805.0,-2285.8,38114.7,-713.0,3774.0,,-2697.1,14812.4,-128.0,True,False,,False,,True,False,False,True,False,,False,False,True
Virginia,128778,59556.0,201714.1,62878.0,,32155.0,,57059.0,77539.9,123904.9,92292.8,62381.5,,37545.4,38093.6,44096.0,-69222.0,72936.1,-65900.0,,-96623.0,,-71719.0,-51238.1,-4873.1,-36485.2,-66396.5,,-91232.6,-90684.4,-84682.0,False,True,,False,,False,True,True,True,True,,False,False,False
Washington,103328,70320.0,142939.5,107434.0,,18301.0,,64375.0,72783.2,284421.6,117045.5,125009.0,,44568.6,149087.9,57938.0,-33008.0,39611.5,4106.0,,-85027.0,,-38953.0,-30544.8,181093.6,13717.5,21681.0,,-58759.4,45759.9,-45390.0,False,True,,False,,False,True,False,True,True,,False,False,False
West Virginia,47385,31098.0,47775.2,48138.0,,15977.0,,27852.0,43275.2,115949.9,26117.6,41695.5,,13761.5,46861.2,12913.0,-16287.0,390.2,753.0,,-31408.0,,-19533.0,-4109.8,68564.9,-21267.4,-5689.5,,-33623.5,-523.8,-34472.0,True,True,,False,,False,True,False,False,True,,False,True,False
Wisconsin,182418,276606.0,168793.4,256240.0,,106316.0,,337472.0,449271.5,377284.3,154409.6,347639.5,,340248.0,101566.1,56435.0,94188.0,-13624.6,73822.0,,-76102.0,,155054.0,266853.5,194866.3,-28008.4,165221.5,,157830.0,-80851.9,-125983.0,True,True,,True,,False,False,False,True,False,,False,True,False
Wyoming,21265,31704.0,42603.2,25133.0,,20729.0,,34310.0,39094.6,95000.6,14096.8,46802.0,,34495.7,10642.7,10657.0,10439.0,21338.2,3868.0,,-536.0,,13045.0,17829.6,73735.6,-7168.2,25537.0,,13230.7,-10622.3,-10608.0,False,True,,True,,False,False,False,True,False,,False,False,False
US,8091070,6106860.0,8710222.4,7051931.0,23652107.0,5737051.0,6585680.0,6144509.0,8121324.6,15064350.8,6025961.8,10069667.5,5539700.0,8188829.3,5182731.5,3577192.0,-1984210.0,619152.4,-1039139.0,15561037.0,-2354019.0,-1505390.0,-1946561.0,30254.6,6973280.8,-2065108.2,1978597.5,-2551370.0,97759.3,-2908338.5,-4513878.0,True,True,False,False,True,True,True,False,False,True,False,True,False,False
