,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,OneQuietNight-ML,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-OneQuietNight-ML,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Hawaii,3895,3010.0,2588.0,,2955.8,2597.0,,,4443.5,685.5,8094.4,3409.5,4049.0,7153.0,,,2574.7,4746.8,2236.0,-885.0,-1307.0,,-939.2,-1298.0,,,548.5,-3209.5,4199.4,-485.5,154.0,3258.0,,,-1320.3,851.8,-1659.0,False,,False,False,,,True,False,False,True,True,False,,,False,True,False
Idaho,44953,47585.0,39067.0,,44859.5,50796.0,,54133.0,69371.4,47102.7,28028.4,76677.8,48906.0,72055.0,,,51398.3,19898.3,43550.0,2632.0,-5886.0,,-93.5,5843.0,,9180.0,24418.4,2149.7,-16924.6,31724.8,3953.0,27102.0,,,6445.3,-25054.7,-1403.0,False,,True,False,,False,False,True,False,False,False,False,,,False,False,True
Illinois,287856,416505.0,302599.0,,368001.2,869821.0,,408835.0,674365.9,378324.6,349824.5,376485.4,402211.5,543360.0,,,602234.4,149440.7,282720.0,128649.0,14743.0,,80145.2,581965.0,,120979.0,386509.9,90468.6,61968.5,88629.4,114355.5,255504.0,,,314378.4,-138415.3,-5136.0,True,,True,False,,True,False,True,True,True,True,False,,,False,False,True
Indiana,202838,221480.0,201374.0,,196250.6,371767.0,,247782.0,341437.9,375720.1,167739.8,496224.5,223636.5,310973.0,,,321854.9,110174.3,287098.0,18642.0,-1464.0,,-6587.4,168929.0,,44944.0,138599.9,172882.1,-35098.2,293386.5,20798.5,108135.0,,,119016.9,-92663.7,84260.0,True,,True,False,,False,False,False,False,False,False,False,,,False,False,False
Iowa,65590,128240.0,88429.0,,107398.8,207511.0,,149072.0,245995.5,94894.9,74034.0,117499.4,104054.5,158262.0,,,114927.1,28312.3,83161.0,62650.0,22839.0,,41808.8,141921.0,,83482.0,180405.5,29304.9,8444.0,51909.4,38464.5,92672.0,,,49337.1,-37277.7,17571.0,True,,True,False,,False,False,True,True,True,True,False,,,True,True,True
Kansas,75923,97715.0,94905.0,,89998.7,184559.0,,90444.0,134125.1,180340.0,57592.8,202317.0,54412.0,147056.0,,,84827.8,29300.4,84097.0,21792.0,18982.0,,14075.7,108636.0,,14521.0,58202.1,104417.0,-18330.2,126394.0,-21511.0,71133.0,,,8904.8,-46622.6,8174.0,True,,True,False,,True,False,False,True,False,True,False,,,True,False,True
Kentucky,99654,98855.0,106348.0,,92989.9,89985.0,,119138.0,161506.2,153328.0,63861.4,156397.8,129932.0,148642.0,,,101164.5,65289.0,106309.0,-799.0,6694.0,,-6664.1,-9669.0,,19484.0,61852.2,53674.0,-35792.6,56743.8,30278.0,48988.0,,,1510.5,-34365.0,6655.0,False,,False,False,,False,False,False,False,False,False,False,,,False,False,False
Louisiana,79790,73640.0,112330.0,,83475.1,45052.0,,97884.0,69256.4,966868.3,81309.2,281626.7,105864.5,130829.0,,,52595.3,77596.7,120159.0,-6150.0,32540.0,,3685.1,-34738.0,,18094.0,-10533.6,887078.3,1519.2,201836.7,26074.5,51039.0,,,-27194.7,-2193.3,40369.0,False,,True,False,,False,False,False,True,False,False,False,,,False,True,False
Maine,11424,6660.0,7846.0,,6946.5,29526.0,,9120.0,10308.4,12900.9,11705.5,32687.3,7372.5,20070.0,,,8102.9,8736.0,5019.0,-4764.0,-3578.0,,-4477.5,18102.0,,-2304.0,-1115.6,1476.9,281.5,21263.3,-4051.5,8646.0,,,-3321.1,-2688.0,-6405.0,True,,True,False,,True,True,True,True,False,True,False,,,True,True,False
Maryland,85469,79405.0,101669.0,,73362.4,412104.0,,69497.0,100975.8,173400.9,93653.2,285589.5,115040.0,108260.0,,,71245.7,83127.2,104659.0,-6064.0,16200.0,,-12106.6,326635.0,,-15972.0,15506.8,87931.9,8184.2,200120.5,29571.0,22791.0,,,-14223.3,-2341.8,19190.0,False,,False,False,,False,False,False,False,False,False,False,,,False,True,False
Massachusetts,145447,90065.0,74666.0,,90719.2,178935.0,,99550.0,140975.2,160688.4,118919.4,208656.5,119570.0,132885.0,,,159165.6,79259.8,71071.0,-55382.0,-70781.0,,-54727.8,33488.0,,-45897.0,-4471.8,15241.4,-26527.6,63209.5,-25877.0,-12562.0,,,13718.6,-66187.2,-74376.0,False,,True,True,,True,True,True,True,False,True,True,,,True,False,False
Michigan,187305,266145.0,228893.0,,268583.4,579988.0,,331769.0,395725.8,427039.1,297696.2,661642.8,403041.0,375784.0,,,236952.8,106632.5,294568.0,78840.0,41588.0,,81278.4,392683.0,,144464.0,208420.8,239734.1,110391.2,474337.8,215736.0,188479.0,,,49647.8,-80672.5,107263.0,True,,False,False,,False,False,False,False,False,False,False,,,True,False,False
Minnesota,143593,234620.0,189133.0,,205949.0,521574.0,,332907.0,350527.5,509160.6,128274.0,594388.9,220803.5,346486.0,,,215555.5,117272.7,204911.0,91027.0,45540.0,,62356.0,377981.0,,189314.0,206934.5,365567.6,-15319.0,450795.9,77210.5,202893.0,,,71962.5,-26320.3,61318.0,True,,True,False,,False,False,False,True,False,True,False,,,True,True,True
Mississippi,62622,45305.0,39235.0,,33676.7,31738.0,,58463.0,66942.7,76419.7,31165.3,63320.2,47477.5,76951.0,,,47604.8,34924.0,45618.0,-17317.0,-23387.0,,-28945.3,-30884.0,,-4159.0,4320.7,13797.7,-31456.7,698.2,-15144.5,14329.0,,,-15017.2,-27698.0,-17004.0,False,,False,False,,True,True,True,False,True,True,True,,,True,False,True
Missouri,117645,145295.0,103767.0,,164235.4,387210.0,,147921.0,275302.2,207645.1,86188.3,301708.1,146275.0,212206.0,,,176800.3,83821.0,149637.0,27650.0,-13878.0,,46590.4,269565.0,,30276.0,157657.2,90000.1,-31456.7,184063.1,28630.0,94561.0,,,59155.3,-33824.0,31992.0,True,,False,False,,False,False,False,False,False,False,False,,,False,False,False
Montana,24891,43280.0,36290.0,,39618.6,22078.0,,50277.0,72268.1,93567.0,16301.2,54510.5,44620.5,64909.0,,,29274.2,17334.5,47749.0,18389.0,11399.0,,14727.6,-2813.0,,25386.0,47377.1,68676.0,-8589.8,29619.5,19729.5,40018.0,,,4383.2,-7556.5,22858.0,True,,True,True,,False,False,False,True,False,False,False,,,True,True,False
Nebraska,48308,80975.0,65738.0,,72426.3,101798.0,,95890.0,132075.5,111415.7,48732.7,149648.5,63794.0,119834.0,,,90787.2,23229.4,65197.0,32667.0,17430.0,,24118.3,53490.0,,47582.0,83767.5,63107.7,424.7,101340.5,15486.0,71526.0,,,42479.2,-25078.6,16889.0,True,,True,False,,False,False,False,True,False,True,False,,,False,True,True
Nevada,83920,63635.0,65612.0,,63974.3,113940.0,,63678.0,90431.5,107802.2,66730.8,117024.4,93526.0,84628.0,,,40411.9,48759.7,76084.0,-20285.0,-18308.0,,-19945.7,30020.0,,-20242.0,6511.5,23882.2,-17189.2,33104.4,9606.0,708.0,,,-43508.1,-35160.3,-7836.0,True,,True,False,,True,True,False,True,False,True,True,,,False,False,True
New Hampshire,22618,14970.0,19199.0,,17007.2,50331.0,,21365.0,17156.9,69528.2,25326.6,69080.5,26542.0,29513.0,,,19287.0,19066.2,20183.0,-7648.0,-3419.0,,-5610.8,27713.0,,-1253.0,-5461.1,46910.2,2708.6,46462.5,3924.0,6895.0,,,-3331.0,-3551.8,-2435.0,True,,True,False,,True,True,False,True,False,True,True,,,True,True,True
New Jersey,156862,136515.0,161268.0,,194125.5,322749.0,,121432.0,185676.6,357536.0,180940.8,342385.5,214430.0,183116.0,,,246420.0,96412.6,104658.0,-20347.0,4406.0,,37263.5,165887.0,,-35430.0,28814.6,200674.0,24078.8,185523.5,57568.0,26254.0,,,89558.0,-60449.4,-52204.0,True,,False,False,,False,False,False,False,False,False,False,,,False,False,False
New Mexico,57786,81345.0,93204.0,,78699.5,79385.0,,97407.0,89860.3,111988.0,56779.2,160992.2,137664.0,119867.0,,,87051.6,53804.0,76226.0,23559.0,35418.0,,20913.5,21599.0,,39621.0,32074.3,54202.0,-1006.8,103206.2,79878.0,62081.0,,,29265.6,-3982.0,18440.0,False,,True,True,,False,False,False,True,False,False,False,,,False,True,True
New York,326334,171360.0,180992.0,,242566.7,494451.0,,153690.0,258811.0,701549.2,329260.3,487339.4,216694.5,268705.0,,,282978.5,193357.6,108107.0,-154974.0,-145342.0,,-83767.3,168117.0,,-172644.0,-67523.0,375215.2,2926.3,161005.4,-109639.5,-57629.0,,,-43355.5,-132976.4,-218227.0,True,,True,False,,False,True,False,True,False,True,True,,,True,True,False
North Carolina,181669,115715.0,134370.0,,110800.0,110911.0,,129537.0,139483.8,116241.4,123001.7,186919.5,138177.0,193517.0,,,95629.9,143683.4,119856.0,-65954.0,-47299.0,,-70869.0,-70758.0,,-52132.0,-42185.2,-65427.6,-58667.3,5250.5,-43492.0,11848.0,,,-86039.1,-37985.6,-61813.0,True,,False,False,,True,True,True,True,True,True,True,,,False,True,True
North Dakota,19814,43340.0,24272.0,,38972.7,34131.0,,58283.0,67582.4,24564.9,17072.6,39878.8,38133.5,60428.0,,,30891.1,15439.4,37709.0,23526.0,4458.0,,19158.7,14317.0,,38469.0,47768.4,4750.9,-2741.4,20064.8,18319.5,40614.0,,,11077.1,-4374.6,17895.0,True,,True,True,,False,False,True,True,True,True,False,,,True,True,True
Ohio,321382,265215.0,249271.0,,255727.5,589141.0,,332097.0,395491.8,574241.6,255779.9,671254.6,276332.0,419223.0,,,389912.9,181797.9,222731.0,-56167.0,-72111.0,,-65654.5,267759.0,,10715.0,74109.8,252859.6,-65602.1,349872.6,-45050.0,97841.0,,,68530.9,-139584.1,-98651.0,False,,False,False,,True,False,False,False,False,True,False,,,False,False,False
Oklahoma,105584,103595.0,106937.0,,96237.2,123643.0,,116135.0,152055.1,186634.9,55176.0,244340.0,114599.5,157913.0,,,100931.2,83334.6,99931.0,-1989.0,1353.0,,-9346.8,18059.0,,10551.0,46471.1,81050.9,-50408.0,138756.0,9015.5,52329.0,,,-4652.8,-22249.4,-5653.0,True,,False,False,,False,False,False,False,False,False,False,,,False,False,False
Oregon,44658,38250.0,45055.0,,37185.1,90156.0,,40658.0,64264.4,53814.3,53712.2,106533.9,56560.5,65324.0,,,48965.1,67711.4,35253.0,-6408.0,397.0,,-7472.9,45498.0,,-4000.0,19606.4,9156.3,9054.2,61875.9,11902.5,20666.0,,,4307.1,23053.4,-9405.0,True,,False,False,,True,False,False,False,False,False,False,,,True,False,False
Pennsylvania,301779,213830.0,233357.0,,220584.3,441244.0,,252064.0,282826.3,798499.2,272703.9,542752.2,408844.0,342190.0,,,185705.3,201421.1,289756.0,-87949.0,-68422.0,,-81194.7,139465.0,,-49715.0,-18952.7,496720.2,-29075.1,240973.2,107065.0,40411.0,,,-116073.7,-100357.9,-12023.0,True,,True,False,,True,True,False,True,False,False,True,,,False,False,True
Rhode Island,34065,32360.0,32523.0,,32836.0,44352.0,,30411.0,49131.5,56763.4,20319.9,64723.4,35190.5,40597.0,,,39377.5,10504.8,29349.0,-1705.0,-1542.0,,-1229.0,10287.0,,-3654.0,15066.5,22698.4,-13745.1,30658.4,1125.5,6532.0,,,5312.5,-23560.2,-4716.0,True,,True,False,,False,False,False,False,False,True,False,,,False,False,False
South Carolina,83874,55020.0,67986.0,,50308.7,101943.0,,64830.0,83017.7,67137.2,41001.2,115354.3,66636.0,92902.0,,,45854.0,47326.6,62294.0,-28854.0,-15888.0,,-33565.3,18069.0,,-19044.0,-856.3,-16736.8,-42872.8,31480.3,-17238.0,9028.0,,,-38020.0,-36547.4,-21580.0,True,,False,True,,True,True,True,False,False,True,True,,,False,False,True
South Dakota,24749,40160.0,24151.0,,36646.5,33332.0,,52810.0,63759.1,32705.1,14740.4,39657.1,26751.5,52393.0,,,19209.7,10464.6,39262.0,15411.0,-598.0,,11897.5,8583.0,,28061.0,39010.1,7956.1,-10008.6,14908.1,2002.5,27644.0,,,-5539.3,-14284.4,14513.0,True,,True,True,,False,False,True,True,True,True,False,,,True,True,True
Tennessee,225005,153835.0,136718.0,,160727.3,202965.0,,148614.0,209649.7,286577.5,99808.9,211317.2,159242.0,231494.0,,,158704.0,84705.1,124350.0,-71170.0,-88287.0,,-64277.7,-22040.0,,-76391.0,-15355.3,61572.5,-125196.1,-13687.8,-65763.0,6489.0,,,-66301.0,-140299.9,-100655.0,False,,True,True,,False,True,True,False,True,True,True,,,True,False,False
Texas,476702,382865.0,406900.0,,352532.8,297240.0,,439919.0,547169.0,873320.6,384879.8,611326.7,536078.5,538006.0,,,369490.5,247307.2,333659.0,-93837.0,-69802.0,,-124169.2,-179462.0,,-36783.0,70467.0,396618.6,-91822.2,134624.7,59376.5,61304.0,,,-107211.5,-229394.8,-143043.0,True,,False,False,,True,True,False,True,False,True,True,,,False,False,False
Utah,90099,114190.0,69676.0,,101136.0,154364.0,,167731.0,183253.1,119732.9,76434.6,232370.4,136250.0,166773.0,,,154658.7,52372.7,98285.0,24091.0,-20423.0,,11037.0,64265.0,,77632.0,93154.1,29633.9,-13664.4,142271.4,46151.0,76674.0,,,64559.7,-37726.3,8186.0,True,,True,False,,False,False,False,True,False,False,False,,,False,False,True
Vermont,3420,3515.0,7003.0,,0.0,58707.0,,4818.0,2970.9,37184.6,2858.0,22344.2,8010.5,9464.0,,,3050.2,7225.1,5403.0,95.0,3583.0,,-3420.0,55287.0,,1398.0,-449.1,33764.6,-562.0,18924.2,4590.5,6044.0,,,-369.8,3805.1,1983.0,False,,False,False,,False,False,False,False,False,False,False,,,False,False,False
Virginia,113898,74400.0,107910.0,,66474.6,51415.0,,70698.0,89247.3,120802.6,85867.6,115954.6,92178.5,109856.0,,,95704.2,99676.1,75028.0,-39498.0,-5988.0,,-47423.4,-62483.0,,-43200.0,-24650.7,6904.6,-28030.4,2056.6,-21719.5,-4042.0,,,-18193.8,-14221.9,-38870.0,True,,False,False,,False,True,True,True,True,True,True,,,True,True,True
Washington,88790,67645.0,56781.0,,136912.3,188656.0,,67426.0,102029.9,283633.5,94621.8,165400.0,48709.5,109931.0,,,72752.6,24756.1,63950.0,-21145.0,-32009.0,,48122.3,99866.0,,-21364.0,13239.9,194843.5,5831.8,76610.0,-40080.5,21141.0,,,-16037.4,-64033.9,-24840.0,False,,False,False,,False,True,False,True,False,False,True,,,True,False,False
West Virginia,40579,34030.0,43387.0,,29038.1,46660.0,,38231.0,45341.4,94872.3,24056.9,82876.4,55377.0,60946.0,,,36748.3,30765.9,48093.0,-6549.0,2808.0,,-11540.9,6081.0,,-2348.0,4762.4,54293.3,-16522.1,42297.4,14798.0,20367.0,,,-3830.7,-9813.1,7514.0,True,,False,True,,True,True,False,False,False,False,False,,,True,False,False
Wisconsin,133803,243075.0,194693.0,,227664.8,139337.0,,281233.0,405120.5,233998.1,121330.7,364452.6,200959.0,348386.0,,,213412.3,81503.5,173064.0,109272.0,60890.0,,93861.8,5534.0,,147430.0,271317.5,100195.1,-12472.3,230649.6,67156.0,214583.0,,,79609.3,-52299.5,39261.0,True,,True,True,,False,False,True,True,False,True,False,,,True,True,True
Wyoming,15736,27645.0,23476.0,,24478.1,37680.0,,31910.0,44661.0,54194.2,10681.4,59865.3,34908.0,41024.0,,,29154.1,8811.0,30752.0,11909.0,7740.0,,8742.1,21944.0,,16174.0,28925.0,38458.2,-5054.6,44129.3,19172.0,25288.0,,,13418.1,-6925.0,15016.0,True,,True,False,,False,False,False,True,False,False,False,,,False,True,False
US,6827532,5922600.0,5958715.0,11951057.0,6771969.4,10264714.0,6201303.0,6533139.0,8604615.9,11771200.7,5407023.6,12241151.4,5962646.5,11179403.0,8107690.3,6668868.0,8461775.2,4014122.3,5718644.0,-904932.0,-868817.0,5123525.0,-55562.6,3437182.0,-626229.0,-294393.0,1777083.9,4943668.7,-1420508.4,5413619.4,-864885.5,4351871.0,1280158.3,-158664.0,1634243.2,-2813409.7,-1108888.0,True,False,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False
