,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01047,312,348.0,,352.3,,258.0,163.0,,,,,233.6,,,319.0,,294.9,,267.7,230.0,,239.0,317.1,,,341.0,527.0,22.1,,,,,234.1,,,,190.0,36.0,,40.3,,-54.0,-149.0,,,,,-78.4,,,7.0,,-17.1,,-44.3,-82.0,,-73.0,5.1,,,29.0,215.0,-289.9,,,,,-77.9,,,,-122.0,,False,,False,False,,,,,False,,,True,,True,,False,False,,False,True,,,True,False,False,,,,,False,,,,False
01049,1428,1281.0,,1344.8,,1105.0,1347.0,,,,,1061.7,,,1105.0,,939.9,,610.4,893.5,,1152.0,1246.1,,,1718.0,1495.0,53.1,,,,,736.0,,,,236.7,-147.0,,-83.2,,-323.0,-81.0,,,,,-366.3,,,-323.0,,-488.1,,-817.6,-534.5,,-276.0,-181.9,,,290.0,67.0,-1374.9,,,,,-692.0,,,,-1191.3,,True,,False,True,,,,,False,,,False,,False,,False,False,,False,False,,,False,True,False,,,,,False,,,,False
01051,1495,1134.0,,1134.3,,1066.0,1255.0,,,,,699.5,,,688.0,,1256.6,,564.8,749.5,,1085.0,1111.7,,,1413.0,1430.0,89.8,,,,,1003.9,,,,783.8,-361.0,,-360.7,,-429.0,-240.0,,,,,-795.5,,,-807.0,,-238.4,,-930.2,-745.5,,-410.0,-383.3,,,-82.0,-65.0,-1405.2,,,,,-491.1,,,,-711.2,,True,,False,True,,,,,False,,,False,,True,,False,False,,False,False,,,True,True,False,,,,,False,,,,False
01053,423,339.0,,326.0,,296.0,32.0,,,,,176.3,,,378.0,,466.8,,144.7,242.0,,156.0,304.1,,,438.0,510.0,19.9,,,,,,,,,287.3,-84.0,,-97.0,,-127.0,-391.0,,,,,-246.7,,,-45.0,,43.8,,-278.3,-181.0,,-267.0,-118.9,,,15.0,87.0,-403.1,,,,,,,,,-135.7,,False,,False,False,,,,,False,,,True,,True,,False,False,,False,False,,,True,False,False,,,,,,,,,False
01055,2451,2676.0,,2720.7,,2357.0,2753.0,,,,,1242.9,,,1479.0,,3192.2,,1287.0,1581.5,,3073.0,2357.0,,,3409.0,2794.0,195.4,,,,,2412.8,,,,994.9,225.0,,269.7,,-94.0,302.0,,,,,-1208.1,,,-972.0,,741.2,,-1164.0,-869.5,,622.0,-94.0,,,958.0,343.0,-2255.6,,,,,-38.2,,,,-1456.1,,False,,True,False,,,,,False,,,False,,False,,False,False,,False,True,,,False,False,False,,,,,True,,,,False
01057,336,387.0,,384.5,,379.0,216.0,,,,,277.5,,,236.0,,437.1,,180.9,,,442.0,379.6,,,538.0,380.0,29.7,,,,,,,,,374.4,51.0,,48.5,,43.0,-120.0,,,,,-58.5,,,-100.0,,101.1,,-155.1,,,106.0,43.6,,,202.0,44.0,-306.3,,,,,,,,,38.4,,True,,True,False,,,,,False,,,False,,False,,False,,,False,True,,,False,True,False,,,,,,,,,True
01059,450,477.0,,485.7,,462.0,143.0,,,,,353.3,,,589.0,,518.3,,225.3,330.5,,469.0,467.2,,,674.0,608.0,29.6,,,,,400.5,,,,555.0,27.0,,35.7,,12.0,-307.0,,,,,-96.7,,,139.0,,68.3,,-224.7,-119.5,,19.0,17.2,,,224.0,158.0,-420.4,,,,,-49.5,,,,105.0,,False,,True,False,,,,,False,,,False,,False,,False,False,,True,True,,,False,False,False,,,,,False,,,,False
01061,280,252.0,,244.8,,232.0,160.0,,,,,185.5,,,252.0,,192.9,,124.7,,,227.0,279.9,,,268.0,385.0,24.3,,,,,,,,,231.6,-28.0,,-35.2,,-48.0,-120.0,,,,,-94.5,,,-28.0,,-87.1,,-155.3,,,-53.0,-0.1,,,-12.0,105.0,-255.7,,,,,,,,,-48.4,,False,,False,False,,,,,False,,,False,,False,,False,,,False,True,,,True,False,False,,,,,,,,,False
01063,159,120.0,,120.8,,120.0,0.0,,,,,76.6,,,69.0,,137.8,,35.6,,,202.0,128.9,,,173.0,134.0,10.3,,,,,,,,,155.6,-39.0,,-38.2,,-39.0,-159.0,,,,,-82.4,,,-90.0,,-21.2,,-123.4,,,43.0,-30.1,,,14.0,-25.0,-148.7,,,,,,,,,-3.4,,True,,False,False,,,,,False,,,False,,True,,False,,,False,True,,,True,True,False,,,,,,,,,True
01065,354,162.0,,168.4,,162.0,21.0,,,,,120.8,,,158.0,,183.9,,107.0,,,113.0,171.1,,,235.0,226.0,26.2,,,,,,,,,185.8,-192.0,,-185.6,,-192.0,-333.0,,,,,-233.2,,,-196.0,,-170.1,,-247.0,,,-241.0,-182.9,,,-119.0,-128.0,-327.8,,,,,,,,,-168.2,,True,,False,False,,,,,False,,,False,,True,,False,,,False,True,,,True,True,False,,,,,,,,,True
