,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
02170,3817,2340.0,,122.0,,,,,,1190.1,2020.3,1820.0,,2365.3,,,-1477.0,,-3695.0,,,,,,-2626.9,-1796.7,-1997.0,,-1451.7,,,,False,,,,,,False,False,False,,True,,
02180,108,66.0,,0.0,,,,,,15.1,43.8,83.0,,,,,-42.0,,-108.0,,,,,,-92.9,-64.2,-25.0,,,,,,False,,,,,,False,False,True,,,,
02185,420,378.0,,0.0,,,,,,1948.8,153.7,255.0,,,,,-42.0,,-420.0,,,,,,1528.8,-266.3,-165.0,,,,,,False,,,,,,False,False,False,,,,
02188,94,138.0,,0.0,,,,,,32.0,86.5,92.0,,,,,44.0,,-94.0,,,,,,-62.0,-7.5,-2.0,,,,,,False,,,,,,False,True,True,,,,
02195,8,12.0,,0.0,,,,,,1.8,0.8,11.0,,,,,4.0,,-8.0,,,,,,-6.2,-7.2,3.0,,,,,,False,,,,,,False,False,True,,,,
02198,27,36.0,,,,,,,,3179.0,12.9,19.0,,,,,9.0,,,,,,,,3152.0,-14.1,-8.0,,,,,,,,,,,,False,False,True,,,,
02220,150,132.0,,10.0,,,,,,767.3,63.4,224.5,,,,,-18.0,,-140.0,,,,,,617.3,-86.6,74.5,,,,,,False,,,,,,False,False,False,,,,
02230,9,0.0,,0.0,,,,,,0.0,12.9,,,,,,-9.0,,-9.0,,,,,,-9.0,3.9,,,,,,,False,,,,,,False,True,,,,,
02240,251,300.0,,0.0,,,,,,1059.5,58.7,432.5,,,,,49.0,,-251.0,,,,,,808.5,-192.3,181.5,,,,,,False,,,,,,False,False,False,,,,
02261,114,132.0,,,,,,,,196.0,88.6,180.0,,,,,18.0,,,,,,,,82.0,-25.4,66.0,,,,,,,,,,,,False,False,False,,,,
02275,7,0.0,,0.0,,,,,,0.0,0.9,1.0,,,,,-7.0,,-7.0,,,,,,-7.0,-6.1,-6.0,,,,,,False,,,,,,False,True,True,,,,
02282,12,24.0,,0.0,,,,,,28.2,0.0,12.0,,,,,12.0,,-12.0,,,,,,16.2,-12.0,0.0,,,,,,False,,,,,,False,False,True,,,,
02290,74,42.0,,0.0,,,,,,10.7,13.3,25.0,,,,,-32.0,,-74.0,,,,,,-63.3,-60.7,-49.0,,,,,,False,,,,,,False,False,False,,,,
04001,2828,1422.0,,812.0,,,,1783.0,,2350.1,1397.9,1410.0,,533.2,,,-1406.0,,-2016.0,,,,-1045.0,,-477.9,-1430.1,-1418.0,,-2294.8,,,,False,,,,True,,True,False,False,,False,,
04003,4374,1788.0,,3147.0,,,,1522.0,,15107.4,3057.3,2236.0,,676.8,,,-2586.0,,-1227.0,,,,-2852.0,,10733.4,-1316.7,-2138.0,,-3697.2,,,,True,,,,False,,False,True,True,,False,,
04005,4423,2850.0,,3376.0,,,,1808.0,,3989.7,2542.2,2956.0,,1121.1,,,-1573.0,,-1047.0,,,,-2615.0,,-433.3,-1880.8,-1467.0,,-3301.9,,,,True,,,,False,,True,False,True,,False,,
04007,1903,1230.0,,1021.0,,,,660.0,,973.5,912.0,925.0,,484.4,,,-673.0,,-882.0,,,,-1243.0,,-929.5,-991.0,-978.0,,-1418.6,,,,False,,,,False,,False,False,False,,False,,
04009,1438,1440.0,,1783.0,,,,572.0,,2446.1,948.5,1431.0,,545.0,,,2.0,,345.0,,,,-866.0,,1008.1,-489.5,-7.0,,-893.0,,,,False,,,,False,,False,False,False,,False,,
04011,248,114.0,,0.0,,,,104.0,,759.8,58.7,10.0,,,,,-134.0,,-248.0,,,,-144.0,,511.8,-189.3,-238.0,,,,,,False,,,,False,,False,False,False,,,,
04012,641,222.0,,166.0,,,,187.0,,440.5,142.9,239.0,,,,,-419.0,,-475.0,,,,-454.0,,-200.5,-498.1,-402.0,,,,,,False,,,,False,,True,False,True,,,,
04013,127683,55530.0,,85919.0,,,,36728.0,,58489.0,94356.1,83341.0,,22503.2,,,-72153.0,,-41764.0,,,,-90955.0,,-69194.0,-33326.9,-44342.0,,-105179.8,,,,True,,,,False,,True,True,True,,False,,
04015,6287,2040.0,,3329.0,,,,1805.0,,2485.6,3187.3,3739.5,,821.9,,,-4247.0,,-2958.0,,,,-4482.0,,-3801.4,-3099.7,-2547.5,,-5465.1,,,,True,,,,False,,True,True,True,,False,,
04017,3770,1920.0,,188.0,,,,2481.0,,1455.9,2910.7,1968.0,,639.6,,,-1850.0,,-3582.0,,,,-1289.0,,-2314.1,-859.3,-1802.0,,-3130.4,,,,False,,,,True,,False,True,True,,False,,
04019,33441,12846.0,,18190.0,,,,7581.0,,28788.3,16703.0,14916.5,,5271.5,,,-20595.0,,-15251.0,,,,-25860.0,,-4652.7,-16738.0,-18524.5,,-28169.5,,,,True,,,,False,,True,True,True,,False,,
04021,12282,4782.0,,6817.0,,,,3445.0,,4178.9,7628.2,5517.5,,1895.5,,,-7500.0,,-5465.0,,,,-8837.0,,-8103.1,-4653.8,-6764.5,,-10386.5,,,,True,,,,False,,False,True,True,,False,,
04023,2469,912.0,,6.0,,,,441.0,,2022.4,904.9,1221.0,,360.5,,,-1557.0,,-2463.0,,,,-2028.0,,-446.6,-1564.1,-1248.0,,-2108.5,,,,False,,,,False,,True,False,True,,False,,
04025,6876,1764.0,,3990.0,,,,1908.0,,3514.3,4347.3,2831.5,,661.0,,,-5112.0,,-2886.0,,,,-4968.0,,-3361.7,-2528.7,-4044.5,,-6215.0,,,,True,,,,True,,True,True,True,,False,,
04027,11634,5154.0,,2360.0,,,,1434.0,,8829.6,6696.5,5295.0,,2082.3,,,-6480.0,,-9274.0,,,,-10200.0,,-2804.4,-4937.5,-6339.0,,-9551.7,,,,False,,,,False,,True,True,True,,False,,
05001,413,366.0,,240.0,,,,429.0,,90.2,229.4,373.0,,,,,-47.0,,-173.0,,,,16.0,,-322.8,-183.6,-40.0,,,,,,False,,,,True,,False,False,True,,,,
05003,553,348.0,,0.0,,,,328.0,,288.5,200.9,341.5,,,,,-205.0,,-553.0,,,,-225.0,,-264.5,-352.1,-211.5,,,,,,False,,,,False,,False,False,False,,,,
05005,868,1038.0,,1109.0,,,,688.0,,939.9,636.4,960.0,,,,,170.0,,241.0,,,,-180.0,,71.9,-231.6,92.0,,,,,,False,,,,False,,True,False,True,,,,
05007,6555,5130.0,,4274.0,,,,5787.0,,9258.5,4703.4,6247.0,,2205.1,,,-1425.0,,-2281.0,,,,-768.0,,2703.5,-1851.6,-308.0,,-4349.9,,,,False,,,,True,,False,False,True,,False,,
05009,1108,954.0,,1244.0,,,,687.0,,5927.0,577.8,1125.0,,590.9,,,-154.0,,136.0,,,,-421.0,,4819.0,-530.2,17.0,,-517.1,,,,True,,,,False,,False,False,True,,False,,
05011,496,60.0,,0.0,,,,234.0,,133.0,32.7,22.0,,,,,-436.0,,-496.0,,,,-262.0,,-363.0,-463.3,-474.0,,,,,,False,,,,True,,True,False,False,,,,
05013,112,174.0,,103.0,,,,88.0,,705.2,101.8,240.0,,,,,62.0,,-9.0,,,,-24.0,,593.2,-10.2,128.0,,,,,,True,,,,True,,False,True,False,,,,
05015,829,462.0,,244.0,,,,408.0,,593.1,320.8,331.0,,247.6,,,-367.0,,-585.0,,,,-421.0,,-235.9,-508.2,-498.0,,-581.4,,,,False,,,,False,,True,False,False,,False,,
05017,298,156.0,,0.0,,,,199.0,,840.7,42.6,83.0,,60.6,,,-142.0,,-298.0,,,,-99.0,,542.7,-255.4,-215.0,,-237.4,,,,False,,,,True,,False,False,False,,False,,
05019,621,498.0,,247.0,,,,469.0,,1470.0,149.1,696.0,,,,,-123.0,,-374.0,,,,-152.0,,849.0,-471.9,75.0,,,,,,False,,,,False,,False,False,True,,,,
05021,598,612.0,,309.0,,,,428.0,,532.1,285.1,350.0,,,,,14.0,,-289.0,,,,-170.0,,-65.9,-312.9,-248.0,,,,,,False,,,,False,,False,False,False,,,,
05023,535,294.0,,308.0,,,,653.0,,85.2,106.9,377.0,,,,,-241.0,,-227.0,,,,118.0,,-449.8,-428.1,-158.0,,,,,,True,,,,True,,False,False,True,,,,
05025,239,102.0,,42.0,,,,153.0,,8.1,41.9,96.0,,,,,-137.0,,-197.0,,,,-86.0,,-230.9,-197.1,-143.0,,,,,,False,,,,True,,False,False,False,,,,
05027,625,402.0,,357.0,,,,472.0,,276.0,268.9,248.0,,,,,-223.0,,-268.0,,,,-153.0,,-349.0,-356.1,-377.0,,,,,,False,,,,True,,False,False,False,,,,
05029,726,510.0,,728.0,,,,658.0,,7695.1,221.9,870.0,,,,,-216.0,,2.0,,,,-68.0,,6969.1,-504.1,144.0,,,,,,True,,,,True,,False,False,True,,,,
