,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,136,149.0,,150.8,,152.0,73.0,,,,,133.2,,172.5,,,241.0,,110.9,78.3,159.0,,155.0,160.6,,163.0,199.0,177.2,,,,,124.6,126.0,,,,130.3,13.0,,14.8,,16.0,-63.0,,,,,-2.8,,36.5,,,105.0,,-25.1,-57.7,23.0,,19.0,24.6,,27.0,63.0,41.2,,,,,-11.4,-10.0,,,,-5.7,,False,,False,False,,,,,True,,False,,,False,,False,False,False,,False,False,,False,False,False,,,,,True,True,,,,True
01023,13,20.0,,19.8,,15.0,8.0,,,,,19.4,,22.2,,,76.0,,14.0,11.2,,,13.0,16.4,,26.0,38.0,14.7,,,,,,29.4,,,,19.7,7.0,,6.8,,2.0,-5.0,,,,,6.4,,9.2,,,63.0,,1.0,-1.8,,,0.0,3.4,,13.0,25.0,1.7,,,,,,16.4,,,,6.7,,True,,True,True,,,,,True,,False,,,False,,True,True,,,True,True,,False,False,True,,,,,,False,,,,True
01025,109,141.0,,169.6,,145.0,145.0,,,,,104.4,,115.3,,,130.0,,2846.3,105.9,,,152.0,151.9,,367.0,179.0,325.0,,,,,114.8,105.4,,,,496.6,32.0,,60.6,,36.0,36.0,,,,,-4.6,,6.3,,,21.0,,2737.3,-3.1,,,43.0,42.9,,258.0,70.0,216.0,,,,,5.8,-3.6,,,,387.6,,False,,False,False,,,,,True,,True,,,True,,False,True,,,False,False,,False,False,False,,,,,True,True,,,,False
01027,51,54.0,,54.1,,52.0,44.0,,,,,43.5,,61.0,,,73.0,,20.0,25.5,,,39.0,51.8,,49.0,64.0,76.3,,,,,,51.8,,,,59.1,3.0,,3.1,,1.0,-7.0,,,,,-7.5,,10.0,,,22.0,,-31.0,-25.5,,,-12.0,0.8,,-2.0,13.0,25.3,,,,,,0.8,,,,8.1,,False,,True,False,,,,,False,,False,,,False,,False,False,,,False,True,,True,False,False,,,,,,True,,,,False
01029,50,65.0,,60.3,,62.0,6.0,,,,,42.4,,28.2,,,87.0,,55.7,29.4,,,51.0,64.0,,75.0,74.0,75.2,,,,,,69.8,,,,50.7,15.0,,10.3,,12.0,-44.0,,,,,-7.6,,-21.8,,,37.0,,5.7,-20.6,,,1.0,14.0,,25.0,24.0,25.2,,,,,,19.8,,,,0.7,,True,,True,False,,,,,True,,False,,,False,,True,False,,,True,True,,False,False,False,,,,,,False,,,,True
01031,239,269.0,,270.4,,262.0,263.0,,,,,192.2,,216.9,,,214.0,,273.6,128.6,263.5,,272.0,261.2,,305.0,296.0,268.4,,,,,253.7,259.6,,,,247.4,30.0,,31.4,,23.0,24.0,,,,,-46.8,,-22.1,,,-25.0,,34.6,-110.4,24.5,,33.0,22.2,,66.0,57.0,29.4,,,,,14.7,20.6,,,,8.4,,False,,True,True,,,,,False,,True,,,True,,False,False,True,,False,True,,False,False,True,,,,,True,True,,,,True
01033,311,284.0,,304.7,,255.0,247.0,,,,,208.3,,329.4,,,361.0,,252.5,153.8,318.0,,257.0,254.0,,339.0,313.0,301.7,,,,,282.7,262.3,,,,293.6,-27.0,,-6.3,,-56.0,-64.0,,,,,-102.7,,18.4,,,50.0,,-58.5,-157.2,7.0,,-54.0,-57.0,,28.0,2.0,-9.3,,,,,-28.3,-48.7,,,,-17.4,,True,,False,False,,,,,False,,True,,,False,,False,False,True,,False,False,,False,True,True,,,,,False,False,,,,True
01035,21,29.0,,32.8,,42.0,44.0,,,,,32.3,,40.6,,,54.0,,10.1,25.0,,,40.0,31.8,,38.0,45.0,62.6,,,,,,36.0,,,,21.7,8.0,,11.8,,21.0,23.0,,,,,11.3,,19.6,,,33.0,,-10.9,4.0,,,19.0,10.8,,17.0,24.0,41.6,,,,,,15.0,,,,0.7,,False,,False,False,,,,,False,,False,,,False,,False,True,,,False,False,,False,False,False,,,,,,False,,,,True
01037,23,24.0,,23.7,,24.0,30.0,,,,,18.8,,23.7,,,43.0,,14.2,29.5,,,10.0,22.0,,34.0,34.0,53.4,,,,,,31.4,,,,21.2,1.0,,0.7,,1.0,7.0,,,,,-4.2,,0.7,,,20.0,,-8.8,6.5,,,-13.0,-1.0,,11.0,11.0,30.4,,,,,,8.4,,,,-1.8,,True,,False,False,,,,,False,,True,,,False,,False,False,,,False,True,,False,False,False,,,,,,False,,,,False
01039,94,182.0,,195.4,,155.0,73.0,,,,,117.9,,116.4,,,169.0,,155.6,102.7,168.0,,140.0,154.3,,208.0,205.0,178.1,,,,,163.0,160.1,,,,152.6,88.0,,101.4,,61.0,-21.0,,,,,23.9,,22.4,,,75.0,,61.6,8.7,74.0,,46.0,60.3,,114.0,111.0,84.1,,,,,69.0,66.1,,,,58.6,,False,,True,True,,,,,True,,True,,,True,,True,True,True,,True,True,,False,False,True,,,,,True,True,,,,True
01041,70,58.0,,61.9,,57.0,30.0,,,,,42.8,,57.5,,,56.0,,64.9,27.8,,,67.0,61.9,,56.0,67.0,48.4,,,,,,64.9,,,,37.9,-12.0,,-8.1,,-13.0,-40.0,,,,,-27.2,,-12.5,,,-14.0,,-5.1,-42.2,,,-3.0,-8.1,,-14.0,-3.0,-21.6,,,,,,-5.1,,,,-32.1,,True,,False,False,,,,,False,,False,,,False,,True,False,,,True,True,,False,True,False,,,,,,True,,,,False
01043,484,608.0,,652.1,,525.0,539.0,,,,,322.8,,552.6,,,611.0,,432.8,360.5,643.0,,511.0,510.9,,698.0,611.0,540.0,,,,,574.7,482.8,,,,904.2,124.0,,168.1,,41.0,55.0,,,,,-161.2,,68.6,,,127.0,,-51.2,-123.5,159.0,,27.0,26.9,,214.0,127.0,56.0,,,,,90.7,-1.2,,,,420.2,,False,,True,True,,,,,False,,True,,,False,,True,True,False,,True,True,,False,False,True,,,,,True,True,,,,False
01045,172,242.0,,246.2,,237.0,237.0,,,,,156.5,,249.1,,,217.0,,291.2,146.4,226.5,,272.0,236.1,,311.0,263.0,230.5,,,,,207.0,220.8,,,,232.7,70.0,,74.2,,65.0,65.0,,,,,-15.5,,77.1,,,45.0,,119.2,-25.6,54.5,,100.0,64.1,,139.0,91.0,58.5,,,,,35.0,48.8,,,,60.7,,False,,True,True,,,,,True,,False,,,True,,False,True,True,,False,True,,False,False,True,,,,,True,True,,,,True
01047,96,107.0,,108.2,,103.0,61.0,,,,,98.5,,117.4,,,166.0,,65.9,80.7,104.0,,66.0,110.1,,124.0,136.0,139.2,,,,,105.0,96.3,,,,96.1,11.0,,12.2,,7.0,-35.0,,,,,2.5,,21.4,,,70.0,,-30.1,-15.3,8.0,,-30.0,14.1,,28.0,40.0,43.2,,,,,9.0,0.3,,,,0.1,,False,,True,False,,,,,True,,False,,,False,,False,False,True,,False,False,,False,False,False,,,,,True,True,,,,True
01049,350,575.0,,570.4,,527.0,535.0,,,,,325.8,,465.7,,,568.0,,486.1,313.2,525.0,,471.0,519.3,,631.0,562.0,544.2,,,,,569.9,341.0,,,,553.6,225.0,,220.4,,177.0,185.0,,,,,-24.2,,115.7,,,218.0,,136.1,-36.8,175.0,,121.0,169.3,,281.0,212.0,194.2,,,,,219.9,-9.0,,,,203.6,,True,,True,True,,,,,True,,True,,,True,,True,True,True,,True,True,,False,True,True,,,,,True,True,,,,True
01051,469,563.0,,564.8,,513.0,523.0,,,,,364.0,,730.6,,,331.0,,455.2,316.3,486.0,,638.0,578.9,,633.0,574.0,506.7,,,,,539.2,465.6,,,,488.2,94.0,,95.8,,44.0,54.0,,,,,-105.0,,261.6,,,-138.0,,-13.8,-152.7,17.0,,169.0,109.9,,164.0,105.0,37.7,,,,,70.2,-3.4,,,,19.2,,False,,True,True,,,,,False,,False,,,False,,True,False,True,,False,False,,False,False,True,,,,,True,True,,,,True
01053,140,121.0,,116.8,,126.0,10.0,,,,,95.3,,101.3,,,184.0,,85.8,94.8,128.0,,157.0,124.2,,172.0,152.0,146.8,,,,,109.8,105.0,,,,78.1,-19.0,,-23.2,,-14.0,-130.0,,,,,-44.7,,-38.7,,,44.0,,-54.2,-45.2,-12.0,,17.0,-15.8,,32.0,12.0,6.8,,,,,-30.2,-35.0,,,,-61.9,,False,,True,False,,,,,False,,False,,,False,,False,False,True,,True,True,,False,True,True,,,,,False,False,,,,False
01055,796,904.0,,966.2,,777.0,820.0,,,,,553.1,,890.0,,,693.0,,486.9,496.6,837.5,,776.0,869.4,,974.0,878.0,720.0,,,,,818.7,889.0,,,,1273.7,108.0,,170.2,,-19.0,24.0,,,,,-242.9,,94.0,,,-103.0,,-309.1,-299.4,41.5,,-20.0,73.4,,178.0,82.0,-76.0,,,,,22.7,93.0,,,,477.7,,False,,True,True,,,,,False,,True,,,True,,False,False,True,,True,True,,False,True,True,,,,,True,True,,,,False
01057,87,134.0,,136.1,,109.0,77.0,,,,,77.7,,131.5,,,100.0,,74.8,70.2,,,126.0,112.8,,149.0,127.0,118.4,,,,,,107.8,,,,110.1,47.0,,49.1,,22.0,-10.0,,,,,-9.3,,44.5,,,13.0,,-12.2,-16.8,,,39.0,25.8,,62.0,40.0,31.4,,,,,,20.8,,,,23.1,,False,,True,True,,,,,True,,True,,,True,,True,True,,,True,True,,False,True,True,,,,,,True,,,,True
01059,124,163.0,,163.9,,154.0,53.0,,,,,132.1,,185.1,,,254.0,,112.1,85.4,164.5,,138.0,148.2,,184.0,189.0,202.7,,,,,135.3,147.6,,,,107.7,39.0,,39.9,,30.0,-71.0,,,,,8.1,,61.1,,,130.0,,-11.9,-38.6,40.5,,14.0,24.2,,60.0,65.0,78.7,,,,,11.3,23.6,,,,-16.3,,False,,True,False,,,,,True,,False,,,False,,True,True,False,,True,True,,False,False,False,,,,,True,True,,,,True
01061,102,85.0,,83.6,,83.0,74.0,,,,,68.6,,79.8,,,127.0,,65.4,55.6,,,74.0,81.2,,98.0,110.0,112.4,,,,,,99.4,,,,60.0,-17.0,,-18.4,,-19.0,-28.0,,,,,-33.4,,-22.2,,,25.0,,-36.6,-46.4,,,-28.0,-20.8,,-4.0,8.0,10.4,,,,,,-2.6,,,,-42.0,,False,,False,False,,,,,False,,False,,,False,,False,False,,,False,False,,True,True,True,,,,,,True,,,,False
01063,42,39.0,,40.3,,39.0,0.0,,,,,31.8,,53.5,,,36.0,,56.3,29.8,,,39.0,44.0,,74.0,47.0,34.9,,,,,,34.6,,,,25.3,-3.0,,-1.7,,-3.0,-42.0,,,,,-10.2,,11.5,,,-6.0,,14.3,-12.2,,,-3.0,2.0,,32.0,5.0,-7.1,,,,,,-7.4,,,,-16.7,,True,,False,False,,,,,False,,False,,,False,,False,False,,,False,True,,False,False,False,,,,,,False,,,,False
01065,118,138.0,,141.0,,120.0,27.0,,,,,73.6,,132.0,,,77.0,,152.7,53.5,,,155.0,120.0,,154.0,120.0,179.7,,,,,,79.6,,,,99.0,20.0,,23.0,,2.0,-91.0,,,,,-44.4,,14.0,,,-41.0,,34.7,-64.5,,,37.0,2.0,,36.0,2.0,61.7,,,,,,-38.4,,,,-19.0,,False,,True,False,,,,,False,,True,,,False,,False,False,,,False,True,,False,True,False,,,,,,False,,,,True
01067,79,97.0,,99.1,,82.0,2.0,,,,,60.1,,115.1,,,70.0,,83.3,42.1,,,127.0,81.4,,115.0,98.0,88.6,,,,,,82.5,,,,91.2,18.0,,20.1,,3.0,-77.0,,,,,-18.9,,36.1,,,-9.0,,4.3,-36.9,,,48.0,2.4,,36.0,19.0,9.6,,,,,,3.5,,,,12.2,,False,,True,False,,,,,False,,False,,,True,,True,False,,,False,True,,False,False,True,,,,,,True,,,,True
01069,344,503.0,,510.5,,466.0,465.0,,,,,315.6,,509.3,,,405.0,,331.6,247.9,454.0,,443.0,484.5,,563.0,546.0,490.2,,,,,453.9,449.4,,,,250.2,159.0,,166.5,,122.0,121.0,,,,,-28.4,,165.3,,,61.0,,-12.4,-96.1,110.0,,99.0,140.5,,219.0,202.0,146.2,,,,,109.9,105.4,,,,-93.8,,False,,True,True,,,,,True,,False,,,True,,True,True,True,,True,True,,False,False,True,,,,,True,True,,,,True
01071,243,335.0,,280.9,,327.0,222.0,,,,,248.4,,283.4,,,408.0,,193.9,220.1,467.5,,231.0,319.5,,420.0,359.0,371.8,,,,,367.6,317.9,,,,547.5,92.0,,37.9,,84.0,-21.0,,,,,5.4,,40.4,,,165.0,,-49.1,-22.9,224.5,,-12.0,76.5,,177.0,116.0,128.8,,,,,124.6,74.9,,,,304.5,,True,,True,True,,,,,True,,True,,,False,,True,True,False,,True,True,,False,False,False,,,,,False,True,,,,False
01073,4186,4860.0,,4837.3,4693.2,4670.0,4904.0,,,,,3023.5,,6293.9,,5665.8,3746.0,,4397.7,2357.3,4715.5,,5081.5,4484.3,,5289.0,4657.0,3723.0,,,,,4832.7,3698.5,5242.0,,,3680.9,674.0,,651.3,507.2,484.0,718.0,,,,,-1162.5,,2107.9,,1479.8,-440.0,,211.7,-1828.7,529.5,,895.5,298.3,,1103.0,471.0,-463.0,,,,,646.7,-487.5,1056.0,,,-505.1,,True,True,True,False,,,,,False,,False,,False,True,,True,False,True,,False,True,,False,True,True,,,,,True,True,False,,,True
01075,68,100.0,,100.0,,85.0,71.0,,,,,67.3,,93.4,,,74.0,,118.8,48.4,,,90.0,75.7,,124.0,98.0,92.2,,,,,,81.9,,,,93.6,32.0,,32.0,,17.0,3.0,,,,,-0.7,,25.4,,,6.0,,50.8,-19.6,,,22.0,7.7,,56.0,30.0,24.2,,,,,,13.9,,,,25.6,,True,,True,True,,,,,True,,True,,,True,,False,True,,,True,True,,False,True,True,,,,,,True,,,,True
01077,517,526.0,,530.0,,461.0,466.0,,,,,323.4,,639.8,,,621.0,,325.5,308.7,487.5,,428.0,484.3,,555.0,544.0,482.2,,,,,470.7,488.6,,,,424.6,9.0,,13.0,,-56.0,-51.0,,,,,-193.6,,122.8,,,104.0,,-191.5,-208.3,-29.5,,-89.0,-32.7,,38.0,27.0,-34.8,,,,,-46.3,-28.4,,,,-92.4,,False,,False,False,,,,,False,,False,,,False,,False,False,False,,False,False,,False,False,False,,,,,False,False,,,,False
01079,185,170.0,,171.5,,161.0,159.0,,,,,123.6,,201.0,,,256.0,,155.0,92.2,158.5,,157.0,173.8,,196.0,183.0,162.5,,,,,,132.5,,,,159.3,-15.0,,-13.5,,-24.0,-26.0,,,,,-61.4,,16.0,,,71.0,,-30.0,-92.8,-26.5,,-28.0,-11.2,,11.0,-2.0,-22.5,,,,,,-52.5,,,,-25.7,,True,,False,False,,,,,False,,False,,,False,,False,False,False,,False,True,,True,True,False,,,,,,False,,,,False
01081,517,608.0,,608.3,,641.0,683.0,,,,,439.1,,689.3,,756.4,564.0,,739.5,354.7,558.0,,669.5,634.0,,724.0,696.0,863.6,,,,,515.8,500.4,548.0,,,453.0,91.0,,91.3,,124.0,166.0,,,,,-77.9,,172.3,,239.4,47.0,,222.5,-162.3,41.0,,152.5,117.0,,207.0,179.0,346.6,,,,,-1.2,-16.6,31.0,,,-64.0,,False,,False,False,,,,,True,,False,,False,True,,False,False,True,,False,False,,False,False,False,,,,,True,True,True,,,True
01083,556,679.0,,641.7,,606.0,613.0,,,,,400.1,,738.2,,,583.0,,598.0,373.2,622.0,,675.0,640.9,,752.0,673.0,511.1,,,,,641.5,529.8,,,,341.4,123.0,,85.7,,50.0,57.0,,,,,-155.9,,182.2,,,27.0,,42.0,-182.8,66.0,,119.0,84.9,,196.0,117.0,-44.9,,,,,85.5,-26.2,,,,-214.6,,True,,True,True,,,,,False,,False,,,True,,True,False,True,,True,True,,False,True,True,,,,,True,True,,,,False
01085,24,38.0,,35.5,,31.0,0.0,,,,,38.4,,31.6,,,30.0,,20.2,22.6,,,29.0,32.6,,37.0,46.0,37.6,,,,,,39.9,,,,27.9,14.0,,11.5,,7.0,-24.0,,,,,14.4,,7.6,,,6.0,,-3.8,-1.4,,,5.0,8.6,,13.0,22.0,13.6,,,,,,15.9,,,,3.9,,True,,True,False,,,,,False,,True,,,True,,True,True,,,True,True,,True,False,True,,,,,,False,,,,True
01087,63,59.0,,58.0,,57.0,63.0,,,,,39.9,,47.3,,,57.0,,53.6,37.6,,,45.0,56.3,,69.0,74.0,69.7,,,,,,59.4,,,,55.9,-4.0,,-5.0,,-6.0,0.0,,,,,-23.1,,-15.7,,,-6.0,,-9.4,-25.4,,,-18.0,-6.7,,6.0,11.0,6.7,,,,,,-3.6,,,,-7.1,,False,,False,True,,,,,False,,False,,,False,,False,False,,,False,False,,False,False,False,,,,,,True,,,,False
