,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Georgia,223751,77245.0,142615.8,,83589.3,23345.0,,68709.0,101404.6,76504.1,30738.4,74743.0,-146506.0,-81135.2,,-140161.7,-200406.0,,-155042.0,-122346.4,-147246.9,-193012.6,-149008.0,True,,True,False,,False,True,False,False,False
Hawaii,5205,5236.0,239.9,,4330.2,1357.0,,,3274.4,4658.6,2364.1,2622.0,31.0,-4965.1,,-874.8,-3848.0,,,-1930.6,-546.4,-2840.9,-2583.0,False,,False,False,,,False,False,False,False
Idaho,63475,53928.0,33311.3,,44731.3,20092.0,,55363.0,50747.8,76703.7,22708.6,15920.0,-9547.0,-30163.7,,-18743.7,-43383.0,,-8112.0,-12727.2,13228.7,-40766.4,-47555.0,False,,False,False,,True,False,False,False,False
Illinois,456164,430017.0,700303.2,,505185.7,324376.0,,312014.0,343976.3,378110.8,195977.1,227345.0,-26147.0,244139.2,,49021.7,-131788.0,,-144150.0,-112187.7,-78053.2,-260186.9,-228819.0,False,,False,False,,False,False,False,False,False
Indiana,286299,184548.0,231741.5,,167543.9,779682.0,,155840.0,146099.8,317664.5,158037.7,294224.0,-101751.0,-54557.5,,-118755.1,493383.0,,-130459.0,-140199.2,31365.5,-128261.3,7925.0,True,,False,False,,False,False,True,False,True
Iowa,124539,152208.0,253039.8,,167837.6,86604.0,,139060.0,88505.0,265304.1,66629.6,397385.0,27669.0,128500.8,,43298.6,-37935.0,,14521.0,-36034.0,140765.1,-57909.4,272846.0,False,,False,False,,True,False,False,False,False
Kansas,113130,83524.0,132613.4,,78705.5,51210.0,,60159.0,42114.6,143085.8,40123.2,37113.0,-29606.0,19483.4,,-34424.5,-61920.0,,-52971.0,-71015.4,29955.8,-73006.8,-76017.0,True,,False,False,,False,False,False,False,False
Kentucky,135901,87094.0,97385.2,,77743.6,51443.0,,73861.0,81114.7,167880.0,101050.4,95444.0,-48807.0,-38515.8,,-58157.4,-84458.0,,-62040.0,-54786.3,31979.0,-34850.6,-40457.0,True,,False,False,,False,False,True,True,True
Louisiana,104784,30975.0,25113.9,,30592.6,6328.0,,31968.0,45784.5,28802.1,24927.2,18343.0,-73809.0,-79670.1,,-74191.4,-98456.0,,-72816.0,-58999.5,-75981.9,-79856.8,-86441.0,False,,False,False,,True,True,False,False,False
Maine,13947,6566.0,100686.7,,6834.1,6077.0,,8127.0,3730.7,16565.6,4133.5,24510.0,-7381.0,86739.7,,-7112.9,-7870.0,,-5820.0,-10216.3,2618.6,-9813.5,10563.0,False,,True,False,,True,False,True,False,False
Maryland,112525,53438.0,58246.1,,58446.1,17039.0,,36055.0,33824.1,43282.5,31469.4,50520.0,-59087.0,-54278.9,,-54078.9,-95486.0,,-76470.0,-78700.9,-69242.5,-81055.6,-62005.0,True,,True,False,,False,False,False,False,False
Massachusetts,180026,77000.0,60680.1,,78716.1,26831.0,,85057.0,56944.6,50187.7,55226.2,61299.0,-103026.0,-119345.9,,-101309.9,-153195.0,,-94969.0,-123081.4,-129838.3,-124799.8,-118727.0,False,,True,False,,True,False,False,False,False
Michigan,287253,221669.0,316310.7,,284516.7,528788.0,,221884.0,168938.6,295208.1,168901.9,371160.0,-65584.0,29057.7,,-2736.3,241535.0,,-65369.0,-118314.4,7955.1,-118351.1,83907.0,True,,True,False,,True,False,True,False,False
Minnesota,231591,185374.0,378977.5,,197576.6,210525.0,,225690.0,115013.7,355559.8,75003.4,83339.0,-46217.0,147386.5,,-34014.4,-21066.0,,-5901.0,-116577.3,123968.8,-156587.6,-148252.0,False,,True,True,,True,False,False,False,False
Mississippi,79138,40075.0,36640.6,,26536.1,13412.0,,39142.0,47327.6,41434.0,34101.4,26402.0,-39063.0,-42497.4,,-52601.9,-65726.0,,-39996.0,-31810.4,-37704.0,-45036.6,-52736.0,False,,False,False,,False,True,True,False,False
Missouri,181295,160643.0,118164.2,,172154.8,71307.0,,141791.0,114117.1,231473.2,83139.3,40831.0,-20652.0,-63130.8,,-9140.2,-109988.0,,-39504.0,-67177.9,50178.2,-98155.7,-140464.0,False,,True,False,,False,False,False,False,False
Montana,40485,43029.0,29400.4,,45155.2,31515.0,,40133.0,50119.7,115246.0,12742.0,17235.0,2544.0,-11084.6,,4670.2,-8970.0,,-352.0,9634.7,74761.0,-27743.0,-23250.0,False,,False,False,,True,False,False,False,False
Nebraska,78942,81641.0,73121.5,,83344.6,80443.0,,91634.0,62818.9,150627.7,80971.9,21930.0,2699.0,-5820.5,,4402.6,1501.0,,12692.0,-16123.1,71685.7,2029.9,-57012.0,False,,False,True,,False,False,False,True,False
Nevada,106907,55895.0,149031.9,,48892.5,11230.0,,47001.0,39379.7,40285.4,21326.4,41541.0,-51012.0,42124.9,,-58014.5,-95677.0,,-59906.0,-67527.3,-66621.6,-85580.6,-65366.0,True,,False,False,,False,False,False,False,False
New Hampshire,27692,8099.0,10275.4,,8741.1,4720.0,,11119.0,6887.0,20584.4,8792.3,12214.0,-19593.0,-17416.6,,-18950.9,-22972.0,,-16573.0,-20805.0,-7107.6,-18899.7,-15478.0,True,,True,False,,True,False,True,True,True
New Jersey,237986,102872.0,63369.7,,92942.6,126115.0,,69203.0,74862.7,58341.0,82537.1,78813.0,-135114.0,-174616.3,,-145043.4,-111871.0,,-168783.0,-163123.3,-179645.0,-155448.9,-159173.0,False,,False,True,,False,False,False,False,False
New Mexico,83555,50267.0,55503.4,,42305.2,13637.0,,47989.0,52344.4,79674.5,39643.9,24957.0,-33288.0,-28051.6,,-41249.8,-69918.0,,-35566.0,-31210.6,-3880.5,-43911.1,-58598.0,True,,False,False,,False,True,True,False,False
New York,393796,126455.0,235841.0,,425430.1,49077.0,,99532.0,77616.2,94959.5,68223.1,125745.0,-267341.0,-157955.0,,31634.1,-344719.0,,-294264.0,-316179.8,-298836.5,-325572.9,-268051.0,True,,True,False,,False,False,False,False,False
North Carolina,222685,116270.0,139780.2,,106417.0,65198.0,,107976.0,119549.7,148297.8,126696.8,95749.0,-106415.0,-82904.8,,-116268.0,-157487.0,,-114709.0,-103135.3,-74387.2,-95988.2,-126936.0,True,,False,False,,False,True,True,True,False
North Dakota,38150,65016.0,69606.5,,57657.9,55244.0,,63138.0,36913.3,126974.2,43287.6,41726.0,26866.0,31456.5,,19507.9,17094.0,,24988.0,-1236.7,88824.2,5137.6,3576.0,False,,True,True,,True,True,False,True,True
Ohio,418941,210210.0,428346.3,,193408.7,70126.0,,219693.0,171749.9,236314.3,80985.1,152155.0,-208731.0,9405.3,,-225532.3,-348815.0,,-199248.0,-247191.1,-182626.7,-337955.9,-266786.0,True,,False,False,,True,False,True,False,False
Oklahoma,144757,62923.0,86095.5,,59261.7,42893.0,,82875.0,72176.0,96955.4,36525.0,35518.0,-81834.0,-58661.5,,-85495.3,-101864.0,,-61882.0,-72581.0,-47801.6,-108232.0,-109239.0,True,,False,False,,True,True,True,False,False
Oregon,58739,32662.0,58036.7,,35238.7,13970.0,,28878.0,20717.5,56510.6,13295.2,39899.0,-26077.0,-702.3,,-23500.3,-44769.0,,-29861.0,-38021.5,-2228.4,-45443.8,-18840.0,True,,True,False,,False,False,True,False,True
Pennsylvania,376274,137914.0,205720.0,,142794.8,71946.0,,131425.0,121610.5,168754.5,109146.4,115451.0,-238360.0,-170554.0,,-233479.2,-304328.0,,-244849.0,-254663.5,-207519.5,-267127.6,-260823.0,True,,True,False,,False,False,True,False,False
Rhode Island,45686,24542.0,20647.8,,28400.2,18489.0,,25509.0,30968.1,18988.0,12120.3,8825.0,-21144.0,-25038.2,,-17285.8,-27197.0,,-20177.0,-14717.9,-26698.0,-33565.7,-36861.0,False,,True,False,,True,True,False,False,False
South Carolina,104150,56910.0,23229.3,,50998.8,19413.0,,54258.0,52814.8,55718.0,22643.8,37752.0,-47240.0,-80920.7,,-53151.2,-84737.0,,-49892.0,-51335.2,-48432.0,-81506.2,-66398.0,False,,False,False,,False,False,False,False,False
South Dakota,42987,55888.0,70000.0,,54633.7,34615.0,,68648.0,42851.6,111292.5,29797.4,4045.0,12901.0,27013.0,,11646.7,-8372.0,,25661.0,-135.4,68305.5,-13189.6,-38942.0,False,,True,True,,False,True,False,False,False
Tennessee,282677,122801.0,78541.0,,108511.7,57782.0,,147891.0,167045.1,140943.3,108610.6,58667.0,-159876.0,-204136.0,,-174165.3,-224895.0,,-134786.0,-115631.9,-141733.7,-174066.4,-224010.0,False,,False,False,,True,True,True,False,False
Texas,638902,369600.0,538802.5,,366988.8,98845.0,,374506.0,293052.7,544803.0,152296.3,354719.0,-269302.0,-100099.5,,-271913.2,-540057.0,,-264396.0,-345849.3,-94099.0,-486605.7,-284183.0,True,,False,False,,True,False,True,False,False
Utah,133843,109053.0,182054.8,,100018.8,21697.0,,118879.0,86108.4,70293.2,118577.4,49276.0,-24790.0,48211.8,,-33824.2,-112146.0,,-14964.0,-47734.6,-63549.8,-15265.6,-84567.0,False,,False,False,,True,False,False,True,False
Vermont,4619,1176.0,41490.3,,120.9,708.0,,1115.0,946.1,10785.6,919.7,1658.0,-3443.0,36871.3,,-4498.1,-3911.0,,-3504.0,-3672.9,6166.6,-3699.3,-2961.0,False,,False,False,,False,False,False,False,True
Virginia,138704,67781.0,15469.2,,69901.5,24238.0,,51126.0,63234.5,121517.1,41686.0,69884.0,-70923.0,-123234.8,,-68802.5,-114466.0,,-87578.0,-75469.5,-17186.9,-97018.0,-68820.0,False,,True,False,,False,False,True,False,True
Washington,116498,59570.0,89525.9,,90783.1,19135.0,,45878.0,31319.6,62957.2,44230.2,80192.0,-56928.0,-26972.1,,-25714.9,-97363.0,,-70620.0,-85178.4,-53540.8,-72267.8,-36306.0,True,,True,False,,False,False,True,False,True
West Virginia,52568,22043.0,40409.8,,22920.6,16638.0,,24373.0,19265.6,94833.6,8933.6,11080.0,-30525.0,-12158.2,,-29647.4,-35930.0,,-28195.0,-33302.4,42265.6,-43634.4,-41488.0,True,,True,False,,True,False,False,False,False
Wisconsin,228519,264327.0,276855.0,,244149.2,101444.0,,287472.0,282701.5,529927.5,384286.4,96931.0,35808.0,48336.0,,15630.2,-127075.0,,58953.0,54182.5,301408.5,155767.4,-131588.0,False,,True,False,,False,False,False,False,False
Wyoming,26549,23093.0,18209.5,,21745.4,18430.0,,23983.0,17596.6,78523.5,30048.8,7888.0,-3456.0,-8339.5,,-4803.6,-8119.0,,-2566.0,-8952.4,51974.5,3499.8,-18661.0,False,,False,False,,True,False,False,False,False
US,9102342,5090078.0,7016801.0,16972489.0,8043245.2,4377640.0,5665952.0,4210469.0,4228485.4,6622294.4,6896718.1,3817920.5,-4012264.0,-2085541.0,7870147.0,-1059096.8,-4724702.0,-3436390.0,-4891873.0,-4873856.6,-2480047.6,-2205623.9,-5284421.5,True,False,True,False,True,False,False,True,True,False
