,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
Georgia,161224,83040.0,71921.9,63334.5,83770.0,71892.0,,89902.9,164335.0,147233.1,94411.5,,99255.0,114933.6,57255.1,103206.0,64134.5,85242.5,58782.0,66187.9,81736.0,120030.0,,209130.4,79054.7,,78487.7,115044.3,,65236.6,84249.0,103247.6,-78184.0,-89302.1,-97889.5,-77454.0,-89332.0,,-71321.1,3111.0,-13990.9,-66812.5,,-61969.0,-46290.4,-103968.9,-58018.0,-97089.5,-75981.5,-102442.0,-95036.1,-79488.0,-41194.0,,47906.4,-82169.3,,-82736.3,-46179.7,,-95987.4,-76975.0,-57976.4,False,False,True,False,,True,True,True,True,,True,True,False,True,False,True,False,False,False,True,,True,False,,False,True,,False,True,True
Hawaii,3174,2884.0,8696.1,2976.5,2833.0,3456.0,,3040.1,2231.0,1944.5,5335.4,,,2937.2,1948.8,3592.0,5487.3,2837.6,2674.5,2884.2,3277.4,3102.0,,2267.8,2529.2,,2047.3,4384.9,,2831.7,4209.0,2637.4,-290.0,5522.1,-197.5,-341.0,282.0,,-133.9,-943.0,-1229.5,2161.4,,,-236.8,-1225.2,418.0,2313.3,-336.4,-499.5,-289.8,103.4,-72.0,,-906.2,-644.8,,-1126.7,1210.9,,-342.3,1035.0,-536.6,False,True,False,True,,True,False,False,False,,,True,False,False,False,False,False,True,True,True,,False,False,,False,False,,False,False,False
Idaho,36127,35304.0,31756.6,34945.1,33542.0,31643.0,,34191.5,37136.0,30253.8,46700.8,,38626.0,53956.7,30021.3,44277.0,21090.8,32375.7,36704.5,32251.8,41850.9,43048.0,,34152.3,32185.9,,28451.9,72465.5,,14589.8,29347.0,41882.6,-823.0,-4370.4,-1181.9,-2585.0,-4484.0,,-1935.5,1009.0,-5873.2,10573.8,,2499.0,17829.7,-6105.7,8150.0,-15036.2,-3751.3,577.5,-3875.2,5723.9,6921.0,,-1974.7,-3941.1,,-7675.1,36338.5,,-21537.2,-6780.0,5755.6,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,,False,False,,False,False,,False,False,False
Illinois,221206,266600.0,265268.9,265463.3,239308.0,213316.0,,239253.6,362586.0,384434.6,391268.6,,282378.0,410826.2,177996.1,311106.0,219796.8,164216.7,194762.0,201113.3,220208.7,294150.0,,206100.1,609370.6,,403465.5,680328.1,172066.0,111676.4,202365.0,271555.8,45394.0,44062.9,44257.3,18102.0,-7890.0,,18047.6,141380.0,163228.6,170062.6,,61172.0,189620.2,-43209.9,89900.0,-1409.2,-56989.3,-26444.0,-20092.7,-997.3,72944.0,,-15105.9,388164.6,,182259.5,459122.1,-49140.0,-109529.6,-18841.0,50349.8,True,True,True,True,,True,False,False,False,,False,False,True,False,True,False,True,True,True,False,,True,False,,False,False,False,False,True,False
Indiana,163013,159300.0,189104.4,157564.6,158277.0,128455.0,,148616.7,240681.0,204736.5,237378.4,,158800.0,258155.3,156120.2,191061.0,104501.5,78733.7,133395.0,114508.2,164952.2,186708.0,,190069.5,287407.3,,188727.2,383278.6,126100.1,59623.3,135674.0,241299.3,-3713.0,26091.4,-5448.4,-4736.0,-34558.0,,-14396.3,77668.0,41723.5,74365.4,,-4213.0,95142.3,-6892.8,28048.0,-58511.5,-84279.3,-29618.0,-48504.8,1939.2,23695.0,,27056.5,124394.3,,25714.2,220265.6,-36912.9,-103389.7,-27339.0,78286.3,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,False,,False,False,,False,False,False,False,False,False
Iowa,47614,71904.0,59006.2,64510.8,63853.0,51481.0,,67499.6,142292.0,101429.5,94662.6,,79350.0,123195.6,37872.8,94695.0,46550.4,33910.1,40705.5,48614.9,68433.2,89736.0,,5062.1,146136.7,,75015.9,235482.9,,18224.4,48090.0,87452.2,24290.0,11392.2,16896.8,16239.0,3867.0,,19885.6,94678.0,53815.5,47048.6,,31736.0,75581.6,-9741.2,47081.0,-1063.6,-13703.9,-6908.5,1000.9,20819.2,42122.0,,-42551.9,98522.7,,27401.9,187868.9,,-29389.6,476.0,39838.2,True,True,True,True,,True,False,False,False,,False,False,True,False,True,True,True,True,True,False,,False,False,,False,False,,False,True,False
Kansas,57489,73736.0,86124.6,74590.7,68678.0,62175.0,,68903.7,150946.0,29385.3,94774.9,,69886.0,122927.4,78104.9,95178.0,44913.2,51462.9,41873.5,50727.5,70313.8,94724.0,,41497.3,100706.3,,69189.8,149782.4,,18993.9,47570.0,81737.5,16247.0,28635.6,17101.7,11189.0,4686.0,,11414.7,93457.0,-28103.7,37285.9,,12397.0,65438.4,20615.9,37689.0,-12575.8,-6026.1,-15615.5,-6761.5,12824.8,37235.0,,-15991.7,43217.3,,11700.8,92293.4,,-38495.1,-9919.0,24248.5,False,False,True,True,,True,False,False,False,,True,False,False,False,True,True,True,True,True,False,,True,False,,True,False,,False,True,False
Kentucky,81380,73096.0,105937.8,72950.6,77454.0,72575.0,,80458.1,71798.0,85115.3,105898.7,,79666.0,115925.7,111252.4,95524.0,52633.9,86733.1,96447.0,74431.3,91870.7,93897.0,,163534.9,90353.8,,64799.5,155038.3,,43333.8,76684.0,88281.1,-8284.0,24557.8,-8429.4,-3926.0,-8805.0,,-921.9,-9582.0,3735.3,24518.7,,-1714.0,34545.7,29872.4,14144.0,-28746.1,5353.1,15067.0,-6948.7,10490.7,12517.0,,82154.9,8973.8,,-16580.5,73658.3,,-38046.2,-4696.0,6901.1,False,False,True,False,,True,False,True,False,,True,False,False,False,False,True,False,True,False,False,,False,False,,False,False,,False,True,True
Louisiana,65897,55572.0,72884.0,54346.8,64326.0,75668.0,,58648.0,54055.0,238435.7,70173.1,,64767.0,83121.1,116313.3,70752.0,63785.1,140844.1,80796.5,44780.3,70485.3,90368.0,,114573.4,27739.7,,37186.1,136711.3,,16776.9,46986.0,63669.7,-10325.0,6987.0,-11550.2,-1571.0,9771.0,,-7249.0,-11842.0,172538.7,4276.1,,-1130.0,17224.1,50416.3,4855.0,-2111.9,74947.1,14899.5,-21116.7,4588.3,24471.0,,48676.4,-38157.3,,-28710.9,70814.3,,-49120.1,-18911.0,-2227.3,True,False,True,True,,True,False,False,True,,True,False,False,True,True,False,False,False,True,False,,False,False,,False,False,,False,False,True
Maine,10259,4660.0,4242.8,4275.8,5238.0,4266.0,,5428.4,15912.0,5761.6,5896.3,,7303.0,8314.5,6874.2,6549.0,7136.9,2597.7,5849.5,4631.4,8484.8,14481.0,,3081.0,18445.6,,9203.7,10947.0,,1919.3,3637.0,6022.7,-5599.0,-6016.2,-5983.2,-5021.0,-5993.0,,-4830.6,5653.0,-4497.4,-4362.7,,-2956.0,-1944.5,-3384.8,-3710.0,-3122.1,-7661.3,-4409.5,-5627.6,-1774.2,4222.0,,-7178.0,8186.6,,-1055.3,688.0,,-8339.7,-6622.0,-4236.3,False,False,True,False,,True,False,True,True,,True,True,True,True,True,False,True,False,True,True,,False,False,,True,True,,False,False,True
Maryland,70992,57908.0,102564.5,57275.2,65465.0,45428.0,,54208.0,144823.0,100320.3,82267.4,,62660.0,95314.8,94493.7,69257.0,67621.3,44425.1,50851.0,55696.7,79895.5,71172.0,,128248.0,72995.6,,64102.6,103974.4,,37337.3,69078.0,85211.7,-13084.0,31572.5,-13716.8,-5527.0,-25564.0,,-16784.0,73831.0,29328.3,11275.4,,-8332.0,24322.8,23501.7,-1735.0,-3370.7,-26566.9,-20141.0,-15295.3,8903.5,180.0,,57256.0,2003.6,,-6889.4,32982.4,,-33654.7,-1914.0,14219.7,False,False,True,False,,False,False,False,True,,True,False,False,True,True,False,False,False,True,True,,False,True,,True,False,,False,True,False
Massachusetts,127133,73256.0,67320.1,74240.3,75514.0,58549.0,,71399.0,124047.0,73474.6,122192.1,,72765.0,114529.1,67255.2,89090.0,89421.1,100183.5,83899.0,75979.7,97427.9,101096.0,,95475.1,169339.1,,96461.5,139087.6,,54040.8,75247.0,88811.6,-53877.0,-59812.9,-52892.7,-51619.0,-68584.0,,-55734.0,-3086.0,-53658.4,-4940.9,,-54368.0,-12603.9,-59877.8,-38043.0,-37711.9,-26949.5,-43234.0,-51153.3,-29705.1,-26037.0,,-31657.9,42206.1,,-30671.5,11954.6,,-73092.2,-51886.0,-38321.4,False,True,True,False,,False,True,True,True,,False,True,False,True,True,True,True,True,True,True,,True,True,,True,True,,False,True,True
Michigan,138174,196524.0,221539.2,204061.7,190429.0,160898.0,,191174.4,353487.0,202620.1,368140.8,,209940.0,324527.1,160135.0,245566.0,206036.8,136005.6,176644.5,175366.3,182383.8,239974.0,,310996.0,550631.9,,166987.8,455603.0,186758.0,81012.7,178015.0,268802.7,58350.0,83365.2,65887.7,52255.0,22724.0,,53000.4,215313.0,64446.1,229966.8,,71766.0,186353.1,21961.0,107392.0,67862.8,-2168.4,38470.5,37192.3,44209.8,101800.0,,172822.0,412457.9,,28813.8,317429.0,48584.0,-57161.3,39841.0,130628.7,False,False,True,True,,True,False,False,False,,False,False,True,False,False,True,True,True,True,False,,False,False,,True,False,True,True,True,False
Minnesota,102522,164284.0,173843.3,160813.1,164962.0,131207.0,,134937.5,394599.0,182210.0,262775.8,,164320.0,310317.0,159673.7,200546.0,88898.6,123228.8,189999.0,152498.8,182091.5,195465.0,,166802.1,347944.6,,187648.4,416826.2,,133259.0,128557.0,250972.3,61762.0,71321.3,58291.1,62440.0,28685.0,,32415.5,292077.0,79688.0,160253.8,,61798.0,207795.0,57151.7,98024.0,-13623.4,20706.8,87477.0,49976.8,79569.5,92943.0,,64280.1,245422.6,,85126.4,314304.2,,30737.0,26035.0,148450.3,False,True,False,True,,True,False,False,False,,False,False,True,False,True,True,False,True,False,False,,False,False,,False,False,,True,True,False
Mississippi,55083,30156.0,34582.8,30356.8,34493.0,30448.0,,29333.2,39780.0,54043.4,36983.2,,32665.0,43527.4,36499.3,40175.0,22790.8,50676.9,31398.0,38521.8,42281.1,48247.0,,44813.0,24178.5,,32960.0,67277.0,,29530.3,24424.0,36737.2,-24927.0,-20500.2,-24726.2,-20590.0,-24635.0,,-25749.8,-15303.0,-1039.6,-18099.8,,-22418.0,-11555.6,-18583.7,-14908.0,-32292.2,-4406.1,-23685.0,-16561.2,-12801.9,-6836.0,,-10270.0,-30904.5,,-22123.0,12194.0,,-25552.7,-30659.0,-18345.8,True,True,True,True,,False,True,True,True,,True,True,True,True,False,True,True,True,True,True,,True,False,,True,True,,False,False,True
Missouri,91371,105096.0,149133.2,102861.2,103384.0,83863.0,,106229.3,258653.0,118724.6,131376.7,,111660.0,171070.1,70637.0,131235.0,66247.6,63547.9,65125.5,90609.7,112502.8,140623.0,,103932.3,207067.6,,138090.4,262093.3,,42790.0,80828.0,120729.9,13725.0,57762.2,11490.2,12013.0,-7508.0,,14858.3,167282.0,27353.6,40005.7,,20289.0,79699.1,-20734.0,39864.0,-25123.4,-27823.1,-26245.5,-761.3,21131.8,49252.0,,12561.3,115696.6,,46719.4,170722.3,,-48581.0,-10543.0,29358.9,False,True,True,True,,False,False,False,False,,False,False,False,False,False,False,False,True,False,False,,True,False,,False,False,,False,True,False
Montana,18588,25212.0,28036.8,27327.1,26368.0,20080.0,,25994.1,15687.0,16229.1,36810.6,,26615.0,44287.8,43661.6,31701.0,10310.5,33842.9,26980.0,22060.9,28411.4,29078.0,,46450.7,34987.1,,15506.1,61347.8,,9223.7,18089.0,28779.0,6624.0,9448.8,8739.1,7780.0,1492.0,,7406.1,-2901.0,-2358.9,18222.6,,8027.0,25699.8,25073.6,13113.0,-8277.5,15254.9,8392.0,3472.9,9823.4,10490.0,,27862.7,16399.1,,-3081.9,42759.8,,-9364.3,-499.0,10191.0,False,False,False,True,,False,True,True,False,,False,False,False,False,False,False,False,True,False,False,,False,False,,True,False,,False,True,False
Nebraska,36014,49176.0,45752.8,47566.6,44533.0,37041.0,,43657.6,71159.0,59260.6,72224.4,,55332.0,73423.7,24838.4,67332.0,30155.0,33396.2,34091.0,41057.0,53569.1,60804.0,,25339.3,64854.8,,49430.0,129749.9,,18495.2,33937.0,57957.1,13162.0,9738.8,11552.6,8519.0,1027.0,,7643.6,35145.0,23246.6,36210.4,,19318.0,37409.7,-11175.6,31318.0,-5859.0,-2617.8,-1923.0,5043.0,17555.1,24790.0,,-10674.7,28840.8,,13416.0,93735.9,,-17518.8,-2077.0,21943.1,True,True,True,True,,True,False,False,False,,False,False,True,False,True,True,True,True,False,False,,True,False,,False,False,,False,True,False
Nevada,66424,69984.0,99293.5,68888.5,76503.0,70216.0,,59772.3,100820.0,68706.2,87714.5,,67126.0,88017.3,90397.0,85980.0,55619.3,107150.2,90972.0,56132.0,81226.7,77612.0,,82072.0,72474.7,,43303.4,103884.4,,36077.0,76593.0,124745.9,3560.0,32869.5,2464.5,10079.0,3792.0,,-6651.7,34396.0,2282.2,21290.5,,702.0,21593.3,23973.0,19556.0,-10804.7,40726.2,24548.0,-10292.0,14802.7,11188.0,,15648.0,6050.7,,-23120.6,37460.4,,-30347.0,10169.0,58321.9,False,True,False,False,,False,False,True,False,,True,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
New Hampshire,19908,10840.0,17956.8,11109.6,14042.0,11331.0,,12553.0,36646.0,11184.3,18740.5,,14907.0,18985.9,22316.6,13416.0,13292.6,14804.1,16022.5,13656.4,19346.2,19405.0,,21415.4,28497.5,,15699.4,19467.4,,14829.3,11510.0,13310.1,-9068.0,-1951.2,-8798.4,-5866.0,-8577.0,,-7355.0,16738.0,-8723.7,-1167.5,,-5001.0,-922.1,2408.6,-6492.0,-6615.4,-5103.9,-3885.5,-6251.6,-561.8,-503.0,,1507.4,8589.5,,-4208.6,-440.6,,-5078.7,-8398.0,-6597.9,True,True,True,True,,True,False,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,,True,True,True
New Jersey,129348,110056.0,118377.5,110696.9,115242.0,92014.0,,113989.6,274938.0,145664.3,163225.7,,106797.0,159520.6,130762.0,147901.0,133769.2,98038.1,116183.0,104727.0,138247.5,135324.0,,115043.2,259526.7,,167695.6,224550.0,,66807.2,112961.0,162431.4,-19292.0,-10970.5,-18651.1,-14106.0,-37334.0,,-15358.4,145590.0,16316.3,33877.7,,-22551.0,30172.6,1414.0,18553.0,4421.2,-31309.9,-13165.0,-24621.0,8899.5,5976.0,,-14304.8,130178.7,,38347.6,95202.0,,-62540.8,-16387.0,33083.4,True,True,True,False,,True,False,True,False,,False,False,True,True,True,False,True,False,True,True,,True,False,,False,False,,False,True,False
New Mexico,43244,58168.0,73806.7,60556.6,63893.0,46494.0,,59380.0,72234.0,69361.5,96648.7,,55437.0,90611.6,189532.2,70145.0,39913.0,62558.8,73740.5,44029.5,64628.2,63436.0,,131567.7,103817.3,,72426.7,134170.3,,19554.9,51086.0,90618.8,14924.0,30562.7,17312.6,20649.0,3250.0,,16136.0,28990.0,26117.5,53404.7,,12193.0,47367.6,146288.2,26901.0,-3331.0,19314.8,30496.5,785.5,21384.2,20192.0,,88323.7,60573.3,,29182.7,90926.3,,-23689.1,7842.0,47374.8,False,False,False,True,,False,False,False,False,,True,False,False,False,True,False,False,True,False,False,,False,False,,False,False,,False,True,False
New York,280851,174460.0,171124.0,175804.1,203270.0,209240.0,,185353.7,432932.0,194475.0,228959.6,,173593.0,219451.0,277200.5,241271.0,273007.5,389869.8,203946.0,204137.1,229742.0,268108.0,,171044.9,200894.0,,177933.1,288413.6,,194945.8,223093.0,229740.4,-106391.0,-109727.0,-105046.9,-77581.0,-71611.0,,-95497.3,152081.0,-86376.0,-51891.4,,-107258.0,-61400.0,-3650.5,-39580.0,-7843.5,109018.8,-76905.0,-76713.9,-51109.0,-12743.0,,-109806.1,-79957.0,,-102917.9,7562.6,,-85905.2,-57758.0,-51110.6,False,True,True,True,,True,False,True,True,,False,True,True,True,True,False,True,True,True,True,,False,True,,True,True,,True,True,True
