,actual_cases,COVIDhub-baseline,BPagano-RtDriven,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
01061,559,315.0,,,,,,201.0,,401.1,,100.0,-244.0,,,,,,-358.0,,-157.9,,-459.0,,,,,,False,,True,,False
01063,265,49.0,,,,,,46.0,,49.4,,66.0,-216.0,,,,,,-219.0,,-215.6,,-199.0,,,,,,False,,True,,True
01065,554,210.0,,,,,,99.0,,214.5,,55.0,-344.0,,,,,,-455.0,,-339.5,,-499.0,,,,,,False,,True,,False
01067,383,224.0,,,,,,94.0,,216.9,,65.0,-159.0,,,,,,-289.0,,-166.1,,-318.0,,,,,,False,,False,,False
01069,2386,1204.0,,,,,,765.0,,962.9,968.4,318.0,-1182.0,,,,,,-1621.0,,-1423.1,-1417.6,-2068.0,,,,,,False,,False,False,False
01071,2411,1008.0,,,,,,662.0,,1197.7,424.5,389.0,-1403.0,,,,,,-1749.0,,-1213.3,-1986.5,-2022.0,,,,,,False,,True,False,False
01073,23493,9394.0,,,,,,5197.0,,7844.3,4402.3,5420.0,-14099.0,,,,,,-18296.0,,-15648.7,-19090.7,-18073.0,,,,,,False,,False,False,False
01075,457,161.0,,,,,,145.0,,138.4,,53.0,-296.0,,,,,,-312.0,,-318.6,,-404.0,,,,,,False,,False,,False
01077,3117,3122.0,,,,,,1323.0,,6370.7,1167.1,1389.0,5.0,,,,,,-1794.0,,3253.7,-1949.9,-1728.0,,,,,,False,,False,False,False
01079,922,553.0,,,,,,406.0,,867.3,,0.0,-369.0,,,,,,-516.0,,-54.7,,-922.0,,,,,,False,,True,,False
01081,2900,1232.0,,,,,,991.0,,894.3,1088.7,1467.0,-1668.0,,,,,,-1909.0,,-2005.7,-1811.3,-1433.0,,,,,,False,,False,False,True
01083,3124,1960.0,,,,,,1070.0,,2076.4,924.6,1450.0,-1164.0,,,,,,-2054.0,,-1047.6,-2199.4,-1674.0,,,,,,False,,True,False,False
01085,173,133.0,,,,,,47.0,,105.6,,0.0,-40.0,,,,,,-126.0,,-67.4,,-173.0,,,,,,False,,False,,False
01087,350,280.0,,,,,,73.0,,364.9,,204.0,-70.0,,,,,,-277.0,,14.9,,-146.0,,,,,,False,,True,,False
01089,10696,4228.0,,,,,,2961.0,,3522.4,2449.2,643.0,-6468.0,,,,,,-7735.0,,-7173.6,-8246.8,-10053.0,,,,,,False,,False,False,False
01091,646,203.0,,,,,,157.0,,177.8,125.9,36.0,-443.0,,,,,,-489.0,,-468.2,-520.1,-610.0,,,,,,False,,False,False,False
01093,781,574.0,,,,,,344.0,,565.9,298.6,375.0,-207.0,,,,,,-437.0,,-215.1,-482.4,-406.0,,,,,,False,,False,False,False
01095,3980,1904.0,,,,,,1216.0,,1641.7,710.9,2893.0,-2076.0,,,,,,-2764.0,,-2338.3,-3269.1,-1087.0,,,,,,False,,False,False,True
01097,6890,3276.0,,,,,,3017.0,,2516.4,1574.5,545.0,-3614.0,,,,,,-3873.0,,-4373.6,-5315.5,-6345.0,,,,,,False,,False,False,False
01099,412,168.0,,,,,,118.0,,140.8,,112.0,-244.0,,,,,,-294.0,,-271.2,,-300.0,,,,,,False,,False,,False
01101,4343,2982.0,,,,,,1251.0,,2512.6,1495.6,2089.0,-1361.0,,,,,,-3092.0,,-1830.4,-2847.4,-2254.0,,,,,,False,,False,False,False
01103,5252,2408.0,,,,,,1386.0,,2936.6,887.2,810.0,-2844.0,,,,,,-3866.0,,-2315.4,-4364.8,-4442.0,,,,,,False,,True,False,False
01105,206,98.0,,,,,,49.0,,76.7,,56.0,-108.0,,,,,,-157.0,,-129.3,,-150.0,,,,,,False,,False,,False
01107,662,525.0,,,,,,163.0,,674.1,,135.0,-137.0,,,,,,-499.0,,12.1,,-527.0,,,,,,False,,True,,False
01109,468,322.0,,,,,,211.0,,285.3,140.0,366.0,-146.0,,,,,,-257.0,,-182.7,-328.0,-102.0,,,,,,False,,False,False,True
01111,317,203.0,,,,,,190.0,,195.2,,111.0,-114.0,,,,,,-127.0,,-121.8,,-206.0,,,,,,False,,False,,False
01113,662,126.0,,,,,,342.0,,120.9,74.8,30.0,-536.0,,,,,,-320.0,,-541.1,-587.2,-632.0,,,,,,True,,False,False,False
01115,2717,1687.0,,,,,,668.0,,2212.1,636.6,19.0,-1030.0,,,,,,-2049.0,,-504.9,-2080.4,-2698.0,,,,,,False,,True,False,False
01117,6632,3262.0,,,,,,1311.0,,2677.5,1912.8,1559.0,-3370.0,,,,,,-5321.0,,-3954.5,-4719.2,-5073.0,,,,,,False,,False,False,False
01119,309,133.0,,,,,,73.0,,62.4,,142.0,-176.0,,,,,,-236.0,,-246.6,,-167.0,,,,,,False,,False,,True
01121,1981,966.0,,,,,,665.0,,881.4,586.8,542.0,-1015.0,,,,,,-1316.0,,-1099.6,-1394.2,-1439.0,,,,,,False,,False,False,False
01123,819,483.0,,,,,,259.0,,490.6,220.9,217.0,-336.0,,,,,,-560.0,,-328.4,-598.1,-602.0,,,,,,False,,True,False,False
01125,6494,2849.0,,,,,,1989.0,,2098.9,1495.7,718.0,-3645.0,,,,,,-4505.0,,-4395.1,-4998.3,-5776.0,,,,,,False,,False,False,False
01127,1892,1260.0,,,,,,730.0,,1429.6,568.7,557.0,-632.0,,,,,,-1162.0,,-462.4,-1323.3,-1335.0,,,,,,False,,True,False,False
01129,340,266.0,,,,,,135.0,,240.8,,52.0,-74.0,,,,,,-205.0,,-99.2,,-288.0,,,,,,False,,False,,False
01131,260,112.0,,,,,,50.0,,75.3,,31.0,-148.0,,,,,,-210.0,,-184.7,,-229.0,,,,,,False,,False,,False
01133,840,434.0,,,,,,285.0,,433.8,,191.0,-406.0,,,,,,-555.0,,-406.2,,-649.0,,,,,,False,,False,,False
02013,26,21.0,,,,,,,,21.3,,122.0,-5.0,,,,,,,,-4.7,,96.0,,,,,,,,True,,False
02016,82,28.0,,,,,,,,21.0,,32.0,-54.0,,,,,,,,-61.0,,-50.0,,,,,,,,False,,True
02020,12453,10605.0,,,,,,,,17287.0,9295.9,0.0,-1848.0,,,,,,,,4834.0,-3157.1,-12453.0,,,,,,,,False,False,False
02050,1515,1169.0,,,,,,,,4186.2,,261.0,-346.0,,,,,,,,2671.2,,-1254.0,,,,,,,,False,,False
02060,0,0.0,,,,,,,,0.8,,,0.0,,,,,,,,0.8,,,,,,,,,,False,,
02068,28,14.0,,,,,,,,54.4,,1.0,-14.0,,,,,,,,26.4,,-27.0,,,,,,,,False,,False
02070,51,42.0,,,,,,,,46.8,,10.0,-9.0,,,,,,,,-4.2,,-41.0,,,,,,,,True,,False
02090,2270,1708.0,,,,,,,,3007.2,1943.9,374.0,-562.0,,,,,,,,737.2,-326.1,-1896.0,,,,,,,,False,True,False
02100,7,14.0,,,,,,,,31.6,,17.0,7.0,,,,,,,,24.6,,10.0,,,,,,,,False,,False
02105,0,0.0,,,,,,,,7.2,,,0.0,,,,,,,,7.2,,,,,,,,,,False,,
02110,376,504.0,,,,,,,,1022.9,,239.0,128.0,,,,,,,,646.9,,-137.0,,,,,,,,False,,False
02122,2280,1463.0,,,,,,,,4084.4,376.0,606.0,-817.0,,,,,,,,1804.4,-1904.0,-1674.0,,,,,,,,False,False,False
02130,117,217.0,,,,,,,,227.8,,734.0,100.0,,,,,,,,110.8,,617.0,,,,,,,,False,,False
02150,753,119.0,,,,,,,,578.8,,109.0,-634.0,,,,,,,,-174.2,,-644.0,,,,,,,,True,,False
02158,374,553.0,,,,,,,,1511.7,,108.0,179.0,,,,,,,,1137.7,,-266.0,,,,,,,,False,,False
02164,43,21.0,,,,,,,,59.3,,0.0,-22.0,,,,,,,,16.3,,-43.0,,,,,,,,True,,False
02170,4207,3108.0,,,,,,,,14463.2,2166.2,677.0,-1099.0,,,,,,,,10256.2,-2040.8,-3530.0,,,,,,,,False,False,False
02180,119,98.0,,,,,,,,115.6,,103.0,-21.0,,,,,,,,-3.4,,-16.0,,,,,,,,True,,True
02185,483,259.0,,,,,,,,210.5,,84.0,-224.0,,,,,,,,-272.5,,-399.0,,,,,,,,False,,False
02188,117,175.0,,,,,,,,361.9,,0.0,58.0,,,,,,,,244.9,,-117.0,,,,,,,,False,,False
02195,10,7.0,,,,,,,,13.1,,10.0,-3.0,,,,,,,,3.1,,0.0,,,,,,,,False,,True
02198,33,21.0,,,,,,,,8.6,,162.0,-12.0,,,,,,,,-24.4,,129.0,,,,,,,,False,,False
02220,172,105.0,,,,,,,,148.8,,157.0,-67.0,,,,,,,,-23.2,,-15.0,,,,,,,,True,,True
02230,9,0.0,,,,,,,,0.2,,0.0,-9.0,,,,,,,,-8.8,,-9.0,,,,,,,,True,,False
02240,301,98.0,,,,,,,,294.2,,74.0,-203.0,,,,,,,,-6.8,,-227.0,,,,,,,,True,,False
02261,136,154.0,,,,,,,,269.0,,216.0,18.0,,,,,,,,133.0,,80.0,,,,,,,,False,,False
02275,7,0.0,,,,,,,,0.8,,0.0,-7.0,,,,,,,,-6.2,,-7.0,,,,,,,,True,,False
02282,16,0.0,,,,,,,,1.6,,0.0,-16.0,,,,,,,,-14.4,,-16.0,,,,,,,,True,,False
02290,81,49.0,,,,,,,,140.5,,20.0,-32.0,,,,,,,,59.5,,-61.0,,,,,,,,False,,False
04001,3065,868.0,,,,,,1488.0,,560.6,199.2,181.0,-2197.0,,,,,,-1577.0,,-2504.4,-2865.8,-2884.0,,,,,,True,,False,False,False
04003,4672,1239.0,,,,,,1308.0,,1079.3,457.8,843.0,-3433.0,,,,,,-3364.0,,-3592.7,-4214.2,-3829.0,,,,,,True,,False,False,False
04005,4898,2786.0,,,,,,1412.0,,1662.8,810.9,1456.0,-2112.0,,,,,,-3486.0,,-3235.2,-4087.1,-3442.0,,,,,,False,,False,False,False
04007,2108,1113.0,,,,,,468.0,,1189.0,491.9,1370.0,-995.0,,,,,,-1640.0,,-919.0,-1616.1,-738.0,,,,,,False,,True,False,True
04009,1678,1134.0,,,,,,414.0,,1473.1,375.6,539.0,-544.0,,,,,,-1264.0,,-204.9,-1302.4,-1139.0,,,,,,False,,True,False,False
04011,267,49.0,,,,,,97.0,,40.8,,12.0,-218.0,,,,,,-170.0,,-226.2,,-255.0,,,,,,True,,False,,False
04012,678,84.0,,,,,,98.0,,340.0,,60.0,-594.0,,,,,,-580.0,,-338.0,,-618.0,,,,,,True,,True,,False
04013,136938,48587.0,,,,,,29393.0,,34880.9,19813.1,45544.0,-88351.0,,,,,,-107545.0,,-102057.1,-117124.9,-91394.0,,,,,,False,,False,False,False
04015,6627,1974.0,,,,,,1353.0,,1614.0,990.5,1799.0,-4653.0,,,,,,-5274.0,,-5013.0,-5636.5,-4828.0,,,,,,False,,False,False,False
04017,4090,2030.0,,,,,,1971.0,,1386.6,727.2,3819.0,-2060.0,,,,,,-2119.0,,-2703.4,-3362.8,-271.0,,,,,,False,,False,False,True
04019,35582,10276.0,,,,,,5395.0,,8441.0,4145.6,14245.0,-25306.0,,,,,,-30187.0,,-27141.0,-31436.4,-21337.0,,,,,,False,,False,False,True
04021,13079,4557.0,,,,,,2458.0,,3761.4,1621.8,6416.0,-8522.0,,,,,,-10621.0,,-9317.6,-11457.2,-6663.0,,,,,,False,,False,False,True
04023,2621,462.0,,,,,,333.0,,332.0,138.9,0.0,-2159.0,,,,,,-2288.0,,-2289.0,-2482.1,-2621.0,,,,,,False,,False,False,False
04025,7170,1778.0,,,,,,1420.0,,1402.5,983.9,859.0,-5392.0,,,,,,-5750.0,,-5767.5,-6186.1,-6311.0,,,,,,False,,False,False,False
04027,12493,3129.0,,,,,,778.0,,2481.1,1340.6,6309.0,-9364.0,,,,,,-11715.0,,-10011.9,-11152.4,-6184.0,,,,,,False,,False,False,True
05001,474,441.0,,,,,,346.0,,564.5,,0.0,-33.0,,,,,,-128.0,,90.5,,-474.0,,,,,,False,,False,,False
05003,611,378.0,,,,,,295.0,,306.0,,275.0,-233.0,,,,,,-316.0,,-305.0,,-336.0,,,,,,False,,False,,False
05005,1041,1099.0,,,,,,695.0,,2675.8,,518.0,58.0,,,,,,-346.0,,1634.8,,-523.0,,,,,,False,,False,,False
05007,7410,6447.0,,,,,,4996.0,,5050.6,3621.4,4489.0,-963.0,,,,,,-2414.0,,-2359.4,-3788.6,-2921.0,,,,,,False,,False,False,False
05009,1267,721.0,,,,,,730.0,,626.2,502.4,1099.0,-546.0,,,,,,-537.0,,-640.8,-764.6,-168.0,,,,,,True,,False,False,True
05011,506,70.0,,,,,,109.0,,45.5,,57.0,-436.0,,,,,,-397.0,,-460.5,,-449.0,,,,,,True,,False,,False
05013,141,133.0,,,,,,83.0,,265.9,,163.0,-8.0,,,,,,-58.0,,124.9,,22.0,,,,,,False,,False,,False
05015,906,378.0,,,,,,418.0,,329.7,199.0,225.0,-528.0,,,,,,-488.0,,-576.3,-707.0,-681.0,,,,,,True,,False,False,False
05017,324,49.0,,,,,,178.0,,22.7,23.4,18.0,-275.0,,,,,,-146.0,,-301.3,-300.6,-306.0,,,,,,True,,False,False,False
05019,704,525.0,,,,,,386.0,,533.7,,520.0,-179.0,,,,,,-318.0,,-170.3,,-184.0,,,,,,False,,True,,False
05021,700,406.0,,,,,,308.0,,387.4,,189.0,-294.0,,,,,,-392.0,,-312.6,,-511.0,,,,,,False,,False,,False
05023,584,483.0,,,,,,594.0,,725.4,,579.0,-101.0,,,,,,10.0,,141.4,,-5.0,,,,,,True,,False,,True
05025,256,189.0,,,,,,133.0,,315.5,,93.0,-67.0,,,,,,-123.0,,59.5,,-163.0,,,,,,False,,True,,False
05027,692,371.0,,,,,,354.0,,391.8,,399.0,-321.0,,,,,,-338.0,,-300.2,,-293.0,,,,,,False,,True,,True
05029,811,294.0,,,,,,575.0,,231.6,,381.0,-517.0,,,,,,-236.0,,-579.4,,-430.0,,,,,,True,,False,,True
05031,4144,4417.0,,,,,,2559.0,,4506.3,4106.6,6731.0,273.0,,,,,,-1585.0,,362.3,-37.4,2587.0,,,,,,False,,False,True,False
05033,1866,1463.0,,,,,,1828.0,,1596.8,1481.7,1219.0,-403.0,,,,,,-38.0,,-269.2,-384.3,-647.0,,,,,,True,,True,True,False
05035,1495,1225.0,,,,,,842.0,,1068.4,853.0,196.0,-270.0,,,,,,-653.0,,-426.6,-642.0,-1299.0,,,,,,False,,False,False,False
05037,670,189.0,,,,,,387.0,,263.4,,0.0,-481.0,,,,,,-283.0,,-406.6,,-670.0,,,,,,True,,True,,False
05039,266,112.0,,,,,,133.0,,79.1,,178.0,-154.0,,,,,,-133.0,,-186.9,,-88.0,,,,,,True,,False,,True
05041,453,224.0,,,,,,181.0,,187.6,,97.0,-229.0,,,,,,-272.0,,-265.4,,-356.0,,,,,,False,,False,,False
05043,931,224.0,,,,,,318.0,,205.3,,212.0,-707.0,,,,,,-613.0,,-725.7,,-719.0,,,,,,True,,False,,False
05045,3359,1533.0,,,,,,2074.0,,1411.5,902.5,1099.0,-1826.0,,,,,,-1285.0,,-1947.5,-2456.5,-2260.0,,,,,,True,,False,False,False
05047,425,364.0,,,,,,435.0,,425.9,,0.0,-61.0,,,,,,10.0,,0.9,,-425.0,,,,,,True,,True,,False
05049,446,273.0,,,,,,187.0,,340.4,,127.0,-173.0,,,,,,-259.0,,-105.6,,-319.0,,,,,,False,,True,,False
05051,2598,1386.0,,,,,,2114.0,,1316.7,871.6,107.0,-1212.0,,,,,,-484.0,,-1281.3,-1726.4,-2491.0,,,,,,True,,False,False,False
05053,568,203.0,,,,,,311.0,,225.3,,183.0,-365.0,,,,,,-257.0,,-342.7,,-385.0,,,,,,True,,True,,False
05055,2368,1946.0,,,,,,1088.0,,2510.8,1268.9,563.0,-422.0,,,,,,-1280.0,,142.8,-1099.1,-1805.0,,,,,,False,,True,False,False
05057,523,567.0,,,,,,312.0,,675.0,,0.0,44.0,,,,,,-211.0,,152.0,,-523.0,,,,,,False,,False,,False
05059,1114,784.0,,,,,,804.0,,698.6,551.8,0.0,-330.0,,,,,,-310.0,,-415.4,-562.2,-1114.0,,,,,,True,,False,False,False
05061,391,413.0,,,,,,206.0,,424.8,,95.0,22.0,,,,,,-185.0,,33.8,,-296.0,,,,,,False,,False,,False
05063,1043,742.0,,,,,,1138.0,,616.0,644.7,468.0,-301.0,,,,,,95.0,,-427.0,-398.3,-575.0,,,,,,True,,False,False,False
05065,417,1225.0,,,,,,273.0,,832.6,,78.0,808.0,,,,,,-144.0,,415.6,,-339.0,,,,,,True,,True,,True
05067,1767,588.0,,,,,,500.0,,2220.6,,0.0,-1179.0,,,,,,-1267.0,,453.6,,-1767.0,,,,,,False,,True,,False
05069,1986,1652.0,,,,,,1132.0,,876.5,1111.4,0.0,-334.0,,,,,,-854.0,,-1109.5,-874.6,-1986.0,,,,,,False,,False,False,False
05071,642,238.0,,,,,,777.0,,171.4,189.5,92.0,-404.0,,,,,,135.0,,-470.6,-452.5,-550.0,,,,,,True,,False,False,False
05073,107,196.0,,,,,,77.0,,569.1,,91.0,89.0,,,,,,-30.0,,462.1,,-16.0,,,,,,True,,False,,True
05075,559,490.0,,,,,,430.0,,611.0,,52.0,-69.0,,,,,,-129.0,,52.0,,-507.0,,,,,,False,,True,,False
05077,294,35.0,,,,,,181.0,,25.0,33.3,15.0,-259.0,,,,,,-113.0,,-269.0,-260.7,-279.0,,,,,,True,,False,False,False
05079,435,140.0,,,,,,263.0,,66.3,208.7,22.0,-295.0,,,,,,-172.0,,-368.7,-226.3,-413.0,,,,,,True,,False,True,False
05081,258,259.0,,,,,,179.0,,324.1,,100.0,1.0,,,,,,-79.0,,66.1,,-158.0,,,,,,False,,False,,False
05083,696,252.0,,,,,,591.0,,150.6,,201.0,-444.0,,,,,,-105.0,,-545.4,,-495.0,,,,,,True,,False,,False
05085,1842,1232.0,,,,,,1203.0,,1071.5,743.8,729.0,-610.0,,,,,,-639.0,,-770.5,-1098.2,-1113.0,,,,,,False,,False,False,False
05087,506,203.0,,,,,,308.0,,203.0,,6.0,-303.0,,,,,,-198.0,,-303.0,,-500.0,,,,,,True,,False,,False
05089,375,280.0,,,,,,225.0,,951.6,,372.0,-95.0,,,,,,-150.0,,576.6,,-3.0,,,,,,False,,False,,True
05091,871,1358.0,,,,,,587.0,,2817.3,1173.8,0.0,487.0,,,,,,-284.0,,1946.3,302.8,-871.0,,,,,,True,,False,True,False
05093,1635,1456.0,,,,,,977.0,,1160.4,848.2,768.0,-179.0,,,,,,-658.0,,-474.6,-786.8,-867.0,,,,,,False,,False,False,False
05095,200,147.0,,,,,,170.0,,243.6,,100.0,-53.0,,,,,,-30.0,,43.6,,-100.0,,,,,,True,,True,,False
05097,269,84.0,,,,,,157.0,,82.0,,179.0,-185.0,,,,,,-112.0,,-187.0,,-90.0,,,,,,True,,False,,True
05099,223,210.0,,,,,,156.0,,295.5,,73.0,-13.0,,,,,,-67.0,,72.5,,-150.0,,,,,,False,,False,,False
05101,199,154.0,,,,,,135.0,,82.6,,14.0,-45.0,,,,,,-64.0,,-116.4,,-185.0,,,,,,False,,False,,False
05103,853,273.0,,,,,,424.0,,237.8,,187.0,-580.0,,,,,,-429.0,,-615.2,,-666.0,,,,,,True,,False,,False
05105,232,175.0,,,,,,164.0,,430.6,,250.0,-57.0,,,,,,-68.0,,198.6,,18.0,,,,,,False,,False,,True
05107,427,210.0,,,,,,372.0,,144.4,,0.0,-217.0,,,,,,-55.0,,-282.6,,-427.0,,,,,,True,,False,,False
05109,363,98.0,,,,,,184.0,,113.0,,80.0,-265.0,,,,,,-179.0,,-250.0,,-283.0,,,,,,True,,True,,False
05111,975,1106.0,,,,,,608.0,,1485.2,244.0,0.0,131.0,,,,,,-367.0,,510.2,-731.0,-975.0,,,,,,False,,False,False,False
05113,742,427.0,,,,,,404.0,,463.9,,572.0,-315.0,,,,,,-338.0,,-278.1,,-170.0,,,,,,False,,True,,True
05115,2207,1134.0,,,,,,1380.0,,856.0,1010.3,442.0,-1073.0,,,,,,-827.0,,-1351.0,-1196.7,-1765.0,,,,,,True,,False,False,False
05117,242,217.0,,,,,,178.0,,346.3,,81.0,-25.0,,,,,,-64.0,,104.3,,-161.0,,,,,,False,,False,,False
05119,9955,5432.0,,,,,,4873.0,,4199.5,5443.7,3731.0,-4523.0,,,,,,-5082.0,,-5755.5,-4511.3,-6224.0,,,,,,False,,False,True,False
05121,614,441.0,,,,,,472.0,,380.1,,0.0,-173.0,,,,,,-142.0,,-233.9,,-614.0,,,,,,True,,False,,False
05123,823,392.0,,,,,,620.0,,187.9,207.2,0.0,-431.0,,,,,,-203.0,,-635.1,-615.8,-823.0,,,,,,True,,False,False,False
05125,3802,2359.0,,,,,,2150.0,,2605.5,1974.5,3722.0,-1443.0,,,,,,-1652.0,,-1196.5,-1827.5,-80.0,,,,,,False,,True,False,True
05127,263,210.0,,,,,,209.0,,203.5,,78.0,-53.0,,,,,,-54.0,,-59.5,,-185.0,,,,,,False,,False,,False
05129,252,133.0,,,,,,167.0,,199.1,,82.0,-119.0,,,,,,-85.0,,-52.9,,-170.0,,,,,,True,,True,,False
05131,3581,2912.0,,,,,,3617.0,,2417.3,1745.9,3723.0,-669.0,,,,,,36.0,,-1163.7,-1835.1,142.0,,,,,,True,,False,False,True
05133,525,721.0,,,,,,323.0,,660.7,281.7,0.0,196.0,,,,,,-202.0,,135.7,-243.3,-525.0,,,,,,False,,True,False,False
05135,623,399.0,,,,,,340.0,,347.8,,505.0,-224.0,,,,,,-283.0,,-275.2,,-118.0,,,,,,False,,False,,True
