,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,90748,77338.0,85116.9,75747.7,87080.0,82420.0,,82266.1,72129.0,90673.2,84513.8,,110250.4,71153.0,93641.0,87287.7,103333.5,88840.0,49991.1,129136.5,108127.4,99895.5,99343.6,94928.7,106766.0,82246.0,,96829.5,57255.9,,71074.6,76809.6,83940.6,,86948.0,77048.9,,-13410.0,-5631.1,-15000.3,-3668.0,-8328.0,,-8481.9,-18619.0,-74.8,-6234.2,,19502.4,-19595.0,2893.0,-3460.3,12585.5,-1908.0,-40756.9,38388.5,17379.4,9147.5,8595.6,4180.7,16018.0,-8502.0,,6081.5,-33492.1,,-19673.4,-13938.4,-6807.4,,-3800.0,-13699.1,,True,False,True,True,,True,False,True,True,,False,False,True,True,True,True,False,False,False,True,True,True,False,True,,True,False,,False,False,True,,True,False,
Hawaii,1745,1546.0,1679.4,1545.2,1511.0,1647.0,,1464.3,994.0,2362.6,1954.7,,1617.0,,,1580.1,1042.1,1415.0,2422.0,1541.0,1488.8,1293.0,1862.4,1518.6,1921.0,1290.0,,1856.1,1297.7,,1224.9,1851.7,2155.7,,1716.0,1639.6,1357.6,-199.0,-65.6,-199.8,-234.0,-98.0,,-280.7,-751.0,617.6,209.7,,-128.0,,,-164.9,-702.9,-330.0,677.0,-204.0,-256.2,-452.0,117.4,-226.4,176.0,-455.0,,111.1,-447.3,,-520.1,106.7,410.7,,-29.0,-105.4,-387.4,True,False,False,True,,False,False,False,False,,True,,,True,False,False,False,False,False,False,True,False,True,False,,True,False,,False,True,False,,True,True,False
Idaho,15155,21854.0,27144.2,21823.4,21463.0,20686.0,,22080.2,16008.0,18139.7,21861.0,,21307.5,23773.0,24669.0,26598.0,24129.2,24776.0,13061.9,18937.5,22868.4,17939.5,18670.8,20108.9,24631.0,20331.0,,25308.0,14883.1,,18848.5,26459.6,20445.4,,23282.0,26437.3,22009.8,6699.0,11989.2,6668.4,6308.0,5531.0,,6925.2,853.0,2984.7,6706.0,,6152.5,8618.0,9514.0,11443.0,8974.2,9621.0,-2093.1,3782.5,7713.4,2784.5,3515.8,4953.9,9476.0,5176.0,,10153.0,-271.9,,3693.5,11304.6,5290.4,,8127.0,11282.3,6854.8,False,True,True,True,,False,True,True,False,,True,False,False,False,False,False,True,True,False,True,True,True,False,True,,False,True,,True,False,True,,False,False,False
Illinois,92454,123426.0,133547.8,121397.8,115482.0,117311.0,,116373.9,114174.0,108170.0,146302.1,,113626.4,133039.0,129642.0,125102.9,87265.5,101583.0,97234.0,121095.5,107025.5,104212.0,112352.3,116141.3,112666.0,106259.0,,115659.4,59464.9,,146497.7,174075.1,123680.6,129618.8,114059.0,124618.5,,30972.0,41093.8,28943.8,23028.0,24857.0,,23919.9,21720.0,15716.0,53848.1,,21172.4,40585.0,37188.0,32648.9,-5188.5,9129.0,4780.0,28641.5,14571.5,11758.0,19898.3,23687.3,20212.0,13805.0,,23205.4,-32989.1,,54043.7,81621.1,31226.6,37164.8,21605.0,32164.5,,False,True,True,True,,True,True,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,False,,False,False,False,False,True,False,
Indiana,72485,89034.0,100178.1,89891.9,88963.0,79696.0,,93625.2,103957.0,82880.4,105906.4,,97835.3,104511.0,96521.0,103728.0,74377.7,87597.0,51721.2,91810.0,97234.1,75020.0,86198.4,95994.4,95504.0,73657.0,,95596.2,50296.7,,76606.9,124913.3,87472.7,83087.6,93300.0,107945.5,81458.4,16549.0,27693.1,17406.9,16478.0,7211.0,,21140.2,31472.0,10395.4,33421.4,,25350.3,32026.0,24036.0,31243.0,1892.7,15112.0,-20763.8,19325.0,24749.1,2535.0,13713.4,23509.4,23019.0,1172.0,,23111.2,-22188.3,,4121.9,52428.3,14987.7,10602.6,20815.0,35460.5,8973.4,False,False,True,True,,False,False,True,False,,False,False,False,False,True,True,False,False,False,True,True,False,False,True,,False,False,,True,False,True,True,False,False,True
Iowa,19784,23248.0,38979.8,23497.9,20981.0,19218.0,,23443.7,45433.0,20678.1,24753.5,,16795.7,28359.0,29920.0,23744.6,13621.1,22549.0,14935.9,21872.0,16415.5,16182.5,21776.9,22073.6,17850.0,20687.0,,13994.4,15008.7,,22907.2,56871.8,29009.5,,19962.0,29910.7,17102.8,3464.0,19195.8,3713.9,1197.0,-566.0,,3659.7,25649.0,894.1,4969.5,,-2988.3,8575.0,10136.0,3960.6,-6162.9,2765.0,-4848.1,2088.0,-3368.5,-3601.5,1992.9,2289.6,-1934.0,903.0,,-5789.6,-4775.3,,3123.2,37087.8,9225.5,,178.0,10126.7,-2681.2,False,False,True,True,,False,False,True,False,,True,False,False,False,False,True,False,True,True,False,True,True,True,True,,False,False,,True,False,False,,True,False,True
Kansas,24529,34194.0,47208.4,33485.3,32014.0,31665.0,,33778.2,48212.0,10030.2,33359.7,,30356.8,31987.0,35210.0,36810.7,24112.3,38817.0,18314.4,26087.5,36899.8,36733.5,27384.7,38129.7,35845.0,31433.0,,29640.1,36403.0,,35236.5,53586.4,36322.1,,33990.0,37498.9,25877.9,9665.0,22679.4,8956.3,7485.0,7136.0,,9249.2,23683.0,-14498.8,8830.7,,5827.8,7458.0,10681.0,12281.7,-416.7,14288.0,-6214.6,1558.5,12370.8,12204.5,2855.7,13600.7,11316.0,6904.0,,5111.1,11874.0,,10707.5,29057.4,11793.1,,9461.0,12969.9,1348.9,False,True,True,True,,True,False,False,True,,True,True,False,False,True,False,True,True,False,False,True,False,False,True,,True,False,,False,False,False,,True,False,True
Kentucky,34903,45190.0,49138.7,45954.7,47160.0,43543.0,,48823.6,37787.0,37979.1,53810.0,,51665.6,54305.0,55786.0,57368.8,46299.8,44661.0,27061.1,49212.5,62188.5,42157.5,47141.0,51244.7,52018.0,38114.0,,53347.3,46438.1,,40169.8,65207.1,48083.2,,48947.0,57978.7,51852.3,10287.0,14235.7,11051.7,12257.0,8640.0,,13920.6,2884.0,3076.1,18907.0,,16762.6,19402.0,20883.0,22465.8,11396.8,9758.0,-7841.9,14309.5,27285.5,7254.5,12238.0,16341.7,17115.0,3211.0,,18444.3,11535.1,,5266.8,30304.1,13180.2,,14044.0,23075.7,16949.3,False,False,False,True,,False,True,True,False,,False,False,False,False,False,True,True,False,False,True,False,False,False,True,,False,False,,True,False,False,,False,False,False
Louisiana,32308,34028.0,42326.0,35290.9,35437.0,34462.0,,38738.6,56590.0,273987.3,31354.8,,42787.0,23613.0,37618.0,39264.9,37991.9,33460.0,27841.2,35815.0,50725.3,31800.5,35301.9,44480.2,37982.0,35388.0,,31495.7,60709.3,,28629.7,48807.7,36027.0,,33750.0,39027.5,36050.6,1720.0,10018.0,2982.9,3129.0,2154.0,,6430.6,24282.0,241679.3,-953.2,,10479.0,-8695.0,5310.0,6956.9,5683.9,1152.0,-4466.8,3507.0,18417.3,-507.5,2993.9,12172.2,5674.0,3080.0,,-812.3,28401.3,,-3678.3,16499.7,3719.0,,1442.0,6719.5,3742.6,False,False,False,False,,False,False,False,True,,False,False,False,False,False,True,False,False,False,True,False,False,False,False,,True,False,,False,False,False,,True,False,False
Maine,5927,4986.0,3967.7,4974.1,5592.0,6507.0,,4757.2,5498.0,3703.6,4662.9,,6878.2,4069.0,6334.0,5753.5,6492.0,6327.0,4481.6,4543.0,5659.4,5648.0,5551.2,5900.8,6140.0,5551.0,,6457.3,5702.4,,5884.2,4873.7,5275.8,,5924.0,5726.1,4144.9,-941.0,-1959.3,-952.9,-335.0,580.0,,-1169.8,-429.0,-2223.4,-1264.1,,951.2,-1858.0,407.0,-173.5,565.0,400.0,-1445.4,-1384.0,-267.6,-279.0,-375.8,-26.2,213.0,-376.0,,530.3,-224.6,,-42.8,-1053.3,-651.2,,-3.0,-200.9,-1782.1,False,False,True,True,,False,True,False,False,,False,False,True,True,True,True,False,False,True,True,True,True,True,True,,True,True,,True,False,True,,True,True,False
Maryland,33431,39250.0,42167.2,39399.5,41969.0,43782.0,,41143.3,58340.0,44816.7,42804.6,,47488.3,39636.0,45859.0,44685.3,40969.0,42883.0,32663.6,42708.0,47076.3,41157.5,42391.9,44956.0,48008.0,40314.0,,46353.3,40390.2,,38923.7,50521.6,38764.9,,41884.0,44771.7,38610.7,5819.0,8736.2,5968.5,8538.0,10351.0,,7712.3,24909.0,11385.7,9373.6,,14057.3,6205.0,12428.0,11254.3,7538.0,9452.0,-767.4,9277.0,13645.3,7726.5,8960.9,11525.0,14577.0,6883.0,,12922.3,6959.2,,5492.7,17090.6,5333.9,,8453.0,11340.7,5179.7,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,False,False,,True,False,True,,False,False,True
Massachusetts,63877,67416.0,85426.6,67468.8,78528.0,75583.0,,76003.5,69023.0,44338.0,101644.1,,104803.2,53273.0,79795.0,87296.7,106232.0,82186.0,54877.4,69954.0,94585.5,85483.0,76942.5,86239.0,66959.0,65220.0,,89375.5,53967.0,,74435.5,76999.5,59644.1,,94516.0,87526.4,99757.8,3539.0,21549.6,3591.8,14651.0,11706.0,,12126.5,5146.0,-19539.0,37767.1,,40926.2,-10604.0,15918.0,23419.7,42355.0,18309.0,-8999.6,6077.0,30708.5,21606.0,13065.5,22362.0,3082.0,1343.0,,25498.5,-9910.0,,10558.5,13122.5,-4232.9,,30639.0,23649.4,35880.8,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,False,False,,False,False,False,,False,False,False
Michigan,51167,77166.0,94241.6,77744.0,75787.0,58345.0,,82916.8,90997.0,115422.3,102311.6,,75371.9,94412.0,93021.0,98854.4,71133.9,77389.0,64655.5,95865.0,73654.7,55874.5,66292.6,74370.4,75516.0,60482.0,,67631.5,75895.7,,100283.7,141326.3,78682.9,39176.8,68062.0,106744.9,88039.4,25999.0,43074.6,26577.0,24620.0,7178.0,,31749.8,39830.0,64255.3,51144.6,,24204.9,43245.0,41854.0,47687.4,19966.9,26222.0,13488.5,44698.0,22487.7,4707.5,15125.6,23203.4,24349.0,9315.0,,16464.5,24728.7,,49116.7,90159.3,27515.9,-11990.2,16895.0,55577.9,36872.4,False,False,True,True,,False,False,False,False,,True,False,False,False,True,False,True,False,True,True,True,True,True,True,,True,True,,False,False,False,True,True,False,False
Minnesota,31147,60234.0,75348.1,63282.8,52385.0,47933.0,,65024.6,83879.0,41353.9,61082.5,,49790.4,73106.0,70400.0,69901.0,43867.9,53655.0,35179.6,53917.5,47132.9,32893.5,45834.3,59881.1,49309.0,46587.0,,51073.4,45842.7,,54102.4,119337.3,51903.2,,54283.0,73435.1,61212.7,29087.0,44201.1,32135.8,21238.0,16786.0,,33877.6,52732.0,10206.9,29935.5,,18643.4,41959.0,39253.0,38754.0,12720.9,22508.0,4032.6,22770.5,15985.9,1746.5,14687.3,28734.1,18162.0,15440.0,,19926.4,14695.7,,22955.4,88190.3,20756.2,,23136.0,42288.1,30065.7,False,False,True,True,,False,False,True,False,,True,False,False,False,True,True,True,True,True,True,True,True,True,True,,True,True,,True,False,True,,True,False,False
Mississippi,27076,28978.0,37159.2,28941.4,30578.0,23976.0,,30256.4,25215.0,29129.1,31247.2,,40279.6,30510.0,30512.0,36077.0,38885.6,32216.0,14116.1,29064.5,32637.7,32296.5,30295.1,33760.3,37563.0,27964.0,,37691.9,11697.8,,27429.0,36052.7,29106.0,,37327.0,36736.6,39237.0,1902.0,10083.2,1865.4,3502.0,-3100.0,,3180.4,-1861.0,2053.1,4171.2,,13203.6,3434.0,3436.0,9001.0,11809.6,5140.0,-12959.9,1988.5,5561.7,5220.5,3219.1,6684.3,10487.0,888.0,,10615.9,-15378.2,,353.0,8976.7,2030.0,,10251.0,9660.6,12161.0,False,True,False,False,,False,True,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,,True,False,False,,False,False,False
Missouri,40078,49600.0,59227.7,49013.3,49431.0,42918.0,,48029.9,68390.0,52856.4,57368.6,,44078.5,59067.0,56258.0,48754.3,34350.3,48853.0,29546.5,57473.5,44618.6,40967.0,52473.8,50545.9,48384.0,47571.0,,41033.5,24740.3,,49540.4,76248.5,50581.7,,50471.0,56591.9,,9522.0,19149.7,8935.3,9353.0,2840.0,,7951.9,28312.0,12778.4,17290.6,,4000.5,18989.0,16180.0,8676.3,-5727.7,8775.0,-10531.5,17395.5,4540.6,889.0,12395.8,10467.9,8306.0,7493.0,,955.5,-15337.7,,9462.4,36170.5,10503.7,,10393.0,16513.9,,False,True,True,True,,True,False,False,False,,True,False,False,True,True,True,False,False,True,True,False,False,True,True,,True,False,,True,False,False,,False,False,
Montana,6789,11150.0,11011.5,11438.7,9615.0,7265.0,,11091.3,7071.0,9491.4,8092.8,,9260.3,11738.0,12383.0,11778.9,7025.5,10838.0,4437.7,9173.5,8831.0,7519.5,9770.9,12350.0,10045.0,10296.0,,9984.6,11435.0,,8903.5,17253.0,14624.3,,10634.0,11550.5,7925.6,4361.0,4222.5,4649.7,2826.0,476.0,,4302.3,282.0,2702.4,1303.8,,2471.3,4949.0,5594.0,4989.9,236.5,4049.0,-2351.3,2384.5,2042.0,730.5,2981.9,5561.0,3256.0,3507.0,,3195.6,4646.0,,2114.5,10464.0,7835.3,,3845.0,4761.5,1136.6,True,False,True,True,,True,True,True,True,,True,False,False,False,True,True,True,True,True,True,True,False,True,True,,True,False,,True,False,False,,True,False,True
