,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01055,3343,1904.0,,1868.8,,1868.0,1802.0,,,,,2595.8,,1418.0,,1963.8,,1362.6,,2587.0,1699.3,,2343.0,,,,,2598.5,,,,,3069.5,-1439.0,,-1474.2,,-1475.0,-1541.0,,,,,-747.2,,-1925.0,,-1379.2,,-1980.4,,-756.0,-1643.7,,-1000.0,,,,,-744.5,,,,,-273.5,,False,,False,False,,,,,True,,False,,True,,False,,True,False,,True,,,,,True,,,,,True
01057,465,392.0,,399.5,,373.0,151.0,,,,,194.8,,242.0,,585.6,,171.8,,480.0,313.1,,393.0,,,,,,,,,,475.3,-73.0,,-65.5,,-92.0,-314.0,,,,,-270.2,,-223.0,,120.6,,-293.2,,15.0,-151.9,,-72.0,,,,,,,,,,10.3,,True,,False,False,,,,,False,,False,,False,,False,,True,False,,True,,,,,,,,,,True
01059,609,424.0,,422.4,,420.0,247.0,,,,,325.3,,581.0,,385.9,,312.2,,460.0,432.1,,590.0,,,,,392.2,,,,,590.6,-185.0,,-186.6,,-189.0,-362.0,,,,,-283.7,,-28.0,,-223.1,,-296.8,,-149.0,-176.9,,-19.0,,,,,-216.8,,,,,-18.4,,False,,False,False,,,,,False,,True,,False,,False,,True,True,,True,,,,,False,,,,,True
01061,364,264.0,,278.4,,261.0,206.0,,,,,178.2,,261.0,,182.8,,180.1,,305.0,302.2,,380.0,,,,,,,,,,271.9,-100.0,,-85.6,,-103.0,-158.0,,,,,-185.8,,-103.0,,-181.2,,-183.9,,-59.0,-61.8,,16.0,,,,,,,,,,-92.1,,True,,False,False,,,,,False,,False,,False,,False,,True,True,,True,,,,,,,,,,True
01063,199,120.0,,122.8,,86.0,22.0,,,,,47.4,,61.0,,326.8,,39.0,,54.0,86.3,,128.0,,,,,,,,,,176.1,-79.0,,-76.2,,-113.0,-177.0,,,,,-151.6,,-138.0,,127.8,,-160.0,,-145.0,-112.7,,-71.0,,,,,,,,,,-22.9,,True,,False,False,,,,,False,,False,,False,,False,,False,False,,True,,,,,,,,,,True
01065,408,240.0,,249.8,,206.0,182.0,,,,,130.1,,140.0,,203.9,,120.6,,273.5,198.9,,269.0,,,,,,,,,,241.4,-168.0,,-158.2,,-202.0,-226.0,,,,,-277.9,,-268.0,,-204.1,,-287.4,,-134.5,-209.1,,-139.0,,,,,,,,,,-166.6,,True,,False,False,,,,,False,,False,,False,,False,,True,False,,True,,,,,,,,,,True
01067,306,72.0,,69.7,,76.0,70.0,,,,,82.0,,151.0,,41.0,,78.6,,85.0,132.5,,219.0,,,,,,,,,,110.2,-234.0,,-236.3,,-230.0,-236.0,,,,,-224.0,,-155.0,,-265.0,,-227.4,,-221.0,-173.5,,-87.0,,,,,,,,,,-195.8,,False,,True,False,,,,,True,,True,,False,,True,,True,True,,True,,,,,,,,,,True
01069,1615,1044.0,,1032.2,,1124.0,1293.0,,,,,1362.0,,872.0,,1176.3,,641.1,,1670.0,1216.4,,1602.0,,,,,1013.1,,,,,1130.9,-571.0,,-582.8,,-491.0,-322.0,,,,,-253.0,,-743.0,,-438.7,,-973.9,,55.0,-398.6,,-13.0,,,,,-601.9,,,,,-484.1,,False,,True,True,,,,,True,,False,,True,,False,,True,True,,True,,,,,False,,,,,True
01071,1680,1276.0,,1322.5,,1148.0,1486.0,,,,,859.0,,785.0,,809.5,,526.0,,1162.0,1133.1,,1466.0,,,,,1067.3,,,,,1546.8,-404.0,,-357.5,,-532.0,-194.0,,,,,-821.0,,-895.0,,-870.5,,-1154.0,,-518.0,-546.9,,-214.0,,,,,-612.7,,,,,-133.2,,True,,False,True,,,,,False,,False,,False,,False,,False,False,,True,,,,,False,,,,,True
01073,16964,9148.0,,8857.3,12107.6,9056.0,6239.0,,,,,14067.7,,7274.0,,12011.8,,6404.6,,9705.0,10121.2,,12382.0,,,,,10551.3,6763.0,,,,11471.0,-7816.0,,-8106.7,-4856.4,-7908.0,-10725.0,,,,,-2896.3,,-9690.0,,-4952.2,,-10559.4,,-7259.0,-6842.8,,-4582.0,,,,,-6412.7,-10201.0,,,,-5493.0,,False,True,False,False,,,,,True,,False,,True,,False,,True,True,,True,,,,,True,False,,,,True
01075,330,280.0,,264.1,,195.0,183.0,,,,,117.2,,194.0,,225.4,,87.5,,163.0,194.4,,293.0,,,,,,,,,,265.5,-50.0,,-65.9,,-135.0,-147.0,,,,,-212.8,,-136.0,,-104.6,,-242.5,,-167.0,-135.6,,-37.0,,,,,,,,,,-64.5,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,True,,,,,,,,,,False
01077,1970,1464.0,,1327.6,,1471.0,1511.0,,,,,1302.3,,1510.0,,1917.9,,1096.1,,1912.5,1373.4,,2020.0,,,,,1644.7,,,,,1137.5,-506.0,,-642.4,,-499.0,-459.0,,,,,-667.7,,-460.0,,-52.1,,-873.9,,-57.5,-596.6,,50.0,,,,,-325.3,,,,,-832.5,,False,,True,True,,,,,False,,True,,True,,False,,True,False,,True,,,,,True,,,,,False
01079,645,312.0,,306.1,,358.0,374.0,,,,,221.8,,547.0,,1263.2,,232.6,,350.0,371.5,,581.0,,,,,,,,,,386.7,-333.0,,-338.9,,-287.0,-271.0,,,,,-423.2,,-98.0,,618.2,,-412.4,,-295.0,-273.5,,-64.0,,,,,,,,,,-258.3,,False,,True,True,,,,,False,,True,,False,,False,,True,True,,True,,,,,,,,,,True
01081,2043,1116.0,,1104.5,,1123.0,1275.0,,,,,1469.9,,1324.0,,949.1,,949.4,,1266.5,1211.8,,1863.0,,,,,695.9,1019.0,,,,1306.2,-927.0,,-938.5,,-920.0,-768.0,,,,,-573.1,,-719.0,,-1093.9,,-1093.6,,-776.5,-831.2,,-180.0,,,,,-1347.1,-1024.0,,,,-736.8,,False,,True,True,,,,,True,,True,,False,,False,,True,True,,True,,,,,False,False,,,,True
01083,2228,1124.0,,1085.0,,1158.0,941.0,,,,,2059.0,,1245.0,,1407.3,,765.2,,1339.0,1258.1,,1651.0,,,,,972.3,,,,,1239.7,-1104.0,,-1143.0,,-1070.0,-1287.0,,,,,-169.0,,-983.0,,-820.7,,-1462.8,,-889.0,-969.9,,-577.0,,,,,-1255.7,,,,,-988.3,,False,,True,False,,,,,True,,True,,True,,False,,True,True,,True,,,,,False,,,,,True
01085,119,68.0,,58.3,,60.0,41.0,,,,,56.1,,58.0,,97.4,,54.7,,54.0,72.2,,86.0,,,,,,,,,,107.3,-51.0,,-60.7,,-59.0,-78.0,,,,,-62.9,,-61.0,,-21.6,,-64.3,,-65.0,-46.8,,-33.0,,,,,,,,,,-11.7,,False,,False,False,,,,,False,,False,,True,,False,,False,True,,True,,,,,,,,,,True
01087,223,196.0,,188.2,,171.0,271.0,,,,,100.2,,105.0,,146.9,,121.8,,171.0,170.1,,243.0,,,,,,,,,,240.2,-27.0,,-34.8,,-52.0,48.0,,,,,-122.8,,-118.0,,-76.1,,-101.2,,-52.0,-52.9,,20.0,,,,,,,,,,17.2,,False,,False,False,,,,,False,,False,,False,,False,,False,False,,True,,,,,,,,,,True
01089,7815,4524.0,,4525.7,,4395.0,3670.0,,,,,3246.9,,3873.0,,3646.1,,2888.3,,5145.0,5044.8,,5741.0,,,,,5094.1,3713.0,,,,6872.9,-3291.0,,-3289.3,,-3420.0,-4145.0,,,,,-4568.1,,-3942.0,,-4168.9,,-4926.7,,-2670.0,-2770.2,,-2074.0,,,,,-2720.9,-4102.0,,,,-942.1,,True,,False,False,,,,,False,,False,,False,,False,,True,True,,True,,,,,True,False,,,,True
01091,525,216.0,,211.5,,202.0,70.0,,,,,144.1,,192.0,,99.7,,114.2,,284.0,238.1,,304.0,,,,,,,,,,239.0,-309.0,,-313.5,,-323.0,-455.0,,,,,-380.9,,-333.0,,-425.3,,-410.8,,-241.0,-286.9,,-221.0,,,,,,,,,,-286.0,,False,,False,False,,,,,False,,False,,False,,False,,True,True,,True,,,,,,,,,,True
01093,588,288.0,,257.4,,265.0,280.0,,,,,215.5,,470.0,,136.2,,160.6,,258.0,296.7,,467.0,,,,,,,,,,258.8,-300.0,,-330.6,,-323.0,-308.0,,,,,-372.5,,-118.0,,-451.8,,-427.4,,-330.0,-291.3,,-121.0,,,,,,,,,,-329.2,,False,,False,False,,,,,False,,True,,False,,False,,False,True,,True,,,,,,,,,,False
01095,2559,2248.0,,2246.6,,2079.0,2180.0,,,,,2637.1,,1474.0,,2176.7,,1526.4,,2290.5,1551.2,,2614.0,,,,,1307.1,,,,,3578.0,-311.0,,-312.4,,-480.0,-379.0,,,,,78.1,,-1085.0,,-382.3,,-1032.6,,-268.5,-1007.8,,55.0,,,,,-1251.9,,,,,1019.0,,False,,False,False,,,,,True,,False,,False,,False,,True,False,,True,,,,,False,,,,,False
01097,4809,2680.0,,2726.1,3886.3,2825.0,3664.0,,,,,4986.4,,3225.0,,2195.2,,2568.5,,3340.0,3212.0,,4764.0,,,,,2625.5,1323.0,,,,3522.0,-2129.0,,-2082.9,-922.7,-1984.0,-1145.0,,,,,177.4,,-1584.0,,-2613.8,,-2240.5,,-1469.0,-1597.0,,-45.0,,,,,-2183.5,-3486.0,,,,-1287.0,,True,True,True,True,,,,,True,,True,,False,,False,,True,True,,True,,,,,False,False,,,,True
01099,315,96.0,,88.0,,103.0,139.0,,,,,75.0,,179.0,,135.0,,82.3,,105.0,107.0,,278.0,,,,,,,,,,99.3,-219.0,,-227.0,,-212.0,-176.0,,,,,-240.0,,-136.0,,-180.0,,-232.7,,-210.0,-208.0,,-37.0,,,,,,,,,,-215.7,,False,,True,True,,,,,False,,True,,True,,False,,True,True,,True,,,,,,,,,,True
01101,3096,1560.0,,1573.8,,1475.0,1538.0,,,,,1396.2,,1714.0,,827.6,,1281.6,,1261.5,1589.1,,2645.0,,,,,1468.0,784.0,,,,1587.6,-1536.0,,-1522.2,,-1621.0,-1558.0,,,,,-1699.8,,-1382.0,,-2268.4,,-1814.4,,-1834.5,-1506.9,,-451.0,,,,,-1628.0,-2312.0,,,,-1508.4,,True,,False,False,,,,,False,,True,,False,,False,,False,True,,True,,,,,False,False,,,,True
01103,3498,2380.0,,2429.0,,2421.0,2350.0,,,,,3691.7,,1782.0,,3500.3,,1514.4,,3270.0,2370.1,,2767.0,,,,,2671.4,,,,,3001.9,-1118.0,,-1069.0,,-1077.0,-1148.0,,,,,193.7,,-1716.0,,2.3,,-1983.6,,-228.0,-1127.9,,-731.0,,,,,-826.6,,,,,-496.1,,True,,True,False,,,,,True,,False,,True,,False,,True,False,,True,,,,,True,,,,,True
01105,136,88.0,,77.3,,79.0,51.0,,,,,62.0,,74.0,,147.0,,43.0,,85.0,97.5,,131.0,,,,,,,,,,109.3,-48.0,,-58.7,,-57.0,-85.0,,,,,-74.0,,-62.0,,11.0,,-93.0,,-51.0,-38.5,,-5.0,,,,,,,,,,-26.7,,False,,False,False,,,,,False,,False,,True,,False,,False,True,,True,,,,,,,,,,True
01107,421,408.0,,414.8,,303.0,191.0,,,,,214.9,,226.0,,284.3,,160.3,,384.0,331.3,,404.0,,,,,,,,,,327.1,-13.0,,-6.2,,-118.0,-230.0,,,,,-206.1,,-195.0,,-136.7,,-260.7,,-37.0,-89.7,,-17.0,,,,,,,,,,-93.9,,True,,False,False,,,,,False,,False,,False,,False,,False,False,,False,,,,,,,,,,False
01109,310,220.0,,223.2,,218.0,226.0,,,,,160.9,,287.0,,99.7,,138.6,,176.0,198.2,,343.0,,,,,,,,,,241.7,-90.0,,-86.8,,-92.0,-84.0,,,,,-149.1,,-23.0,,-210.3,,-171.4,,-134.0,-111.8,,33.0,,,,,,,,,,-68.3,,True,,False,True,,,,,False,,True,,False,,False,,False,False,,True,,,,,,,,,,True
