,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MSRA-DeepST,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MSRA-DeepST,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MSRA-DeepST,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,129417,95421.0,131862.9,95262.3,102773.0,123233.0,,71330.5,107404.0,136842.2,131821.8,,111411.8,86335.0,93082.4,97323.6,119510.0,50076.5,188987.5,100477.7,103057.0,108590.9,100686.1,103315.1,128642.0,129386.0,,152156.2,58578.9,,103402.5,72281.1,,100321.0,101442.7,,-33996.0,2445.9,-34154.7,-26644.0,-6184.0,,-58086.5,-22013.0,7425.2,2404.8,,-18005.2,-43082.0,-36334.6,-32093.4,-9907.0,-79340.5,59570.5,-28939.3,-26360.0,-20826.1,-28730.9,-26101.9,-775.0,-31.0,,22739.2,-70838.1,,-26014.5,-57135.9,,-29096.0,-27974.3,,True,False,True,True,,False,True,True,True,,True,False,False,True,True,False,False,True,True,True,True,True,True,True,,True,False,,True,False,,True,True,
Hawaii,2518,1968.0,4708.0,1999.7,1965.0,1977.0,,1983.8,1544.0,1815.5,3786.8,,2029.1,,2089.4,1810.2,2062.0,2947.9,1931.5,2112.1,1820.0,2726.4,2803.8,2714.1,2065.0,2591.0,,1934.6,1791.4,,1512.5,3276.7,,1937.0,1677.2,214.9,-550.0,2190.0,-518.3,-553.0,-541.0,,-534.2,-974.0,-702.5,1268.8,,-488.9,,-428.6,-707.8,-456.0,429.9,-586.5,-405.9,-698.0,208.4,285.8,196.1,-453.0,73.0,,-583.4,-726.6,,-1005.5,758.7,,-581.0,-840.8,-2303.1,False,True,False,True,,True,False,False,False,,True,,True,False,True,True,False,True,False,True,True,True,True,True,,False,False,,False,False,,False,False,False
Idaho,26082,30135.0,42103.2,30172.3,29574.0,29633.0,,28631.6,25475.0,30540.6,22816.4,,27637.6,31406.0,35733.1,25101.6,28411.0,17193.5,27416.5,31902.3,27153.0,30318.4,28305.3,29077.8,32578.0,33412.0,,30140.0,23313.6,,30560.4,43291.8,,28674.0,32129.9,4206.6,4053.0,16021.2,4090.3,3492.0,3551.0,,2549.6,-607.0,4458.6,-3265.6,,1555.6,5324.0,9651.1,-980.4,2329.0,-8888.5,1334.5,5820.3,1071.0,4236.4,2223.3,2995.8,6496.0,7330.0,,4058.0,-2768.4,,4478.4,17209.8,,2592.0,6047.9,-21875.4,False,False,True,True,,True,True,False,True,,True,False,False,True,True,False,True,False,True,False,True,True,False,False,,False,True,,False,False,,True,False,False
Illinois,154167,201117.0,208614.1,191594.5,191520.0,222813.0,,186476.1,211477.0,275139.6,149951.2,,165915.9,188071.0,204919.2,133035.9,189968.0,145414.1,208749.5,157722.3,174115.5,177771.5,166928.5,159140.5,161041.0,203921.0,,212511.4,105433.6,,249458.5,317032.8,137460.8,168469.0,186371.7,,46950.0,54447.1,37427.5,37353.0,68646.0,,32309.1,57310.0,120972.6,-4215.8,,11748.9,33904.0,50752.2,-21131.1,35801.0,-8752.9,54582.5,3555.3,19948.5,23604.5,12761.5,4973.5,6874.0,49754.0,,58344.4,-48733.4,,95291.5,162865.8,-16706.2,14302.0,32204.7,,False,True,True,False,,True,False,False,True,,True,True,False,True,True,True,False,True,True,True,True,True,True,False,,False,False,,False,False,True,True,True,
Indiana,117002,138033.0,160427.4,142234.2,145866.0,137934.0,,133137.5,164965.0,157488.2,111614.8,,148489.7,133772.0,182011.3,108614.7,122269.0,79033.3,145737.0,147119.1,156938.5,149070.2,129308.8,132366.9,139428.0,138223.0,,198234.0,84123.0,,178782.6,209104.7,102750.6,153127.0,187914.0,19349.1,21031.0,43425.4,25232.2,28864.0,20932.0,,16135.5,47963.0,40486.2,-5387.2,,31487.7,16770.0,65009.3,-8387.3,5267.0,-37968.7,28735.0,30117.1,39936.5,32068.2,12306.8,15364.9,22426.0,21221.0,,81232.0,-32879.0,,61780.6,92102.7,-14251.4,36125.0,70912.0,-97652.9,False,False,False,True,,True,False,False,True,,False,True,False,True,True,False,False,False,False,False,True,True,False,False,,False,False,,False,False,True,False,False,False
Iowa,31408,48618.0,62910.5,50126.1,47069.0,34788.0,,46767.7,91300.0,61168.1,36338.8,,28936.5,51941.0,49650.7,23320.0,52921.0,27227.8,44252.0,28203.0,33659.5,37964.2,35912.6,32540.1,34246.0,56446.0,,38181.9,27229.3,,48456.3,113648.9,,30590.0,54143.6,4497.1,17210.0,31502.5,18718.1,15661.0,3380.0,,15359.7,59892.0,29760.1,4930.8,,-2471.5,20533.0,18242.7,-8088.0,21513.0,-4180.2,12844.0,-3205.0,2251.5,6556.2,4504.6,1132.1,2838.0,25038.0,,6773.9,-4178.7,,17048.3,82240.9,,-818.0,22735.6,-26910.9,False,False,True,True,,True,False,False,True,,True,False,False,True,False,True,True,True,True,True,True,True,True,False,,True,True,,True,False,,True,False,False
Kansas,41636,47589.0,81190.4,47057.4,45111.0,40078.0,,53422.0,73584.0,28951.5,24034.0,,5650.9,44874.0,67999.1,40028.2,52671.0,29150.6,43118.0,34711.2,38486.0,36633.1,41588.6,44744.9,45914.0,51134.0,,37758.5,56719.8,,47497.4,104028.5,,26786.0,45941.1,8274.0,5953.0,39554.4,5421.4,3475.0,-1558.0,,11786.0,31948.0,-12684.5,-17602.0,,-35985.1,3238.0,26363.1,-1607.8,11035.0,-12485.4,1482.0,-6924.8,-3150.0,-5002.9,-47.4,3108.9,4278.0,9498.0,,-3877.5,15083.8,,5861.4,62392.5,,-14850.0,4305.1,-33362.0,False,True,True,True,,False,False,False,False,,False,True,False,True,False,False,True,False,True,True,True,True,True,False,,True,False,,True,False,,False,True,False
Kentucky,57498,71646.0,98794.4,71690.7,74077.0,72580.0,,69803.8,54142.0,80258.0,85580.8,,88765.7,66054.0,97096.8,77776.6,65234.0,39011.5,84918.5,92634.4,68051.0,72657.1,73214.3,75140.0,84086.0,76469.0,,100016.0,69028.3,,85105.1,97769.5,,80657.0,84593.2,12277.1,14148.0,41296.4,14192.7,16579.0,15082.0,,12305.8,-3356.0,22760.0,28082.8,,31267.7,8556.0,39598.8,20278.6,7736.0,-18486.5,27420.5,35136.4,10553.0,15159.1,15716.3,17642.0,26588.0,18971.0,,42518.0,11530.3,,27607.1,40271.5,,23159.0,27095.2,-45220.9,False,False,False,False,,True,True,False,False,,False,True,False,False,True,False,False,False,True,False,False,False,False,False,,False,True,,False,False,,False,False,False
Louisiana,49322,49725.0,53642.1,50244.8,54996.0,56907.0,,55100.0,56787.0,456576.8,121026.2,,51012.6,57642.0,68972.0,106567.7,51781.0,41869.5,53285.5,108341.2,42353.5,52262.3,68414.6,68289.5,55348.0,67162.0,,39057.0,84974.0,,42192.0,84072.9,,51608.0,59750.8,8600.6,403.0,4320.1,922.8,5674.0,7585.0,,5778.0,7465.0,407254.8,71704.2,,1690.6,8320.0,19650.0,57245.7,2459.0,-7452.5,3963.5,59019.2,-6968.5,2940.3,19092.6,18967.5,6026.0,17840.0,,-10265.0,35652.0,,-7130.0,34750.9,,2286.0,10428.8,-40721.4,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Maine,8420,5517.0,5947.5,5367.4,5902.0,6972.0,,4213.0,7877.0,3915.4,17914.3,,2959.9,6325.0,5831.5,5398.4,6529.0,5418.9,5050.0,6394.0,6008.0,6191.2,6066.0,6284.4,6057.0,10252.0,,8029.4,8709.5,,7656.6,6946.6,,5776.0,5486.4,714.3,-2903.0,-2472.5,-3052.6,-2518.0,-1448.0,,-4207.0,-543.0,-4504.6,9494.3,,-5460.1,-2095.0,-2588.5,-3021.6,-1891.0,-3001.1,-3370.0,-2026.0,-2412.0,-2228.8,-2354.0,-2135.6,-2363.0,1832.0,,-390.6,289.5,,-763.4,-1473.4,,-2644.0,-2933.6,-7705.7,True,False,True,True,,False,True,False,False,,False,True,True,False,True,False,False,True,True,True,True,True,True,True,,True,True,,True,True,,True,False,False
Maryland,53056,53808.0,65137.7,53569.1,62891.0,68466.0,,53263.5,94581.0,76540.8,71179.8,,73389.0,48606.0,65259.4,52807.5,51413.0,50590.1,59793.5,70019.8,55597.0,65425.4,61662.9,62894.8,66573.0,66045.0,,75931.0,57746.7,,65428.0,78260.1,,55649.0,66210.7,12476.7,752.0,12081.7,513.1,9835.0,15410.0,,207.5,41525.0,23484.8,18123.8,,20333.0,-4450.0,12203.4,-248.5,-1643.0,-2465.9,6737.5,16963.8,2541.0,12369.4,8606.9,9838.8,13517.0,12989.0,,22875.0,4690.7,,12372.0,25204.1,,2593.0,13154.7,-40579.3,False,True,False,False,,True,False,False,False,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False
Massachusetts,97585,88644.0,92346.4,91739.9,96781.0,135824.0,,74884.0,88010.0,77041.8,96249.4,,117753.0,88830.0,87030.5,102590.4,112096.0,77876.4,84282.0,132150.0,115607.0,113294.4,114093.2,115264.1,77229.0,105097.0,,126296.7,78348.2,,109266.5,98367.3,,124275.0,121005.2,9800.1,-8941.0,-5238.6,-5845.1,-804.0,38239.0,,-22701.0,-9575.0,-20543.2,-1335.6,,20168.0,-8755.0,-10554.5,5005.4,14511.0,-19708.6,-13303.0,34565.0,18022.0,15709.4,16508.2,17679.1,-20356.0,7512.0,,28711.7,-19236.8,,11681.5,782.3,,26690.0,23420.2,-87784.9,True,True,True,False,,False,False,False,True,,False,True,False,True,False,False,False,False,False,False,False,False,False,True,,False,False,,False,True,,False,False,False
Michigan,89750,145272.0,182747.9,140248.3,148413.0,124823.0,,161677.9,180551.0,235420.4,105186.1,,157054.2,161729.0,189564.0,136415.8,147526.0,119511.7,183937.5,155963.4,116040.5,131470.1,130762.4,132597.3,150225.0,144490.0,,124198.0,121272.0,,161303.2,267697.4,119204.4,107332.0,189385.0,23333.2,55522.0,92997.9,50498.3,58663.0,35073.0,,71927.9,90801.0,145670.4,15436.1,,67304.2,71979.0,99814.0,46665.8,57776.0,29761.7,94187.5,66213.4,26290.5,41720.1,41012.4,42847.3,60475.0,54740.0,,34448.0,31522.0,,71553.2,177947.4,29454.4,17582.0,99635.0,-66416.8,False,True,False,True,,False,False,False,True,,False,False,False,True,False,True,False,False,True,True,True,True,False,True,,True,True,,False,False,True,True,False,False
Minnesota,61264,123774.0,120962.9,125988.1,120505.0,120366.0,,129499.4,259408.0,111675.2,111514.8,,104535.1,130416.0,155007.7,85341.4,117212.0,58978.8,115850.5,99378.5,71445.5,102001.6,116345.0,114128.2,105738.0,122040.0,,105302.4,77320.3,,137995.0,226754.0,,117736.0,181014.3,22011.1,62510.0,59698.9,64724.1,59241.0,59102.0,,68235.4,198144.0,50411.2,50250.8,,43271.1,69152.0,93743.7,24077.4,55948.0,-2285.2,54586.5,38114.5,10181.5,40737.6,55081.0,52864.2,44474.0,60776.0,,44038.4,16056.3,,76731.0,165490.0,,56472.0,119750.3,-39252.9,True,False,True,True,,False,False,True,True,,True,False,False,True,True,True,True,True,True,True,True,True,True,True,,True,True,,False,False,,True,False,True
Mississippi,41565,40554.0,33596.9,40546.5,41228.0,36427.0,,33068.7,35219.0,48482.0,45796.9,,55028.4,40337.0,44274.1,51687.2,47516.0,20004.5,39337.0,40762.7,41951.0,42000.9,41260.7,42324.3,50784.0,50881.0,,52180.7,17878.8,,32346.6,39198.3,,52195.0,43877.8,6000.6,-1011.0,-7968.1,-1018.5,-337.0,-5138.0,,-8496.3,-6346.0,6917.0,4231.9,,13463.4,-1228.0,2709.1,10122.2,5951.0,-21560.5,-2228.0,-802.3,386.0,435.9,-304.3,759.3,9219.0,9316.0,,10615.7,-23686.2,,-9218.4,-2366.7,,10630.0,2312.8,-35564.4,False,False,True,False,,False,False,False,False,,False,False,False,False,False,False,False,True,True,True,True,True,False,False,,False,False,,False,False,,False,False,False
Missouri,64675,79479.0,140428.1,78110.7,80448.0,72046.0,,80577.4,129913.0,95406.4,64933.9,,79681.6,81265.0,100128.8,42501.3,82993.0,43075.2,103275.0,68029.5,77006.5,83805.0,75021.7,74303.6,71530.0,91711.0,,,50862.5,,82370.4,137678.7,,74600.0,78496.0,,14804.0,75753.1,13435.7,15773.0,7371.0,,15902.4,65238.0,30731.4,258.9,,15006.6,16590.0,35453.8,-22173.7,18318.0,-21599.8,38600.0,3354.5,12331.5,19130.0,10346.7,9628.6,6855.0,27036.0,,,-13812.5,,17695.4,73003.7,,9925.0,13821.0,,False,True,False,True,,False,False,False,True,,False,False,False,False,False,False,False,True,True,False,True,True,True,False,,,True,,False,False,,True,True,
Montana,12364,18672.0,12398.2,17671.8,15375.0,11009.0,,18322.2,12234.0,13246.8,9067.1,,13155.1,20789.0,27047.7,14833.9,20586.0,7278.2,17100.5,13955.2,13738.0,17535.2,20769.4,19540.7,15451.0,20260.0,,15372.6,18206.1,,14267.8,34695.0,,14844.0,20544.4,3100.5,6308.0,34.2,5307.8,3011.0,-1355.0,,5958.2,-130.0,882.8,-3296.9,,791.1,8425.0,14683.7,2469.9,8222.0,-5085.8,4736.5,1591.2,1374.0,5171.2,8405.4,7176.7,3087.0,7896.0,,3008.6,5842.1,,1903.8,22331.0,,2480.0,8180.4,-9263.5,True,True,True,True,,True,True,True,True,,True,False,False,True,False,True,True,True,True,True,False,False,True,False,,True,True,,True,False,,True,False,False
Nebraska,22769,39735.0,58979.0,38579.8,38711.0,40819.0,,39183.8,44832.0,42323.1,26087.9,,32525.3,43065.0,36029.2,26333.9,42728.0,24021.4,32636.5,33663.3,38509.0,35586.3,38926.7,38267.6,39309.0,42641.0,,45466.7,47957.0,,34665.8,73349.2,,38739.0,45829.3,4928.7,16966.0,36210.0,15810.8,15942.0,18050.0,,16414.8,22063.0,19554.1,3318.9,,9756.3,20296.0,13260.2,3564.9,19959.0,1252.4,9867.5,10894.3,15740.0,12817.3,16157.7,15498.6,16540.0,19872.0,,22697.7,25188.0,,11896.8,50580.2,,15970.0,23060.3,-17840.3,False,True,True,False,,True,False,False,True,,True,False,True,True,False,True,True,True,True,True,True,True,True,False,,False,False,,True,False,,True,False,False
