,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Wadhwani_AI-BayesOpt,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Wadhwani_AI-BayesOpt
Georgia,46488,44260.0,51689.6,42841.6,47678.0,41946.0,,46461.2,38182.0,40327.7,50943.3,52352.1,,52456.2,48452.0,47747.3,49010.9,49366.0,27377.5,32499.0,58558.6,55638.5,50017.1,53557.3,52865.0,49157.0,,53324.6,33607.0,,41762.4,39108.0,41511.8,34135.0,45313.0,44844.8,,-2228.0,5201.6,-3646.4,1190.0,-4542.0,,-26.8,-8306.0,-6160.3,4455.3,5864.1,,5968.2,1964.0,1259.3,2522.9,2878.0,-19110.5,-13989.0,12070.6,9150.5,3529.1,7069.3,6377.0,2669.0,,6836.6,-12881.0,,-4725.6,-7380.0,-4976.2,-12353.0,-1175.0,-1643.2,,False,False,True,False,,True,False,False,False,False,,False,True,True,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,True,True,
Hawaii,881,864.0,424.4,858.3,895.0,933.0,,897.4,527.0,860.7,876.9,989.8,,1112.5,,837.8,954.4,862.0,1475.6,851.5,770.6,896.5,1188.9,1051.9,967.0,1140.0,,1018.3,696.8,,784.2,772.8,951.9,1021.2,1023.0,782.0,834.3,-17.0,-456.6,-22.7,14.0,52.0,,16.4,-354.0,-20.3,-4.1,108.8,,231.5,,-43.2,73.4,-19.0,594.6,-29.5,-110.4,15.5,307.9,170.9,86.0,259.0,,137.3,-184.2,,-96.8,-108.2,70.9,140.2,142.0,-99.0,-46.7,False,False,True,False,,True,False,False,True,False,,False,,False,False,False,False,False,False,True,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Idaho,6718,8437.0,9263.5,8348.7,8437.0,7856.0,,9216.1,7221.0,10989.6,6681.9,9382.7,,8238.9,8882.0,10381.5,7323.8,8337.0,6117.4,8965.0,9604.1,7610.5,8354.9,8604.2,10185.0,8302.0,,8559.4,8457.6,,7815.1,11188.4,6980.2,9797.7,7503.0,9985.3,11237.0,1719.0,2545.5,1630.7,1719.0,1138.0,,2498.1,503.0,4271.6,-36.1,2664.7,,1520.9,2164.0,3663.5,605.8,1619.0,-600.6,2247.0,2886.1,892.5,1636.9,1886.2,3467.0,1584.0,,1841.4,1739.6,,1097.1,4470.4,262.2,3079.7,785.0,3267.3,4519.0,False,True,False,True,,False,True,False,True,False,,True,False,False,True,True,True,False,False,True,True,False,False,True,,False,False,,True,False,True,False,True,False,False
Illinois,39775,52679.0,49362.8,52611.4,49202.0,45096.0,,52579.3,44603.0,38032.9,43226.9,63225.2,,47583.3,57154.0,63309.7,40595.7,49045.0,38183.1,52419.0,50456.7,40641.5,47070.1,49105.9,56595.0,48252.0,,50292.8,37819.5,,52901.4,64458.1,52069.4,44753.5,51046.0,56476.4,,12904.0,9587.8,12836.4,9427.0,5321.0,,12804.3,4828.0,-1742.1,3451.9,23450.2,,7808.3,17379.0,23534.7,820.7,9270.0,-1591.9,12644.0,10681.7,866.5,7295.1,9330.9,16820.0,8477.0,,10517.8,-1955.5,,13126.4,24683.1,12294.4,4978.5,11271.0,16701.4,,True,True,True,True,,True,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,True,,False,False,True,True,True,False,
Indiana,34150,38335.0,41577.7,38453.7,38812.0,34113.0,,40775.7,32789.0,33023.0,32013.8,45390.2,,38811.9,42664.0,49603.8,30308.4,43406.0,24774.3,42624.5,40329.6,34466.0,37868.5,40562.4,43811.0,35070.0,,39347.2,34173.7,,42736.1,47935.1,34211.3,36074.8,38675.0,46913.8,47310.0,4185.0,7427.7,4303.7,4662.0,-37.0,,6625.7,-1361.0,-1127.0,-2136.2,11240.2,,4661.9,8514.0,15453.8,-3841.6,9256.0,-9375.7,8474.5,6179.6,316.0,3718.5,6412.4,9661.0,920.0,,5197.2,23.7,,8586.1,13785.1,61.3,1924.8,4525.0,12763.8,13160.0,False,False,False,True,,False,True,True,True,False,,False,False,False,True,False,False,False,False,True,True,False,False,True,,False,True,,False,False,True,True,False,False,False
Iowa,7834,11950.0,14574.7,11310.6,9278.0,9313.0,,9815.6,7289.0,6955.2,10340.5,14097.3,,8849.6,12566.0,13655.5,5491.0,11225.0,9268.7,7912.0,8269.7,7007.5,9277.6,9374.9,11896.0,11989.0,,9097.1,6140.0,,12920.4,18574.3,12890.0,17323.4,10950.0,14242.0,8561.3,4116.0,6740.7,3476.6,1444.0,1479.0,,1981.6,-545.0,-878.8,2506.5,6263.3,,1015.6,4732.0,5821.5,-2343.0,3391.0,1434.7,78.0,435.7,-826.5,1443.6,1540.9,4062.0,4155.0,,1263.1,-1694.0,,5086.4,10740.3,5056.0,9489.4,3116.0,6408.0,727.3,False,True,True,True,,True,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,True,True,False,,True,True,,False,False,False,False,True,False,True
Kansas,9324,15189.0,16561.7,15031.5,14290.0,12759.0,,14772.6,13291.0,5881.2,12875.3,13564.0,,10804.5,14362.0,16918.9,13781.0,15942.0,10270.4,10850.0,14203.0,6727.0,11967.6,15159.4,18400.0,13135.0,,12271.3,11526.9,,15377.8,19841.1,14231.4,17015.3,14665.0,20833.8,15479.1,5865.0,7237.7,5707.5,4966.0,3435.0,,5448.6,3967.0,-3442.8,3551.3,4240.0,,1480.5,5038.0,7594.9,4457.0,6618.0,946.4,1526.0,4879.0,-2597.0,2643.6,5835.4,9076.0,3811.0,,2947.3,2202.9,,6053.8,10517.1,4907.4,7691.3,5341.0,11509.8,6155.1,False,True,True,True,,True,True,True,True,True,,True,True,False,True,False,True,True,True,True,True,True,False,True,,True,True,,False,False,True,False,True,False,False
Kentucky,14999,19904.0,20199.2,19767.6,20150.0,18497.0,,21166.3,20917.0,20356.4,18181.2,24685.5,,19465.2,21982.0,24639.4,20296.1,20815.0,12961.9,22171.5,20354.9,15734.5,17254.0,20408.5,24151.0,18686.0,,17993.1,23186.6,,19494.5,25368.5,19295.5,22233.1,20232.0,23538.7,23058.9,4905.0,5200.2,4768.6,5151.0,3498.0,,6167.3,5918.0,5357.4,3182.2,9686.5,,4466.2,6983.0,9640.4,5297.1,5816.0,-2037.1,7172.5,5355.9,735.5,2255.0,5409.5,9152.0,3687.0,,2994.1,8187.6,,4495.5,10369.5,4296.5,7234.1,5233.0,8539.7,8059.9,False,True,False,True,,False,False,False,True,False,,True,False,False,False,False,True,False,False,True,True,False,False,True,,True,False,,True,False,True,False,False,False,False
Louisiana,14065,18243.0,19261.8,18053.9,18248.0,18248.0,,17928.7,20848.0,154212.2,19641.9,14474.2,,18219.2,18553.0,18690.5,15180.5,19752.0,13368.1,16615.0,21366.5,13959.5,16708.7,19208.2,20360.0,19264.0,,18358.5,28516.5,,17477.2,18859.7,16869.8,16095.4,16060.0,22365.7,20220.4,4178.0,5196.8,3988.9,4183.0,4183.0,,3863.7,6783.0,140147.2,5576.9,409.2,,4154.2,4488.0,4625.5,1115.5,5687.0,-696.9,2550.0,7301.5,-105.5,2643.7,5143.2,6295.0,5199.0,,4293.5,14451.5,,3412.2,4794.7,2804.8,2030.4,1995.0,8300.7,6155.4,False,True,False,False,,True,False,False,False,True,,True,False,False,True,False,True,True,False,True,True,False,False,False,,False,False,,True,False,True,True,True,False,False
Maine,2809,3118.0,2281.1,3126.7,3298.0,3155.0,,3092.8,2775.0,1597.3,3792.8,3972.8,,3622.4,3236.0,3608.1,4589.0,3632.0,3588.4,2893.5,3963.5,3298.5,2831.9,3338.2,3823.0,3676.0,,3362.4,3281.7,,3298.6,2465.5,2752.2,3903.5,3473.0,3344.0,4438.8,309.0,-527.9,317.7,489.0,346.0,,283.8,-34.0,-1211.7,983.8,1163.8,,813.4,427.0,799.1,1780.0,823.0,779.4,84.5,1154.5,489.5,22.9,529.2,1014.0,867.0,,553.4,472.7,,489.6,-343.5,-56.8,1094.5,664.0,535.0,1629.8,False,False,False,False,,True,True,False,False,False,,False,False,False,False,False,False,True,False,False,True,False,False,False,,False,False,,False,False,True,False,False,False,False
Maryland,16686,16745.0,19433.6,17076.1,17526.0,15439.0,,18469.2,20696.0,17962.9,16768.1,19480.9,,16603.2,18353.0,19872.2,17282.1,19399.0,15141.0,19119.0,17850.4,13904.0,15017.8,17516.2,20045.0,17863.0,,16210.6,23528.8,,17635.0,21362.6,15281.6,15129.0,17164.0,23013.8,23616.9,59.0,2747.6,390.1,840.0,-1247.0,,1783.2,4010.0,1276.9,82.1,2794.9,,-82.8,1667.0,3186.2,596.1,2713.0,-1545.0,2433.0,1164.4,-2782.0,-1668.2,830.2,3359.0,1177.0,,-475.4,6842.8,,949.0,4676.6,-1404.4,-1557.0,478.0,6327.8,6930.9,False,False,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,False,False,False,False
Massachusetts,30332,33545.0,35750.1,33787.0,35043.0,31605.0,,36841.7,31183.0,23434.2,30868.6,49918.1,,36690.3,35908.0,42302.1,35042.6,38301.0,26578.0,34625.5,47451.2,28416.0,31552.5,37435.6,33596.0,35080.0,,37611.6,42028.7,,33168.2,35160.0,27614.5,38886.4,34112.0,44349.1,57024.7,3213.0,5418.1,3455.0,4711.0,1273.0,,6509.7,851.0,-6897.8,536.6,19586.1,,6358.3,5576.0,11970.1,4710.6,7969.0,-3754.0,4293.5,17119.2,-1916.0,1220.5,7103.6,3264.0,4748.0,,7279.6,11696.7,,2836.2,4828.0,-2717.5,8554.4,3780.0,14017.1,26692.7,False,False,False,True,,False,True,False,True,False,,False,False,False,False,False,False,False,False,True,True,False,False,False,,False,False,,True,False,True,False,False,False,False
Michigan,20270,30897.0,32102.8,31258.9,26712.0,24113.0,,31405.6,22755.0,47371.2,24719.9,36881.3,,24976.0,32138.0,37204.7,19031.6,26326.0,27411.3,32618.0,30203.7,23836.0,26204.5,27398.1,36764.0,25681.0,,22867.7,28890.5,,38098.3,45332.7,30411.3,35190.0,28113.0,44187.4,32547.4,10627.0,11832.8,10988.9,6442.0,3843.0,,11135.6,2485.0,27101.2,4449.9,16611.3,,4706.0,11868.0,16934.7,-1238.4,6056.0,7141.3,12348.0,9933.7,3566.0,5934.5,7128.1,16494.0,5411.0,,2597.7,8620.5,,17828.3,25062.7,10141.3,14920.0,7843.0,23917.4,12277.4,False,False,True,True,,False,True,False,True,False,,True,False,False,True,True,True,False,True,True,True,True,False,True,,True,True,,False,False,True,False,True,False,False
Minnesota,11910,19237.0,24170.6,19184.0,17356.0,14692.0,,20636.3,17965.0,16996.6,11542.5,19303.7,,12503.3,22464.0,24899.5,10197.5,16784.0,13707.4,17830.0,18122.9,11916.0,15691.9,17709.4,22679.0,16039.0,,12520.0,18978.8,,18065.7,37066.0,16285.3,15416.8,17818.0,28159.8,22368.8,7327.0,12260.6,7274.0,5446.0,2782.0,,8726.3,6055.0,5086.6,-367.5,7393.7,,593.3,10554.0,12989.5,-1712.5,4874.0,1797.4,5920.0,6212.9,6.0,3781.9,5799.4,10769.0,4129.0,,610.0,7068.8,,6155.7,25156.0,4375.3,3506.8,5908.0,16249.8,10458.8,False,True,True,True,,False,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,True,False,True,,True,True,,True,False,True,True,True,False,False
Mississippi,12912,14164.0,16951.0,13366.9,15844.0,11269.0,,15862.4,16480.0,15184.5,14895.7,15540.7,,16345.6,15844.0,16781.9,15699.9,16137.0,8889.5,14893.0,17506.7,17014.0,14845.7,16411.0,16767.0,14638.0,,16214.9,5715.4,,13794.9,15852.4,13297.2,12702.7,15003.0,17964.8,21298.3,1252.0,4039.0,454.9,2932.0,-1643.0,,2950.4,3568.0,2272.5,1983.7,2628.7,,3433.6,2932.0,3869.9,2787.9,3225.0,-4022.5,1981.0,4594.7,4102.0,1933.7,3499.0,3855.0,1726.0,,3302.9,-7196.6,,882.9,2940.4,385.2,-209.3,2091.0,5052.8,8386.3,False,True,False,False,,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,True,False,True,True,False,False,False
Missouri,21078,22153.0,25038.8,22258.5,21199.0,19444.0,,22215.9,16890.0,20240.2,21074.4,26612.7,,20375.1,22660.0,26351.6,20222.5,23622.0,15551.6,22344.5,20773.6,16614.0,19667.5,21415.8,25104.0,23009.0,,20117.7,16182.6,,21359.1,28190.3,21765.5,24966.6,23104.0,25021.4,,1075.0,3960.8,1180.5,121.0,-1634.0,,1137.9,-4188.0,-837.8,-3.6,5534.7,,-702.9,1582.0,5273.6,-855.5,2544.0,-5526.4,1266.5,-304.4,-4464.0,-1410.5,337.8,4026.0,1931.0,,-960.3,-4895.4,,281.1,7112.3,687.5,3888.6,2026.0,3943.4,,False,False,True,False,,False,False,True,True,False,,True,False,False,True,False,False,False,True,False,False,True,False,False,,True,False,,True,False,True,False,False,False,
Montana,2814,3975.0,4086.3,3841.9,3746.0,2893.0,,4089.2,3438.0,3387.9,3107.5,4638.5,,3329.3,4834.0,4597.4,2701.4,3842.0,2939.2,3614.0,3666.0,3295.5,3746.1,4182.0,4761.0,2927.0,,3843.0,5064.3,,3543.1,5856.7,5057.0,4209.0,3877.0,4909.6,4130.4,1161.0,1272.3,1027.9,932.0,79.0,,1275.2,624.0,573.9,293.5,1824.5,,515.3,2020.0,1783.4,-112.6,1028.0,125.2,800.0,852.0,481.5,932.1,1368.0,1947.0,113.0,,1029.0,2250.3,,729.1,3042.7,2243.0,1395.0,1063.0,2095.6,1316.4,False,True,True,True,,False,True,True,True,False,,True,False,False,True,True,True,True,True,True,True,False,False,True,,True,False,,True,False,False,False,True,False,False
