,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,QJHong-Encounter,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-QJHong-Encounter,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Missouri,1528,1563.6,,1722.4,1854.0,1411.8,1383.0,1964.6,1517.6,1500.3,1508.4,,1383.3,1416.0,,,1658.9,2382.1,1795.0,1644.8,35.6,,194.4,326.0,-116.2,-145.0,436.6,-10.4,-27.7,-19.6,,-144.7,-112.0,,,130.9,854.1,267.0,116.8,,False,False,False,False,False,True,True,True,,False,False,,,False,False,False,False
Montana,104,89.7,,112.4,74.0,73.4,63.0,165.9,137.7,85.0,118.6,,177.6,254.0,,,66.6,103.1,78.0,102.7,-14.3,,8.4,-30.0,-30.6,-41.0,61.9,33.7,-19.0,14.6,,73.6,150.0,,,-37.4,-0.9,-26.0,-1.3,,True,False,False,False,False,False,False,False,,False,False,,,False,True,False,True
Nebraska,392,388.9,,429.2,352.0,324.0,361.0,552.4,352.1,365.8,380.9,,393.0,326.0,,,371.4,434.8,410.0,394.3,-3.1,,37.2,-40.0,-68.0,-31.0,160.4,-39.9,-26.2,-11.1,,1.0,-66.0,,,-20.6,42.8,18.0,2.3,,False,False,False,False,False,False,False,False,,True,False,,,False,False,False,True
Nevada,1302,1156.6,,1255.7,1256.0,1098.0,1177.0,1288.5,1335.5,984.3,900.0,,1203.1,2024.0,,,1150.6,1276.2,1134.0,1312.8,-145.4,,-46.3,-46.0,-204.0,-125.0,-13.5,33.5,-317.7,-402.0,,-98.9,722.0,,,-151.4,-25.8,-168.0,10.8,,True,True,False,True,True,True,False,False,,True,False,,,False,True,False,True
New Hampshire,432,462.4,,449.3,431.0,429.0,414.0,475.9,427.8,474.2,463.8,,483.3,421.0,,,503.6,484.1,493.0,458.5,30.4,,17.3,-1.0,-3.0,-18.0,43.9,-4.2,42.2,31.8,,51.3,-11.0,,,71.6,52.1,61.0,26.5,,True,True,True,True,False,True,False,False,,False,True,,,False,False,False,True
New Jersey,15933,16180.4,,16201.1,16076.0,16950.4,15997.0,16303.9,16328.5,16761.0,16107.8,,16220.5,16108.0,,,15839.7,16670.3,16330.0,16171.1,247.4,,268.1,143.0,1017.4,64.0,370.9,395.5,828.0,174.8,,287.5,175.0,,,-93.3,737.3,397.0,238.1,,False,True,False,True,False,False,False,True,,False,True,,,True,False,False,True
New Mexico,769,822.9,,756.0,752.0,763.1,730.0,964.1,738.5,721.5,756.6,,685.3,913.0,,,812.0,925.4,789.0,810.5,53.9,,-13.0,-17.0,-5.9,-39.0,195.1,-30.5,-47.5,-12.4,,-83.7,144.0,,,43.0,156.4,20.0,41.5,,True,True,True,True,False,True,True,True,,False,False,,,True,False,True,True
New York,32891,33285.7,,32758.7,32674.0,33829.5,33104.0,33711.7,25420.1,33092.6,28422.9,,32413.8,32887.0,,,33040.3,34352.5,33284.0,33164.4,393.7,,-133.3,-218.0,937.5,212.0,819.7,-7471.9,200.6,-4469.1,,-478.2,-5.0,,,148.3,1460.5,392.0,272.4,,True,True,False,True,False,False,True,False,,False,True,,,True,False,True,True
North Carolina,2683,2618.4,,2704.8,3085.0,2378.9,2298.0,3647.5,2408.7,2246.8,2146.3,,2147.3,2679.0,,,2599.3,2808.4,2396.0,2613.6,-64.6,,21.8,402.0,-304.1,-385.0,964.5,-274.3,-436.2,-536.7,,-535.7,-4.0,,,-83.7,125.4,-287.0,-69.4,,True,False,False,False,False,False,False,False,,False,True,,,False,False,False,False
North Dakota,141,133.0,,150.2,118.0,125.2,110.0,200.7,100.2,127.9,149.6,,114.8,142.0,,,179.3,169.9,162.0,142.3,-8.0,,9.2,-23.0,-15.8,-31.0,59.7,-40.8,-13.1,8.6,,-26.2,1.0,,,38.3,28.9,21.0,1.3,,False,False,False,False,False,False,False,False,,False,True,,,False,False,False,True
Ohio,4252,3953.0,,4121.7,4125.0,3634.2,3642.0,5145.1,4211.9,3659.7,4285.3,4265.0,3635.0,3550.0,,,4258.3,5002.7,3992.0,4063.7,-299.0,,-130.3,-127.0,-617.8,-610.0,893.1,-40.1,-592.3,33.3,13.0,-617.0,-702.0,,,6.3,750.7,-260.0,-188.3,,True,True,False,False,False,True,False,True,True,False,False,,,True,False,True,True
Oklahoma,797,714.6,,831.0,805.0,734.9,713.0,1151.4,755.4,732.3,644.6,,565.0,1188.0,,,699.8,1047.7,825.0,686.0,-82.4,,34.0,8.0,-62.1,-84.0,354.4,-41.6,-64.7,-152.4,,-232.0,391.0,,,-97.2,250.7,28.0,-111.0,,True,True,True,False,False,True,True,False,,False,False,,,False,False,True,False
Oregon,454,429.9,,431.4,447.0,423.5,361.0,742.6,473.0,396.4,553.1,,458.8,600.5,,,390.5,476.5,428.0,487.1,-24.1,,-22.6,-7.0,-30.5,-93.0,288.6,19.0,-57.6,99.1,,4.8,146.5,,,-63.5,22.5,-26.0,33.1,,True,True,False,False,False,True,False,False,,True,False,,,False,True,False,False
Pennsylvania,7656,7637.0,,7660.3,7451.0,7600.5,7590.0,8124.6,7728.4,7466.0,7908.8,,7468.2,7338.0,,,7624.2,9057.1,7645.0,7786.8,-19.0,,4.3,-205.0,-55.5,-66.0,468.6,72.4,-190.0,252.8,,-187.8,-318.0,,,-31.8,1401.1,-11.0,130.8,,True,False,False,False,False,False,False,False,,False,False,,,False,False,True,False
Rhode Island,1046,1060.3,,1111.7,1031.0,1055.0,1096.0,992.6,1037.5,1077.4,1045.4,,1037.1,1014.0,,,1062.5,1113.0,1050.0,1078.8,14.3,,65.7,-15.0,9.0,50.0,-53.4,-8.5,31.4,-0.6,,-8.9,-32.0,,,16.5,67.0,4.0,32.8,,False,False,True,False,False,True,False,True,,True,False,,,False,False,True,False
South Carolina,2698,3123.0,,2277.2,2677.0,1918.5,2207.0,2875.0,2733.2,2382.6,1592.3,,2862.6,5617.0,,,3090.3,2431.0,2840.0,2991.8,425.0,,-420.8,-21.0,-779.5,-491.0,177.0,35.2,-315.4,-1105.7,,164.6,2919.0,,,392.3,-267.0,142.0,293.8,,True,True,False,False,True,True,True,False,,True,False,,,True,True,True,True
South Dakota,167,147.3,,136.3,150.0,172.1,166.0,192.9,166.9,156.7,167.5,,177.4,167.0,,,167.7,160.6,163.0,160.4,-19.7,,-30.7,-17.0,5.1,-1.0,25.9,-0.1,-10.3,0.5,,10.4,0.0,,,0.7,-6.4,-4.0,-6.6,,False,True,True,True,False,True,True,True,,True,True,,,True,True,True,True
Tennessee,1725,1569.3,,2138.5,1790.0,1491.1,1451.0,2202.4,2003.7,1622.3,1500.8,,1494.2,1425.0,,,1559.6,1670.4,1486.0,1583.9,-155.7,,413.5,65.0,-233.9,-274.0,477.4,278.7,-102.7,-224.2,,-230.8,-300.0,,,-165.4,-54.6,-239.0,-141.1,,False,True,False,False,False,False,True,False,,False,False,,,False,True,False,True
Texas,12611,10244.0,,10006.3,9704.0,11592.7,11192.0,10881.8,10284.6,6805.7,5764.8,,10581.5,24123.0,,10174.0,9642.8,8395.5,8466.0,10194.6,-1634.0,,-1871.7,-2174.0,-285.3,-686.0,-996.2,-1593.4,-5072.3,-6113.2,,-1296.5,12245.0,,-1704.0,-2235.2,-3482.5,-3412.0,-1683.4,,False,False,True,True,True,True,False,False,,True,False,,False,False,False,False,False
Utah,407,424.6,,591.1,480.0,485.4,405.0,724.1,448.4,350.6,322.2,,504.1,664.0,,,411.4,381.0,371.0,478.5,17.6,,184.1,73.0,78.4,-2.0,317.1,41.4,-56.4,-84.8,,97.1,257.0,,,4.4,-26.0,-36.0,71.5,,False,False,False,True,False,False,False,False,,False,False,,,True,False,False,False
Vermont,58,56.0,,60.9,56.0,56.6,56.0,68.0,66.5,58.1,59.3,,62.9,56.0,,,56.6,67.1,56.0,60.1,-2.0,,2.9,-2.0,-1.4,-2.0,10.0,8.5,0.1,1.3,,4.9,-2.0,,,-1.4,9.1,-2.0,2.1,,False,False,True,False,False,False,True,True,,False,False,,,True,False,False,False
Virginia,2568,2325.7,,2503.3,2272.0,2345.3,2283.0,3136.4,3213.6,2328.0,2487.1,,2363.4,2263.0,,,2315.5,2912.9,2142.0,2429.7,-242.3,,-64.7,-296.0,-222.7,-285.0,568.4,645.6,-240.0,-80.9,,-204.6,-305.0,,,-252.5,344.9,-426.0,-138.3,,True,False,True,False,False,False,True,True,,True,False,,,False,False,False,True
Washington,1905,1763.3,,1889.1,1971.0,1938.9,1739.0,2113.5,1788.8,1652.6,2122.6,,1735.4,1726.0,,,1828.6,2256.9,1746.0,1695.9,-141.7,,-15.9,66.0,33.9,-166.0,208.5,-116.2,-252.4,217.6,,-169.6,-179.0,,,-76.4,351.9,-159.0,-209.1,,True,True,True,False,False,True,False,False,,False,False,,,True,False,False,False
West Virginia,215,117.6,,176.1,155.0,113.3,112.0,232.3,131.1,122.3,128.8,,126.9,105.0,,,114.1,185.8,121.0,124.1,-97.4,,-38.9,-60.0,-101.7,-103.0,17.3,-83.9,-92.7,-86.2,,-88.1,-110.0,,,-100.9,-29.2,-94.0,-90.9,,True,True,False,False,True,True,True,True,,True,False,,,False,True,True,True
Wisconsin,1178,1125.1,,1340.1,1097.0,955.4,997.0,1747.1,1169.3,1021.0,1090.8,1143.0,957.4,941.0,,,1178.3,1470.4,1136.0,1219.3,-3.9,,211.1,-32.0,-173.6,-132.0,618.1,40.3,-108.0,-38.2,14.0,-171.6,-188.0,,,49.3,341.4,7.0,90.3,,False,False,False,False,False,False,False,False,False,False,False,,,False,False,False,False
Wyoming,37,25.0,,47.0,37.0,21.5,26.0,83.0,53.3,32.1,40.3,,72.2,27.0,,,25.9,40.4,35.0,30.9,-12.0,,10.0,0.0,-15.5,-11.0,46.0,16.3,-4.9,3.3,,35.2,-10.0,,,-11.1,3.4,-2.0,-6.1,,True,True,False,True,False,False,True,True,,False,True,,,True,True,True,True
US,182777,178025.6,175657.0,177250.6,179652.0,178179.0,172511.0,193710.0,187536.3,165604.9,160290.9,,171709.2,207497.5,186603.0,195339.0,178052.5,194298.6,169413.0,179467.9,-3970.4,-6339.0,-4745.4,-2344.0,-3817.0,-9485.0,11714.0,5540.3,-16391.1,-21705.1,,-10286.8,25501.5,4607.0,13343.0,-3943.5,12302.6,-12583.0,-2528.1,False,False,True,True,False,False,False,False,False,,False,False,False,False,True,False,False,True
