,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-YYG-ParamSearch
Hawaii,62,17.0,17.8,49.4,,18.4,20.5,-45.0,-44.2,-12.6,,-43.6,-41.5,True,True,,True,True
Idaho,358,94.9,137.0,197.9,84.0,92.6,100.8,-263.1,-221.0,-160.1,-274.0,-265.4,-257.2,True,True,False,False,True
Illinois,8217,11998.6,7243.3,7593.3,7739.0,8933.0,10592.1,3781.6,-973.7,-623.7,-478.0,716.0,2375.1,True,True,True,True,True
Indiana,3285,4306.9,2731.4,3116.7,2431.0,3143.3,4742.6,1021.9,-553.6,-168.3,-854.0,-141.7,1457.6,True,True,True,True,False
Iowa,1100,1435.0,878.5,2045.0,787.0,915.0,1527.6,335.0,-221.5,945.0,-313.0,-185.0,427.6,True,False,True,True,False
Kansas,449,446.4,310.9,679.9,330.0,302.1,387.8,-2.6,-138.1,230.9,-119.0,-146.9,-61.2,False,False,False,False,False
Kentucky,921,932.4,609.8,1043.6,559.0,965.3,1177.6,11.4,-311.2,122.6,-362.0,44.3,256.6,False,False,False,False,False
Louisiana,4904,4655.3,3366.6,3242.8,3315.0,3322.8,4289.2,-248.7,-1537.4,-1661.2,-1589.0,-1581.2,-614.8,False,False,False,False,False
Maine,132,217.6,150.2,531.3,125.0,112.1,158.7,85.6,18.2,399.3,-7.0,-19.9,26.7,True,False,True,True,True
Maryland,3746,5322.0,4004.3,3720.3,3728.0,4272.0,5969.5,1576.0,258.3,-25.7,-18.0,526.0,2223.5,True,True,True,True,False
Massachusetts,9036,12888.9,8496.1,8131.7,8817.0,9080.4,9394.8,3852.9,-539.9,-904.3,-219.0,44.4,358.8,True,True,True,True,True
Michigan,6712,10685.3,6085.6,6650.5,7487.0,6777.9,7103.9,4005.3,-594.4,-29.5,807.0,97.9,423.9,True,True,True,True,True
Minnesota,1863,2940.0,1724.2,2568.5,2550.0,1870.7,4070.8,1077.0,-138.8,705.5,687.0,7.7,2207.8,True,True,True,True,False
Mississippi,2427,1801.1,1161.4,1451.4,961.0,1179.4,2089.6,-625.9,-1265.6,-975.6,-1466.0,-1247.6,-337.4,False,False,False,False,True
Missouri,1528,1277.4,1015.0,1312.4,1030.0,1846.7,2229.0,-215.6,-478.0,-180.6,-463.0,353.7,736.0,False,True,False,False,False
Montana,104,29.9,19.7,19.3,18.0,21.3,21.7,-74.1,-84.3,-84.7,-86.0,-82.7,-82.3,False,False,False,False,False
Nebraska,392,388.6,420.9,1487.6,272.0,332.5,493.5,-3.4,28.9,1095.6,-120.0,-59.5,101.5,False,False,False,False,False
Nevada,1302,687.0,545.5,710.1,562.0,612.3,878.8,-615.0,-756.5,-591.9,-740.0,-689.7,-423.2,False,True,False,False,True
New Hampshire,432,772.1,319.2,552.7,313.0,558.7,804.3,340.1,-112.8,120.7,-119.0,126.7,372.3,True,True,True,True,False
New Jersey,15933,17843.7,12823.0,13293.0,13611.0,14126.0,14695.9,3750.7,-1270.0,-800.0,-482.0,33.0,602.9,True,True,True,True,True
New Mexico,769,870.3,502.9,750.8,503.0,763.0,1072.9,101.3,-266.1,-18.2,-266.0,-6.0,303.9,False,True,False,True,False
New York,32891,37369.7,31981.6,31808.5,32512.0,31422.2,33105.1,5330.7,-57.4,-230.5,473.0,-616.8,1066.1,True,True,True,True,True
North Carolina,2683,2158.4,2388.9,5127.8,1781.0,2037.1,3261.7,-524.6,-294.1,2444.8,-902.0,-645.9,578.7,True,False,False,False,False
North Dakota,141,202.4,109.1,217.7,127.0,103.2,182.3,61.4,-31.9,76.7,-14.0,-37.8,41.3,True,False,True,True,True
Ohio,4126,5035.0,3005.5,4241.9,3072.0,3439.7,6333.3,909.0,-1120.5,115.9,-1054.0,-686.3,2207.3,False,True,False,True,False
Oklahoma,797,514.0,419.0,478.9,402.0,411.1,516.8,-283.0,-378.0,-318.1,-395.0,-385.9,-280.2,False,False,False,False,True
Oregon,454,281.6,179.9,266.3,190.0,229.5,246.0,-172.4,-274.1,-187.7,-264.0,-224.5,-208.0,False,False,False,False,False
Pennsylvania,7656,10543.6,6611.5,7702.4,6523.0,8312.4,9457.2,2887.6,-1044.5,46.4,-1133.0,656.4,1801.2,True,True,True,True,True
Rhode Island,1046,1412.3,881.1,1008.3,941.0,997.1,1647.3,466.3,-64.9,62.3,-5.0,51.1,701.3,True,True,True,True,False
South Carolina,2698,1162.6,877.3,888.2,655.0,938.0,1744.1,-1535.4,-1820.7,-1809.8,-2043.0,-1760.0,-953.9,False,False,False,False,True
South Dakota,167,100.6,129.5,113.5,86.0,91.6,171.5,-66.4,-37.5,-53.5,-81.0,-75.4,4.5,True,True,False,False,True
Tennessee,1725,1058.3,791.0,989.7,858.0,720.0,1144.6,-666.7,-934.0,-735.3,-867.0,-1005.0,-580.4,False,False,False,False,True
Texas,12611,3809.3,3421.9,4445.1,2670.0,2863.0,4785.6,-8673.7,-9061.1,-8037.9,-9813.0,-9620.0,-7697.4,False,True,False,False,True
Utah,407,215.9,478.5,739.9,273.0,314.6,406.8,-191.1,71.5,332.9,-134.0,-92.4,-0.2,True,False,True,True,True
Vermont,58,55.0,57.8,73.3,56.0,64.7,63.4,-3.0,-0.2,15.3,-2.0,6.7,5.4,True,False,True,False,False
Virginia,2568,2480.7,2190.7,2312.2,1993.0,2250.8,3537.4,-76.3,-366.3,-244.8,-564.0,-306.2,980.4,False,False,False,False,False
Washington,1905,1619.4,1533.5,1250.4,1360.0,1314.0,1908.4,-285.6,-371.5,-654.6,-545.0,-591.0,3.4,False,False,False,False,True
West Virginia,215,190.7,132.2,174.0,86.0,132.2,138.8,-24.3,-82.8,-41.0,-129.0,-82.8,-76.2,False,False,False,False,False
Wisconsin,1178,1299.1,1178.6,2624.2,1054.0,863.0,1739.2,169.1,48.6,1494.2,-76.0,-267.0,609.2,True,False,True,False,False
Wyoming,37,28.9,26.2,37.6,17.0,18.4,31.1,-8.1,-10.8,0.6,-20.0,-18.6,-5.9,False,True,False,False,True
US,182651,183233.9,135586.5,160378.2,133862.0,133746.8,181687.5,3611.9,-44035.5,-19243.8,-45760.0,-45875.2,2065.5,False,False,False,False,True
