,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,5576,3973.7,4540.5,4566.0,4006.0,,3944.8,3964.5,4387.1,4947.6,-1602.3,-1035.5,-1010.0,-1570.0,,-1631.2,-1611.5,-1188.9,-628.4,True,True,True,,False,False,True,True
Hawaii,62,26.9,40.8,29.5,,,18.9,23.0,30.1,21.0,-35.1,-21.2,-32.5,,,-43.1,-39.0,-31.9,-41.0,True,True,,,False,False,True,False
Idaho,358,108.7,283.4,110.8,118.0,,101.8,569.6,463.3,128.8,-249.3,-74.6,-247.2,-240.0,,-256.2,211.6,105.3,-229.2,True,True,True,,False,True,True,True
Illinois,8217,9022.6,7392.5,8307.3,8582.0,,7618.7,7255.4,7359.7,9176.0,805.6,-824.5,90.3,365.0,,-598.3,-961.6,-857.3,959.0,False,True,True,,True,False,False,False
Indiana,3285,3318.7,2981.0,2878.4,2839.0,,2843.4,3325.2,3082.1,3529.3,33.7,-304.0,-406.6,-446.0,,-441.6,40.2,-202.9,244.3,False,False,False,,False,False,False,False
Iowa,1100,883.1,1033.3,814.3,851.0,,870.7,924.7,892.1,960.2,-216.9,-66.7,-285.7,-249.0,,-229.3,-175.3,-207.9,-139.8,True,False,False,,False,True,True,True
Kansas,449,375.3,397.0,380.9,292.0,,298.1,285.0,503.0,399.0,-73.7,-52.0,-68.1,-157.0,,-150.9,-164.0,54.0,-50.0,True,True,False,,False,False,True,True
Kentucky,921,841.4,733.8,722.3,784.0,,800.8,833.3,817.2,908.9,-79.6,-187.2,-198.7,-137.0,,-120.2,-87.7,-103.8,-12.1,False,False,False,,False,False,False,True
Louisiana,4904,4031.6,3938.2,4076.9,3525.0,,3365.8,3341.4,5338.7,3987.7,-872.4,-965.8,-827.1,-1379.0,,-1538.2,-1562.6,434.7,-916.3,False,True,False,,False,False,True,False
Maine,132,121.7,122.8,116.8,120.0,,109.2,136.5,177.0,131.2,-10.3,-9.2,-15.2,-12.0,,-22.8,4.5,45.0,-0.8,True,False,False,,False,True,False,True
Maryland,3746,4071.4,3518.7,3456.1,3480.0,,3485.2,3572.8,3506.6,4165.8,325.4,-227.3,-289.9,-266.0,,-260.8,-173.2,-239.4,419.8,True,True,True,,True,True,True,False
Massachusetts,9036,9848.1,8311.4,9355.2,8311.0,,8478.9,8614.6,9150.2,9236.6,813.1,-723.6,320.2,-724.0,,-556.1,-420.4,115.2,201.6,True,True,True,,True,True,True,True
Michigan,6712,6750.4,6407.0,6407.5,6698.0,,6476.6,6493.4,6740.4,6860.8,38.4,-305.0,-304.5,-14.0,,-235.4,-218.6,28.4,148.8,False,False,True,,False,False,True,False
Minnesota,1863,1885.1,1858.3,1777.1,1523.0,,1773.4,1525.3,1877.5,2147.6,22.1,-4.7,-85.9,-340.0,,-89.6,-337.7,14.5,284.6,True,False,False,,False,False,True,False
Mississippi,2427,1933.6,1822.2,1750.0,1712.0,,1262.2,1515.7,2092.4,2043.0,-493.4,-604.8,-677.0,-715.0,,-1164.8,-911.3,-334.6,-384.0,False,False,False,,False,False,True,True
Missouri,1528,1349.4,1521.9,1520.8,1372.0,,1616.2,1712.9,1592.3,1492.6,-168.6,3.9,2.8,-146.0,,98.2,194.9,74.3,-25.4,True,True,True,,True,False,True,True
Montana,104,39.7,60.6,36.2,35.0,,25.8,57.7,55.2,36.2,-64.3,-43.4,-67.8,-69.0,,-78.2,-46.3,-48.8,-67.8,True,False,False,,False,True,True,False
Nebraska,392,470.7,351.2,435.3,349.0,,341.7,285.7,367.7,530.6,78.7,-40.8,43.3,-43.0,,-50.3,-106.3,-24.3,138.6,True,True,True,,True,False,True,False
Nevada,1302,615.1,1720.2,789.7,558.0,,681.2,1130.7,1901.2,840.0,-686.9,418.2,-512.3,-744.0,,-620.8,-171.3,599.2,-462.0,True,True,False,,True,True,True,True
New Hampshire,432,615.0,462.5,623.9,380.0,,502.8,456.9,445.6,568.5,183.0,30.5,191.9,-52.0,,70.8,24.9,13.6,136.5,True,False,True,,True,True,True,True
New Jersey,15933,33008.1,13493.2,15897.8,16301.0,,15313.7,13663.3,16373.6,16106.3,17075.1,-2439.8,-35.2,368.0,,-619.3,-2269.7,440.6,173.3,True,True,True,,True,True,True,True
New Mexico,769,695.7,725.8,728.9,746.0,,612.6,648.1,621.8,773.3,-73.3,-43.2,-40.1,-23.0,,-156.4,-120.9,-147.2,4.3,True,True,True,,False,False,False,True
New York,32891,33806.1,31852.2,32954.5,32035.0,,31799.6,32697.4,31940.0,32831.9,1596.1,-357.8,744.5,-175.0,,-410.4,487.4,-270.0,621.9,True,True,True,,True,True,True,True
North Carolina,2683,2494.6,2682.6,2000.4,2359.0,,2057.7,2348.2,2225.8,2746.4,-188.4,-0.4,-682.6,-324.0,,-625.3,-334.8,-457.2,63.4,True,False,False,,False,False,False,True
North Dakota,141,96.7,99.5,88.0,109.0,,95.3,91.2,104.5,108.9,-44.3,-41.5,-53.0,-32.0,,-45.7,-49.8,-36.5,-32.1,True,False,True,,False,False,True,True
Ohio,4252,3754.7,3605.6,3829.5,3343.0,,3726.1,4090.2,4939.2,4172.6,-497.3,-646.4,-422.5,-909.0,,-525.9,-161.8,687.2,-79.4,False,True,False,,False,True,False,True
Oklahoma,797,526.7,958.2,471.2,487.0,,485.9,874.4,807.1,587.7,-270.3,161.2,-325.8,-310.0,,-311.1,77.4,10.1,-209.3,True,False,False,,False,True,True,True
Oregon,454,308.3,495.9,371.8,425.0,,287.1,483.9,491.9,364.9,-145.7,41.9,-82.2,-29.0,,-166.9,29.9,37.9,-89.1,True,True,True,,False,True,True,True
Pennsylvania,7656,8226.9,7560.3,7774.9,7570.0,,7356.8,7426.7,7116.2,8456.2,570.9,-95.7,118.9,-86.0,,-299.2,-229.3,-539.8,800.2,True,True,True,,True,True,True,False
Rhode Island,1046,1219.3,1054.3,1237.6,1198.0,,1094.0,848.5,977.7,1269.5,173.3,8.3,191.6,152.0,,48.0,-197.5,-68.3,223.5,True,False,True,,True,False,True,False
South Carolina,2698,1274.0,2447.3,1196.2,944.0,,903.8,2230.3,1676.3,1577.0,-1424.0,-250.7,-1501.8,-1754.0,,-1794.2,-467.7,-1021.7,-1121.0,True,False,False,,False,True,True,True
South Dakota,167,179.6,141.3,183.5,118.0,,106.5,113.3,117.7,173.4,12.6,-25.7,16.5,-49.0,,-60.5,-53.7,-49.3,6.4,False,False,False,,False,False,False,True
Tennessee,1725,1097.7,1404.4,1293.0,1604.0,,792.9,962.4,1199.3,1333.1,-627.3,-320.6,-432.0,-121.0,,-932.1,-762.6,-525.7,-391.9,True,True,True,,False,False,True,True
Texas,12607,4270.9,8453.0,6572.9,3849.0,2595.0,4287.0,7716.2,10056.0,5468.2,-8110.1,-3928.0,-5808.1,-8532.0,-9786.0,-8094.0,-4664.8,-2325.0,-6912.8,True,True,False,False,True,True,True,True
Utah,407,246.7,696.0,318.7,241.0,,234.4,391.7,309.4,374.8,-160.3,289.0,-88.3,-166.0,,-172.6,-15.3,-97.6,-32.2,False,True,False,,False,True,True,True
Vermont,58,56.0,63.2,65.9,56.0,,61.9,51.2,58.1,65.4,-2.0,5.2,7.9,-2.0,,3.9,-6.8,0.1,7.4,False,False,False,,False,False,True,False
Virginia,2568,2803.7,2069.9,2140.4,2211.0,,1900.4,1943.8,1872.4,2400.0,235.7,-498.1,-427.6,-357.0,,-667.6,-624.2,-695.6,-168.0,False,False,False,,False,False,False,True
Washington,1905,1664.3,1757.9,1745.6,1381.0,,1408.1,1785.9,1880.1,1885.9,-240.7,-147.1,-159.4,-524.0,,-496.9,-119.1,-24.9,-19.1,True,True,False,,False,True,True,True
West Virginia,215,128.4,124.5,126.2,98.0,,124.2,150.8,205.5,123.5,-86.6,-90.5,-88.8,-117.0,,-90.8,-64.2,-9.5,-91.5,False,False,False,,False,True,True,False
Wisconsin,1119,1069.3,1085.5,1132.9,1005.0,,883.3,982.8,1357.8,1301.7,-49.7,-33.5,13.9,-114.0,,-235.7,-136.2,238.8,182.7,True,True,False,,False,False,False,False
Wyoming,37,20.0,59.6,22.6,22.0,,21.6,41.8,27.2,30.9,-17.0,22.6,-14.4,-15.0,,-15.4,4.8,-9.8,-6.1,False,True,True,,True,True,True,True
US,182714,177387.0,172650.8,159501.7,136858.0,126323.0,149398.7,172732.9,188292.0,168185.9,-4409.0,-9145.2,-22294.3,-44938.0,-55473.0,-32397.3,-9063.1,6496.0,-13610.1,False,False,False,False,False,False,False,False
