,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IHME-CurveFit,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,NotreDame-FRED,NotreDame-mobility,PSI-DRAFT,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-NotreDame-FRED,error-NotreDame-mobility,error-PSI-DRAFT,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-PSI-DRAFT,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
Georgia,5576,4175.6,,5685.1,5290.0,3956.8,3814.0,3784.7,3714.6,,3438.7,4851.0,,4863.1,7991.4,5073.4,4549.4,-1400.4,,109.1,-286.0,-1619.2,-1762.0,-1791.3,-1861.4,,-2137.3,-725.0,,-712.9,2415.4,-502.6,-1026.6,,True,True,False,False,False,False,,False,True,,True,False,True,True
Hawaii,62,53.3,,39.2,28.0,20.7,,29.5,21.5,,109.2,,,38.2,41.7,49.4,33.3,-8.7,,-22.8,-34.0,-41.3,,-32.5,-40.5,,47.2,,,-23.8,-20.3,-12.6,-28.7,,False,False,False,,False,False,,False,,,False,False,False,False
Idaho,358,218.6,,521.0,260.0,199.5,210.0,210.4,197.1,,241.1,553.0,,183.0,817.5,295.4,321.1,-139.4,,163.0,-98.0,-158.5,-148.0,-147.6,-160.9,,-116.9,195.0,,-175.0,459.5,-62.6,-36.9,,False,True,False,False,False,False,,True,False,,False,False,True,True
Illinois,8217,8073.7,,7935.3,7556.0,7911.5,8014.0,7984.1,8386.2,9689.0,7710.6,8001.0,,8182.8,8606.5,10214.3,8032.7,-143.3,,-281.7,-661.0,-305.5,-203.0,-232.9,169.2,1472.0,-506.4,-216.0,,-34.2,389.5,1997.3,-184.3,,False,False,False,False,False,False,False,False,False,,True,False,False,False
Indiana,3285,3185.1,,3176.1,3033.0,3092.0,2916.0,3220.1,3417.6,3378.0,3014.0,2974.0,,3182.9,4665.9,4314.5,3303.7,-99.9,,-108.9,-252.0,-193.0,-369.0,-64.9,132.6,93.0,-271.0,-311.0,,-102.1,1380.9,1029.5,18.7,,False,False,False,False,True,False,True,False,False,,False,False,False,True
Iowa,1100,1033.1,,1137.7,906.0,967.0,857.0,886.4,927.4,,888.1,822.0,,942.9,1422.3,936.3,986.7,-66.9,,37.7,-194.0,-133.0,-243.0,-213.6,-172.6,,-211.9,-278.0,,-157.1,322.3,-163.7,-113.3,,True,False,False,False,False,False,,False,False,,False,False,False,False
Kansas,449,379.3,,626.4,345.0,359.7,388.0,367.0,414.9,,365.8,333.0,,372.2,683.8,381.6,427.4,-69.7,,177.4,-104.0,-89.3,-61.0,-82.0,-34.1,,-83.2,-116.0,,-76.8,234.8,-67.4,-21.6,,False,False,False,True,False,True,,False,False,,False,False,True,True
Kentucky,921,933.6,,884.2,922.0,922.7,747.0,1069.9,1494.9,1083.0,811.4,774.0,,918.7,2456.7,1737.9,1088.9,12.6,,-36.8,1.0,1.7,-174.0,148.9,573.9,162.0,-109.6,-147.0,,-2.3,1535.7,816.9,167.9,,False,True,True,False,False,False,False,False,False,,True,False,False,False
Louisiana,4904,4286.9,,4644.8,4657.0,4340.3,4273.0,4235.5,3798.2,,3875.5,3615.0,,4511.6,4543.1,3670.4,4809.7,-617.1,,-259.2,-247.0,-563.7,-631.0,-668.5,-1105.8,,-1028.5,-1289.0,,-392.4,-360.9,-1233.6,-94.3,,True,True,True,False,False,False,,False,False,,True,True,False,True
Maine,132,134.6,,123.3,124.0,136.7,130.0,123.4,139.1,,127.0,124.0,,126.7,145.4,132.8,137.9,2.6,,-8.7,-8.0,4.7,-2.0,-8.6,7.1,,-5.0,-8.0,,-5.3,13.4,0.8,5.9,,False,False,False,True,False,False,,False,False,,False,False,True,False
Maryland,3746,3716.7,,3610.8,3484.0,3829.3,3671.0,3779.2,3621.5,,3640.3,3565.0,,3702.7,4907.1,4558.9,3863.2,-29.3,,-135.2,-262.0,83.3,-75.0,33.2,-124.5,,-105.7,-181.0,,-43.3,1161.1,812.9,117.2,,False,False,False,False,False,False,,False,False,,False,False,False,False
Massachusetts,9036,9051.9,,8478.3,8527.0,9260.2,8658.0,9144.6,8359.9,,8756.7,8659.0,,8864.1,9199.2,9501.8,8955.7,15.9,,-557.7,-509.0,224.2,-378.0,108.6,-676.1,,-279.3,-377.0,,-171.9,163.2,465.8,-80.3,,False,False,False,False,False,False,,False,False,,False,False,False,False
Michigan,6712,6670.6,,6703.1,6684.0,7051.1,6804.0,6734.2,7460.0,6951.5,6927.2,6440.0,,6650.5,7794.0,7528.1,6888.7,-41.4,,-8.9,-28.0,339.1,92.0,22.2,748.0,239.5,215.2,-272.0,,-61.5,1082.0,816.1,176.7,,True,True,False,False,True,False,False,False,False,,False,False,False,False
Minnesota,1863,1821.1,,1919.5,1706.0,1689.5,1903.0,1769.8,1862.2,1955.0,1648.7,1690.0,,1786.4,1890.6,1734.1,1937.7,-41.9,,56.5,-157.0,-173.5,40.0,-93.2,-0.8,92.0,-214.3,-173.0,,-76.6,27.6,-128.9,74.7,,False,False,False,True,False,True,False,False,False,,False,True,False,False
Mississippi,2427,1975.9,,2123.5,1887.0,2250.9,1793.0,1814.5,2271.6,,2009.9,1687.0,,1869.9,1965.3,2297.0,2028.4,-451.1,,-303.5,-540.0,-176.1,-634.0,-612.5,-155.4,,-417.1,-740.0,,-557.1,-461.7,-130.0,-398.6,,True,False,True,False,False,True,,True,False,,False,False,True,True
Missouri,1528,1393.7,,1580.5,1618.0,1439.6,1253.0,1397.1,1603.8,,1337.0,1240.0,,1606.2,1753.3,1894.5,1506.9,-134.3,,52.5,90.0,-88.4,-275.0,-130.9,75.8,,-191.0,-288.0,,78.2,225.3,366.5,-21.1,,True,True,True,False,True,True,,False,False,,True,False,False,True
Montana,104,83.9,,113.6,76.0,73.4,68.0,80.9,106.8,,223.4,68.0,,69.4,136.2,173.6,87.9,-20.1,,9.6,-28.0,-30.6,-36.0,-23.1,2.8,,119.4,-36.0,,-34.6,32.2,69.6,-16.1,,True,False,False,False,False,True,,False,False,,False,False,False,True
Nebraska,392,394.7,,395.9,313.0,295.0,345.0,339.1,362.2,,422.9,378.0,,363.2,585.0,389.4,389.0,2.7,,3.9,-79.0,-97.0,-47.0,-52.9,-29.8,,30.9,-14.0,,-28.8,193.0,-2.6,-3.0,,False,False,False,False,False,False,,False,False,,False,False,True,False
Nevada,1302,963.3,,1366.6,1213.0,1501.3,1024.0,994.8,825.9,,1707.9,1659.0,,907.8,2687.7,1166.5,1173.6,-338.7,,64.6,-89.0,199.3,-278.0,-307.2,-476.1,,405.9,357.0,,-394.2,1385.7,-135.5,-128.4,,True,True,True,True,True,False,,False,False,,False,False,True,True
New Hampshire,432,439.0,,446.2,429.0,434.8,401.0,449.0,457.0,,429.2,456.0,,451.4,457.8,419.7,431.6,7.0,,14.2,-3.0,2.8,-31.0,17.0,25.0,,-2.8,24.0,,19.4,25.8,-12.3,-0.4,,False,True,True,False,False,False,,True,False,,False,False,False,True
New Jersey,15933,16766.1,,16207.1,16097.0,17265.1,16178.0,16160.0,15972.9,,16414.3,16156.0,,16203.3,15957.7,16392.3,16346.8,833.1,,274.1,164.0,1332.1,245.0,227.0,39.9,,481.3,223.0,,270.3,24.7,459.3,413.8,,True,True,False,True,True,True,,True,True,,True,True,True,True
New Mexico,769,723.3,,752.5,712.0,848.5,720.0,690.1,790.5,,655.2,651.0,,723.0,711.3,769.1,811.6,-45.7,,-16.5,-57.0,79.5,-49.0,-78.9,21.5,,-113.8,-118.0,,-46.0,-57.7,0.1,42.6,,True,False,False,False,False,True,,False,False,,False,False,True,True
New York,32938,33344.3,,32700.4,32631.0,33943.7,33298.0,33110.3,28276.4,,32591.1,32846.0,,33000.9,33611.5,33295.6,33098.3,406.3,,-237.6,-307.0,1005.7,360.0,172.3,-4661.6,,-346.9,-92.0,,62.9,673.5,357.6,160.3,,True,True,False,True,True,False,,True,True,,True,False,True,True
North Carolina,2683,2413.4,,2662.4,3843.0,2008.9,2113.0,2072.6,2092.4,,2101.5,1927.5,,2397.5,5821.3,2943.7,2407.3,-269.6,,-20.6,1160.0,-674.1,-570.0,-610.4,-590.6,,-581.5,-755.5,,-285.5,3138.3,260.7,-275.7,,True,False,False,False,False,False,,False,False,,False,False,True,False
North Dakota,141,121.3,,139.1,99.0,165.3,98.0,120.9,131.9,,128.1,100.0,,124.3,210.5,203.2,122.3,-19.7,,-1.9,-42.0,24.3,-43.0,-20.1,-9.1,,-12.9,-41.0,,-16.7,69.5,62.2,-18.7,,True,False,False,False,False,True,,True,False,,True,False,False,True
Ohio,4252,3853.4,,4149.7,4140.0,3865.1,3486.0,3608.2,4283.4,3676.0,3424.0,3427.0,,3913.5,4081.0,4640.9,4323.9,-398.6,,-102.3,-112.0,-386.9,-766.0,-643.8,31.4,-576.0,-828.0,-825.0,,-338.5,-171.0,388.9,71.9,,True,True,True,False,False,True,False,False,False,,True,True,True,True
Oklahoma,797,620.9,,864.0,771.0,644.0,692.0,525.4,597.1,,584.5,562.0,,569.8,1161.5,846.0,646.4,-176.1,,67.0,-26.0,-153.0,-105.0,-271.6,-199.9,,-212.5,-235.0,,-227.2,364.5,49.0,-150.6,,True,True,True,True,False,False,,False,False,,False,False,True,True
Oregon,454,412.3,,436.2,433.0,382.0,339.0,370.4,564.1,,710.1,538.0,,356.9,892.4,478.8,457.3,-41.7,,-17.8,-21.0,-72.0,-115.0,-83.6,110.1,,256.1,84.0,,-97.1,438.4,24.8,3.3,,True,True,False,False,False,False,,False,False,,False,False,True,True
Pennsylvania,7656,7713.1,,7655.1,7519.0,7745.4,7372.0,7504.9,7991.6,,7482.0,7376.0,,7630.4,8148.3,7706.6,7849.0,57.1,,-0.9,-137.0,89.4,-284.0,-151.1,335.6,,-174.0,-280.0,,-25.6,492.3,50.6,193.0,,True,False,False,False,False,False,,False,False,,True,False,True,False
Rhode Island,1046,1072.0,,1091.8,1035.0,1022.8,1144.0,1088.3,1029.9,,1045.1,1028.0,,1059.5,1099.8,1034.2,1062.2,26.0,,45.8,-11.0,-23.2,98.0,42.3,-16.1,,-0.9,-18.0,,13.5,53.8,-11.8,16.2,,False,True,True,False,False,True,,True,True,,True,False,True,True
South Carolina,2698,2291.3,,2243.1,2031.0,2379.5,1662.0,2179.6,1293.9,,2666.5,4114.0,,2000.4,3839.1,2240.2,2199.0,-406.7,,-454.9,-667.0,-318.5,-1036.0,-518.4,-1404.1,,-31.5,1416.0,,-697.6,1141.1,-457.8,-499.0,,False,False,True,False,False,False,,True,False,,False,False,False,False
South Dakota,167,170.7,,134.2,140.0,168.4,171.0,153.6,160.0,,184.9,155.0,,187.0,242.5,202.3,159.3,3.7,,-32.8,-27.0,1.4,4.0,-13.4,-7.0,,17.9,-12.0,,20.0,75.5,35.3,-7.7,,False,False,True,False,False,False,,False,False,,False,False,False,False
Tennessee,1725,1440.4,,2006.6,1780.0,1467.6,1316.0,1253.0,1762.4,,1384.0,1175.5,,1335.4,2499.6,1774.5,1526.9,-284.6,,281.6,55.0,-257.4,-409.0,-472.0,37.4,,-341.0,-549.5,,-389.6,774.6,49.5,-198.1,,True,True,True,False,False,True,,False,False,,False,False,True,True
Texas,12607,8674.3,,9922.0,9113.0,12215.4,10132.0,6904.9,4745.0,,9765.6,18589.0,14054.0,7688.8,16431.6,11340.1,8953.9,-3265.7,,-2018.0,-2827.0,275.4,-1808.0,-5035.1,-7195.0,,-2174.4,6649.0,2114.0,-4251.2,4491.6,-599.9,-2986.1,,True,True,True,True,False,False,,True,False,True,False,False,True,True
Utah,407,407.0,,589.3,504.0,570.6,358.0,379.0,301.9,,557.3,331.0,,397.2,744.0,432.0,459.0,0.0,,182.3,97.0,163.6,-49.0,-28.0,-105.1,,150.3,-76.0,,-9.8,337.0,25.0,52.0,,False,False,False,False,False,False,,False,False,,False,False,False,False
Vermont,58,56.0,,60.5,56.0,56.4,56.0,59.0,59.3,,62.8,56.0,,56.6,67.3,56.0,61.5,-2.0,,2.5,-2.0,-1.6,-2.0,1.0,1.3,,4.8,-2.0,,-1.4,9.3,-2.0,3.5,,False,False,True,False,True,True,,False,False,,True,False,True,False
Virginia,2568,2384.3,,2390.0,2258.0,2851.3,2198.0,2455.0,2615.8,,2394.9,2273.0,,2339.0,3185.5,2334.6,2512.1,-183.7,,-178.0,-310.0,283.3,-370.0,-113.0,47.8,,-173.1,-295.0,,-229.0,617.5,-233.4,-55.9,,True,False,False,False,True,True,,True,False,,False,False,False,True
Washington,1905,1499.7,,1887.7,1853.0,1916.6,1659.0,1669.4,2215.3,,1723.9,1688.0,,1576.3,2048.3,2043.6,1727.5,-405.3,,-17.3,-52.0,11.6,-246.0,-235.6,310.3,,-181.1,-217.0,,-328.7,143.3,138.6,-177.5,,True,True,True,True,True,True,,True,True,,True,True,True,True
West Virginia,215,123.4,,194.4,166.0,110.0,110.0,116.9,136.9,,128.1,102.0,,119.7,194.6,172.0,121.2,-91.6,,-20.6,-49.0,-105.0,-105.0,-98.1,-78.1,,-86.9,-113.0,,-95.3,-20.4,-43.0,-93.8,,True,True,False,False,False,True,,True,False,,False,True,True,False
Wisconsin,1119,984.6,,1318.6,1058.0,922.8,919.0,977.0,1084.0,1263.0,1172.9,984.5,,1020.1,2378.1,1162.0,1109.1,-134.4,,199.6,-61.0,-196.2,-200.0,-142.0,-35.0,144.0,53.9,-134.5,,-98.9,1259.1,43.0,-9.9,,False,True,False,False,False,True,False,True,False,,True,False,True,True
Wyoming,37,48.4,,47.8,37.0,21.5,27.0,30.7,38.6,,84.6,26.0,,36.9,50.9,42.4,37.5,11.4,,10.8,0.0,-15.5,-10.0,-6.3,1.6,,47.6,-11.0,,-0.1,13.9,5.4,0.5,,True,True,False,True,True,True,,False,True,,True,False,True,True
US,182761,171746.7,175417.0,177685.3,177197.0,178718.2,167819.0,161544.0,157865.7,,169497.1,191363.5,169128.0,169128.7,226111.2,174770.9,176159.3,-10347.3,-6677.0,-4408.7,-4897.0,-3375.8,-14275.0,-20550.0,-24228.3,,-12596.9,9269.5,-12966.0,-12965.3,44017.2,-7323.1,-5934.7,True,True,True,True,False,False,False,,False,True,False,False,False,True,True
