,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Missouri,1528,1265.0,1339.2,1443.0,1133.0,,1845.7,1315.1,2075.8,-259.0,-184.8,-81.0,-391.0,,321.7,-208.9,551.8,True,True,False,,False,True,False
Montana,104,29.9,20.7,26.0,20.0,,22.5,18.4,23.5,-74.1,-83.3,-78.0,-84.0,,-81.5,-85.6,-80.5,False,False,False,,False,False,False
Nebraska,392,519.0,391.1,454.7,288.0,,337.2,247.0,514.0,127.0,-0.9,62.7,-104.0,,-54.8,-145.0,122.0,True,True,True,,True,False,True
Nevada,1302,734.4,702.0,719.4,611.0,,633.2,801.6,862.6,-567.6,-600.0,-582.6,-691.0,,-668.8,-500.4,-439.4,False,False,False,,False,True,True
New Hampshire,432,689.1,541.1,650.3,345.0,,526.7,465.6,811.1,257.1,109.1,218.3,-87.0,,94.7,33.6,379.1,True,True,True,,True,True,False
New Jersey,15933,17903.0,13423.0,13987.6,13978.0,,14086.8,13030.3,14809.4,3826.0,-654.0,-89.4,-99.0,,9.8,-1046.7,732.4,True,True,True,,True,True,True
New Mexico,769,858.4,846.3,834.3,544.0,,598.8,567.6,943.4,89.4,77.3,65.3,-225.0,,-170.2,-201.4,174.4,True,True,False,,False,False,False
New York,32891,35721.6,31739.2,33082.8,32850.0,,31615.1,32573.0,32671.0,3600.6,-381.8,961.8,729.0,,-505.9,452.0,550.0,True,True,True,,True,True,True
North Carolina,2683,2217.7,3027.0,2175.4,2542.0,,2471.5,3280.7,3048.8,-465.3,344.0,-507.6,-141.0,,-211.5,597.7,365.8,True,False,True,,True,False,True
North Dakota,141,95.7,98.8,120.2,220.0,,99.9,93.4,139.2,-45.3,-42.2,-20.8,79.0,,-41.1,-47.6,-1.8,True,True,False,,True,False,True
Ohio,4126,4513.3,3639.4,3426.3,3180.0,,3372.0,3258.3,4676.6,387.3,-486.6,-699.7,-946.0,,-754.0,-867.7,550.6,False,False,False,,False,False,False
Oklahoma,797,478.4,450.0,548.0,611.0,,403.3,588.0,474.3,-318.6,-347.0,-249.0,-186.0,,-393.7,-209.0,-322.7,False,True,True,,False,True,False
Oregon,454,281.6,241.0,429.3,225.0,,222.8,373.4,272.6,-169.4,-210.0,-21.7,-226.0,,-228.2,-77.6,-178.4,False,True,False,,False,True,False
Pennsylvania,7656,9168.1,8485.9,8112.3,6746.0,,7600.0,7498.8,8723.8,1512.1,829.9,456.3,-910.0,,-56.0,-157.2,1067.8,True,True,True,,True,True,True
Rhode Island,1046,1495.3,1101.7,1111.5,997.0,,1096.8,783.7,1404.7,499.3,105.7,115.5,1.0,,100.8,-212.3,408.7,True,True,True,,True,True,True
South Carolina,2698,1186.3,1826.1,2067.6,917.0,,1054.3,2297.5,1633.1,-1511.7,-871.9,-630.4,-1781.0,,-1643.7,-400.5,-1064.9,True,True,False,,False,True,True
South Dakota,167,183.6,125.1,162.4,102.0,,98.7,102.8,160.8,16.6,-41.9,-4.6,-65.0,,-68.3,-64.2,-6.2,False,True,False,,False,False,True
Tennessee,1725,1082.0,869.8,1436.9,1206.0,,738.5,844.5,993.5,-643.0,-855.2,-288.1,-519.0,,-986.5,-880.5,-731.5,False,True,True,,False,False,False
Texas,12987,3536.6,4069.6,4042.0,3905.0,11575.0,2644.7,4792.1,3860.0,-9197.4,-8664.4,-8692.0,-8829.0,-1159.0,-10089.3,-7941.9,-8874.0,True,True,True,True,False,True,True
Utah,407,334.4,675.7,397.1,296.0,,223.5,389.1,430.3,-72.6,268.7,-9.9,-111.0,,-183.5,-17.9,23.3,False,True,False,,False,True,True
Vermont,58,55.0,73.0,60.6,59.0,,66.5,54.4,63.5,-3.0,15.0,2.6,1.0,,8.5,-3.6,5.5,False,True,True,,False,False,False
Virginia,2568,2349.4,2383.3,2015.7,2015.0,,1879.0,1938.1,3035.9,-218.6,-184.7,-552.3,-553.0,,-689.0,-629.9,467.9,True,False,False,,False,False,False
Washington,1899,1868.4,1613.0,1521.6,1415.0,,1355.8,1623.5,1960.5,-38.6,-294.0,-385.4,-492.0,,-551.2,-283.5,53.5,False,False,False,,False,False,False
West Virginia,215,131.4,107.1,131.6,87.0,,129.0,158.6,128.5,-83.6,-107.9,-83.4,-128.0,,-86.0,-56.4,-86.5,False,True,False,,False,True,False
Wisconsin,1178,1180.6,1126.9,1180.2,1126.0,,871.9,888.5,1537.0,50.6,-3.1,50.2,-4.0,,-258.1,-241.5,407.0,True,True,True,,False,False,False
Wyoming,37,28.9,26.7,20.9,18.0,,19.5,35.6,26.4,-8.1,-10.3,-16.1,-19.0,,-17.5,-1.4,-10.6,False,False,False,,False,True,False
US,183021,171722.3,154576.8,166750.7,145497.0,148767.0,132349.0,150703.6,172410.7,-8322.7,-25468.2,-13294.3,-34548.0,-31278.0,-47696.0,-29341.4,-7634.3,False,False,False,False,False,False,True
