,actual_deaths,Baseline,Covid19Sim-Simulator,IowaStateLW-STEM,UCLA-SuEIR,error-Baseline,error-Covid19Sim-Simulator,error-IowaStateLW-STEM,error-UCLA-SuEIR,beat_baseline-Covid19Sim-Simulator,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR
Kentucky,921,945.3,560.0,509.0,861.8,24.3,-361.0,-412.0,-59.2,False,False,False
Louisiana,4904,4076.7,3344.6,3354.0,3289.2,-827.3,-1559.4,-1550.0,-1614.8,False,False,False
Maine,132,230.4,150.9,574.0,103.6,98.4,18.9,442.0,-28.4,True,False,True
Maryland,3746,5810.6,4081.2,3792.0,4558.5,2064.6,335.2,46.0,812.5,True,True,True
Massachusetts,9036,12940.3,8098.4,8735.0,8973.7,3904.3,-937.6,-301.0,-62.3,True,True,True
Michigan,6712,8872.4,6078.9,6148.0,6416.8,2400.4,-393.1,-324.0,-55.2,True,True,True
Minnesota,1863,3261.4,1928.0,9824.0,1904.6,1398.4,65.0,7961.0,41.6,True,False,True
Mississippi,2427,2135.4,1094.6,1021.0,1171.4,-291.6,-1332.4,-1406.0,-1255.6,False,False,False
Missouri,1528,1933.1,904.8,1083.0,1642.4,443.1,-585.2,-407.0,152.4,False,True,True
Montana,104,29.9,18.3,18.0,21.0,-74.1,-85.7,-86.0,-83.0,False,False,False
Nebraska,392,465.7,433.1,398.0,348.3,73.7,41.1,6.0,-43.7,True,True,True
Nevada,1302,892.7,526.2,631.0,629.7,-409.3,-775.8,-671.0,-672.3,False,False,False
New Hampshire,432,707.9,303.9,285.0,509.2,275.9,-128.1,-147.0,77.2,True,True,True
New Jersey,15933,18898.0,12699.4,13404.0,14154.8,4785.0,-1413.6,-709.0,41.8,True,True,True
New Mexico,769,857.4,483.6,476.0,647.8,88.4,-285.4,-293.0,-121.2,False,False,False
New York,32891,38051.1,32117.2,32988.0,31315.9,6075.1,141.2,1012.0,-660.1,True,True,True
North Carolina,2683,2904.1,2227.1,1637.0,1995.4,221.1,-455.9,-1046.0,-687.6,False,False,False
North Dakota,141,163.9,120.7,472.0,91.7,22.9,-20.3,331.0,-49.3,True,False,False
Ohio,4252,4546.4,2957.7,2854.0,3353.8,294.4,-1294.3,-1398.0,-898.2,False,False,False
Oklahoma,797,629.7,412.8,457.0,393.2,-167.3,-384.2,-340.0,-403.8,False,False,False
Oregon,454,217.3,173.0,177.0,215.6,-236.7,-281.0,-277.0,-238.4,False,False,False
Pennsylvania,7656,10942.1,6494.4,5944.0,8138.9,3286.1,-1161.6,-1712.0,482.9,True,True,True
Rhode Island,1046,2132.3,835.0,985.0,998.8,1193.3,-104.0,46.0,59.8,True,True,True
South Carolina,2698,1252.6,776.8,661.0,923.5,-1445.4,-1921.2,-2037.0,-1774.5,False,False,False
South Dakota,167,216.3,140.1,187.0,93.7,49.3,-26.9,20.0,-73.3,True,True,False
Tennessee,1725,724.0,665.7,731.0,487.5,-1001.0,-1059.3,-994.0,-1237.5,False,True,False
Texas,12607,3565.0,3277.0,3390.0,3035.9,-8929.0,-9217.0,-9104.0,-9458.1,False,False,False
Utah,407,318.7,439.5,194.0,281.8,-88.3,32.5,-213.0,-125.2,True,False,False
Vermont,58,67.9,57.0,55.0,68.6,9.9,-1.0,-3.0,10.6,True,True,False
Virginia,2568,3997.9,2140.1,2187.0,2737.7,1429.9,-427.9,-381.0,169.7,True,True,True
Washington,1905,1850.9,1458.7,1308.0,1305.5,-54.1,-446.3,-597.0,-599.5,False,False,False
West Virginia,215,113.6,129.8,78.0,153.1,-101.4,-85.2,-137.0,-61.9,True,False,True
Wisconsin,1119,1646.3,1178.7,1234.0,910.0,527.3,59.7,115.0,-209.0,True,True,True
Wyoming,37,67.4,26.9,18.0,18.2,30.4,-10.1,-19.0,-18.8,True,True,True
US,182714,190035.3,132990.9,142460.0,129701.5,10554.3,-46490.1,-37021.0,-49779.5,False,False,False
