,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,5576,5224.7,5158.0,5254.2,5296.0,5268.4,5129.0,5397.0,,4939.0,5896.4,5037.6,5322.0,5202.8,5457.4,5180.5,5849.6,5067.5,5209.8,5014.2,,4583.5,5243.3,5051.0,,5578.8,6864.6,,5231.0,5124.7,,5075.0,4908.2,5470.8,5136.0,5170.1,5024.0,-351.3,-418.0,-321.8,-280.0,-307.6,-447.0,-179.0,,-637.0,320.4,-538.4,-254.0,-373.2,-118.6,-395.5,273.6,-508.5,-366.2,-561.8,,-992.5,-332.7,-525.0,,2.8,1288.6,,-345.0,-451.3,,-501.0,-667.8,-105.2,-440.0,-405.9,-552.0,False,True,True,True,False,True,,False,True,False,True,False,True,False,True,False,False,False,,False,True,False,,True,False,,True,False,,False,False,True,False,False,False
Hawaii,62,45.3,47.0,50.1,45.0,46.0,51.0,84.0,,57.0,47.1,,,28.1,44.1,79.6,71.4,51.7,42.0,41.2,,43.3,56.5,31.0,,,49.1,,75.0,47.9,,79.0,,49.8,31.0,48.2,,-16.7,-15.0,-11.9,-17.0,-16.0,-11.0,22.0,,-5.0,-14.9,,,-33.9,-17.9,17.6,9.4,-10.3,-20.0,-20.8,,-18.7,-5.5,-31.0,,,-12.9,,13.0,-14.1,,17.0,,-12.2,-31.0,-13.8,,True,True,False,True,True,False,,True,True,,,False,False,False,True,True,False,False,,False,True,False,,,True,,True,True,,False,,True,False,True,
Idaho,358,351.3,364.0,357.9,358.0,349.0,362.0,367.0,,312.0,916.3,356.1,,384.2,373.0,524.5,418.3,327.7,343.4,394.8,,431.7,369.9,703.5,,,396.3,,383.0,297.0,,311.0,351.5,328.3,371.0,374.9,,-6.7,6.0,-0.1,0.0,-9.0,4.0,9.0,,-46.0,558.3,-1.9,,26.2,15.0,166.5,60.3,-30.3,-14.6,36.8,,73.7,11.9,345.5,,,38.3,,25.0,-61.0,,-47.0,-6.5,-29.7,13.0,16.9,,True,True,True,False,True,False,,False,False,True,,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,True,False,False,False,
Illinois,8217,8219.3,8673.0,8253.4,8261.0,8261.5,8257.0,8543.0,,7928.0,8172.0,,,8002.0,8340.0,8249.9,8163.4,8126.0,8263.5,8728.6,8755.0,7866.4,8376.4,8015.0,,8166.9,8369.9,,8406.0,8302.9,,8250.0,8391.9,9088.5,8328.0,8310.2,7859.0,2.3,456.0,36.4,44.0,44.5,40.0,326.0,,-289.0,-45.0,,,-215.0,123.0,32.9,-53.6,-91.0,46.5,511.6,538.0,-350.6,159.4,-202.0,,-50.1,152.9,,189.0,85.9,,33.0,174.9,871.5,111.0,93.2,-358.0,False,False,False,False,False,False,,False,False,,,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,,False,False,False,False,False,False
Indiana,3285,3229.6,3358.0,3223.8,3278.0,3232.0,3283.0,3370.0,,3283.0,3240.8,3309.3,,3299.0,3399.5,3231.2,3410.7,3238.5,3246.3,3147.2,3292.0,3125.4,3260.9,3323.0,,3244.0,3907.7,,3341.0,3193.1,,3322.0,3264.8,3772.0,3261.0,3337.2,3148.0,-55.4,73.0,-61.2,-7.0,-53.0,-2.0,85.0,,-2.0,-44.2,24.3,,14.0,114.5,-53.8,125.7,-46.5,-38.7,-137.8,7.0,-159.6,-24.1,38.0,,-41.0,622.7,,56.0,-91.9,,37.0,-20.2,487.0,-24.0,52.2,-137.0,False,False,True,True,True,False,,True,True,True,,True,False,True,False,True,True,False,True,False,True,True,,True,False,,False,False,,True,True,False,True,True,False
Iowa,1100,1082.4,1143.0,1094.5,1059.0,1085.9,1070.0,1015.0,,977.0,1180.7,1068.2,,1034.4,1059.2,1165.3,1069.5,1025.6,1052.6,1096.7,,1093.3,1092.4,1147.0,,1103.9,999.2,,1154.0,1052.9,,1042.0,1042.5,1111.5,1092.0,1078.9,1045.0,-17.6,43.0,-5.5,-41.0,-14.1,-30.0,-85.0,,-123.0,80.7,-31.8,,-65.6,-40.8,65.3,-30.5,-74.4,-47.4,-3.3,,-6.7,-7.6,47.0,,3.9,-100.8,,54.0,-47.1,,-58.0,-57.5,11.5,-8.0,-21.1,-55.0,False,True,False,True,False,False,,False,False,False,,False,False,False,False,False,False,True,,True,True,False,,True,False,,False,False,,False,False,True,True,False,False
Kansas,449,434.3,515.0,444.3,463.0,446.0,451.0,498.0,,451.0,481.1,495.3,,523.6,471.1,584.4,486.2,420.3,437.0,470.2,,470.8,433.3,474.0,,,440.5,,458.0,421.7,,421.0,411.8,477.6,438.0,453.2,,-14.7,66.0,-4.7,14.0,-3.0,2.0,49.0,,2.0,32.1,46.3,,74.6,22.1,135.4,37.2,-28.7,-12.0,21.2,,21.8,-15.7,25.0,,,-8.5,,9.0,-27.3,,-28.0,-37.2,28.6,-11.0,4.2,,False,True,True,True,True,False,,True,False,False,,False,False,False,False,False,True,False,,False,False,False,,,True,,True,False,,False,False,False,True,True,
Kentucky,921,861.6,926.0,877.2,890.0,867.9,887.0,925.0,,914.0,942.6,927.8,,1017.4,960.2,1068.3,940.5,842.9,851.1,879.4,887.0,949.2,884.2,872.0,,903.0,956.5,,888.0,849.5,,880.0,854.7,1025.2,877.0,895.2,,-59.4,5.0,-43.8,-31.0,-53.1,-34.0,4.0,,-7.0,21.6,6.8,,96.4,39.2,147.3,19.5,-78.1,-69.9,-41.6,-34.0,28.2,-36.8,-49.0,,-18.0,35.5,,-33.0,-71.5,,-41.0,-66.3,104.2,-44.0,-25.8,,True,True,True,True,True,True,,True,True,True,,False,True,False,True,False,False,True,True,True,True,True,,True,True,,True,False,,True,False,False,True,True,
Louisiana,4904,4994.4,4903.0,4956.2,4994.0,4981.2,4915.0,4785.0,,4680.0,5232.9,4937.5,,4907.9,5079.9,4747.7,5498.3,4823.0,4924.8,5016.1,,4553.0,4886.4,5417.0,,5183.0,6175.9,,4965.0,4849.1,,4897.0,,5440.8,4667.0,4849.1,4730.0,90.4,-1.0,52.2,90.0,77.2,11.0,-119.0,,-224.0,328.9,33.5,,3.9,175.9,-156.3,594.3,-81.0,20.8,112.1,,-351.0,-17.6,513.0,,279.0,1271.9,,61.0,-54.9,,-7.0,,536.8,-237.0,-54.9,-174.0,True,True,True,True,True,False,,False,False,True,,True,False,False,False,True,True,False,,False,True,False,,False,False,,True,True,,True,,False,False,True,False
Maine,132,130.7,142.0,130.3,131.0,131.3,130.0,125.0,,127.0,138.9,134.6,,130.9,131.7,144.8,133.4,129.4,125.4,129.6,,147.3,130.2,129.0,,,138.3,,137.0,128.4,,129.0,131.3,136.2,130.0,130.7,,-1.3,10.0,-1.7,-1.0,-0.7,-2.0,-7.0,,-5.0,6.9,2.6,,-1.1,-0.3,12.8,1.4,-2.6,-6.6,-2.4,,15.3,-1.8,-3.0,,,6.3,,5.0,-3.6,,-3.0,-0.7,4.2,-2.0,-1.3,,False,False,True,True,False,False,,False,False,False,,True,True,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,True,False,False,False,
Maryland,3746,3785.0,3991.0,3790.5,3829.0,3790.5,3790.0,3825.0,,3806.0,3796.5,3786.9,,3801.8,3888.0,3830.0,3909.6,3710.2,3781.5,3690.3,,3693.5,3789.4,3720.0,,3879.0,3806.1,,3820.0,3755.8,,3790.0,3781.1,4217.6,3765.0,3864.8,3748.0,39.0,245.0,44.5,83.0,44.5,44.0,79.0,,60.0,50.5,40.9,,55.8,142.0,84.0,163.6,-35.8,35.5,-55.7,,-52.5,43.4,-26.0,,133.0,60.1,,74.0,9.8,,44.0,35.1,471.6,19.0,118.8,2.0,False,False,False,False,False,False,,False,False,False,,False,False,False,False,True,True,False,,False,False,True,,False,False,,False,True,,False,True,False,True,False,True
Massachusetts,9036,9012.1,9226.0,8991.6,9011.0,9027.3,8992.0,9062.0,,8751.0,8975.7,9070.3,,8946.9,9116.0,8998.7,8938.1,8976.4,8967.2,8991.2,,8754.6,9060.1,8803.0,,9070.2,10343.1,,9114.0,8934.6,,9010.0,8911.3,9287.5,9120.0,9057.3,8720.0,-23.9,190.0,-44.4,-25.0,-8.7,-44.0,26.0,,-285.0,-60.3,34.3,,-89.1,80.0,-37.3,-97.9,-59.6,-68.8,-44.8,,-281.4,24.1,-233.0,,34.2,1307.1,,78.0,-101.4,,-26.0,-124.7,251.5,84.0,21.3,-316.0,False,False,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,True,False
Michigan,6712,6696.1,6917.0,6711.2,6726.0,6718.8,6691.0,6732.0,,6731.0,6661.1,6819.7,,6691.5,6711.1,6911.7,6670.2,6629.3,6702.7,6572.7,7113.0,6587.5,6712.7,6576.0,,6588.5,7220.3,,6696.0,6689.9,,6691.0,6650.3,7455.5,6693.0,6713.4,6555.0,-15.9,205.0,-0.8,14.0,6.8,-21.0,20.0,,19.0,-50.9,107.7,,-20.5,-0.9,199.7,-41.8,-82.7,-9.3,-139.3,401.0,-124.5,0.7,-136.0,,-123.5,508.3,,-16.0,-22.1,,-21.0,-61.7,743.5,-19.0,1.4,-157.0,False,True,True,True,False,False,,False,False,False,,False,True,False,False,False,True,False,False,False,True,False,,False,False,,False,False,,False,False,False,False,True,False
Minnesota,1863,1823.7,1961.0,1817.5,1843.0,1818.1,1823.0,1926.0,,1769.0,1818.6,1870.8,,1778.1,1843.5,1922.8,1872.1,1796.8,1824.1,1871.7,1778.0,1707.5,1823.1,1713.0,,1841.4,1765.7,,1862.0,1817.5,,1841.0,1846.3,2090.5,1828.0,1855.1,,-39.3,98.0,-45.5,-20.0,-44.9,-40.0,63.0,,-94.0,-44.4,7.8,,-84.9,-19.5,59.8,9.1,-66.2,-38.9,8.7,-85.0,-155.5,-39.9,-150.0,,-21.6,-97.3,,-1.0,-45.5,,-22.0,-16.7,227.5,-35.0,-7.9,,False,False,True,False,False,False,,False,False,True,,False,True,False,True,False,True,True,False,False,False,False,,True,False,,True,False,,True,True,False,True,True,
Mississippi,2427,2447.4,2526.0,2407.8,2471.0,2416.8,2390.0,2213.0,,2370.0,2937.8,2391.8,,2529.3,2584.0,2375.2,2369.9,2222.2,2335.2,2318.3,,2401.1,2337.1,2720.0,,2708.2,2358.1,,2416.0,2275.6,,2335.0,2421.7,2535.9,2366.0,2422.1,2250.0,20.4,99.0,-19.2,44.0,-10.2,-37.0,-214.0,,-57.0,510.8,-35.2,,102.3,157.0,-51.8,-57.1,-204.8,-91.8,-108.7,,-25.9,-89.9,293.0,,281.2,-68.9,,-11.0,-151.4,,-92.0,-5.3,108.9,-61.0,-4.9,-177.0,False,True,False,True,False,False,,False,False,False,,False,False,False,False,False,False,False,,False,False,False,,False,False,,True,False,,False,True,False,False,True,False
Missouri,1528,1499.7,1597.0,1476.4,1587.0,1480.0,1524.0,1526.0,,1636.0,1610.5,1526.4,,1780.9,1742.8,1695.9,1604.4,1438.4,1519.8,1502.1,,1499.6,1517.1,1507.0,,1452.0,1564.2,,1401.0,1502.4,,1477.0,1488.4,1834.2,1532.0,1538.7,1459.0,-28.3,69.0,-51.6,59.0,-48.0,-4.0,-2.0,,108.0,82.5,-1.6,,252.9,214.8,167.9,76.4,-89.6,-8.2,-25.9,,-28.4,-10.9,-21.0,,-76.0,36.2,,-127.0,-25.6,,-51.0,-39.6,306.2,4.0,10.7,-69.0,False,False,False,False,True,True,,False,False,True,,False,False,False,False,False,True,True,,False,True,True,,False,False,,False,True,,False,False,False,True,True,False
Montana,104,115.0,122.0,116.2,105.0,117.0,117.0,90.0,,100.0,188.2,117.4,,105.4,126.6,160.6,145.5,103.3,99.4,154.3,,144.0,118.9,136.0,,,114.7,,120.0,101.0,,112.0,136.6,110.6,124.0,116.2,,11.0,18.0,12.2,1.0,13.0,13.0,-14.0,,-4.0,84.2,13.4,,1.4,22.6,56.6,41.5,-0.7,-4.6,50.3,,40.0,14.9,32.0,,,10.7,,16.0,-3.0,,8.0,32.6,6.6,20.0,12.2,,False,False,True,False,False,False,,True,False,False,,True,False,False,False,True,True,False,,False,False,False,,,True,,False,True,,True,False,True,False,False,
Nebraska,392,382.1,469.0,378.7,400.0,384.0,387.0,397.0,,371.0,418.6,,,393.8,405.0,457.6,396.3,367.8,378.0,382.0,,407.2,389.9,362.0,,,396.2,,397.0,373.4,,382.0,392.9,412.5,387.0,393.0,,-9.9,77.0,-13.3,8.0,-8.0,-5.0,5.0,,-21.0,26.6,,,1.8,13.0,65.6,4.3,-24.2,-14.0,-10.0,,15.2,-2.1,-30.0,,,4.2,,5.0,-18.6,,-10.0,0.9,20.5,-5.0,1.0,,False,False,True,True,True,True,,False,False,,,True,False,False,True,False,False,False,,False,True,False,,,True,,True,False,,False,True,False,True,True,
Nevada,1302,1314.1,1283.0,1302.4,1223.0,1300.0,1271.0,1170.0,,1151.0,1627.4,1226.4,,1245.6,1293.5,1326.9,1361.5,1173.7,1247.0,1342.3,,1284.5,1403.6,1599.0,,1498.3,1331.9,,1246.0,1238.7,,1207.0,1212.1,1285.5,1255.0,1278.3,1197.0,12.1,-19.0,0.4,-79.0,-2.0,-31.0,-132.0,,-151.0,325.4,-75.6,,-56.4,-8.5,24.9,59.5,-128.3,-55.0,40.3,,-17.5,101.6,297.0,,196.3,29.9,,-56.0,-63.3,,-95.0,-89.9,-16.5,-47.0,-23.7,-105.0,False,True,False,True,False,False,,False,False,False,,False,True,False,False,False,False,False,,False,False,False,,False,False,,False,False,,False,False,False,False,False,False
New Hampshire,432,424.7,447.0,431.6,435.0,431.3,432.0,425.0,,428.0,442.5,452.9,,446.3,447.4,445.8,430.3,441.4,420.9,465.7,,431.4,429.3,421.0,,,426.1,,437.0,432.7,,432.0,462.0,452.1,430.0,447.0,,-7.3,15.0,-0.4,3.0,-0.7,0.0,-7.0,,-4.0,10.5,20.9,,14.3,15.4,13.8,-1.7,9.4,-11.1,33.7,,-0.6,-2.7,-11.0,,,-5.9,,5.0,0.7,,0.0,30.0,20.1,-2.0,15.0,,False,True,True,True,True,True,,True,False,False,,False,False,False,True,False,False,False,,True,True,False,,,True,,True,True,,True,False,False,True,False,
New Jersey,15933,15982.6,16609.0,15966.5,16092.0,16104.4,16046.0,16165.0,,15911.0,16053.5,16389.1,,16089.8,16070.5,16057.1,16063.0,16164.0,15960.8,16018.7,,16077.6,15977.5,15927.0,,16086.3,16032.4,,16150.0,16000.2,,16001.0,16757.1,16473.6,16087.0,16021.1,16043.0,49.6,676.0,33.5,159.0,171.4,113.0,232.0,,-22.0,120.5,456.1,,156.8,137.5,124.1,130.0,231.0,27.8,85.7,,144.6,44.5,-6.0,,153.3,99.4,,217.0,67.2,,68.0,824.1,540.6,154.0,88.1,110.0,False,True,False,False,False,False,,True,False,False,,False,False,False,False,False,True,False,,False,True,True,,False,False,,False,False,,False,False,False,False,False,False
