,actual_deaths,Baseline,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,YYG-ParamSearch,error-Baseline,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-YYG-ParamSearch,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-YYG-ParamSearch
Mississippi,2427,1401.3,1665.2,1211.0,1241.0,,1210.2,1243.9,1661.4,-1025.7,-761.8,-1216.0,-1186.0,,-1216.8,-1183.1,-765.6,True,False,False,,False,False,True
Missouri,1528,1753.6,1338.7,2207.6,1207.0,,1747.2,1535.5,1464.8,235.6,-179.3,689.6,-311.0,,229.2,17.5,-53.2,True,False,False,,True,True,True
Montana,104,29.9,29.4,34.2,33.0,,23.7,20.6,31.9,-74.1,-74.6,-69.8,-71.0,,-80.3,-83.4,-72.1,False,True,True,,False,False,True
Nebraska,392,529.9,372.2,471.3,304.0,,340.8,266.5,558.5,137.9,-19.8,79.3,-88.0,,-51.2,-125.5,166.5,True,True,True,,True,True,False
Nevada,1302,723.6,736.4,737.0,668.0,,661.3,891.0,782.9,-578.4,-565.6,-565.0,-634.0,,-640.7,-411.0,-519.1,True,True,False,,False,True,True
New Hampshire,432,526.3,503.1,610.0,342.0,,510.0,442.9,583.8,94.3,71.1,178.0,-90.0,,78.0,10.9,151.8,True,False,True,,True,True,False
New Jersey,15933,15699.0,13486.4,13765.9,13934.0,,14071.8,13001.4,13774.5,1629.0,-583.6,-304.1,-136.0,,1.8,-1068.6,-295.5,True,True,True,,True,True,True
New Mexico,769,804.1,713.0,772.9,540.0,,610.6,570.6,783.6,35.1,-56.0,3.9,-229.0,,-158.4,-198.4,14.6,False,True,False,,False,False,True
New York,32891,34082.1,31769.7,31828.9,32331.0,,31919.6,32721.7,31939.7,1920.1,-392.3,-333.1,169.0,,-242.4,559.7,-222.3,True,True,True,,True,True,True
North Carolina,2683,2033.1,2912.4,1832.7,2289.0,,2242.2,2686.0,2352.8,-619.9,259.4,-820.3,-364.0,,-410.8,33.0,-300.2,True,False,True,,True,True,True
North Dakota,141,106.6,99.0,90.6,97.0,,98.1,88.4,130.3,-34.4,-42.0,-50.4,-44.0,,-42.9,-52.6,-10.7,False,False,False,,False,False,True
Ohio,4252,4089.9,3467.3,3570.5,3212.0,,3404.8,3507.2,4370.2,-162.1,-784.7,-681.5,-1040.0,,-847.2,-744.8,118.2,False,False,False,,False,False,True
Oklahoma,797,467.6,513.1,503.9,890.0,,429.4,853.4,556.8,-329.4,-283.9,-293.1,93.0,,-367.6,56.4,-240.2,True,True,True,,False,True,True
Oregon,454,306.3,307.0,556.0,259.0,,251.5,480.7,323.0,-145.7,-145.0,104.0,-193.0,,-200.5,28.7,-129.0,True,True,False,,False,True,True
Pennsylvania,7656,8473.3,7956.5,7540.7,6761.0,,7440.2,7465.6,7801.3,817.3,300.5,-115.3,-895.0,,-215.8,-190.4,145.3,True,True,False,,True,True,True
Rhode Island,1046,1495.3,1082.8,1114.6,1012.0,,1101.7,798.5,1266.8,449.3,36.8,68.6,-34.0,,55.7,-247.5,220.8,True,True,True,,True,True,True
South Carolina,2698,1175.4,2051.4,1078.0,1157.0,,1283.5,2700.3,1527.0,-1522.6,-646.6,-1620.0,-1541.0,,-1414.5,2.3,-1171.0,True,False,False,,True,True,True
South Dakota,167,140.1,129.2,162.7,96.0,,100.9,105.7,164.5,-26.9,-37.8,-4.3,-71.0,,-66.1,-61.3,-2.5,False,True,False,,False,False,True
Tennessee,1725,1038.6,976.0,922.1,1357.0,,752.9,949.8,1170.3,-686.4,-749.0,-802.9,-368.0,,-972.1,-775.2,-554.7,False,False,True,,False,False,True
Texas,12607,4231.4,4722.4,7910.9,5724.0,6934.0,3754.7,6215.9,5220.2,-8198.6,-7707.6,-4519.1,-6706.0,-5496.0,-8675.3,-6214.1,-7209.8,True,True,True,True,False,True,True
Utah,407,345.3,755.5,335.8,326.0,,227.7,422.3,403.3,-61.7,348.5,-71.2,-81.0,,-179.3,15.3,-3.7,False,False,False,,False,True,True
Vermont,58,65.9,67.1,63.7,57.0,,64.0,52.2,65.7,7.9,9.1,5.7,-1.0,,6.0,-5.8,7.7,False,True,True,,True,True,True
Virginia,2568,2251.7,2130.1,1772.3,1895.0,,1862.8,1844.9,2251.2,-316.3,-437.9,-795.7,-673.0,,-705.2,-723.1,-316.8,False,False,False,,False,False,False
Washington,1905,1792.4,1650.8,1687.7,1489.0,,1379.7,1782.3,1923.3,-112.6,-254.2,-217.3,-416.0,,-525.3,-122.7,18.3,False,False,False,,False,False,True
West Virginia,215,98.9,111.1,108.9,89.0,,127.1,145.5,122.2,-116.1,-103.9,-106.1,-126.0,,-87.9,-69.5,-92.8,True,True,False,,True,True,True
Wisconsin,1119,1256.6,1057.0,1014.7,1003.0,,876.0,923.9,1325.5,137.6,-62.0,-104.3,-116.0,,-243.0,-195.1,206.5,True,True,True,,False,False,False
Wyoming,37,39.7,33.3,20.5,18.0,,21.7,40.6,48.3,2.7,-3.7,-16.5,-19.0,,-15.3,3.6,11.3,False,False,False,,False,False,False
US,182714,161704.1,155340.2,160365.9,147597.0,137713.0,134650.2,160013.2,161300.2,-18197.9,-24561.8,-19536.1,-32305.0,-42189.0,-45251.8,-19888.8,-18601.8,False,False,False,False,False,False,False
