,actual_deaths,Baseline,Auquan-SEIR,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,IHME-CurveFit,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-IHME-CurveFit,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,5576,5159.1,5101.0,5083.0,5149.0,4971.0,5692.0,,5119.1,5051.0,5085.0,4814.1,5322.0,5326.7,4743.0,5402.0,5350.5,5498.4,4771.0,5158.3,4361.4,5214.3,,3800.6,5255.0,7440.0,,,4531.6,,4825.0,4910.3,,4922.0,4608.4,5530.0,5281.0,5420.5,5014.4,4707.0,-416.9,-475.0,-493.0,-427.0,-605.0,116.0,,-456.9,-525.0,-491.0,-761.9,-254.0,-249.3,-833.0,-174.0,-225.5,-77.6,-805.0,-417.7,-1214.6,-361.7,,-1775.4,-321.0,1864.0,,,-1044.4,,-751.0,-665.7,,-654.0,-967.6,-46.0,-295.0,-155.5,-561.6,-869.0,False,False,False,False,True,,False,False,False,False,True,True,False,True,True,True,False,False,False,True,,False,True,False,,,False,,False,False,,False,False,True,True,True,False,False
Hawaii,62,26.0,37.0,35.0,28.0,41.0,72.0,,42.3,32.0,47.3,,,34.0,,36.0,84.9,62.7,47.8,29.1,28.4,31.8,,102.6,59.5,51.0,,,30.5,,58.0,27.7,,51.0,,47.9,26.0,33.0,34.1,,-36.0,-25.0,-27.0,-34.0,-21.0,10.0,,-19.7,-30.0,-14.7,,,-28.0,,-26.0,22.9,0.7,-14.2,-32.9,-33.6,-30.2,,40.6,-2.5,-11.0,,,-31.5,,-4.0,-34.3,,-11.0,,-14.1,-36.0,-29.0,-27.9,,True,True,True,True,True,,True,True,True,,,True,,True,True,True,True,True,True,True,,False,True,True,,,True,,True,True,,True,,True,False,True,True,
Idaho,358,393.7,318.0,346.0,401.0,387.0,328.0,,399.6,306.0,889.2,428.0,,280.9,282.0,398.1,543.9,375.8,247.5,314.4,322.7,579.6,,265.5,406.9,1218.5,,,246.0,,397.0,377.2,,315.0,,305.7,371.0,1246.0,440.4,406.0,35.7,-40.0,-12.0,43.0,29.0,-30.0,,41.6,-52.0,531.2,70.0,,-77.1,-76.0,40.1,185.9,17.8,-110.5,-43.6,-35.3,221.6,,-92.5,48.9,860.5,,,-112.0,,39.0,19.2,,-43.0,,-52.3,13.0,888.0,82.4,48.0,False,True,False,True,True,,False,False,False,False,,False,False,False,False,True,False,False,True,False,,False,False,False,,,False,,False,True,,False,,False,True,False,False,False
Illinois,8217,8192.3,8585.0,8173.0,8157.7,8211.0,8543.0,,8244.9,7750.0,8010.6,8220.9,,7904.4,8163.0,8315.4,8455.4,8199.2,8051.0,8223.8,8647.7,8125.6,8981.5,7780.3,8310.8,7958.0,,,8264.9,,8127.0,8214.4,,8205.0,8572.9,9417.9,8285.0,7958.0,8314.0,7906.0,-24.7,368.0,-44.0,-59.3,-6.0,326.0,,27.9,-467.0,-206.4,3.9,,-312.6,-54.0,98.4,238.4,-17.8,-166.0,6.8,430.7,-91.4,764.5,-436.7,93.8,-259.0,,,47.9,,-90.0,-2.6,,-12.0,355.9,1200.9,68.0,-259.0,97.0,-311.0,False,False,False,True,False,,False,False,False,True,,False,False,False,False,True,False,True,False,False,False,False,False,False,,,False,,False,True,,True,False,False,False,False,False,False
Indiana,3285,3252.7,3299.0,3263.0,3275.8,3298.0,3325.0,,3279.5,3298.0,3178.0,3281.8,,3357.4,3087.0,3414.5,3300.0,3502.1,3187.1,3254.8,3449.9,3656.0,3059.0,3044.5,3364.5,3169.0,,,3330.5,,3212.0,3235.7,,3306.0,3229.5,3916.2,3340.0,3390.0,3375.0,3246.0,-32.3,14.0,-22.0,-9.2,13.0,40.0,,-5.5,13.0,-107.0,-3.2,,72.4,-198.0,129.5,15.0,217.1,-97.9,-30.2,164.9,371.0,-226.0,-240.5,79.5,-116.0,,,45.5,,-73.0,-49.3,,21.0,-55.5,631.2,55.0,105.0,90.0,-39.0,True,True,True,True,False,,True,True,False,True,,False,False,False,True,False,False,True,False,False,False,False,False,False,,,False,,False,False,,True,False,False,False,False,False,False
Iowa,1100,1067.0,1102.0,1059.0,1066.0,1029.0,1026.0,,1066.2,966.0,1016.1,980.3,,1090.5,920.0,1058.7,1205.3,1187.1,978.6,1026.9,996.2,1115.7,,950.2,1026.3,1214.0,,,988.7,,1035.0,1031.9,,999.0,1015.9,1146.1,1030.0,1141.0,1073.2,,-33.0,2.0,-41.0,-34.0,-71.0,-74.0,,-33.8,-134.0,-83.9,-119.7,,-9.5,-180.0,-41.3,105.3,87.1,-121.4,-73.1,-103.8,15.7,,-149.8,-73.7,114.0,,,-111.3,,-65.0,-68.1,,-101.0,-84.1,46.1,-70.0,41.0,-26.8,,True,False,False,False,False,,False,False,False,False,,True,False,False,False,False,False,False,False,True,,False,False,False,,,False,,False,False,,False,False,False,False,False,True,
Kansas,449,476.7,499.0,483.0,473.9,474.0,476.0,,522.7,402.0,510.0,,,431.3,505.0,472.2,635.7,472.7,398.7,451.5,437.2,487.8,,373.9,478.3,475.0,,,438.9,,416.0,457.0,,426.0,,492.8,461.0,572.0,480.7,,27.7,50.0,34.0,24.9,25.0,27.0,,73.7,-47.0,61.0,,,-17.7,56.0,23.2,186.7,23.7,-50.3,2.5,-11.8,38.8,,-75.1,29.3,26.0,,,-10.1,,-33.0,8.0,,-23.0,,43.8,12.0,123.0,31.7,,False,False,True,True,True,,False,False,False,,,True,False,True,False,True,False,True,True,False,,False,False,True,,,True,,False,True,,True,,False,True,False,False,
Kentucky,921,904.0,897.0,912.0,915.9,947.0,960.0,,984.0,951.0,976.6,1051.1,,872.3,860.0,984.1,1240.6,969.8,855.2,904.6,1001.9,946.7,938.0,978.2,972.3,949.0,,,842.1,,927.0,929.9,,914.0,858.5,1105.1,984.0,1013.5,957.7,,-17.0,-24.0,-9.0,-5.1,26.0,39.0,,63.0,30.0,55.6,130.1,,-48.7,-61.0,63.1,319.6,48.8,-65.8,-16.4,80.9,25.7,17.0,57.2,51.3,28.0,,,-78.9,,6.0,8.9,,-7.0,-62.5,184.1,63.0,92.5,36.7,,False,True,True,False,False,,False,False,False,False,,False,False,False,False,False,False,True,False,False,False,False,False,False,,,False,,True,True,,True,False,False,False,False,False,
Louisiana,4904,4948.1,4766.0,4849.0,4885.2,4799.0,4710.0,,4705.0,4769.0,4966.1,4760.9,,4795.8,4680.0,5098.3,4677.3,5540.8,5017.2,4711.0,4162.3,5200.5,,4094.6,4834.9,5506.0,,,4585.6,,5157.0,4720.4,,4822.0,,5679.6,4546.0,5758.0,4781.1,4736.0,44.1,-138.0,-55.0,-18.8,-105.0,-194.0,,-199.0,-135.0,62.1,-143.1,,-108.2,-224.0,194.3,-226.7,636.8,113.2,-193.0,-741.7,296.5,,-809.4,-69.1,602.0,,,-318.4,,253.0,-183.6,,-82.0,,775.6,-358.0,854.0,-122.9,-168.0,False,False,True,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,,False,False,False,False,False
Maine,132,138.4,141.0,137.0,139.0,139.0,123.0,,129.7,126.0,141.4,137.9,,131.5,152.0,141.5,153.2,134.5,131.2,124.1,137.2,132.4,,130.9,142.9,146.0,,,145.9,,147.0,138.2,,133.0,132.7,140.6,133.0,147.0,138.7,,6.4,9.0,5.0,7.0,7.0,-9.0,,-2.3,-6.0,9.4,5.9,,-0.5,20.0,9.5,21.2,2.5,-0.8,-7.9,5.2,0.4,,-1.1,10.9,14.0,,,13.9,,15.0,6.2,,1.0,0.7,8.6,1.0,15.0,6.7,,False,True,False,False,False,,True,True,False,True,,True,False,False,False,True,True,False,True,True,,True,False,False,,,False,,False,True,,True,True,False,True,False,False,
Maryland,3746,3804.3,3947.0,3799.0,3799.8,3802.0,4055.0,,3848.7,3795.0,3693.7,3834.8,,3716.9,3702.0,3956.5,3860.2,3861.6,3726.4,3796.6,3839.5,4350.6,,3655.3,3888.0,3591.0,,,3814.9,,3789.0,3792.5,,3878.0,,4406.1,3927.0,3883.0,3918.5,3764.0,58.3,201.0,53.0,53.8,56.0,309.0,,102.7,49.0,-52.3,88.8,,-29.1,-44.0,210.5,114.2,115.6,-19.6,50.6,93.5,604.6,,-90.7,142.0,-155.0,,,68.9,,43.0,46.5,,132.0,,660.1,181.0,137.0,172.5,18.0,False,True,True,True,False,,False,True,True,False,,True,True,False,False,False,True,True,False,False,,False,False,False,,,False,,True,True,,False,,False,False,False,False,True
Massachusetts,9036,9058.4,9177.0,8926.0,9124.2,9087.0,9411.0,,8714.2,8669.0,8875.8,9161.9,,9079.6,8784.0,9205.8,9007.9,8750.6,9119.9,8973.3,8520.1,9034.4,,8675.7,9293.9,8706.0,,,8982.3,,9501.0,9054.7,,9155.0,,9412.2,9274.0,9311.5,9076.6,8879.0,22.4,141.0,-110.0,88.2,51.0,375.0,,-321.8,-367.0,-160.2,125.9,,43.6,-252.0,169.8,-28.1,-285.4,83.9,-62.7,-515.9,-1.6,,-360.3,257.9,-330.0,,,-53.7,,465.0,18.7,,119.0,,376.2,238.0,275.5,40.6,-157.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,True,,False,False,False,,,False,,False,True,,False,,False,False,False,False,False
Michigan,6712,6676.9,6880.0,6671.0,6719.9,6699.0,7111.0,,6725.1,6729.0,6586.6,6835.2,,6591.5,6765.0,6682.9,7112.0,6653.7,6605.0,6626.5,7272.7,6495.4,6724.0,6881.9,6729.4,6494.0,,,6819.3,,6591.0,6706.9,,6652.0,6735.1,7822.2,6628.0,6627.0,6715.5,6620.0,-35.1,168.0,-41.0,7.9,-13.0,399.0,,13.1,17.0,-125.4,123.2,,-120.5,53.0,-29.1,400.0,-58.3,-107.0,-85.5,560.7,-216.6,12.0,169.9,17.4,-218.0,,,107.3,,-121.0,-5.1,,-60.0,23.1,1110.2,-84.0,-85.0,3.5,-92.0,False,False,True,True,False,,True,True,False,False,,False,False,True,False,False,False,False,False,False,True,False,True,False,,,False,,False,True,,False,True,False,False,False,True,False
Minnesota,1863,1808.3,1925.0,1829.0,1786.5,1796.0,1960.0,,1916.7,1774.0,1739.1,1796.1,,1803.6,1688.0,1825.9,1988.7,1829.8,1778.2,1812.0,1812.7,2022.9,1769.5,1657.1,1833.2,1678.0,,,1782.7,,1853.0,1788.4,,1851.0,1873.9,2195.1,1816.0,1746.5,1857.6,,-54.7,62.0,-34.0,-76.5,-67.0,97.0,,53.7,-89.0,-123.9,-66.9,,-59.4,-175.0,-37.1,125.7,-33.2,-84.8,-51.0,-50.3,159.9,-93.5,-205.9,-29.8,-185.0,,,-80.3,,-10.0,-74.6,,-12.0,10.9,332.1,-47.0,-116.5,-5.4,,False,True,False,False,False,,True,False,False,False,,False,False,True,False,True,False,True,True,False,False,False,True,False,,,False,,True,False,,True,True,False,True,False,True,
Mississippi,2427,2513.0,2283.0,2280.0,2553.0,2380.0,2515.0,,2110.0,2367.0,2550.1,2372.8,,2218.0,2028.0,2996.1,2380.2,2098.8,2080.8,2415.7,2128.6,2569.3,,2059.0,2775.3,2611.0,,,2058.4,,2361.0,2524.0,,2561.0,2317.1,2534.6,2543.0,2722.5,2580.4,2418.0,86.0,-144.0,-147.0,126.0,-47.0,88.0,,-317.0,-60.0,123.1,-54.2,,-209.0,-399.0,569.1,-46.8,-328.2,-346.2,-11.3,-298.4,142.3,,-368.0,348.3,184.0,,,-368.6,,-66.0,97.0,,134.0,-109.9,107.6,116.0,295.5,153.4,-9.0,False,False,False,True,False,,False,True,False,True,,False,False,False,True,False,False,True,False,False,,False,False,False,,,False,,True,False,,False,False,False,False,False,False,True
Missouri,1528,1534.4,1555.0,1560.0,1580.1,1596.0,2132.0,,1820.3,1789.0,1554.1,1555.3,,1587.2,1452.0,1730.0,1868.8,1606.6,1405.8,1636.3,1556.1,1497.8,,1383.1,1769.5,1745.0,,,1488.0,,1436.0,1696.7,,1564.0,1445.2,1960.3,1888.0,1657.0,1644.4,1568.0,6.4,27.0,32.0,52.1,68.0,604.0,,292.3,261.0,26.1,27.3,,59.2,-76.0,202.0,340.8,78.6,-122.2,108.3,28.1,-30.2,,-144.9,241.5,217.0,,,-40.0,,-92.0,168.7,,36.0,-82.8,432.3,360.0,129.0,116.4,40.0,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,,False,,False,False,,False,False,False,False,False,False,False
Montana,104,118.9,105.0,100.0,121.0,116.0,91.0,,109.9,94.0,288.1,120.2,,73.9,107.0,130.4,165.4,114.9,106.4,99.3,133.6,182.7,,177.5,128.0,240.0,,,78.3,,115.0,105.3,,115.0,,107.8,126.0,300.0,118.0,,14.9,1.0,-4.0,17.0,12.0,-13.0,,5.9,-10.0,184.1,16.2,,-30.1,3.0,26.4,61.4,10.9,2.4,-4.7,29.6,78.7,,73.5,24.0,136.0,,,-25.7,,11.0,1.3,,11.0,,3.8,22.0,196.0,14.0,,True,True,False,True,True,,True,True,False,False,,False,True,False,False,True,True,True,False,False,,False,False,False,,,False,,True,True,,True,,True,False,False,True,
Nebraska,392,393.7,463.0,412.0,396.1,398.0,426.0,,432.7,357.0,425.6,423.3,,480.9,370.0,429.2,524.8,396.4,375.2,401.1,392.0,390.7,,393.1,417.9,351.0,,,394.2,,427.0,384.3,,399.0,388.3,425.6,396.0,395.0,406.7,,1.7,71.0,20.0,4.1,6.0,34.0,,40.7,-35.0,33.6,31.3,,88.9,-22.0,37.2,132.8,4.4,-16.8,9.1,0.0,-1.3,,1.1,25.9,-41.0,,,2.2,,35.0,-7.7,,7.0,-3.7,33.6,4.0,3.0,14.7,,False,False,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,True,True,,True,False,False,,,False,,False,False,,False,False,False,False,False,False,
