,actual_deaths,Baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,STH-3PU,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,YYG-ParamSearch,error-Baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-STH-3PU,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-YYG-ParamSearch,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-STH-3PU,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-YYG-ParamSearch
North Carolina,2683,2200.9,,2632.8,3997.0,2882.0,1971.9,1735.1,,2318.6,2735.2,2622.0,2420.2,-482.1,,-50.2,1314.0,199.0,-711.1,-947.9,,-364.4,52.2,-61.0,-262.8,,True,False,True,False,False,,True,True,True,True
North Dakota,141,135.0,,118.6,98.0,148.0,125.7,111.4,,109.2,119.8,261.0,133.4,-6.0,,-22.4,-43.0,7.0,-15.3,-29.6,,-31.8,-21.2,120.0,-7.6,,False,False,False,False,False,,False,False,False,False
Ohio,3825,4066.0,,4214.7,5482.0,3920.0,3751.4,4642.0,,4078.7,4813.1,5761.1,4401.8,-70.0,,78.7,1346.0,-216.0,-384.6,506.0,,-57.3,677.1,1625.1,265.8,,False,False,False,False,False,,True,False,False,False
Oklahoma,797,586.6,,869.4,759.0,1103.0,524.7,668.1,,554.2,941.8,680.1,598.4,-210.4,,72.4,-38.0,306.0,-272.3,-128.9,,-242.8,144.8,-116.9,-198.6,,True,True,False,False,True,,False,True,True,True
Oregon,454,364.3,,433.4,412.0,430.0,327.8,325.1,,326.1,560.2,446.8,465.0,-89.7,,-20.6,-42.0,-24.0,-126.2,-128.9,,-127.9,106.2,-7.2,11.0,,True,True,True,False,False,,False,False,True,True
Pennsylvania,7656,7939.4,,7680.3,7630.0,7862.0,7505.3,7251.1,,7923.0,7695.2,9279.5,8000.3,283.4,,24.3,-26.0,206.0,-150.7,-404.9,,267.0,39.2,1623.5,344.3,,True,True,True,True,False,,True,True,False,False
Rhode Island,1075,1085.7,,1069.3,1039.0,1166.0,1058.5,1024.2,,1066.0,1013.8,1096.2,1065.9,37.7,,21.3,-9.0,118.0,10.5,-23.8,,18.0,-34.2,48.2,17.9,,True,True,False,True,True,,True,True,False,True
South Carolina,2698,1927.9,,2374.3,1931.0,1994.0,1812.0,1048.7,,1773.3,2022.3,2151.0,2492.9,-770.1,,-323.7,-767.0,-704.0,-886.0,-1649.3,,-924.7,-675.7,-547.0,-205.1,,True,True,True,False,False,,False,True,True,True
South Dakota,167,191.3,,134.2,137.0,151.0,142.7,268.6,,135.7,133.0,229.9,167.1,24.3,,-32.8,-30.0,-16.0,-24.3,101.6,,-31.3,-34.0,62.9,0.1,,False,False,True,True,False,,False,False,False,True
Tennessee,1725,1399.3,,1803.1,1705.0,1924.0,1031.1,1126.5,,1237.9,1498.8,2081.1,1860.9,-325.7,,78.1,-20.0,199.0,-693.9,-598.5,,-487.1,-226.2,356.1,135.9,,True,True,True,False,False,,False,True,False,True
Texas,12987,7158.9,,10435.0,8320.0,9384.0,5990.1,4117.8,8670.0,6988.5,9114.2,12557.1,8360.2,-5089.1,,-1813.0,-3928.0,-2864.0,-6257.9,-8130.2,-3578.0,-5259.5,-3133.8,309.1,-3887.8,,True,True,True,False,False,True,False,True,True,True
Utah,407,427.6,,634.2,524.0,479.0,323.9,313.9,,409.9,442.9,427.2,526.8,20.6,,227.2,117.0,72.0,-83.1,-93.1,,2.9,35.9,20.2,119.8,,False,False,False,False,False,,True,False,True,False
Vermont,58,56.0,,59.8,56.0,57.0,58.7,59.6,,56.6,56.0,58.9,61.6,-2.0,,1.8,-2.0,-1.0,0.7,1.6,,-1.4,-2.0,0.9,3.6,,True,False,True,True,True,,True,True,True,False
Virginia,2568,2740.9,,2249.3,2161.0,2499.0,2628.4,2343.8,,2416.4,2373.3,2347.8,2747.9,172.9,,-318.7,-407.0,-69.0,60.4,-224.2,,-151.6,-194.7,-220.2,179.9,,False,False,True,True,False,,True,False,False,False
Washington,1899,1979.7,,1892.8,1843.0,1952.0,1826.4,1694.8,,1804.2,2136.3,1865.2,1887.4,47.7,,-39.2,-89.0,20.0,-105.6,-237.2,,-127.8,204.3,-66.8,-44.6,,True,False,True,False,False,,False,False,False,True
West Virginia,215,109.7,,186.6,199.0,136.0,145.4,296.0,,116.2,256.3,264.5,119.7,-105.3,,-28.4,-16.0,-79.0,-69.6,81.0,,-98.8,41.3,49.5,-95.3,,True,True,True,True,True,,True,True,True,True
Wisconsin,1178,984.6,,1254.8,1033.0,1062.0,1008.2,1221.4,,1005.4,1270.8,1506.2,1158.3,-164.4,,105.8,-116.0,-87.0,-140.8,72.4,,-143.6,121.8,357.2,9.3,,True,True,True,True,True,,True,True,False,True
Wyoming,37,27.9,,52.7,35.0,32.0,27.4,38.4,,25.6,39.8,26.7,31.6,-9.1,,15.7,-2.0,-5.0,-9.6,1.4,,-11.4,2.8,-10.3,-5.4,,False,True,True,False,True,,False,True,False,True
US,182739,171170.7,193159.0,175202.5,177765.0,167782.0,157396.0,154148.7,143494.0,165388.9,178949.9,230306.6,176343.1,-11065.3,10923.0,-7033.5,-4471.0,-14454.0,-24840.0,-28087.3,-38742.0,-16847.1,-3286.1,48070.6,-5892.9,True,True,True,False,False,False,False,False,True,False,True
