,actual_deaths,Baseline,Auquan-SEIR,CEID-Walk,CMU-TimeSeries,COVIDhub-baseline,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,GT-DeepCOVID,GT_CHHS-COVID19,Google_Harvard-CPF,IowaStateLW-STEM,JCB-PRM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,MOBS-GLEAM_COVID,NotreDame-FRED,NotreDame-mobility,OliverWyman-Navigator,PSI-DRAFT,QJHong-Encounter,RPI_UW-Mob_Collision,RobertWalraven-ESG,STH-3PU,TTU-squider,UA-EpiCovDA,UCLA-SuEIR,UCM_MESALab-FoGSEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UT-Mobility,YYG-ParamSearch,epiforecasts-ensemble1,error-Baseline,error-Auquan-SEIR,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-baseline,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-GT-DeepCOVID,error-GT_CHHS-COVID19,error-Google_Harvard-CPF,error-IowaStateLW-STEM,error-JCB-PRM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-MOBS-GLEAM_COVID,error-NotreDame-FRED,error-NotreDame-mobility,error-OliverWyman-Navigator,error-PSI-DRAFT,error-QJHong-Encounter,error-RPI_UW-Mob_Collision,error-RobertWalraven-ESG,error-STH-3PU,error-TTU-squider,error-UA-EpiCovDA,error-UCLA-SuEIR,error-UCM_MESALab-FoGSEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UT-Mobility,error-YYG-ParamSearch,error-epiforecasts-ensemble1,beat_baseline-Auquan-SEIR,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-baseline,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-GT-DeepCOVID,beat_baseline-GT_CHHS-COVID19,beat_baseline-Google_Harvard-CPF,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-NotreDame-FRED,beat_baseline-NotreDame-mobility,beat_baseline-OliverWyman-Navigator,beat_baseline-PSI-DRAFT,beat_baseline-QJHong-Encounter,beat_baseline-RPI_UW-Mob_Collision,beat_baseline-RobertWalraven-ESG,beat_baseline-STH-3PU,beat_baseline-TTU-squider,beat_baseline-UA-EpiCovDA,beat_baseline-UCLA-SuEIR,beat_baseline-UCM_MESALab-FoGSEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UT-Mobility,beat_baseline-YYG-ParamSearch,beat_baseline-epiforecasts-ensemble1
Georgia,5576,5636.1,5618.0,5654.7,5088.0,5635.2,5521.0,5344.0,,4900.2,5207.0,5915.4,5493.5,5322.0,5043.0,5259.0,5546.8,5341.7,5724.4,5221.1,5487.2,4378.3,5554.5,,5467.7,5529.6,5154.0,,5650.0,5107.3,,8899.4,5614.0,5597.4,,5320.0,5628.3,5542.8,5601.0,5755.5,5480.3,5205.0,60.1,42.0,78.7,-488.0,59.2,-55.0,-232.0,,-675.8,-369.0,339.4,-82.5,-254.0,-533.0,-317.0,-29.2,-234.3,148.4,-354.9,-88.8,-1197.7,-21.5,,-108.3,-46.4,-422.0,,74.0,-468.7,,3323.4,38.0,21.4,,-256.0,52.3,-33.2,25.0,179.5,-95.7,-371.0,True,False,False,True,True,False,,False,False,False,False,False,False,False,True,False,False,False,False,False,True,,False,True,False,,False,False,,False,True,True,,False,True,True,True,False,False,False
Hawaii,62,56.7,61.0,59.0,50.0,58.0,58.0,80.0,,68.0,63.0,47.8,,,153.7,,69.1,79.9,61.6,57.7,54.6,28.4,58.5,,52.0,67.3,48.0,,,46.5,,186.3,68.0,58.7,,63.0,,53.6,46.0,58.0,58.3,44.0,-5.3,-1.0,-3.0,-12.0,-4.0,-4.0,18.0,,6.0,1.0,-14.2,,,91.7,,7.1,17.9,-0.4,-4.3,-7.4,-33.6,-3.5,,-10.0,5.3,-14.0,,,-15.5,,124.3,6.0,-3.3,,1.0,,-8.4,-16.0,-4.0,-3.7,-18.0,True,True,False,True,True,False,,False,True,False,,,False,,False,False,True,True,False,False,True,,False,True,False,,,False,,False,False,True,,True,,False,False,True,True,False
Idaho,358,328.4,367.0,337.6,303.0,337.0,336.0,327.0,,335.7,319.0,337.9,347.7,,371.3,300.0,349.0,437.1,364.4,311.8,327.7,323.6,361.2,,356.9,341.4,308.0,,,293.8,,471.1,349.0,321.2,,312.0,342.2,328.8,339.0,354.0,339.0,315.0,-29.6,9.0,-20.4,-55.0,-21.0,-22.0,-31.0,,-22.3,-39.0,-20.1,-10.3,,13.3,-58.0,-9.0,79.1,6.4,-46.2,-30.3,-34.4,3.2,,-1.1,-16.6,-50.0,,,-64.2,,113.1,-9.0,-36.8,,-46.0,-15.8,-29.2,-19.0,-4.0,-19.0,-43.0,True,True,False,True,True,False,,True,False,True,True,,True,False,True,False,True,False,False,False,True,,True,True,False,,,False,,False,True,False,,False,True,True,True,True,True,False
Illinois,8217,8159.3,8656.0,8129.8,8096.0,8133.9,8168.0,8295.0,,8079.4,8216.0,8272.4,8171.1,,8089.7,8156.0,8219.6,8100.7,8169.5,8115.2,8217.4,8648.8,8118.6,8246.5,8099.7,8164.3,8010.0,,8171.0,8078.5,,10301.0,8294.0,8108.1,,8190.0,8118.7,8762.7,8184.0,8181.0,8225.2,7826.0,-57.7,439.0,-87.2,-121.0,-83.1,-49.0,78.0,,-137.6,-1.0,55.4,-45.9,,-127.3,-61.0,2.6,-116.3,-47.5,-101.8,0.4,431.8,-98.4,29.5,-117.3,-52.7,-207.0,,-46.0,-138.5,,2084.0,77.0,-108.9,,-27.0,-98.3,545.7,-33.0,-36.0,8.2,-391.0,False,False,False,False,True,False,,False,True,True,True,,False,False,True,False,True,False,True,False,False,True,False,True,False,,True,False,,False,False,False,,True,False,False,True,True,True,False
Indiana,3285,3303.9,3406.0,3312.9,3227.0,3312.1,3300.0,3319.0,,3196.6,3289.0,3344.2,3301.1,,3060.7,3240.0,3330.6,3185.9,3354.6,3252.5,3302.6,3454.9,3217.5,3250.5,3207.0,3321.2,3256.0,,3259.3,3242.6,,5613.6,3341.0,3317.7,,3300.0,3216.3,3562.0,3328.0,3319.5,3330.4,3222.0,18.9,121.0,27.9,-58.0,27.1,15.0,34.0,,-88.4,4.0,59.2,16.1,,-224.3,-45.0,45.6,-99.1,69.6,-32.5,17.6,169.9,-67.5,-34.5,-78.0,36.2,-29.0,,-25.7,-42.4,,2328.6,56.0,32.7,,15.0,-68.7,277.0,43.0,34.5,45.4,-63.0,False,False,False,False,True,False,,False,True,False,True,,False,False,False,False,False,False,True,False,False,False,False,False,False,,False,False,,False,False,False,,True,False,False,False,False,False,False
Iowa,1100,1056.7,1156.0,1071.8,1037.0,1070.9,1065.0,1033.0,,1045.6,1002.0,1089.3,1070.6,,1061.4,1063.0,1072.0,1125.3,1074.4,1065.2,1059.9,996.2,1069.7,,1081.7,1086.9,1100.0,,1090.2,1030.5,,2563.9,1056.0,1049.4,,1050.0,1041.9,1088.3,1073.0,1088.0,1067.9,1020.0,-43.3,56.0,-28.2,-63.0,-29.1,-35.0,-67.0,,-54.4,-98.0,-10.7,-29.4,,-38.6,-37.0,-28.0,25.3,-25.6,-34.8,-40.1,-103.8,-30.3,,-18.3,-13.1,0.0,,-9.8,-69.5,,1463.9,-44.0,-50.6,,-50.0,-58.1,-11.7,-27.0,-12.0,-32.1,-80.0,False,True,False,True,True,False,,False,False,True,True,,True,True,True,True,True,True,True,False,True,,True,True,True,,True,False,,False,False,False,,False,False,True,True,True,True,False
Kansas,449,454.3,524.0,457.5,428.0,458.0,458.0,527.0,,493.7,458.0,446.9,459.2,,489.2,472.0,464.7,542.5,465.6,441.2,454.1,437.2,468.4,,461.2,464.2,463.0,,,425.4,,1031.6,463.0,453.7,,442.0,439.0,466.7,456.0,454.0,453.2,425.0,5.3,75.0,8.5,-21.0,9.0,9.0,78.0,,44.7,9.0,-2.1,10.2,,40.2,23.0,15.7,93.5,16.6,-7.8,5.1,-11.8,19.4,,12.2,15.2,14.0,,,-23.6,,582.6,14.0,4.7,,-7.0,-10.0,17.7,7.0,5.0,4.2,-24.0,False,False,False,False,False,False,,False,False,True,False,,False,False,False,False,False,False,True,False,False,,False,False,False,,,False,,False,False,True,,False,False,False,False,True,True,False
Kentucky,921,878.7,945.0,885.7,847.0,886.0,882.0,934.0,,,882.0,877.9,906.2,,933.4,865.0,901.0,991.6,898.9,850.0,872.8,1000.8,884.4,873.0,845.7,900.2,856.0,,872.4,844.0,,1579.1,911.0,891.4,,878.0,861.9,965.8,886.0,897.0,885.9,847.0,-42.3,24.0,-35.3,-74.0,-35.0,-39.0,13.0,,,-39.0,-43.1,-14.8,,12.4,-56.0,-20.0,70.6,-22.1,-71.0,-48.2,79.8,-36.6,-48.0,-75.3,-20.8,-65.0,,-48.6,-77.0,,658.1,-10.0,-29.6,,-43.0,-59.1,44.8,-35.0,-24.0,-35.1,-74.0,True,True,False,True,True,True,,,True,False,True,,True,False,True,False,True,False,False,False,True,False,False,True,False,,False,False,,False,True,True,,False,False,False,True,True,True,False
Louisiana,4904,4960.1,4977.0,4884.8,4635.0,4876.0,4854.0,4650.0,,,4763.0,5078.4,4824.7,,4678.9,4848.0,4858.1,4705.6,5132.8,4771.4,4844.5,4160.0,4774.9,,4914.7,4866.4,5125.0,,5051.4,4835.2,,17015.2,4852.0,4778.9,,4854.0,,5209.0,4768.0,5063.0,4874.3,4639.0,56.1,73.0,-19.2,-269.0,-28.0,-50.0,-254.0,,,-141.0,174.4,-79.3,,-225.1,-56.0,-45.9,-198.4,228.8,-132.6,-59.5,-744.0,-129.1,,10.7,-37.6,221.0,,147.4,-68.8,,12111.2,-52.0,-125.1,,-50.0,,305.0,-136.0,159.0,-29.7,-265.0,False,True,False,True,True,False,,,False,False,False,,False,True,True,False,False,False,False,False,False,,True,True,False,,False,False,,False,True,False,,True,,False,False,False,True,False
Maine,132,130.7,141.0,131.7,128.0,131.0,132.0,127.0,,,129.0,134.4,133.7,,137.8,131.0,130.2,138.5,131.3,132.8,127.3,137.1,130.0,,134.6,131.8,128.0,,,128.6,,218.3,131.0,130.5,,131.0,,134.1,130.0,141.0,130.9,,-1.3,9.0,-0.3,-4.0,-1.0,0.0,-5.0,,,-3.0,2.4,1.7,,5.8,-1.0,-1.8,6.5,-0.7,0.8,-4.7,5.1,-2.0,,2.6,-0.2,-4.0,,,-3.4,,86.3,-1.0,-1.5,,-1.0,,2.1,-2.0,9.0,-1.1,,False,True,False,True,True,False,,,False,False,False,,False,True,False,False,True,True,False,False,False,,False,True,False,,,False,,False,True,False,,True,,False,False,False,True,
Maryland,3746,3739.3,3977.0,3751.2,3715.0,3754.0,3758.0,3830.0,,,3769.0,3795.9,3765.6,,3817.7,3722.0,3780.2,3771.8,3791.6,3713.8,3735.8,3840.8,3763.9,,3711.5,3736.9,3712.0,,3798.9,3758.1,,4305.5,3744.0,3738.3,,3744.0,3703.3,4034.3,3752.0,3847.0,3793.3,3742.0,-6.7,231.0,5.2,-31.0,8.0,12.0,84.0,,,23.0,49.9,19.6,,71.7,-24.0,34.2,25.8,45.6,-32.2,-10.2,94.8,17.9,,-34.5,-9.1,-34.0,,52.9,12.1,,559.5,-2.0,-7.7,,-2.0,-42.7,288.3,6.0,101.0,47.3,-4.0,False,True,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,,False,False,,False,True,False,,True,False,False,True,False,False,True
Massachusetts,9036,9029.3,9236.0,9048.6,8899.0,9041.0,9020.0,8922.0,,,9070.0,9108.6,9038.3,,8905.0,8825.0,9054.7,8834.4,9035.0,8998.0,9004.9,8522.4,8992.0,,8990.0,9030.2,8960.5,,9050.0,9018.2,,5946.8,9002.0,9020.8,,9020.0,8914.4,9123.1,9058.0,9137.0,9047.5,8812.0,-6.7,200.0,12.6,-137.0,5.0,-16.0,-114.0,,,34.0,72.6,2.3,,-131.0,-211.0,18.7,-201.6,-1.0,-38.0,-31.1,-513.6,-44.0,,-46.0,-5.8,-75.5,,14.0,-17.8,,-3089.2,-34.0,-15.2,,-16.0,-121.6,87.1,22.0,101.0,11.5,-224.0,False,False,False,True,False,False,,,False,False,True,,False,False,False,False,True,False,False,False,False,,False,True,False,,False,False,,False,False,False,,False,False,False,False,False,False,False
Michigan,6712,6727.6,6928.0,6709.2,6649.0,6719.5,6716.0,6765.0,,,6647.0,6786.6,6707.3,,6852.7,6717.0,6714.7,6782.5,6724.3,6679.2,6743.6,7269.5,6706.7,7985.5,6675.6,6744.0,6586.0,,6623.0,6718.1,,9723.1,6716.0,6706.3,,6728.0,,7184.1,6694.0,6813.0,6720.4,6620.0,15.6,216.0,-2.8,-63.0,7.5,4.0,53.0,,,-65.0,74.6,-4.7,,140.7,5.0,2.7,70.5,12.3,-32.8,31.6,557.5,-5.3,1273.5,-36.4,32.0,-126.0,,-89.0,6.1,,3011.1,4.0,-5.7,,16.0,,472.1,-18.0,101.0,8.4,-92.0,False,True,False,True,True,False,,,False,False,True,,False,True,True,False,True,False,False,False,True,False,False,False,False,,False,True,,False,True,True,,False,,False,False,False,True,False
Minnesota,1863,1852.3,1975.0,1741.7,1776.0,1737.8,1820.0,1822.0,,,1803.0,1903.9,1754.7,,1800.9,1799.0,1764.6,1879.0,1794.1,1818.8,1881.5,1810.8,1761.4,1843.0,1821.6,1833.8,1741.0,,1816.6,1820.4,,11067.1,1852.0,1733.0,,1839.0,1797.8,1992.6,1792.0,2312.5,1855.0,1781.0,-10.7,112.0,-121.3,-87.0,-125.2,-43.0,-41.0,,,-60.0,40.9,-108.3,,-62.1,-64.0,-98.4,16.0,-68.9,-44.2,18.5,-52.2,-101.6,-20.0,-41.4,-29.2,-122.0,,-46.4,-42.6,,9204.1,-11.0,-130.0,,-24.0,-65.2,129.6,-71.0,449.5,-8.0,-82.0,False,False,False,False,False,False,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,,False,False,False,,False,False,False,False,False,True,False
Mississippi,2427,2433.1,2469.0,2495.6,2230.0,2492.1,2386.0,2229.0,,,2378.0,2424.8,2368.3,,2390.6,2371.0,2471.9,2382.8,2472.4,2310.8,2353.5,2145.1,2415.7,,2461.2,2422.8,2157.0,,2608.1,2274.8,,3239.5,2313.0,2452.8,,2341.0,2436.3,2481.4,2389.0,2516.0,2401.6,2287.0,6.1,42.0,68.6,-197.0,65.1,-41.0,-198.0,,,-49.0,-2.2,-58.7,,-36.4,-56.0,44.9,-44.2,45.4,-116.2,-73.5,-281.9,-11.3,,34.2,-4.2,-270.0,,181.1,-152.2,,812.5,-114.0,25.8,,-86.0,9.3,54.4,-38.0,89.0,-25.4,-140.0,False,False,False,False,False,False,,,False,True,False,,False,False,False,False,False,False,False,False,False,,False,True,False,,False,False,,False,False,False,,False,False,False,False,False,False,False
