,2020-09-21_2021-03-06,2020-09-28_2021-03-06,2020-10-05_2021-03-06,2020-10-12_2021-03-06,2020-10-19_2021-03-06,2020-10-26_2021-03-06,2020-11-02_2021-03-06,2020-11-09_2021-03-06,2020-11-16_2021-03-06,2020-11-23_2021-03-06,2020-11-30_2021-03-06,2020-12-07_2021-03-06,2020-12-14_2021-03-06,2020-12-21_2021-03-06,2020-12-28_2021-03-06,2021-01-04_2021-03-06,2021-01-11_2021-03-06,2021-01-18_2021-03-06,2021-01-25_2021-03-06,2021-02-01_2021-03-06,2021-02-08_2021-03-06,2021-02-15_2021-03-06,2021-02-22_2021-03-06,2021-03-01_2021-03-06
num_states_beat_baseline-STH-3PU,,,,,1,1,1,,,,,,,,,,,,,,,,,
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,25,26,17,19
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,,,45,,31,22
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,,,,21,14,9,5
num_states_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,,,,,,,36,32,22,21
num_states_beat_baseline-UCLA-SuEIR,,,,,,,,,,,22,22,26,28,18,27,27,32,26,31,31,,17,15
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,34,22,23,20
num_states_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,28,16
num_states_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,,,,,,,41,35,30,31
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,34,26,21,15
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,37,43,40,39,29,22
num_states_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,20,23,24,31,33,28,21,
num_states_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,,26,31,30,27
perc_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,0.4901960784,0.3333333333,0.4901960784,0.4509803922,0.5490196078,0.4901960784,0.38,0.2745098039
perc_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,0.8039215686,0.6274509804,0.5294117647,0.5294117647
perc_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,,,,,0.2549019608,0.2549019608,0.2549019608,0.2941176471
perc_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,,,0.7647058824,0.7254901961,0.4901960784,0.4117647059
perc_beat_baseline-COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,,,0.8431372549,0.7843137255,0.6862745098,0.5098039216
perc_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,0.8235294118,0.01960784314,0.5882352941,0.568627451
perc_beat_baseline-CU-select,,,,,,,,,,,,,,,,,,,,,0.7058823529,0.7058823529,0.568627451,0.3137254902
perc_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,0.7058823529,,0.568627451,0.4901960784
perc_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,0.3137254902,0.4,,0.7254901961,0.6470588235,0.4117647059,0.3725490196
perc_beat_baseline-Covid19Sim-Simulator,,,,,0.5882352941,0.7843137255,0.8039215686,0.6470588235,,0.5098039216,0.6078431373,0.568627451,0.7058823529,0.568627451,0.5098039216,0.5490196078,0.7647058824,0.6274509804,0.4509803922,0.6862745098,0.7254901961,0.5294117647,0.431372549,0.2549019608
perc_beat_baseline-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,0.5294117647,0.6470588235,0.7058823529,0.5882352941,0.4901960784,0.431372549
perc_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,,,,,,,0.3725490196,,0.2745098039,0.431372549
perc_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,,0.693877551,0.612244898,0.5208333333,0.5333333333
perc_beat_baseline-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,0,0,0,1
perc_beat_baseline-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,0.2352941176
perc_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,,0.7254901961,0.568627451,0.5882352941,0.3921568627
perc_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-IHME-CurveFit,,,,,0.9019607843,0.862745098,,,,0.6666666667,,0.5882352941,0.6470588235,0.568627451,0.5882352941,,,0.5490196078,0.6470588235,0.6862745098,0.8039215686,0.7254901961,0.431372549,0.2745098039
perc_beat_baseline-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,0.5,
perc_beat_baseline-IowaStateLW-STEM,,,,,0.2040816327,0.1632653061,0.2857142857,0.4285714286,0.3469387755,0.612244898,0.5918367347,0.4285714286,0.4285714286,0.387755102,0.3265306122,0.5102040816,0.5714285714,0.387755102,0.4897959184,0.2653061224,0.4081632653,0.2244897959,0.4693877551,0.3265306122
perc_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,0.4705882353,0.5882352941,,0.6078431373,0.3725490196,0.4705882353,0.2352941176,0.3333333333,0.2352941176
perc_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,0.56,0.4705882353,0.4901960784,0.4509803922
perc_beat_baseline-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,,0.5294117647,0.5490196078,0.5490196078,0.4509803922,0.3333333333,0.3333333333
perc_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,,,,,,,0.8235294118,0.8235294118,0.7647058824,0.5882352941,0.5490196078
perc_beat_baseline-LANL-GrowthRate,,,,,,,,,,,,,,,,,,,0.6470588235,0.6862745098,0.7450980392,0.6470588235,0.4901960784,0.5098039216
perc_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,,,,,,,,0.8823529412,0.7843137255,0.5098039216,0.6274509804
perc_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,,,,,,,0.5098039216,,,,,,,
perc_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,0.4705882353,0.1960784314,0.5882352941,0.3333333333
perc_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,0.488372093,0.6086956522,0.4523809524,0.3414634146
perc_beat_baseline-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,0.76,0.6,0.48,0.44
perc_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,0.34,0.48,0.6666666667,0.5490196078
perc_beat_baseline-NotreDame-FRED,,,,,,,,,,,,,,,,,,,,,,,0,
perc_beat_baseline-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,,0.8823529412,0.8039215686,0.4901960784,0.4705882353
perc_beat_baseline-PSI-DRAFT,,,,,,,,,,,,,,,,,,,0.4509803922,0.4705882353,0.5294117647,0.6274509804,0.3921568627,0.3921568627
perc_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,,,0.5333333333,0.4,0.4193548387,0.4333333333
perc_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,,,0.8823529412,0.7058823529,0.6274509804,0.431372549
perc_beat_baseline-STH-3PU,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,
perc_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,0.6578947368,0.5306122449,0.3541666667,0.38
perc_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,,,0.8823529412,,0.6078431373,0.431372549
perc_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,,,,0.4117647059,0.2745098039,0.1764705882,0.09803921569
perc_beat_baseline-UA-EpiCovDA,,,,,,,,,,,,,,,,,,,,,0.7058823529,0.6274509804,0.431372549,0.4117647059
perc_beat_baseline-UCLA-SuEIR,,,,,,,,,,,0.431372549,0.431372549,0.5098039216,0.5490196078,0.3529411765,0.5294117647,0.5294117647,0.6274509804,0.5098039216,0.6078431373,0.6078431373,,0.3333333333,0.2941176471
perc_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,0.68,0.44,0.46,0.4
perc_beat_baseline-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,0.5490196078,0.3137254902
perc_beat_baseline-UMass-MechBayes,,,,,,,,,,,,,,,,,,,,,0.8039215686,0.6862745098,0.5882352941,0.6078431373
perc_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,0.693877551,0.5531914894,0.4772727273,0.3571428571
perc_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,0.7254901961,0.8431372549,0.7843137255,0.7647058824,0.568627451,0.431372549
perc_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,
perc_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,0.3921568627,0.4509803922,0.4705882353,0.6078431373,0.6470588235,0.5490196078,0.4117647059,
perc_beat_baseline-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,,0.5098039216,0.6078431373,0.5882352941,0.5294117647
mean_abs_error-AIpert-pwllnod,,,,,,,,,,,,,,,,,2606.543137,2847.67451,1560.85098,889.5490196,577.945098,378.3921569,,62.04509804
mean_abs_error-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,360.6313725,368.2156863,150.3372549,61.77843137
mean_abs_error-Baseline,3894.607843,3916.845098,4056.97451,4016.809804,4071.043137,3808.337255,3753.060784,3493.182353,3110.505882,2568.554902,2569.22549,2006.415686,2016.690196,1538.421569,1263.860784,1081.707843,984.3156863,830.7098039,662.1313725,680.4333333,647.1117647,306.0411765,152.5784314,48.8372549
mean_abs_error-CEID-Walk,,,,,,,,,,,,,,,,,,,,,753.0372549,616.5431373,192.0235294,77.13529412
mean_abs_error-CMU-TimeSeries,,,,,,,,,,,,,,,,,,,,,332.6078431,230.372549,172.6470588,71.84313725
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,,,,,,938.2392157,887.8607843,661.3411765,702.8960784,719.3098039,602.2039216,176.6019608,58.58823529
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,,,282.8823529,221.5686275,135.3921569,59.49019608
mean_abs_error-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,253.9019608,1571.568627,139.5098039,54.70588235
mean_abs_error-CU-select,,,,,,,,,,,,,,,,,,,,,283.1176471,193.3333333,169.8627451,84.82352941
mean_abs_error-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,298.4215686,,174.2901961,78.65098039
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,1758.078431,,,376.1960784,318.372549,209.254902,88.09803922
mean_abs_error-Covid19Sim-Simulator,,,,,4178.688235,2760.672549,2553.586275,2904.017647,,2423.376471,2152.696078,1590.984314,1082.652941,949.1843137,1183.394118,1078.317647,609.9901961,626.0705882,656.9019608,391.6294118,296.2411765,282.5352941,222.8470588,238.7823529
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,1086.72549,534.1960784,304.8627451,224.4509804,117.8823529,56.62745098
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,,,,,,,,767.2921569,,233.5117647,76.40784314
mean_abs_error-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-GT_CHHS-COVID19,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,75.04509804
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,,293.1588235,264.627451,143.3019608,76.50392157
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,,,,,1793.570588,1826.901961,,,,1514.141176,,1216.178431,1333.760784,1152.286275,1073.723529,,,860.8921569,522.154902,374.672549,287.8960784,278.6411765,177.2529412,145.6117647
mean_abs_error-IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,,1441.803922,1104.345098,,585.2078431,1064.52549,886.6529412,958.5764706,399.7058824,177.4960784
mean_abs_error-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,301.5490196,141.4705882,62.49019608
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,,580.4862745,498.7137255,409.3764706,331.2921569,,199.9686275
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,,,,,,,337.227451,304.3666667,180.7882353,134.3901961,72.39215686
mean_abs_error-LANL-GrowthRate,,,,,,,,,,,,,,,,,,,556.4411765,362.7647059,335.6960784,256.6862745,175.6568627,51.40196078
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,,,,,,,,301.8019608,251.0784314,137.9333333,47.19411765
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,,,,,,,1715.576471,,,,,,,
mean_abs_error-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,523.1372549,439.5098039,140.4313725,70.07843137
mean_abs_error-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,135.9,49.05294118
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,,280.3745098,185.3529412,177.6529412,51.78235294
mean_abs_error-PSI-DRAFT,,,,,,,,,,,,,,,,,,,1049.509804,895.0588235,528.8431373,310.9411765,188.5294118,95.39215686
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,,,201.4529412,206.2176471,149.6196078,84.15294118
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,,,265.1568627,,160.627451,83.21568627
mean_abs_error-TTU-squider,,,,,,,,,,,,,,,,,,,,,816.2411765,648.6196078,578.3941176,517.9372549
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,,,,,,,,,,312.4313725,225.5098039,164.1764706,64.45098039
mean_abs_error-UCLA-SuEIR,,,,,,,,,,,2563.792157,2032.843137,1872.888235,1563.554902,1616.237255,1248.413725,962.5568627,689.2372549,660.1960784,457.0176471,414.3843137,,224.4196078,70.87254902
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,167.2509804,64.00588235
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,,,,,,,,,,226.6666667,177.1764706,149.1960784,61.45098039
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,488.4509804,315.4117647,271.8431373,259.4313725,152.627451,69.60784314
mean_abs_error-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,
mean_abs_error-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,1888.878431,1420.829412,1056.754902,729.5588235,510.6196078,356.1431373,254.6215686,
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,,930.8235294,31438.09804,176.8823529,73.41176471
