,2020-06-01_2020-10-17,2020-06-08_2020-10-17,2020-06-15_2020-10-17,2020-06-22_2020-10-17,2020-06-29_2020-10-17,2020-07-06_2020-10-17,2020-07-13_2020-10-17,2020-07-20_2020-10-17,2020-07-27_2020-10-17,2020-08-03_2020-10-17,2020-08-10_2020-10-17,2020-08-17_2020-10-17,2020-08-24_2020-10-17,2020-08-31_2020-10-17,2020-09-07_2020-10-17,2020-09-14_2020-10-17,2020-09-21_2020-10-17,2020-09-28_2020-10-17,2020-10-05_2020-10-17,2020-10-12_2020-10-17
mean_abs_error-COVIDhub-baseline,,,,,,,,,,,,,,,,,120.854902,78.07843137,39.68627451,22.8627451
mean_abs_error-COVIDhub-ensemble,,,,,,,,,,,,,,,,,79.45098039,57.25490196,37.94117647,19.09803922
mean_abs_error-CU-select,,,,,,,,,,,,,,,,,155.9411765,129.2156863,62.29411765,39.7254902
mean_abs_error-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,219.9215686,267.3529412,142.0980392,58.49019608,26.90392157
mean_abs_error-Covid19Sim-Simulator,1373.182353,1303.184314,1032.143137,924.8882353,1430.12549,1161.739216,881.9294118,612.7294118,486.9431373,314.4352941,,,466.8843137,172.5490196,175.7490196,128.1647059,114.1843137,77.95882353,51.84117647,83.50980392
mean_abs_error-CovidAnalytics-DELPHI,,,,,,,,,,,,,,252.5294118,206.7254902,163.8823529,128.0196078,93.7254902,50.66666667,22.1372549
mean_abs_error-DDS-NBDS,,,,,,,,,,,,,,,,,108.4352941,84.50392157,58.63529412,22.13529412
mean_abs_error-GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,
mean_abs_error-Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,23.23333333
mean_abs_error-Google_Harvard-CPF,,,,,,,,,,,,,,,,,174.3313725,76.9,73.24313725,33.52941176
mean_abs_error-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IHME-CurveFit,,1662.75098,1226.984314,835.9117647,776.6921569,699.072549,,567.127451,453.5117647,454.4058824,469.027451,,541.8588235,491.9666667,331.8,,132.7627451,140.6078431,,
mean_abs_error-IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,
mean_abs_error-IowaStateLW-STEM,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JCB-PRM,,,,,,,,,,,,,,,116.0882353,118.3098039,78.49019608,57.21960784,43.53921569,20.96470588
mean_abs_error-JHUAPL-Bucky,,,,,,,,,,,,,,,,245.7588235,162.1,126.2313725,64.24705882,35.37254902
mean_abs_error-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,
mean_abs_error-JHU_IDD-CovidSP,,,,,,,,,,,,,,,170.7588235,116.9215686,88.22352941,63.50196078,54.08823529,26.57647059
mean_abs_error-Karlen-pypm,,,,,,,,,,,,,,,,124.0941176,94.33333333,61.77647059,38.07843137,24.69607843
mean_abs_error-LANL-GrowthRate,,,,,,,,,,,,,,289.9313725,245.2960784,192.3176471,117.072549,83.17647059,63.63137255,23.60784314
mean_abs_error-LNQ-ens1,,,,,,,,,,,,,,,,,92.7254902,51.04509804,38.78431373,14.07058824
mean_abs_error-MITCovAlliance-SIR,,,,,,,,,,,,,,,302.1215686,286.1058824,243.5196078,84.40196078,,
mean_abs_error-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,82.92156863,61.25490196,45.50980392,27.03921569
mean_abs_error-MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,
mean_abs_error-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-FRED,,,,,,,,,,,,,,,,,,,,
mean_abs_error-NotreDame-mobility,,,,,,,,,,,,,,,214.5058824,204.9705882,143.6666667,92.88823529,45.98823529,31.19215686
mean_abs_error-OliverWyman-Navigator,,,,,,,,,,,,,,,,,96.85686275,86.75294118,36.69411765,21.58431373
mean_abs_error-PSI-DRAFT,,,,,,,,,,,,,,,392.3627451,190.1078431,120.6568627,93.54901961,68.91176471,35.73529412
mean_abs_error-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,,
mean_abs_error-RobertWalraven-ESG,,,,,,,,,,,,,400.6980392,338.727451,327.9980392,288.2666667,226.2509804,158.9921569,67.22156863,33.46666667
mean_abs_error-STH-3PU,,,,,,,,,,,,,,,,,,,,
mean_abs_error-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,87.41176471,88.82352941,43.25490196,18.07843137
mean_abs_error-TTU-squider,,,,,,,,,,,,,,,,,,609.6313725,268.3137255,286.0941176
mean_abs_error-UA-EpiCovDA,,,,,,,,,,,,,,,,,142.6666667,95.96078431,49.82352941,22.92156863
mean_abs_error-UCLA-SuEIR,,,,,,,666.9333333,608.6823529,422.6529412,335.4647059,392.8882353,284.8196078,235.7568627,199.3607843,156.2843137,116.1490196,107.8196078,64.63333333,48.35098039,28.5372549
mean_abs_error-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,
mean_abs_error-UMass-MechBayes,,,,,,,,,,,,,,,,,84.54901961,51.33333333,38.29411765,15.78431373
mean_abs_error-UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,
mean_abs_error-USACE-ERDC_SEIR,,,,,,,,,,,,,426.5862745,421.7098039,349.8117647,281.1941176,244.6078431,186.2803922,,71.69019608
mean_abs_error-USC-SI_kJalpha,,,,,,,,,,,,,291,215.8235294,152.7647059,124.5686275,90.37254902,70.37254902,43.49019608,22.21568627
mean_abs_error-UT-Mobility,,,,,,,,,,,,,,,,,160.8235294,138.5490196,43.47058824,24.88235294
mean_abs_error-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,327.5490196,267.0196078,202.2,152.6862745,117.8705882,80.3
mean_abs_error-YYG-ParamSearch,,,,,,,434.6333333,422.0921569,324.6882353,238.2372549,210.1803922,166.1019608,185.2627451,158.0313725,144.3529412,141.6,94.29019608,63.87254902,30.94901961,
mean_abs_error-epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,
