,2020-04-20_2020-05-09,2020-04-27_2020-05-16,2020-05-04_2020-05-23,2020-05-11_2020-05-30,2020-05-18_2020-06-06,2020-05-25_2020-06-13,2020-06-01_2020-06-20,2020-06-08_2020-06-27,2020-06-15_2020-07-04,2020-06-22_2020-07-11,2020-06-29_2020-07-18,2020-07-06_2020-07-25,2020-07-13_2020-08-01,2020-07-20_2020-08-08,2020-07-27_2020-08-15,2020-08-03_2020-08-22,2020-08-10_2020-08-29,2020-08-17_2020-09-05,2020-08-24_2020-09-12,2020-08-31_2020-09-19,2020-09-07_2020-09-26,2020-09-14_2020-10-03,2020-09-21_2020-10-10,2020-09-28_2020-10-17,2020-10-05_2020-10-24,2020-10-12_2020-10-31,2020-10-19_2020-11-07,2020-10-26_2020-11-14,2020-11-02_2020-11-21,2020-11-09_2020-11-28,2020-11-16_2020-12-05,2020-11-23_2020-12-12,2020-11-30_2020-12-19,2020-12-07_2020-12-26,2020-12-14_2021-01-02,2020-12-21_2021-01-09,2020-12-28_2021-01-16,2021-01-04_2021-01-23,2021-01-11_2021-01-30,2021-01-18_2021-02-06,2021-01-25_2021-02-13,2021-02-01_2021-02-20,2021-02-08_2021-02-27,2021-02-15_2021-03-06
num_states_with_projections-CU-select,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,
num_states_with_projections-Columbia_UNC-SurvCon,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,50,51,51,51,51,51,50,51,50,51,50,51,51,51,51,51,51,51,0,51,50,0,51,51
num_states_with_projections-Covid19Sim-Simulator,,,,,,51,51,51,51,51,51,51,51,51,51,51,,17,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-CovidActNow-SEIR_CAN,,,,,,,51,51,51,43,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-CovidAnalytics-DELPHI,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-DDS-NBDS,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,
num_states_with_projections-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
num_states_with_projections-GT-DeepCOVID,,,,21,24,30,35,33,37,40,40,41,46,45,44,43,44,46,48,47,48,49,44,45,46,49,48,46,46,45,44,48,49,50,50,50,50,49,50,50,50,48,49,49
num_states_with_projections-GT_CHHS-COVID19,,,,,,,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1
num_states_with_projections-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-IHME-CurveFit,51,49,51,51,51,,51,51,51,51,51,51,,51,51,51,51,,51,51,51,,51,51,,,51,51,,,,51,,51,51,51,51,,,51,51,51,51,51
num_states_with_projections-IowaStateLW-STEM,,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
num_states_with_projections-JCB-PRM,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,
num_states_with_projections-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51
num_states_with_projections-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,50,,51,51,51,51,51,51,51,51,51,51,51,,50,49,51,51,50,51
num_states_with_projections-JHU_IDD-CovidSP,,0,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,,,,,,,,,,,,,,
num_states_with_projections-Karlen-pypm,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LANL-GrowthRate,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-LNQ-ens1,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MITCovAlliance-SIR,,,,,,,,,,,51,51,51,51,51,51,,51,,,51,51,51,51,,,51,,,,,,,,,,,51,51,,,,,
num_states_with_projections-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,41,44,43,46
num_states_with_projections-MOBS-GLEAM_COVID,44,48,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,50,47,47,47,47,50,50,50,50,,,,,,,,,,
num_states_with_projections-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-NotreDame-FRED,,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,7,7,,,,,,,,,
num_states_with_projections-NotreDame-mobility,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,
num_states_with_projections-OliverWyman-Navigator,,,,,,,,47,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-PSI-DRAFT,,,,,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-QJHong-Encounter,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
num_states_with_projections-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,0,32,32,32,30,30,31,31,30,31,31,31,31,30,30,30,30,30,31,31,30,30,30,31,31,31,30,30,30
num_states_with_projections-RobertWalraven-ESG,,,,,,,,,,,,51,51,48,49,49,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,2,2,2,,,,,,,,,,,,,,,
num_states_with_projections-SWC-TerminusCM,,,,,,40,48,49,51,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,51,38,49
num_states_with_projections-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,
num_states_with_projections-TTU-squider,,,,,,,,,,,,,,,,,,51,51,,,51,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UA-EpiCovDA,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UCLA-SuEIR,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,
num_states_with_projections-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
num_states_with_projections-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,
num_states_with_projections-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
num_states_with_projections-UChicago-CovidIL,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_100,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_10_+,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_30_+,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_40,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_60,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UChicago-CovidIL_80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UMass-ExpertCrowd,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_with_projections-UMass-MechBayes,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-UMich-RidgeTfReg,,,,,,,,,,,,0,0,35,28,30,46,39,40,43,49,49,50,50,50,50,50,50,50,50,50,50,6,6,6,50,50,50,50,50,50,50,49,47
num_states_with_projections-USACE-ERDC_SEIR,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,,51,,,51,51,51,,,,,,,,,,,
num_states_with_projections-USC-SI_kJalpha,,,,,,,,,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
num_states_with_projections-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,51,,,,,,,,,,,,,,
num_states_with_projections-UT-Mobility,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,51,,51,,,
num_states_with_projections-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
num_states_with_projections-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,45,44,,44,,,,,,
num_states_with_projections-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,0,0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,51,51,51,51,51,51,51
num_states_with_projections-YYG-ParamSearch,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,,,,,,,,,,,,,,,,,,,
num_states_with_projections-epiforecasts-ensemble1,,,,,,,,,15,14,14,22,23,23,23,29,27,45,48,46,46,46,44,47,47,47,46,42,48,47,48,47,50,50,51,51,51,49,51,51,51,51,51,51
num_states_beat_baseline-AIpert-pwllnod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,23,25,18,20,17,19,26,25
num_states_beat_baseline-Auquan-SEIR,,,,,9,7,6,0,0,30,27,33,,,,19,14,17,10,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,20,20,26,24,27,33,40,29,43,18,15,20,32,27,15,22,29,27,37,32
num_states_beat_baseline-CEID-Walk,,,,,,,,,,,,,,,,,24,19,14,23,26,27,21,22,28,33,24,29,28,33,30,28,26,21,26,,29,27,16,21,11,21,16,13
num_states_beat_baseline-CMU-TimeSeries,,,,,,,,,,,,,,35,35,27,24,30,20,32,32,23,27,28,23,41,28,29,31,36,39,38,42,26,19,23,31,23,22,19,17,32,34,37
num_states_beat_baseline-COVIDhub-ensemble,,26,24,27,30,27,25,35,31,34,33,38,37,34,32,28,27,30,26,30,28,30,33,35,25,36,35,39,38,43,48,42,49,35,35,34,43,29,32,24,25,41,43,40
num_states_beat_baseline-COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,43,1
num_states_beat_baseline-CU-select,15,23,20,24,24,24,18,23,22,21,14,20,25,21,15,22,15,11,16,21,17,18,18,17,22,25,28,29,32,32,35,31,23,20,25,19,17,8,11,18,18,30,34,36
num_states_beat_baseline-Caltech-CS156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,42,41,37,44,28,34,38,40,29,21,24,,33,36,
num_states_beat_baseline-Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,23,20,20,23,21,27,32,26,28,29,29,26,30,5,27,16,28,14,,21,18,,34,33
num_states_beat_baseline-Covid19Sim-Simulator,,,,,,23,24,24,22,28,29,30,28,26,26,24,,6,10,27,24,25,22,24,19,25,23,30,32,27,,27,33,15,20,21,32,28,16,22,16,33,31,27
num_states_beat_baseline-CovidActNow-SEIR_CAN,,,,,,,16,17,18,14,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-CovidAnalytics-DELPHI,,23,20,20,20,24,30,24,23,29,28,23,28,28,27,25,20,24,22,23,17,17,24,19,15,23,9,21,22,21,23,29,33,20,27,25,25,21,18,15,22,29,31,30
num_states_beat_baseline-DDS-NBDS,,,,,,,,,,,,,,,19,18,11,17,15,29,19,28,19,31,17,21,29,26,18,33,24,25,18,21,11,29,23,16,18,17,10,32,19,
num_states_beat_baseline-FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-GT-DeepCOVID,,,,4,14,7,10,12,13,15,19,15,23,20,19,19,17,18,23,25,19,26,25,27,22,32,27,24,28,26,29,33,41,29,29,32,32,26,24,25,20,34,33,30
num_states_beat_baseline-GT_CHHS-COVID19,,,,,,,0,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0
num_states_beat_baseline-Google_Harvard-CPF,,,,,,,,,,,,,,,,,,,,21,15,20,17,26,16,28,30,36,35,40,38,37,44,26,27,25,41,30,25,18,21,32,36,29
num_states_beat_baseline-IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-IHME-CurveFit,14,16,21,20,23,,21,27,23,33,25,26,,16,17,23,13,,15,19,18,,19,20,,,20,24,,,,22,,15,20,15,22,,,14,18,30,35,37
num_states_beat_baseline-IowaStateLW-STEM,,26,13,,20,21,21,25,20,27,18,25,23,16,17,17,,13,12,23,18,22,22,25,23,24,18,19,24,27,35,34,36,21,19,17,28,27,16,21,19,12,20,11
num_states_beat_baseline-JCB-PRM,,,,,,,,,,,,,,,25,18,18,25,26,31,25,32,35,33,22,34,29,34,34,36,41,33,43,28,27,18,36,,,,,,,
num_states_beat_baseline-JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,20,17,15,19,22,23,36,33,31,27,33,30,24,37,27,25,17,16,14,17,,20,13,19,12
num_states_beat_baseline-JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,,,,25,,32,27,30,35,43,32,45,30,22,21,36,,24,19,16,18,25,24
num_states_beat_baseline-JHU_IDD-CovidSP,,,,,2,5,5,7,21,11,15,18,18,12,11,11,5,12,15,22,18,19,20,26,18,27,21,16,14,8,37,26,29,16,19,17,26,22,19,22,16,21,28,23
num_states_beat_baseline-JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,22,10,,,,,,,,,,,,,,
num_states_beat_baseline-Karlen-pypm,,,,,,,,,,,,,,18,25,26,15,22,26,23,23,23,30,35,26,33,36,36,38,38,37,36,45,32,28,30,37,30,29,22,21,36,40,39
num_states_beat_baseline-LANL-GrowthRate,23,21,25,26,30,29,29,32,29,26,27,34,23,22,20,16,14,16,18,25,21,18,23,22,16,22,15,18,28,36,32,26,31,23,32,26,27,18,24,22,23,31,34,33
num_states_beat_baseline-LNQ-ens1,,,,,,,,,,,,,,34,25,29,22,16,20,24,23,20,22,31,23,30,33,34,37,37,44,36,29,32,32,29,10,19,30,25,22,38,43,40
num_states_beat_baseline-MITCovAlliance-SIR,,,,,,,,,,,18,16,9,19,18,18,,10,,,19,20,15,26,,,14,,,,,,,,,,,16,19,,,,,
num_states_beat_baseline-MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,21,16,27,28,25,29,34,24,28,24,30,35,41,28,29,21,39,24,28,15,16,26,23,10
num_states_beat_baseline-MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,17,25,23,28
num_states_beat_baseline-MOBS-GLEAM_COVID,11,18,12,16,18,21,24,27,21,21,15,26,26,29,22,16,14,20,16,21,23,18,20,19,17,26,29,37,33,38,42,30,42,26,23,27,37,36,28,19,28,28,37,30
num_states_beat_baseline-MSRA-DeepST,,,,,,,,,,,,,,,,,,,,,,,,,,29,32,37,37,34,43,38,44,32,,,,,,,,,,
num_states_beat_baseline-Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,21,16,38,36,27,15,16,30,18,24
num_states_beat_baseline-NotreDame-FRED,,,2,4,2,0,3,2,0,0,0,0,1,1,1,2,2,3,0,0,0,3,2,4,1,4,6,3,3,4,4,2,,1,3,,,,,,,,,
num_states_beat_baseline-NotreDame-mobility,,,,,,,,,,31,18,25,26,22,16,11,7,15,15,25,23,17,25,21,25,18,21,22,21,17,19,15,26,10,16,,,,,,,,,
num_states_beat_baseline-OliverWyman-Navigator,,,,,,,,30,27,28,27,38,33,36,31,20,24,26,21,27,30,24,27,31,32,35,38,37,33,40,47,34,44,32,24,23,33,34,23,22,25,37,43,41
num_states_beat_baseline-PSI-DRAFT,,,,,19,21,28,18,19,20,17,16,13,17,10,12,12,15,19,23,14,20,27,23,13,15,11,15,19,20,26,16,26,16,14,15,24,26,21,20,18,22,20,32
num_states_beat_baseline-QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Quantori-Multiagents,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,9,5,4,9,6,14,10,9,6,10,12,14,13,11,13,6,23,12,12,8,6,5,5,7,10,16,15,12
num_states_beat_baseline-RobertWalraven-ESG,,,,,,,,,,,,17,12,7,10,17,11,10,11,22,12,6,11,10,8,5,17,8,8,23,27,21,18,14,14,18,10,11,27,24,28,41,45,36
num_states_beat_baseline-STH-3PU,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,,0,1,0,0,0,,,,,,,,,,,,,,,
num_states_beat_baseline-SWC-TerminusCM,,,,,,13,18,18,24,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-SigSci-TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,21,26
num_states_beat_baseline-SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,18,25,27,31,31,27,22,39,37,37,37,39,38,31,36,32,31,33,27,25,28,23,22,38,42,
num_states_beat_baseline-TTU-squider,,,,,,,,,,,,,,,,,,2,4,,,8,,9,7,8,11,23,17,18,19,20,26,20,17,13,22,22,13,14,5,13,15,14
num_states_beat_baseline-UA-EpiCovDA,,,,,,15,17,20,28,30,25,27,18,25,28,21,21,26,17,20,17,24,19,21,23,30,26,33,31,32,39,34,32,26,28,21,7,20,24,17,16,33,36,32
num_states_beat_baseline-UCLA-SuEIR,,,19,23,28,31,34,29,28,23,21,28,26,24,23,18,22,17,22,22,22,23,24,26,16,18,14,13,15,16,15,26,18,24,21,21,14,24,24,29,17,23,30,
num_states_beat_baseline-UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,,,,,,,,
num_states_beat_baseline-UCSB-ACTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,31,22,32,25,37,15,20,24,33,21,13,9,24,,,
num_states_beat_baseline-UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,19,22,19,24,18,27,30,34,32,37,42,31,45,25,13,25,27,31,21,17,21,25,27,22
num_states_beat_baseline-UChicago-CovidIL,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_100,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_10_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_30_+,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_40,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_60,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UChicago-CovidIL_80,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UMass-ExpertCrowd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-UMass-MechBayes,,15,17,24,36,30,33,37,28,29,34,37,37,33,29,27,18,25,20,26,28,28,32,32,30,32,38,30,37,39,41,34,37,32,36,36,24,23,36,30,26,41,40,35
num_states_beat_baseline-UMich-RidgeTfReg,,,,,,,,,,,,,,9,8,10,14,8,9,20,16,13,17,19,20,27,23,22,21,21,21,15,2,4,2,17,24,16,11,13,14,20,33,26
num_states_beat_baseline-USACE-ERDC_SEIR,,,,,23,19,24,21,21,20,18,26,29,16,18,15,12,13,12,17,19,16,17,18,,15,,19,,,22,12,22,,,,,,,,,,,
num_states_beat_baseline-USC-SI_kJalpha,,,,,,,,,,,29,32,21,30,22,23,25,25,22,31,29,27,29,30,29,36,36,37,35,43,42,31,43,30,30,31,34,14,23,18,22,38,35,39
num_states_beat_baseline-USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,36,,,,,,,,,,,,,,
num_states_beat_baseline-UT-Mobility,14,12,16,23,26,24,26,28,21,27,26,26,29,23,19,12,,21,16,,,18,18,14,22,19,23,26,19,25,21,19,22,18,24,22,,,24,,21,,,
num_states_beat_baseline-UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_states_beat_baseline-Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19,11,,22,,,,,,
num_states_beat_baseline-WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,,,9,11,16,15,8,9,11,10,10,6,4,0,1,4,9,6,,4,9,13,13,24,29,28
