,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01021,124,180.0,,187.4,,163.0,138.0,,,,,144.8,,,143.0,,177.8,,59.3,157.0,,126.7,197.2,,174.0,36.0,,,,164.4,,,,168.0,169.4,56.0,,63.4,,39.0,14.0,,,,,20.8,,,19.0,,53.8,,-64.7,33.0,,2.7,73.2,,50.0,-88.0,,,,40.4,,,,44.0,45.4,,False,,True,True,,,,,True,,,True,,True,,False,True,,True,False,,True,False,,,,True,,,,True,True
01023,16,8.0,,7.3,,9.0,6.0,,,,,9.7,,,59.0,,43.7,,8.4,,,4.4,15.5,,16.0,0.0,,,,,,,,23.0,,-8.0,,-8.7,,-7.0,-10.0,,,,,-6.3,,,43.0,,27.7,,-7.6,,,-11.6,-0.5,,0.0,-16.0,,,,,,,,7.0,,,False,,True,False,,,,,True,,,False,,False,,True,,,False,True,,True,False,,,,,,,,True,
01025,95,168.0,,167.3,,131.0,115.0,,,,,136.5,,,129.0,,100.3,,19.6,,,125.1,138.2,,220.0,413.0,,,,147.8,,,,74.0,,73.0,,72.3,,36.0,20.0,,,,,41.5,,,34.0,,5.3,,-75.4,,,30.1,43.2,,125.0,318.0,,,,52.8,,,,-21.0,,,True,,True,True,,,,,True,,,True,,True,,False,,,True,True,,False,False,,,,True,,,,True,
01027,72,88.0,,79.7,,75.0,74.0,,,,,71.1,,,38.0,,141.6,,16.3,,,28.5,80.9,,115.0,13.0,,,,,,,,113.0,,16.0,,7.7,,3.0,2.0,,,,,-0.9,,,-34.0,,69.6,,-55.7,,,-43.5,8.9,,43.0,-59.0,,,,,,,,41.0,,,True,,True,True,,,,,True,,,False,,False,,False,,,False,True,,False,False,,,,,,,,False,
01029,58,82.0,,78.0,,74.0,60.0,,,,,68.7,,,55.0,,139.3,,15.6,,,69.0,106.0,,123.0,15.0,,,,,,,,92.0,98.2,24.0,,20.0,,16.0,2.0,,,,,10.7,,,-3.0,,81.3,,-42.4,,,11.0,48.0,,65.0,-43.0,,,,,,,,34.0,40.2,,True,,True,True,,,,,True,,,True,,False,,False,,,True,False,,False,False,,,,,,,,False,False
01031,217,296.0,,316.7,,251.0,320.0,,,,,293.0,,,136.0,,250.5,,120.6,238.0,,210.8,258.9,,322.0,49.0,,,,243.1,,,,257.0,,79.0,,99.7,,34.0,103.0,,,,,76.0,,,-81.0,,33.5,,-96.4,21.0,,-6.2,41.9,,105.0,-168.0,,,,26.1,,,,40.0,,,False,,True,False,,,,,True,,,False,,True,,False,True,,True,True,,False,False,,,,True,,,,True,
01033,440,244.0,,247.2,,244.0,286.0,,,,,225.8,,,252.0,,193.8,,57.9,211.0,,191.5,259.1,,263.0,12.0,,,,206.8,,,,243.0,196.1,-196.0,,-192.8,,-196.0,-154.0,,,,,-214.2,,,-188.0,,-246.2,,-382.1,-229.0,,-248.5,-180.9,,-177.0,-428.0,,,,-233.2,,,,-197.0,-243.9,,True,,False,True,,,,,False,,,True,,False,,False,False,,False,True,,True,False,,,,False,,,,False,False
01035,43,14.0,,15.1,,13.0,0.0,,,,,17.8,,,33.0,,16.7,,7.6,,,1.5,12.5,0.0,15.0,45.0,,,,,,,,19.0,21.6,-29.0,,-27.9,,-30.0,-43.0,,,,,-25.2,,,-10.0,,-26.3,,-35.4,,,-41.5,-30.5,-43.0,-28.0,2.0,,,,,,,,-24.0,-21.4,,True,,False,False,,,,,True,,,True,,True,,False,,,False,False,False,True,True,,,,,,,,True,True
01037,28,14.0,,14.0,,14.0,12.0,,,,,12.5,,,19.0,,25.4,,7.1,,,5.8,15.8,0.0,17.0,0.0,,,,,,,,24.0,,-14.0,,-14.0,,-14.0,-16.0,,,,,-15.5,,,-9.0,,-2.6,,-20.9,,,-22.2,-12.2,-28.0,-11.0,-28.0,,,,,,,,-4.0,,,False,,False,False,,,,,False,,,True,,True,,False,,,False,True,False,True,False,,,,,,,,True,
01039,201,200.0,,191.0,,153.0,211.0,,,,,264.8,,,128.0,,156.7,,61.8,174.0,,136.0,186.4,0.1,261.0,8.0,,,,127.3,,,,127.0,,-1.0,,-10.0,,-48.0,10.0,,,,,63.8,,,-73.0,,-44.3,,-139.2,-27.0,,-65.0,-14.6,-200.9,60.0,-193.0,,,,-73.7,,,,-74.0,,,False,,False,False,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,
01041,37,46.0,,48.9,,36.0,10.0,,,,,35.6,,,36.0,,79.0,,16.4,,,15.1,41.2,0.0,61.0,12.0,,,,,,,,55.0,45.2,9.0,,11.9,,-1.0,-27.0,,,,,-1.4,,,-1.0,,42.0,,-20.6,,,-21.9,4.2,-37.0,24.0,-25.0,,,,,,,,18.0,8.2,,False,,True,False,,,,,True,,,True,,False,,False,,,False,True,False,False,False,,,,,,,,False,True
01043,720,456.0,,487.4,,399.0,730.0,,,,,371.6,,,343.0,,390.5,,61.7,383.5,,404.6,553.0,3.2,623.0,137.0,,,,326.4,,,,311.0,,-264.0,,-232.6,,-321.0,10.0,,,,,-348.4,,,-377.0,,-329.5,,-658.3,-336.5,,-315.4,-167.0,-716.8,-97.0,-583.0,,,,-393.6,,,,-409.0,,,True,,False,True,,,,,False,,,False,,False,,False,False,,False,True,False,True,False,,,,False,,,,False,
01045,284,294.0,,334.8,,169.0,132.0,,,,,507.9,,,130.0,,146.2,,57.4,169.5,,249.1,191.8,0.4,369.0,44.0,,,,231.8,,,,81.0,,10.0,,50.8,,-115.0,-152.0,,,,,223.9,,,-154.0,,-137.8,,-226.6,-114.5,,-34.9,-92.2,-283.6,85.0,-240.0,,,,-52.2,,,,-203.0,,,False,,False,False,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,
01047,124,40.0,,42.4,,34.0,28.0,,,,,33.3,,,121.0,,64.2,,23.5,43.5,,7.3,40.2,0.0,33.0,0.0,,,,28.5,,,,37.0,,-84.0,,-81.6,,-90.0,-96.0,,,,,-90.7,,,-3.0,,-59.8,,-100.5,-80.5,,-116.7,-83.8,-124.0,-91.0,-124.0,,,,-95.5,,,,-87.0,,,True,,False,False,,,,,False,,,True,,True,,False,True,,False,True,False,False,False,,,,False,,,,False,
01049,469,586.0,,584.5,,555.0,768.0,,,,,384.4,,,363.0,,681.2,,88.5,649.5,,535.5,577.7,238.3,774.0,39.0,,,,375.9,,,,555.0,,117.0,,115.5,,86.0,299.0,,,,,-84.6,,,-106.0,,212.2,,-380.5,180.5,,66.5,108.7,-230.7,305.0,-430.0,,,,-93.1,,,,86.0,,,True,,True,False,,,,,True,,,True,,False,,False,False,,True,True,False,False,False,,,,True,,,,True,
01051,254,252.0,,254.3,,223.0,221.0,,,,,271.1,,,173.0,,228.7,,90.8,256.0,,186.0,256.6,1.7,269.0,42.0,,,,231.4,,,,236.0,,-2.0,,0.3,,-31.0,-33.0,,,,,17.1,,,-81.0,,-25.3,,-163.2,2.0,,-68.0,2.6,-252.3,15.0,-212.0,,,,-22.6,,,,-18.0,,,True,,False,False,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,
01053,99,46.0,,46.5,,42.0,0.0,,,,,52.1,,,188.0,,68.3,,31.2,61.0,,11.6,44.1,0.0,41.0,1.0,,,,40.3,,,,66.0,,-53.0,,-52.5,,-57.0,-99.0,,,,,-46.9,,,89.0,,-30.7,,-67.8,-38.0,,-87.4,-54.9,-99.0,-58.0,-98.0,,,,-58.7,,,,-33.0,,,True,,False,False,,,,,True,,,False,,True,,False,True,,False,False,False,False,False,,,,False,,,,True,
01055,618,628.0,,603.8,,526.0,1083.0,,,,,534.8,,,449.0,,529.9,,117.5,472.0,,498.8,574.6,3.9,663.0,90.0,,,,486.6,,,,597.0,472.9,10.0,,-14.2,,-92.0,465.0,,,,,-83.2,,,-169.0,,-88.1,,-500.5,-146.0,,-119.2,-43.4,-614.1,45.0,-528.0,,,,-131.4,,,,-21.0,-145.1,,False,,False,False,,,,,False,,,False,,False,,False,False,,False,False,False,False,False,,,,False,,,,False,False
01057,84,76.0,,83.0,,59.0,44.0,,,,,63.7,,,59.0,,104.6,,23.7,,,32.8,66.1,0.3,84.0,15.0,,,,,,,,90.0,,-8.0,,-1.0,,-25.0,-40.0,,,,,-20.3,,,-25.0,,20.6,,-60.3,,,-51.2,-17.9,-83.7,0.0,-69.0,,,,,,,,6.0,,,True,,False,False,,,,,False,,,False,,False,,False,,,False,False,False,True,False,,,,,,,,True,
01059,198,156.0,,155.8,,147.0,96.0,,,,,154.5,,,169.0,,196.3,,56.0,165.5,,77.4,142.2,124.5,218.0,28.0,,,,112.9,,,,226.0,,-42.0,,-42.2,,-51.0,-102.0,,,,,-43.5,,,-29.0,,-1.7,,-142.0,-32.5,,-120.6,-55.8,-73.5,20.0,-170.0,,,,-85.1,,,,28.0,,,False,,False,False,,,,,False,,,True,,True,,False,True,,False,False,False,True,False,,,,False,,,,True,
01061,123,154.0,,166.4,,94.0,97.0,,,,,246.3,,,84.0,,103.1,,52.3,,,90.3,114.5,0.1,192.0,52.0,,,,,,,,48.0,,31.0,,43.4,,-29.0,-26.0,,,,,123.3,,,-39.0,,-19.9,,-70.7,,,-32.7,-8.5,-122.9,69.0,-71.0,,,,,,,,-75.0,,,False,,True,True,,,,,False,,,False,,True,,False,,,False,True,False,False,False,,,,,,,,False,
01063,20,26.0,,22.2,,12.0,0.0,,,,,9.2,,,21.0,,33.7,,5.7,,,1.5,11.6,0.0,17.0,,,,,,,,,21.0,18.8,6.0,,2.2,,-8.0,-20.0,,,,,-10.8,,,1.0,,13.7,,-14.3,,,-18.5,-8.4,-20.0,-3.0,,,,,,,,,1.0,-1.2,,True,,False,False,,,,,False,,,True,,False,,False,,,False,False,False,True,,,,,,,,,True,True
01065,56,66.0,,66.7,,56.0,28.0,,,,,70.9,,,63.0,,85.1,,26.0,,,16.4,56.6,0.2,78.0,72.0,,,,,,,,28.0,,10.0,,10.7,,0.0,-28.0,,,,,14.9,,,7.0,,29.1,,-30.0,,,-39.6,0.6,-55.8,22.0,16.0,,,,,,,,-28.0,,,False,,True,False,,,,,False,,,True,,False,,False,,,False,True,False,False,False,,,,,,,,False,
01067,59,174.0,,186.4,,80.0,30.0,,,,,343.4,,,37.0,,80.7,,32.2,,,103.9,89.2,55.0,213.0,1.0,,,,,,,,14.0,,115.0,,127.4,,21.0,-29.0,,,,,284.4,,,-22.0,,21.7,,-26.8,,,44.9,30.2,-4.0,154.0,-58.0,,,,,,,,-45.0,,,False,,True,True,,,,,False,,,True,,True,,True,,,True,True,True,False,True,,,,,,,,True,
01069,311,1098.0,,1062.9,,480.0,99.0,,,,,2264.6,,,316.0,,212.9,,190.6,453.0,,954.6,415.0,415.8,1385.0,0.0,,,,805.5,,,,132.0,468.1,787.0,,751.9,,169.0,-212.0,,,,,1953.6,,,5.0,,-98.1,,-120.4,142.0,,643.6,104.0,104.8,1074.0,-311.0,,,,494.5,,,,-179.0,157.1,,True,,True,True,,,,,False,,,True,,True,,True,True,,True,True,True,False,True,,,,True,,,,True,True
01071,340,370.0,,375.1,,311.0,480.0,,,,,299.7,,,292.0,,392.8,,61.9,367.0,,302.6,315.0,152.0,536.0,49.0,,,,247.5,,,,291.0,,30.0,,35.1,,-29.0,140.0,,,,,-40.3,,,-48.0,,52.8,,-278.1,27.0,,-37.4,-25.0,-188.0,196.0,-291.0,,,,-92.5,,,,-49.0,,,False,,True,False,,,,,False,,,False,,False,,False,True,,False,True,False,False,False,,,,False,,,,False,
01073,2591,1870.0,,1828.6,1902.9,1809.0,1902.0,,,,,2346.3,,,1734.0,,1723.2,,667.8,1783.5,,1793.4,2242.5,139.1,1916.0,16.0,,,,1479.6,2044.0,,,1826.0,1752.2,-721.0,,-762.4,-688.1,-782.0,-689.0,,,,,-244.7,,,-857.0,,-867.8,,-1923.2,-807.5,,-797.6,-348.5,-2451.9,-675.0,-2575.0,,,,-1111.4,-547.0,,,-765.0,-838.8,,False,True,False,True,,,,,True,,,False,,False,,False,False,,False,True,False,True,False,,,,False,True,,,False,False
01075,62,88.0,,88.0,,63.0,56.0,,,,,125.3,,,54.0,,95.1,,20.1,,,58.9,78.1,31.5,110.0,13.0,,,,,,,,69.0,59.7,26.0,,26.0,,1.0,-6.0,,,,,63.3,,,-8.0,,33.1,,-41.9,,,-3.1,16.1,-30.5,48.0,-49.0,,,,,,,,7.0,-2.3,,True,,True,True,,,,,False,,,True,,False,,False,,,True,True,False,False,False,,,,,,,,True,True
01077,638,466.0,,456.6,,416.0,401.0,,,,,541.6,,,408.0,,381.0,,82.8,348.5,,489.4,488.7,216.1,567.0,0.0,,,,358.5,,,,367.0,251.7,-172.0,,-181.4,,-222.0,-237.0,,,,,-96.4,,,-230.0,,-257.0,,-555.2,-289.5,,-148.6,-149.3,-421.9,-71.0,-638.0,,,,-279.5,,,,-271.0,-386.3,,False,,False,False,,,,,True,,,False,,False,,False,False,,True,True,False,True,False,,,,False,,,,False,False
01079,140,136.0,,139.0,,136.0,166.0,,,,,133.4,,,136.0,,158.6,,34.1,141.0,,117.3,141.5,52.5,217.0,31.0,,,,,,,,0.0,100.0,-4.0,,-1.0,,-4.0,26.0,,,,,-6.6,,,-4.0,,18.6,,-105.9,1.0,,-22.7,1.5,-87.5,77.0,-109.0,,,,,,,,-140.0,-40.0,,True,,False,False,,,,,False,,,False,,False,,False,True,,False,True,False,False,False,,,,,,,,False,False
01081,373,226.0,,226.1,,184.0,139.0,,,,,296.6,,,367.0,,184.4,,197.3,271.5,,175.3,253.4,5.6,238.0,127.0,,,,254.4,117.0,,,260.0,649.5,-147.0,,-146.9,,-189.0,-234.0,,,,,-76.4,,,-6.0,,-188.6,,-175.7,-101.5,,-197.7,-119.6,-367.4,-135.0,-246.0,,,,-118.6,-256.0,,,-113.0,276.5,,True,,False,False,,,,,True,,,True,,False,,False,True,,False,True,False,True,False,,,,True,False,,,True,False
01083,456,368.0,,348.7,,358.0,318.0,,,,,370.9,,,386.0,,324.7,,91.0,385.0,,373.7,417.0,324.8,422.0,78.0,,,,277.5,,,,246.0,,-88.0,,-107.3,,-98.0,-138.0,,,,,-85.1,,,-70.0,,-131.3,,-365.0,-71.0,,-82.3,-39.0,-131.2,-34.0,-378.0,,,,-178.5,,,,-210.0,,,False,,False,False,,,,,True,,,True,,False,,False,True,,True,True,False,True,False,,,,False,,,,False,
01085,32,26.0,,22.7,,16.0,0.0,,,,,30.2,,,16.0,,32.9,,10.5,,,10.9,35.2,0.1,32.0,,,,,,,,,0.0,,-6.0,,-9.3,,-16.0,-32.0,,,,,-1.8,,,-16.0,,0.9,,-21.5,,,-21.1,3.2,-31.9,0.0,,,,,,,,,-32.0,,,False,,False,False,,,,,True,,,False,,True,,False,,,False,True,False,True,,,,,,,,,False,
01087,75,14.0,,10.7,,14.0,14.0,,,,,26.8,,,32.0,,49.5,,13.6,,,4.5,24.5,0.0,24.0,0.0,,,,,,,,6.0,27.2,-61.0,,-64.3,,-61.0,-61.0,,,,,-48.2,,,-43.0,,-25.5,,-61.4,,,-70.5,-50.5,-75.0,-51.0,-75.0,,,,,,,,-69.0,-47.8,,False,,False,False,,,,,True,,,True,,True,,False,,,False,True,False,True,False,,,,,,,,False,True
01089,1072,774.0,,769.8,880.0,770.0,780.0,,,,,743.6,,,1054.0,,699.8,,347.1,766.0,,741.4,927.3,44.6,864.0,252.0,,,,555.5,792.0,,,573.0,815.1,-298.0,,-302.2,-192.0,-302.0,-292.0,,,,,-328.4,,,-18.0,,-372.2,,-724.9,-306.0,,-330.6,-144.7,-1027.4,-208.0,-820.0,,,,-516.5,-280.0,,,-499.0,-256.9,,False,True,False,True,,,,,False,,,True,,False,,False,False,,False,True,False,True,False,,,,False,True,,,False,True
01091,84,104.0,,120.7,,98.0,4.0,,,,,83.6,,,98.0,,155.4,,19.8,,,72.0,116.7,0.1,177.0,1.0,,,,,,,,64.0,,20.0,,36.7,,14.0,-80.0,,,,,-0.4,,,14.0,,71.4,,-64.2,,,-12.0,32.7,-83.9,93.0,-83.0,,,,,,,,-20.0,,,False,,True,False,,,,,True,,,True,,False,,False,,,True,False,False,False,False,,,,,,,,False,
01093,136,78.0,,72.5,,64.0,44.0,,,,,87.4,,,113.0,,65.2,,22.7,71.0,,51.1,80.1,0.1,77.0,83.0,,,,62.8,,,,87.0,,-58.0,,-63.5,,-72.0,-92.0,,,,,-48.6,,,-23.0,,-70.8,,-113.3,-65.0,,-84.9,-55.9,-135.9,-59.0,-53.0,,,,-73.2,,,,-49.0,,,False,,False,False,,,,,True,,,True,,False,,False,False,,False,True,False,False,True,,,,False,,,,True,
01095,476,282.0,,281.2,,262.0,348.0,,,,,204.8,,,443.0,,246.6,,80.8,278.0,,212.9,283.2,4.4,306.0,280.0,,,,205.4,,,,397.0,,-194.0,,-194.8,,-214.0,-128.0,,,,,-271.2,,,-33.0,,-229.4,,-395.2,-198.0,,-263.1,-192.8,-471.6,-170.0,-196.0,,,,-270.6,,,,-79.0,,,False,,False,True,,,,,False,,,True,,False,,False,False,,False,True,False,True,False,,,,False,,,,True,
01097,918,5264.0,,5589.2,913.6,2142.0,950.0,,,,,4105.1,,,2536.0,,565.7,,295.2,2596.0,,4906.4,1749.1,749.0,,33059.0,,,,3550.0,15704.0,,,22495.0,622.1,4346.0,,4671.2,-4.4,1224.0,32.0,,,,,3187.1,,,1618.0,,-352.3,,-622.8,1678.0,,3988.4,831.1,-169.0,,32141.0,,,,2632.0,14786.0,,,21577.0,-295.9,,False,True,True,True,,,,,True,,,True,,True,,True,True,,True,True,True,,False,,,,True,False,,,False,True
