,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,74768,32400.0,31866.6,24077.0,46794.0,,31167.5,17710.0,33513.3,13536.1,,20900.0,31413.2,28479.9,20823.5,24028.7,24240.5,36169.2,,21515.9,1923.2,22847.6,37883.5,19675.3,30931.0,-42368.0,-42901.4,-50691.0,-27974.0,,-43600.5,-57058.0,-41254.7,-61231.9,,-53868.0,-43354.8,-46288.1,-53944.5,-50739.3,-50527.5,-38598.8,,-53252.1,-72844.8,-51920.4,-36884.5,-55092.7,-43837.0,False,False,True,,False,False,True,False,,False,False,False,False,False,False,True,,False,False,False,True,False,False
Hawaii,2486,2548.0,2566.4,2541.0,3363.0,,2677.7,1006.0,1703.3,5061.3,,,3501.8,2663.3,4530.0,2403.8,2078.4,2839.2,,934.7,1199.2,1413.7,2369.1,2693.6,1013.0,62.0,80.4,55.0,877.0,,191.7,-1480.0,-782.7,2575.3,,,1015.8,177.3,2044.0,-82.2,-407.6,353.2,,-1551.3,-1286.8,-1072.3,-116.9,207.6,-1473.0,False,True,False,,False,False,False,False,,,False,False,False,False,False,False,,False,False,False,False,False,False
Idaho,24611,15996.0,15905.6,12464.0,18175.0,,14831.9,5452.0,29166.3,9285.6,,10498.0,23659.9,16570.6,7114.7,11956.0,10457.6,16996.1,,9339.2,3598.2,8498.9,14902.6,14138.0,12174.0,-8615.0,-8705.4,-12147.0,-6436.0,,-9779.1,-19159.0,4555.3,-15325.4,,-14113.0,-951.1,-8040.4,-17496.3,-12655.0,-14153.4,-7614.9,,-15271.8,-21012.8,-16112.1,-9708.4,-10473.0,-12437.0,False,False,True,,False,False,True,False,,False,True,True,False,False,False,True,,False,False,False,False,False,False
Illinois,158527,66676.0,67571.7,57659.0,83352.0,,59164.3,16742.0,68412.0,55441.9,,48737.0,84718.4,54209.6,40934.4,48366.5,56302.6,80197.5,,60248.9,70713.3,57677.4,56940.7,104018.2,63986.0,-91851.0,-90955.3,-100868.0,-75175.0,,-99362.7,-141785.0,-90115.0,-103085.1,,-109790.0,-73808.6,-104317.4,-117592.6,-110160.5,-102224.4,-78329.5,,-98278.1,-87813.7,-100849.6,-101586.3,-54508.8,-94541.0,True,False,True,,False,False,True,False,,False,True,False,False,False,False,True,,False,True,False,False,True,False
Indiana,72311,37408.0,36842.0,35491.0,51299.0,,32134.6,19459.0,38814.6,27760.3,,26386.0,46197.3,31472.7,35725.4,43098.6,34357.3,48738.4,,38574.0,37408.0,23921.0,48232.9,71664.4,50998.0,-34903.0,-35469.0,-36820.0,-21012.0,,-40176.4,-52852.0,-33496.4,-44550.7,,-45925.0,-26113.7,-40838.3,-36585.6,-29212.4,-37953.7,-23572.6,,-33737.0,-34903.0,-48390.0,-24078.1,-646.6,-21313.0,False,False,True,,False,False,True,False,,False,True,False,False,True,False,True,,True,False,False,True,True,True
Iowa,51212,26964.0,26881.2,26450.0,28272.0,,26803.2,18606.0,34466.4,26488.4,,20587.0,31880.6,25341.7,11878.8,33402.7,22038.9,29842.2,,16614.1,6817.0,16296.3,27374.1,29140.8,29207.0,-24248.0,-24330.8,-24762.0,-22940.0,,-24408.8,-32606.0,-16745.6,-24723.6,,-30625.0,-19331.4,-25870.3,-39333.2,-17809.3,-29173.1,-21369.8,,-34597.9,-44395.0,-34915.7,-23837.9,-22071.2,-22005.0,False,False,True,,False,False,True,False,,False,True,False,False,True,False,True,,False,False,False,True,True,True
Kansas,32413,17256.0,17400.6,16826.0,17489.0,,16954.7,17488.0,21529.3,11072.6,,15630.0,11634.5,22380.4,10306.5,18001.6,9981.9,16756.3,,12402.6,15232.7,14864.0,18241.6,12501.6,14923.0,-15157.0,-15012.4,-15587.0,-14924.0,,-15458.3,-14925.0,-10883.7,-21340.4,,-16783.0,-20778.5,-10032.6,-22106.5,-14411.4,-22431.1,-15656.7,,-20010.3,-17180.3,-17549.0,-14171.4,-19911.4,-17490.0,True,False,True,,False,True,True,False,,False,False,True,False,True,False,False,,False,False,False,True,False,False
Kentucky,40216,29776.0,29126.3,28121.0,25899.0,,27890.2,20640.0,50273.0,25721.3,,23492.0,34080.7,33328.0,17148.0,40927.6,20684.2,30435.5,,21021.0,22173.5,27635.9,30547.6,32551.6,39711.0,-10440.0,-11089.7,-12095.0,-14317.0,,-12325.8,-19576.0,10057.0,-14494.7,,-16724.0,-6135.3,-6888.0,-23068.0,711.6,-19531.8,-9780.5,,-19195.0,-18042.5,-12580.1,-9668.4,-7664.4,-505.0,False,False,False,,False,False,True,False,,False,True,True,False,True,False,True,,False,False,False,True,True,True
Louisiana,18309,13908.0,13926.3,12873.0,16703.0,,13905.4,5509.0,49207.6,3331.1,,14307.0,6022.6,12926.6,13960.7,10238.2,11798.7,15068.2,,2825.0,62.5,8099.8,21592.9,10748.1,8970.0,-4401.0,-4382.7,-5436.0,-1606.0,,-4403.6,-12800.0,30898.6,-14977.9,,-4002.0,-12286.4,-5382.4,-4348.3,-8070.8,-6510.3,-3240.8,,-15484.0,-18246.5,-10209.2,3283.9,-7560.9,-9339.0,True,False,True,,False,False,False,False,,True,False,False,True,False,False,True,,False,False,False,True,False,False
Maine,1905,844.0,829.3,846.0,1207.0,,839.0,485.0,1157.3,963.5,,989.0,794.8,833.9,1592.2,1144.5,553.1,901.8,,439.5,616.9,732.7,806.4,733.6,795.0,-1061.0,-1075.7,-1059.0,-698.0,,-1066.0,-1420.0,-747.7,-941.5,,-916.0,-1110.2,-1071.1,-312.8,-760.5,-1351.9,-1003.2,,-1465.5,-1288.1,-1172.3,-1098.6,-1171.4,-1110.0,False,True,True,,False,False,True,True,,True,False,False,True,True,False,True,,False,False,False,False,False,False
Maryland,22120,15904.0,15866.8,14306.0,17941.0,,14886.4,1951.0,16606.1,13551.0,,12685.0,19303.9,11762.7,20345.6,14751.2,11757.2,18073.1,,10351.4,15318.0,11345.3,19271.0,18623.4,18398.0,-6216.0,-6253.2,-7814.0,-4179.0,,-7233.6,-20169.0,-5513.9,-8569.0,,-9435.0,-2816.1,-10357.3,-1774.4,-7368.8,-10362.8,-4046.9,,-11768.6,-6802.0,-10774.7,-2849.0,-3496.6,-3722.0,False,False,True,,False,False,True,False,,False,True,False,True,False,False,True,,False,False,False,True,True,True
Massachusetts,31236,16148.0,15594.0,14791.0,14473.0,,17779.1,12440.0,25833.5,15233.0,,11987.0,23537.7,12679.9,17274.4,23990.9,10842.0,19207.7,,10148.1,11014.7,10684.4,12207.8,19024.6,15304.0,-15088.0,-15642.0,-16445.0,-16763.0,,-13456.9,-18796.0,-5402.5,-16003.0,,-19249.0,-7698.3,-18556.1,-13961.6,-7245.1,-20394.0,-12028.3,,-21087.9,-20221.3,-20551.6,-19028.2,-12211.4,-15932.0,False,False,False,,True,False,True,False,,False,True,False,True,True,False,True,,False,False,False,False,True,False
Michigan,79620,32728.0,33557.6,27828.0,47372.0,,30485.1,13013.0,28356.6,25940.3,,27167.0,48872.9,27205.9,34962.6,35949.5,16157.4,34942.9,,27308.5,40587.6,24818.1,18981.2,27014.1,43456.0,-46892.0,-46062.4,-51792.0,-32248.0,,-49134.9,-66607.0,-51263.4,-53679.7,,-52453.0,-30747.1,-52414.1,-44657.4,-43670.5,-63462.6,-44677.1,,-52311.5,-39032.4,-54801.9,-60638.8,-52605.9,-36164.0,True,False,True,,False,False,False,False,,False,True,False,True,True,False,True,,False,True,False,False,False,True
Minnesota,64126,32164.0,32587.2,32155.0,38020.0,,29549.6,34017.0,36663.9,27416.0,,31955.0,41033.6,27399.8,16212.2,39643.0,29293.1,38208.6,,24261.4,23679.0,25389.9,33307.1,48152.0,34823.0,-31962.0,-31538.8,-31971.0,-26106.0,,-34576.4,-30109.0,-27462.1,-36710.0,,-32171.0,-23092.4,-36726.2,-47913.8,-24483.0,-34832.9,-25917.4,,-39864.6,-40447.0,-38736.1,-30818.9,-15974.0,-29303.0,True,False,True,,False,True,True,False,,False,True,False,False,True,False,True,,False,False,False,True,True,True
Mississippi,21247,17884.0,17611.7,14484.0,19554.0,,12468.4,5396.0,13968.0,7638.4,,12417.0,24721.1,15150.1,7266.8,16942.4,11155.4,19118.0,,17236.0,1552.4,13492.5,19079.4,15815.4,19913.0,-3363.0,-3635.3,-6763.0,-1693.0,,-8778.6,-15851.0,-7279.0,-13608.6,,-8830.0,3474.1,-6096.9,-13980.2,-4304.6,-10091.6,-2129.0,,-4011.0,-19694.6,-7754.5,-2167.6,-5431.6,-1334.0,False,False,True,,False,False,False,False,,False,False,False,False,False,False,True,,False,False,False,True,False,True
Missouri,63259,52208.0,50884.9,39644.0,43299.0,,37329.9,37396.0,44411.5,50028.5,,32410.0,42122.7,41173.6,21469.0,38989.8,25440.7,40564.6,,33878.9,31514.2,36927.8,52627.7,67831.8,45976.0,-11051.0,-12374.1,-23615.0,-19960.0,,-25929.1,-25863.0,-18847.5,-13230.5,,-30849.0,-21136.3,-22085.4,-41790.0,-24269.2,-37818.3,-22694.4,,-29380.1,-31744.8,-26331.2,-10631.3,4572.8,-17283.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,,False,False,False,True,True,False
Montana,20831,15044.0,15616.8,15369.0,18401.0,,14451.5,7579.0,19886.2,13408.1,,13962.0,21433.5,24591.6,2560.7,16012.3,16531.2,19275.8,,19300.0,19988.4,7991.9,48497.0,21587.4,14075.0,-5787.0,-5214.2,-5462.0,-2430.0,,-6379.5,-13252.0,-944.8,-7422.9,,-6869.0,602.5,3760.6,-18270.3,-4818.7,-4299.8,-1555.2,,-1531.0,-842.6,-12839.1,27666.0,756.4,-6756.0,True,True,True,,False,False,True,False,,False,True,True,False,True,True,True,,True,True,False,False,True,False
Nebraska,30508,17936.0,17798.3,16595.0,20946.0,,14303.0,14872.0,22673.4,15392.5,,12281.0,13707.4,13673.3,11672.4,21634.9,15436.0,19737.7,,23813.0,6731.0,12382.8,19951.0,25358.7,19926.0,-12572.0,-12709.7,-13913.0,-9562.0,,-16205.0,-15636.0,-7834.6,-15115.5,,-18227.0,-16800.6,-16834.7,-18835.6,-8873.1,-15072.0,-10770.3,,-6695.0,-23777.0,-18125.2,-10557.0,-5149.3,-10582.0,False,False,True,,False,False,True,False,,False,False,False,False,True,False,True,,True,False,False,True,True,True
Nevada,23347,14764.0,14890.2,13258.0,15785.0,,14881.9,4045.0,14445.6,4514.6,,6724.0,22578.0,11819.4,10438.0,29999.2,10372.2,18216.4,,13412.9,0.0,8917.5,18796.2,16759.9,16268.0,-8583.0,-8456.8,-10089.0,-7562.0,,-8465.1,-19302.0,-8901.4,-18832.4,,-16623.0,-769.0,-11527.6,-12909.0,6652.2,-12974.8,-5130.6,,-9934.1,-23347.0,-14429.5,-4550.8,-6587.1,-7079.0,True,False,True,,True,False,False,False,,False,True,False,False,True,False,True,,False,False,False,True,True,True
New Hampshire,3149,1980.0,2144.0,1913.0,4809.0,,1782.8,1854.0,2459.2,1333.9,,1558.0,1611.7,1704.3,2459.9,3100.6,1543.9,2125.7,,1842.5,60.8,1298.1,1985.1,4989.6,4320.0,-1169.0,-1005.0,-1236.0,1660.0,,-1366.2,-1295.0,-689.8,-1815.1,,-1591.0,-1537.3,-1444.7,-689.1,-48.4,-1605.1,-1023.3,,-1306.5,-3088.2,-1850.9,-1163.9,1840.6,1171.0,True,False,False,,False,False,True,False,,False,False,False,True,True,False,True,,False,False,False,True,False,False
New Jersey,39705,21204.0,21012.5,21109.0,27652.0,,22804.1,5891.0,31447.7,13333.5,,14294.0,31097.7,14443.9,47729.3,31418.1,16018.8,25445.5,,17696.1,11921.9,18437.5,15233.1,23472.1,29418.0,-18501.0,-18692.5,-18596.0,-12053.0,,-16900.9,-33814.0,-8257.3,-26371.5,,-25411.0,-8607.3,-25261.1,8024.3,-8286.9,-23686.2,-14259.5,,-22008.9,-27783.1,-21267.5,-24471.9,-16232.9,-10287.0,False,False,True,,True,False,True,False,,False,True,False,True,True,False,True,,False,False,False,False,True,True
New Mexico,20949,9704.0,9670.0,9172.0,14545.0,,8989.2,2220.0,11343.8,4884.0,,6639.0,17831.1,9352.8,8026.4,7195.1,7949.7,12308.1,,7172.7,4618.6,6460.4,9211.7,18325.3,12362.0,-11245.0,-11279.0,-11777.0,-6404.0,,-11959.8,-18729.0,-9605.2,-16065.0,,-14310.0,-3117.9,-11596.2,-12922.6,-13753.9,-12999.3,-8640.9,,-13776.3,-16330.4,-14488.6,-11737.3,-2623.7,-8587.0,False,False,True,,False,False,True,False,,False,True,False,False,False,False,True,,False,False,False,False,True,True
New York,53821,39132.0,38335.1,38617.0,57628.0,,38050.7,11382.0,54371.1,14810.6,,23596.0,73559.8,30771.8,75114.4,81720.9,25873.0,43810.6,,43235.4,21607.1,31442.5,27930.8,53950.1,61276.0,-14689.0,-15485.9,-15204.0,3807.0,,-15770.3,-42439.0,550.1,-39010.4,,-30225.0,19738.8,-23049.2,21293.4,27899.9,-27948.0,-10010.4,,-10585.6,-32213.9,-22378.5,-25890.2,129.1,7455.0,False,False,True,,False,False,True,False,,False,False,False,False,False,False,True,,True,False,False,False,True,True
North Carolina,61493,51464.0,49921.4,48886.0,80203.0,,38493.8,27687.0,51058.7,26817.5,,43792.0,77691.9,48536.2,30453.7,55808.8,37963.1,62249.6,,44985.3,18141.8,51970.7,46765.1,72962.3,66242.0,-10029.0,-11571.6,-12607.0,18710.0,,-22999.2,-33806.0,-10434.3,-34675.5,,-17701.0,16198.9,-12956.8,-31039.3,-5684.2,-23529.9,756.6,,-16507.7,-43351.2,-9522.3,-14727.9,11469.3,4749.0,False,False,False,,False,False,False,False,,False,False,False,False,True,False,True,,False,False,True,False,False,True
North Dakota,26577,13972.0,14084.5,13933.0,12369.0,,11394.7,10599.0,18235.7,16711.8,,10971.0,16271.8,15193.7,5058.0,19593.5,13348.5,16680.3,,9601.6,9608.1,15717.6,19027.8,14956.8,16038.0,-12605.0,-12492.5,-12644.0,-14208.0,,-15182.3,-15978.0,-8341.3,-9865.2,,-15606.0,-10305.2,-11383.3,-21519.0,-6983.5,-13228.5,-9896.7,,-16975.4,-16968.9,-10859.4,-7549.2,-11620.2,-10539.0,True,False,False,,False,False,True,True,,False,True,True,False,True,False,True,,False,False,True,True,True,True
Ohio,78269,37968.0,37254.9,37047.0,52909.0,,32354.3,23473.0,42572.5,26349.1,,32758.0,41960.1,37421.1,57970.1,54993.5,27573.1,50091.9,,27409.2,10928.6,24227.1,37404.0,54453.5,39352.0,-40301.0,-41014.1,-41222.0,-25360.0,,-45914.7,-54796.0,-35696.5,-51919.9,,-45511.0,-36308.9,-40847.9,-20298.9,-23275.5,-50695.9,-28177.1,,-50859.8,-67340.4,-54041.9,-40865.0,-23815.5,-38917.0,False,False,True,,False,False,True,False,,False,True,False,True,True,False,True,,False,False,False,False,True,True
Oklahoma,33130,31492.0,30896.9,30751.0,37990.0,,30813.4,23671.0,41816.0,37080.1,,29681.0,38374.0,27602.2,17376.2,37715.5,21119.1,33881.6,,26925.5,20022.4,17114.0,33807.1,33621.6,28697.0,-1638.0,-2233.1,-2379.0,4860.0,,-2316.6,-9459.0,8686.0,3950.1,,-3449.0,5244.0,-5527.8,-15753.8,4585.5,-12010.9,751.6,,-6204.5,-13107.6,-16016.0,677.1,491.6,-4433.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,True,,False,False,False,True,True,False
Oregon,12663,9652.0,9562.4,9311.0,12261.0,,8753.1,4912.0,10890.3,7866.0,,5975.0,13432.9,10415.6,10858.9,8334.6,7527.5,11317.1,,7339.7,4121.8,6014.9,9584.8,14949.1,11858.0,-3011.0,-3100.6,-3352.0,-402.0,,-3909.9,-7751.0,-1772.7,-4797.0,,-6688.0,769.9,-2247.4,-1804.1,-4328.4,-5135.5,-1345.9,,-5323.3,-8541.2,-6648.1,-3078.2,2286.1,-805.0,False,False,True,,False,False,True,False,,False,True,True,True,False,False,True,,False,False,False,False,True,True
Pennsylvania,56696,38236.0,38308.7,37681.0,67943.0,,29147.0,8608.0,41923.5,22720.4,,24733.0,42621.0,30401.5,54122.3,63049.8,23446.5,39530.0,,30271.0,26567.9,45319.9,28424.6,45668.2,35793.0,-18460.0,-18387.3,-19015.0,11247.0,,-27549.0,-48088.0,-14772.5,-33975.6,,-31963.0,-14075.0,-26294.5,-2573.7,6353.8,-33249.5,-17166.0,,-26425.0,-30128.1,-11376.1,-28271.4,-11027.8,-20903.0,True,False,True,,False,False,True,False,,False,True,False,True,True,False,True,,False,False,True,False,True,False
Rhode Island,10086,4872.0,4905.3,3096.0,5270.0,,3480.5,995.0,7380.7,1967.8,,3646.0,4215.6,4245.3,4029.1,3801.1,2318.9,4851.6,,180.4,3730.0,3428.3,3463.2,2633.0,6823.0,-5214.0,-5180.7,-6990.0,-4816.0,,-6605.5,-9091.0,-2705.3,-8118.2,,-6440.0,-5870.4,-5840.7,-6056.9,-6284.9,-7767.1,-5234.4,,-9905.6,-6356.0,-6657.7,-6622.8,-7453.0,-3263.0,True,False,True,,False,False,True,False,,False,False,False,False,False,False,False,,False,False,False,False,False,True
South Carolina,28121,22920.0,23963.4,21037.0,26476.0,,23596.7,11614.0,33640.2,12567.6,,21619.0,33246.6,21218.6,8421.2,30103.6,16464.2,21810.4,,14194.5,20542.0,13500.0,23372.0,18630.7,18810.0,-5201.0,-4157.6,-7084.0,-1645.0,,-4524.3,-16507.0,5519.2,-15553.4,,-6502.0,5125.6,-6902.4,-19699.8,1982.6,-11656.8,-6310.6,,-13926.5,-7579.0,-14621.0,-4749.0,-9490.3,-9311.0,True,False,True,,True,False,False,False,,False,True,False,False,True,False,False,,False,False,False,True,False,False
South Dakota,26029,15844.0,16102.9,14928.0,16423.0,,12483.6,10461.0,18782.9,14188.0,,13165.0,21072.0,18450.8,5541.6,17324.3,15709.4,17335.6,,11008.0,13741.5,8837.2,24606.9,17256.1,12167.0,-10185.0,-9926.1,-11101.0,-9606.0,,-13545.4,-15568.0,-7246.1,-11841.0,,-12864.0,-4957.0,-7578.2,-20487.4,-8704.7,-10319.6,-8693.4,,-15021.0,-12287.5,-17191.8,-1422.1,-8772.9,-13862.0,True,False,True,,False,False,True,False,,False,True,True,False,True,False,True,,False,False,False,True,True,False
