,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,55432,20442.0,18796.4,20401.5,19304.0,21711.0,,19664.3,8648.0,20934.2,17975.2,,21245.0,20312.0,20233.8,18292.1,23190.0,12450.5,24783.5,21853.6,18242.0,24140.9,22368.0,,11326.8,9138.3,16371.0,18684.2,25332.5,21378.4,21112.0,-34990.0,-36635.6,-35030.5,-36128.0,-33721.0,,-35767.7,-46784.0,-34497.8,-37456.8,,-34187.0,-35120.0,-35198.2,-37139.9,-32242.0,-42981.5,-30648.5,-33578.4,-37190.0,-31291.1,-33064.0,,-44105.2,-46293.7,-39061.0,-36747.8,-30099.5,-34053.6,-34320.0,False,False,False,True,,False,False,True,False,,True,False,False,False,True,False,True,True,False,True,True,,False,False,False,False,True,True,True
Hawaii,1293,1208.0,1930.3,1192.5,1185.0,1332.0,,1198.9,531.0,1083.2,1130.7,,,,1360.1,1134.9,1440.0,2120.9,1224.0,1076.6,1201.9,1352.4,1482.0,,497.2,819.8,1219.6,1030.2,1247.8,1643.7,1093.0,-85.0,637.3,-100.5,-108.0,39.0,,-94.1,-762.0,-209.8,-162.3,,,,67.1,-158.1,147.0,827.9,-69.0,-216.4,-91.1,59.4,189.0,,-795.8,-473.2,-73.4,-262.8,-45.2,350.7,-200.0,False,False,False,True,,False,False,False,False,,,,True,False,False,False,True,False,False,True,False,,False,False,True,False,True,False,False
Idaho,13618,12224.0,25913.4,12061.7,12084.0,15100.0,,11423.4,4378.0,20616.7,13864.7,,13054.0,10712.0,13325.1,14121.5,12866.0,4198.9,12599.0,17641.1,9869.6,13834.5,16801.0,,11448.1,5554.9,8512.5,11827.8,13006.6,13303.1,12190.0,-1394.0,12295.4,-1556.3,-1534.0,1482.0,,-2194.6,-9240.0,6998.7,246.7,,-564.0,-2906.0,-292.9,503.5,-752.0,-9419.1,-1019.0,4023.1,-3748.4,216.5,3183.0,,-2169.9,-8063.1,-5105.5,-1790.2,-611.4,-314.9,-1428.0,False,False,False,False,,False,False,False,True,,True,False,True,True,True,False,True,False,False,True,False,,False,False,False,False,True,True,False
Illinois,103077,63030.0,82772.4,62611.4,59812.0,67715.0,,60512.3,50064.0,65446.2,56989.4,,64531.0,54819.0,64167.4,54782.4,53101.0,32823.0,60315.5,105026.3,53105.5,75557.1,75116.0,,66287.7,37314.3,48316.5,54692.2,83725.7,70793.3,68297.0,-40047.0,-20304.6,-40465.6,-43265.0,-35362.0,,-42564.7,-53013.0,-37630.8,-46087.6,,-38546.0,-48258.0,-38909.6,-48294.6,-49976.0,-70254.0,-42761.5,1949.3,-49971.5,-27519.9,-27961.0,,-36789.3,-65762.7,-54760.5,-48384.8,-19351.3,-32283.7,-34780.0,True,False,False,True,,False,False,True,False,,True,False,True,False,False,False,False,True,False,True,True,,True,False,False,False,True,True,True
Indiana,45268,28954.0,36597.2,29151.5,28846.0,33051.0,,27684.8,25556.0,34421.9,31279.0,,30780.0,28776.0,33409.8,27681.0,29730.0,21350.3,30842.5,47117.0,28479.1,35445.0,36620.0,,28412.9,17887.1,21912.0,25593.9,36924.7,37864.2,33947.0,-16314.0,-8670.8,-16116.5,-16422.0,-12217.0,,-17583.2,-19712.0,-10846.1,-13989.0,,-14488.0,-16492.0,-11858.2,-17587.0,-15538.0,-23917.7,-14425.5,1849.0,-16788.9,-9823.0,-8648.0,,-16855.1,-27380.9,-23356.0,-19674.1,-8343.3,-7403.8,-11321.0,True,True,False,True,,False,False,True,True,,True,False,True,False,True,False,True,True,False,True,True,,False,False,False,False,True,True,True
Iowa,35418,16276.0,21260.4,16405.0,16471.0,16340.0,,16120.1,11057.0,24511.7,15766.7,,17421.0,15448.0,19242.0,17993.4,17415.0,6594.1,16671.0,17661.2,17062.9,21004.7,20685.0,,13634.1,2523.9,11152.3,19115.8,16652.0,19603.2,17140.0,-19142.0,-14157.6,-19013.0,-18947.0,-19078.0,,-19297.9,-24361.0,-10906.3,-19651.3,,-17997.0,-19970.0,-16176.0,-17424.6,-18003.0,-28823.9,-18747.0,-17756.8,-18355.1,-14413.3,-14733.0,,-21783.9,-32894.1,-24265.7,-16302.2,-18766.0,-15814.8,-18278.0,True,True,True,True,,False,False,True,False,,True,False,True,True,True,False,True,True,True,True,True,,False,False,False,True,True,True,True
Kansas,21325,11030.0,12978.8,11063.7,10921.0,9827.0,,10929.0,12922.0,14230.7,9797.0,,11085.0,11360.0,11860.2,17700.5,12795.0,5259.0,10405.0,9558.9,6391.1,10539.2,13961.0,,10114.6,6323.4,8329.2,11817.0,11075.1,8325.8,9537.0,-10295.0,-8346.2,-10261.3,-10404.0,-11498.0,,-10396.0,-8403.0,-7094.3,-11528.0,,-10240.0,-9965.0,-9464.8,-3624.5,-8530.0,-16066.0,-10920.0,-11766.1,-14933.9,-10785.8,-7364.0,,-11210.4,-15001.6,-12995.8,-9508.0,-10249.9,-12999.2,-11788.0,True,True,False,False,,False,True,True,False,,True,True,True,True,True,False,False,False,False,False,True,,False,False,False,True,True,False,False
Kentucky,24181,17366.0,22501.4,17010.8,17922.0,19714.0,,16192.3,12754.0,38414.1,21404.0,,18603.0,19151.0,20015.3,18793.1,17595.0,9230.1,17312.0,21117.8,18251.6,22468.1,22907.0,,10591.1,10977.6,13354.1,19685.7,18049.3,24331.7,19601.0,-6815.0,-1679.6,-7170.2,-6259.0,-4467.0,,-7988.7,-11427.0,14233.1,-2777.0,,-5578.0,-5030.0,-4165.7,-5387.9,-6586.0,-14950.9,-6869.0,-3063.2,-5929.4,-1712.9,-1274.0,,-13589.9,-13203.4,-10826.9,-4495.3,-6131.7,150.7,-4580.0,True,False,True,True,,False,False,False,True,,True,True,True,True,True,False,False,True,True,True,True,,False,False,False,True,True,True,True
Louisiana,9112,8464.0,7543.4,8418.7,8094.0,8778.0,,8300.6,2634.0,21569.6,5781.3,,6560.0,8939.0,8345.1,8325.3,10112.0,6206.2,9105.5,7658.5,7416.7,8469.6,8216.0,,6864.7,0.0,6677.6,7286.8,10670.3,7706.8,6764.0,-648.0,-1568.6,-693.3,-1018.0,-334.0,,-811.4,-6478.0,12457.6,-3330.7,,-2552.0,-173.0,-766.9,-786.7,1000.0,-2905.8,-6.5,-1453.5,-1695.3,-642.4,-896.0,,-2247.3,-9112.0,-2434.4,-1825.2,1558.3,-1405.2,-2348.0,False,False,False,True,,False,False,False,False,,False,True,False,False,False,False,True,False,False,True,False,,False,False,False,False,False,False,False
Maine,1464,448.0,171.8,448.4,469.0,528.0,,418.1,325.0,674.1,485.0,,468.0,542.0,493.1,1036.1,519.0,631.5,410.5,562.8,514.9,626.6,580.0,,388.4,455.4,394.8,558.3,436.7,835.3,528.0,-1016.0,-1292.2,-1015.6,-995.0,-936.0,,-1045.9,-1139.0,-789.9,-979.0,,-996.0,-922.0,-970.9,-427.9,-945.0,-832.5,-1053.5,-901.2,-949.1,-837.4,-884.0,,-1075.6,-1008.6,-1069.2,-905.7,-1027.3,-628.7,-936.0,False,True,True,True,,False,False,True,True,,True,True,True,True,True,True,False,True,True,True,True,,False,True,False,True,False,True,True
Maryland,13428,8720.0,8959.6,8717.8,8740.0,9041.0,,8841.3,4004.0,11574.2,9405.9,,8824.0,8834.0,9607.8,6877.8,8909.0,8944.1,8859.5,10242.0,8456.3,10747.3,9644.0,,8194.8,6889.5,7268.6,9829.6,9575.9,10803.9,9439.0,-4708.0,-4468.4,-4710.2,-4688.0,-4387.0,,-4586.7,-9424.0,-1853.8,-4022.1,,-4604.0,-4594.0,-3820.2,-6550.2,-4519.0,-4483.9,-4568.5,-3186.0,-4971.7,-2680.7,-3784.0,,-5233.2,-6538.5,-6159.4,-3598.4,-3852.1,-2624.1,-3989.0,True,False,True,True,,True,False,True,True,,True,True,True,False,True,True,True,True,False,True,True,,False,False,False,True,True,True,True
Massachusetts,20088,13116.0,12247.8,13151.2,12129.0,16282.0,,11435.0,9312.0,19127.0,14883.2,,10058.0,9982.0,10552.1,8743.8,12731.0,11681.3,11705.0,14014.6,12333.1,16465.6,13316.0,,11170.7,8036.7,10566.9,11852.1,8651.1,16546.3,14080.0,-6972.0,-7840.2,-6936.8,-7959.0,-3806.0,,-8653.0,-10776.0,-961.0,-5204.8,,-10030.0,-10106.0,-9535.9,-11344.2,-7357.0,-8406.7,-8383.0,-6073.4,-7754.9,-3622.4,-6772.0,,-8917.3,-12051.3,-9521.1,-8235.9,-11436.9,-3541.7,-6008.0,False,True,False,True,,False,False,True,True,,False,False,False,False,False,False,False,True,False,True,True,,False,False,False,False,False,True,True
Michigan,53461,29014.0,44257.6,28894.7,28241.0,32808.0,,28672.7,22999.0,26442.6,31805.9,,30002.0,30640.0,31630.7,28584.3,27080.0,28955.5,28346.5,42798.7,13763.7,31027.6,39036.0,,32993.8,20967.9,22392.6,23356.5,18961.2,24507.0,36318.0,-24447.0,-9203.4,-24566.3,-25220.0,-20653.0,,-24788.3,-30462.0,-27018.4,-21655.1,,-23459.0,-22821.0,-21830.3,-24876.7,-26381.0,-24505.5,-25114.5,-10662.3,-39697.3,-22433.4,-14425.0,,-20467.2,-32493.1,-31068.4,-30104.5,-34499.8,-28954.0,-17143.0,True,False,False,True,,False,False,False,True,,True,True,True,False,False,False,False,True,False,True,True,,True,False,False,False,False,False,True
Minnesota,42832,22064.0,27288.7,22306.5,22762.0,22968.0,,24510.8,22476.0,26845.3,23775.4,,23945.0,25302.0,25170.8,22037.9,22144.0,10608.7,23485.5,28808.0,21478.9,24400.7,27982.0,,27835.2,11116.2,14909.5,21293.3,25898.3,25266.6,23443.0,-20768.0,-15543.3,-20525.5,-20070.0,-19864.0,,-18321.2,-20356.0,-15986.7,-19056.6,,-18887.0,-17530.0,-17661.2,-20794.1,-20688.0,-32223.3,-19346.5,-14024.0,-21353.1,-18431.3,-14850.0,,-14996.8,-31715.8,-27922.5,-21538.7,-16933.7,-17565.4,-19389.0,True,True,True,True,,True,True,True,True,,True,True,True,False,True,False,True,True,False,True,True,,True,False,False,False,True,True,True
Mississippi,10797,10164.0,11090.4,10210.7,9703.0,9514.0,,9629.8,4324.0,9357.1,12012.3,,11343.0,9648.0,12993.9,10173.2,10314.0,4280.6,10210.0,15759.9,6238.7,10676.7,12634.0,,9314.4,365.0,6672.9,12498.1,10618.4,7988.7,9889.0,-633.0,293.4,-586.3,-1094.0,-1283.0,,-1167.2,-6473.0,-1439.9,1215.3,,546.0,-1149.0,2196.9,-623.8,-483.0,-6516.4,-587.0,4962.9,-4558.3,-120.3,1837.0,,-1482.6,-10432.0,-4124.1,1701.1,-178.6,-2808.3,-908.0,True,True,False,False,,False,False,False,False,,True,False,False,True,True,False,True,False,False,True,False,,False,False,False,False,True,False,False
Missouri,41994,25442.0,24113.6,25016.5,25505.0,23826.0,,26787.3,20986.0,33460.6,24655.7,,27787.0,23342.0,30246.2,30441.4,24485.0,11796.0,27865.0,32962.1,23379.2,27952.8,33867.0,,30880.1,23153.4,20728.2,29711.2,26403.7,26665.7,23033.0,-16552.0,-17880.4,-16977.5,-16489.0,-18168.0,,-15206.7,-21008.0,-8533.4,-17338.3,,-14207.0,-18652.0,-11747.8,-11552.6,-17509.0,-30198.0,-14129.0,-9031.9,-18614.8,-14041.2,-8127.0,,-11113.9,-18840.6,-21265.8,-12282.8,-15590.3,-15328.3,-18961.0,False,False,True,False,,True,False,True,False,,True,False,True,True,False,False,True,True,False,True,True,,True,False,False,True,True,True,False
Montana,11806,9834.0,11398.9,10016.4,9947.0,9018.0,,9322.0,6374.0,14272.3,13586.7,,12033.0,10059.0,13323.5,21225.8,11022.0,1496.5,11616.5,14247.6,9617.4,10784.4,14469.0,,8885.4,12106.2,6656.1,12295.6,11754.6,10121.9,8976.0,-1972.0,-407.1,-1789.6,-1859.0,-2788.0,,-2484.0,-5432.0,2466.3,1780.7,,227.0,-1747.0,1517.5,9419.8,-784.0,-10309.5,-189.5,2441.6,-2188.6,-1021.6,2663.0,,-2920.6,300.2,-5149.9,489.6,-51.4,-1684.1,-2830.0,True,True,True,False,,False,False,False,True,,True,True,True,False,True,False,True,False,False,True,False,,False,True,False,True,True,True,False
Nebraska,19180,11766.0,23170.4,11703.9,11990.0,10992.0,,12078.8,13207.0,17788.3,11565.0,,11985.0,11662.0,13672.7,15475.6,12717.0,6269.9,13217.0,15687.2,8901.8,12069.2,16043.0,,14147.5,3149.9,8952.3,13533.1,14536.7,8881.4,9563.0,-7414.0,3990.4,-7476.1,-7190.0,-8188.0,,-7101.2,-5973.0,-1391.7,-7615.0,,-7195.0,-7518.0,-5507.3,-3704.4,-6463.0,-12910.1,-5963.0,-3492.8,-10278.2,-7110.8,-3137.0,,-5032.5,-16030.1,-10227.7,-5646.9,-4643.3,-10298.6,-9617.0,True,False,True,False,,True,True,True,False,,True,False,True,True,True,False,True,True,False,True,True,,True,False,False,True,True,False,False
Nevada,13934,10320.0,6554.3,10332.8,10226.0,11801.0,,9912.2,2911.0,12031.7,10021.9,,10982.0,8511.0,10588.5,9378.3,8873.0,5163.7,10410.5,12742.9,10459.4,13758.5,11955.0,,10546.3,0.0,7603.2,11047.6,10795.7,14558.0,11184.0,-3614.0,-7379.7,-3601.2,-3708.0,-2133.0,,-4021.8,-11023.0,-1902.3,-3912.1,,-2952.0,-5423.0,-3345.5,-4555.7,-5061.0,-8770.3,-3523.5,-1191.1,-3474.6,-175.5,-1979.0,,-3387.7,-13934.0,-6330.8,-2886.4,-3138.3,624.0,-2750.0,False,True,False,True,,False,False,True,False,,True,False,True,False,False,False,True,True,True,True,True,,True,False,False,True,True,True,True
New Hampshire,1976,1226.0,381.7,1234.1,1240.0,1418.0,,1112.9,1545.0,1852.1,1824.8,,1185.0,1074.0,1409.3,1355.2,1242.0,1489.4,1273.0,1871.9,1196.3,1455.0,1697.0,,993.7,1769.7,923.7,1503.9,1180.7,1784.0,1404.0,-750.0,-1594.3,-741.9,-736.0,-558.0,,-863.1,-431.0,-123.9,-151.2,,-791.0,-902.0,-566.7,-620.8,-734.0,-486.6,-703.0,-104.1,-779.7,-521.0,-279.0,,-982.3,-206.3,-1052.3,-472.1,-795.3,-192.0,-572.0,False,True,True,True,,False,True,True,True,,False,False,True,True,True,True,True,True,False,True,True,,False,True,False,True,False,True,True
New Jersey,31909,17202.0,23985.1,17513.1,17084.0,21546.0,,18331.7,19056.0,24321.1,15937.3,,10261.0,15023.0,13836.3,11094.0,15492.0,21398.4,16750.5,19323.9,14524.0,20002.9,16124.0,,14478.7,6409.0,14457.7,15836.0,10051.0,20941.7,19100.0,-14707.0,-7923.9,-14395.9,-14825.0,-10363.0,,-13577.3,-12853.0,-7587.9,-15971.7,,-21648.0,-16886.0,-18072.7,-20815.0,-16417.0,-10510.6,-15158.5,-12585.1,-17385.0,-11906.1,-15785.0,,-17430.3,-25500.0,-17451.3,-16073.0,-21858.0,-10967.3,-12809.0,True,True,False,True,,True,True,True,False,,False,False,False,False,False,True,False,True,False,True,False,,False,False,False,False,False,True,True
New Mexico,12631,9394.0,13240.4,9514.9,9505.0,9719.0,,8769.8,2926.0,12638.7,12273.5,,9596.0,9646.0,10441.4,9496.8,9088.0,3792.6,10652.0,17420.7,10263.8,12740.3,13369.0,,9404.6,7546.4,6618.6,10278.9,12262.7,13051.6,11902.0,-3237.0,609.4,-3116.1,-3126.0,-2912.0,,-3861.2,-9705.0,7.7,-357.5,,-3035.0,-2985.0,-2189.6,-3134.2,-3543.0,-8838.4,-1979.0,4789.7,-2367.2,109.3,738.0,,-3226.4,-5084.6,-6012.4,-2352.1,-368.3,420.6,-729.0,True,True,True,True,,False,False,True,True,,True,True,True,True,False,False,True,False,True,True,True,,True,False,False,True,True,True,True
